1991,2 Live Crew," = Mr. Mixx's lines,Verse 1:  Brother Marquis,I like getting head, 'cause it's so convenient ,You can do it any time; you don't have to beat it!,You can get it in the car, or even in the park ,But most head-hunters go out after dark ,There's nothing like a pretty hoe on her knees,Suckin' my D  and lickin' my B's,We don't have to take our clothes off to bust a nut,When I pull out my dick, BIIIITCH, pucker up!,And gimme some!,Verse 2:  Fresh Kid Ice,Coolin' in a club on a Saturday night,Gettin' fucked up with the boys and feelin' all right ,When I saw this bitch who had to be a winner,And the only thing on my mind was to run up in her,So I got her kind of tipsy with some Sex On The Beach,Then the bitch got hot and she wanted to eat,So, for me to get over, took her straight to the bed ,She got on her knees and gave some good hot head! ,Verse 3:  Brother Marquis,Hot head hoes, some white some niggeroes,But I like the ones who suck toes and assholes,With tongues like razors that cut when she licks ,How can I fuck you with a skinless dick? ,You take pride in suckin' a good dick,And after I nut, bitch, you better not spit ,You're a dirt dobbler, a goop gobbler,You'll fuck Satan for the righteous dollar,So gimme some! 
,
,
"
NO DATE 2 Live Crew:2 Live Is What We Are...(Word),2 Live Crew,"1-2 1-2,I am the dominating Fresh Kid Ice,And I am the Brother Marquis, Marquis your brother,And introducing to you on the two turntables:,The Treach DJ Mr. Mixx,,,We get the red carpet treatment cause we're well respected,Always accepted and never rejected,Our defense is made when we take the stage,The crowd gets excited and goes in a rage,Cause we're generating and demonstrating,All of the talents that we're accumulating,And by doing this we'll go real far,Because - 2 Live is what we are,We're highly publicized and advertised,Our music's in your ear, our face in your eyes,We're good to go and goin to be good,We've done the right thing like you knew we would,Because we are here for your dancing pleasure,With our microphones, cause that's what we treasure,Now the man you see, who has hands of magic,His name is Mr. Mixx, so come on a scratch it,,You can call me Brother Marquis, Marquis your brother,The t-e-s-t I pass with with flying colors,I'm capable and on the case,Gettin straight to the point with no time to waste,The point is that this party needs to be rocked,Wioth drummin thumpin beats around the clock,)From odds to outspoken to opinionated,In need of a rhyme I will create it,The best is yet to come, with much much more,You got me rockin you with my rhymes galore,Now my rhymes won't stop, my rhymes won't quit,Just give me the mic and I rock it,On to the break of dawn,I will rock y'all to the early morn,Cause I'm the demonstrating, the dominating,Annihilator, brutalor, MC-hating,So all MC's must step on off,Cause I'm lettin you know who's the boss,Now Kid Ice, you know you're twice as nice,Why don't you get up on the mic and start to recite?,,Cause they call me Kid Ice, the ladies' fire,When I enter a room, ladies fill we desire,Anytime I'm good, yes on the mic,I said the girls keep comin back every night,Cause I dress so fresh, my voice is clean,I can rock party people, yes even the Queen,In England, Germany, France and Japan,The ladies know that I'm the man,Who keep em from the kitchen just doin their dishes,Cause I have em in bed fulfillin their wishes,I got a degree in makin love,Yes I got it from my father just up above,I could take a girl from any man,With a twitch of my lips or wave of a hand,So to all you guys out there tonight,Grab your girl, hold her tight,Say treat her with respect and treat her right,Cause I might be in town for just one night,,,,,,
,
,
"
NO DATE 2 Live Crew:Chesterfield Island,2 Live Crew,"Hey all you swingers of the male persuasion, there's this new gay resort, just for you. ,CHESTERFIELD! ,Tight little island full of gay romance. ,They wear gay sandals and they wear tight pants. ,Sun-drenched top to bottom every day, ,And they're blessed with the miracle of being gay! ,The very best of faggots in the U.S.A. giving big, big pleasure in a big, big way!
,
,
"
NO DATE 2 Live Crew:Who's Fuckin' Who,2 Live Crew,"Verse 1:  Brother Marquis,The Surgeon General says wear a condom,But you can catch AIDS nowadays from slobbin',,Gynecology, and urology,If I'm positive, too late for an apology,Take extreme measure for sexual pleasure,Protect your jewels; it's what you treasure,Use precaution to prevent abortion,All we need is another life lost in,The system that's designed to hold us back,Get off the heroin and the crack!,All this shit is so confusing,You can't even have a blood transfusion,For the fear of infected plasma,You won't be the first, nor the last one,Getting pussy's like death wish two,You've got to know who's fuckin' who!,Chorus :  Edsel Harris,Who's fuckin' who?,Verse 2:  Fresh Kid Ice,Living in a world where no one has trust,A lack of understanding, filled with lust,Where diseases are common, inflicting much pain,Gonorrhea and AIDS, too many to name,Sex is alive in both young and old,But a lack of education leaves us in the cold,There may be a cycle that we failed to mention,But people are fuckin' without protection,'Cause Jim fucks Ann, then fucks Susie,Then runs across town to go fuck Stevie,Thinking he's a player, trying to get over,But all he's doing, transmitting to another,If you've gotta fuck, don't fuck yourself,Use protection for others, if not yourself,'Cause people are fuckin', and this is true,What you don't know is who's fuckin' who,Chorus,Verse 3:,,Junkies use the intravenous,Then fuck each other?  I can't see this,Sex and drugs, you know they don't mix,Especially when a bitch turns tricks for a fix,So be careful, 'cause that shit's out there,It's a 4-letter word that you should fear,So please choose a rubber before you choose your lover,Don't be a fool and forget, my brother!,,The 1990's, the decade of disease,It seems like we're trying to kill our own kind,By fuckin' each other with out protection,Just fuckin' ... and lack of selection,'Cause sex is alive in both young and old,So get educated; you're not too old,'Cause people are fuckin', and this is true,What we don't know is who's fuckin' who,Chorus,Outro:  Mr. Mixx,The truth of the matter is, you gotta give yourself the benefit of the,doubt, you know what I'm sayin'?  Don't just screw somebody just,because you feel you know 'em, you know?  As for me, myself,,Mr. Mixx, Marquis, Luke, Kid Ice, 2 Live is outta here, you know,what I'm sayin'?  Stay safe, always use a condom, you know what,I'm sayin', and everything'll be straight.  Peace!
,
,
"
1991,2 Live Crew,"Blowfly:,""Turn over!  I'ma stick it in y'ass!  'No, it's gon' hurt!',You'll get used to it."",Verse 1:  Brother Marquis,Lady Godiva was a freak,She rode buttnaked to the street,By doing this a hundred years ago,,It's all right for girls to be hoes,Romeo, where's Juliet?,She's out gettin' her pussy wet,My man Samson and that bitch Delilah,,She got mad 'cause Samson tried her,All the ass was for a little head,But she played it off like she was scared,Knowing all the time she was a freak,And couldn't wait to get in the sheets,There's a freak in every demon,They even had sex in the Garden of Eden,It's the devil's work, the Lord can't save ya,We got it bad, that freaky behavior,Verse 2:  Fresh Kid Ice,To some she's shy and to others she's wild,But to her daddy she's an innocent child,Not knowing what's happening when he's away,But like a bitch in heat, she's ready to play,She fucked five niggas 'till they all got sore,Then laughed in they face, and asked for more,She does what she wants, and no one can save her,A product of society with the freaky behavior,Verse 3:  Brother Marquis,Hoe, you know you're my aphrodesiac,Before you suck my dick, can you pull the skin back?,You're a dog-ass bitch doing dirty deeds,If your period's on, then fall to your knees,Bitch, you belong in a sex asylum,Every trick in the book, your dog ass has tried 'em,Blame it on your mama, 'cause it's how she raised ya,I guess that explains your freaky behavior,Verse 4:  Fresh Kid Ice,She's also wild, but only she can stand it,Fuckin' all the boys and making 'em cum in a minute,The best dick sucker that could ever be found,Who'll suck your balls, then drink the cum,Up on the 'ave, she's more than a teaser,And to the boys, our own private skeezer,You can tell her daddy, but no one can save her,She does what she wants with her freaky behavior!
,
,
"
NO DATE 2 Live Crew:Yakety Yak,2 Live Crew,",Brother Marquis:,When you're told to do something by your mom and dad,Don't frown in their face or get mad,Because as long as you're livin' under their roof,You better mind your mouth, or get Dad's boot,It's the simples thing that they ask of you,Like mow the lawn and take the trash out too,But it always never seems to get done, so ...,Luke:,Take out the papers and the trash,Or you don't get no spendin' cash,You better wax that kitchen flo',Or you ain't rock 'n rollin' no mo'!,Yakety Yak!  ,Ha haaa!,Fresh Kid Ice:,Don't touch that phone when it rings,You're under restriction 'till your room is cleaned,It'll take away your spending cash,You better have it cleaned, quick and fast,Dust the furniture, have the floor waxed,It gotta be spotless from front to back,You might as well get off your butt and ...,Mr. Mixx:,Just finish cleanin' up your room,Let's see that dust fly with that broom,Get all that garbage out of sight,Or you don't go out Friday night,Yakety Yak!  ,Don't you roll yo' eyes at me, boy!,Brother Marquis:,This house is dirty, it's a total mess,No need to be rude, so don't get dressed,There's a lot of things that have to be done,If you don't, then you have no fun,Now pack the basket with those dirty clothes,And go to the laundromat before it closes,There's no need to pout or frown around, so ...,Luke:,You just put on your coat and hat,And walk yourself to the laundry-mat,And when you're finished doing that,Bring in the dog and put out the cat,Yakety Yak!  ,,Fresh Kid Ice:,Behind your dad's back, you roll your eyes,Always plottin' and schemin' and plannin' lies,But you're always doin' things to make him mad,Instead of doin' right for good old dad,So tell your friend you're not hangin' out,Just do as I say, 'cause I'm the man of the house,You better act like you got some sense and ...,Mr. Mixx:,Don't you give me no dirty looks,Your father's stiff, he knows what cooks,Just tell your hoodlum friend outside,You ain't got time to take a ride,Yakety Yak!  ,What you say to me boy?
,
,
"
NO DATE 2 Live Crew:You Go Girl,2 Live Crew,",I don't use Massengil, I use my own kinda douche powder,Y'know I mix it, I mix it myself,Y'know what I put in it? ,Alum!  LSD!  And Kentucky Fried Chicken!, I mold it together, baby!,I mold it together, honey!,Oh, that alum, lemme tell ya somethin,That alum makes it tight ,LSD makes it outta sight ,And Kentucky Fried Chicken make it finga lickin good!,,,,,,,,,,,,,,Get on the dance floor,And move your body til ya can't no, more,Touch the ground,Cause I like the way you doo-doo brown,You make me wanna flip,Plus I love the way you shake them, hips,>From side to side,Always keepin my nature on the rise,Cause you got it goin on,And you're the only one havin fun,Watchin the niggas sweat,And how it feels when you're wet,Doin what you want til it hurts,As RuPaul say, You'd Better Work,Shake ya ass til it twirls,,,,etc.,,You know you got it goin on, honey dip, I swear,Two niggas takin care of you, and doin up ya hair,You used to look shady but ya changed ever since,Now it's all about the leather boots and sequins,Tellin niggas don't holla if ya can't get the snap,Got a diamond name plate and a neckace to match,Diamonds on ya hand, sippin on cham',Niggas wanna holla but ya say I got a man,The bitch is so fly if they're goin' off in her, G,Now look at honey dip,
,
,
"
NO DATE 2 Live Crew:The Splak Shop,2 Live Crew,"Verse 1:  Brother Marquis,I won't take a bitch to my house,Don't have to see where I'm livin', uh-uh, that's out!,If you want to splak, I know you're down like that,We can go to this place by the railroad track,It has a room with a view, just right for two,Equipped with the accessories to get you in the mood,Like bottles of champagne with gold-trim glasses,A king-size waterbed to lay your ass in,A video screen, of you and me,So don't be camera-shy; I won't let nobody see,You can lounge around in your silky nightgown,Just take off your bra and pull your panties down,'Cause I'll seduce you, whore, bust down your back door,You dog-ass bitch, get down on all fours,'Cause this is the place for head, booty and cock,You know what it's called, the Fuck Shop!,Verse 2:  Fresh Kid Ice,Now bitches and sluts, I'm down with 'em,And there's a place where I get with 'em,It has a water bed 'cause the place is phat,A lion-skin rug to lay the bitch on her back,With mirrors on the ceiling and on the walls,Mirrors on the floor so I can see it all,No need for hide-and-seek, so drop them draws,And raise that ass so I'll splak it all!,So bend your ass over, I'll get it from the back,Dick ya ass down, make the pussy go smack,And with every stroke, bitch, start to yell,Ain't nothing can save you but a truth in the smell,It's a freaky place, and an all-out blast,,'Cause when you're done, you'll wash your ass,So if you're down, we'll hit the spot,You know what it's called, the Splak Shop!,Verse 3:,   The Fuck Shop, the ideal place to meet,When you're cheatin' on your wife with an undercover freak,It's better than any hotel room,Just right for a secret rendezvous,So when you're on a mission, one late night,And you're looking for a spot where the price is right,You can come on in for an hour or two,But just make sure you bring a rubber with you!,  When you're with a hoe and you wanna get freaky,This is the spot when you're low on money,Pick her ass up when it's after dawn,,Jump in the ride, head to the park,No need for candle lights, panel doors will do,In case you wanna play a little peek-a-boo,So if you got a trick, head to the spot,You know what it's called, the Splak Shop!
,
,
"
NO DATE 2 Live Crew:You Got Larceny,2 Live Crew,",,,,Verse 1:  Brother Marquis,Talk about, why?  Spreadin' rumors, tellin' lies,I'm real sensitive to the fact,Of why must you go out like that,You can't say nothin' positive,All I get are negative responses,They say it's hard to keep a good man down,But it's not hard to have one up off the ground,He said, she said, this-n-that,But who's tellin' the truth?  It ain't like that,I knew somethin' was wrong, I knew it all along,But nobody told me what was goin' on,So just STOP ... all this disrespect,'Cause now is the time for me to put you in check,They say the truth hurts, but don't get mad at me,I'm talkin' to those who got larceny,Verse 2:  Fresh Kid Ice,Larceny, meaning bein' jealous-hearted,Over little or nothin', it can get started,For example, a man wants to get ahead,Others wish he failed and rather see him dead,Always puttin' obstacles in your path,It becomes a problem you shouldn't have,It's like a disease spreadin' faster than AIDS,The word is out, they misspelled your name,People look at you a little strange,You gain more foes as your lifestyle change',They want what you got, that's the dollars that you clock,To you it's petty but to them it's a lot,Material things they couldn't retain,Still hopin' your loss will be their gain,Yet we strive to stay alive and live carefree,Others still have that larceny,Verse 3, You'll shake my hand, pretend to be my friend,And behind my back, wish it all would end,People mention my name, you'll frown your face,Hopin' in your dreams you'll take my place,The things that I own you wish you had,Every time I do good it makes you mad,You're not a friend to me, just an enemy,A sucker that rhymes, a wanna be, You wanna be like me, only in your dreams,You wanna be down, but you gotta come clean,Rockin' boomin' beats on every cut,2 Live's in effect, why you sweatin' us?,Wishin' you had all the money I've made,And all the females that I've slayed,You hate me, boy, now ain't that a pity,You ain't got the vapors, you got larceny
,
,
"
NO DATE 2 Live Crew:Sally (That Girl),2 Live Crew,"1, 2, 3,And I woke up early this morning and I went to the 5 and dime,I saw this pretty young lady that was real, real fine,I tapped her on the shoulder and said, ""Mmm, mmm, excuse me, ma'am"",She pulled down her pants and said, ""Splack these hands"",Whoa...oh...oh...oh...,Sally ""That Girl"",Whoa...oh...oh...oh...,Sally, whew, ""That Girl"",So we walked her to her house, as she opened up the door,It was heart-shaped bed in the middle of the floor,She pushed me on the bed and this you can bet,In between her legs was real, real wet,So I grabbed her by her thighs and I moved up truly,She jumped off the bed and said, ""Don't touch my booty"",""Don't touch my booty 'cause I won't touch you"",""Don't touch my booty 'cause it's not the thing to do"",Whoa...oh...oh...oh...,Sally, whew, ""That Girl"",Whoa...oh...oh...oh...,Sally, whew, ""That Girl"",So we bailed out her house just to get something to eat,We saw her friend named Patty walkin' down the street,Patty turned around as we yelled out her name,She dropped to her knee and began to sing,Whoa...oh...oh...oh...,Sally, whew, ""That Girl"",Whoa...oh...oh...oh...,Sally, whew, ""That Girl"",Sally is a girl that likes to play,And if you want some lovin' Sally is okay,She has a different fellow every day of the week,Two or maybe three just to make it sweet,Sally wants a man she can call her own,And sixty-seven hundred she can call on the phone,Sally's never tired and she's never alone,All Sally wants is a fellow with a room,Whoa...oh...oh...oh...,Sally, whew, ""That Girl"",Whoa...oh...oh...oh...,Sally, whew, ""That Girl"",That-that-that-that-that girl,That-that-that-that-that-that-that girl,That-that-that-that-that-that-that-that-that-that-that-that-that-that girl ,That-that-that-that-that-that-that girl,That-that-that-that-that-that girl,That-that-that-that-that-that-that-that-that-that-that-that girl-that-that girl ,That-that girl-that girl-that girl-that girl   ,That-that-that-that-that-that girl,That-that-that-that-that-that girl,That-that-that-that-that girl ,That-that-that-that-that girl ,That-that-that-that-that girl,That-that-that-that-that girl,Wait a second, get the party started,Gucci's here to put the love in your body,That-that-that-that-that girl,That-that-that-that-that girl,That-that-that-that girl ,That-that-that-that-that girl ,That-that-that-that-that girl,That-that-that-that girl,That-that girl, that-that girl,That girl  ,
,
,
"
