1997,Puff Daddy,"Damn,I would have never thought it ever woulda been like this,Life is crazy,God -- please watch over my family,Please protect em,Forgive my enemies -- for they know not what they do,Please Lord -- forgive me for my sins, and protect me from evil,For thou art the kingdom, the power, and the glory,Now and forever,In your name we pray,Amen
,
,
"
"NO DATE P. Diddy:I Need A Girl, Part II",Diddy," Ooooh oooooo oooooh!!!, Yeah, this that bounce right here, Come On Now!!!, Time to move on, time to be strong,Don't stop now straight to the top now,,Someone who truly understands, how to treat a man,This is what I need,,Girl you made me believe again,If you happy then be with him, go 'head mommy breathe again,Go 'head mommy breathe again, don't stop now straight to the top now,Go 'head mommy make it hot now,I need me a love that's 'gon make my heart stop now,And what I need is simple, five foot five with dimples,Potential wife credentials,Know about the life I'm into, life I've been through,And how I had a trifilin mental,So ride with me, G Force fly with me,Times get hard cry with me, die with me,White beach sands lye with me,My advice is forget the limelight,Let's make love, while we listen to Frank White,So tight, now I understand life,,What I need, Yeah take that),Is a pretty woman next to me, A pretty woman yeah baby),To share the dreams that I Believe, Dream with me, believe in me),Maybe we could start a family, Start a family baby),Someone who truly understands, how to treat a man,This is what I need,,Listen to me now what should I say now? Come on ma,Been a whole day now I wanna lay 'round,And sip coladas, dipped in Prada,I'm smooth as Erik Estrada, dipped in dollars,We out in Vegas Nevada, bubble bath in the champagne glass,'Bout the size of a campaign ad,You don't know how you look to me,But if love was a crime you be a crook to me,Cause mommy I've done been around the world, seened alot of places,Been around your girl believe I read faces,I can tell she don't want me prevail,But I, learn my lesson watchin Sean bless it,So why listen to her and start guessin?,Mommy you ain't ready to ride to start dressin,I need a girl receive my mom's blessin,Confession, my love no contestin,I need affection, Yes I need affection, let's go Mario!,,Girl what the hell is on your mind,I could be dumb but I'm not blind,There's somethin leakin in your mind,Don't look to good for you and me, always did agree,That ain't what I need, baby!!!,,What I need,is a pretty woman next to me, Oh please baby),To share the dreams that I Believe, I need a girl in my life),Maybe we could start a family, Start a family baby),Someone who truly understands, how to treat a man,This is what I need,,Ay yo the sun don't shine forever,But as long as were here then we might as well shine together,Never mind the weather, go somewhere and get our minds together,Build a love that a last forever,So let's stop the pain, stop the rain,Put, stress to rest girl stop the games,Name the spot, mommy I got the plane,Roll through rough, I got the range,Ma I got some thangs, knowned to put rocks in rings,Push a hundred foot yachts and thangs,Your man don't play, have you ever bee to Sandro Pe?,Or seened a brotha play Amando Lay?,Girl I wanna just, look in your eyes and watch the sunrise,No more lies, no more tears to cry,No more reasons for leavin, do I believe in?,Love you till the day I stop breathin, I love you girl,,What I need, is a pretty woman next to me, Standin next to me girl),To share the dreams that I Believe, When I wake up in the morning),Maybe we could start a family, I wanna see your pretty face, yeah),Someone who truly understands, how to treat a man,This is what I need, Is that all you want?),Is a pretty woman next to me, Made the sacrifice),To share the dreams that I believe, And maybe maybe we),Maybe we could start a family,Someone who truly understands, how to treat a man,This is what I need, is a pretty woman next to me,To share the dreams that I Believe,Maybe we could start a family,Someone who truly understands, how to treat a man,This is what I need
,
,
"
NO DATE P. Diddy:Special Delivery (Remix),P. Diddy,",Fuck the whole industry!!!!,You tried to get rid of me!!! Y'all must be kiddin me!!,Y'all must be kiddin me!!! Aiyyo fuck the whole industry!!!,Come on!!! Staten Island! Come on! Hold me down!!!,,Monster cut truck balley shit,Champagne spillin while we hittin every bump that my Denali hit,Outfit is four thousand and better,The rhinestones in my flintstones look crazy in my sweater,Pah, it's not a big fairy tale that's my M.O.,Fuck bitches on the reg' with no problemo,Iceberg, rabbits, and the fox and more,Where I coped two more, brought four for RZA,Bad Boy thank you for this special delivery,Catch me by the pool in my Tony Starks slippers,Wonder Woman armed, Ghost is intelligent,Made 30 offa Def Jam I was killin 'em,Did cash on One-Sixteen I was feelin 'em,Them days kept a crisp cold dollar bill on 'em,I lived it out -- special delivery,I spit it out -- special delivery,I sniffed it out -- special delivery,, Special delivery!!!, This is the remix, special delivery!!!, Come on, special delivery!!!, Bad Boy baby!!, special delivery!!!, We won't stop!!!, special delivery!!!, Yeah! G. Dep! Child of the Ghetto!!!, As we proceed! AHHH!!,,,Aiyyo! Aiyyo!,Signed, sealed, delivered in just the nick of time,Rare, I'm a give it to 'em my design is rhyme in the ghettoist form,Show power the child of the ghetto is born,Uh, feet first, preach give a speech I kick ya each verse,Groove let the shit just spit now it's dirt,Death pressin ya and ya like a hustler on the first ya need work,Stand by the grand high exhaulted,At your door with a portrait of the raw shit,Picture that while I spit anthrax,On your cd, tape, and wax so stand back,You don't really wanna jump the gun,In the airless flow with punctured lungs,Go 'head and stand there and bump ya gums,If ya wan't the problem we can hurry up and come bury ya,I'ma play the courier,,special delivery!!!, Yeah come on, special delivery!!!, This is the remix, special delivery!!!, Ha-ha ha-ha, special delivery!!!, Come on come on!!! Special delivery!!!, Yeah yeah!!! Special delivery!!!, What what!!! Special delivery!!!, Ladies and gentlemen, Keith Murray, ahh!!,,,Yo! This for my niggaz dem special delivery,Bang ya head off to this, fuckin up your memory,I'll shake your cradle and rock your boat,Buck 50 your face and then butter your throat,It don't matter where you been or where you at,I'm here now and I'm bangin, kid you softer than the Queen of England,Phraseologist natural philosopher wordsmith,Authentical metaphorical lyricist,Sharp descriptive writer, kill a biter,Panty raider, party exciter,Yo Murray what the deal - how ya feel?,Yeah I'm gutter what I utter got you timid hesitatin like a stutter,Oxymoron, don't be dumb,I school niggaz like the United Negro College Fund,I see you plottin schemin tryin to snake,And when you do I'm a give it to you special delivery,, Special delivery!!!, This is the remix!!! Special delivery!!!, Get wit me now come on special delivery!!!!, Bad Boy baby!!! Special delivery!!!,Ay yo hold up a second......this is the remix,so let's bring back my man, Craig Mack,,Aiyyo you must wanna be in the Guinness Book of World Records,as the dumbest motherfucker alive,Figure you gon' survive,You couldn't move through my terrain, even in 4-wheel drive,And I'm your highness, finest,You hungry? Try this, buy this, livest,Uh huh, I take my rap style real serious,What you think it ain't...that serious?,I bang clubs and streets it's gettin hot,See Mack won't stop until Mack's on top,Young black america my CD drop,in two thousand and two, to change hip-hop,Most folks shake ya bones,I'm talkin cyclones and ""Terrordomes"" like Mel Gib-son's,My heat will cook you bwoyy, whooped you bwoyy!,Mack came an shook you bwoyy, somma'bitches,,Somma'bitches!!!,, Take that!!! Come on!!! Special delivery!!!, Special delivery!!!, This is the remix!!!! Special delivery!!!, G. Dep!!!! Special delivery!!!, Come on now!!! Special delivery!!!, Child of the ghetto!!! Special delivery!!!, 1-1-5, Harlem's Finest!!! Special delivery!!!, Yeah, special delivery!!!, Alumni baby! Special delivery!, B-R, special delivery!, Ghostface, special delivery, Keith Murray!, Craig Mack, special delivery!, I'm that boy they call Diddy, Bad Boy baby, Yeah! Special delivery!, Special delivery, Special delivery...
,
,
"
2001,P. Diddy,",You've always been right there to let me know everything's alright,Whenever darkness came my way You were my light,I wanna thank You for the difference in my life,Can't even count the reasons why ,,I lift you up and praise Your name,You gave me strength to see another day,When I was lost, You helped me find my way,When it seems I can t face another day,,You-- In time trouble, faced with struggle I call no one but ..,You-- When I'm feelin lonely, no one around me still I call on ..,You-- You always placed Your arms around me when I needed..,You-- Thats why I sing this song to tell You,Lord I do love You,,You are the only one who keeps on blessing me,At times, I thought that I was blind You helped me see, And I can never pay You back for all You've done,Thats why I serve You faithfully and never give You up,I lift you up and praise Your name,You gave me strength to see another day,When I was lost you helped find my way,When it seems I can't face another day,That's when I call on..,,,Knock and He will answer,The lord will make a way,He's worthy of his praise,I know life is worth living,Becasue of you Jesus,I always call on You, - 3X,during second time altos say, - 4X,Boys say: All I wanna do,Girls echo: All I wanna do I,Boys echo: is to keep lovin you,Girls echo: is to keep lovin you
,
,
"
NO DATE P. Diddy:Intro,P. Diddy,",The year 1987 star is born,the place Harlum thats were we from the home of hustlersand money makers his name Loon its your,turn now kid show em what you got young party and heartless young Markus this bad boy we give,birth to mother f**kers like this destness for grateness the legucy continues show em what you got
,
,
"
NO DATE P. Diddy:Bad Boy For Life (Remix),P. Diddy,",],Stick 'em up!,As we proceed,Stick em up motherfuckers!,To give you what you need,Put your hands in the air,It's star time ,We still here  ,It's star time ,Motherfuckers,Yeah, c'mon,,I'm the definition of - fuck it y'all already know,I stack heavy doe, sell out every show,It'll never die, we live,And we gon stay big time 'til it's time to see Big ,Get a grip, Bad Boy never slip,We, runnin strips while y'all runnin lips,Haters wanna stop my lute,They don't want me wearing Sean John, they want me wearing lawn suits,P.D. increase the heat in ya streets,Keep ya tapes on rewind, CD's on repeat,My mental, more older, jewellery, more colder,Got a lot like its '97 all over,You know what I came to do; change the rules,Even when I stand still I'm makin moves,I, paid my dues as soon as I stepped in,P. Diddy a.k.a. News at Eleven,,Throw your hands up in the air now,We're gonna hit you with the heat,For the streets,Throw your hands up in the air now,We won't stop,It's Bad Boy For Life,],M.O.P.!,Catch me walking on the wildness side of your block,Yo, I bang mine, niggas showing me hood love throwing up gang signs,,You see it, Brooklyn Military remains in blazin,Respect our hood because the clove is a ghetto,But niggas start switchin like hoes in stilettos,,Remember them niggas from the hill up in Brownsville,We still bangin 'em!,Ahhhhhhhhhhh!,],Sound the alarm,It's the First Family and we're back to drop bombs, boom! ,Nuke those justice, it's the worlds, famous, fast Caress' street,Vow, to keep the homies proud in the street,To make our music loud and stomp over beats,Like  There you go!,Yeah, we ain't goin nowhere,,,Niggas put a hundred grand up,Stand up, before I stick your bitch-ass you better put your hands up,Hate if you want and front like you ain't wit it, nigga,I bust your motherfucking head with a skillet, nigga,More rugged nigga, heat for the track,I'm like a Pick-up Truck with broken concrete in the back,Now let me add a couple G's to the stack,I know we got you dumb and how we put this together ,And run when you didn't even see it coming,Back the fire armor and pop your car,Nigga watch me shatter your windshield with a rock guitar,We be them zero tolerance niggas,I'll turn on your ass, bitch,And melt you niggas like a fire, burnin yo' ass bitch,Relax bitch, the fact is we trifil with heat,With cycles with lyrics right from the street,I'm sayin ""AS WE COME THROUGH, PUT THE SHIT DOWN"",Soldiers get up, faggot niggas need to sit down, what?,
,
,
"
2001,P. Diddy,",Uhh, yeah, you know what it is,,Aiyyo, back on the scene,Ain't nuthin' changed,Still doin' wild things,Whippin' something mean,The whole shorts in the Rolls Royce is off,For sure, bouncin' the bar on my next world tour,When we hit the sick, I'm the cure,We 'bout to pop it off so wild, hit the floor,Ain't nobody botherin' you,All I'm thinkin' 'bout is clobberin' you,Immigration always sayin' I'm harboring a few,Illegal aliens,Females, mostly Latins and Israeli-ans,The top story, evening news,I'm the shit, they been decieving you,Drop the roof on the Coupe D'Ville,Shoot to kill,Ask niggas, Duke is real,Stay lookin' for the loot to steal,He determined,Don't try to touch Bad Boy, cause we burnin',I want my glory,Duke is not a joke, and I ain't got ?,Everytime I grab the mic it's with the sole intent,To rip shots and give you 2OO percent,Man, I'm tired of doin' dirt,Tired of being on the the run from Wyatt Earp,Rather be somewhere in a quiet church, sayin' prayers,Not only sayin' mine, but sayin' theirs,That's cause my dawgs ain't there,Chorus: x2,The more hits we make, more money to burn,The more fame we get, niggas get concerned,It don't matter who's hot, who's out,Bad Boy is Back For Good Now,,Aiyyo, I'm fresh off the plane,Tryin' to get a little bit of stress off my brain,M-I-A,Dom P., palm trees, 9O degrees,Arm freeze, mom please, ain't nuthin' but cheese,Caribbean Sea, Malibu breeze,Watchin' DVDs on 5O inch screens,So cut it out, you ain't now Don Juan, please,I stay spillin' Dom on my Sean John jeans,I hit the bar, yo, it's all on me,Pop bottles, models, be all on me,You all gon' see how it's all gon' be,Front on me and see where you all gon' be,Six feet deep,When the heat seek, niggas be misty,From 155th to 11Oth Street,Harlem bound, Bad Boy, who the fuck want a problem now?,Chorus x2,,See this is the part I like right here,I like when I see everybody on the dance floor,Yeah, I see y'all, just shakin' your asses,C'mon, hold on, I need to break it down,Yeah,One time like this,Now would you clap your hands,Your hands you clap,If your girl's outta place then your girl get tapped,Niggas keep thinkin' Diddy ain't on it like that,But you never see me standing on the corner like that,Cause, I'm talented, yes I'm gifted,Never boosted, never shoplifted,Forget get the cash, the money ain't nuthin',Cause everything I talk about, you know I ain't frontin',I rock Sean John everyday,Boutiques from France to the USA,And I make all the chips off the hits I invent,So it really doesn't matter how much I spent,Cause, I'm droppin' hits,Daily,You burn me?,Really?,Think Bad Boy been played a million times,And I don't care if niggas write a billion rhymes,Damn, we still payed!,We still payed!,Yeah, we got it made!,,Aiyyo, this game ain't stoppin',We champagne poppin',Girl, I got shit that your man ain't coppin',You could hop in when your man ain't watchin',Give you one option, temperature's droppin',Gettin' cold, control your soul when I'm locked in,You the type of chick that fold when you boxed in,Signals my watch and givin' you more reasons to hop in,This is a Bentley, not a Datsun,Don't confuse me with dude, I'm not him,Your man got a lot to learn,But you could leave with the cat if you that concerned,One day you gon' actually learn,But not now cause, girl, I got tracks to burn,I stay on my J-O-B,Nigga, me, P. Diddy, B. R-O-B,,The fam baby, Bad Boy,Chorus x4,,Yeah, I want to dedicate this to everybody that been down with us,From day one,Shakin' them asses on the dance floor,That's all we're tryin' to do,Mo' money, no mo' problems,2OO1, Bad Boy forever
,
,
"
2001,"P. Diddy,Carl Thomas,Faith Evans"," ,Uh, oh, oh yeah,Oh, oh, oh, oh, oh yeah,,I always dreamed that everything would be okay,With me and you, but I was wrong,When I looked into your eyes,I didn't see all the things I used to see,What's going on?,1 - ,You gave me reason to believe that,We were always meant to be,But now I see, you were wrong,You can't keep running back to me,With all those ""Baby, baby please""-s,No more, no more,2 - ,Never imagined,You would be a painted picture,I'm emotional,You saw me leaving,No deceiving, it's official,I'm emotional,,I can't forget that night I saw you in the corner,Wrapped up tight, you were wrong ooh,Slow dancing on the floor,While I was watching from the door,So hurt, there you were,Repeat 1,Repeat 2,You had your chance,But you through it all away,Thought you had my love always,Oh baby, I don't understand,Why you think that we could in total unhappiness,Repeat 2 till end
,
,
"
2001,P. Diddy,",1, 2, 1, 2 ,yeh y'all can hear me,make the drumming sound yeh,lets ride yeh yeh,be clear we here lights out,eat here  sleep here my house,rhyme wasting time wasting,feds want me caged in,hope they got patience,more you win they want you to lose,I don't floss no more I drop jewels,Hope we might chill the heights real,Still we got fire that will melt your ice grill,Know the deal once we hit record,Hit the floor,New era this is war,Lord I'm the answer without a question,No evidence no possession,Stop stressing,Shit I got moves to make,Streets is dark but still I illuminate nigga,I could see the way,Till I see the end to me and BIG meet again yeh,,Curry going hit again,Dreams your living in,This what you coulda been,Every city foot scene gets scrilla with em,kid shortchange the dealer,the game be gorilla,ain't nothing illa,aka 800 toll free aside,I rose to be a Bad Boy til' I die,The official bonafide ,Tested and tried ,Get in like Canson,Work from the inside,When I ride eyes are wide,Ain't that I lick when I walk,My some pimping to my stride,Some wit a emphis on my side,Cause I understand niggas out to get I,Living the life,Is no lie,Been a great thing to do,Nuttin I could think change the view,Althought it might seem strange to you,Its plain to me,I'm here with you,Lets give them what they came to see,,Yow yow aiiyo,We exceptional,Congressional,Its best that you bester crew,Wit your flesh going bruise,Blood goin ooze and,However you choose your ass goin lose,This ain't the blues,Don't things that cruise,Go bring the news,Wit flows meaning cruel,From few options,To cruise hopping,Now fools plotting cause I chart topping,From bounce checks to being in effect ,And it don't stop till they reinterbect,Rhyme calisthetics,Bad Boy anesthetics,Will twist me like crippie,Amanda Chevitts,Back flips tactics,Be on measure,Hat tricks wit only dimes and better,Nigga just for that cheddar,O please I switch cheese to leather,,Uh yeh uh yeh uh,Check it out yo,Y'all niggas say what y'all wanna say,Feel how y'all wanna feel,Who give a fuck dog kill who you wanna kill,Just keep it real when it come to me,Cuz all my niggas in the slums kinda hungary,On my right where my gun going be,Bitches ain't getting a crumb from me,Member when niggas used to run from me,All of a sudden niggas names is buzzing,Nigga in the game got a little chain becuz,Heard the nigga signed a major budget,But I'm the nigga made you love,Now you wanna change the subject,I ain't sweating that animosity,I'm deading that,Instead of rap imma smack you dead in your trap,I don't give a fuck what I said on a track,Niggas know me better than that,Niggas I could neva be wack,My money way to ahead of you cats,I'm going strait to the top where the cheddar be at,Wassup wit that,Yeh bad boy nigga,Fuck y'all wanna do,,As y'all can see when have come to the end of our program,Very important that I let y'all know,That I truly appreciate and I'm thankful,For all your support,For everybody that's been down from day one,I love you,We love you,P. Diddy and the Bad Boy Family,We out,Aiiyo BIG we miss you,one
,
,
"
2001,P. Diddy,"You are now entering a Bad Boy zone ,Yeah!,,This is for the niggas who ain't got shit to love,I cripple thugs, just because,You not Jada but you could, kiss the slugs,Until your place hit up,Rap niggas in the studio, wasting bucks,You're better off making sure papi know your name well,Guess who ghostwrite for me, my brain sails/sells,Now believe it, better place checks,Bad Boy, big things nigga, HF,,I put it down for mine, my crew live a life of crime,Constantly non-stop, when they on the climb,And BK, no such thing, it's dark,The sun go down, the tool start to spark,Outline in chalk, moms lift the part,Cases handle in the street, motherfuck the court,Shouldn't talk the talk, you can't walk the walk,It's The Hoodfellaz, what the fuck y'all thought?,,Now if you want this money baby,Then I guess you in the right place,And if your mind ain't right sugar,Then you need to get up outta my face,So what's the deal?,Cant' ya see how a nigga feel?,And let me know if you gon' ride tonight,Cause this paper we makin' is real, all day,,It's like that y'all ,Don't get it twisted with the rap y'all ,Still walk around with the gat y'all ,Don't make me have to point it at y'all ,And clap y'all ,That's how I see things goin',Chains showin', rings glowin', Range Rovin',And my nigga push ki's like Beethoven,It's gonna stay like that till the pearly gates open,,And here we go {overlaps Verse's last line},Aiyyo, let's get it where it needs to be,Tuned in to the, P-the-D, please believe,I told y'all it's on for life,The only bars I ever be behind is the one's I co-write,Hold it down, hold the crown,What I gotta brag for? Y'all should know by now,Cats talk this and that, so we rip the track,This a fact, it's a wrap, uh!,,,Yo, yo,Niggas mad at the fact we bad,Man I won't stop like a New York taxicab,If your shit wack, we burn,If you got beef, we come back like a tax return,We get money, hold money, no quotas,We gon' fuck around and do this murder, no motive,Aiyyo, I burn more,Wait till I drop it, then you can learn more ,Cause you a turn-off,,Numb in my veins,And bought enough to numbin' the brain,Lovin' the brain, let a slob till it's come and arrange,Strollin' the block, honey holdin' the glock,1-9, come on baby, it's crunch time,In a truck blue, yellin' my fuck you's,Doin' a buck-2, circle hoods like Doug Ghouls,Huggin' the piece, ha ha, Sim is the word on the street,Come on, I can make dessert outta beef,
,
,
"
