2010,"Drake,Alicia Keys"," ,Money just changed everything ,I wonder how life without it would go ,From the concrete who knew that a flower would grow? ,Lookin' down from the top and it's crowded below ,My fifteen minutes started an hour ago,Truth over fame, you know I respect the blatant shit ,When I 'em hear talkin' ,I just don't know what to make of it ,Hate is so familiar to me ,I'm slowly embracing it,Doesn't come natural ,Bear wit' me it could take a bit ,Yeah, and my dreams are who I'm racin' with ,You can see I'm pacin' it so that I'm always chasin' it ,Wayne put me right here ,That's who I get the paper wit',I hope that my success never alters our relationship ,Yeah, this life is somethin' I would die for ,October's Own, but it's lookin' like July 4 ,I just wish they'd let you try it first ,This time I'm really goin' off, fireworks , ,Oh, today it begins ,I've missed them before, but won't miss them again ,I keep having the same dream ,And I think that I just realized what it means , ,All I see is fireworks, ,All I see is fireworks ,Every night it's fireworks ,Every night it's fireworks,All I see is fireworks ,All I see is fireworks ,Taking off like fireworks ,Taking off like oh-ah-oh-oh , ,I'm just such a gentleman you should give it up for me ,Look at how I'm placing all my napkins and my cutlery ,I can tell it wasn't love I just thought you fuck with me ,Who coulda predicted Lucky Strike will have you stuck with me,Damn I kept my wits about me luckily ,What happened between us that night it always seems to trouble me ,Now all of a sudden these gossip brags wanna cover me ,And you makin' it seem that it happened that way because of me ,But I was curious and I'll never forget it baby,What an experience you coulda been the one but it wasn't that serious ,There was smoke in the air before now it's me clearin' it ,That felt good, all and all I learned a lesson from it though ,You never see it comin' you just get to see it go ,Yeah, I shoulda looked up in the sky at first ,Now I can see it in her eyes ,Fireworks , ,Oh, today it begins ,I've missed them before, but won't miss them again ,I keep having the same dream ,And I think that I just realized what it means, ,Everything the same but it feels different ,My dad called me up knowing that I still listen ,And he's still got his foot out, guilt trippin' ,It's been years, though, I just learned to deal with it,For real, me and my realtor we built up a better rapport ,Got my mother in a place with some better decor ,She searched the entire city I let her explore ,And now she's sayin' she more lonely than every before,How many of our parents' marriages lasted? ,I was only five, I bet I barely reacted ,I'm flyin' back home for the heritage classic ,Searchin' for that feelin', tell me where is the magic?,Let's stay together till we're ghosts ,I want to witness love, I've never seen it close ,Yeah, but I guess I gotta find it first ,Yhat's why I'm really goin' off, fireworks ,,Oh, today it begins ,I've missed them before, but won't miss them again ,I keep having the same dream ,And I think that I just realized what it means
,
,
"
NO DATE Drake:AM 2 PM,Drake,",Yo I wake up every morning, shower, gather my belongings,Yo I wake up every morning, shower, gather my belongings,Head to works, I get some breakfast 'cause, still a nigga yawning,From the night before, at the club I was up I'm tryna live,Only twenty two my nig, 'bout to be twenty three ya dig?,Yo I wake up every morning, shower, gather my belongings,Head to works, I get some breakfast 'cause, still a nigga yawning,From the night before, at the club I was up I'm tryna live,Only twenty two my nig, 'bout to be twenty three ya dig?,Time don't wait for none of us that's why I gotta chase my dreams,Make my momma proud so she can show off all her pearly teeth,And be half the man my dad was, I thank God he was in my life,I realize how many ,Either I, need to make this music work or move from the Earth,I'm preachin' fire, need a choir, 'bout to take you all to church,My congregation bombed the nation with this HIP HOP,We in the race to fame, blowin' pass the PIT STOPS,I heard the prize was some chicks and a WRIST WATCH,And all you gotta do is go to jail or GET SHOT,Yeah Nick cop but he ain't never get popped,How we gonna get pop fans? Give 'em a quick shot,Now I get ya chick hot with my wrist watch,Yeah shorty drip drop when it tick tock,It's kinda sick huh? Ay Jay, put it in the heart of Pickering,And tell them niggas this is NICK'S SPOT,They don't keep it fresh enough I got it zip locked,Saran wrap, anthrax, it make ya sick huh,I'm hot as fire wanna put me out with piss huh,,,It ain't as easy as it looks, we go through some shit,You cut us a check, then we go through some hits,Then you show us respect, then we'll say you legit,And this is the life that I lead from AM to PM,I'm tryna get that cash, then watch how tall it grows,Soon as we get the ass, we start callin' 'em hos,The concept you don't grasp, I'm guessin' you too old,And this is the life that I lead from AM to PM,,Ayo I stay up every evening, write that shit that they believe in,DJs run it, they approach me, and it's praise I be receiving,From the night befo', at the club, fake I.D. my record spins,Got me dancin' right outside since these niggas won't let me in,Well guess again, slip around the back and get it crackin',And all the bottles wrapped in cellophane ,Hundred grand, Nickle F, that nigga's the next to win,Virgina go rep for him, and Memphis represent for me,To the tenth 10 degree, Tennekey, T Dot to the country ya'll,Orangemen and White Haven, an back up north to Montreal,I ain't ashamed, my city ain't on the map, Light that fire, realize they ain't born to rap, Pass the torch and sell they soul ,Maybe they can bring they career back,But these niggas right here ain't tryna hear that,Cause I'm on set, make it work, break even on 9 to 5's,Cigarettes and lotto tickets, tryna keep that grind alive,All my uncles, they hit the casino when they get they check,My cousins, they paint they  to get respect,This can't be life, dominoes and  dro and twenty stacks,,,Rest In Peace to SKUMMY this reality not funny rap! ,You think it's funny till these youngings suck a bunny,Pull the jack rabbit out and get to screamin' where the money at! ,,It ain't as easy as it looks, we go through some shit,You cut us a check, then we go through some hits,Then you show us respect, then we'll say you legit,And this is the life that I lead from AM to PM,I'm tryna get that cash, then watch how tall it grows,Soon as we get the ass, we start callin' 'em hos,The concept you don't grasp, I'm guessin' you too old,And this is the life that I lead from AM to PM
,
,
"
NO DATE Drake:Bad Meaning Good,Drake,",Lady, You Say I Stay In The House Til Four,We don't Even Go Out No More,It's Always The Same Eh,Always Complainin,It's Obvious Baby,I Guess You don't Watch The News,You See there's A Lot To Lose,Cuz We Got A Baby,And People Are Shady,,My Generation Is Changin,Aside From The Fact,The Dealers Have Customers They Provide With The Crack,Front Of The Buses Taken,And We Denied From The Back,You Can Die Where From, Or Die Where You At,,Don't Put It Past Them,I don't Think That They Understood,My Friends They don't Even Sit In The Class When They Should,He Can Come Pick You Up,If Your Dads In The Hood,Not Bad Meaning Bad, But Bad Meaning Good Good Good,,Lady, Somebody Shot Up The Place Right By,Where I Work And I Think They Might,Be Coming For Me Next,Lend Me Ya Kleenex,I'm Tellin You Baby,I Think I'm A Bout To Cry,Still Gotta Go Out Tonight,Cuz I Gotta Feed You,I Hope That I See You Again... Again,Hope That I See You, See You,,Don't Put It Past Them,I don't Think That They Understood,My Friends They don't Even Sit In The Class When They Should,He Can Come Pick You Up,If Your Dads In The Hood,Not Bad Meaning Bad, But Bad Meaning Good Good Good,,Lately I don't Know About The Friends That I Hang With,I'm Nervous Round My Boys, It Depends On Their Anguish,Depends On If They Saving All The Tops On Pepsi,With Dreams Of Seeing Girls Topless On Jet Skis,Depends On What They Do To Achieve That,Robbing R&B Singers, 'specially If They Know Where The Keys At,'Specially If They Know Where They Girl Live,Get The Info, Leave With Ya Money Man, that's How The World Is,That's How Niggas Puttin They Dirt Down,Streets Are Seedy I Call Em Sesame... Berkstown,'Specially When These Young'ns Get Turned Down For Work Opportunities,Next Week Same Place'll Get Burnt Down,Coincidink? Not Likely Not A Chance,How Can We Be So Aware Of These Problems And Not Advance?,At Least Start Put A Bid In, it's Hard Just To Fit In,A Lot Of People Only Play They Part When They Spittin,But I don't Think That They Understood,They Using This Darkness For Penetration In The Hood,I Took The Ivory Way In And Yes I'm Glad That Keenan Could,Not Bad Meaning Bad, But Bad Meaning Good Good Good,Not Bad Meaning Bad, But Bad Meaning Good,Not Bad Meaning Bad, But Bad Meaning Good Good Good
,
,
"
NO DATE Drake:Money (Remix),Drake,",Southern Smoke {echo},It's Southern Smoke baby! , Frank , My man Nickelus F, Ho! It's Drake. Southern Smoke, This is the remix right here, So if you got some ,Put ya hands in the air, Southern Smoke,,Now-a-days you sayin' that I should go Jermaine, I should go Pharrell,Either or my nigga, make sure you don't get shelled, Make sure your money's right and they do a promotion well,So you could get checks cut like Benedict in Ocean's Twelve,This ain't Brad Pitt, I gotta admit,I'm sick of seeing chicks in that Louis V and that Plaid shit, cause it's a bad fit,They say my father lives through me, so this is just basically how my dad spit,I know my cash come quick when it's sunny,You know a girl is special if I stick with her honey,If it wasn't for dummies chick would still have money,And if it wasn't for money Nick would still have Skummy,So, guess it's kinda like a gift and a curse,To jip money is easier than liftin' a purse,If you pick the wrong mother who'll snatch you, run for cover,A week later you might find ya click in a hearse, boy! ,,I, take time arrange that ,Some, kill just to claim that ,Switch countries exchange that ,You cannot get jack for freeee,And my, proceeds and cash right ,There's, no need to stash right ,Got the same, 4 g's from last night ,You cannot take that from meeeee, homie,,,I, take time arrange that ,Some, kill just to claim that ,Switch countries exchange that ,You cannot get jack for freeee,And my, proceeds and cash right,There's, no need to stash right,Got the same, 4 g's from last night,You cannot take that from meeeee, homie
,
,
"
NO DATE Drake:Make Things Right,Drake,",Look,,If You A Girl With The Aspirations,Of Being In The Background Witcha Asses Shakin,Hittin Clubs And Skippin Out On The Class You Takin,I Ask You To Have Some Patience,,To My Dudes At The Bar With A Freak And,Steady Lightin Cigars At The Parties They Sneak In,And Look Forward To Being A Star On The Weekend,Ya Are Part Of The Speech Coz,,Im From The City Where People Be Gettin Lazy,Litterin In The Streets,And The Club District Is Poppin Like Literally Every Week,And Promoters'll Push Flyers,Money Exchange Hands,Liars Sell You They Dreams,And Dummies Exchange Plans,Hustlers Give You Events,Bouncers Give You Pass,Directors Give Em A Shot,So Girls'll Give Up The Ass,And Groupies That Would Flock To Hometown Athletes,And Start Rolling Together Like Snoopy And Woodstock,Daffy And Bugs, Its All Laughing And Hugs,Til The Dude Catch A Plane,And She Back Where She Was,Right Back On The Bus,Its Ashame Cuz Now At His Rental,She Throwin Bricks Like Shaq In The Clutch,You Can See Thats Shes Colder,Cuz He Doesnt Hold Her,Fall Flat On The Ground Trying Ta Lean On His Shoulder,Know That He Tried Ta Told Her,That He Couldnt Mold Her,If This The Type Of Chick You Wanna Be When You Older, I Say,,If You A Girl With The Aspirations,Of Being In The Background Witcha Asses Shakin,Hittin Clubs And Skippin Out On The Class You Takin,I Ask You To Have Some Patience,,To My Dudes At The Bar With A Freak And,Steady Lightin Cigars At The Parties They Sneak In,And Look Forward To Being A Star On The Weekend,Ya Are Part Of The Speech Coz,,Now Up North Theres Five Artists Deservin A Listen,And Im One Of Em, The Other Four You Know Who You Are,But If You Gotta Think Through,Chances Are That It Aint You,I Singlehandedly Carry Out What You Cant Do,And See I Take A Couple Of Breathers,And Then Things Come Together On The Spot Like A Couple Thats Eager,If You Wanna Pack A Duffel And Leave Her,Go Ahead, I Couldnt Give Two Damns Like A Couple Of Beavers,But Uh, The In & The Out,,Whenever Im Out In Memphis The Man Seen As Trill,And Every Verse The Man Seem To Kill,You Can Find Him With Black Jays And Socks Like Im Andreena Mill,Japan And Brazil, The Audience Acreaming,And Then You Come Around And All The Fans Seems To Chill,Advances To Deals, Financing Appeals,The Hustles, I Have You Feeling Like You Dancing In Heels And Uh,,If You A Girl With The Aspirations,Of Being In The Background Witcha Asses Shakin,Hittin Clubs And Skippin Out On The Class You Takin,I Ask You To Have Some Patience,,To My Dudes In The Bar With A Freak And,Steady Lightin Cigars In The Parties They Sneak In,And Look Forward To Being A Star On The Weekend,Ya Are Part Of The Speech Coz
,
,
"
NO DATE Drake:Video Girl,Drake,",Uh, Yea, Get In My Slick Rick Mode,N'a Mean?, Im A Tell Ya A Story Real Quick,,Look,,She Got A Saying Theres No Alice Without The Tin Man,Crib Was 2 Mil, Plus I Just Bought A Couch For Ten Grand,Even If The House Was Ten Grand,And There Was No Pool,Would I Still Be Witout My Swim Fan?,The Ceiling Could Be Higher,She Making Requests,Dont Know If She Feeling Me Or She Be Feelin What I Buy Her,And Purses Are Light Now,She Use Em All The Time,So She Smilin To The The Point That It Hurt When She Bite Down,And She Simply A New Model,Stay Spendin Dollars,But She Got Less Sense Than A Empty Perfume Bottle,At Times She A Solid Chick,And Im A Sucka For The Cuties,So She Always Lookin Good When My Wallets Thick,Chillin On The Linen, She All Up In The Closet So Much,Got A Hunch Thats Shes Feelin Other Women,Want The Diamonds On The Face In The Center,Nice Guys Finish Last So Im Winnin Every Race That I Enter And She A,,Video Girl,Eh Yo You Have To Listen,Im In A Bad Position,I Fell In Love With A,Video Girl,I Wouldnt Call Her Name,I Got The Feelin That They All The Same,And She A,Video Girl,To The Fullest Extent,So I Wrote You A Song,Cuz I Cant Stay With A,Video Girl,And You Betrayed Your Wealth,Got A Feelin You Shoulda Stayed Yourself,,You're All The Same,Look At Vida Guerrera,Theres No Need To Compare Her,I Bet She Smiles Cuz She Loves What She Sees In The Mirror,I Bet Shes Out Meetin Directors Instead,And Frustratrated Cuz Shes Already Been Addressed In They Head,Be A Teacher, Open Up Shop If You Can Do Nails Fine,Apply For A Business Loan And I'll Bet You That They'll Sign,If You A Real Dime,Poppin As If Its Your Only Option,Girl Theres Things To Do,Other Than Jail Time,Look This Aint A Song Dissing Half Of These Rappers,Or Pasha And Sasha, Esther Baxter,Melyssa Ford, Or Katy Or Anyone After,I Just Give My Opinion For Laughter,Or Maybe To Think On,So Next Time You Out At The Club,And A Brother Offers The Whole Table Something To Drink On,You Just Take In Effect He Got A Stack With A Mink On,Now He Got You Doing Everything That You Think Wrong,Look, You Tell Your Parents That Its Cash At An Easy Pace,Ya Dad Screaming Take Ya Ass Outta Jeezy Face,And As Ya Man I Wont Back Down First,But They Got You Doing Soft-Core Background Work,That Messed Up Like An Officer That Pulls You Over,And He Ask Questions Later And Pat Down First,But You Aint Thandie Newton, And This Aint Crash Here,The Resolutions Passed Baby, This Aint Last Year,Look, I Got A Message, I'll Say It,I Got Some Beats Still,Regina Hall And Garcelle And Alice Neal,Young Girls These Here Women With Big Dreams,Role Models That You Can Watch On The Big Screen,If You Refuse To Change And You That Chick Still,Respect Yourself, Dont Be Convinced That These Tricks Will,You Got An Audience Believe It Or Not,My Cousin Who Cant Speak Know The Lyrics To Tip Drill,,Video Girl,Eh Yo You Have To Listen,Im In A Bad Position,I Fell In Love With A,Video Girl,I Wouldnt Call Her Name,I Got The Feelin That They All The Same,And She A,Video Girl,To The Fullest Extent,So I Wrote You A Song,Cuz I Cant Stay With A,Video Girl,And You Betrayed Your Wealth,Got A Feelin You Shoulda Stayed Yourself,,And I Aint Trying Ta Generalize Every Video Girl, You N'a Mean? ,Say That Ya All One Way Man Its Just That Sometimes Man You Gotta ,Accept The Fact That Theres Times That You Gotta Better Yourself ,You Know As A Person Man. I Love To See My Black Women Strong, Single, ,Independent. Doing They Thing Without Popping They Booty In Some Rappers ,Video You N'a Mean? Its A Wonderful Thing Baby. So Uh, Dont Hate Me For,This One Ladies. Just Take My Advice You N'a Mean? Cuz Its Like Uh,,If She Beautiful And Honey Dances,And You Always Downtown Making Money Transfers,And Anything The Color Of Braces She Get Excited,She Always Showing Up At These Places She Get Invited,She A Video Girl
,
,
"
NO DATE Drake:Thrill Is Gone,Drake,",Loves Lost,Loves Gone,Love Lost,Love Is Gone ,,Look,,In This World Of Desperate Housewives And Freakin Players,Rappers They Tend To Be Smilin,Because They Swimmin In Women,Most Of Em Sick Of Favors,They Come In Secret Flavors,Thats Why I Envy Omar,Because So Far,And Thats Some Higher Learning,Trying Ta Excel With The Brake On,I'll Have You Stuck In The Same Spot,With The Tires Burnin,And Im A Liar Turnin 19, Jaded With No Faith,In Any Female Thats Askin What I Was Earnin,I Met This Recent Lady,She Knew A Piece Of Sadey By Spinners,I Guess In My Southern Eyes That She Decent Maybe,Well Second Thought If We Have It Then She Can Keep The Baby,Cuz She Aint Give Me The Butterflies That Aleshia Gave Me,Its Like Im Using Some Bread To Sop Up Some Decent Gravy,Now Im Out Of Both And I've Been Thinkin Of Aleshia Lately,Im All Alone, I Got A Feelin Its On,Cuz Nowadays Most Of The Thrill Of Chillin Is Gone And Uh,,Loves Lost,Loves Gone,Love Lost,Love Is Gone,,Some Dudes They Turn Purple With Hurt Faces,Circling Workplaces,And Following Girls On The Assumptions Of What The Worst Case Is,They Get To First Bases,Then They Get To Retreating Cuz If She Cheatin,He Wanna Know What The First Trace Is,Now You Like Macgyver,Cuz You Sneakin Around,And She Dont Know That You There When You Standin Right Beside Her,I Cant Relate To That,I Had To Take It Back A Couple A Years,When Some Of The Best Kicked It With Drake In Fact,I Bet That They Knew It Cuz In My Mind I Play Through It,With  And They Lewis And A Couple Things That They True In,And In The End I Listen But I Dont See Me As They Do,Cuz Its My Opinion, My Life, My Potentials For My Wife,And I Used To Be Eager To Buy Em The World,Maybe Im Confused About What I Desire From Girls,Either Way Im All Alone, Got A Feelin Its On,Cuz Nowadays Most Of The Thrill Of Just Chillin Is Gone And Uh,,Loves Lost,Loves Gone,Love Lost,Love Is Gone,,Check,,And Nowadays Some Girls Are The Type Of Person That,Will Tell They Friends That They Use Him Which Is Confusin,Since I Aint Made Them A Purchase Yet,But Theres Logic Behind It,Emotions Double And They Try To Cover Up,Like A Mansion With The Projects Behind It,I Tend To Freak With This,I Get A Girl And Pretend That I Love The Spendin,And All She Gave Was A Decent Kiss,Thinkin She Been Spoiled,But Golddiggin Is Nothing When You Can Shovel For Days,And Come Up With Tin Foil,We Could Dissect It See,You Take A Dominique Or Another Freak In The Sheets,And You Picture That She Just Slept With Me For Nothing,Gave Her Nothing,Her Reputations In Jeopardy,Cuz It Aint Take Her 3 Of That Shopping To Get Her Next To Me,Collectively I Look For A Proper Chick That'll Rep For Me,Instead Of Seeing Something She Wants And Callin And Textin Me,For Thinkin That Exists, I Got A Feeling Im Wrong,Nowadays Most Of The Thrill Of Just Chillin Is Gone And Uh,,Loves Lost,Loves Gone,Love Lost,Love Is Gone
,
,
"
2013,"Drake,Sampha","It's not me and you,It's not me. It's you,You're reckless and you know it,They don't love you like I do,Say you're moving on, well, I guess that's just the motion,I guess that's just the motion ,I guess that's just the motion ,I guess that's just the motion ,I guess that's just the motion ,I don't have a fuck to give,I been moving state to state,In my leather and my Tims,Like it's 1998,And my dog Chubby Chubb,That's my nigga from the way,On the East side of the city,That's where everybody stay,Seem like everybody calling,'Cause they want me on their song,It's like every time I touch it,I can never do no wrong,When they need a favor from ya man they don't leave you alone,But, I guess that's just the motion,And their phone doesn't ring when they got everything,That's the motion ,I guess that's just the motion ,I guess that's just the motion ,Yeah,,Looking back on it at least my pride is in tact,'Cause we said no strings attached,And I still got tied up in that,Every thing that I write is either for her or about her,So I'm with her even when I'm here without her,And she know it,The girl that I want to save is like a danger to my health,Try being with somebody that want to be somebody else,I always thought she was perfect when she was being herself,Don't even know how to help,But, I guess that's just the motion,Yeah, she'll probably come around soon as I settle down,That's the motion ,I guess that's just the motion  ,I guess that's just the motion ,I guess that's just the motion ,Nothing less and nothing more,I hear your heart hit the floor,,Talking to you's not enough ,I guess that's just the motion ,I guess that's just the motion ,I guess that's just the motion,I guess that's just the motion,I guess that's just the motion,I guess that's just the motion
,
,
"
NO DATE Drake:Special,Drake,",,Uh Yea Man, Vo, Back Again Like We Never Left Huh,Yea Man, Im Sending This Out To Any Of My Girls Thats Different Man,Anybody Thats Special,You Know I Wanna Be Honest With You Women So Ima Start Off Like This,,Uh Look, I'm Bold From The Get Go,Go By The Title Of Drake,And Treating Me Like The Rest Is A Vital Mistake,I'm Hopin That Aint Nobody Else As Special As You,When I Say I've Been Disappointed Im Addressin A Few,I Finesse Then I Groove,While Most Of The 8 To 9's In My Past,Now Get A Rating Thats Less Than A 2,Its True, I Been Talking To Aleshia, Keisha And Nadia,And Shadia, Had To Throw Peace Signs To A Lot Of Ya's,Payback, To The Same Chicks From Way Back,Never Call, Now They Wanna Be Where I Stays At,Now They Got The New Boy, I'm Trying To Move Forward,And Pass Me, Classy, Something Like Drew Lord,A New Me, Cool, See I Never Get Around,If I Dont Change Now I Dont Think I'll Ever Settle Down,Even If I Gotta Travel A Bit,I'll Go Around The World And Back,Cuz I Know That Once I Have It Thats It And Uh,,, ,You Can't Just Love Me Like They Do,,I Need Someone Special In You,,I Know That Out There Theres A Few,,See I've Been Searching I Don't What To Do,Can You Help Me?,,She Gotta Be Special,,By That I Mean That You Gon Hold Me Down,,You Gotta Be Special,,Cuz You Never Know How People Stick Around,,Gotta Be Special,,A Girl I Can Love That Sees Nothing Wrong With Getting Used To Me,Yea My Name Aint Change But I'm Far From The Man That I Used To Be,Since A Young Dude The Flow Was Nasty Acidic,Ever Since The Demo Dog ,And Groupies Are Gettin Brave,Now They Ask Me For ,Rappers, I Write Em A Verse,And Ask Me To Spit It,But I Pay No Mind Though,Cuz They Know I Know,Hard As These Niggas Working Man,They Wont Sign So,Drake And Vo Back,I Take It You Know That,You Take It Sitting Down,Or You Can Take It To Gold Black,And Since Drake Done Took It From Curls To Waves,Its Been Kind Of Like A Whirlwind Phase,I Mean I Had My Share Of Women,Now A Nigga Gettin Girls For Days,With Most Of Em Its Seemin Like They World Is Staged,But From Georgia To Bk And All Around The World,Get Your Hands In The Air If Your Avoiding The Cliche,If You've Been Hurt And You Alone Be Steady,These The Same Dudes From Rewind, Grown And Ready, And Uh,,,You Can Just Love Me Like They Do,,I Need Someone Special In You,,I Know That Out There, Theres A Few,,See I've Been Searching, I Dont Know What To Do,,Can You Help Me?,,Special,,By That I Mean That You Gon Hold Me Down,,Gotta Be Special,,Cuz You Never Know How People Stick Around,Special,,A Girl I Can Love That Sees Nothing Wrong With Getting Used To Me,Yea My Name Aint Change But I'm Far From The Man That I Used To Be,Look Theres Requirements To Be An Admirer,Still The New Version Of Fresh Needa A Nia Or Tyra,So We Can Be Jenny And Swayze,I Told You I'm Careful With My Heart Girl, Many Have Played Me,Or Maybe Its Karma,They Say Is A Charmer,Halfway To A Night So I Stay In A Armor,I'm Fire On The Move,A Tire Looking Smooth,I'm Not Perfect But I Got A Desire To Improve,I'm Special,Like Kids In A Graduating Class,Having More Trouble Than Others When Addin Basic Math,Need You To Be Special Like Areba To Cootmore,Double O, Top Secret Agents With Suits On,Something So Deep It Da Drown Me,Friends Are Some Cool Dudes,I Vouch For The People Around Me,On Your End Its Simple,All You Have To Do,Is Give Me No Reason For Other Lovers After You And Uh,,,You Can't Just Love Me Like They Do,,I Need Someone Special In You,,I Know That Out There Theres A Few, ,See I've Been Searching I Don't What To Do,,Can You Help Me? ,Special,,By That I Mean That You Gon Hold Me Down, ,Special,,Cuz You Never Know How People Stick Around ,Gotta Be Special,A Girl I Can Love That Sees Nothing Wrong With Getting Used To Me,Yea My Name Aint Change But I'm Far From The Man That I Used To Be,,Vo And D-R-A-K-E,We Them Boys That You Came To See ,Yep We Take It To The Same Degree,So Let Loose Since You Came With Me ,Vo, D-R-A-K-E,We Them Boys Came To See ,Ya We Take It To The Same Degree,So Let Loose Cuz You Came 
,
,
"
2013,"Drake,2 Chainz,Big Sean","I'm really stepping up my game,These bitches gotta start paying me for this,Can't get no more free Randy,Got everything, I got everything,I cannot complain, I cannot,I don't even know how much I really made, I forgot,It's a lot, fuck that, nevermind what I got,Nigga don't watch that cause I,Came up, that's all me,Stay true, that's all me,No help, that's all me,All me forreal,Came up, that's all me,Stay true, that's all me,No help, that's all me,All me forreal,Money on my mind, you should think the same,J's on, pinky ring,Dogging these hoes, I need quarantine,In the same league, but we don't ball the same,She want all the fame,I hear that shit all the time,She said she love me,I said, ""Baby girl, fall in line,"" ok,Made a million, off of denim,fuck, watch me switch it up,Walked in, ""Ill nigga alert! Ill nigga alert!"",You need that work, I got that work, got bitches in my condo,Just bought a shirt that cost a Mercedes-Benz car note,From the A to Toronto, we let the metal go off,And my dick so hard it make the metal detector go off,This that sauce, this that dressing,Givenchy, nigga God bless you,If having a bad bitch was a crime,I'd be arrested ,Got everything, I got everything,I cannot complain, I cannot,I don't even know how much I really made, I forgot,It's a lot, fuck that, nevermind what I got,Nigga don't watch that cause I,Came up, that's all me,Stay true, that's all me,No help, that's all me,All me forreal,Came up, that's all me,Stay true, that's all me,No help, that's all me,All me forreal,I touched down at '86,Knew I was a man by the age of 6,I even fucked girls that used to babysit,But thats was years later on some crazy shit,I heard your new shit, nigga hated it,Damon Wayans told me dont play that shit,I get paid a lot, you get paid a bit,And my latest shit is like a greatest hits,God damn,Ain't no wishing over on this side,Y'all don't fuck wit' us and we don't fuck wit' y'all, it's no different over on this side,God damn,Should I listen to everybody or myself?,Cause myself just told myself, ""You the motherfuckin' man, you don't need no help"",Cashin' checks and I'm bigging up my chest,,Ya'll keep talking 'bout who next,,But I'm about how big as it gets,,I swear ya'll just wastin' ya'll breath,,I'm the light skinned Keith Sweat,,I'mma make it last forever,,It's not your turn 'cause I ain't done yet,,Look, just understand that I'm on a roll like Cottonelle,,I was made for all of this shit,,And I'm on the road box office sales,,I'm getting paid for all of this shit,,Ask you to please excuse my table manners,,I was making room for the table dancers,,'Cause if we judging off your advances,,I just got paid like eight advances, God damn!,Got everything, I got everything,I cannot complain, I cannot,I don't even know how much I really made, I forgot,It's a lot, fuck that, nevermind what I got,Nigga don't watch that cause I,Came up, that's all me,Stay true, that's all me,No help, that's all me,All me forreal,Came up, that's all me,Stay true, that's all me,No help, that's all me,All me forreal,Hoe, shut the fuck up,I got way too much on my mental,I learn from what I've been through,I'm finna do what I didn't do,And still waking up like the rest do,Not complicated, it's simple,I got sexy ladies, a whole Benz-full,And to them hoes I'm everythang,Everything but gentle,But I still take my time,Man I guess I'm just old fashioned,Wearing retro shit, that's old fashioned,Nigga, see what I'm saying, no closed caption,I paint pics, see the shit,Good sex, need to hit,Keep a bra on the floor,Year round like season tickets,I plead the fifth,Drink a fifth,Load the nine,Leave you split, in the half,Smoke a half, needles it,My new girl is on Glee and shit,Probably making more money than me and shit,I swear to God I got 99 Problems but a bitch ain't one,I got 99 problems, getting rich ain't one,Like I got trust issues,I'm sorry for the people I've pushed out,I'm the type to have a bullet-proof condom,And still gotta pull out,But that's just me,And I ain't perfect,I ain't a saint but I am worth it,If it's one thing, I am worth it,Niggas still hating but it ain't workin',Lil' bitch,All Me. All Me. Oh my. I think I done fucked too many women from the 305,Before the end of this year, I'll do King of Diamonds, three more times,,Smoking all that kush all in our section like its legalized,Girl, you can't always have your way, sometimes it be like that,They dont really fuck with you like that, they ain't never did me like that,I just took my time, you got your shine, I let you eat like that,I been taught never to loan somebody what you need right back,And I need that shit right back ,I'm less than a motherfucker,,Niggas been stressed than a motherfucker,Niggas gettin' nervous, touching they chests like a motherfucker,,Damn that's a motherfucker,Tell the truth, I don't listen to ya,,'Cause I don't like being lied to,And that ship won't sail,,And that wind won't guide you,Daddy was in jail we was talkin' through the window,,Like a motherfucking drive-thru,That was back then man,,Now my niggas rich enough to do whatever I do.
,
,
"
