NO DATE E-40:Hope I Don't Go Back,E-40,",Hoppin over barbed wire fences nigga,Had this one broad right, SHE was so damn sprung ,She used to hold my motherfuckin.. motherfuckin SAC nigga!,Thought you though, nigga,And a motherfuckin.. V.H.S., uhh motherfuckin cannister,Nigga, yeah ay, I promise you nigga this game been so damn good
,
,
"
NO DATE E-40:It Is What It Is,E-40,",It is what it izzzzzz..,It is what it izzzzzz..,We try compromisin, nope - they don't wanna talk,And they got them youngsters off that Acapulco powdered chalk,So he untouchable - or he can be touched??,Well where he stay at then - he stay by such and such??,Well since we got altercations with these so-called knuckleheads,we gon' play for dooms,And I assume we get radar on fool in dem livin rooms,Bet - motherfucker ain't fin' ta be runnin around here drippin sweat,Havin hot flashes and shit ,over these fulla bitch-made and a half-ass dicks,You ripped? Let's take it to 'em sick,Hit all they spots at once - pour it on 'em thick,Who got the suey chops?? They in my folks garage,Well where he at?? He at the TravelLodge - BEEP THAT NIGGA!,Tell him to get here right now quick now it's gon' be some shit,Tell him to bring enough ammunition to blow up a ship,Bullshit ain't nothin this here been goin on just a little bit too long,Plus I got a family and kids to raise and I plan on seein 'em get grown,Get straight to the root of the problem,Get rid of the source that's what what,Get rid of the big cheese ,and the majority of these niggaz gon' back the fuck up,Somebody gon' mind somethin, time to validate my respects,,and hit the corner dumpin, in a big ass primered stationwagon,CATCH HIS BITCH-ASS!! That's what I told my driver ,meanwhile I was tryin to get into a good enough position ,so that I could open fire,FUCK A SKI MASK!! I'm hot as fish grease,LET THE FULLY BLAST!! May he rest in piss Miss smash up outta there,I brought the noise , but I shoulda brought it like a concert,Fool's still alive, John Muir Trauma Center, Concord,Shoulda doused him, shouldn'ta never found him,Shoulda handled biz, but for now, it is what it izzzzz..,It is what it izzzzzz..,It is what it izzzzzz..,It is what it izzzzzz..,,Aight, ay dude, this all I wanna know,What's wrong with this sad to be glad-ass noggas?,Don't they know that fools is laced with assassin skills?,Kill at will, gonna put your hat on the rack for a cool mill'?, but now the heat has been spared,How we gon' get him out of intensive care,and put him under the wing of a pall-bear?,,One of my potnahs got a plug on some silencers, he knows some agents,He used dem   shot on several different occasions,What that mean his family gon' boo-hoo when I smash that card,Put a stain on a nigga brain give a FUCK ABOUT A DIE-HARD!,I know this one botch with a big-ass crutch by the name of Connie,She works in IC unit and she dates this nigga named Mexican Ronnie,Have nab him at the hospital, THAT'LL WORK,Paid a nurse to pull the plug on the LIFE SUPPORT,Risky business but it's organized class and the shit sound sharp,but if we fuck around and make it look too obvious,the broad might her lose her job,Tough luck that shit no better than fuckin for ME NOW,I gots no toilet paper feelings for her anyhow,The shit is crampin my livin style, floatin from telly to telly,Conspiracy murder plots phone conversations overheard by fedarale,I'm guessin fool musta passed away, tragic losses,On the wall they got my picture at the post office,After travellin bouncin back and forth to different states,they finally caught me up in Kansas City,at a barbecue spot called Gates,Do the crime do the time - it ain't for no bitch,and as long as a nigga twerkin in the kitchen, he ain't trippin,I'll be up in that bitch makin spreads, drinkin Pruno,Cocoa and coffee Cadillacs, jumpin jacks,Takin flicks, shootin kites, makin wishes,Fuck around and get mad on the strength of con-ju-gal vi-sits,Flip the weight pile, hit my fee-vee,Keep my shank close by me when I'm sleep'in,Shouldn'ta caught me, shouldn'ta never found me,Shoulda handled biz, but it's too late, it is what it izzzzz..,It is what it izzzzzz..,It is what it izzzzzz..,It is what it izzzzzz..,,Oh, ohh I see,It is what it was, and what it was is just what's been taught,Handle biz when it's to be done, and I mean rip you dig?,Cause ain't no sense in savin leftovers,That's yesterday's thing, roll with the right now,and everything gon' be is, what it izzzzzz..
,
,
"
NO DATE E-40:Smebbin',E-40,"""You better watch me, I'm comin smebbin"",""Smebbin down the streets in my seven-oh"",""You better watch me, I'm comin smebbin,Ninety-five, ninety-six, ninety-seven"",I was smebbin through the park one day,""Smebbin down the streets in my seven-oh"",Smebbin through the park one day,""You better watch me, I'm comin smebbin"",I was smebbin through the park one day,""Pervin like a motherfucker, swervin"",Smebbin through the park one day,""You better watch me, I'm comin smebbin"",I was smebbin through the park one day,In the very very month of May,I seen three switchin bitches, that thought I had riches,Started walkin towards my way,Hangin out the sunroof of my Brougham Caddy-Mack,Ham sandwich with the BEEZ off in the back,I mah-uh-macked on one, but I slapped down two,thoroughbred tenders like that, smashed out,Dabbed out, bust a pattern, leave em smokin,Just like Felix Mitchell and them used to do out there in Oakland,Major clout without a doubt like Clarence Carter I'll be strokin,Kick a bootch smooth up out my car if she get to actin like I ain't pokin,Smebbin through the park one day,""Smebbin down the streets in my seven-oh"",I was smebbin through the park one day,""You better watch me, I'm comin smebbin"",Smebbin through the park one day,""Pervin like a motherfucker, swervin"",I was smebbin through the park one day,""You better watch me, I'm comin smebbin"",Say hoe, you got your E's mixed up,What the fuck you mackin for huh bitch?  You got your E's mixed up,Always pitched a bitch, quality timer-ass bitch,you best to come and do, 'posed to be down with anything I do,Now first of all before you correct me,I was pretty much already an established celebrity,Get my keys zack me cash off,Keep up in the game so heavily,But youse a stubborn, why in the fuck you complain?,I raised your ass bitch, brought your ass out the rain,when you was in the red, without a roof overhead,I helped your ass out, by puttin you in my bed,Around this time last year your ass was in the dark,and bitch, I'm out -- headed to the park,Smebbin through the park one day,""Smebbin down the streets in my seven-oh"",Smebbin through the park one day,""Boy you better watch me, I'm comin smebbin"",I was smebbin through the park one day,""Pervin like a motherfucker, swervin"",I was smebbin through the park one day,""You better watch me, I'm comin smebbin"",Woke up in the morning on perculation,Hit the homies up, made reservation,What's crackin man, nigga what's cookin?,I got some hoes man, nigga good lookin,Walked out the house, ten thirty three,Dang near forgot my epinine milli-mi,It's unlawful for me to forget my pepper folks,yeah all my reapers and stealers would like it,for me to forget my pepper,Even though y'all my peoples, off the record playboy,where the alcohol and your broccoli at nigga I'm tryin to get my dick wet,Where the naked hoes? Where the big booty bitches? Yvettes and Susettes,I like em thick with the dookie mickers by their hand,Bow legged bitches with the bigger Gaps than the Band,Tell me a little bit about yourself bitch, tell me a little about your history,You done fucked around and made me mad, now I'msabout to talk bad,Tore up, ass, bitch, if you don't give me some head,You best to smeb -- bitch!,Smebbin through the park one day,""Smebbin down the streets in my seven-oh"",I was smebbin through the park one day,""You better watch me, I'm comin smebbin"",Smebbin through the park one day,""Pervin like a motherfucker, swervin"",I was smebbin through the park one day,""You better watch me, I'm comin smebbin"",""Smebbin down the streets in my seven-oh"",""You better watch me, I'm comin smebbin,Ninety-five, ninety-six, ninety-seven"",""You better watch me, I'm comin smebbin"",""Smebbin down the streets in my seven-oh"",""You better watch me, I'm comin smebbin,Ninety-five, ninety-six, ninety-seven""
,
,
"
NO DATE E-40:All Tha Time,E-40,",    Uhhhh.. UHHHH.. UHHHH!  Ah?  Ah?, You got Moesha E?,    All Tha Time B,You got your indonesia B?, All Tha Time E,You got the street sweeper broom?,    All Tha Time B,You got your chronic there too?, All Tha Time!,,Might not know how to read and right, but I do know Arm & Hammer,If the screen from a tweaker's pipe turns black, that means it's bamma,If it's too many seeds in your weed, then chop em down,If your bud gets bogus, then run his ass out of town,I'm on the Carquinez Bridge, terminal three, quarter after seven,Pockets full of hundreds, can't seem to find no ones, engine revvin,Smebbin, talkin hella shit to the cashier,Pi-pi's get right behind me askin me how much I been had to drink,and I said, ""A beer"",Blitzed, out of my wits, drivin drunk,Let's see I done hit one, two, three ain't no tellin how many skunk,In and out of the holdin cell, blood alcohol like a warrior,And I refuse to answer any questions without the advisory of my lawyer,,I been in it, all around it, co-founded,Did it when I done it, I musta been blunted,Ninety-six hundred for the two P's,I let the homie K-One run through these,Places that I roam I let the hubs alone,I wonder if they're trippin at Nextel phones,A bad motherfucker for the butter n grits,and you niggaz need to know this shit, You got Moesha E?,    All Tha Time B,You got your indonesia B?, All Tha Time E,You got the street sweeper broom?,    All Tha Time B,You got your chronic there too?, All Tha Time!,,I got the turf on lock, twenty-six block,One beeper on my side gotta be in the house by eight o'clock,Organized crime bitch, all the time bitch,Get off his dick and get on mine bitch,,I be smokin like a broke-down Coupe DeVille,Poppin them generic brand Golden Seals,Parole can't hold me, and neither could y'all,Bitch me and my Click is off the wall,,I fucks with everybody to somebody, major factors,To niggaz if you can't understand this shit,then nigga you must got your mask on backwards,,Tiptoeing through the hood nigga, is no good nigga,Gotta have a pass, so we get that ass, You got Moesha E?,    All Tha Time B,You got your indonesia B?, All Tha Time E,You got the street sweeper broom?,    All Tha Time B,You got your chronic there too?, All Tha Time!,,Now the parties don't start until we walk in,Drunk off that gin, down to check yo' chin,I'm a mannish motherfucker with the chips and bread,and enough, to have your head kind of tough,Bluffin don't exist, we pull the whole cards,Tail between the legs when you walk in the yard,So if you hard, and wanna stay that way,You better watch what the fuck you play,,Check it out,It's bring yo' own bottle, cause I be likin,to get to perkin somethin awful,and compute that motherfucker slurrin,talkin crazy to bitches, weeble-wobblin,Burpin, gurgin, stomach growlin off the hinges,Lurkin, torqin my stay highs with Red Ledges,I'm tryin to get that fast quarter, fuck a slow nickel,Run a smooth ass operation without gettin caught in the pickle,Take my cool ass on a vacation that maybe someday stop,Buy me an empty commercial lot,and turn it into a car wax wash and detail shop, You got Moesha E?,    All Tha Time B,You got your indonesia B?, All Tha Time E,You got the street sweeper broom?,    All Tha Time B,You got your chronic there too?, All Tha Time!
,
,
"
NO DATE E-40:Trump Change,E-40,"Trump change?  ,Nah TRUMP change patnah not chump change,Trump change, I'm talkin Donald Trump change,I'm talkin Steve Wynn, I'm talkin y'know?  E-Feezee,Chorus: E-40,TRUMP CHANGE, 32 valve Northstar with the,with the ? FRAMES, ? ,candy coated paint, pushin weight,Roller skatin on them thangs!  Ridin federal,Super-flossin, full tank of petrol,Me and my Mossie, TRUMP CHANGE,Lucrative loot, long money, big bread,Step on my boots, next day, he was dead,Shit you not, all I gotta do,is cough to have your motherfuckin head knocked off,""Nigga you my nigga if you don't get no damn money,Just remember no matter how much motherfuckin fetti you sittin on,you still a damn nigga"",Y'all know us meth merchants, sherm stick or pies,Y'all know us sea serpents, makin the grass, get full supplies,Little man complex, and if I ain't little,then I'm big, and if I'm big then I got, big man complex,Love sex, took three of my botches welfare checks,Put a down payment on a brand new invisible diamond bezel,Oyster Perpetual Rolex,Bullet proof vest and armored like bricks,Sometimes you might find me drinkin tap water,up out the public park sinks,But most of the time it's Louis the Thirteenth, sixteen,hundred dollars a pop, guzzle sip sip guzzle non-stop,Mo' candy than c it's coca leaves, flamboast and brag,Go on shoppin sprees, and act bad,Never mind how much it cost, put it in the bag!,Bought a brand new Jag without, lookin at the price tag,Chorus,Fresh up out the box, bought a shit-load of guns,with my left-over cop money, pay cash all ones,Talk to me, I feed the dopefiends crumbs,It's monumental, when they let me use they rental,I'm a factor, livin life, with mo' cheese,than the Green Bay Packers, pay off the vice,ain't never went out Blackwards,I'm engaged to this dope game, no swivel,We talked about gettin out, but it's not official,When there's a drought we don't fret, we handle business,Nigga what you sweatin if you have scientizzic chemistes,that can make that shit and when they cook that shit,it's just like dinner,But cluckheads don't use forks and spoons,They use TV antennas,Chorus,BAR-NONE, sucked up to nathin, heavy rotation,If it wasn't for some of that ""Tired of Being Stepped On"" shit,when I was locked up, I probably wouldn't have never made it,Splurgin, overspendin, doin just a little bit too much,Puttin the ? on a new 40 if I could do it all over again,I'd do it just like,I was locked up on a Friday, went to court on a Tuesday,Third strike victim, judge tried to do me,Lookin at my folks on TV,""Nigga that's my nigga!""  In the day room,""VALLEJO NIGGA  VALLEJO NIGGA!"",Sorry about your patnah, heard he took a fall,Up in here, we get the news before y'all,Now you know we ain't supposed to be talkin on this kind of phones,Dude why you jaw jackin,Well what's the new thing?  White collared crime computer hackin,Ticket scalpin, and dang near e'rybody that I know,be tryin to Charlie Hustle and get they paper,sellin cable box scramblers to bootleg bitches,Just tapes, I let my boys drive my toys,Radar dectectors and po-po scanners makin hella noise,Lookin out for the Elroys,Chorus
,
,
"
NO DATE E-40:The Element Of Surprise,E-40,"Surprise, surprise, surprise, surprise, surprise....,,Biotch!!!,Surprise, the element, apply pressure,Surprise, the element, apply pressure,Surprise nigga!!,Surprise, the element, apply pressure,Surprise nigga!!,Surprise, them lies, I抦 talking about the element of surprise,Time to go get some getback, never sit back,Why should I wait on a muthafucka to come and get me,When a muthafucka like me can whip back,If so step back, tax a muthafucka hella quickly,With a twenty guage, fully tellie,Have at his ass first, little remorse,St. Valentine抯 Day Massacre,Tryin?to hit that patna, dude in the passenger seat,LeSabre, bitch played us, he hate us, bitch made us,It抯 heinous, he hate us, disobeyed us, hiatus,Underrate us, underpaid us, tried to spray us and erase us,And is on, wonder if it抯 good or bad karma,So don抰 try to figure out, try to find out, it抯 a drought,Maybe that抯 why everybody walking here around with they lips poked out,So if you rook me,>From enhancing growl, come and hook me,Buying yellow clusters instead of counterfiet dope,Alexander the Great, macadamia nut, chief rockin?soap,No rebate, no refunds,Fuck 慹m and feed 慹m deacons,Money back guarantee my ass,This is the future, that was the past,Sqare ain抰 nothin?慴out this game we playa style,Able to smoke weed but you keep on laughin?and smilin,Set your ass up executional style,Hit 慹m in the back of the head until they dead,Down on the floor spread, they layin?Liquid body clot, reekin?brains in the sky,Sleepin? nighty night nigga, nighty night nigga!!,Them niggas gone from magazines,I ain抰 even try my 4th of July pal,,Surprise, surprise, surprise,Surprise, the element, apply pressure,Surprise, surprise, surprise,Surprise, them lies, I抦 talking about the element of surprise,Here come a hundred of them dudes, fifth deep,Carryin?hero firearm, cause it抯 nice to be dry,Forteen and over LOG抯 and YG抯 ready to put down a homicide,Forty-five colt firearm, Remington sixteen guage shot gun ,Two of them ultra-light machine bombers, AR fifteen and Tommy guns,Ready to run into bumbles,Rushin? all I need is a shooter with a Rueger ticket,See the definition of the element of surprise is when a nigga least expect it,Retrospect it, It get抯 hectic ,See he probably would have been able to prevent if he would抳e saw it comin?But he didn抰, so he抯 in it, nigga should抳e went against the grain,See that抯 the perfect example of the kind of shit that can happen to a,muthafucka when he owe too much to the game,When a sucka owe too much to the game,That ain抰 wise, see I got guys, somebody dies,,Surprise, surprise, surprise,Surprise, the element, apply pressure,Surprise, surprise, surprise,Surprise, the element, apply pressure,Surprizise, you got a bullet in your bizack,Surprise, the element, apply pressure,Surprizise, you got a bullet in your bizack,Surprise, them lies, I抦 talking about the element of surprise,Sittin?here, just we抣l let the fonk die down for a minute or two,Make it look like we a bunch of cuts finna beef,And get into it with some old other crew and hit all they spots at once,Do what we came to do and then get about our business with no delaying,Let抯 end it up and hit the freeway,I tell my v-lay, I bet you can抰 do the samething all over and over again,For something like about a weekand a half straight,Duplicate to instant replay, I hate haters that be hatin?on players like me,And the C-L-I-C-K,See what a sucka don抰 know is what a sucka can抰 see,And what a sucka can抰 see is what a sucka don抰 know,Finger on the chrome,Ridin?crusty with my war face on,Out the window yellin?die bitch die, die bitch die, die bitch die.....,,
,
,
"
NO DATE E-40:Ring It,E-40,",Aight, what's really?  You hit my lifer number,This Sick Wid It/Jive Records,Leave your message at the beep *BEEP*,Hah!  Mmmhmmm.  Yeah, uhh... on my pager!,What you say?  Oh yeah.  Kick that shit then nigga!,Verse One: Keek tha Sneak, E-40, Spice-1,Higher than a bird, off that herb, in the O-A-K,Off on perv, parked on curb, rollin up a vay,Licked it three times, laced it with the Alize,About twomp a day, baby hit me frequent-lay!,Sneak, and Forty, from chocolate short-ay, we been,all prepared, cause my nights is no day, the broad say,I last!  Cause you six months,But I say, she pullin a gang of major stunts,Bust, bust niggaz, consequences when you're doin the do,Fuck around and get caught up in a catch twenty-two,In the area!  Dirt and dust,Where the yah!  B.A. Plus,But ain't yo sista Suga-T? ,Ain't you the one that say Sprinkle Me ,I loves me some Forty-Ridah,I seen you up in 2Pac's video poppin your collar,I play this playa shit like Bugs Bunny,Ain't no cartoon figure nigga I makes money, ain't nuttin funny,If you're ever in some funk, call your potnah on the cell,and leave one-eighty-seven, at the end of the number,B-uh-Benzy on Washington, on the cellular phone,You could tell that the Easy Bay was his home,My people goin off like a high school build',And all my money in stacks, and all my pockets on swell,M-uh-mobbin like a playa, but I'm still a G doe,Pager goin off like C-3PO,Time for the Hurricane, E said word,I put a nigga on his back, fuck what you heard,Chorus: repeat 2X,If it's major, hit me on my pager,Rang it, ring it, rang it, ring it, ring my telephone, ring my telephone,Verse Two: E-40, Harm,I be so rebel-yalous,When I'm talkin on my phone-telyalous,You can have my baitch, but I maintain,I chop it up as a loss and charge it to the game,She said you must be playin some kind of phone tag,Cause erytime I hit you, you don't hit me back,Why is dat?  Cause you're hella hard to get in contact with,Thought you thought, was killin big girl was crackin on some crabs,Six o'clock, the girl said that's my crib be at the West plus,due to go, left me at home be leavin my ass up in the living room all alone,And I be starvin rubbin my monkey fiendin for some Donkey Kong,Now you're talkin, let's get the show on the road,I know you're tired of barkin, you need to hop on my load,So we can stab out, strike rock and Arroyo Park,at the top of hill, so I can check your oil,I said ah one to the two ah two to two three,Tell me why your baby momma keep on pagin me,I didn't give the hoe the number, so why does she call,She says she wanna do me, and all of y'all,But I'm like that nigga on The Mack, I don't want the honey,I want the money some of you niggaz is funny style and meanwhile,I'm sellin my piece to these tricks cause it's the paperchase,laced with game, see I'm livin in the hustlers dream,Call up a player if it's major,Specially if it's scrilla nigga hit me on my pager,Chorus,Verse Three: Sneak, E-40,Rang it, baby gimme a call,My name you're screamin, how I be hittin them walls,You got me tinglin, how you be workin them drawers,With a kiss I make em all say this, yeah that's raw,I glance your cut, bass we uhh, big cheeks,with a blast headin straight for the nut, big A&H,got some bitches all in the cut, it's that season,Drop my number to the hoe to hit me up,Yo, you're nine-one-oneing me to death, what's all that fo',Got my Williams and fillin my pager and pager on the overflo',What's happenin with all that old bullshit,is it really all that damn serious,You're draining the hell out of my battery,got your partner thinkin curious,Cause in the Y-E-A A-R-E-A the game ain't constipated,Buckin around in the Golden State where the game originated,Fools be scandalous they used to be squares be turnin vicious,Hit me on pager, hit me if it's major,Chorus 2X
,
,
"
NO DATE E-40:My Drinking Club,E-40,"Step right up!,From the East to the West, from the North to the South,Sign up right'ere, your scheduled membership,to the drinkin club,Uhh...,*chorus*,They got you soaked ,I see your cup up ,Let's get drunk,and get my fortune out of my drinking club,,E-40 in the C-L-I-C,Stuck up in the house, party top celebrity,Burpin and gurpin, gelchin the bourbon, lurkin around,I'm seein all kinda broads, from outta town,Uhh, top hots, tycoons, big cheeses,Plus the perpetual jahahnjawel priestess,Homies and lurkers and things like that up under the vertical shade,Rovers in lamborghinis swimming pink bikinis, lingerie,Tryin to knock her big ass by all bus lights on Fridays,If you're not a member of my drinking club, sideways,What kind of motherfuckin perculatoins you niggaz got,up in the refridgerator?,Who wanna join my drinkin club, sign up the legislature,Might not know how to read and write but I do know how to count money,You can call me Lieutenant Fuck a Hoe but all the ruskie runny,You can dip but don't screw up, speakers on sub,Beat your ass, my drinking club,*chorus w/ variations* 2X,,I got you perved on some of the righteous, who's the tightest,I'm down with pipes fifth and gallons of the finest nitrous,Oh girl now pass the joint to the nigga big head,Where I hear about your scheamin but the rotations I don't jinn,Who dog sin?  Big fin is what I'm rollin,You know how I do, I got bunny boo boo grippin and totin,Fools be pimpin, we guaranteed to have you spittin,Bobcat tight, while I'm pullin secure out my linen,I'm nothin but a baller, alkaholic bitches pop my collar,Tearin down pussy walls in your motherfuckin daughter,M-O-S, S-I-E,M-U-G, and K-I-V,Always to' with E-4-0,Hit the air like cubes by a liquor store,,Motherfuckers better know, we gets down like that,Straighten up, beer mugs, my drinkin cup bitch!,*chorus w/ variations* 2X,So damn deep, I can't call it,I guess I'm just an alkaholic,Huh, dagnabbit, doggonit,Ya Hillside hillbilly vomit,Back and forth to the bathroom constantly,All the actors gather up, and watch me,Get super twisted highly afflicted every day a cherry,Go on my body and throw up on the bartender,Pull out a wad of money, ballers up to par,Treat the whole party, by buyin up the bar,Sharp pain and orange juice got my moose up,Stainless artichokes, tequila poppes, Medusas,Better prepare myself for the upset stomach, ohhh,Stop by the M.P. on the way home and pick up a bottle of Pepto-Bismol,Step right up now last call for alcohol,Get your hurricane gorilla member here ya monsters,That's right, cause when we and my motherfuckin entourage,get together and we come back from a motherfuckin concert,and the afterpaty jumpin off, I wanna see ID's, we got video cameras,We checkin all you bastards under 21 or under 18 or whatever however,Ya understand that?  You better have your membership card,if you wanna come join my motherfuckin drinkin club, understand that bitch?,A:      It's the drinkin club, we gets to' back main,Once you drink with us, you won't be the same,The drinkin club, we can't slow down main,We're gonna drink you all, we got a monster pit,That's right,B:      I wanna get high, I wanna get loaded,and tuck, throw up, and drink again,repeat A, first line of B, then chorus 5X 
,
,
"
NO DATE E-40:I Like What You Do To Me,E-40,",,Good things come to those,who stays on they toes,Don't you e-ver stop,Al-ways keep it hot, Potnah this bubonic cuts, that other shit is high, Fuck what you talkin about, throw me that childproof lighter, Oh youse a smoker huh?  Then go on and flame,	I heard you got some shit and heard it come from Spain, Naw, Amsterdam, I got it from the hemp man,	Bought the weed cause I love what it do to me,	Five o'clock in the traffic and I be fiendin,	Without the bomb nigga life has no meanin,,Okay.. see I be krunkin to profession in American-o,Cristal Brothers Brandy all down the throat,Steady dippin call me Funk Master Flex,Ass since mom and daddy had sex,,Got yo' nigga daydreamin, smebbin in a check-U,Floatin in a cloud, music up hella loud,Proud to be in the land of the lights and the beer,Got me where I ain't carin,.. because I like what you doin to me,.. because I like what you doin to me,,It's like this and that to fuckin with your dick on hard,And nigga ain't no Pebble Beach in my backyard,Rackateerin, smearin, no foreseein,Shit folks ain't even used to hearin,,We break bread with the , thick ass bitch with the tits,and the anus, off the English, how her body speak her own language,And it's cool when she speakin to me,I let the hoochie run through me,,I seen him walkin in the rain,I guess the nigga owe too much to the game,They say the nigga used to drive a Mustang,I'm thinkin potnah musta went against the grain like a lane,,I cross artists?  No not B-Legit,Catch nine of the last ten in my clip,Don't trip, a bitch can't do in me,but I be likin what she doin to me,.. because I like what you doin to me,.. because I like what you doin to me,,Just think, I used to have to flip cabbage,And now I ride in a nine-seven whip Caddy,Meal game, they call me by my stage name,Hella G's when I spit this game,,But just think, I used to sell them weights,But now I'm all off into real estates, huh,We put our city on the map, raise clientele,Made it so niggaz can be proud to say they from Vallel',,side - man I went to school with them,Had him in my class, never thought the fool'd pass,But now I took advantage of the opportunity,and I love what it do to me,,They say that I got cousins I ain't never met,Think I'm big-headed, think I'm all that,They say that I don't give to my community,but I be likin what they doin to me,.. because I like what you doin to me,.. because I like what you doin to me, - repeat 4X,Good things come to those,who stays on they toes,Don't you e-ver stop,Al-ways keep it hot
,
,
"
NO DATE E-40:Circumstances,E-40,",Uhh, dry as the fuck, and I'm  one left with yo-yo,Seven houses down, black street, dark  folk don't matter tho',I don't know who to trust, what to look fo',How many niggaz wanna kill me?,I'm havin a, hard time tryin to determine ,if that's the homey, or the enemy,Ol' shady-ass, no build for that,Just lookin like he plottin on somethin-ass nigga,But I wanted to mack like he fin' to do somethin,and I'll get to be dumpin on yo' ass nigga,One of the main rules, of the game, without a doubt,Nigga don't you ever pull a gun and don't use it,Nigga that's a good way to get your brains blow out,Motherfucker like me get to flashin then I lose it,Leave that ol' shit up to me and watch me prove it,Nigga, you betta be real about this shit,If you in it you in it don't be no punk,Nigga this ain't no baseball game, niggaz don't FORFEIT NO DAMN FUNK,,Two brothers goin sack for sack,in the back of the 'llac, takin a whiffle,Strippin the fuck up out of some willow,Poppin ecstasy like Skittles,It'll get you in the long run, sniffin them long ones,Way girl burst ya dick and now it got ya on one,Came up shorted, circumstances nigga quote it,What goes around comes around tryin to steal this  Brady hostess,Keep your focus, and never the love of the hocus pocus,Set up hoes lovin to get jackers to come and smoke us,Die-hard soldier, T-Pup-alicious, cops get vicious,No mercy on haters or no bitches,Got in my clitches waitin for a nigga to take some chances,so we can deal with these hardco' Sic-Wid-It-ass circumstances,Chorus: various singers together,Takin all these CHANCES,You might never ever ever get them CIRCUMSTANCES,Penitentiary CHANCES,You might never ever ever get them CIRCUMSTANCES,Chorus Two: Cold 187um, Kokane + more ,I said the world is full of crack babies,I remember when the world went crazy,Til I copped a sack, and put it down like that,and rolled out like it didn't even fade me,,Nigga - slang suga delight enough to get my hustle right,It's double like, a flip new Benzo with the bubble lights,Scuffle fights with rats and roaches, I was the brokest,motherfucker, now I'm the closest nigga to ballin ferocious,motherfucker, dust a nigga off like wax off, cracks off a hard, Pimpin ain't easy and motherfucker only if you breezy,Easy does it, I does it do it off the fluid,Come with the newest shit I come through with,Bitch don't you hear the music?,,Too sexy for my shirt so bad hurt,niggaz on the turf wanna put my ass up in the dirt, cause I skirt,a Lex-o and slurp a genie bottle full of X-O,or maybe cause I'm with 40-Water and a jug of ethel,You can't love it, don't leave the ghetto,Me and I'm heated like two jugs of methyl,,Damn, cydal shit when vital shit starts to happen,Eager to be the nigga just for cappin,Strappin up ain't no thang, it's survival,It's makin sure you all good when it comes to enemies and rivals,It's +Higher Learning+, but it's +True Lies+,when it comes to the +Superfly+,Speedy Gonzalez destroyes from the Eastside,Is it ridicule or stardom?  Did we hurt yo' feelings, pardon,I'm makin niggaz fall like cops on +Rage in Harlem+,  I'm on some moonshine shit,Bit the cork off the Cristal,I'm drunk so let me chill for a while,Chorus,Chorus Two,,Aww yeah yeah now niggaz know,Well ain't no sense in me fuckin around,My stompin ground be the H-I-double-L-S-I-D-E bound,to touch you with them tecs and make them marks, bounce like checks,Slide a faulty bitch up under these niggaz,and killin 'em off with sex,Ain't no tellin what angle I'm comin with these circumstances,Penitentiary chances, nina ruff fluffin tap dancers,on your hood for breedin snitch bitch-made niggaz,Don't fade triggers so they quick get sprayed niggaz,I fuck with wig-splitters, Colombian neck-tie throat slitters, take a long time business to get paid,to get rid of you cheater,Chatter police-ass niggaz takin chances ,Man you can't fuck with these circumstances,,And all you O.G. motherfuckers better stop tryin to mark them yungsta,cause sooner or later, they gon' dump, like some garbage dusters,Tryin to throw yo' weight around, ,like you gon', uhh, take over a spot,Nigga don't you know these youngsters nowadays,be off that water and hot?,Chorus,Chorus Two
,
,
"
