1994,Fugees,",THE YEAR,Two-thousand and seventeen master!,THE MAN,Every two-thousand years a prophecy is prophesized,THE MISSION,To carry out the word of the shephard into this cold world,that just keeps folding,THE GROUP,I don't know...,WHO IS THE GROUP,Tran...Tranzlators!!,,What can make a mighty man run?,Make him drop his pride and hide?,Too black, too strong... WRONG,Spook Sambo Nigga Jane,You ain't so bad, nor big,White sheets make you sad,Fraid you're gonna hang, ahhh,Now THAT'S a black thang,Boy, you scared of me,BOO! See,Hide nigga hide, flee nigga flee run nigga run,If I got my hood, my cross, my tree my gun,My rope,And it's a long one
,
,
"
2003,Fugees," ,I wanna dedicate this song, Gone 'Til November... ,To all you ladies out there, crying all alone in your room ,And all you fellas, going down south...Not making it back... ,May the lord bless your soul, I love you girl , ,Every time I make a run ,Girl you turn around and cry ,I ask myself, why oh why? ,See you must understand ,I can't work a nine to five ,So I'll be Gone...'Til November ,Said I'll be Gone 'Til November ,I'll be Gone 'Til November ,Yo, tell my girl yo I'll be Gone 'Til November ,I'll be Gone 'Til November ,I'll be Gone 'Til November ,Yo, tell my girl yo I'll be Gone 'Til November ,January, February, March, April, May... ,I see you crying, but girl I can't stay ,I'll be Gone 'Til November ,I'll be Gone 'Til November... ,And give a kiss to my mother... , ,Girl I gotta leave, please don't cry ,When I come back, you know the limit's the sky ,I'll take you out to dinner, to your favorite spot ,Feed you an aphrodisiac just to get you hot ,Drive-by movies, by a cemetary ,If my corpse could talk then I would tell you I was sorry ,Lifestyles of The Rich & Famous, ,Some die with a name, some die nameless , , ,We had nothin' ,I had to do something ,So I'm Knocking On Heaven's Door, like I'm Bob Dylan ,Ever comtemplating, the charges I'm facing ,My new-born son, I hope I see his graduation ,Take him to the movies, by the cemetary ,If my corpse could talk then I would tell him, I was sorry ,Lifestyles of The Rich & Famous ,Some die with a name, some die nameless! ,
,
,
"
NO DATE Fugees:Bohemian Rhapsody,Fugees,"mama,,just killed a man,,put a gun against his head, ,pulled my trigger now he's dead,mama,,life has just begun,,but now i've gone and thrown it all away,mama,,ooooooooh,,i didn't mean to make you cry,,if i'm not back again this time tomorrow,, oh carry on,,nothin' really matters.,too late,,my time has come,,sends shivers down my spine,,body's aching all the time.,goodbye everybody,,i've got to go,,gotta leave you all behind and face the truth,,mama,,oooooooh,,i don't wanna die,,i sometimes wish i'd never been born at all , ,i didn't mean to make you cry,  ,if i'm not back again this time tomorrow,,ooooooooooh  yeah-yeah., ,no, i don't wanna die,,I sometimes wish I'd never been born at aaaaaaaall yeah,, ,hoooo-hoooo.,so you think you can stop,,and spit in my eye,,so you think you can love me, ,and,,leave me to die?,ooh baby,,can't do this baby,,just gotta get right out of here. ,ooh baby,,can't do this baby, ,just gotta get right outta here. ,oooh, carry on!,nothin' really matters!  ,i sometimes wish i'd never been born at aaaaaaall yeah , ,,nothin' really matters,,anyone can see,,nothin' really matters,,to me.,oooh yeah ,oooh yeah ,oooh yeah ,anyway the wind blows.
,
,
"
NO DATE Fugees:Rumble In The Jungle,Fugees,",,,Root to the fruit,More bass than Bootsy Collins,You verses me,Thats like Ali verses Foreman ,God's act, stand back and watch,Devil's time out,Can't be timed with no swatch watch,Who I am, the black Abraham,Zunga zunga zang, yellow man, Vietnam,Add an extra bar as I spar with literature,Taking kingdoms from tsars,Winning more wars than the Moors,,Hey, what's the deal?,I seen the Devil spar with Allah,Mathematics was the key to set my whole race free,You might debate we, a refugee,No harm hurt me,Dying, thirsty from the struggle,To my own hustle bubble,On the low, woe is me,To show the Free Bob right,The righteous Asiatic thinker,While Satan rob light,Civilised like the Molly,Burgundy, wildy rocking,Seen the fifth when Ali clocked him,John Forte will keep you locked in,,People all around,You got to recognise and witness,The Mister who swift enough to knock you out with Mic fitness,Hands blistered from holding the mics tight,Some say it's fright night,Well throw the R after the F 'Cause I'm gonna take away your breath,The bell rings and now it's just a daily operation,Yo, you saw my lubrication,You can see this occupation ,Eh, you know we're from Q-Borough,L-Booie and Clef the trainers, Prazwell promote the throw,,We used to bite bullets with the pig-skin casing,Now we perfect slang like a gang of street masons ,Scribe check make connects,True pyramid architects ,Replace the last name with the X ,The man's got a God complex,But take the text and change the picture,Watch Muhammad play the messenger like Holy Muslim scriptures,Take orders from only God,Only war when it's Jihad,See Ali appears in Zaire to reconnect 400 years,But we the people dark but equal give love to such things,To the man who made the fam' remember when we were kings,Blocks on fire ,Fiends getting higher ,Robbing blue collar,,Killing for a dollar ,Youths get tired ,We're dealing with them liars ,,From Brooklyn to Zaire ,We need a ghetto Messiah ,Send me an angel in the morning, baby,Send me an angel in the morning, darling,Send me Muhammad in the morning, baby,Send me an angel in the morning, darling,,Once the pen hits the pad it's danger,To this I be no stranger,Step inside the ring and I'll derange you ,I'm hearing no comments,Everyone looks dispondent,Dejected, rejected similiar to Liston,Catching lists,Beat it, sonny,My man is still the greatest in this,To hell with Frazier yappin' about that negative shit,Now listen, you can try and escape if you want to,But ask yourself, who the hell you gonna run to,Like Sade Abu you got a punch that I can sleep to,Fugees, Tribe, Busta Rhymes forever coming through,,We sing Amazing Grace over two dollar plate,One roll snake eyes like Jake The Snake,Many lies put up for stakes,Wash our sins at the Great Lakes,You and I cannot see eye to eye,So therefore we cannot relate,I'm here when I make myself crystal clear,You fled to Cape Fear when I laced you in Zaire,Tussle with a lasso in the Royal Rumble,Seperate boys from men in the concrete jungle,,I remember when Cassius Clay flipped the script,Taking trips to Zimbabwe,Africans started calling the God Ali Bumbaye ,It be the God stricken, God nutrition, lightly stricken ,Blow that make you feel like you was poison bitten,Ha yo I'm 'bout to blister you and your sister,Predicting every ass whipping before my fights my nigga,This be your last warning once you walk past the doorman,Ali and Foreman gonna lock ass until the morning,Marvellous finances provided by Joseph Mobutu,Special guests of honour like the Archbishop Desmond Tutu,We watched the Rumble In The Jungle,To see who be the targeted uncle to be the first to fall and fumble,Nuff blows they gettong thrown, like solid milestones,Internally shaking up niggas, imbalance your chromosones,With the force of a thousnad warriors,When I bust your ass identify me as the lord victorious,Blocks on fire ,,Fiends getting higher ,Robbing blue collar ,,Killing for a dollar ,Youths get tired ,,We're dealing with them liars ,,From Brooklyn to Zaire ,We need a ghetto Messiah
,
,
"
NO DATE Fugees:Be Yourself (Easy As A-B-C),Fugees," ,Can you tell me how to get......how to get to Sesame Street? , - Wyclef ,) ,Be yourself  ,Easy as A-B-C  ,Can't be no one else  ,Just happy to be me!  , ,Hey yo, the ""A"" is for achievement , ,Hey yo, the ""B"" is for beneficent , ,And the ""C"" is for committment , ,And the ""D"" is for diligent , ,What about the ""E"", the ""F"", the ""G"", the ""H"", the ""I"", the ""J?!"" ,I'm in my P.J.'s, I'm drinkin' O.J.! Ha Ha! , ,The big city, just like I pictured it  ,Millions of people rushing around real quick  ,Each one's originale, one of a kind, unique  ,So, kick back and listen while L-Boogie speaks  ,Not trying to be different, just doing they own thing  ,So come on everybody, clap your hands and sing  , , ,Hey yo, the ""K"", the ""L"", the ""M"", the ""N"", the ""O"", the ""P"" ,for ""Prakazrel"" in the place to be! , ,Hey yo, the ""Q's"" for quiet , ,The ""R"" for riot , ,The ""S"", the ""T"", the ""U"", the ""V's"" for vowels  - Prakazrel ,The ""W"", ""X"", the ""Y"", the ""Z's"" for Zorro! Yo! See you tomorrow! , ,Yeah, fly like an eagle... ,Well it's the Fugees ,On Sesame, clap your hands do a dance with L-Jiggity! , ,Now Snuffy and Big Bird are having a good time  ,They're walking and gawking and trying to talk to a mime , ,here, in the square where they just seen it all ,But they ain't never seen a yellow bird  seven feet tall!  , , ,It's a lovely day in my neighborhood... ,It's all good... ,Prakazrel, L-Boogie up in here.... ,In my neighborhood , ,Refugee Camp Allstars....yeah....yeah
,
,
"
NO DATE Fugees:Freestyle,Fugees,"I know someday we'll find a way ,For the right words to say ,Our love is here to stay ,Chorus:,I'll always be here for you , ,I think i'm falling for you , ,It's only you  ,I think i love you..
,
,
"
2003,Fugees,"Yo ,I was born by the river  in a tenement,Oh, my poor mother, she could hardly pay the rent,It's been a long, ha, a long time coming,But I know a change is gonna come,Oh yes it will,Yeah ,It's been too hard living, huh, and I'm afraid to die ,I don't know what's out there, yeah, yeah, beyond the sky,It's been a long, huh, a long time coming,But I know a change is gonna come ,Oh yes it will,Say it, Wyclef ,See, I go to my brother ,And I say, brother, help me, please ,And he winds up, he winds up knocking me, knocking me ,Yeah, back down on my knees,Ohh , it's been times when I didn't think,That I would last for long, huh,But now we think we're able to carry on,It's been a long , yeah, a long time coming,But I know a change is gonna come,  yes it will,This has been the Fugees,L Boogie,Prize Well,Wyclef,The Refugees are out,
,
,
"
NO DATE Fugees:Killing Me Softly With His Song,Fugees,"Strumming my pain with his fingers ,Singing my life with his words ,Killing me softly with his song,Killing me softly with his song,Telling my whole life with his words,Killing me softly, with his song,I heard he sang a good song, i heard he had a style,And so i came to see him, and listen for a while.,And there he was, this young boy, a stranger to my eyes,Strumming my pain with his fingers ,Singing my life with his words ,Killing me softly with his song,Killing me softly with his song,Telling my whole life with his words,Killing me softly, with his song,I felt all flushed with fever, embarrassed by the crowd,I felt he found my letters, and read each one out loud,I prayed that he would finish, but he just kept right on,Strumming my pain with his fingers ,Singing my life with his words ,Killing me softly with his song,Killing me softly with his song,Telling my whole life with his words,Killing me softly, with his song,Oh, oh, oh... la, la, la, la...,Strumming my pain with his fingers ,Singing my life with his words,Killing me softly with his song,Killing me softly with his song ,Telling my whole life with his words ,Killing me...
,
,
"
"NO DATE Fugees:No Woman, No Cry (Remix With Steve Marley)",Fugees," -  ,...Yo, Steve Marley throw on your Father's old record... - Lauryn,Ha! Classic material...Refugee Camp, hold tight! Yes, yes! ,Steve Marley, come on! Ah-Ha! Wyclef, Ha-Ha!,Feel the Gong! Heh-Heh! Yes, yes y'all! Heh, come on!...Yes, yes!,Feel the Gong! , - {Marley sisters background singing in brackets},No Woman, No Cry ,No Woman, No Cry! {No Woman, No Cry!},No Woman...,No, No Woman!...No Woman, No Cry! {No Woman, No Cry!},  {Marley sisters in brackets},You see...,Said I remember! Oh, when we used to sit  - Wyclef,In a government yard, in Trenchtown {Town!} - Marley Sisters,,Well oh, I was observing, them hypocrites!,As they would... Mingle with the good people we meet {Meet!},Yeah-yeah!,Good friends we have, and oh well!,Good friends we've lost! Yeah-yeah!,Along...The way! {Way!} Yeah!,In this great future, yeah! You can't forget your past! Say-yeah,Oh, dry your tears I say {Say!},, -  - {Marley sisters in brackets},Say! Say! Say! Say!,I remember! When we used to sit! ,Oh, In a project yard, in Brooklyn! {Lyn!} ,And little Georgie, would make the fire light! ,As...Stolen cars passed through the night {Night!} ,And then we'd hit, the corner store! ,For Roots, paper, and brew, wooh! {Brew! Whoo!},My drinks, my only remedy! I tell ya! ,For pain of losing, family...,But while I'm gone, sure thing..., - ,Everything's gonna be alright!! ,Everything's gonna be alright! ,Everything's gonna be alright!!  ,Everything's gonna be alright!  ,Everything's gonna be alright!!  ,Everything's gonna be alright!  ,Everything's gonna be alright!!  ,Everything's gonna be alright!  ,,...So, Woman No Cry!,No, No Woman!...{No Woman, No Cry!},,Say! Say! Say! Say!,Hey, little sista! Don't shed no tears!,Said No Woman! No Woman, NO CRY! {No Woman, No Cry!),,Lay-La-Lay-La-Lay-La-Lay-La-A-EE! ,,Yes-yes! Wyclef, Steve Marley sittin' back reminiscing,This is how it used to be...Yes-yes! {No Woman, No Cry!), - Lauryn,,No Woman, AY! No Woman, Ay! No Woman, No Woman, No Cry!,No Woman, No Cry!  {No Woman, No Cry!},,Yeah...Refugees up in here..., - ,Little darlin' ,Don't shed no tears!............,,NO WOMAN, NO CRY!!!  - Steve
,
,
"
NO DATE Fugees:Vocab (Refugees Hip Hop Remix),Fugees,"Intro: Lauryn Hill ,Yo, this is the Fugees ,Refugees ,About to take you on a journey ,Into the dimensions of the Booka basement ,The basement, word ,Uhh ,Hey yo, one two three! The crew is called Re-Fu-Ge-ee-es ,An if yu come fa tes the rap stylee ,Stop the violence and just bring it on, willld ,Verse One: Lauryn Hill ,Hey yo I, feel kind of melancholy people think they really know me ,I keep a wrap about me while I'm driving daddy's Audi ,I pay the toll fighting for my own soul ,Cause the bourgeoise type of mental sucks like a flat comb ,But I be baitin the rebel base to bass distort the EQ ,The devil's wishin they could send me back to Mogadishu ,Cause I've been wild since I was a juvenile ,Afro-centric profile, back when righteous rap was your style ,Now kids are whylin so I ask the bad black ,Boogie bandit, what's the damage, gimme the estimate then ,pray tell me when's the revolution will begin? ,I turn on my TV I check out Farrakhan on CNN see ,I'm like the phantom that's flying like the bird do ,And things you never heard plus I come from the suburbs ,Word to God, I heard you're acting kind of hard ,And you got your skin scarred when they was shootin on the boulevard , , I got the vocab , You know we got the vocab , Yeah, we got the vocab , Aiyyo Praz, grab the mic and show you got the gift of gab ,Verse Two: Prazwell ,Then cast off from here to Mexico ,You see my four-five-six a-be my Celo ,And when I rest my head is on a pillow ,Be-ba-dee-be, be-dee-be, be-dee-be-bo ,You see the skills I manifest is very tho-rough ,And if you don't believe me ask Freres Ja-cques ,Mmmm, Freres Jacques, Freres Jacques ,A dorme vous? A dorme vous? ,WATCH OUT NOW! When I choose to speak ,I'm forming the cipher fly East to the Five Percenter ,Knowledge is born, to all beginners ,Cast the first stone, if you feel you ain't a sinner, ahh ,Say o-ur father, who art in heaven ,Forgive the foolish rapper for he not know how Fugee be steppin ,Correct and, stopped and kept in, nuff respect to the ,DJ, that be selectin, the type of record ahhh , , I got the vocab , You know they got vocab , We got the vocab , Aiyyo Clef grab the mic and show you got the gift of gab ,Verse Three: Wyclef ,Check it out, here we go ,Back in Eighty-TREE, no one wanted to be NAPPY ,I turn on my TV, it's a dreadlock for FREE ,Kill the gimmick ,It's nonsense, it's no sense or value ,a rapper, disaster, nobody ever told me that ,""Roxanne, you don't got to work for money no more!!""... and... ,Back in the days I used to listen to Kool G Rap ,Way back when before guns became gats and ,Run-D.M.C. used to ask Mary was she buggin? ,I loved P.E., they kept me concious of what I was saying ,Afrika Bambaata, Poor Righteous Teacher ,Got within myself so it made me a Five Percenter ,Say La-Di-Da-Di, UHH! we like to party but ,my jam was BDP, with My Philosophy ,Say Grandmaster Flash, MC Melle Mel ,Then LL Cool J came with Rock the Bells! ,See I'm the one for the crew, like a Jew is a Jew ,Like Apollo got the moon, like the men who got the blue ,Like the Fu got the Manchu, Chaka got the Zulu ,Hawaii got the Honolulu ,I got the rap lieu, so skippedy-de-bop-bop you don't stop ,You do the rock-rock from hip-hop through be-bop ,from be-bop to bee-bee , , I got the vocab , You know they got the vocab , Word, we got the vocab , Aiyyo peeps, grab the mic and show you got the gift of gab , Yeahh, we got the vocab , You know y'all got the vocab , Yeahh, they got the vocab , Aiyyo, bros grab the mic and show you got the gift of gab , Word, y'all got the vocab , Aiyy, I know y'all got the vocab , Word, they got the vocab , Aiyyo, sisters grab the mic and show you got the gift of gab
,
,
"
