NO DATE G-Unit:Fat Bitch,G-Unit,"We over here... with some fat chicks,,Nah, I don't be fuckin wit them fat bitches,That's Yayo,,Don't be stuck on the things they say,now you know it's a nasty world ,I ain't fuckin wit you anyway,cause I know your a nasty girl ,I ain't never gon discriminate,so let me compliment your eyes ,Yeah, It's nothin' but a little baby phat phat,,Them Twinkies got your ass gettin' fat fat,Them cookies got your ass gettin' fat fat,That paint got your ass gettin' fat fat,Bitch you grown, that ain't baby fat fat,In the gym I see your ass up on the stair master,But you got it on level 2, bitch go a little faster,Look girl I ain't gon lie, I'll tell you how I feel,They should hand cuff your big ass to the treadmill,You wanna work out now, cause you know its gettin' hot,And your big ass fin to pop all up out the halter top,Find the right chick, wearing some tight shit, and it's on,See your ass wearing some tight shit, we like ""She wrong"",,Don't be stuck on the things they say,now you know it's a nasty world ,I ain't fuckin wit you anyway,cause I know your a nasty girl - You's a nasty girl ,I ain't never gon discriminate,so let me compliment your eyes ,,I like 'em slim in the waste, curves in the right place,A bitch wit hips, lips, and a nice face,Your appetite'll put a dent up in a nigga salary,You need to stop burnin that weed, and burn a calorie,Your attitude is like you always have gear,You got a pony tail, you ain't always have hair,I just wanna see your Capri's comin' down,Mami we run the town, stay away if you 300 pounds,,Don't be stuck on the things they say,now you know it's a nasty world ,I ain't fuckin wit you anyway,cause I know your a nasty girl - You's a nasty girl ,I ain't never gon discriminate,so let me compliment your eyes,,I'll say something nice about ya eyes, cause you's a big bitch man,Yeah, It's nothin' but a little baby phat phat,Them Entenmann's dun got your ass fat fat,Them Little Debbie's dun got your ass fat fat,These cup cakes dun got your ass fat fat,Yeah, It's nothin' but a little baby phat phat,,I ain't no trick, I ain't have to borrow with my wallet,Freakin' off in your car, on your closet,It ain't nothing wrong wit a big, strong girl,If you can cook your ass off, I'll give you the world,You can be skinny or fat, white or black,Nigga pussy is pussy so, yeah, I'll hit that,I'm a freak, sure I love minage a trois,And I really care lees if you twice my size,,Don't be stuck on the things they say,now you know it's a nasty world ' It's a nasty world,I ain't fuckin wit you anyway,cause I know your a nasty girl - You's a nasty girl,I ain't never gon discriminate, so let me compliment your eyes,,I'm a compliment your eyes,Yayo'll fuck wit you big bitches but I'm a stay the fuck away from ya,Them Twinkies got your ass gettin' fat fat,Them cookies got your ass gettin' fat fat,That paint got your ass gettin' fat fat,Bitch you grown, that ain't baby fat fat,Stay the fuck away from, you fuckin fat bitch,Fuck wit Tony Yayo, ho
,
,
"
NO DATE G-Unit:Elementary,G-Unit," G Unit!, A, B, You can't f**k with me, C, D, We from the Harlem streets, E, F, Don't talk me to death, G, H, It's elementary,,Picture me rolling Range Rover,Same color your Air Force Ones,White on white, ya like?,Red I flight the night,From L.A. to N.Y.,I'm Harlem bound,You see how bitches tense up, when Scarlett 'round,Niggas get the heart to holla while we up in the club,But get intimidated when they see me sitting on dubs,I hear 'em whispering "" dat ain't a man, shit that's her."",She roll with them G Unit niggas, that's what's up,Disrespect me, I'll have niggas blast ya up,Take my advice, don't let ya peoples grass ya up,I got a fetish for the chips,20's for the six,Hollows for the clips,Try me, if you think I'm playing bitch,And the police we'll have another crime scene taker,Jim Star crush your head, give your ass a shape-up,Uptown niggas known for the money they make,Everybody ain't shook, you see doing the shake,,The boss spending ends,Saying, ""Gimme that Benz, 20 inch rims, and four TV's"",The snitch in the precinct saying,""He sell X, he sell techs, and he sell D"",The balla by the bar saying, ,""Everybody drink, the best champagne, it's all on me"",Snitch in the back of the police car,Pointing out the window saying, ""He robbed me"",It's elementary,,1,2,3,4,,Lloyd Banks' in the house,,Now get the f**k on the floor,I slid through the front door,With the 9 and the velour,A cal in my pocket,You wil', I'mma pop it,I'm down for a profit,I'm ghetto as hell,You can't you tell?,My road dog, under the jail,Getting frustrating mail,So I'm drinking and smoking,Thinking and hoping,This cell gon' open,You can dance next to me, but don't throw an elbow,I'll throw one back and leave blood on your Shell Toes,Hell no,I ain't paying for pleasure,Your pussy don't bring rainbows and pots of treasure,It's every girl's dream, to floss with the team,Long on the suine,DVD's on the screen,Blowing on cream,Waiting for you to scheme,You ain't gotta know how to read, to spray a magazine,,,I don't wanna grow up, I'mma hustler kid,Go'head and stunt, see I don't pop two your wig,I'm artistic, intelligent, so much ability,When I use them big words, your bitch be feeling me,So ya'll niggas hate me, 'cause your wives be our groupies,Ya'll irritate me, like loud people in the movies,Fall back, matter fact back down,'Cause I just passed security without no pat down,You can catch me in the bathroom blowing a sticky,Or catch me on the dancefloor feeling some tits,Sex sells, so I'mma P-I-M-P,So my pockets never be empty,It ain't no problem, we scoop them models,We got condoms, coups, and lavish condos,50 got me getting ass like I never did,So when I step in the club, hoes love the kid,,,The cat in the house go,Meow, meow, meow, meow, meow, meow, meow, meow, meow,The bird in the cage go,Tweet, tweet, tweet, tweet, tweet, tweet,It's elementary
,
,
"
NO DATE G-Unit:G Unit - U.T.P.,G-Unit,",Right now with the situation gettin' better,So I'm doin' you things, holla,,Yeah, 50 Cent, uh huh, check me out,Now piece by piece we put it all together,Time to get this dough nigga, it's now or never,I'm wild as ever, foul as ever,Reap whatever, whatever, whatever,They say I'm a slick talker, shit talker,Grimy ass New Yorker,Come gutcha, gum futcher, lay your ass out,If you ever catch beef nigga, call on me,If you fucked up in school nigga, it's all on me,I get a left foot to drop a nigga, pistol to pop a nigga,Break you off proper nigga, the cops ain't gonna stop a nigga ,Let's get this money man, them hos come with the paper ,I'm done to go wherever this game takes us,Look homey, you see my 22's, sittin' on low bros,That simple mathematics, that equal more hoes,I smoke a lot of dro, I got a lot of flows,Shit I didn't have to say that, ya'll already know, - 2X,From New York to New Orleans,A problem, holla at me,My niggas comin' to see ,If everythin' is alright,Ya'll niggas can blow some trees,Have coke and some Hennessey,My niggas from U.T.P.,Everythin' is alright,,For those who couldn't figure me out, what this nigga be bout,Cookin' it, and cuttin' it, and flippin' it, in 24 hours,I keep a dyke, on the back of the bike,In the summertime the white,Air Force One's, Louie Baton, Nike style ,Don't really talk much , I let my money speak,I know you saw us, shit we a 100 deep,I'm sippin' Don, with Juan, Bird, and smokin' weed,Shakin' them haters off, bouncin' to this jukin' beat,Fuckin' with 50, cause he strictly about head bustin',Lettin' New York know these Unica niggas ain't stuntin',Nigga we ain't runnin', I guarantee you that,After these messages we'll be right back,Take off that necklace a, because this tech will hit a,Innocent bystander who don't respect a nigga,After you finish your collard greens and cornbread,Get you a glock, and come around here where my mom stayin',,,From South I 95, 85, 65 right at the I 10, get your money widened,I got the Columbian, and I'm gonna hold 'em down,When you get close, call nigga I'm gonna guide you down,You got it now, , well then what time you leavin'?,In a couple of hours, some time close to this evenin',What us speed with V8, them cops then heated,They locked my partner Gus up for smokin' weed and speedin',But he'll be home though, probably about the same time you get ya,Shit yeah, seems like we paid his bond like last year,But anyway, you know that thing we thought that was, but wasn't?,Well come to find out, my homey found somethin',But he had to choke a bitch, and fo' pound somethin',Cause I told him, what you told me about the chump and he chumped 'em,Put the barrel bottle pump, and pumped 'em,And pumped 'em and pumped 'em, and pumped 'em and pumped 'em,,,We over here, E, shots of, sippin' on Courvoisier,Yeah Rockin' exclusive, haha, haha...,haha, can't forget, Teamwork Music, haha
,
,
"
NO DATE G-Unit:Funk Flex,G-Unit,"Funk Flex,Yeah, G-Unit,You understand whats about to happen?,huh .. huh? ,Nigga guess who's bizzack,It's not Beanie Sieg' or Jay-Hov',50 Cent y'all niggas should know,Don't make me relapse,Run up on your ass with the fo',You punk nigga I done told you before,Fuck being in a cage, man that shits for the birds,I do my dirt in the hood, but I live in the burbs,When you talk be careful how you choose your words,Cause I send niggas to put ya fuckin brains on the curb,Am I my brother's keeper? Yes I am,Nigga you know they gettin low you see that gun in my hand,G-Unit - don't go fuckin with my soldiers, boy,Get laid out, im'a say I told you boy,See you rollin with 20 niggas, we rolling with 20 guns,16 hollows is loaded in every one,I know you slow, so,I do the math thats 320 shells flyin at your ass ,You spend a lot of time talkin about how you ball out,When u get hit you gonna run and bleed till u fall down,I guess you didnt think we was down to go all out,One second, you was wrong,You ain't on the shit we on,My money getting long,Now my team getting strong,I'm gone,Gone,Nigga guess who's bizzack,It's not Beanie Sieg' or Jay-Hov',50 Cent y'all niggas should know,Don't make me relapse,Run up on your ass with the fo',You punk nigga I done told you before,Nigga guess who's bizzack,It's not Beanie Sieg' or Jay-Hov',50 Cent y'all niggas should know,Don't make me relapse,Run up on your ass with the fo',You punk nigga I done told you before,... 50 cent,And I'm back to act up so strap up,Funk Flex,Kingpin style,Ya heard me,C'mon, c'mon,Make me cut something,Make me bust something,C'mon, c'mon,I want you to,C'mon
,
,
"
2007,G-Unit,",I keep saying I don't love these hoes,I keep saying I don't love these hoes ,I keep saying I don't love these hoes,I keep saying I don't love these hoes,But she makes me feel good,Ma you make me feel good,Bitch you make me feel good,Girl you make me feel good,Bitch you make me feel good,Ma you make me feel good,Bitch you make me feel good,Girl you make me feel good,Girl you make me feel good,,My cafali bitch stay in L.A.,And my prada mama live in B.K.,You know my choloe hoe holds tha 44,Buy her a bag she ride it like a rodeo,I miss my fende chick, used to be a wendys bitch,I had to supersize her now she looking proper,The price of good pussy ain't always worth it,It can make you insane or get your murdered,Shorty laying on her back while you blowing trial,So don't trust a big butt and smile,And shorty laying on her back while you blowing trial,So don't trust a big butt and smile,You heard me,,I keep saying I don't love these hoes,I keep saying I don't love these hoes ,I keep saying I don't love these hoes,I keep saying I don't love these hoes,But she makes me feel good,Ma you make me feel good,Bitch you make me feel good,Girl you make me feel good,Bitch you make me feel good,Ma you make me feel good,Bitch you make me feel good,Girl you make me feel good,Girl you make me feel good,,Special, I'm a special kinda nigga,Look at my live baby girl everything's bigger,The stash is bigger, my cash is bigger,Your friends cute, but you for me,You see your ass is bigger,I'm into bigger things, see me I like bigger shit,A nigga stunt in front of me, I buy a bigger whip,If beef pop off, I'm letting off a bigger clip,We swallow Champaign them niggas taking little sips,I fucked this white bitch she said I had a lil dick,She had a big pussy, real real big kid,I buy big cribs man I fly on big jets,Motherfucker I'm as big as being big gets,,I keep saying I don't love these hoes,I keep saying I don't love these hoes ,I keep saying I don't love these hoes,I keep saying I don't love these hoes,But she makes me feel good,Ma you make me feel good,Bitch you make me feel good,Girl you make me feel good,Bitch you make me feel good,Ma you make me feel good,Bitch you make me feel good,Girl you make me feel good,Girl you make me feel good,,They say Banks I love you, I say I love me too,They throwing em right at me what the fuck am I pose to do,But turn her to a regular and a couple are over due,When I'm done what I do, I'm dumping her on the crew,And this is everyday, won't stop til I'm old and grey,I drop in the MIA, pop when I'm on my stay, shop than I'm on my way,First class to the A, I got a show later today,That's more paper to play, I'm to grown for rookie shit,To cold to get pussy whip, keep an extra bitch around in case she want her pussy licked,That I'll never do, that's inedible, I got something better boo, my pipe game incredible,,I keep saying I don't love these hoes,I keep saying I don't love these hoes ,I keep saying I don't love these hoes,I keep saying I don't love these hoes,But she makes me feel good,Ma you make me feel good,Bitch you make me feel good,Girl you make me feel good,Bitch you make me feel good,Ma you make me feel good,Bitch you make me feel good,Girl you make me feel good,Girl you make me feel good,,She calls me daddy, carries my luie vuton luggage,Frank mulers my wrist and she's using your money,These round trip flights, dinner at benny Hondas,I call em more bitches than Isah Thomas, and she love it,Them other hoes hate her, plus her head game is better than fantasia,Shawty I don't love you I'm just feeling good,I know I said I'll buy it, did you really think I would,You know I'm still hood, six o clock jack in the box with your bitch at the drive thru,You know how I do, so let's ride boo,We gon see, I'll be Brad Pitt you be Angelina Jolie or Jay-Z and B,,I keep saying I don't love these hoes,I keep saying I don't love these hoes ,I keep saying I don't love these hoes,I keep saying I don't love these hoes,But she makes me feel good,Ma you make me feel good,Bitch you make me feel good,Girl you make me feel good,Bitch you make me feel good,Ma you make me feel good,Bitch you make me feel good,Girl you make me feel good,Girl you make me feel good
,
,
"
2004,G-Unit,"Yea, 50 Cent, Lloyd Banks, Young Buc,GGGGG-UNIT ,HAHA,Verse 1,Vacate your home i come to break your bones ,i mans worse nightmare we at it again,a desert eagle and a black mac 10,they never know what happened,when we come through ,them cowards dont want none,They screamin if the murder us for walking with no gunz,come with me but don't run,and die where you're standing ,see i'm holding on this cannon,and your life i'm demanding,put the pipe to your melon ,and your brains on the pavement,these niggaz is talkin' thinkin security gon' save em' ,nobody gon speak when homicide pay a visit,look you right in the eyes and tell you 'we don't know who did it',corrupted by street corner by shootin' at the police,the feinds up all night,and the neighobrs gettin no sleep,you better get used to it,you know how we do it,Shady Aftermath interscope and G-UNIT,Chorus ,we got action were you don't,show up places were u won't,G-Unit,  G-G-G-G, G-Unit, verse 2,man i told you on my first Dre. joint,i am loco better than soso,games in the choke hold,disney's is a no no ,i perfected the slow flow ,In D.C. they dance the gogo,In L.A.they ride on lolo's,G-Unit in the house oh no,you aint ready its heavy,65' chevy old school rollin im holin,20 inches spinnin from ther beginin' we winnin',Gain's his masculinity pimpin' we not pretendin',drop top glock cock ready for the drama,pistols pop cop shot i'm heavy with them laama's,non-stop make it hot we on top regardless,you can be the hardest ,we'll just be the smartest,i warned you not to start us ,we not your average artist,my bitch is like a goddess,when papparazzi spotters,cause flick after flick,same old shit that i kick ,HAHA,Chorus,,verse 3,guess who's back mother fucka,gun in the clip ,ready to smack up on these suckers thats runnin they lip,you can try anyone of my shoes on none of them fit,Your hundreds are shorter I'll your pops his son is a daughter,all i need some cigars and quarter,a couple cars and a lawyer,Kinda packin' a bitch and i'll be back with a hit,and i'll be back with a hit,i'm that sick,who the hell you thought it was,i got expensive habits,i cant afford it cuz ,G-Unit is poppin'  and we perform in all the clubs,niggaz be shovin and pushin,adn some one is gushin surprise,shes givin up the buns on the cushion,sweatin and screamin,suckin me off the rest of the evening,and im leavin,on to the next city,stash box in the bus so i can bring the tex wit me ,i gotta go cuz im gettin over,you niggaz aint over,G-Unit,Chorus ,
,
,
"
NO DATE G-Unit:G Unit That's What's Up!,G-Unit,",Oh, oh, Gggga Gggga G-UNIT , yeah, it's 50 CENT ,and Lloyd Banks , and Tony Yayo , nigga, nigga ,You gotta love it, New York City ,,I been doin' my own thang,You can tell by the stones on my neck, and my wrist, and my ears,I'm doin' my thang ,I said I've been doin' my own thang,You can tell by my Benz, by my BM, and my Hummer, damn,I'm doin' my thang,,Uh, yeah, my chain is so heavy , I think it's necessary ,For me to talk about all of the stones in my resi ,I used to push a Chevy , about to cop a Bentley ,And stun on these niggaz 'till my tank on empty ,This gangsta shit is in me , the money I got plenty ,I still hustle, but I don't cop jewels from any ,I know a stripper named Jenny ,I marked a nigga named Vinny ,I ain't in on many , a CEO named Giddy ,50 is so witty, 50 is so high ,50 got the fuckin' hood on lock ,,I been doin' my own thang,You can tell by the stones on my neck, and my wrist, and my ears,I'm doin' my thang ,I said I've been doin' my own thang,You can tell by my Benz, by my BM, and my Hummer, damn,I'm doin' my thang,,When I'm knockin' you down, no one can save ya, from the other side of the door,It sounds like you going through this  before ,My passport is valid, so I'm goin' through Asia,Flyin' through Paris, stoppin' in Britain, shoppin' and shittin' ,If you ain't jumpin' off of the truck, you walkin',We got frozen hearts, get on the bus like Rosa Parks ,My name papi, so I'm higherin' the price,Bitch about to make enough money, to buy you a life ,,I been doin' my own thang,You can tell by the stones on my neck, and my wrist, and my ears,I'm doin' my thang ,I said I've been doin' my own thang,You can tell by my Benz, by my BM, and my Hummer, damn,I'm doin' my thang,,Uh, yeah, uh, yeah, yo, yo, I got so many hoes, that my pimp game natural ,The only time I don't fuck, is in the AIDS capital ,Look at the watch, you have a hard time seein' it,I got so many rocks, they have a hard time breathin' ,See the cross on my neck?,Hoes want to know what's the course on my neck ,First she said no, now she almost said yes ,Now we in the telly, and we both butt nak, workin' up a sweat ,,I been doin' my own thang,You can tell by the stones on my neck, and my wrist, and my ears,I'm doin' my thang ,I said I've been doin' my own thang,You can tell by my Benz, by my BM, and my Hummer, damn,I'm doin' my thang,,Yeah nigga ,You know it's me when I'm cruisin' through your motherfuckin' hood,And shit nigga, Don't try to act like you don't know it me,And shit, You know what I'm sayin'?,I didn't put no tints on the motherfucker,So you could see me nigga,If I'm gonna spend $125,000 on some wheels,I want you to get a good look nigga ,Yeah, look at me, look at the license plate,The license plate say: ""Get one nigga"" ,Can you get one nigga?
,
,
"
NO DATE G-Unit:E.M.S.,G-Unit,",Ga ga G-Unit!  haha, yo, yo,I need no introduction, everybody ,Heard of 50 Cent, and heard of G-Unit,I'm not Hi-Tek and I'm not Kweli  - you see me in the club,You better tell the bouncers to treat me special, I'm somebody ,Cause I get on that jet, in 5 minutes flat,Niggaz'll come back, shoot up your party ,If I don't have fun, nobody havin' none,I'm tryin' to holla at ya, come here shorty ,Shout out to my nigga Juvie, Wacko's here,Buck, my niggaz from New Orleans, wodie ,If we on the same page, when you see me on stage,You gonna throw your hands up, and you gonna applaud me ,You know how I get, I'm still on that bullshit, nigga, nigga,,I run around with the trey  pound like its a sport,And call my name in the bench, while I sit in court,I got a million dollar smile , and a fist full of pesos,And the wrist so icey, it could light up a stage show,In the club , nigga I stay holdin',Cause I'm on point for them wolves, and sheep clothin',I play the bar , with a double shot of Henny,Cause after this spot, its cheaters, and envy, ,,Yeah, Banks, yeah,Look you ain't got to like me, that's  cool, I don't give a fuck,Clowny time ain't gonna put me in a bigger truck,Fuck kids, it  ain't my turn to be stressed,A bitch worse nightmare is a paternity test,I'm too young to be faithful ,If money means love, I hate you,I only trick on the first of April,Holla at me, if you thugged  out shorty ready to fight you,Dice, roll a blunt, and pull the snub out for me,And if your not don't even  call me,
,
,
"
NO DATE G-Unit:Cocaine Dreams,G-Unit,"Yeah,G-Unit Nigga,50 Cent,You Heard Me,Irv I don't believe you let that nigga talk,You fat cupcake eatin' mothafucka,I'll fuck you up nigga,Fuckin' punk ass nigga,Don't nobody respect you nigga,You Preme's son nigga,Mothafucka's been gettin' extorted since day one,Its all kinda bitch in ya, chinese, spanish, black, white,I got X,Method slabs and cocaine,So the feds wanna search us,Like arabs boardin' tha planes,I'm in tha range,Switchin' lanes,Reminscin' on cans and sardines,And car dreams,I'm burnin' unfamiliar bud,Got a shotgun like Elmer Fudd,That'll let off and leave you hella blood,Ma I'm hip to tha game,Blue ice chips in the chain,A few nights skipped on the plane,With two white chicks gettin' brain,Bang bang from big heaters,Hundred dollar sneakers,Two seaters,Two ninas,And a bundle of hayes,At least enough to last fourteen days,He wouldn't sell lobster,My eyes slanted like Pharell's partner,Nigga respect like your father when it comes to drama,I put tha llama to your mama,And beat her like a pinata,Nigga I been hotta since '97,You been beggin' tha 5th kick like a kung-fu legend,One blue seven,Whats poppin' nigga?,Different day same shit,What you coppin' nigga?,S-K's want bricks, shit,You wind up dead with this,So why turn soft?,Straight bullets will burn a niggas sideburns off,I gotta model with a sick ass,Bagged her off 5th ave.,Fucked her offa hot dog and a playoff knick pass,Now we shoppin in tha malls on tha westcoast,And as far as pussy,I been through more walls than asbestos,So lets toast,And have a sex on tha beach,These niggas quotin' my lines like a Martin Luther King speech,Remember Patrice,She looked like Kelis,Met her in club,And caught her eyein' my piece,And with all the birds at tha show,I had to go fuck tha crazy hoe,Callin' Hot 97 'cause she knows I'm on tha radio,,,Yea,Ja you little Stuart Little lookin' mothafucka,Catch you I'll break your mothafuckin' neck nigga,You only weigh 110 pounds you little fagot,I know tha stylist you been fuckin' too nigga,I paid him 50,000,Check my album out nigga,February 11th you gonna hear him talk,You little bitch,Tryin' to jump off like its a promotional stunt,Seven days before your album drop,Huh..you little bitch,Order of protection,From who?,Who I need an order of protection from nigga? ,Ya lil' k..awe man,Mothafuckas man,Ya'll niggas is gonna make this a lot of fun for me
,
,
"
NO DATE G-Unit:Doin' My Own Thing,G-Unit,",Oh,Oh,Oh,GGGGG G Unit,Yeah,Its 50 Cent,And Lloyd Banks,And Tony Yayo,Nigga ha ha,You got to love it,New York City,,I've been doin' my own thang,You can tell by the stones on my neck and my wrist and my ears i'm doin' my thang,I said I've been doin' my own thang,You can tell by my Benz by my BM and my Hummer damn i'm doin' my thang,,MY chain is so heavy,I think its necessary,For me to talk about all of the stones in my bezey,I used to push a Chevy,I rather cop a Bentley,And stunt on these niggas 'till my tank on empty,This gangsta shit is in me,The money I got plenty,I still hustle what I don't cop jewels from Benny,50 is so witty,50 is so high,50 got the fuckin' hood on lock,,I've been doin' my own thang,You can tell by the stones on my neck and my wrist and my ears i'm doin' my thang,I said I've been doin' my own thang,You can tell by my Benz by my BM and my Hummer damn i'm doin' my thang,,When i'm knockin' ya down no one can save ya,From the other side of the door it sounds like you goin' through labor,My passport valid so i'm goin' through Asia,Flyin' to Paris stoppin' in Britan,Shoppin' and shittin',If you ain't jumpin' off in the truck you walkin',We got frozen hearts,Get on the bus like Rosa Parks,My name poppin' so i'm higher than the price,Bet you I could make enough money to buy you a knife,,I've been doin' my own thang,You can tell by the stones on my neck and my wrist and my ears i'm doin' my thang,I said I've been doin' my own thang,You can tell by my Benz by my BM and my Hummer damn i'm doin' my thang,,I got so many hos that my pimp game lasting,The only time I don't fuck is in the Ace Captain,You look at the watch you have a hard time seeing,I got so many rocks they have a hard time breathing,See the cross on my neck,Hos want to know whats the cost on my neck,First she said no now she almost said yes,Now we in the telly and we both butt neck,Workin' up a sweat,,I've been doin' my own thang,You can tell by the stones on my neck and my wrist and my ears i'm doin' my thang,I said I've been doin' my own thang,You can tell by my Benz by my BM and my Hummer damn i'm doin' my thang,,Yeah nigga,You know its me when i'm cruising through ya motherfuckin' hood and shit nigga,Don't try to act like you don't know its me and shit,You know what i'm sayin'?,I ain't put no tints on the motherfucker so you can see me nigga,If i'm a spend 125,000 dollars on some wheels I want you to get a good look nigga,Yeah look at me,Look at the license plate,The license plate say ""Get One"" nigga,Can you get one nigga?
,
,
"
