NO DATE Ice Cube:Better Off Dead,Ice Cube," ,
,
,
"
1991,Ice Cube,"Ice cube:,Here's another day at the stoplight,I'm lookin in my mirror so I can see who can see me,South central is puttin ice cube to the test,With four brothas in the ss,Now, I can't go around and can't back up,So I gotta peep game layin in the cut,Is this a jack or a kidnap? ,Since I'm never ever slippin I'm fully strapped,I grab my gat out the glove,Do these fools got a problem with me, or do they got love? ,And when the light turn green, I don't bone out,I wanna see, what these black men are all about,Cuz if it's my time, I'm just short,If not, I'm pluggin they super sport,First they get behind my ride,Then they switch lanes to the left side,I'm scopin out the one smokin indo',Comin up fast, rollin down his window,He threw up a sign, I put away my nine,Fool, cuz I'm color blind,Threat:,Killa cali, the state where they kill,Over colors cuz brothas don't know the deal,And they'll cap you, not if they have to,But if they want to, first they might confront you,But every nigga on my block can't stop,And he won't stop and he don't stop,Not to the bang bang boogie, but they like to gangbang,And rookies ain't the only ones that drop,Some say the little locs are gettin a little too loc'ed,And when it comes to dust, they kick up the most,Say the wrong words then whistle down the street to your homies like a bird,Bust a u-turn, come back and get served, nigga,For the women, it don't matter how loud they blouse get,But wearin the wrong color outfit, could get your mouth split,It's a shame, but it ain't no thang to me,Cuz I slang these thangs like a g,It's on, is anybody killin for the summertime,I gotta get another nine, even though I'm colorblind,Kam:,I'm fresh outta county on bail,And no sooner do I get out, seems like I'm right back in jail,For some gang related activity,Cuz everyday, different fools try to get with me,For no more than a color or territory,Can't rehabilitate 'em, that's the sheriff's story,So what's left, the judge goes deaf,When you try to tell your side and you ain't blue eyed,Boy you better duck, cuz the book is comin',And just hand your car keys over to your woman,Because it ain't no sunshine where you headed,And the shit'll drive you crazy if you let it,But now I got time to think,Because they hit me with everything but the kitchen sink,And I ain't even shed a tear,Cuz believe it or not, they got more love for me here,Now picture that, but on a black and white photograph,Cuz brothas, you don't know the half,On the streets I was damn near outta my mind,But ever since I've been down, I'm colorblind,WC:,Now here's the game plan, yo, at a quarter to nine,I was told to peel a cap on the other side,Yo, young and dumb and full of come up, a baby loc,I gotta put in work for the hood and that ain't no joke,Coolio:,Stable and able but I'm not ready and willin',Cuz I'm only 13 and I ain't never did a killin',Grabbed the a.k. and jumped in the g ride,Started up the bucket and headed for the other side,Wc:,Yo, spotted the enemies, now I'm on a creep tip,Hit the 5 dollar stick and I put in my clip,Coolio:,So, I jumped out the car and no matter what the cost,I had my mind set on sendin niggaz to harrisons ross,Wc:,Caught one from the back and I looked in his eyes,Thinkin should I peel his cap, or should I let him survive,Yo, I'm trapped in the plan designed by the other kind,Coolio:,I ain't contributin' to genocide  Cuz I was colorblind,King Tee:,Niggaz in the hood ain't changed,And I've finally figure out that we're not in the same gang,Cuz, I walk the alleys of compton with nowhere to turn,Every which way I get burned baby,Lou wears blue, big fred wears red,Put 'em together and we color 'em dead,Dead, dyin, gettin smoked like part of the fun,They get smoked just to show how many come to the funeral,J-dee:,I understand how all my homeboys feel,Cuz I've been shot and to this day, I pack my steel,Cuz I was born in a certain territory,Where you don't talk only the streets tell stories,With blue and red bandanas on the street,And if you're slippin, you'll be six feet deep,Cuz me and t-bone, we pay it no mind,And for the rest of the mob, we stay color blind...
,
,
"
1991,Ice Cube,",""twenty d energizers."",""twenty, c energizer? "",""d, not c, d."",""b energizer? "",""d motherfucker, d! learn to speak english first, alright? d!"",""how many you say? "",""twenty, motherfucker, twenty."",""honey..."",""mother-fuck you!"",,Everytime I wanna go get a fuckin brew,I gotta go down to the store with the two,Oriental one-penny countin motherfuckers,That make a nigga made enough to cause a little ruckus,Thinkin every brother in the world's out to take,So they watch every damn move that I make,They hope I don't pull out a gat and try to rob,They funky little store, but bitch, I got a job,,Yo yo, check it out,So don't follow me, up and down your market,Or your little chop suey ass 'll be a target,Of the nationwide boycott,Juice with the people, that's what the boy got,So pay respect to the black fist,Or we'll burn your store, right down to a crisp,And then we'll see ya!,Cause you can't turn the ghetto - into black korea,""i do fuck you!""
,
,
"
1991,Ice Cube,"Down at the best spot,Its me and JD and they sellin more birds than a pet shop,The spot's hot and everybody nervous,That's when the blue car served us,Oh why did fools had to let loose,Heard six pops from a deuce deuce,Big Tom had to push us,13 niggaz runnin straight to the bushes,For they gats so they could draw down,But why a motherfucker like me had to fall down,Not known why I dropped out,Fuck it, still can't afford to get popped out,So now I gotta jet,Only ran one block, but my shirt soakin wet,Tryin to see if we got him,Looked down at my sweatshirt red at the bottom,Didn't panic but I still looked cracked out,Yelled to the homies then I blacked out,Woke up in the back of a tray,On my way, to MLK,That the county hospital jack,Where niggaz die over a little scratch,Still sittin in the trauma center,In my back is where the bullet entered,Yo nurse I'm gettin kind of warm,Bitch still made me fill out the fuckin form,Coughin up blood on my hands and knees,Then I heard ""freeze nigger don't move"",Yo, I didn't do a thing,Didn't wanna go out like my man Rodney King,Still got gaffled,Internal bleeding as the bullet starts to travel,Now I'm handcuffed,Being asked information on my gang affiliation,I don't bang, I rock the good rhymes,And I'm a victim of neighborhood crime,I need to see a MD,And ya'll mothafuckers giving me the third degree,Look at the waiting room,Its filled to the rim like the county jail day room,Nobody gettin help,Since we poor,The hospital move slow,Now I'm layed out,People steppin over me to get closer to the tv,Just like a piece of dog shit,Now will I die on this nappy ass carpet,One hour done passed,Done watched two episodes of M*A*S*H,And when I'm almost through,They call my name and put me on ICU,Halfway dead,No respect and handcuffed to the bed,Now the trauma starts,Cause the bullet must be just a hair from my heart,So I begin the ass kissin,Just to get looked at by an overworked physician,Got the chills, but my temperatures 103,Only got a band-aid and an IV,That's when I start cussin,Police steady askin me who did the bustin,Why oh why can't I get help,Cause I'm black, I gots to go for self,Too many black bodies the hospital housin,So at 10 P.M. I was Audi 5000
,
,
"
NO DATE Ice Cube:A Bird In The Hand,Ice Cube,",Hey look at this!  I was cleaning out my nest,and I found a book of my old poetry,,Fresh out of school cause I was a high school grad,gots to get a job cuz I was a high school dad,Wish I got paid like I was rappin' to the nation ,but thats not likely, so here's my application,Pass it to the man at AT&T,Cuz when I was in school I got the a. e. e.,But there's no SC for this youngsta,I didn't have no money so now I have to hunch the,Back like a slave, thats what be happenin ,but whitey says there's no room for the African ,Always knew that I would boycott, jeez,but welcome to McDonalds can I take your order please,Gotta sell ya food that might give you cancer,cuz my baby doesn't take no for an answer,Now I pay taxes that you never give me back ,what about diapers, bottles, and similac ,Do I gotta go sell me a whole lotta crack,for decent shelter and clothes on my back?,Or should I just wait for help from Bush,or Jesse Jackson, and operation Push ,If you ask me the whole thing needs a douch,a masengel what the hell cracker sale in the neighborhood ,To the whorehouse bitches,,Miss porker, little joe or Todd Bridges,Or anybody that he know ,so I got me a bird, better known as a kilo,Now everybody know I went from po' to a nigga that got dough,So now you put the feds against me,cause I couldn't follow the plan of the presidency,I'm never givin' love again,Cuz blacks are too fuckin broke to be republican ,Now I remember I used to be cool,till I stopped fillin' out my W-2,Now senators are gettin' hired,and your plan against the ghetto backfired ,So now you got a pep talk ,but sorry, this is our only room to walk,Cause we don't want a drug push,But a bird in the hand is worth more than the bush,tell the politicians, the hustlers: live and let live ,tell the politicians, the hustlers: live and let live 
,
,
"
1991,Ice Cube,"Intro:,You are the prince of darkness,Arch enemy, father of evil,Hell born, demonic, savage, fierce, viscious, wild,Tameless, barbaric, uncontrollabe, obstinate beast,Verse One:,Horny little devil, you gotta back up,Horny little devil, you can't bust a nut,Lookin at my girlfriend's black skin,You wanna jump in, but she don't like white men,So don't throw that work you fuckin jerk,Or get your punk devil ass hurt motherfucker,She ain't with the pale face,Cause y'all fuck at a snail's pace ,And you might get sprayed with mace ,By the ebony,So when she's doing her job you better let her be,Don't try to pinch the gluterus,Thinkin that you about to knock out the uterus,Cause she'll tell you to kiss her ass quick,And where I'm from, devils get their ass kicked,Mr. Sexual Harrasment ,Asking for a blow while the answer is ""fuck no"",Looks like you wanna terminate ,But that's when I go Psycho like Norman Bates,I wanna kill the devil for talkin shit,Cause he can't get a taste of the chocolate,African breast; cause white bitches got no butt and no chest,Black women have bodies like goddesses,Sorta like Venus, but put away your penis,Cause the devil is a savage motherfucker,That's why I'm lighter than the average brother,Cause you raped our women and we felt it,But it'll never happen again if I can help it ,Cause nobody in my neighborhood has caught jungle fever yet,So horny little devil, you better listen,Before your ass comes up missin,and it's like that,Verse Two:,Now you wanna get me ,Horny little must be a F-A-G,Tryin to fuck me out my land and my manhood,Got broke eating Spam and canned goods,Locking down on my neighborhoods,Treat me less than a man cause right now you got the upper hand,But my ass is a virgin,You mignt have fucked the Indians,but you can't surgeon me ,And when I'm on top I wont be fuckin ya,I'd rather put a buck in ya,Cause I hate the devil with a passion,and when I see the whites of his eyes I start blastin,Dig a hole and throw his ass in ,And I won't be happy til I'm down to my last ten,Get his fuckin pitchfork,Tie him up, and then feed the bitch pork,Little devil wanna fuck me out my pay,But horny little devil true niggaz aren't gay ,And you can't play with my Yo-Yo,and definitely can't play with me you fuckin homo,Cause we'll blow your head off,And turn that white sheet into a red cloth,Plus when they're all dead ,I can quit that jheri juice and get a bald head,Then let it nap up ,Go down to the corner store and beat the Jap up,Clean all the crap up ,out my city ,Now the whole block look shitty,Put his dick on a wood block,Swing swing swing, and chop chop chop,Now who's the next to nut,Color Me Badd, but you can't sex me up ,So don't even try to put a dick in a die,Because this is what why in 1991 I'ma get my gun,Put an end to the devil, so get a fucking shovel,
,
,
"
1991,Ice Cube,"Your daughter was a nice girl, now she's a slut.,A queen treatin' niggas just like King Tut.,Gobbin' up nuts, sorta like a hummingbird,,suckin' up the Lench Mob crew, and I'm comin' third.,Used to get straight-As, now she's just skippin' class.,Oh my, do I love to grip the hips and ass.,Only 17, with a lot of practice on black boys' jimmys and white boy's cactus.,Sorry, sorry, sorry, but I gotta be brief:,a lotta niggas like bustin' nuts in her teeth.,Drink it up, drink it up, even though she's Catholic,,that don't mean shit, cuz she's givin' up the ass quick.,Quicker than you can say ""candy"", the bitch is on my Snicker...and oh man she,can take on three men built like He-Men;,her little-bitty twat got gallons of semen.,Fourteen niggas in line ready to bang your ,pride-and-joy, I mean daddy's little angel.,Tell the bitch to get her ass out the house,,cuz your daughter's known for givin' up the nappy dugout.,Chorus, 2x: I got a big old ding-a-ling, and if that bitch remains,,I'm gonna do my thing, with your dauuuughter!,Mister, mister, before you make me go,,I'm here to let you know your little girl is a hoe.,Nympho, nympho, boy is she bad; get her all alone and out come the kneepads.,I know she's a minor and it is illegal,,But the bitch is worse than vanessa del rio.,And if you decide to call rape, we got the little hooker on tape, now:,Tell the fuckin' slut to please hurry up,,And wear that dress that's tight on her butt,,So I can finger-fuck on the way to the bed,,Been in so many rooms, she got a dot on her forehead.,Face turnin' red from grabbin' them ankles.,Fuck and get up is how I do them stank-hoes.,You should hear how she sounds with a cock in her,,Boots get knocked from here to czechoslovakia.,Two on top, one on the bottom;,First nigga got the boots, man, you shoulda shot 'im.,Cuz after I got 'em it was over. now niggas get lucky like a four-leaf clover.,On daddy's little girl.,She keeps nuts in her mouth like the bitch was a squirrel.,So tell sheryl to bring her ass home,,Cuz the line at my house is gettin? loooooooong, and....,Chorus,
,
,
"
1991,Ice Cube,":What The F**k?,:Hey Faggot Or Nigga,:Hey Slut
,
,
"
NO DATE Ice Cube:The Birth,Ice Cube,",, Dr. Brains, telephone. Pagin' Dr. Brains, telephone, please! ,  , C'mon! C'mon, lady... push it once more!, I see the head...,  , Push! Push!, C'mon!, C'mon... push!, C'mon, honey!, PUSH!, , It's a boy. ,,The black man and black woman have no FURTHER!,No beginnig and no ending... BEFOOOORE Alpha...,And AFTER... Omega!,History and historians'll record...,The black father and mother of morality... medicine... music, and mathematics.,The father and mother of all the nation of religion, philosophy... art... science and civilization!,NO FURTHER!,All they can say about the black man...,Is he WAS, he's HEARS... and he SHALL BE!,Before HIM there were none.,And after HIM... there will be NO MORE!,Before we can make a way for the peace maker...,We must KILL... and get rid... of the peace breaker. 
,
,
"
1991,Ice Cube,"<O'Shea!  O'Shea!,Get your ass in here, boy,You hear me calling you?,O'Shea!>,When I was young I used to hang with the seventh graders,Little bad motherfucker playing Space Invaders,Fucking with the girls in the fourth grade,Either feeling on they butts or pulling on they braids,Walking with the schoolhouse bully,By doing that, I had a lot of pull, G,Cheating on tests, making a mess,Cussing like a sailor at recess,It must a been a half moon,Cause you'll catch me running out the little girls' bathroom,Chewing on Good and Plenties,Got my gamble on at lunch pitching pennies,Yo I was living like the class clown,Pulling all the hokes, making all the jokes man,When you young it's hard to see,That it's wrong throwing rocks at the RTD,Popping out your window with a BB gun,Better yet knocking on your door and run,Playing hide-and-go-get-it for a little stank,Even though I was still shooting blanks,As soon as the dark hit,I was stealing candy out the corner market,Until I got my ass whipped,Cause I was ten years old, doing dumb shit,Thirteen, that's how old I was,When my jimmy started getting a little peach fuzz,And I was looking at any butt and ass,Me and my homies started cutting class,Going up to the high school,Looking for any bitch I could lie to,Tell em I was older than I really was,Smoked my first joint and got really buzzed,That's what a mack's made of,But when I got my first piece of pussy I fell in love,Hard as a rock the long way,And then I put the rubber on the wrong way,But I still gotta have it,Overexcited and fucking like a jackrabbit,Goddamn I was hot,A virgin but I still knew how to lay pipe,Even though the hoe worked me,I still knocked the boots from here to Albuquerque,Then the shit got strange money,I started shaking and jimmy felt funny,Then the nut came gushing,I jumped up got dressed and start pushing,Cause I thought the bitch broke my dick,Cause I was still young doing dumb shit,At 17 got my first Volkswagon,And mastered the life-long art of dragging,To the women in college,Hung out with the OG's and got some street knowledge,Breaking in cars and all that,Hitting punk fools with a baseball bat,Fucking at a real fast rate,Til they said that I might not graduate,Then I said fuck the dumb shit,Cause Pops'll fuck me up quick,If things continued,So I start rapping about shit I been through,And I got real good,Now I look at all the kids in the neighborhood,Trying to be baby macks,Doing shit that I did seven years back,Going through a stage,But before they can grow up they on the front page,And they mommas is having a fit,Cause they died young doing dumb shi
,
,
"
