NO DATE Ja Rule:Race Against Time II,Ja Rule,"Yeah, yeah, uh huh,Race against time, ha part two,You know, haha, ,Uh, c'mon,Yeah, yeah, yeah, haha,Nothin like the future,,Guess who's back to personify money, power, and bitches,But when bitches been gettin money, that when shit get ridiculous,I'm hittin switches like six fo's, bouncin and leanin,The west coast seemin, keep the fo' fo' demon,And the rock is all stashed up,Roll up a little diesel, keep it hashed up,Then +Holla, Holla+ at the whores, is hollerin back,Let 'em know a few facts like if your ridin, your back's slidin,This is the 'Race Against Time' and I ain't got time to waste,To give chase, I put a hole in your fin,But your head to the barrel like DJ's is spinnin,Backward, to blow off the backwood, I'm so hood,But what's really hood, when you ain't doin your hood ,no motherfuckin good, and bein misunderstood,I would die if I could, Rule the lion,And I'ma keep &quot;ri-da-da-da-da-in&quot;,,Race against time, I - can't stop,Runnin through the red light - livin my life,Even if I'm gettin too hot,Still I can't stop - &quot;Ri-da-da-da-din&quot;,,Bless the day that the God was born two, twenty-nine, seventy-six,This cocaine was heavily mixed,And all them niggaz had a fixation for bad reputation,For pimpin hoes, and shootin fo, to bring the free basin,If this is time erasin, the devil is runnin like Bettis,And got his guns out lookin for ways to behead us,You can die in a matter of seconds, so I'ma slow it down,Turn back the hands of time with the 40 Cal,Claimin your style is the realest, so I'ma define the meanin of murder, it's killer,You outta your mind, the burner's designed for the fill up,No gas, and when I spits like acid,smoke weed, but blow ether, spit ashes ,cause young Rule in his prime like 'Clay Cassius',Hated by the masses, but overwhelmed with love and passion,For when I die niggaz keep &quot;ri-da-da-da-din&quot;,,,If Jesus Christ was criticized, then why not me,What the fuck am I special, I struck a deal with the devil,Haha, every kid a prophet, which one seem like its logic,Me in church, or me in bed with bitches managen,I can chase like sergeant, addictive like heroin,Outsiders just lookin in, through a barrel that's pinned to the peep hole,They seein all or nothin like Jazz from Clisco,Hit 'em up and let's go, jump over the threshold,I just got married to bangin pistol, drugs and other shit,Feel in love with a bitch that I call crime,She reminded me that nobody can beat time,If you get enough of it nigga,So I looked her dead in her eyes and pulled the trigger,Thinkin that the music we feel would be somethin different,But this the same old criminal vibin,I ain't hidin, I'ma keep &quot;ri-da-da-da-din&quot;,
,
,
"
NO DATE Ja Rule:The Life,Ja Rule,",,,Yeah my nigga Rule, Hussein Fatal,The outlaw don in this piece motherfucker,I want to welcome y'all niggaz back to the streets ,You's confused for a minute but here we are,My nigga Cad in this motherfucker,I got my niggaz man, them bricks ,Ride out nigga,Uh, yeah,],The life, the life ,The life, the life ,The life, the life ,,Yo, what up world, it's Rule public enemy number one,it's cool, my new best friend is my pistol,And anybody that want it or got jewels run it,and end over your head, don't make me gun butt it,Do you like Manolo, put two in your stomach,And flash the burner on bitches like stacks of hundreds,I'm livin my life , what gets better than ice in hell,When you cookin up coke to sell,It be the little statistics, some pictures, some prints,Some informants to get the operation pitched,We enormous, some would say the ""Inc."" is ""Murderous"",You don't want us to strap up and bang the strip,But if need be, we'll bang out like Bloods and Crips,Styrofoam the noozles and extend the clips,Murder meets gangsta shit,And all my niggaz that live it from hood to hood bang to this, nigga,,The life, the life ,Whether your Blood or cuz we all gangsta,The life, the life ,Whether it's dope or coke we all slang drugs,,I'm the street's poster child,I'm supposed to wile,With the toast I'm foul,My Murder Inc. mob money, Oprah style,From here back to the block, they get that green,Known to put a hole through a nigga's shoulder soon as the beam glow,Probably graze you in the face, give me a break,I'ma rapper, out here to stay, don't make me do what I say,Just let me say what I do,Cause I'ma put it in a rhyme, everytime, about to spray up your crew,And I ain't lickin off shots to warn 'em,Just a pop swift to the dome, on the real ""G-Unit"" nigga, glock and all this,So believe I'm not the one when it get stupid in the booth,I told y'all with Rule it was a gun in this bitch,Now I expose how scary you niggaz is,And when you want the bis,My brick city outlaws' a bury you niggaz,I'm so cool, when I ain't doin my numbers,Let the ...,,Okay, motherfuckers when the bounce came to your waist,and shells get to droppin,you better duck, and get up poppin,Don't get left with the cops,Gangsta, yeah, put that work in,Put a nigga dick in the dirt,Lace shots to the face,Hopin it shut case, John Doe,Unidentified, I always hit 'em high when I dump and let it fly,Now once with 45 nigga I had a picture on top of the coffin,Murder Inc. bosses,,The life, the life ,Whether your Blood or cuz we all gangsta,The life, the life ,Whether it's dope or coke we all slang drugs,The life, the life ,Whether your hoein or stuck up, we're still gon' fuck,The life, the life ,Niggaz don't want it with us, cause it's Murder,,Okay you hard as fuck,but when the slug hit, you dead if your name ain't armored truck,Murder Inc., Outlawz and the Floys is here,Bang, bang, shoot 'em up, cowboys is near,Stampedin anythin in our way, we'll attract war,If your smart you'll slide over like handicap doors,I ain't a killer, I just spark a lot,So when I squeeze I'm turnin your whole block to a parking lot,Understand I'm the grimy Floy,Wanna trip to death then try me for it,Crazy since '94, that's why cats don't hang around me like Chinese stores,One step ahead of you, get more guys,You strapped with four fours, we pack four fives,Fuck talk get the chalk out,You'll be lucky if your able to crawl or walk out,,I'm in the pop life,so when I pop up in your life, and I pop twice,Get down, I spits more than rounds,and niggaz bleed heavier than hoes on they period,This sound gotta movin ""Faster Than Furious"",But nah I ain't Ludacris,I'm here to let y'all niggaz know I ain't new to this,Gun butt your bitch,That's the way I get down, believe my style is Murder,Clap a nigga, dipped and hide the burner,The rule to learn ya bomb ya like embalmin fluid,Until your limbs feel a loss of movement,In the hospital in critical livin,Must minimal  it's Murder,Yeah, that's subliminal,Who gets down and bangs with nothin but criminals ,Rule nigga you know it, these others cats is pitiful,Bein a rap God is spiritual,Your God is Ja Rule nigga let's not get it confused, haha,,The life, the life 
,
,
"
NO DATE Ja Rule:Clap Back,Ja Rule,",Yeah, yeah.. haha yeah!,I gotta get my headphones,All my gangsta niggaz is in the building on this one!,You know! Yeah yeah ya know,It's real!! Hussein what's happ'nin nigga?,I see you, aight Shadow what's poppin BLAT!!,Haha haha, yeah my nigga O-1 in the motherfucking house,Jody in the house ,My nigga Cadillac, Gotti what up!?!,Blackchild what up!?!,I'd like to welcome all my niggaz,To the world famous Murda Inc. Show,Big shout to all my Queens niggaz in Staten Island,Niggaz in Uptown, niggaz in Brooklyn niggaz,All my Bronx niggaz yeah, all my Jersey niggaz! you know?,We doing it real big right here! all my money niggaz,This shit commentated on the one's and two's!,They call me the Mighty Rule! how ya living?,This real shit we talking,I wanna ask all my gangsta niggaz a real question ,What do you do - when niggaz spit at you?!,,Clap back, we gon' clap back,We gon' clap back, we gon' clap back,,We gon' clap back, we gon' clap back,We gon' clap back, we gon' clap back,,We gon' clap back, we gon' clap back,We gon' clap back, we gon' clap back,,We gon' clap back, we gon' clap back,We gon' clap back, we gon' clap back,,We gon' clap back, we gon' clap back,,Fuck if they holl'in about Rule nigga, here's the real,I'll pop ya top like Champagne bottles that chill,Wear nothing but ice, smiles tinted up to The Greatest,Tell em I'm nice too, plus push them nice coupes,The Inc roll like duece man, I'm ol' G Bobby J,And we slingin' soccer fields of yay,They don't respect that, don't get your minds around,You'll get it pushed back, y'all don't want that,I send em to the morgue while keepin my bitches bouncin fa sho,""In Da Club"" with no gun, got em taking it off,Can't help that, I'm the nigga that puts it down,Once I hit that, that's it I'm up in the May ,Send them home in the throwback, West 44 Lakers,Let's make no mistakes, when these reps take place,What's your procedure with a gun in your face?,When you got one in your waist, let's cock back nigga air out the space!, We gon',,,Rule be ""In Da Club"" rule motherfucker poppin the bubbly,When shit get ugly I hug the snub closely,But usually we still see your bitches,Bouncin on some freak shit, trying to ride my dick,I can handle it,  long as they manage,To get they ass infront of my dick and dance, to Big's ""one more chance"",Catching hate from a glance, but I'm a giant,These niggaz is mere ants, I'll stomp 'em out wit a shank,Give bitches the back hand,this pimp shit, it's not realistic,The game is heavy, let's not get it twisted,I'm young, black, and gifted, but still at the bottom,And stuck somewhere between Gomorrah and Saddam,I'm here to make this rap shit hotter than Harlem,Fuck the Dog beware of Rule, cause I'm the problem,What's your procedure with a gun in your face?,When you got one in your waist, let's cock back nigga air out the space!, We gon',,,Like Bush and Saddam, I'm a find out,Where Em Laden's hiding and bomb him first,It could be much worse, I could be hotter than yo scrubs,Mask and glove, gun hot from burnin ass up,I'd rather be bossed up, wit a bunch of broads,The preachers daughter screaming out ""Fuck the lord!"",I may have struck a chord, wit the Christians,But y'all got the freakiest bitches out of all the religions,And God gave me his blessings to handle my business,On these wanksta snitches, let the nina blow kisses,If she some how misses, he gon' meet the mistress,And ""Clap that boy"" like Birdman and Clipse,I got these niggaz all over my dick, like hoes,I'm the star at these shows, I must be as hot as they come,What's your procedure with a gun in your face?,When you got one in your waist, let's cock back nigga air out the space!, We gon',,, Yeah, my nigga 'Zino in this motherfucker, That's how we do it, know what I mean, Buck '89 what's up baby, I see you, Break 'em down nigga! break 'em down!, Bring them birds, in the motherfucking house, It's not a game no mo', Queens in this motherfucker, You know, All my Jersey niggaz, all my Boston niggaz, All my Brooklyn niggaz, Brooklyn sir what up!, Haha, yeah, holla at me man
,
,
"
NO DATE Ja Rule:Kay Slay (Skit),Ja Rule,"First message, Tuesday 2:13 P.M. ,Yo, it's drama king nigga.,You true for true, my nigga.,That change gon' come soon, problem,That shit is a real fuckin' problem, man.,Thats a hot record though, word up. One.
,
,
"
NO DATE Ja Rule:Niggas & Bitches,Ja Rule,",Yeah ... ha, uh huh,You know how we do ,Uh, uh, yo my nigga Cad what's hangin nigga ,Nigga Terry what's goin on nigga,Let me talk to 'em for a minute ,Yeah, haha,,Niggas! Grip the iron and keep it cocked,Bitches! Work your clit keep that pussy hot,Cause it's all about the benjamins and nobody ain't doin it like us,C'mon what y'all want?,Niggas! Grip the iron and keep it cocked,Bitches! Work your clit keep that pussy hot,Cause it's all about sex, money, and murder,Bitches that burn ya, niggas with burners,Cocked and let go!,,Fuck all y'all motherfuckin bitch ass niggas,I'm talkin to whoever wanna be ridin my dick,And you know your gon' get it as hot as I spit it,It's the Rule and nobody wanna be bothered with,If I hit 'em in every direction with four fifths,Will expend like 45's with compact discs ,It's a disappointment to see niggas flip on Rule like they double jointed,When I'm one of rap's anointed,Who else used to order it all on the dick,Like when I come through with spinners on the six,And got bitches bouncin like Ronnie in Tricks,But some whores in this game really don't make sense,Bomb roof and via Cal's and clonin Ems,But when bullets go through your film, we break your limbs,A horror show, yeah picture this,Cause I guess you can't see it, it's Murder again,,,Rule I fuck with bitches in Manolos and thick Louie Vuitton logos,Cause I don't love these hoes,I'm above and beyond everything that your seein,And I'm the only real nigga left rappin this freakin,If I could be one of the seasons, you'd call me summer,The way I bang the heater out the back of the Hummer,The bull just move like runners from city block to city block,Layin down the foundation for what's really hot,Y'all niggas really not on my level ,I'm like slugs when they pierce the metal, you see sparks ,My voice is a brush, they hear it it's like art,And nobody can really tell the twins apart,I call one Nina, other one Santa Maria,I might roll up on your set, dump and lean ya,My bitch is cocked to bang men in Virginia,Don't make me run up on ya, put a few in ya,,,Yeah, yeah, yo, Murder's outlaw, that guess I get a city's a broads,So I push the Porsche high and truck to court,Holla at the judge if the judge made a bad decision,I feel like the nigga that triggerin guns with mittens,It's hard to get done, I'm hearin that security runs,around 30K, if they don't get hit with an AK,And found out that the security's runnin another way,Like with me, it's Murder, probably,If I could drop in to manslaughter get a bail and flee,Cause my downess says bitch up, let her handle the pick up,Snow cone the country leave no market untouched,Call me drugs if this is how they pushin us rafters,But I don't do it cause I need it, I do it cause I want more,Definition is greed, I do it cause I want yours,And y'all niggas is teasin, y'all don't really want war,But if you really do, your gonna need a lot more,,,Faggots, haha ,Yeah, shout out to my nigga 01 ,Baby, you know what I mean? My nigga Black Child ,Big Caddillac, my motherfuckin partner my brother,What up Gotti, you know how we gonna do these niggas,You ain't got to pick up no mic either my nigga,I got this, I got these niggas Gotti,Holla back nigga ,Yeah, uh, yo my nigga Burns in the building,Blow somethin up nigga 
,
,
"
NO DATE Ja Rule:Bobby Creep,Ja Rule,"Hello, hello people out there in the world of America!,This is your host, Bobby Creep.,I'm here with my special edition, of the lifestyle's of the scared, and famous.,I'm here with the worlds most scariest rapper: 50 cent!,He's here with six bodyguards, and he has a bulletproof Humbee, Humvee excuse me, Humbee for bombproof that is.,And I'm tellin' you, this car is amazing, you have to see it on the streets. ,It only comes in two colours, gunmetal and black.,50 has gunmetal.
,
,
"
NO DATE Ja Rule:Things Gon' Change / 2 Punk Ass Quarters (Skit),Ja Rule,",First off fuck the snitch and the unit he claim,Fuck Dre partial, and eminem,Plus the world heard it before, they tired of them,And they waiting for that thug shit from Rule' again,And Proof can bomb Proof your hummer then,Put a vest on yourself and your child-ren,Teach ya to be scared of death of them muderin',Niggaz that like to put holes through chins',In case y'all don't know about my savages,They'll kidnap you kid's, throw em over a bridge,Got em'reminiscing to N-O-T-O-R-I-O-U-S,you just lay down slow,I blaze out in the six while letting the fifth go,I think ""Big"" as if I was wanted on death row,We tha world famous, murder inc we infamious,Fo' making bangers, and bangin' hammers, shit,, Change Gon' Come, I ain't gonna lie when the heat wave high everbody gotta die, Change Gon' Come, You better believe it, we stoppin' niggaz from breathin, poppin niggaz then leavin', Change Gon' Come, One way or another, we gangsta's from the gutta, we'll shoot ya then cut cha', Change Gon' Come, Ja, you ain't never lie when the heat wave high everybody gotta die,,As I sit back relax, cuttin' crack loadin' gats,I think about these sexy rappers that I wanna clap,I'll probably go to jail fo' sending ""50"" to hell,If I lay banks down yayo going tell,Fatal' will help him write his raps in brown,Black Child is Black now, Rule is crack sells,""IG"" nigga the boss of all bosses,making money off music, murder, and torture,Who got what it cost for a coffin,Nigga you a dead man walking, this is extortion,We organized crime everybody's crying,While all of ya'll dying when the ian's stary flyin',Down the public, wanna polly about peace,Well fuck peace cause this nigga half police,And Black child is half man half beast,And I'm a give all ya'll niggaz a half a clip a piece,,,It's time to address the public,niggaz is frontin like when we see them we ain't dumpin',Shot's tryin lay something down, homie it's nothin',When you dealin' with real gangstas,that a pop and erase ya, my dog's ain't playin man,Whenever we see you we leaving you there,And ain't no aftermath after these shot's flare,Nigga we get it poppin' bang like crip's and blood's,And ain't shit change,I still keep a bandana and pack gun's nigga,,You better watch you mouth, fo' I rip yo face off,And everybody you wit gonna jet the fuck off,You's ain't gangsta, you sweet as ducksauce,D' plays no games, pop the fuck off,O' you want war, everybody gon get clipped the fuck off,everybody know you block is buzzed off,We got big ball's, pay off ten fo' walk with the fifth ball,Bangin on Crenshaw,,50 Cent? is that what this is all about?,2 punk ass motherfuckin quarters!
,
,
"
NO DATE Ja Rule:Murder Intro,Ja Rule,"I'm about to be on some real murder shit, eh.,I'm telling you man, any nigger that ever looked at me wrong, owes me money, or ever said any jelous bullshit about me is fuckin dead.,You understand what the fuck I'm sayin', eh, they fuckin' dead.
,
,
"
NO DATE Ja Rule:The Crown,Ja Rule," ,They can't keep a good man down ,All these people smile, but they won't me to frown,Gettin' by when I shot 'em nine rounds,They will never ever take my crown ,Thinkin they know, but no man will touch,Things gettin' better when I thought it would get worse,Here comes an officer who askin' for a search,Found a weapon it's up to me to clap first,,I know y'all niggaz is second guessin' the state I'm in,Bitch, I'm in to makin' hit records that spin like rims,So when ""Flex"" get it, he bomb it once, shit bomb it twice,New York city pop your thoughts, turn off your lights,And ""50"" you have it, cause when Rule' spit to the masses,I got yo attention like J-Lo's ass,,,I know y'all niggaz is second guessin' the state I'm in,Bitch, I'm in to makin' hit records that spin like rims,So when ""Flex"" get it, he bomb it once, shit bomb it twice,New York city pop your thoughts, turn off your lights,And ""50"" you have it, cause when Rule' spit to the massed,I got yo attention like J-Lo's ass,And if it's pussy we talkin' I come to smash em',Personal foul like cole, when I sexual harass em',Cause bitches want you beat it with passion,Niggaz want to you to clip up and clap em',And hide the body like nuthin' happened,Niggaz need to get they money and stick to rappin',Or end up like one of the Jackson's beware of your actions,Cause you don't wanna meet that desert e',With that hair pin trigger so easy to squeeze,And no matter how you cut me I'm always chesse,Like ""Black"" said, It's a hundred niggaz, seventy degrees muthafucka',,,You know they can't keep a real nigga down ,Not what they niggaz can even wash up it's federal,Comin and puttin snicthes on a pedestal, glorify,Had to put niggaz in jail fo' life, ain't no blood in they eye,But who, Ja' bless 'em with tha sizzla touch,Thing's gettin better when they thought it would get worse,I bomb first, and breath in the heat, knowin to hell I send em',And I ain't talkin' devils or demons, just be happy ya breathin,And cowards go to hiccupin' and sneezin',leavin every soul cold, and bodies never a day old,Drving down on a yayo and dump it, like fuck it,Niggaz addict to hutslin, no one can ever be trusted,who told the feds' to rush ya,Why you fishin' in darken looking for sharks to wise,Coast to coast man,Just look around Rule' will never back down,And y'all can never ever take my crown ,],Yeah, Yeah, That's what the fuck I'm sayin..,Talk to 'em baby,Tell theses niggaz, what these niggaz know?,You know niggaz, no man touch this muthfucka right here,,Niggaz going in they dreams to fuck with me, b,Murder inc  Holla,Murder inc... yeah murder inc..,It's murder inc... we do this shit, we do this thang',This thang called... this thang we call drugs nigga,in the booth... lyrically,I get's the job done you know me baby,Holla back, Rule
,
,
"
NO DATE Ja Rule:The March Prelude,Ja Rule,"Yeah...*sniff*...been a slave too long.,ALL MY MURDERERS!!!!!!,Let's march my niggas.,Lord, can we get a break?   ,We ain't really happy here. ,Take a look into our eyes!  ,And see pain without fear.  ,Lord, can we get a break?   ,We ain't really happy here. ,Take a look into our eyes!  ,And see pain without fear.  ,Lord, can we get a break?   ,We ain't really happy here. ,Take a look into our eyes!  ,And see pain without fear.  ,Lord, can we get a break?,We ain't really happy here. ,Take a look into our eyes! ,And see pain without fear.  ,LORD! Oooooh Lord! Can we get a break?
,
,
"
