NO DATE Kool G Rap:Death Threat,Kool G Rap,",Some think that I'm a flake, but I'm no fake nigga cause I,Drink a bitch, make him a witch and burn his ass at the stake,With the .44 mag it's so simple,Put it to his temple, fuck it, I give a nigga permanent dimples,Easing up on the fast slow, but I let your ass know,The block's too hot like Tabasco,Brand New Heavies on the tracks, G Rap on the wax,Cold bumping, got motherfuckers doing jumping jacks,You motherfuckers lost it,I bake your ass like a cake and all y'all flakes get frosted,Cause when G Rap is on the mix,Niggas start shitting bricks and turning into chick with small dicks,So a bitch, lyrics with a live band, Yo fuck funky, the shit hit the fan,Shame if you're stepping to my set,You niggas get wet, nah fuck it, it's just a motherfucking death threat,Yeah, I got you bitches on lockdown, you niggas get knocked down,You're running cause I'm gunning your block down, punk,So save the bitch riff cause my four-fifth lifts,I'm tossing stiff off of fucking cliffs,Get close, I got you on scope, you walking on thin rope,So I'm a shoot 'em up like dope,Cause to make my notes I'm a cut throats,Bodies are thrown off boats and do a dead man's float,Straight down a river,Huh, with a bullet inside his motherfucking liver,Another hooker got thrown out,Stepped right into the crossfire and got her brains blown out,So you niggas better buck,Cause when my coat's full of buckshots, I don't give a fuck,You think you're down with the murder guys,Bullshit, say hello to that dirt you're gonna fertilize,You wonder why the area's stark,Homicides just fell ten bones since our car drove,When they opened the other trunks that were closed,Full of five unidentified John Does,All found dead on arrival,Cause I pulled up slowly and made 'em holy like Bibles,They find a letter and cassette,Red and said it's just a motherfucking death threat,Send the bodies to the morgue for a freezing,I got the motherfucking finger on the trigger cause it's nigga season,A punk tried to drop me,I left the body sloppy so they can't perform an autopsy,Dig a hole for the bitch,And put all his pieces and bits inside a ditch,Yo, you don't think you're going under,I got a bullet with your name, your address, and your phone number,So if you want to play games,I'm blowing you the fuck out the frame,You tried to front and got murdered last night,So now you float to the motherfucking light,So I'm a step to your grave and make a toast,And start shooting at your motherfucking ghost,So may the Lord be with ya,Cause I ain't no saint and I don't paint pretty pictures,It ain't nothing but bloodshed,Stains of brains on the rug and less blood in your head,You want to make me upset?,Huh, then I'm a promise you a motherfucking death threa
,
,
"
NO DATE Kool G Rap:Cakes,Kool G Rap,",Yeah,Shake your funky ass, bitch,Yaknowmean...,Yo,,Yo we divide cakes to rise the stakes,Me and my apes die for papes,Bust heat and hide from jake,Up in the skyscrape, on top of the world,Back yourself against the wall, gun brawl,Kid, I end it for all ya'll ,Son'll stop the dough from flowin,Spotless rock glowin, shots are blowin,Pop the c-lock, rollin waistline and glock is showin,We keep it thugged out, who not knowin get your knot blown in,,Yo yo,Bob Digital and Kool G Rap, we set the booby trap,African wiz wit the gat inside her dooby wrap,Derelict rhyme crabs, you rappin for a Scooby Snack,Foul-tongued bitch, you bound to lick my doody crack,Verbal pellets spray, tec sound makes my amex,Every slap on my snare drum son could break necks,You get yanked up and spanked up, your face shanked up,Who the FUCK raise your rank up?,I blow your tank up, pop the lock on a cop handcuff,Puff a dutch of dust, bust the jump' up and snuff out the judge,Fuck a cell block, black top capsule, the mailbox,It's heavy-bone birds stash glock in the nailshop,One the strip, took a sip, twist the L top,The God jewels son sound like a third rail shock,The gold crossbone, doorag, universal flag,Blast at the turbo charge and purple herbal drag,Known for the W, carry a double-two in the shoe,Iron snub rubber noose in the bubble goose,Bullets soaked in oil, hot heat will flame broil,Wu-Tang slang I bang makes your brain coil,Shaolin gods we known to stack cakes,Desert Queen projects son, they bake cakes,Uptown Pilan dogs, you make cakes,Cold Medina sons, they known to take cakes,,Yo, we have the Wu-Tang, we let two's bang,That's how we do thangs, that's how we move thangs,Shoes paid wit two in the brain,Keep the ice blue in the Range,Me and The RZ' quick wit two of them dames,Got my dick blew in the Range,My nigga keep it true to the game,It ain't no tellin what I do to you lames,If my mood change, choose to aim,Do you and your dudes the same,Go against grain and lose a fame,Who claim life in the thug lane but life is real,Lead come out of pipes of steel,Rob, kill, or heist for mills,Spill as I let out and slice your grill,Nigga don't think twice to peel,Just open shop and dice to grill,Send the six out, bust crib route,To the brickhouse, steppin on new terrain, bring the click out,The streets don't wanna see you read, let a clip out,These niggas slip out, make they blood drip out,Yo we divide the cakes to rise the stakes,Me and my apes die for papes,Bust heat and hide from jake,Up in the skyscrape, on top of the world,Back is up against the wall, gun brawl,Kid, I end it for all ya'll,The flood'll stop the dough from flowin,Spotless rock glowin, shots I'm blowin,Pop the c-lock, rollin waistline, the glock is showin,e keep it thugged out, who not knowin get your knot blown in,,We said Uptown Pilan dogs, you make cakes,Cold Medina sons, you known to take cakes,Desert Queen project wizes, they bake cakes,Shaolin gods, we known to stack cakes,Uptown Pilan dogs, you make cakes,Cold Medina sons is known to take cakes,Desert Queen project cats, they bake cakes,Shaolin gods, we known to stack cakes,Desert Queen project cats, they bake cakes,Shaolin gods is known to stack cakes,Uptown Pilan dogs, you make cakes,Cold Medina son is bound to take cakes
,
,
"
NO DATE Kool G Rap:Oz Theme 2000,"Kool G Rap,Lord Jamar,And Talib Kweli",",For all my people who got someone locked down right now,Fuck it, this for everyone locked down right now, fuck it,Help me out, Lord Jamar, Talib Kweli, Kool G Rap,,From the street blocks, to c-blocks, sleep in a box,Creep with an ox, got beef in the shop, got beef with the cops,Sharp blade keep in the crotch, prison guards deep on the watch,Fifth stare people'll drop, if it ease not then we peeping it pops,Even though they not speaking a lot, ,the plot ease drop, greasing a cop,Come to shove meat in your chops, flee the spot, sheets in a knot,Get tied from your feet to the top, you caught in the hall, ,make blood skeet with a mop,If you doing shift in the kitchen blood'll leak in the pot,,Just a long game of sheep and the fox,Phone time, beef for your slot, the shit'll make you weep in your coot,Mayors get messy y'all, nigga get shanked up in the chest he fall,Pressed against the wall, got the best of y'all, ,stitch from neck to balls,Skin cut flesh and all, stretched out unless you balled, ,nothing sexy at all,The life destiny wall, hope the Lord bless when he call, ,Stand like a man or be a Debbie in core, heavier ,they come heavier from nigga to whore,Be a predator, dead in the morgue, a spread in the log,,In the prison, industrial complex,You got taxes, politics, jobs death,Gross stun it, cold blooded, dark and heartless,From the pyramids down to the projects,,What do it take, vandal try to escape,I got a homemade shank, wrap the handle with tape,Better move quick fast, I got a trick for your ass,Niggas in my clique stick dick to your ass,So we don't give a fuck trying to make time past,Here eat it up feed a nigga fine glass,Got jail house wine in the stash, ,Every time the café serve swine yo I tell I pass,Do like Beecher did to Shillinger and shit on your ass,You the feature when I'm killing ya, hit on your ass,Supreme Allah said we got time to kill,So when it's time to kill, we got time to kill,In the yard with the guards when its time to build,And time is hard got to use my wills,See shit has changed every since they killed Adebisi,You never know niggas might try to grease me,,,The image that we pro-ject is still God,Time to reflect but the reflection is hard,Like sticking mirrors out between the bars, seeing the guards,Seem like everybody innocent regardless of the charge,You face death, rape threats, and place bets, ,on who getting laced next,Forever faceless never waste breathe ,Blowing out the candles that the wind already snuffed out,They locked up your body your mind could bust out,Police don't sweep to get the dust out,They want your name in the system, ,My need to mention the death penalty as legal lynching,People listen, they got teenagers up in the line up,To fill the new facility they built they need the crime up,Please, the war on drugs is really war on the youth,War on the people, war on the truth,The violent crimes rise, ,the silent dies as sirens cry through the night,People fight for what's left and not what's right, ,,Word is bond,{*Goes into a Augustus Hill on Oz skit*}
,
,
"
NO DATE Kool G Rap:Thug Chronicles (Unreleased Version),Kool G Rap,",Queens shit, we bring the thug shit for real nigga,You know how we do,  y'all know how a nigga bring it,Straight direct at you kid,,Like a Don from out of Sicily,Under the arm is where the pistol be,Top of your forehead the kiss will be,Plant it ever so soft and gentle but die viciously,Hours of torture before the torture apply misery,Days before I feel pity to give a guy liberty,Seat of his pants shitty and eyes all glittery,I'll die a rich man before the F.B.I. figure me,40 storeys up inside a high-rise in Italy,No hittin' forces only natural courses could 'liver me,Gray hairs from the great years the fears never shiver me,Reminiscing how we car bombed ignitions,And Politicians, Judges strong-armed to listen,Men turning up dead or hurt, harmed and missing ,Bulletproof cars are driven Teflon edition,Bodies cut up in large chunks thrown in car trunks,Music inside the bar stunk . . .,Gettin surrounded by bitches blowin' some cigars drunk,One of my stone face goons will make your heart pump,Electrocution with cables that make your car jump,The yard punks, the sin with the life sentence for sellin hard junk,The family, the whole commission,Has been around since the days before prohibition,Mathematics was good then, no slow addition,Some overdose down the coke slope and dope addiction,Lookin' back on them days I ran a whole division,Some of the jake in the State was tryna throw the mission,They caught a ticket ride to hell with no admission,Beyond these tracks . . .,Our life and network of sippin' bourbon and Cognac,First version observing the stocks and bonds we stack,Thug chronicles these are the days of Don G Rap,,Wit' murder on his mind take it in blood,We takin' that aim at niggaz throwin' shit in the game,,Yo, how it feel when we coming at you,These gats blowing at you,Personally don't give a fuck where you at,And an unfamiliar face you know we like who that,On point nigga it ain't goin down like that,,We do our thing under handily still,Tuck a mil for the family will,Mansion and hot wheels in Amityville,Treat a snitch nigga like Sam when he squeel,Break the code of silence just hand me the steel,For every wrong done a man will be killed,There's plans to re-build . . .,Curtains and drapes got the jakes tryna can me for real,Until then, be in the backyard with clam on the grill,Or catch me laid up in the canopy ill,With two mami's handing me thrills,Vivica Fox body vanity grills,Rubberbanding these bills,Tryna duck the fame of the glamor,Tryna stay from out the range of the scanners,Not tryna get my frame in a camera,Avoid tabloids and front pages,Bums get knocked off and bumped for favors,Collect Trump papers with pumps and gauges,Royale suites when I bunk in Vegas,Got homicide searching the city dumped for neighbors,Pinky ring with a chunk of glacier,Copped a spot with a bunch of acres,Some them got their bodies slumped from capers,Barcaleno hat, tux and gators,Got a crib full of house maids, butlers and waiters,My clique from the minor league, jump the majors,We gon' rock it 'til we jackpot fuck them haters,If we have to run up in City Hall abduct the Mayor,Any man against the master plan get bucked wit craters, - 3X,,Word, Y'all know what it's about,Strictly about the big things, know what I'm sayin',Big money, big cribs, know what I'm sayin',Bitches with big asses, word up,Big chains and shit, know what I'm sayin',Everything big kid think big, know what I mean,Big Guns and all that, y'all niggaz is big time dick suckers tho',Y'all don't know
,
,
"
NO DATE Kool G Rap:Play It Kool,Kool G Rap,"""Cool.."" -> Rakim ,,I play it Kool, gettin to tour just like a jazz player,Your record player ain't nothin without the funky rhyme sayer,Kool G. Rap, cause to the little I'm an idol,Attackin the vital parts to maintain my title,The suckers panic, but to the ladies I'm romantic,And gigantic, just like the Atlantic ocean,As I flow in slow motion,And I be cookin you suckers like tan lotion,The K-double-O-L, G-R-A-P, and P-O-L-O,Would like to say hello to you mellow fellow,What are you yellow? You're hidin like a coward,And I don't allow it, you get devoured,Cause you can't cope, cause I'm dope and you don't have,A prescription, so just walk like an Egyptian,My instrumentals ain't up for rental,But come and try em and if you wanna buy em then I supply em,I got the source of an orchestra,But if you don't pay the cost to the boss then I'm forcin ya,You said you're ready like Freddie to battle me,But the real Freddie's Dead and I ain't Curtis Mayfield,All wise, with four I's/eyes like Mississippi,You try to trip me, but I just play it Kool,Just like a hippie, to be like G, this is the number one rule,Play it Kool,""Cool.."" -> Rakim ,,I just glide, these are the tales from the brainside,With lyrics and the beats I provide they collide,To form a homicide, you get dragged in a big bag,Shell ? ricochet, so watch em zig-zag,Off angle, but I'm in shape like a triangle,I need a sucker to strangle, with my new single,All rhymes are terrifying, you're dying,You might as well be in a cage with a mountain lion,When I hear the bell ring, I'm swingin head level,Burnin your block, my rhymes hotter than Red Devil,So peel off, like a potato ,Cause I play it Kool like the music inside a elevator,Doc the Butcher is a true blue musician,I'm gettin busy while suckers are goin fishin,Or out to lunch, as they munch and they crunch,On a bunch of stellar rhymes, so I just give em a Hawaiian Punch,And let em stagger, givin em lipstick and they Mick Jagger,Lyrics are sharper than a dagger,Agony, yeah I'm braggin nobody's baggin me,To the bedroom, your girlfriend is draggin me,I make the hits radios won't swing, but that's OK ,Hey, cause everything is still Kool and the Gang ,Let's party cause everybody plays the fool,But I play it Kool,""Cool.."" -> Rakim ,,I play it Kool, makin you kneel, squirm and squeel,My name ain't Rodney but I'm standin on the Dangerfield,And my shows, I bust em out just like a virgin,Cause I get stupid but I'm smarter than a brain surgeon,G. Rap is here to bury,So duck MC's, I send em to the Pet Semetary,Your whole crew turns chicken when they finish,Watchin you die, so please stand by as I fry,You kinda sour so I dip you in some flour,Read my book, it says cook for about an hour,Ring the dinner bell, brain cells are well done,It's time you got a story, don't tell none,So this here is the only I'm sane,So play it Kool  or you'll be headin for the deadpool,I play it Kool-er than a band in the North Pole,But I never freeze up or catch a cold,Never stiff, I shoot the gift kinda swift,Try to riff, and you'll needin a facelift,Cause I'm a teacher and a trainer, a preacher and a explainer,World's greatest entertainer,I approach like a coach to the umpire,And like live wire I'ma start a dumb fire,This is Kool G. Rap the Principal of the new school,Cause I play it Kool,* Polo cuts and scratches to the end *
,
,
"
NO DATE Kool G Rap:First Nigga (Primo Remix),Kool G Rap,",""Kool G. Rap is my name"",,Yo, who that first nigga that read about it ,Who that first nigga that spit about it ,What's that nigga name ""Forget about it!"",First nigga that read about it ,Who that first nigga that spit about it,What's that nigga name ""Forget about it!"",,Yo, who that real Don of that thug shit,Poppin' slugs shit, cock 'n block shit,Spit about street, murder and drug shit,Brought you the facts on twenty tracks on how they mug shit,Taught you to survive, in these streets you gotta lug shit,First nigga that spit about rocks and shit,Diamonds and jelly-jars, nigga yeah, proper shit,Even told you I was pumpin' on the block and shit,Who the first nigga that told you he would pop ya shit,Who the first nigga to spit about jail, cells and fiscale,Bail on sit-L, ripping a bitch tead-L,Who took you from the ""Road To Riches"", the ""Ill Street Blues"",In a jacuzz' with the uz', crack avenues,Black you lose to a wolf, pack packing tools,Who stepped up in this rap game, a sane actin' fool,Who the first ""Wanted: Dead Or Alive"",That told you live and let it demise,Ten steps ahead of you guys,Started ""4, 5, 6"" on it,G. Rap and Rakim was the first niggas that bought a eightie-man click 'n it,Look at my life baby, I'm a eighties man rippin' it,Legendary cat play the path for y'all to get with it,,,Who that nigga that took the rapflows to the next level,Wish only I was black, fish rappers and ex-rebels,My second LP bitch, showed you the sex devil,Photo shoots and silk suits, special effect rebels,And it's a shame you sorta rocks around a Lex' bezzle,Smacking niggas with stacks and ones,On the run, clappin the guns,Stacking crack funds and packing the slums,Told you how them kids blow off they radget for crums,Was among y'all niggas raps, was too attached to the huns,I was the first nigga to spit graphic,Strictly about dealers and slick addicts,How to click maddicts and split a cabbage,Y'all niggas' shit was average,Except a few cats in the game that came to reign the hash you established,,,""Kool G. Rap is my name""
,
,
"
NO DATE Kool G Rap:The Streets,Kool G Rap,",The streets, yo where it happen at,The streets, is where they clapping at,The streets, is where the action at,The streets, is where they packing at,The streets, is where its cracking at,The streets, bringing it back to that,The streets, banging ya gat to that,The streets, start hanging back to that,,My niggas ride where they bust at,Die where they bust at my murderous guys,Slinging them pies where they lust at,Or corners where they hang most,Name boast and bank toast,Drive with the thing close,Slide with a James post,Empty clips is on now,Coke fiends are strung out,Broke niggas bum out,Jakes holdin they gun out,When back streets are taped up,Bodies laying faced up,Cats running with ace up,The spots get 'em paced up,The street lamps are broke now,Mad bitches to bone now,When niggas peep your home out,And flip when they zoned out,Thugs bringing the street war,Bust shots let the heat roar,Taking trips to be more,With bricks up in to fiend off,The towns where they spray shit,Bust rounds and lay shit,Selling pounds' a great shit,And clowns get their face-lift,Spots where gats pop off,Shots clear the block off,Slugs knock your block off,And have you licking hot sauce,,On the corners where the dice roll,And clubs where the ice glow,The lames get their life stole,And bleed from a knife fold,Niggas laying they law down,Some draw with a four-pound,PJ's are tore down,Thoughts of laying hos down ,Blocks where they lick shots,And rock what the fifth cocked,Kids cop the six drop,From brick box and zip locks,Towns where niggas kill at,Posting where it's real at,Keeping gats concealed at,See a foe you peel at,Strip where you get ripped off,Hot lead get licked off,Fronting and your clicks off,All your jewels get stripped off,Sidewalks where they creep up,Get locked up with a street bop,Kids running with heats up,Lifting both of your feets up,Niggas they let their guns loose,They wild guns loose,Gat up under the chin,Blow a niggas shit through the sunroof,Decide where they pack nines,The chrome gat shines,You try to clap mine,You outta line niggas get flat lined,,Now Chickens a get your crew laced,For rocks and a blue face,Niggas giving they screwface,For the loot and the suitcase,Spots that blood spills on,And dealers clock a 'mil on,Murderers get their kill on,Mad cash is ill-on,Beef turning to combat,For life so they pump gats,Little kids they harm that,Put bombs where your moms at,Niggas tied up and kidnapped,And smacked up with big gats,Get found with they wig cracked,Leave 'em right where they live at ,Running for red beams,Blood flowing in red streets,Mad fellas with bread schemes ,Running from the FED team,Little shorties are knocked up,Straight giving their crouch up,Juveniles decide to pee now with they ox up,Crack blocks and weed spots,The fiends up in the Detox ,Some rollin in three drops,Others aint gotta beep bop,Bitches that get their hoe on,Smoke dope on and so on,Spotted nigga with glow on,With dick they could blow on, 2x,,,Don G Rap, Gianana,?  Igloo Entertainment,No doubt we coming through,ya know how we do,Keep it moving,ya better realize,Whoever don't,Guns do it for us,Niggas aint playing no games,Y'all know the routines,Y'all know the drill
,
,
"
2002,Kool G Rap,",What, nigga, Black {*censored*} Fam,Y'all don't fuckin want it, you heard,Listen up,Bitch either ride or collide with me, this side right,You don't wanna wait 'til the end of the night to step outside wit me,You know the history of the guys with me?  Extortion, kidnappin,Murder in the first, niggaz live to die,Hungry and they bloodthirst, my Dunn guns the worst,We can get it to poppin off like July the 4th,On any day of the month bitch we get it to jump,Black {*censored*} Fam, my niggaz ain't scared to dump,So what the fuck you want beef for, you squeamish,Start to hyperventilate you see a nigga start to hemorrhage,{*censored*} Fam don't start shit, we regret the finish,Bitch nigga, we really live this, we mean business,We even got teachers in the school where your kids is,Nannies inside where your cribs is,Beautician doin hair where you Wiz is,Black {*censored*}, secret society bitch,You get found with the fishes,,Aiyyo, who wanna know about the life story, it's like Corle's,Blood all over the nice Mauries,Stutterin bitch, who you know spit more gutter than this?,Smack a nigga with the butt of the fifth,We guerillas and thugs in the midst,Was cold before I flooded the wrist,Big heist shit, blood on the bricks,Bag it up, bubble the strip,One days work, a couple of whips,.. then more than double the chips,Supreme Queens nigga with a BK click,You just a weak fake bitches whatever nigga the heat spray quick,Y'all niggaz can't do shit but peep the gray wrist,CGP in the face of your chick, comin f'real with it,Bring the cattle to the battlefield, we'll still spit it,No matter who the fuck you are, you can still get it,Count that off as a loss, go 'head and peal wit it,Far as your corny-ass click, they gotta deal wit it,,We the Black {*censored*} gangsta click ,Put your hands to the streets for this gangsta shit ,You a nigga or a bitch keep it gangsta kid ,Black {*censored*} Fam, you know how these fuckin gangstas get,,Aiyyo sex money and drugs, that's my life,Shrimp shooter with the red light, that's my wife,Bitch prism on the late night, that's my type of hustle,Shit make dough, that's my bubble,No one's project beef, that's my struggle,I never been shot - that blood there, that's your puddle,Who the fuck wanna fire at me?,For every shot a nigga shoot, my mac-11 firin three,You got wars, nores, lazy {?},Et cetera, Black {*censored*} Fam, we bang harder,Bandana Montana streetsweep carver,Shots connect, your bones I disconnect,Bring your skull back home like I bone collect,One year under dirt you'll be bones in bed,Tasmania, Brooklyn - that's my set,Stop screamin out Guerilla 'fore I break yo' neck,,I dare anybody play like Laze Mike,Not blaze like half of your block in broad daylight,Take flight to Queens with your fake ice,Pull you out the back of the trunk,and put your face in the brake light,You six deep, so what?  Me I'm by myself,But you know what?  I cut one of y'all real bad,Pops is my pops but my moms my real dad,You runnin round with the same heart that Steel had,I'm the best, I don't give a fuck who said so,Have you dopefiend like Lazy, let go,Don't get your head gassed off my nice chain, word to my mother,I done lost half your life in a dice game,I don't brag shit, I'm a hustler; I don't wanna be seen,I want the green the fame shit is for suckers,I'm a Guerilla, so it ain't nuttin to touch ya,Bitch nigga recognize that or learn to suffer, - repeat 3X
,
,
"
NO DATE Kool G Rap:My Life (Remix),Kool G Rap,",N-O-R-E, Nore, Niggaz On the Run Eatin *coughing*,So let's big up Kool G. Rap because that's the motherfucking man,You un' the dig, Kool G. Rap, man, you know what I'm sayin?,Godfather of gangsta, ghetto, project, complex, co-op, hip-hop,G. Rap influenced me in, not in any way but in every way almost, you know the dig?,N.O.R.E. - Nore, G. RAP!,If y'all don't know about G. Rap, y'all don't know about rap!,,G. Rap - see you again, baby ,,All of my life, I live,I'll be thuggin with youuuuuuu,Rock it out baby, knock it out baby,Won't stop 'til I die for this,I'll be keepin it trueeeeeee,Yeah yeah yeah yeah,,Yo, yo,It's mafia ties, rules, let 'em fuck each other's wives,Niggaz is real stupid and they think like chicks,They was dealing with ounce money 'til I bought the bricks,I done walked through the valley of the shadow of death ,And smoked cigarettes, constant, step for step ,Island-style, four-bill and mop your neck,I got the bandana, see, it's already a &quot;B&quot;,I'm like Santana from American ME,They call me D.A.N. - Dead All Nore ,And I got guns, y'all ain't got nothin for me,Fuck the popo, cuz niggaz don't leave no prints ,Niggaz gave me a brick and ain't seen me since ,Now I'm out the game like Kane and them,And now niggaz want me, I ain't blamin them,I got guns that stretch south, macs and tecs out,I big'd up, copped the five, fuck a six, what!? ,,,I speak on phones in Kohl's, my shit stay tapped,Like Gregory Hines, wild since seventy-nine,I'm federal time, still an enemy of the state,They had to beat the murder case back in eighty-eight ,Judge Hoffman gave fifteen to Q-God's,Started riots in the jungle like the Rodney King charges,In L.A., what up essa?  I spray tre' pounds ,To nueva, I'm loco nigga ,I'm the one that made attempts on the popo bigger,I put crazy work in,  fuck who criticize my verses,I only rap, cuz the streets is sour,The money is good and I couldn't find sheets for powder,I could get on some bullshit,  y'all niggaz understand me?,I keep heat like Miami, fry for family ,Rubbing tat for infanity, I curse the game,Menace to Society like O-Dog and Kane ,,,All of my life, uh-huh uh-huh,Nigga into warm mansion rooms, wall to wall with handsome goons,Half-naked bitches dancin to tunes ,Marble floor to the terrace nigga, glance at the moon,Play the jacuzzi 'til your hands get blue,Rugs tight, bright as the white sands of Cancun ,Skylights up in the ceilings for the plants to bloom,Nigga we crop grams in dunes, Cuban cigar brand of grandest fumes,Prison niggaz that ran balloons,Shut down shop from Jan. to June, and still cop land in the boons,Fuck women in tanning rooms,Every last fingernail on their hand groomed, self built do,Down to the mink pelts, gator belts and silk suit,If I can't stack a nigga cap get peeled loose,Word to them cats that died on the street, it's spilled juice,So where that Don be? In the calm breeze in the palm trees,Bomb G under the armpiece ,Livin in harmony, coke farm pharmacy,Bulletproof armory, school of the hard knock honory,Washin the jackpot like laundry,Fuckin Don of the year nominee, honestly ,,Life, we spend, someone - know someone,We spend,  we spend...,And what about - where you come from ,What about - You will get up on-on... My life, my life, my life,,,What.. uh...uh-huh,Yeah, thug shit, Queens clicks
,
,
"
NO DATE Kool G Rap:My Life,Kool G Rap,",Yeahhh, yeh yeh - G. Rap that's gangsta ,,All of my life, I live,I'll be thuggin with youuuuuuu,Thug it out baby, thug it out baby,Don't stop 'til I die for this,I'll be keepin it trueeeeeee,Yeah yeah yeah yeah,,Yo, yo,Giancanna the name break it down simple and plain,Went from a small chimp in the game to gorilla king pimpin the game,Know how to tempt dames to tense in the Range,Hit the block to pitch rocks, the strength of the name,Limp with a cane, lactosin limp for the king,We even pack toast expend from the flames, my aim,Strictly about makin that bread pop  blocks red hot,from feds and cops, lookin for rock bottles with red tops,Tradin lead shots with dreadlocks,Infrared dots 'til their head drop, we fled spots,Word on the curb is when it came to birds we spread flocks ,No tellin when the bloodshed stop, glide 'til the sled stop,Copped the latest every hot flavor in them crocs and gators,Somebody clique riff, pop the bravest,Out of town trips in whips I got from Avis, drop knots in Vegas,My plot for paper was crockpots of wafers,,,Nigga into warm mansion rooms, wall to wall with handsome goons,Half-naked bitches dancin to tunes ,Marble floor to the terrace nigga, glance at the moon,Play the jacuzzi 'til your hands get blue,Rugs tight, bright as the white sands of Cancun ,Skylights up in the ceilings for the plants to bloom,Nigga we crop grams in dunes, Cuban cigar brand of grandest fumes,Prison niggaz that ran balloons,Shut down shop from Jan. to June, and still cop land in the boons,Fuck women in tanning rooms,Every last fingernail on their hand groomed, self built do,Down to the mink pelts, gator belts and silk suit,If I can't stack a nigga cap get peeled loose,Word to them cats that died on the street, it's spilled juice,So where that Don be?  In the calm breeze in the palm trees,Bomb G under the armpiece,Livin in harmony, coke farm pharmacy,Bulletproof armory, school of the hard knock honory,Washin the jackpot like laundry,Fuckin Don of the year nominee, honestly, - repeat 2X,,,G. Rap nigga..,What, thug shit, Queens clicks,What.. uh-huh,Yeah, thug shit, Queens clicks,Thug shit, Queens clicks,Uhh.. yeah
,
,
"
