NO DATE Lil' Kim:Winners And Losers,Lil' Kim,"Let's be real about a pimp,how long did you think she was just going to take it,han,you thought she was just going to take it,all you new hot young fresh bitchs,doin old shit,oh she been doin it,member member ,I remember,I'm sho remember too ,member when she first came out,member she sexy and you ,aw look at this bitch ,who do this bitch think she is ,showin her shit,member why she cant she just rap member that what you said,and now look what the f**k is ya talkin about,why what;what you mad at her fa,han what you say,her titts got big,bitch you got yo regular titts,why they didt work fo ya,han what; what you ,oh no thats excuses,just emit nigga,that there are winners and loser,shes a winner and yous a mothaf**kin loser and thats what you do ,be good at it ,be the best loser you can be,and if that dont work out fa ya ,do me this one favor,shut the f**k up
,
,
"
1996,Lil' Kim,"*Sound of a car driving on a busy street*,Taxi Driver: Alright, sir, which side of the,street would you like to be on.,Patron: Yeah, that one. That side right there.,Taxi Driver: Yeah, okay.,The taxi driver is heard pulling over to let the man out.,Taxi Driver: Okay, that will be four-ninety please.,Patron: Yeah, yeah, here's five dollars.  Keep the change.,Taxi Driver: Oh, fuck you!,The car door slams shut and the man is heard walking.,Box Office Worker: May, I help you?,Patron: Yeah, ah, can, can, I have one for Little Kim.  Hardcore.,Box Office Worker: That will be ten dollars.,He hands her money and then walks through a door.,Box Office Worker: Fuckin' weirdo.,*Lil' Kim's Big Momma Thang is playing in the background*,Concession Stand Worker: Yeah, may I help you?,Patron: Yeah, ah, can I get a small order of popcorn, and,ah, ah, a large order of butter and just like a lot,of napkins please.,Concession Stand Worker: Butter?  Anyway, am, will that be all?,Patron: Yeah, ah...,Concession Stand Worker: That'll be six-ninety-five.,The patron hands another bill over.,Concession Stand Worker: Ah, man, why this shit so slimey?,Patron: Huh!,The patron is then heard walking from the concession stand,into the screen room.  Lil' Kim and a man are heard moaning,and having sex. Porno music is heard in the background.,The patron unzips his zipper. Five seconds later and a,splashing noise is heard as the patron begins masturbating.,Patron: Yeah. Yeah, baby. Yeah. Oh, yeah. Come on, baby.,Yeah. Yeah. Mmm. Yeah. Yeah. Kim. Come on, Kim.,Come on. Yeah. Yeah.,The moans from the screen and the splash sound from the,masturbating patron continue.,Patron: Yeah. Come on. Kim. Kim. Yeah. Yeah.,Work it, bitch!
,
,
"
NO DATE Lil' Kim:2 Hatin Bitches Skit,Lil' Kim,"Here we go lil kim greatest of all time,Bitch please she ain't even that good,she been around for a min and ,She been doin it what like 10 yearsbut,10 years to long u right fuck that	bitch,Fuck that bitch ohhh she aint even that good,I used to school with her sha aint even rap,Dont take nothing but alook before i takes a whoopin,To that bitches ass she even look at me funny i ,Smacks fire out that bitch word she be goin to lolo,For hair styles and im sain if u wanna jack that i,Should jack that bitch she be rockin all that loius ,Vutton and d&g she be poppin bottles in the club yo,U know what we gone jack that bitch for real girl,U got a red dot on your forhead girl stop playin thats,Lipstick na im serous u really have a big read movin dot ,On your forehead  bitch u ata talk u got a big red movin,Dot on your lip   whateva  wateva   
,
,
"
NO DATE Lil' Kim:Kitty Box,Lil' Kim,",Yeah... honeygirl... Queen Bee,Lil' Kim... 7 you ready? Good,Cause 7's my lucky number,,Wanna lick get a taste of the dip, in my kitty box,Wanna play for a day dad-dy? In my kitty box,Wanna lick get a taste of the dip, in my kitty box,Wanna play for a day dad-dy? In my kitty box,,,I'm goin to Miami, stylin, whylin,Shinin, in diamonds, they're sizin me up,My bikini, Gabbana, heels, Prada,You know, I like, it sexy,Boys holla when they pass me, call me and harass me,They love me cause I'm nasty, but classy,If you're ballin put your bid in, you broke, forget it,You're just another doll chasin the Kim,I'm in heat like a cat, I'm in heat like a cat,If you want it then you better come and get it,,,Picture Lil' Kim masturbatin in a drop,Picture Lil' Kim tan and topless on a yacht,Picture Lil' Kim suckin on you like some candy,Picture Lil' Kim in your shirt and no panties,Shirt and no panties... ,Picture Lil' Kim in the pool skinnydippin,Picture Lil' Kim in the 69 position,Picture Lil' Kim dancin on a stripper pole,Picture Lil' Kim in a Playboy centerfold,Playboy centerfold, Playboy centerfold,Playboy centerfold, Playboy centerfold,,,Lil' Kim's got that potion, my box'll have you open,I'll drown you when I'm wet like the ocean,You crave it, you want it, you want it jump up on it,So you can play in my box 'til the morning,I'll let you play in my box 'til the morning,You can play in my box until the morning,I'm in heat like a cat, I'm in heat like a cat,If you want it then you better come and get it,
,
,
"
NO DATE Lil' Kim:Last Day,Lil' Kim,",When it's my last day, then it's my last day,But until that day, you can't take away,How they scream my name, how I pimp this game,Critically acclaimed, until my last day,,Y'all better stand up or sit down, cause I'ma be here,Pull up a beach chair and pop you a Becks beer,I'ma live it up, 'til I'm a hundred with gray hair,Glass house in Bel-Air that's, high up in the mountain,Golden gates, and the brass water fountain,'Til my last day, I'm goin hard,And I ain't slowin up, 'til the Heliport's in my back yard,'Til my whole team sign they name on that black card,'Til I bring New York back, 'til I show you where I'm from,'Til I show you how it's done, show you why I'm number one,'Til my peeps is out the hood, 'til I buy my moms a jet,'Til I own my first island and cash a trillion dollar check,'Til I'm at the top of Forbes' richest lookin kosher,With my name and my picture, right next to Oprah,In negotiations with Bill Gates and his broker,'Til I'm with Jehovah it ain't over 'til it's over,,,Besides God, what the fuck should I fear?,The only one could stop me is that chick in the mirror,I built my career on, blood sweat and tears,And I'm still here, gettin stronger each year,Cause what don't kill me, could only help build me,I guess all that dirt just made me more filthy,If being loyal's a crime, then I'm so guilty,If you was missin a spine you'd still have to feel me,Some came and went but your girl is everlasting,'Til the day I'm gasping ,And niggaz droppin tears on my Versace casket,And I'm, reunited with Big, like nigga what happened?,Shit got drastic, I missed you with a passion,By now they should realize I'm not the average rap chick,Ain't nuttin they could do now to stop my shine,This is God's plan homey, it ain't mine,,,Until my heartbeat stops, my flesh goes numb,And the last breath leaves my lung, I'll be,The big Q.B., the problem in Prada,The bitch that these rap hoes wanna become,I been hated on many times, adored and idolized,Check your stats, I'm all that, bottom line,It's all there in black and white, read it and weep,I'm the, perfect example of keepin it street,Cause when it's all said and done and at the end of the day,My actions spoke louder than whatever they say,Yeah I'll rep the hood, stood the test of time,So a cell'll hold my body and never my mind,So, never mind any of y'all petty tactics,I'm gettin fetty, movin through them tax brackets,Bitch you gotta be kiddin me, Kim's the epitome,I'm the ghost of Big so you could never get rid of me,
,
,
"
NO DATE Lil' Kim:Get Yours,Lil' Kim,",,Hey throw your bottles in the sky if you're gettin yours,If the rims on his ride ain't as big as yours,You gettin money what'chu hatin on my niggaz for?,Hey get your mind off of mine and get to gettin yours,Throw your bottles in the sky if you're gettin yours,If that other bitch's ass ain't as big as yours,You gettin money what'chu hatin on my bitches for?,Hey get your mind off of mine and get to gettin yours,,Boss lady pull up in the back of the Maybach,Chaffeur behind the wheel, feet up, leaned back,Readin the newspaper, honeygirl put a hurtin on 'em,Haters like a bad act, I just close the curtain on 'em,Play all day on the Siruis, radio,Satellite TV, who do it like me?,In designer outfits, while sellin the tag,Yves Saint Laurent boots, Yves Saint Laurent bag,Keep the Pokeman in case a big bitch think I'm ass,Eatin through her stomach like a gastric, bypass,Bitch you better buy a pass and you better have the cash,When you in my town you got to see me to buy a pass,Number one rule, think B.I.G.,50 grand for the girl to sit in V.I.P.,The spotlight is on me, I'm the one they wanna see,They give they money to Kim like I'm H.S.B.C.,,,Yeah, well it's young Dash to all those who don't know,The boy who stay hot when his jewels is so cold,Killer screwface and he cockin that fo'-fo',Wanna ice grill? Better holla at Paul Wall,Is all that called for? Whole crew do it up,Champagne, threw it up, 'til niggaz threw it up,Cruisin up, tinted up, gotta be some star,Don't know what to call it, they say it's a truck car,You been with a chump pah; like Ashton,was the first one to ""Punk"" y'all,Have yo' ass holy and resemblin Spongebob,Like an old album, you happen to come for us,You guys get dust off,It's the young boss, show you what the imp us for,Family and friends be the only ones missin boy,Sayin that you rich and all, tell me what'chu bitchin for,Maybe cause I'm gettin mine - well is you gettin yours?,,,You don't really want it with the nigga right in front of Tip,Have you duckin on the shit, wanna let the burner spit,Get bucked bitch, give a fuck who you run and get,King of the South, Pimp Squad Clique runnin shit,Bricks in the pipeline, sold in the nighttime,Take a lifetime to find a flow that's quite like mine,40 cal's and 45 glocks, I don't like nine,Mac-9 and automatic flatten niggaz lifeline,I'm already rich, use the rappin as a pasttime,Grand Hustle bitch and I ain't settle for the last time,Other niggaz settle down cause I don't bag mine,You see me pull it I'ma blast, I don't flash mine,You niggaz livin check to check but I don't cash mine,Deposit it and let it sit cause all the cash mine,Been goin easy on you rappers I'ma mash now,Niggaz throw your bottles in the air and put the glass down,
,
,
"
NO DATE Lil' Kim:Kronik,Lil' Kim,",,Aiyyo Queen Bee, it's Big Snoop Dogg,Why don'tcha blaze up some of that,sticky icky icky icky icky icky icky ICKY!,,,,,,Tell you why I'm so damn fly,One hit of me and you'll be so damn HIGH,Plus I got that hydro flow ,Come and get yo' head right ,He's an addict of my pillow talk,Hourglass body and my runway walk,I got a sweet tooth for the chocolate guy,See him lickin on his lips with his chocolate thai,He'll have my wrists lookin like rainbow bright,Once he stick his pipe in this atomic light,Lil' Kim have you fiendin fo' mo',Get you higher than a jar of that {??},,Girl yo' shit's the chronic ,,Like a strawberry bag of weed,,One hit of the chronic - woo, OWW!,Brother, she'll put yo' ass to sleep,,,,My sugar daddy from Brooklyn just sent me a page,He tryin to come blaze some of this watermelon haze,Pretty girl keep him home for days,Bustin nuts and seein circles from this bag of sweet purple,Homies out in L.A., call me Lil' Sticky,Got G's walkin with my name on they dickies,Get'cha higher than Amsterdam, God is my witness,I put the red light district out of business,They want me off the streets, they say I'm illegal,I'm more potent than a pound of sour diesel,Lot of copycats, don't make that mistake,That homegrown shit'll give yo' ass a headache,Who's that peepin in my window,Tryin to get a toke and a sniff of this indo,This bag of Kim have you ready to spark shit,I'm the hottest product out on the market,,,I'm addicted to the chronic,,Baby girl what'cha doin to me,,Ain't nothin like the chronic,,She'll put yo' ass to sleep,,,I got the fiends lined up coppin my shit twice,Nookie get you so nice I got to raise the price,Got dudes puttin up they cars, cribs and ice,Centurions, for a hit of this Lil' Kim,Toppa toppa my Jamaican bredderns,Rude bwoy dem come holla at a legend,Throw your dutchies in the sky if you're fresh from yard,Honey girl leave ya 'round the morgue ,Sayin damn ma, I love you like de lah,De ganja, sensi-milla,Can I feel ya, just wanna touch ya,I told y'all before I'm the ultimate rush,The chronic nigga,,,
,
,
"
NO DATE Lil' Kim:We Don't Give A Fuck,Lil' Kim,",,Take that nigga chain, we don't give a fuck,Hit that nigga up, we don't give a fuck,Jack that nigga truck, we don't give a fuck,We don't give a fuck, he ain't down with us,Take that nigga chain, we don't give a fuck,Hit that nigga up, we don't give a fuck,Jack that nigga truck, we don't give a fuck,We don't give a fuck, he ain't down with us,,I Brooklyn Bounce nigga, in Dirty South down to the ATL,Rep B.I.G. to death, betta watch what come out ya breath,We thuggin', thuggin', we thuggin',Honey girl Queen B double E-E,I'm heatin' up in oven, no bitch is comin' like me,We get by, we get crunk, we spit fire, we got pumps,We get high, we get drunk, we got heat for ya'll punks,Can't find you layin', my fam is not playin',Gotta get that money, that money, that money, money,You don't want no problems man, none if you get outta lane,We comin' like the Taliban, poppin' like a collar man,Cowards want to violate, then we got to demonstrate,You faggot niggaz tellin', when we see you we be yellin',,,Bitch I been trill ever since the day I came out my mommas cock,Come on down to that Dirty South, you gon' see I got it locked,I can go on any block and on any hood and on any town,Runnin' deep with money and jewelery and holdin' myself down,Connected to every heavy nigga across the U.S,My cocaine is the whitest and my diamonds are the bluest,My city is the trillest and my niggaz are the truest,Got everything to gain and nothing to lose, so let's do this,We load 'em up, cock 'em back, let 'em go we knock 'em off,Cut off all his cake, rocks, and eggs, this nigga block 'em off,It's B-U-N for UGK, straight up out that B-A-T,Holdin' it down for K-I-M, reppin' for Pimp C, let's see 'em bitch,,,Big cars, big trucks, big nuts when it comin' up off the dust,Think it's funny 'til he comin' up out the club,Gonna getcha money when I'm comin' up out the cut,If I catch a nigga slippin', I'ma tell a nigga know that shit,Then I snatch that chain,When he leave his friends, I'ma get him out his ends,And his Benz, make him cash that train,Come out the dark and get the lights on,Turn together, get it up,Take his watch, take his bracelet, take his dust, take his truck,I can't help it to get itchy if I see the nigga ballin',Nigga yes ya'll then I gotta get a piece of that,Steady figure with the Jacob in the bezel with charm,Well come over hear I got a little heat for that,AK-47 and the Desert Eagle with a sawed-off pump,Got a what, an E-95 with leather grip,And a Mac-11 comin' out the trunk,Got what, a black ski mask and leather gloves,And duct tape I can get what I want,Got what, when the Queen and the Twist ride on them bitches,We don't give a fuck,
,
,
"
NO DATE Lil' Kim:Gimme That,Lil' Kim,",Four.. three.. two.. one,,Gimme that good dick  gimme that good dick ,Gimme that good dick  that fine-ass good dick ,{Gimme that pussy}  {gimme that pussy} ,{Gimme that pussy}  {that bomb-ass pussy},,Yo, now every lil' slut with a butt wanna jump on me,I'll teach 'em how to hump when they fucks with me,I ain't done at one nut, bitch I dump all three,Slurp it all up when you suck on me cause see,I got the cleanest, meanest, penis,Ask Keisha, she the one who seen dick,Keish' told Pam, Pam can't keep a secret,So all the hoes know my dick game quite decent,Tie 'em up, hit 'em with wax from candles,Don't stop, I get it like Luther Campbell,I'm the damn dude, that will ram you,so damn hard it'll leave your ass blue,Meat slinger, my meat stings ya,Bitch thought I stuck her with a damn meat cleaver,Want me to freak ya? Wait for me to skeet ya,Dick comes around once again like Easter,Bitches flash me they thong and panties,Then they ask me to do the nasty,Wanna thrash me then don't walk past me,And when you pass me just holla at me and say,,,Now see don't no bitch do it better than Kim,And no bitch pussy stay fresher than Kim,Everybody's man wanna get with Kim,If you don't believe me bitch just ask him,Cause see, I got the tightest, rightest vagina,Even got my name on the menu at the diner,Guys extend G, with my goodies,I'm the only bitch in the world that got two pussies,Sex Queen Bee and no bitch could come after,Dudes stay hard, don't need Viagra,My beehive gags ya, when it grabs ya,Pussy get wetter than the whole Niagara,Boys get hooked first time they taste this,I lick dudes in all the right places,G's got cases, tempted to take this,Kitty cat so mean turn dudes into rapists,Niggaz flash me they jewels and cash and,then they ask me to do that nasty,Wanna thrash me then don't walk past me,And when you pass me just holla at me and say,,),Some like me to do 'em rough and show them,,Some like objects down they throat and,,Yes I wrecked 'em down to the rectum,Dick like tetanus shots, I inject 'em,, That's tight,, Damn,Had a bitch that wanted me to cuff her to the bedpole,Seen my dick, and thought it was the bedpole,,,Some broads they can barely walk when I'm done with 'em,Call the ambulance man to come get 'em,,,Wanna thrash me then don't walk past me,And when you pass me just holla at me and say,
,
,
"
NO DATE Lil' Kim:You Get Dealt Wit,Lil' Kim,"Mase : Just show me the Bounce J,,once I get the bounce, I'mma be good.,Niggas gon' hate me I get that.,Then I'll have everything,J.D. ,F**kin' with my dough is like f**kin' with my pride,& f**kin' with my hoes is like f**kin' with my high,That's two things in life that you just don't mess with,Act like a trick & like a trick you get dealt with,Mase,Now I know you love my lazy flow,but here come my crazy flow,Do this shit 'cause it make me dough,do it again to make me more,Rich is only way to go,givin' you what you pay me for,What you lookin' shady for?,Bitch you ain't got my baby hoe.,Top down 64 radio AC blow,They peep though think that automatically,'cause this nigga roll with Puff Daddyo,he gotta be ridin' in a B-E-N-T-L-E but why?,Cause you see a young nigga like me out doing it,wanna come & put ya two in it,wanna ruin it see me pursuin' it,& wanna spend what's mine,First you wouldn't give me the time,now you gotta get in line,Think that Mase gon' trick a dime,you out ya f**kin' mind,See I'm bout it bout it now is you with it with it?,Bitch I don't care how you get ya dough you get it get it,Now you can't claim to be a pimp & then go be committed,Just like you hit it hit it man another nigga don' hit it,uhhh,J.D. ,F**kin' with my dough is like f**kin' with my pride,& f**kin' with my hoes is like f**kin' with my high,That's two things in life that you just don't mess with,Act like a trick & like a trick you get dealt with,,J.D.,Hoes know to f**k with me & they'll be set fo' life,lookin' nice sex right livin' in my paradise,I been makin' millions since I was young,& still clockin' still rockin' hoe hoppin',showin' all y'all niggas how it's done,You know So So sell copies like Kinko's,so ya better bend before ya go saying too much shit,'cause all I'm about is makin' dough,& makin' mo' keepin' my glow sho nuff,unlike yo' stuff I make the shit that,keep 'em runnin' to the sto',Swappin' drop tops on the regular,spittin' game on the cellular,If I meet a hoe and the hoe ain't tryin' to f**k,then the hell with her I'm tellin' ya,Shit we do ya can't erase,took a little change of pace me & Mase,for the niggas that hate,we still up in yo' f**kin' face.,Chorus,Lil' Kim,Uhh Now why the f**k you keep blamin' me?,You the one that try to shoot game to me,Thug ass bitch you claim to be,y'all hoes never meant a thang to me,Frontin' ass niggas want to roll with us,go with us spend a little dough with us,got a crush hush on this slim chick,with the wet lips & the set hips,Too much smoke in the Lex' whip,can't pick who I wanna sex with,got more weed than a li'l bit,Hydro ain't no bullshit,Then I come through in the 6 drop,me & Li'l Cease doin' the Wop,Infrared clips filled to the top,y'all niggas need to stop,C-Can I say it again say it again?,Better come through with a little more win,B.I.G. is a slogan R.I.P. 'til I see ya again,Ain't no tellin' in this life of sin,how much dough you got to spend,Take so long you got to bend,Grab yo' man snatch yo' bitch,fill them flames with them clips,When the cops come stash the Indo,better throw the weed up out the window,Wannabe clowns got jokes ain't shit funny,play y'all niggas like dummies click-click,Show me the Money!!,Chorus
,
,
"
