NO DATE N.W.A:Straight Out Of Compton,N.W.A,"Verse One: Ice Cube,Straight Outta Compton, Crazy Motherfucker Named Ice Cube,From The Gang Called Niggaz With Attitudes,When I'm Called Off, I Got A Sawed Off,Squeeze The Trigger, And Bodies Are Hauled Off,You Too, Boy, If Ya Fuck With Me,The Police Are Gonna Hafta Come And Get Me,Off Yo Ass, That's How I'm Goin Out,For The Punk Motherfuckers That's Showin Out,Niggaz Start To Mumble, They Wanna Rumble,Mix Em And Cook Em In A Pot Like Gumbo,Goin Off On A Motherfucker Like That,With A Gat That's Pointed At Yo Ass,So Give It Up Smooth,Ain't No Tellin When I'm Down For A Jack Move,Here's A Murder Rap To Keep Yo Dancin,With A Crime Record Like Charles Manson,AK-47 Is The Tool,Don't Make Me Act The Motherfuckin Fool,Me You Can Go Toe To Toe, No Maybe,I'm Knockin Niggaz Out Tha Box, Daily,Yo Weekly, Monthly And Yearly,Until Them Dumb Motherfuckers See Clearly,That I'm Down With The Capital C-P-T,Boy You Can't Fuck With Me,So When I'm In Your Neighborhood, You Better Duck,Coz Ice Cube Is Crazy As Fuck,As I Leave, Believe I'm Stompin,But When I Come Back, Boy, I'm Comin Straight Outta Compton,Chorus:,, Yo Ren, Whassup?, Tell Em Where You From!,Verse Two: MC Ren,Straight Outta Compton, Another Crazy Ass Nigga,More Punks I Smoke, Yo, My Rep Gets Bigger,I'm A Bad Motherfucker And You Know This,But The Pussy Ass Niggaz Don't Show This,But I Don't Give A Fuck, I'ma Make My Snaps,If Not From The Records, From Jackin The Crops,Just Like Burglary, The Definition Is 'Jackin',And When Illegally Armed It's Called 'Packin',Shoot A Motherfucker In A Minute,I Find A Good Piece O' Pussy, I Go Up In It,So If You're At A Show In The Front Row,I'm A Call You A Bitch Or Dirty-Ass Ho,You'll Probably Get Mad Like A Bitch Is Supposed To,But That Shows Me, Slut, You're Composed To,A Crazy Muthafucker From Tha Street,Attitude Legit Cause I'm Tearin Up Shit,MC Ren Controls The Automatic,For Any Dumb Muthafucker That Starts Static,Not The Right Hand Cause I'm The Hand Itself ,Every Time I Pull A AK Off The Shelf ,The Security Is Maximum And That's A Law,R-E-N Spells Ren But I'm Raw,See, Coz I'm The Motherfuckin Villain,The Definition Is Clear, You're The Witness Of A Killin,That's Takin Place Without A Clue,And Once You're On The Scope, Your Ass Is Through,Look, You Might Take It As A Trip,But A Nigga Like Ren Is On A Gangsta Tip,Straight Outta Compton...,Chorus:,, Eazy Is His Name And The Boy Is Comin...,Verse Three: Eazy-E,...Straight Outta Compton,Is A Brotha That'll Smother Yo' Mother,And Make Ya Sister Think I Love Her,Dangerous Motherfucker Raises Hell,And If I Ever Get Caught I Make Bail,See, I Don't Give A Fuck, That's The Problem,I See A Motherfuckin Cop I Don't Dodge Him,But I'm Smart, Lay Low, Creep A While,And When I See A Punk Pass, I Smile,To Me It's Kinda Funny, The Attitude Showin A Nigga Drivin,But Don't Know Where The Fuck He's Going, Just Rollin,Lookin For The One They Call Eazy,But Here's A Flash, They Never Seize Me,Ruthless! Never Seen Like A Shadow In The Dark,Except When I Unload, See I'll Get Over The Hesitation,And Hear The Scream Of The One Who Got The Last Penetration,Give A Little Gust Of Wind And I'm Jettin,But Leave A Memory No One'll Be Forgettin,So What About The Bitch Who Got Shot? Fuck Her!,You Think I Give A Damn About A Bitch? I Ain't A Sucker!,This Is The Autobiography Of The E, And If You Ever Fuck With Me,You'll Get Taken By A Stupid Dope Brotha Who Will Smother,Word To The Motherfucker, Straight Outta Compton,Chorus:,,
,
,
"
1991,N.W.A,",Aaaah, this is one of them songs,You can kick back and smoke a joint to.,And get real fucked up.,I like to dedicate this one to all the lovely young ladies out there.,Oh me? I'm Eazy E, alias A Whole Taming Motherfucker.,And I want all you ladies to know something...,I'd rather fuck with you all goddamn night,,Cause your pussy's good.,Now I'm fucking all your friends,,Cause you ran your mouth like I knew you would.,You were bragging to your friends,,Saying ""Eazy E knows how to fuck"".,So bring your ass in here and give me some,,So I can bust a but .,,I'd rather fuck you, yeah  2x,I'd rather fuck with you,,Cause I like the way you scream my name.,I know you like this dick,,Cause you enjoy the pleasure and pain.,Now I'm riding on this pussy here,,And I'm not gonna stop .,We can do it doggy style,,And you can get on top .,,Whoo boy, I'd rather fuck with you, yeah .,I need you baby, whoo, I'd rather fuck you, I'd rather fuck with you.,I'd rather fuck with you,,Cause the other bitches wanna wine and dine .,I better hurry up and bust a nut,,Cause it's check-out time.,She said she wanted me to eat the pussy,,Well I think I'll pass .,So get your ass up you funky bitch,,And wash your ass .,
,
,
"
NO DATE N.W.A:8 Ball,N.W.A,"Verse One: Eazy-E,I don't drink brass monkey, like the beat funky ,Nickname Eazy-E your 8 ball junkie,Bass drum kicking, to show my shit,Rap a hole in my dick, boy, I don't quit,Crowd rocking motherfucker from around the way,I got a six shooter yo mean I am brave,Rolling through the hood to find the boys,Kick dust and cuss crank up some noise,Police on my drawers, I have to pause,40 ounce in my lap and it's freezing my balls,Hook a right turn and let the boys go past,then I say to myself, ""They can kiss my ass"",Hip to get drunk got the 8 in my lips,Put in the old tape Marvin Gaye's greatest hits,Turn the shit up had the bass cold whomping,Cruising through the east side south of Compton,See a big ass and I say word,I took a look at the face, and the bitch was to the curb,Hoes on my tip for the title I'm holding,Eazy-E's fucked up and got the 8 ball rolling,Verse Two: Eazy-E,Riding on Slauson looking for Crenshaw,Turned down the sound to ditch the law,Stopped at a light and had a fit,Cause a Mexican almost wrecked my shit,Flipped his ass off put it to the floor,Bottle was empty so I went to the store,Nigga on tip cause I was drunk,See a sissy ass punk had to go in my trunk,Reached inside cause it's like that,Came back out with a silver gat,Fired at the punk and it was all because,I had to show the nigger what time it was,Pulled out the jammy and like a mirage,A sissy like that got out of Dodge,Sucka on me cause the title I'm holding ,Eazy-E's fucked up and got the 8 Ball rolling,Verse Three: Eazy-E,Olde English 800 cause that's my brand,Take it in a bottle, 40, quart, or can,Drink it like a madman yes I do,Fuck the police and a 5-0 too,Stepped in the park I was drunk as hell,Three bitches already said, ""Eric your breath smells!"",40 ounce in hand that's what I got,""Yo man you see Eazy urlin' in the parking lot?"",Stepped on your foot cold dissed your hoe,Asked her to dance and she said, ""Hell No!"",Called her a bitch cause that's the rule,Boyz n tha Hood trying to keep me cool,Tell my homeboy you wanna kick my butt,I walked in your face and we get on up,I start dropping the dogs and watch you fall ,Just dumb full of cumn got knocked out cold,""Make you look sick you snotty nosed prick!,Now your fly bitche is all over his dick!"",Punk got dropped cause the title I'm holding ,Eazy-E's fucked up and got the 8 ball rolling,Verse Four: Eazy-E,Pass the brew mother fucker while I tear shit up ,and yall listen up close to roll call,Eazy-E's in the place I got money and juice,Rendezvous with me and we make the deuce,Dre makes the beats so goddamn funky,Do the Olde 8 fuck the brass monkey,Ice Cube writes the rhymes, that I say,Hail to the niggas from CIA,Crazy D is down and in effect,We make hard core jams so fuck respect,Make a toast all you punks to the title I'm holding ,Eazy-E's fucked up and got the 8 ball rolling
,
,
"
NO DATE N.W.A:Live Intro,N.W.A,"Ae yo,This is what we want to do with you right now,We want you all to listen up,as we going some our greatest hits,from Straight Outta Compton,100 Miles and Runnin',and our new shit,The Greatests shit,Niggaz 4 Life,Let's check this shit out,{Police street background},Give me my purse ,give it back my purse.,ahh shit man that bitchy Black Gangsta,are out-it again.,You are now about to witness ,the strength of street knowledge,Straight of the streets of Compton,Decicated and out most suckers hate-ed,Will you put your hands to give a four,Eazy-E and  N.W.A.,NWA Straight Outta Compton Video banned on MTV,NWA Music banned on Most Black Radio Station,NWA Crudiside and for what...Tellin'like it is,Yo we aint survin' out Fuck cross over it now ,let them cross over us,FUCK'EM,rose motherfucker still bind nigga,the Media hate shit,Fuck everybody Lets do it,yo strenght,Nigga With Attitude Nigga With Attitude ,Nigga With Attitude Nigga With Attitude ,DJ Yut D D D DJ Yut D D D ,DJ Yut D D D DJ Yut D D D ,Make some Noice Make some Noice ,Somebody scream!!,{crouds},Mc Ren move it thu Dre the motherfucker Doctor,Mc Ren move it thu Dre the motherfucker Doctor,Mc Ren move it thu Dre the motherfucker Doctor,Mc Ren move it thu Dre the motherfucker Doctor,Everybody put the motherfucker hands to the air,Everybody put the motherfucker hands to the air,Come on!
,
,
"
NO DATE N.W.A:Quiet On The Set,N.W.A,", Yo Ren !, Whassup ?,   ,,Ruthless, plenty of that and much more,So at the party, Ren is controllin the floor,that you step and do your danceroutine,It ain't a dream my man, you're in a gangsta scene,with a villain doin damage on a 24 track,With confusion to finish my conclusion,Arhytomatic rhymes from a radio cat,You can't take what I got coz I'll be takin it right back, Cold killin,You wanna know what it's means ? ,With the stupid dope rhyme,So once you hear one line you can tell it's mine,With a baseball cap that's black that I'm wearin,and a look that keeps you all starin,and wondering why I'm invincible,But when you hear my rhyme, it's convincible,I don't take no shorts while I'm constructin the ground,that makes y'all move around to my hell of a sound,Girls drool on me like a dyin,,I go to the party. I hip a hop the spot,I dunno what it is, but the girls get hot,aspirin like they're on fire and,their so-called boyfriends with'em are retirin,And for this reason I'm a walkin threath,So when I'm on stage I want...,,, ,,Now to get started with my musical profession,A gangsta or villain in mine is in session,The way that I'm referrin to this makes ya move ya butt,but don't stand in a daze, yeah you should know what's up,Anyway I keep the clappin along,coz nothing bad could go wrong because this song is so strong, who could ask for anything more ,when N.W.A. is cold rockin the floor,like stupid, actin like a retard,waitin for a bumrush, gettin to the good part,It tips me so with temptation,writin my lyrics with this hyped information,Just look at the center of the stage where the spotlight shines , It's mine !,Unpredictable, keepin you extremely enjoyed,It's irresistable, meanin that you can't avoid,And while I'm on stage, look forward to sweat,but after I rip it up I want...,,, ,,I can be loud as hell, think I will ? ,  Yeah I like that better, I think I earn respect,And if I didn't from you, that's what I expect,coz if it ain't ruff it ain't me,So who really cares how you want me to be,See, I'm just me standin at the top of the pile,and doin soft known tunes it ain't my style,And this concludes our program,of how N.W.A. makes a ruthless jam,Now first we take an average drum,Give it to Dre, and the boy gets dumb,It's no secret, that I sit alone at night,Pick up a pad and pen and begin to write,all kinda lyrics that's promised to play,to make everybody say:,, ,,Now MC Ren is here workin like super glue,No matter what I do, I'm always thinkin o' you,Coz I'm the pusher, supplyin the fix,And this jam's so dope, it don't need a remix,But I'm makin obstacles of enemy traps,to catch any MC's with the weak-ass raps,Crucifyin their  like just for usin my name,The definition is pain, but that's the thing o' the game,If they try to retreat, I catch'em one at a time,coz they're comittin a crime, and still promotin a rhyme,So, you're in the back of me just listen and learn,because you'll all get a chance or maybe a turn,Now my sideman wants to give a preview,so at my next concert I wanna see you,there not sittin in a chair,standin on yo feet, with yo hand in the air,Now I'm about to get out but I'll be back,But next time expect the more funkier track,deep down for your enjoyment to hear more percussion,with lyrics that's smooth to start some discussion,The beat that I'm  and you know that's bad,Now continue to dance coz I'm thru with tha set
,
,
"
NO DATE N.W.A:Tuffest Man Alive,N.W.A,",This ain't no basic hip-hip you make in a bin in your garage,I'm down for showing all you hoes who the hell's in charge,A cold lethal rap warrior, I'm on the attack,Cutting ducks no slack so keep your bitch ass back,Deadly, yeah kicking it, the solo style,On top of the pile, the reigning chump worthwile,Hanging tough I'm the leader, ain't no need to pretend,Like an elevator up, I mean I'm on the ascend,I ain't no east coast rapper, this is a southerner's song,Be warned, it's hard to try and hold a project born,Saying shit that you like, never wearing no Nike,F**king it up and all I need is my goddamn mic,And a micstand, I don't need no band to play,With a DJ like Rock and a partner like K in effect y'all,F**king suckers up like five,It's Fila Fresh and I'm the toughest man alive!,,Na-na-na-na-na-naaaaa-nah,,Yo, yo nigga you know you can't even f**k with this,Do it, do it,,Na-na-na-na-na-naaaaa-nah,,Yo, fool, you know you need to jet the f**k off,Get the f**k out my face,,Down from the beginning, hitting hard I'll admit,They keep offering me money and I keep taking the shit,And coolin' cool at the crib cause being cool's how I live,But bucking up will get you rocked if you're a bullshit kid,I like it stylistic, c'mon let's get with it,Coming up with fresh new rhymes like I'm a mystic,You see the D.O.C. and all the Fila I be splurging,Yeah, I know it, you think that I'm encouraging,You to steer wrong boy, so I can go off,A quick run and when I'm done you bet not cough,I'm an annihilator, standing a full 6'3"",And I reall don't think you wanna f**k with me,But then there's always those, clocking all your shows,Getting all out of line trying to impress they hoes,I know some niggas like that round the way who won't quit,""It's the old top"" Man shoot that muthaf**king shit,I'm physically tough, physically able I qualify,Don't try that gangster bullshit here, this an't no I Spy,You better chill out, that's if you wanna survive,It's Fila Fresh and we're the toughest men alive,,Yeah, for all you suckers who thought t'all was down, that's,right, kicking that bullshit, yeah we in effect, that's right,holmes, we in effect so get your bitch ass back before you,be floating up a creek, know what I'm sayin?,,Float, float on...,,Yeah, and if you want your beast to be deaf, call Dre before Monday!
,
,
"
NO DATE N.W.A:Sa Prize (Part 2) --,N.W.A,"Chorus:,Fuck the police!  Fuck, fuck, fuck the police!,,Fuck, fuck, fuck the police!, You're motherfucking right, yo,Verse One: Dr. Dre,Fuck the motherfucking police!,They don't want peace, they want a nigga deceased,So he'll cease to be a problem, and by the way the perform,It seems the Klan gave the white police another uniform,And yo the black police, the house niggaz,They gave you a motherfucking gun, so I guess you figure,You made out, good to go, but you didn't know,They would stick your black ass back in the ghetto, yo,To kill another nigga, catch him with crack, in fact,Freebase - they put in the neighborhood in the first place,But the brothers ain't stupid, remember that,You got a gat, I got a gat, so whassup with that,A to the motherfuckin K,The last words you hear, then the smoke appears,Tears, from your motherfuckin family,They're starin at me, but I'm goin gun happy, fuck em!,Shootin everything in sight tonight's the night to get hyped,And fight for what's wrong, fuck what's right!,And by the way, my name is Dre,So listen up motherfucker to what I gotta say, yo,Chorus:,Fuck the police!  Fuck, fuck, fuck the police,Fuck,Fuck, fuck, fuck the police,,Episode One:,Yeah that shit's hittin man, where the volume at?,Hold-up, hold-up, hold-up, one-time, one-time, one-time,Put the joint out!  Put the joint out!,Hey you motherfuckers want to step out of the car?,Don't you know it's against the law to play music so god damn loud?  Shut ,The fuck up!  Go to jail?  Gimme that shit you was just smoking,Motherfuckers from high crime areas view the police as a threat,And that's some shit you betta not forget,Verse Two: Eazy-E,Eazy E's the name feared by most,When, a lil nigga is thrown in the pen,But on the streets there's two kinds of people,White rich fucks and the ones who get harassed like me,Pull over to the side, routine for me,Tearin up my shit, like they lookin for a key of cocaine,But they never find the shit,Ain't got nuttin better to do and nobody else to fuck wit,Thinkin everything is stolen,But can't face facts that a young black nigga's just rollin,Making more money than they ever make,Taking more shit than they ever take,Yo pigs are made to kill, and no regret and,Keep your hand on your weapon shoot his ass and start steppin,Cause I'm a nigga that don't give a fuck about nothin,So let me explain a lil somethin, yo,See, I got this problem, a big problem...,Cops don't like me, so I don't like motherfucking cops,Chorus:,Fuck the police!  Fuck, fuck, fuck the police,Fuck,Fuck, fuck, fuck the police,,Episode Two:,Get out of the fuckin car!,Wait a god damn minute what the hell did I do?,Hey just shut the fuck up black bitch,Wait a minute, you ain't gotta be pullin me by my motherfuckin hair!  Let ,Go of my motherfuckin hair!,Hey just step the fuck back and shut up!,Get your motherfuckin hands off of me!,Calm down, calm down now... listen, we're gonna go around this corner, and ,You're gonna suck me and my partner's dicks, or you're gonna,Be one black dead nigger bitch,Police brutality is common in my neighborhood,That's why I hate them motherfuckers,Verse Three: MC Ren,I said fuck the police but with a little more force,And maybe now I get my point across,It's a lot here that's goin on, just open your eyes and look,Everyday a young nigga is took,Off the face of the street by a police,It's like they gotta a nigga chained on a short leash,You can't leave out the city that they shacked up,Cause if you do that's the right they got you jacked up,It's embarassin because you know they justice, but all you can do,Is say fuck this, because if you move, that's all she wrote,So what?  The excuse to shoot, or they rather stomp your head,Til you're dead with the steel toe boot,Harassin me with some kind of mind game,Actin like a nigga just was born with a gang-name,You call that right but when you're black there's no right,Some recreational shit was only a gang fight,So shootin at the cops was a street thing,To waste time have to explain don't do cocaine,But everything was done just for peace,To retaliate, on the fuckin police, so I'm sayin,Chorus:,Fuck the police!  Fuck, fuck, fuck the police!,Fuck,Fuck the police!  Fuck, fuck the police!,,Episode Three:,Hey Juan, look at the piece of ass man,Watch out watch out watch out homes!,Oh shit man you fucked up, you hit a police car,I didn't see that piece of caca!,Better act like you don't speak ingles homes,...,What the fuck?  Get your ass out of there, I've had enough,Of your raggedy ass motherfuking shit!,No! No me pagan, por que me pagan, no!  Por favor, no, no!,Por que?,Chorus 2X
,
,
"
NO DATE N.W.A:I Ain't The 1,N.W.A,", How short's your hair right now?, Look, I'ma tell you like this,,I ain't the one, the one to get played like a pooh butt,See I'm from the street, so I know what's up,On these silly games that's played by the women,I'm only happy when I'm goin up in em,But you know, I'm a menace to society,But girls in biker shorts are so fly to me,So I step to em, with aggression,Listen to the kid, and learn a lesson today,See they think we narrow minded,Cause they got a cute face, and big-behinded,So I walk over and say ""How ya doin?"",See I'm only down for screwin, but you know,Ya gotta play it off cool,Cause if they catch you slippin, you'll get schooled,And they'll get you for your money, son,Next thing you know you're gettin their hair and they nails done,Fool, and they'll let you show em off,But when it comes to sex, they got a bad cough,Or a headache, it's all give and no take,Run out of money, and watch your heart break,They'll drop you like a bad habit,Cause a brother with money yo, they gotta have it,Messin with me though, they gets none,You can't juice Ice Cube girl, cause I ain't the one,,,,,Sometimes I used to wonder,How the hell an ugly dude get a fine girl's number,He's gettin juiced for his ducats,I tell a girl in a minute yo, I drive a bucket,And won't think nuttin of it,She can ride or walk, either leave it or love it,I show her that I'm not the O, the N-E, say,I'm a ruthless N-I double-G A,Cause I'm gamin on a female that's gamin on me,You know I spell girl with a B,A brother like me is only out for one thing,I think with my ding-a-ling, but I won't bring no,Flowers to your doorstep, when we goin out,Cause you'll take it for granted, no doubt,And after the date, I'ma want to do the wild thing,You want lobster huh? I'm thinking Burger King,And when I take you, you get frustrated,You can't juice Ice Cube and you hate it,But you see, I don't go nuts,Over girls like you with the BIG ol butts,It start comin out the pocket, to knock it,But when the damage is done...,You can only lay me girl, you can't play me girl,For the simple fact that, I ain't the one,,,,,,Give you money why bother,Cause you know I'm lookin nothin like your father,Girl, I can't be played or ganked,Ganked means getting took for your bank,Or your gold or your money or something,Nine times outta ten, she's giving up nothing,They get mad when I put it in perspective,But let's see if my knowledge is effective,To the brothas man they robbing you blind,Cause they fine with a big behind, but pay it no mind,Keep your money to yourself homie,And if you got enough game,You'll get her name and her number,Without going under,You can't leave em and love and stay above em,I used to get no play now she stay behind me,Cause I said I had a Benz 190,But I lied and played the one,Just to get some now she feels dumb,To my homies it's funny,But that's what you get trying to play me for my money,Now don't you feel used,But I don't give hoot, huh, because I knock boots,You shouldn't be, so damn material,And try to milk Ice Cube like cereal,Now how many times do I have to say it,Cause if I have to go get a gun,You girls will learn I don't burn,You think I'm a sucka, but I ain't the one,,,I don't see no rings on this finger,,Yeah you love my money, I got what I wanted - beat it
,
,
"
NO DATE N.W.A:Live Intro (1989),N.W.A,"Ae yo,This is what we want to do with you right now,We want you all to listen up,as we going some our greatest hits,from Straight Outta Compton,100 Miles and Runnin',and our new shit,The Greatests shit,Niggaz 4 Life,Let's check this shit out,{Police street background},Give me my purse ,give it back my purse.,ahh shit man that bitchy Black Gangsta,are out-it again.,You are now about to witness ,the strength of street knowledge,Straight of the streets of Compton,Decicated and out most suckers hate-ed,Will you put your hands to give a four,Eazy-E and N W A,N.W.A. Straight Outta Compton Video banned on MTV,N.W.A. Music banned on Most Black Radio Station,N.W.A. Crudiside and for what...Tellin'like it is,Yo we aint survin' out F**k cross over it now ,let them cross over us,F**K'EM,rose motherf**ker still bind nigga,the Media hate shit,F**k everybody Lets do it,yo strenght,Nigga's With Attitude Nigga With Attitude ,Nigga's With Attitude Nigga With Attitude ,DJ yella D D D DJ yella,DJ yella D D D DJ yella,Make some Noice Make some Noice ,Somebody scream!!,{crouds},Mc Ren tha ruthless villan Dre the motherf**ken Doctor,Mc Ren tha ruthless villan Dre the motherf**ken Doctor,Mc Ren tha ruthless villan Dre the motherf**ken Doctor,Mc Ren tha ruthless villan Dre the motherf**ken Doctor,Everybody put the motherf**ker hands to the air,Everybody put the motherf**ker hands to the air,Come on!
,
,
"
NO DATE N.W.A:I Ain't Tha One,N.W.A,"Intro: girl, Ice Cube, How short's your hair right now?, Look, I'ma tell you like this,Verse One:,I ain't the one, the one to get played like a pooh butt,See I'm from the street, so I know what's up,On these silly games that's played by the women,I'm only happy when I'm goin up in em,But you know, I'm a menace to society,But girls in biker shorts are so fly to me,So I step to em, with aggression,Listen to the kid, and learn a lesson today,See they think we narrow minded,Cause they got a cute face, and big-behinded,So I walk over and say ""How ya doin?"",See I'm only down for screwin, but you know,ya gotta play it off cool,Cause if they catch you slippin, you'll get schooled,And they'll get you for your money, son,Next thing you know you're gettin their hair and they nails done,Fool, and they'll let you show em off,But when it comes to sex, they got a bad cough,Or a headache, it's all give and no take,Run out of money, and watch your heart break,They'll drop you like a bad habit,cause a brother with money yo, they gotta have it,Messin with me though, they gets none,You can't juice Ice Cube girl, cause I ain't the one,Interlude One:,,,Verse Two:,Sometimes I used to wonder,How the hell an ugly dude get a fine girl's number,He's gettin juiced for his ducats,I tell a girl in a minute yo, I drive a bucket,And won't think nuttin of it,She can ride or walk, either leave it or love it,I show her that I'm not the O, the N-E, say,I'm a ruthless N-I double-G A,Cause I'm gamin on a female that's gamin on me,You know I spell girl with a B,A brother like me is only out for one thing,I think with my ding-a-ling, but I won't bring no,flowers to your doorstep, when we goin out,Cause you'll take it for granted, no doubt,And after the date, I'ma want to do the wild thing,You want lobster huh?  I'm thinking Burger King,And when I take you, you get frustrated,You can't juice Ice Cube and you hate it,But you see, I don't go nuts,Over girls like you with the BIG ol butts,It start comin out the pocket, to knock it,But when the damage is done...,You can only lay me girl, you can't play me girl,For the simple fact that, I ain't the one,Interlude Two:,,,,Verse Three:,Give you money why bother,Cause you know I'm lookin nothin like your father,Girl, I can't be played or ganked,Ganked means getting took for your bank,Or your gold or your money or something,Nine times outta ten, she's giving up nothing,They get mad when I put it in perspective,But let's see if my knowledge is effective,To the brothas man they robbing you blind,Cause they fine with a big behind, but pay it no mind,Keep your money to yourself homie,and if you got enough game,You'll get her name and her number,Without going under,You can't leave em and love and stay above em,I used to get no play now she stay behind me,Cause I said I had a Benz 190,But I lied and played the one,Just to get some now she feels dumb,To my homies it's funny,But that's what you get trying to play me for my money,Now don't you feel used,But I don't give hoot, huh, because I knock boots,You shouldn't be, so damn material,And try to milk Ice Cube like cereal,Now how many times do I have to say it,Cause if I have to go get a gun,You girls will learn I don't burn,You think I'm a sucka, but I ain't the one,Outro:,,I don't see no rings on this finger,,Yeah you love my money, I got what I wanted -- beat it
,
,
"
