2000,OutKast,"Outkast: Red Velvet,,One more time for y'all, ye-ye-yeah, huh,If you didn't know you know now, OutKast, Stankonia,We shittin' on everybody talkin' that bullshit,,Now Peter Piper picked a pepper, that was his downfall,I'm down with Dre, he's down and 'cause he got my back y'all,Ball if you want to, but do it with some class G,Ask me, do OutKast got some flows so you can blast me,Nasty, niggas on the block they see you shinin',Engi-neers in the studio see me rhymin',Don't get me wrong, got four albums stay consistent,You got a bodyguard, I let my nigga tote the biscuit,Twist ya cap back, you got blood off on ya fur hat,Cap, cap, ya link snap, you slump off in ya Cadillac,But what though, some diamonds and a Bentley what you dyin' for,Aight hoe, I'ma bake my cheese and let my mic flow,Prioritize to live through,Tell these other niggas how you bought yo' kid some tennis shoes,Let these brothers know that your momma she got her house too,Let these niggas know that your sister wouldn't of finished college without you,I doubt you do that though, ,so do this here and keep that bullshit out of our ear,You too near me to not hear me, too open conceal me,The love for the music keepin' big boys spittin' real G,,'Cause they know where you live and they've seen what ya drive,And they say they gonna put one in your helmet,'Cause you brag 'bout that watch, and all them things that you got,Them dirty boys turn your pound cake to red velvet,,How can you measure a nigga by multiple figures he may got, got, got,Had he not purchased the newest Mercedes that loses value soon as you ,drive that bitch off the lot, lot, lot,Would it still be the latest, most wanted, dogonit you want it,He got it-type nigga 'round the town, town, town ,Had he not played it so flashy, ,Ask you when half of these niggas hurtin' and workin',Would be he be found, found, found,In a ho-tel  room  shot up ,With his dick shoved in somethin' he got a lot of,Bill Gates don't dangle diamonds in the face,Of peasants when he Microsoft'n in the place,You gettin' on my nerves, well I'm gettin' on your case,Consider your surroundings or you leave without a trace,,,I know you got the biggest bank roll and you ballin',Follow the heater because the leader he is haulin',Ass like Juan Valdez, I think he scared,'Cause my nigga Khujo Goodie got that toolie to his head,,Little did he know that, waitin' in the closet,No matter what you call that, playboy sure got done,Dumb was the one who came in contact,With those with slow goals who prone to sell crack,On this megaphone, hey look world I'm on,You off, he floss hard 'cause he celebrate the fact,Little did he know that, waitin' in the closet,No matter what you call that, playboy sure got done, 2x
,
,
"
2000,OutKast,"Diss me baby, ruler hood throughout whole song,,Some of that uh, LTD Lincoln Town Car,Some of that El Dorado funk, know what I'm talking about,Gangsta Shit, you know, lay back, cool out, yeah,You know we keep it crunk around here, A-town style,Getting head on the highways yeah, but this what I wanna know,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Outkast, Goodie Mob and the Dungeon click,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Dirty South nigga we straight gangsta pimps,,O-U-T-K-A-S-T,O-N-P,G-O-O-D-I-E, so fresh so clean,Back with Stankona, Dungeon Family,Pearl Cadillac on dics adn vogues, flip flops, t-shirts and Dickies,It's the return of Billy Ocean, Cuervo is my drink,Stank, stank means you got the funkiest, dopest heat on the street,Three G ski, Slimm, Big Boi and ths is C B-O-N-E ,If you need some back-up find Jerome, ,ya girl gonna give you grief at home,Just tell these hoez wanna be on the same team that she's layin on,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Outkast, Goodie Mob and the Dungeon click,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Dirty South nigga we straight gangsta pimps,,Dope boys in the trap like to stack the dough,When beef come areound can't let it go ,When my funds turn legit i'm gonna let you know,Ridin rims real good down Old National,It's trappable, two bed, Jacuzzi bath, it's natural,Puttin cheese in ya stash, un-taxable futhermuckers get mad,Steady watching myself, got eyes in my back,Don't take no slack, when you managing the trap,If you work out, gotta get it right back,I trap by day boy, rap by night, ,C-Bone in this Bitch College Park trump tight,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Outkast, Goodie Mob and the Dungeon click,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Dirty South nigga we straight gangsta pimps,,I'm pimp tight, give a fuck, niggaz know what's up,It's T-Mo and Outkast in the back of my truck,We gotta simple little problem that we got to solve,It like it ain't about the money, we got to handle the job,No colors or rags, just guns and masks,We not scared to blast and dip off fast,With the Dungeon click, just pulled a lick,Now what you really wanna know about the gangsta shit,,Back on the scence, a sack of green sitting on crome and rubber bands,Paint looking like Candyland, it's Sllimm the South Paw triggerman,Flippin work and whippin weight, rock up, roll and get the papes,Chop them hoez and then you skate, ack to the block wit the deflate,Grams the O's, slabes to whole one's da flake,A young nigga holdin big face foldin,Pimps are known for catching runaways,A good hustler's known to keep his gun away,First nigga run up and try to jack mine, ,first nigga fuck up to get flat lined,Pack still stainless Coupe and Verts brainless,Y'all don't wanna fuck wit me, the trunk be at bangin,Of the chain danling, y'all know that i'm form C.P,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Outkast, Goodie Mob and the Dungeon click,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Do you really wanna know about some gangsta shit,Dirty South nigga we straight gangsta pimps,,Outkas wit a K, yeah them niggaz are hard,Harder than a nigga trying to impress God,We'll pull your're whole deck, fuck pulling your card,And still take my guitar and take a walk in the park,Any play the sweetest melody the street ever heard,Now bitches sucking on my nouns and I'm eating their verbs,Get full, and niggaz, niggaz, ,pop, pop, lock, lock to the, to the beat, beat,As if pitbulls went out of style, made a vow to myself,If it's for the wealth i'll stop, well put i like this,It's like me selling some dope because my girlfriend wants to shop,Wrong reason, whatever the season, hey winter, spring, summer or fall,I dont stall, slow drag wit your brain against the wall,Yeah, nigga naw, we learn to the side don't fall ,All y'all fuck boys, tuck toys inside your pants,Just to pull it out, point it at the ground and make a nigga wanna dance,Now what that be for, you're on that reefer and on that Tupac ,In front of them oooh wops, trying to show out, that's the hoe route,Talking loud talking bout that's gangsta shit
,
,
"
2000,OutKast,"Andre:,Ahhhh  I stank I can, I stank I can,The funky engine that could,Oooo  oooo!,yosky  wosky, pisky  wisky,All aboard the Stankonia Express,The underground smell road,Everybody's lookin' for an excuse to let loose,What's your locomotive, the Chattanooga Choo Choo?,Chorus:,Humble as a mumble in the jungle,Of shouts and screams,That's the way the cracker crumbles,So I guess I've got to re-route my dreams,,Big Boi:,Back on the microphone, your number one controller,I rock the microphone like a blizzard,I'm so cold I'm tryin' to hold ya,Life is like a great big roller coaster,Everything in life don't always happen like it's suppose to,Trials and tribulations make you stronger live longer,You wanna reach the nation nigga start from ya corner,Everything don't always happen like you plan it,Demand it over stand it then you handle it,Fuck wishing, you missing the ambition on your mission,Now you switching why you quitting 'cause it's heated in the kitchen,Sloppy slipping in your pimping nigga,You either pistol whip the nigga or you choke the trigger,You've got to follow through, struggle to complete your dreams,""No Weapon Formed Against Prospers"" 54:17,From Isaiah lay a nigga down and spray 'em,If the dealer dealt a fucked up hand of cards you've gotta play 'em,,Too Democratic, Republic fuck it,We chicken nugget, we dip in the sauce like mop and bucket,Blue-collar scholars, who'll take your dollar and wipe my ass wit it,You living for the lotto never hit it, I met a critic,I made her shit her drawers,She said she thought Hip Hop was only guns and alcohol,I said ""Oh hell naw!"" but yet it's that too,You can't discrimahate cause you done read a book or 2,What if I looked at you in a microscope saw all the dirty organisms,Living in your closet would I stop and would I pause it ,To put that bitch in slower motion, got the potion and the antidote,And a quote for collision the decision,Is do you want to live or wanna exist,The game changes everyday so obsolete is the fist and marches,Speeches only reaches those who already know about it,This is how we go about it,,Erykah Badu:,I'm wild just like a rock, a stone, a tree,And I'm free, just like the wind the breeze that blows,And I flow, just like a brook, a stream, the rain,And I fly, just like a bird up in the sky,And I'll surely die, just like a flower plucked,And dragged away and thrown away,And then 1 day it turns to clay,It blows away, it finds a ray, it finds its way,And there it lays until the rain and sun,Then I breathe, just like the wind the breeze that blows,And I grow, just like a baby breastfeeding,And it's beautiful, that's life and that's life,And that's life and that's life,,Andre:,Humble as a mumble in the jungle,Of shouts and screams,That's the way the cracker crumbles,So I guess I've gotta re-route my dreams,Y'all can't harm me, it's over
,
,
"
NO DATE OutKast:Cruisin' In The ATL (Interlude),OutKast," ,
,
,
"
1994,OutKast,"Yeahh.. mmm mm mmm,That shit sho feel good,Hey playa, dis Peaches,Comin back at ya one mo gen, wit a big whassup,Break out your black love, and your Boone's Farm,As I send it out one more time,For East Pointe, College Park, Decatur, and the SWATS,We got that Southern playalisticadillac funky muzik for yo' trunk,And it's fat like hambone, and tight like mad booty,So let me take you deep, straight to the point,Cause it ain't nuttin but King Shit, all day, everyday
,
,
"
NO DATE OutKast:Pre-Nump (Interlude),OutKast," Hey baby., Yeah?, I know we've been together for a long time, right?, Yeah., Well, I got one question to ask you., Yes?, Will you marry me?, Yes!, Good, but I got one mo' question., Yeah?, Will you sign a pre-numptual agreement?, What?!,BREAK!
,
,
"
2000,OutKast," Slum beautiful, driving I plum crazy,Slum beautiful, soul, but so amazing,,They don't know, but I do though,Baby my darling you make me loose composure,Fragments of a million me,Scattered across the floor to a certain degree,Where I had to give your mama call,And thank her for spending time with your daddy,For all its worth, girl what's your frequency,And can I come there frequently,,,What I like to do most is spit this game like sports announcers,And will pity pat them hoez down like a gentlemen club bouncer,Ounce of killa dilla, be making my game more flagrant,And once I done had some Cuervo 'bout six shots I'm nothin to play wit,Like plug sockets and babies, possums, raccoons, and rabies,Maybe Lady Luscious oba kaybee so they say thee,An old school playa pimp type ass nigga like Tony Mercedes,And will work every last muscle off in your body like Billy Blanky,Hanky panky, where did you get your gold grill cause it's banging,And I like then redhot Fila straight from Walters off the chain,Fuck them bouige bitches they don't know nothin 'bout you,'Cause you push a big black Buick, so fresh, so clean on them trues,Slum beautiful you's the would to me, shawty I dig ya,And I'm loving the way them Jordache got a bear hug on your figure,You my nigga, nigga,, ,Look at you, unbelievably, brilliant beautiful you,You're looking deliciously divine darling you really and truly do,The very thought of has got me running at the speed of love,Exploring everything about you from the ground to the God above,Suddenly I started dreaming, traveling in time so fast,I could almost taste outer space,I saw the face of God and looked like you and me too,Hello, I'm the man that God made you for,Profound don't think, okay let's put this poetry in motion,I'm shining simply because mother earth I'm your son,Our entire circumference engulfed in emotion,,,I don't know but, it seem like uh, your daddy must have gave you,A teaspoon of honey every night before you went to bed,Or was it a pack of Now & Laters cause you're the sweetest thing on my head,And I'd like to say that I'd love to make love to every molecule of you,And if you want to spontaneously combust that's what we'll do in unison
,
,
"
2000,OutKast,"*Andre3000*,Have you heard the news? ,They say a little 14 year old little girl had a baby on the way,Tooo much for her little mind to bare,And that type of news to her mama she cannot spare,*Hook*,Toilet Tisha, damn we miss ya,Toilet Tisha is the issue,Damn we miss ya, Toilet Tisha,Damn we miss ya,*Vamp*,Dont go away ,Dont you dare go away from me girl I can help you,Dont go away dont you dare leave me,Dont go away, away ,Dont go away,*Big Boi*,Five thousand, one hundred ten days,Is a short period of time a mere fourteen years,On this precious mother earth, you see Tisha had issues,And her decision making skills were still in its early stages,You know what I'm talking about ,Therefore she could not properly handle a blessing in which ,She thought to be an obstacle in her path to adulthood,Pause, Just like a brother with a thousand pauses,Should I shouldnt I I cant I have to, mama will never see me the same,Daddy and Big Mama I know all of them gonna be ashamed of me,Are just a few thoughts racing through her cranium,As she sits on top of the pale, cold porcelain seat in the rear of the house,The unthinkable moments away from becoming reality, sadly with no clue,And no way of expressing her feeling to her mam or anybody else in her life,Tisha done came to the crossroads and now she got to choose,Fatality, fatality, fatality, fatality
,
,
"
2000,OutKast,",Hello lord, it's me again, I just wanna make to love the whole globe,And all her girlfriends now don't that make ya mind move,Like smoke patterns, me on my way to Saturn wit a bomb,Numb be it view, or Saudi Shawty,I figure before the first gun blast, they know who gone win,Now won't that make us all fools,Like class clowns praying Private Ryan comes round,Sound travels at one thousand, one thirty, feet per second,Niggaz in the street they want it hurry ,When niggaz start biting that's when 3000 starts to worry,A little knowledge from the college of wizard Ray Murray,Answer quick do you know what desire is? ""Huh?"",Apparently not that's why you get what you got,Now answer this do you know what fire is? ""Yeah"",The body of hot, the motivator of pots,Snot, spit, shit are characteristics of release,Ask your niece or nephew, you think we left you,What the future holds in its sweaty palms,Thank I'm finna vom? Ya move like ya mean it she'll cum,Prom night might excite a down right fight like,White blood cell to the common cold rebel,Night gets jealous of day play is no longer,The feelin gets stronger than Ammonia sticks inhale,Hook:,We just can't be amazed,Even if you pull the pin from your hand grenade ,And we some home-made bombs,Finna blow right up in your face,,Look at the way you look at me I see it on your face,All your hate emanates but you still hesitate,Cause you want inside of my head but don't know how,To brainwash me to be a commercial clown,Fuck that I see the way you were, see the way you smirk I'm catching you ,where you work,God only knows all the trouble that grows,Deep beneath my soul dealing with you assholes,Can I blast those who point the finger at me,Who criticize and talk shit so freely,Fuck XXL you're a size too small,I should hire Eminem so we can kill you all,Whether you live to talk shit about the Real,Then kiss my ass in person how much you love the Hill,I'm the outcast comin to blaze the grass,Outlaw due to my life that's come to pass,Dre, pass me the glass of wine,So I can pour it over my homies grave and mine,For all those who fallen and answered when God was calling,Jump into my ragtop and get all in,I'm the bomb, planted in your car why you frozen,Pop the tape in ignite the xplosion,The world is mine, the world is yours, the world is ours,The world is lost, the world is tossed,We just can't be amazed,Even if you pull the pin from your hand grenade ,And we some home-made bombs,Finna blow right up in your face,,With a one-two punch, B-Real and Andre dropped they verses,Your homeboy Daddy Fat Sax playin clean-up so it worsens,People and persons on the opposite teams oh, yes its curtains,No bullets burpin' oh just lyrically twerking,Making a statement, when you freestyle and your mind is in a free state,Is kinda hard to execute when you ain't feeling it that day,Jumpin the gun and rushing your flow,Babbling on the mikie like auctioneer, got the public's ears,Fucked up can't hear, Atlanta, Georgia where y'all at?,OutKast this Dirty South to death the Dungeon Family Camp,Got this thang lit like stamps and nine-volt battery end caps,Making that music that make your neck hurt,And the beats that bother your back in my Cadillac,Six woofers and four amps, lo pro vogues on swole ,With the carriage lamps diamond tucked velour pistol in my lap,Come in peace but then xplode like booty traps
,
,
"
2000,OutKast,"Want can make a nigga wanna take another nigga life,What can make a nigga wanna do another nigga wife,Life a butter knife,What can make a nigga wanna get his body so high,That can't go to sleep, don't wanna eat,Pray to God that he don't do crack,What can make a nigga wanna cut a beauty queen raw,Feeling every drip drop she can generate imitate seesaws,What can make a nigga wanna fight a whole night club,Figure that he ought to maybe be a pimp simply 'cause he don't like love,What can make a nigga wanna achy, break all rules,In a book when it took a lot to get you hooked up to this volume,What can make a nigga wanna lose all faith in,Anything that he can't feel through his chest wit' sensation
,
,
"
