NO DATE Tha Dogg Pound:Make Dat Pussy Pop,Tha Dogg Pound,",Make dat pussy, make dat pussy, make dat pussy talk {*2X*},,Make dat pussy, make dat pussy, make dat pussy talk {*2X*},,,I like my pussy chopped and screwed, fuck it fast and slow it down,I'm smokin a pound from the A-T-L, get my yay in H-Town,Bottles poppin.. booty poppin,Ass droppin.. hoes topless,Pussy talkin sign language, speakin with her mix,She slide down on the pole like ridin on the dick,Left side her ass go, PUM PUM PUM,Right side go PUM PUM PUM, that's the shit I'm lookin fo',Nigga what? She got a trunk full of ass, she high and drunk,The club packed and throwin money, cause they kinda crunk,Pop it pop it baby... pop it don't stop it,Just drop it baby ,,Make dat pussy, make dat pussy, make dat pussy talk {*8X*},,Let, me, see, that, pussy, talk,Can, you, make, that, pussy, talk?,Let, me, see, that, pussy, talk,Can, you, make, that, pussy, talk?,,Yo, it's Paul Wall,I gotta, go on and lay down the law, I'm well protected I'm never raw,Open up that jaw, lil' momma, go up and down like a seesaw,I came I saw I beat it up, I'm known for makin the bed squeak,My sex game is one of a kind, I'll turn your girlfriend to a freak,My mouthpiece is top notch, I say some words to make 'em moist,As soon as she hear the Champ's voice,She assume the position, of my choice,While I lay the pipe down like a plumber,And beat up, just like a drummer,And if lil' momma is workin with sum'n I beat that thang up all summer,I'm known for makin 'em moan, my body language I speak it well,Put lil' momma up under my spell and when I'm through she run and tell,I hit it good like a porn star, go long and hard, all night,Give knockdown just how you like, I'm Paul Wall and I'll fuck you right,,Make dat pussy, make dat pussy, make dat pussy talk {*8X*},,,Make that pussy pop, make that pussy talk,What that pussy sayin girl, stop fuckin 'round stop playin girl,Now throw it to homey, Dogg Snoop,Act like you know bitch, do what you do,Why you got yo' panties on, yo' girlfriend's in a thong,You don't know right from wrong, blowin balls just like a bong,All up in the club just pussy poppin,She keep lookin at me, keepin her pussy droppin,5-11, bomb shape, lookin at a nigga like it's nothin mayne,Lookin at a nigga like it ain't a thang, fast or slow, off the chain,Got the Paw tattooed on her, he want her, you want her,Tell the bitch just come on over and show me girl, do som'n,She'll have your balls bouncin back and fo'th like tennis,Her pussy's jumpin on and off the pole like a gymnast,We could all get her, set a down stick thick up in her,Tongue skatin 'cross a nigga dick like Mary Lou Retton,Nah girl you better,,Make dat pussy, make dat pussy, make dat pussy talk {*8X*},,{*girl moaning to end*}
,
,
"
NO DATE Tha Dogg Pound:Intro,Tha Dogg Pound,",Welcome, we have been expecting you,Hahahah,,Dogg Pound, are you mothafuckaz ready?,,Yeah,""Like we always do about this time""
,
,
"
NO DATE Tha Dogg Pound:She Likes Dat,Tha Dogg Pound,"Snoop Dogg Talking:,Ladies and Gentelmen,Yeah ya, this is a jazzy-fizzle product-shizzle.,DPGC,2X:Yeah, she likes that,Bust a nut up in her face,Yeah, she likes that,Yeah she likes the way it taste,Yeah, she likes that,We gon' get together n' throw a party on that pussy!,You see she want it all tha time.,Can't stop her from attackin' it,Professional bitch,She loves me when I'm slappin' it,Pussy so wet, no kotex,She wispered in my ear said how much she loves sex ,Yeah, I seen you do that dance,The way you fit ya pants,The way she likes to stand,My dick inside her hand,She got pretty brown eyes,She's a lawyer,Real thick thighs,So I threw the vibe on her,Tell me if I'm dreamin,If so don't wake me up,I like the special feelin,when I get my dick sucked,When that tounge hit that vain,Take away the strain,Put it in ya mouth,Girl why dontcha do ya thang,2 AM,throw a party on that pussy,do it all again,throw a party on that pussy,See, you like a pussy,All the phsyco pussy,all types of pussy,I had some biker pussy,2X:Yeah, she likes that,Bust a nut up in her face,Yeah, she likes that,Yeah she likes the way it taste,Yeah, she likes that,We gon' get together n' throw a party on that pussy!,I said me too,Girl go for broke,Put it in ya mouth,Woncha deep throat?,That D. I. C.,That dick!,Realize baby girls a nasty bitch,P. U. S. S. Y.,Pussy, pussy. pussy,See, you like a pussy,All the phsyco pussy,all types of pussy,I bring the life to pussy,I said yeah she like that,Don't fight that,Whip it in ya mouth,Lil' bitch come and bite that,Chewed it off, gobbled and swallowed it,Turn around, shake that ass,Baby girl wobble it,I see ya lil pretty thong you got on,I know why you keep tryna show my ya phone,I know what's gonna happen if you get close,And what might crack if we behind close doors,2X:Yeah, she likes that,Bust a nut up in her face,Yeah, she likes that,Yeah she likes the way it taste,Yeah, she likes that,We gon' get together n' throw a party on that pussy!
,
,
"
NO DATE Tha Dogg Pound:Don't Sweat It,Tha Dogg Pound,",Can somebody say the West coast?,Heheheh, it's time to get gangsta one time my nigga,Larenz, bring that shit in for me cuz,Yeah... you are now about to witness,The strength, of gangsta music, BEOTCH! {*echoes*},Oh yeah, this is what we does cuz,So all you imitators, get back! Get back! {*echoes*},,Make room for the dope dealer, pimp and the gangsta,I'm a Dogg, baby girl that's my nature,Don't be a stranger, get your head knocked off,Just for bein scary on the contrary what I posess is necessary,From the scratch whip it up, baking soda, yola,It's real here homey and I come from the shoulder,I'm a Dogg Pound original, subliminal criminal,It goes me bein an individual, so invisible,And sensible, thinkin that your shit get thought up,Now you're in a world of heat, that's when you're caught up,Brought up around marks and busters,Ain't no G'ness, this is the reason why I kept it,Daz Dilli', mac milli' stay on deck,With a proper dose, got to connect - you know it's West coast,Home of the gun smoke, now you know,So get your vest homeboy cause we 'bout to blow,,O.G. don't sweat it, on the real don't sweat it,I swear they gon' get it, I swear they gon' get it,I don't know why they said it, but they never shoulda said it,Shoot 'em in the face and leave they ass half-headed,Shells embedded, read it, red it,Lead it, wet it, get it...,Doctors can't save him from gettin it,D.P.G.C. nigga don't ever fo'get it,,Fuck what they said and fuck what you heard,Dogg Pound Gangsta, nigga that's the word,Act like you know us, I know you do,Back, all in your face like BOO~!,The iller killer like Thrilla in Manilla,The D-Roc keep snow like caterpillar,Seems you better duck when the ooh heat rollin,""Anybody killa"" mean everybody DEAD,Get that, for what it's worth,Big guns, big funds represent this turf ,Some scream the West but don't rep it right,So when it's time to step they come steppin light,If they step at all, pow,Lead slide through they thinkin cap, they fall,What you was thinkin cap?,With all that gangsta fantasy in your stinkin rap,,,Nigga, Kurupt - Kurupt's beyond the stars,Ever since 17 when I was liftin cars,Came in this motherfucker just to see who you are,I'm sturdy as mountains, rhymes float like canoes,rivers and fountains, I'm high as eagles,Dogg Pound Gangstas livin life illegal,You want the 9, the K or the Eagle,Either one you choose, niggaz liftin out they shoes,Prayin mayne, it's a war to step in the door,Tentacles stretch across the wall and floor,I'm.. I'm.. I'm off that white arviendo{?},I silence your homies and shatter your windows,Take a look at my secret window,Cause I got a secret your life depend on,Kurupt, Young Hannibal,My mind got me feelin like firin iron,,,Wa-oooh, wa-ooohooh-ooh-ooh,Wa-oooh, wa-ooohooh-ooh-ooh,Wa-oooh, wa-oohhooh-ooh-ooh,Wa-oooh, wa-oohhooh-ooh-ooh
,
,
"
NO DATE Tha Dogg Pound:Thrown Up Da C,Tha Dogg Pound,",Yeah, this goes out to all them gangstas out there,You know what I'm sayin'?,Keepin' it goin' everyday all day,And it just don't stop ,Dogg Pound, K-U-R-U-P-T... D-A to the Z,Soopa-doopa on the beat...,,First thing I do is blaze up a sack,Hit up my nigga Daz like what's todays plans?,Rollin', ridin', or crackin' a bitch,Hittin' switches in the toys, on perk with the twist,,We in a drop-top, platinum 23, sky blue,And got what we got from bein' real and bein' true,And no clue - they never imagined,how the two come back, with Kurupt with a mag',,Daz with the .45 caliber, refuse to lose,Me and my nigga Daz been over the moon and back down,Been on opposite sides and still roam,I missed my nigga, damn it feels good be home,,It's reality check,Live in your face with a semi artillery tec,Dumpin' til' the whole clip's empty,I'm sippin', Daz and Kurupt in a rental,Life is the key of the situation homie,'cause it's drastic and mental, cuz,,Everybody could ,We throwin' up the ,Can't nobody ,D.P.G. ,Drinkin' Henne,Cause they all wanna ,From here to over the ,D.P.G. ,,We got a D.P. picnic poppin', it ain't stoppin',Music knockin', scores of fours hoppin',,Now everybody wave your hands from side to side,And everybody get your pistols if you're ready to ride,D.P.G. ,,That's our terminology,Fuck it 'cause it gotta be, broken off properly,The new and improved Dogg Pound Gangsta crew,Lace your Chucks homies 'cause you're catchin' the blues - onsite,You know my crew love to fight, like a 747 take flight,See it's a cold night, full moon,You know we creepin' round your neighborhood, nigga BOOM-BOOM,,We been through ups, downs, rights, wrongs,Right, left, two step,Rider music, let's ride,Push on, hood slide,I get to thinkin' I guess when I get to drinkin',I do too much - but my homies love me anyway,Back to back, we down to let the semi spray,Chubby Lil' Daz and Trent growin' up with Corday,,,Nickels and nines,Hesitation could make a nigga lose his life,These women can make a nigga lose his mind,All we got is each other, health and time,,See ""I Ain't Mad At Cha"" homie like the homie Makaveli,It's Kurupt Young Gotti, Dat Nigga Daz Dilly,The arsonal is active, flip you up backwards,To killers to gangstas, from criminal jackers,D.P.G. ,,Rider redemption, firin' plastic... nothin' but classics,bumpin' out my motherfuckin' speaker box,Me and Daz, an outcast, heaters cocked,,See we some young niggaz growin' in the life of crime,We crack a nigga from his ankle, chest plate and spine,Them Dogg Pound Gangstas, we one of a kind,And yo Gotti, would you kick it for me one more time?, - 2X
,
,
"
NO DATE Tha Dogg Pound:Hard On A Hoe,Tha Dogg Pound,",A little advice, go hard on a hoe,Nigga quit bein nice and go hard on a hoe,Are you a man or a mice, go hard on a hoe,Shit, everywhere I go I go hard on a hoe,Got you sleepin on the couch? Go hard on a hoe,Shit you need to knock that bitch out, go hard on a hoe,What the fuck you waitin fo'? Go hard on a hoe,Shit, e'rywhere I go I go hard on a hoe,,I put my foot down to the fullest,Goin hard on her doe, straight at'cha goin hard on a hoe,Ain't no warnin no hoe, storm sleet or rain,Feel no pain, no gain, you lame, it's a shame,Don't explain shit, keep my composure,Tame my bitches, while I'm hittin the doja,Strike like a cobra, the game over now,You know the pimpin won't quit and the pimpin won't stop,Cuz that new shit, yeah it's all on a bitch,Fresh candy paint with the spoiler kit,Break a bitch break her ass for e'rythang,I'm married to the game homeboy with no wedding rang,Bling bling! Cuz hit my cell and my chain, engraved with diamonds,You know it's my name, I break the hoe for e'rythang,Just to let you little hoes know...,We go hard on a hoe,,,My cousin Snoop say X, you too soft on a hooker,You need to show yo' teeth like a pitbull, shook her,Cause bitches nowadays got schemes with techniques,And some sucker for love was found in a creek,Sheeit, I don't know but they say Tookie shot him,Some snitch bitch did the red-eye dot him,That's why I feed 'em with a long handled chrome,And make 'em tow the line from June to June,Sure momma I love ya, far as I can throw ya,She leave, I grieve, it's nice to know ya,Never no Captain Sav'n, that's over,And I can use yo' chains to pay for the Rover,Cause if you stay ready, you ain't got to hit,If you cain't follow rules bitch you got to get,All it really takes is, slick conversation,And you can help me when I build my corporation,,,Be-itch! And all she good for is eatin and skeetin,And after the skeetin, the eating's a beating,If the bitch is out of pocket go hard on a hoe,.. I'm tryin to get my motherfuckin shit tight,Get right, so bitch, this is the plan,Meet me over there on the corner of Grand,I treat a bitch like a bitch ,I'ma tell the bitch quick I'm hard on a hoe,Ridin through the strip - hard on a hoe,Bitch you ain't shit I'm hard on a hoe,.. Don't even say a motherfuckin thang,Cause bitch I can't hear what you're sayin,I keep shit crackin like boss up,Niggaz drivin the price of the toss up,.. That's why I stay D'd,And make the bitch keep doin what I need,Here's a little advice,,Go hard on a hoeeeeeeee
,
,
"
NO DATE Tha Dogg Pound:It's Craccin All Night,Tha Dogg Pound,"Every body know that DPG see bad boys runnin,Bad boy ,Bad boy ,Every body know that DPG see bad boys runnin,As we proceed,To give yall what you need,Super powers have united,You know what time it is,Its craccin all night  	,The partys jumping jumpingjumpin,The place pack,Girls round here dont know how to act
,
,
"
NO DATE Tha Dogg Pound:Slow Your Roll,Tha Dogg Pound,",Yeah nigga, this hit is a hustle,Niggaz be hustlin backwards,But they all need to slow down, and get some game first nigga,,Boy you better get some game ,Listen what a nigga sayin.. ,Boy you're 'bout to lose control.. ,This is how you need to roll.. ,The lil' homey got shot,Doin just a whole lot.. ,Cause he just wouldn't listen,Now the nigga dead or the nigga in prison,,Slow down muh'fucker, I think you're movin too fast,You a crash dummy, your parkin leaves you ready to crash,If you ask me, I'll say fuck ya, buck ya I'll come up and touch ya,With them hammers I'll nail you down,I can't tell you hardhead niggaz nothin,'Specially when you come up from nothin and get somethin,It's comatose, I leave you unconscious,I'm a nauseous, street nigga who out to stomp this,With an attitude, you know I got to feud,Allude{?} the fierce motherfuckin nigga cause you so confused,Abuse in battle my tactics,To all you niggaz who be thinkin so plastic,I stay on my grizzy my grind, run my bling every time,I got that good shit because it's hard to find,I stay quick to climb, got my mind on my money,And my money on my mind, nigga all the time, slow down, w/ different ad libs,,Nigga, doin too much out of bounds out of touch,Out of sync out of whack off beat off track,Too much motherfuckin pressure nigga no aim,No focus, no goals, no G in you, no game,Niggaz wanna go get money with no game,Pimpin black bitches and snowbunnies with no game,Got a Chinese bitch that told me 'bout yo' spot,Your whole entire clientele on yo' block,Better watch.. smashin on you busters off top,Two choppers, two glocks,You need to calm down, before you get surround,How much, could I get for a busload of birds,Try to jack me 'fore it get served,Murder currency a word,A trial{?}, house borough and suburb,Calicos with teflon to overlook the curb, slow down, w/ different ad libs,,Come around here, get your head bust over the pavement,No fuck nigga, what the fuck was you sayin,Niggaz around here homey ain't jokin or playin,We runnin niggaz over when the gun be sprayin,Bodies talk, bullshit walk, sidewalks in chalk,The nigga caught slippin cause his ass is hot~!,He movin like a locomotive, now he's dead,Nigga and bangin was the motive, last word spoken,,Bodies gettin stretched from Tacoma to Oakland,On the streets, heartbeat, bang and bust,Just shut the fuck up and take some game from us,I got purple, blueberry, cash and hoes,I got a nickel nigga strip, elbows and toes,Every word that's comin out of your mouth, you showin me 'bout it,Every bird that's comin out of your house, you told me 'bout it,Your mouth, slow it down, nigga hold it down, slow down, w/ different ad libs
,
,
"
NO DATE Tha Dogg Pound:Heavyweights,Tha Dogg Pound," - X 2,Yeah, we can set it straight,Dogg Pound Gangstas nigga, yeah we heavyweights,You got beef, we could set a date,Nigga don't hesitate,Fuckin' with you featherweights,,Let's get ready to rumble,I'm Spud Webb of the game and I'm smackin' down Mutombo,Homie you don't want no - problems with this heavyweight,Shut it down homeboy, yeah like every state,Act bold, talk shit, nigga get K'd away,,We so slick with this criminal shit,Winner with this, hard on a bitch,My fundamentals is swift,It's confidential, our momentum make us ball like a fifth,Little hoe got stopped at the door with the fifth,But we ain't trip, we still slip and slide and ride by high,,No regard to a busta like you,On the streets, on the yard, smash a busta like you,I'ma - peel your paint and slap your bitch,I'ma - push the line and ride and chip,Osama... I'm fiction and fact,And I'll beat the shit outta you and your batch,,Nigga... you know Tha Pound pull triggers,Bitch wanted king size, I give her this nigga,Let her hit the weed then down that liquor,Roll 'em like bats when I smoke that Swisher, - X 2,Yeah, we can set it straight,Dogg Pound Gangstas nigga, yeah we heavyweights,You got beef, we could set a date,Nigga don't hesitate,Fuckin' with you featherweights,,Yeah... if you ain't pushin',get the fuck out the motherfuckin' circle, pussy,Pussy whipped, done lost your grip,Fuckin' round with the bitch that used to fuck with Lil' Chris,I'll make bitches twist like licorice,Gobble on a dick and watch the G's dip down the strip,,Gotta expect to catch a hot one in a second,G'd up because I'm feddish, G'd up because I'm breadish,Cause bullshit niggaz is bad for your health,And ask them niggaz, yeah how did it felt,When we had to take the AK right off the shelf,,I'll put a hole in these bitch boys, real shit boys,Cause we - deep-deep, deep,Motherfuckers know the recipe,Nigga quit stressin' me,Before you be restin' in peace,On the West we OK Corral,Real talk nigga that's how it go down, - X 2,Yeah, we can set it straight,Dogg Pound Gangstas nigga, yeah we heavyweights,You got beef, we could set a date,Nigga don't hesitate,Fuckin' with you featherweights
,
,
"
NO DATE Tha Dogg Pound:Keep It Gangsta,Tha Dogg Pound,"Kurupt: ,Yeah that gangsta shit always bangin',Supafly you sick fa this,We goin' show them how the Dogg Pound Gangstaz bang and rock,Yeah......,Hey Sean let's bang this, turn it up, man,Let me talk ta these niggaz,verse 1: Kurupt,Who you aimin' at, nigga?,You know I got you,Look me up ta find ,You'll neva get away muthaf**ka we after ya,I drain MC's, poetical Dracula,I take away your mind, body, soul and spirit,Vampirin', I mutilate with words and lyrics,I injure with verbs off herbs and spirits,I'm everywhere like germs and spirits,You could here me everywhere, day and night,Like birds and crickets,I got birds worth fourteen tickets,You ain't got no money, no ridaz, no squad or bitches,Quit bullshittin', you ain't gotta lie ta kick it,Rolled up on this nigga like, ""Nigga what up?"",He said, ""Ya name ain't Kurupt, nigga, ya name is Bankrupt"", huh!,First thing I did was just smirked and laughed,I looked over at Daz and then we whoooped his ass!,The present is the present and the past is the past,And ta stay in the present you should learn this fast,Dogg Pound is forever, you should learn this fast,Fo' we flash in a flash, millimeters n' macs, nigga,Chorus:,Daz- Just keep it gangsta,Kurupt- Bustaz banged on, ridaz pushin', that's what you betta do, nigga,Daz- Just keep it gangsta,Kurupt- Cuz if ya don't, the millameters'll spark, and that's the end of the talk, we just...,Daz- Just keep it gangsta,Kurupt- All we know, through the highs 'n' lows is West Coast, muthaf**ka, muthaf**ka,Daz- Just keep it gangsta,Kurupt- Listen ta me, D-P-G-C, a nigga fly cuz I just, keep, it, gangsta,Daz- Just keep it gangsta, nigga!,2nd verse: Daz,Glock 40, grip it tight, AK on the back seat,Don't ask me shit, muhf**kaz don't like me,And you, I don't like you too, so,This is what I'm goin' do,Leave ya ass seasick, just like tha flu,His temperature rise, and analyze and surprisin' you,Niggaz on lockdown feel what I'm kickin',Them niggaz sellin' that weight, yeah, pluck them chickens,Get it like ya give it, give it how ya live it,And when I'm full a that spinach the 20 inches spinnin',When the revolva click back,On the fa-rilla my nigga ya don't want that,A mainside nigga but I'm West Coast'd out,Pistol in my hand and a blunt in my mouth,What is the  amount, nigga?,I'm about them G's,And blastin' on rats, we about that cheese,From a G-ass nigga, behind the mask, behind tha trigga,Layin' 'em down, muhf**ka what you figure?,repeat chorus,verse 3: Lady of Rage,I'm not the Dogg Pound Gangsta crip,But I'm that chick from the Dogg Pound Gangsta Click,And I'm tha chick that'll dog these wankstaz quick,Big body on that Dogg Pound gangsta shit,Now when I go bananas,Ya'll goin' need ta go get tha Sopranaz,Any mob, any gang, wear the blue bandanaz,Goin' let you know I bang straight from the gate,See these flows f**k it up like it was a case a weight, now,In 'n outta state, I,Bend 'em outta shape, I,Wipe 'em off my slate, I,Clean 'em off my plate, I,Squash these kids, eat 'em like sausages,Roll, where my dogz at?,Here's a snausage? Here's a treat,For your appetite of lyrical roughness,The toughtest, bustaz, still ""can't touch this."" ,F**k this shit, ya'll must of forgotten,I still give it to ya like I gave his only begotten, son,Spit mo' shit than a little bit, huh?,But the ,I'm so over pissy drunk,,Cuz lyrically and literally Rage stay strapped,It's big payback, ,If ya feelin' froggish in heat,But I don't just keep doggin' tha beat,Kapeesh? Sweat the the technique that I just freaked,I'm bringin' raw heat, have enough ta cook ya raw meat,repeat chorus
,
,
"
