1994,"Warren G,Nate Dogg","Regulators,We regulate any stealing of his property,We're damn good too,But you can't be any geek off the street,Gotta be handy with the steel if you know what I mean, earn your keep!,Regulators! Mount up!,It was a clear black night, a clear white moon,Warren G. was on the streets, trying to consume,Some skirts for the eve, so I can get some phones,Rollin' in my ride, chillin' all alone,Just hit the Eastside of the LBC,On a mission trying to find Mr. Warren G.,Seen a car full of girls, ain't no need to tweak,All you skirts know what's up with 2-1-3,So I hooks a left on 2-1 and Lewis,Some brothas shootin' dice so I said ""Let's do this"",I jumped out the ride, and said ""What's up?"",Some brothas pulled some gats so I said ""I'm stuck."",Since these girls peepin' me I'ma glide and swerve,These hookers lookin' so hard they straight hit the curb,Won't 'cha think of better things than some horny tricks,I see my homey and some suckers all in his mix,I'm gettin' jacked, I'm breakin' myself,I can't believe they taking Warren's wealth,They took my rings, they took my Rolex,I looked at the brotha said ""Damn, what's next?"",They got my homey hemmed up and they all around,Can't none of them seeing if they going straight pound for pound,They wanna come up real quick before they start to clown,I best pull out my strap and lay them busters down,They got guns to my head,I think I'm going down,I can't believe this happenin' in my own town,If I had wings I would fly,Let me contemplate,I glance in the cut and I see my homey Nate,Sixteen in the clip and one in the hole,Nate Dogg is about to make some bodies turn cold,Now they droppin' and yellin',It's a tad bit late,Nate Dogg and Warren G. had to regulate,I laid all them busters down,I let my gat explode,Now I'm switching my mind back into freak mode,If you want skirts sit back and observe,I just left a gang of hoes over there on the curb,Now Nate got the freaks,And that's a known fact,Before I got jacked I was on the same track,Back up, back up cause it's on,N-A-T-E and me,The Warren to the G.,Just like I thought,They were in the same spot,In need of some desperate help,The Nate Dogg and the G. Child,Were in need of something else,One of them dames was sexy as hell,I said ""Ooh, I like your size"",She said ""My car's broke down and you sing real nice,,Would ya let me ride?"",I got a car full of girls and it's going real swell,The next stop is the Eastside Motel,I'm tweaking,Into a whole new era,G-Funk,Step to this, I dare ya,Funk, on a whole new level,The rhythm is the bass and the bass is the treble,Chords,Strings,We brings,Melody,G-Funk,Where rhythm is life,And life is rhythm,If you know like I know,You don't wanna step to this,It's the G-Funk era,Funked out with a gangsta twist,If you smoke like I smoke,Then you're high like everyday,And if your ass is a buster,2-1-3 will regulate
,
,
"
NO DATE Warren G:So Many Ways (Bad Boys Version),Warren G,"Hey you gon miss up on the g-funk era,Ya know we said things won for warren g, and soon turned superstar,11-10-7 D that was my intro,And now I'm makin dough, I'm rollin a 64,Well things get shady when the grass is greener,Brothas throwin up sets in hoods like ya neva seen a,Young mac daddy do his thing 'cause I pack right,I got 44 ways to make you act right,And it's a shame how the game must be played,It was told never fold by the brothas you can't fade,So raise up on this young hog,'Cause I heard you punkin some but you can't punk me dogg,I got my own thang 'cause I let my beats swing,It ya wanna bring it bring it on no pain to gain,So as I creep can you peep what I speak,Techniques unique, so what you sayin is obsolete,So there it is as I go about my days,I can only bring it to you like this in so many ways,Hey, hey, hey this is Warren G you know,And I was in Baghdad,Before these lil youngstaz was in they Daddy bag,Ya know, yeah, they in violation Wayniac so hound em,I'm bein true ain't no fakin wit me,Brovas plottin on me trynna test if they can see,But I'm peepin out the sain for the peeps who gimme props,For stayin out that madness you know it ain't gon stop,In so many ways I let 'em know,In so many way I let it flow,But you still don't hear me though,So I'm gon break it down 'cause it's quite elementary,This is for da homies in da penetentary,Ab baby papa,Big rotch from the block,And the homey j dogg down 'cause you'ze a hoe,I got plenty love, and homey love stays,I can only bring it to ya like this, in so many ways,Hey, hey, hey this is Warren G you know,And I was in Baghdad,Before these lil youngstaz was in they Daddy bag,Ya know, yeah, they in violation Wayniac so hound em,I stay true to the game,But some stay blind to the fact,That if I don't look good, you don't look good,So please rearrange and change the things you doin,You playin yourself 'cause you the one gettin screwed,As i, ease on down the rick road,As I shift from first to second, cruise control,So spark up the doujer,'Cause I got the drink, and don't think that,We don't roll without a full tank,Of that bomb that we called the funk,'Cause I am the g and the funk is what you want,Now lets take a trip to the other side of town,Brothas flip flop and they neva stay down,Wanna be all they can be, but gettin held back,Tryin to take what is mine what type of lick is that,So this is for the homies stay down for your pay,I can't only bring it to you like this in so many ways,Hey, hey, hey this is Warren G you know,And I was in Baghdad,Before these lil youngstaz was in they Daddy bag,Ya know, yeah, they in violation Wayniac so hound em
,
,
"
NO DATE Warren G:Signs,Warren G,"In December every sign has it's own mode,I was in love with a Sagittarius,See the emotions he put me through,From Capricorns to Aquarius ,They all got their different minds,The affection of a Virgo,Which sign matches good with mine,I was in love with a Sagittarius he blew my mind,He also had a flip side too much like a Gemini,He was freaky like a Taurus the way he handled me yeah,Flirtatious like and Aries ,Which sign is best for me?,Capricorn Aquarius Pisces Aries Taurus Gemini Cancer oh!,Leo Virgo Libra Scorpio Sagittarius,I love all y'all,Capricorn Aquarius Pisces Aries Taurus Gemini Cancer oh!,Leo Virgo Libra Scorpio Sagittarius,I love all y'all,I wish he was a Virgo, the same sign as me,And know how to show me love, cause I've been hurt by a Pisces,REWIND,I wish he was a Virgo, the same sign as me,And know how to show me love, cause I've been hurt by a Pisces,I want him sexy like a Scorpio,The way he holds me close yeah,Sensitive as a Cancer,Every sign from coast to coast,Capricorn Aquarius Pisces Aries Taurus Gemini Cancer oh!,Leo Virgo Libra Scorpio Sagittarius,I love all y'all,Capricorn Aquarius Pisces Aries Taurus Gemini Cancer oh!,Leo Virgo Libra Scorpio Sagittarius,I love all y'all,I can't explain why I love him,Bossy like Leo's do,Got game like an Aquarius,Switch moves after he's been with you,Fun like a Libra,He stays on my mind,He's so unpredictable,He reminds me of every sign,Capricorn Aquarius Pisces Aries Taurus Gemini Cancer oh!,Leo Virgo Libra Scorpio Sagittarius,I love all y'all,Capricorn Aquarius Pisces Aries Taurus Gemini Cancer oh!,Leo Virgo Libra Scorpio Sagi
,
,
"
1997,Warren G,"Ricky: say man, how many lumps do you want? ,- whatchou mean how many lumps I want? ,G-child: say man, I'm gonna lump you right upside your funk. man!,Ricky: you lump me, i'ma lump yo ass right back.,- man, well you better do yo thing then, cause I'm bringin' the real.
,
,
"
1997,Warren G,"Ricky: Say man, how many lumps do you want? ,- Whatchou mean how many lumps I want?,G-Child: Say man, I'm gonna lump you right upside your funk.  Man!,Ricky: You lump me, I'ma lump yo ass right back.,- Man, well you better do yo thing then, cause I'm bringin' the real.
,
,
"
NO DATE Warren G:Ricky G - Child,Warren G,"Ricky: say man, how many lumps do you want? ,- whatchou mean how many lumps I want? ,G-child: say man, I'm gonna lump you right upside your funk. man!,Ricky: you lump me, i'ma lump yo ass right back.,- man, well you better do yo thing then, cause I'm bringin' the real.
,
,
"
NO DATE Warren G:So Many Ways (Clean Version),Warren G,"Hey you gon miss up on the g-funk era,Ya know we said things won for warren g, and soon turned superstar,11-10-7 D that was my intro,And now I'm makin dough, I'm rollin a 64,Well things get shady when the grass is greener,Brothas throwin up sets in hoods like ya neva seen a,Young mac daddy do his thing 'cause I pack right,I got 44 ways to make you act right,And it's a shame how the game must be played,It was told never fold by the brothas you can't fade,So raise up on this young hog,'Cause I heard you punkin some but you can't punk me dogg,I got my own thang 'cause I let my beats swing,It ya wanna bring it bring it on no pain to gain,So as I creep can you peep what I speak,Techniques unique, so what you sayin is obsolete,So there it is as I go about my days,I can only bring it to you like this in so many ways,Hey, hey, hey this is Warren G you know,And I was in Baghdad,Before these lil youngstaz was in they Daddy bag,Ya know, yeah, they in violation Wayniac so hound em,I'm bein true ain't no fakin wit me,Brovas plottin on me trynna test if they can see,But I'm peepin out the sain for the peeps who gimme props,For stayin out that madness you know it ain't gon stop,In so many ways I let 'em know,In so many way I let it flow,But you still don't hear me though,So I'm gon break it down 'cause it's quite elementary,This is for da homies in da penetentary,Ab baby papa,Big rotch from the block,And the homey j dogg down 'cause you'ze a hoe,I got plenty love, and homey love stays,I can only bring it to ya like this, in so many ways,Hey, hey, hey this is Warren G you know,And I was in Baghdad,Before these lil youngstaz was in they Daddy bag,Ya know, yeah, they in violation Wayniac so hound em,I stay true to the game,But some stay blind to the fact,That if I don't look good, you don't look good,So please rearrange and change the things you doin,You playin yourself 'cause you the one gettin screwed,As i, ease on down the rick road,As I shift from first to second, cruise control,So spark up the doujer,'Cause I got the drink, and don't think that,We don't roll without a full tank,Of that bomb that we called the funk,'Cause I am the g and the funk is what you want,Now lets take a trip to the other side of town,Brothas flip flop and they neva stay down,Wanna be all they can be, but gettin held back,Tryin to take what is mine what type of lick is that,So this is for the homies stay down for your pay,I can't only bring it to you like this in so many ways,Hey, hey, hey this is Warren G you know,And I was in Baghdad,Before these lil youngstaz was in they Daddy bag,Ya know, yeah, they in violation Wayniac so hound em
,
,
"
NO DATE Warren G:Relax Your Mind,Warren G,"Its that nigga gz wheez,Back for the 9-c,I ex sippin on the yak so people wanna know what's next,Ain't nuthin changed, another day a new time,With this uptempo beat with the g-funk rhyme,Regulatin state to state, coast to coast,Its all about the call of greens, yak, lets toast,'cause it's a ballin society,I try to be the dopest I can be in this industry,But you don't hear me,I think ya betta, I think ya betta,'cause when i, get it goin on I ain't gonna let up,I set up, the g-funk family and we,Funkin up the industry until eternity,Its alright with you if it's alright with me,,We'll get down to the sounds of the lbc,Chorus: repeat 2x,Relax your mind, your mind, your mind,Relax your mind and let your conscious be freein you down,To the sounds of the warren g,It ain't easy bein gz,But the lifestyle I chose, the status to which I rose,The doors, I open, I'm loccin, I'm scopin,Through the eyes of the g child,I see many try to duplicate the lbc style,But it ain't even happenin like that,I was time I had to make a comeback,And get mine, you know I'm genuine,Been in motion with the potion with snoop since 89,Devotion is the key for me so,,Relax your mind and let your conscious be free,The homey just touched down, foolin wit a pound,Put yo gun down, so you can walk a safe ground,Chorus: repeat 2x,I know it's been hard on you for about two, so,I had to relax your mind, I thought you knew,Ain't nothin but a long beach party,With yo hands in the air, with the twist of coke and bacardi,All the homeys around and the slingshot t-shirts,Skirts wit the baby fat it'll work,Pass me the indosmoke and get locced,From the beach to the bay, makin them sway,Like the ocean in motion, we coastin,Relax your mind and keep floatin ,And walk a safe ground,Chorus: repeat 6x
,
,
"
NO DATE Warren G:Regulate (Michael Mcdonald Remix),Warren G,"WARREN G:,It was a clear black night,a clear white moon,Warren G was on the streets ,trying to consume some skirts for the G,so I could get some funk,rollin' in my ride,chillin all alone,NATE DOGG:,Just hit the eastside of the LBC,on a mission tryna' find Mr Warren G,seen a car full of girls,ain't no need to twee,girl you skirts know whats up with 213,WARREN G:,So I hooks a left on 21 a Lewis,some brothas shootin dice so I said 'lets do this',I jumped out the ride,and said 'whats up',some brothas pulled smoe gats so I said 'i'm stuck',NATE DOGG:,Since these girls peepin me,Ama glide and swerve,these hookers lookin so hard they straight hit the curb,wanna think of better things than some horny tricks,I see my homie and some suckas all in his mix,MICHAEL MCDONALD:,I keep forgettin we're not in love anymore,I keep forgettin things will never be the same again,I keep forgettin how you made that so clear,I keep forgettin,NATE DOGG:,I laid all them bustas down,I let my gat explode,now I'm switchin my mind back into freak mode ,if you want skirt sit back and observe,i just left a gang of hos over there on the curb,WARREN G:,Now Nate got da freaks and thats a known fact,before I got jacked I was on the same track,Back up, Back up, cause' it's on,N-A-T-E and me the Warren to the G,MICHAEL MCDONALD:,I keep forgettin we're not in love anymore,I keep forgettin things will never be the same again,I keep forgettin how you made that so clear,I keep forgettin,Everytime I......,NATE DOGG:,Just like I thought they were in the same spot,In need of some desperate help,the Nate Dogg and the G child were in need of something else,one of them dames was sexy as hell I said 'ooh I like your size',she said 'my cars broke down and you seem real nice would ya,let me ride',I got a car full of girls and it's goin real swell,the next stop is the Eastside Motel,WOMAN/MICHAEL MCDONALD:,I keep forgettin we're not in love anymore,I keep forgettin things will never be the same again,I keep forgettin how you made that so clear,I keep forgettin,WARREN G:,I'm tweaking into a whole new era,G Funk step to this I dare ya,Funk on a whole new level,NATE DOGG:,the rhythm is the base and the base is the treble,WARREN G:,chords, strings, we brings melody, G Funk where rhythm is life,and life is rhythm,WOMAN/MICHAEL MCDONALD:,I keep forgettin we're not in love anymore,I keep forgettin things will never be the same again,I keep forgettin how you made that so clear,I keep forgettin,
,
,
"
NO DATE Warren G:My Momma (Ola Mae),Warren G,"Yo I wanna take this time out to dedicate this song ,to one of the most beautiful ladies in the world,could never imagine,Yeah, Ole Mae, that's my momma, y'know,To one of the most beautifulest ladies in the world,I love ya momma, keep it strong for ya,Chorus: repeat 2X,My momma, used to tell me quit smoking weed,My momma, gave me everthing I need,My momma, said keep faith in God,My momma, momma, momma, momma, momma,,From the beginning, soon as my feet touched the earth,For what it's worth, she loved the boy from birth,Kept me fed, combed my head,and tapped that tail when I didn't do what she said,Through the years comin up momma always provided,And when the times got rough momma always tried to hide it,Divide it among us, but pardon the youngsters,Told us never to lie, smoke dope, and cuss,She stood tall and proud like a supermodel on a catwalk,And momma didn't take no back talk,She's the main reason why I roll today,That's why I dedicate this to Ole Mae,That's my momma,Chorus,,As a young teenager I started to clown,My momma did all she could to try to slow me down,Tired of her son be brought by the cops,Sent to go stay with my pops,He taught me to be my own man, and when I disrespected ,he put me out on the streets to find my own land,Now I'm servin on the urban street corner,Smokin bud, sippin Coronas in Long Beach, California,But I promised my momma I would make it to the top,And use this rap to put her in the drop,She the main reason why I roll today,That's why I dedicate this here to my Ole Mae,Chorus,,As I grew up, blew up in the G-Funk Era,I see my momma everytime I take a look in the mirror,I'm thankful she gotta chance to see me shine,My momma's in my heart and my soul and mind,Controllin mine, so I can stand strong,For ya grandkids to let em know that ya spirit lives on,I really miss you, but I know ya looking over,Lead me on the right track, the angel's on my shoulder,Chorus,,So I want y'all to treasure ya mom,Ya know, so if y'all got a bad relationship,or y'all on bad terms, patch it up,Ain't nothing wrong with that,Thats a precious jew-el,Remember that, we all gotta go through it,So stay strong, down dis, dis road, ya know,But I cant forget about all the poeple,Out there that I love, and got my back,So I'm gonna go ahead and im gonna shoot a shout out,My daddy, my sistas, my brothers, my girl, my kids,my cousins, my aunties, my uncles, my grandmomma,my granddaddy, all my homeboys, all my homegirls ,and everybody out there that got love, knowwhatI'msaying?,We gotta keep it like that, we gotta keep it groovin
,
,
"
