album,artist,lyrics,title
Get Rich Or Die Tryin' (2003),50 Cent,"New York City...,You are now rockin with 50 cent..,Are you ready?,(Gun click),I said are you ready?,See you wit me nigga?,DROP DEAD.,(mumbles:) Paid for a hooptie but I wanted a drop,""G UNIT"",""Somthin new"",I'm not that nigga in your video,I'm not a trick I don't love the hoes,and Niggaz know, I be on the low,but I miss my dawg,and I twist my drawer,I'm not that nigga that you think you know,I walk around with a big fo-fo,You front on me I'm gone get at your dawg,I be at rite are your crib, right at your door,What up 50?,Coming up I ain't have much, but I wanted alot,I had paper for a hoopty but I wanted a drop,so you know, I had make somthing outta nothin,Like turn an empty spot into a crack spot pumpin,im so hard at nine-teen I bought a benz, I did.,The older niggaz really wasn't feelin the kid,Try to find where I live so they could run in my crib,but you can't hustle a hustler I peeped it and slid,Back then, Niggaz used to call me bo,At six months I told them ""Million go tops on Gar-bo"",Country came around, hes into clappin,country left, same shit started happening,Like ""He shot rob for some ends, rob shot joe for some skins,,Cory shot drew and we was friends, money turned boys into men,The cycle never changes, shit just starts again..,""naw nigga, ain't nuthin changed nigga,,yea I've been gone for a minute, but I'm BACK!"",(damn 50 it's good to see you back in the hood),you see my cherry red SL nigga I'm doin good,sometimes I can't find the words to say how I feel,so, I take a quote from menace ""LOOK AT THE WHEELS!!"",I'm addicted to stuntin, now that I'm holdin something,,I got a trunk full of guns from VA to ?,(oh will you let me hold something?),nigga you high or something? I don't play games I'm,bout my money nigga buy something!,I got a few 5ths, I got a few 9's,,Here nigga take one...,""yea, don't ever say I don't do nothing for you nigga,,you kno don't say I didn't look out for you. KnowhatImean?,But make sure nigga that you go catch some jokes,when you come back you gonna have my paper for that thang thang knowhatI'msayin?,I don't want it back, don't try to use it then give it back to me,Cuz I ya'll niggaz now, runnin around sayin ,""50 getting all this rap money and he won't help us"" ha ha...,Sit tight nigga I'm comin! You know? New shit!!!,All the shit I put out on the mix tapes is for the mix tapes,I got a million... ,... ,OH MY GOD!! My shit is so hot right now I'm in the zone
,
,
",50 Cent:Intro
"No Mercy, No Fear (2002)",50 Cent,"(50 Cent and DJ Whoo Kid talking),(Hook),(I'm a soldier) G-UNIT! I started my own gang,(I'm a soldier) G-UNIT!,(I'm a soldier) G-UNIT! I started my own gang,(I'm a soldier) G-UNIT!,(50 Cent),It's a fact homie, eagles don't fly in flocks,But the eagles I got own sixteen shots,Like beefin', homie I ain't sayin' a word,I'll run up on your punk ass squeezing the bird,Now what New York niggas know about country grammar,Not much, but we know how to bang them hammers,When I pull out that thing, you better break yourself,Or win a trip to ICU, and you can take yourself,If you lucky motherfucker, I'm solider I told ya,Push ya shit back, put my knife through ya six pack,Gat bust, adrenaline rush, blowin' the dust,Five point O, burnin' the cluth, while I'm burnin' the dutch,You thought them other niggas was hot, I'm turnin' it up,This the blueprint, nigga are you learnin' or what,You done told me you respect me, now tell me I'm the nicest,Admit it nigga, I'm a mid-life crisis,(Hook),(I'm a soldier) G-UNIT! I started my own gang,(I'm a soldier) G-UNIT! (I got the rep of a villian, the weapon concealin'),(I'm a soldier) G-UNIT! I started my own gang,(I'm a soldier) G-UNIT! (full of controversy until I retire my jersey),(Lloyd Banks),It's like niggas rate the respect of who gat bigger,Banks been blowin' on purple stuff before that fat nigga,Henny's make dollars, and dollars make death threats,I'm doin' remixes to bulletproof the Lex next,Duck nigga, everdays war,I'm heavy on sports, to my draw like NBA's store,Don't make me send the piece at you,I'll have your man walk around with another rest in peace tattoo,Look creampuff, you can get killed here,Nigga you ain't invincible, even Superman in a wheel chair,I've always been a picky man, but I ain't a flowered star,So I'mma fuck all fifty fans,Look, whether you like it or not, right in ya spot,All in your grill, wearin' the crown, airin' em down,We're in the pound puttin' fare in the clown,I'm running with gangstas, don't make one of em shank ya,(Hook),(I'm a soldier) G-UNIT! I started my own gang,(I'm a soldier) G-UNIT! (I got the rep of a villian, the weapon concealin'),(I'm a soldier) G-UNIT! I started my own gang,(I'm a soldier) G-UNIT! (full of controversy until I retire my jersey),(Tony Yayo),I'mma ride with my rap shit and my body armor,Ride like a Taliban suicide bomber,Four five six feet, I off ya feet,I kill ya with a pillow when you fall asleep,Your records can't sell, your company is buyin' em,Give it up, Burger King is hirin',You shoulda been a cop, cause you snitch a lot,Talkin' to the jakes, you bound to get shot,I used to watch Big Bird and Scooby Doo,Now I'm choppin' big birds and them bundles too,For that Master P money, that shoppin' spree money,That coke, that dope and that ecstasy money,I'm tryin' to build empires across the state line,So move like vampires, never see me in the daytime,I jump out with a nina and a mack,I have you like Khia, my neck, my back
,
,
",50 Cent:Soldier
,50 Cent,"(chorus),When you frown at me is it because I wont provide for you girl,your after me cheddar,And you friends they see it to screaming we know what your up to do girl,I'm after my cheddar,(50 cent),I gave you your style Gucci this Fendi that,Burberry bag shoes and the hat to match,I like the way it look but bitch I aint buying that,I hate to be the bearer of bad news but no more Prada shoes,When I just wanna chill you wanna go out,See me parle with some other chick you wanna show out,You say I'm wrong when I dog yo ass like I should,now you reminisce about all the time I treated you good,(chorus),(Lloyd Banks),when you think about me grinding my fans,You even got more watch on but it's to much time on your hands,They say behind every good man is a woman,So tash pull up stash the cannon linen,I'll never be your chofuer to the mall,You'll learn to appreciate cd's and posters on the wall,fatal attractions is mad real,Last bitch I deaded got mad and swallowed 50 Advil's,(chorus),(Tony Yayo),They say money make the world go round,Material things make a hoe go down,I see you in your Prada Gucci and BCBG,Bitch I'm rich but I don't trick on GP,That's 5 dollar dresses and 10 dollar skirts,Bitch play the strip and put in work,Birds wanna have my baby since I signed my contract,Now I got to double up in case the condom snap,(50 cent),Look don't ask me for shit man,I aint got nothing for you man what?,Bitch what the f**k you mean I can't sing bitch,Bitch I'm Luther Vandross in the shower,G-UNIT!
,
,
",50 Cent:After My Chedda
"No Mercy, No Fear (2002)",50 Cent,"Yea, we over here, with some fat chicks, haha,(50 Cent),Yo, I don't be fucking with them fat bitches,That's Yayo, all the fat bitches,(Chorus),Don't be stuck on the things they say, now you know it's a nasty world,I ain't fucking with you anyway, 'cause I know you're a nasty girl ,I ain't ever gonna discriminate, so let me compliment your eyes ,(50 Cent),Fat, fat, them Snickers got your ass getting fat, fat,Those cookies got your ass getting fat, fat,That Cake got your ass getting fat, fat,Bitch you grown, that ain't baby fat, fat,(50 Cent),In the gym I see your ass up on the Stairmaster  ,But you got it on level two bitch go a little faster ,Look girl, I ain't gonna lie, I'll tell you how I feel ,They should handcuff your big ass to the treadmill ,You wanna work out now, 'cause you know it's getting hot ,And your big ass fitting to pop all up out a halter top ,Find a right chick wearing some tight shit and it's on ,See your ass wear some tight shit we like, ""She wrong"",(Chorus),Don't be stuck on the things they say, now you know it's a nasty world,I ain't fucking with you anyway, 'cause I know you're a nasty girl ,I ain't ever gonna discriminate, so let me compliment your eyes ,(50 Cent),That Burger King done got your ass fat, fat,McDonald's done got your ass fat, fat,That Domino's done got your ass fat, fat,Fat, Fat,(Lloyd Banks),I like 'em slim in the waste,Curves in the right place,A bitch with hips, lips, and a tight face ,Your appetite will put a dent up in a nigga's salary,You need to stop burning that weed and burn them calories,Your attitude is like you always had gear,You got a ponytail, you ain't always have hair ,I just love to see your capris coming down, mami leave,On the town, stay away if you 300 pounds,(Chorus),Don't be stuck on the things they say, now you know it's a nasty world,I ain't fucking with you anyway, 'cause I know you're a nasty girl ,I ain't ever gonna discriminate, so let me compliment your eyes ,(50 Cent),Fat, fat, them cinnasticks got your ass fat, fat,Them Little Debbie's done got your ass fat, fat,These cupcakes done got your ass fat, fat,Fat, fat,(Tony Yayo),I ain't gonna trip, I hang at the bar with my wallet,I'm freaking off in your car or your closet,And ain't nothing wrong with a big, strong girl,If you could cook your ass off, I'll give you the world,You could be skinny or fat, white or black,Nigga pussy is pussy, so yea, I'll hit that,I'm a freak, so I love menage a trois,And I really care less if you twice my size,(Chorus),Don't be stuck on the things they say, now you know it's a nasty world,I ain't fucking with you anyway, 'cause I know you're a nasty girl ,I ain't ever gonna discriminate, so let me compliment your eyes ,(50 Cent),Them Snickers got your ass getting,Those cookies got your ass getting fat, fat,That Cake got your ass getting fat, fat,Bitch you grown, that ain't baby fat, fat,(50 Cent),Stay the fuck away from me, fucken fat bitch,Fuck with Tony Yayo ho,Uh, oh, stop, don't you touch me,I mean this shit ho
,
,
",50 Cent:Fat Bitch
"No Mercy, No Fear (2002)",50 Cent,"Funk Flex,Yeah, G-Unit,You understand whats about to happen?,huh .. huh? (do you understand?),Nigga guess who's bizzack,It's not Beanie Sieg' or Jay-Hov',50 Cent y'all niggas should know,Don't make me relapse,Run up on your ass with the fo',You punk nigga I done told you before,Fuck being in a cage, man that shits for the birds,I do my dirt in the hood, but I live in the burbs,When you talk be careful how you choose your words,Cause I send niggas to put ya fuckin brains on the curb,Am I my brother's keeper? Yes I am,Nigga you know they gettin low you see that gun in my hand,G-Unit - don't go fuckin with my soldiers, boy,Get laid out, im'a say I told you boy,See you rollin with 20 niggas, we rolling with 20 guns,16 hollows is loaded in every one,I know you slow, so,I do the math thats 320 shells flyin at your ass (ha),You spend a lot of time talkin about how you ball out,When u get hit you gonna run and bleed till u fall down,I guess you didnt think we was down to go all out,One second, you was wrong,You ain't on the shit we on,My money getting long,Now my team getting strong,I'm gone,Gone,Nigga guess who's bizzack,It's not Beanie Sieg' or Jay-Hov',50 Cent y'all niggas should know,Don't make me relapse,Run up on your ass with the fo',You punk nigga I done told you before,Nigga guess who's bizzack,It's not Beanie Sieg' or Jay-Hov',50 Cent y'all niggas should know,Don't make me relapse,Run up on your ass with the fo',You punk nigga I done told you before,... 50 cent,And I'm back to act up so strap up,Funk Flex,Kingpin style,Ya heard me,C'mon, c'mon,Make me cut something,Make me bust something,C'mon, c'mon,I want you to,C'mon
,
,
",50 Cent:Funk Flex
"No Mercy, No Fear (2002)",50 Cent,"(male sings in background, which repeats the last word on every other line during 50 Cent's verse; then says ""body"" throughout Banks & Yayo's verse),(50 Cent),Ga ga G-Unit! (body) haha, yo, yo,I need no introduction, everybody (body),Heard of 50 Cent, and heard of G-Unit,I'm not high-tech and I'm not Pradi (Pradi),You see me in the club,You better tell the bouncers to treat me special, I'm somebody (body),Cause I get on that jet, in 5 minutes flat,Niggas'll come back, shoot up your party (party),If I don't have fun, nobody havin' none,I'm tryin' to holla at ya, come here shorty (shorty),Shout out to my nigga Juvie, whack goes here buck,My niggas from New Orleans, wodie (wodie),If we on the same page, when you see me on stage,You gonna throw your hands up, and you gonna applaud me (plaud me),You know how I get, I'm still on that bullshit, nigga, nigga,(Tony Yayo),I run around with the trey (body) pound like its a sport,And call my name in the bench, while I sit in court,I got a million dollar smile (body), and a fist full of pesos,And the wrist so icey, it could light up a stage show,In the club (body), nigga I stay holdin',Cause I'm on point for them wolves, and sheep clothin',I play the bar (body), with a double shot of Henny,Cause after this spot, its cheaters, and envy,(Shorty if you feel a nigga, call me) (body),(Lloyd Banks),Yeah, Banks, yeah,Look you ain't got to like me, that's (body) cool, I don't give a fuck,Clowny time ain't gonna put me in a bigger truck,Fuck kids, it (body) ain't my turn to be stressed,A bitch worse nightmare is a paternity test,I'm too young to be faithful (body),If money, means love, I hate you,I only trick on the first of April,Holla at me, if you thugged (body) out shorty ready to fight you,Dice, roll a blunt, and pull the snub out for me,And if your not don't even (body) call me,(gun shot fired, yelling)
,
,
",50 Cent:E.M.S
"No Mercy, No Fear (2002)",50 Cent,"[ Intro - 50 Cent talking ], You know Clue man, I'm tryin' to holler at this bitch right and I'm like, yeah, I told her I write music for a living, And she's like need I say yeah, my name is 50 Cent, And she said ""oh you 50 Cent, you know I love your music, I listen to DJ Clue, I hear your music all the time"", And I'm like yeah, this bitch on my dick, I love this music shit, man, this shit is the shit right here, man, Hey yo, but I seen you in that black Escalade, Clue, And I seen your boy Skane in that silver 745 boy, Man, ya'll playin' hardball like a motherfucker, See me I switch up hoopties cause niggaz play me, just to shoot me, You know how it is in the hood, ,Dead men don't hear no applause, Don't men don't go off on tours, Dead men don't accept no awards, 50 that thought you was dead kid, kid, ,[ Chorus - 2X], 50, it's 50, it's 50, motherfucker, I'm back, I'm back, I'm back motherfucker, Niggaz thought they got me, 9, 9 shells couldn't stop me, I ""Hit 'Em Up"" worse than Pac, watch me, ,[ Verse 1 ], I don't hesitate to pull out the burnin' nigga, I stick my snub nose in shit, that don't concern a nigga, I'm the reason that Coupe, ain't got no top, I'm the reason that Rouger, ain't got no shots, And when I squeeze, I tend to keep on squeezin', If your lucky, you can run, and keep on breathin' (yeah), When my knife hit ya windpipe and you start wheezin' (huh), You put your hand over the hole, and it gonna stop the breathin' (woo), I am what I am, and I ain't gonna change, My 5th clip loaded to the tip, I'll blow out ya brains, Trust me, I'm not what you used to homie (grrr), You little faggot, I'll tell ya fuckin' boss to blow me (uh huh), I'm puttin' pressure on you, you payin' the pump (yeah), About to die like a man, but you live like a chump (uh huh), I only walk wit a limp, when I walk wit a pump, I can't wait to see you scatter, when I pull out and dunk ya (TAKE THAT), ,[ Chorus ], 50, it's 50, it's 50, motherfucker (uh huh), I'm back, I'm back, I'm back motherfucker (I'm back), Niggaz thought they got me, 9, 9 shells couldn't stop me, I ""Hit 'Em Up"" worse than Pac, watch me (do it up nigga), ,50, it's 50, it's 50, motherfucker, I'm back, I'm back, I'm back motherfucker (uh huh), Niggaz thought they got me, 9, 9 shells couldn't stop me, I ""Hit 'Em Up"" worse than Pac, watch me, ,[ Outro - 50 Cent talking ], This time, I'm gonna hit 'em harder (harder, harder), This time, I'm gonna hit 'em harder (harder, harder), 50 Cent (50 Cent), G-Unit (G-Unit), DJ Clue (DJ Clue), Early (Early), (Yo I'm over here chillin' wit my man 50 Cent) (50 Cent), Damn, (we both from Queens), That's hot man, rewind that (you know what I'm sayin'), (Hey, ya'll niggaz cannot stop Queens) (WOO)
,
,
",50 Cent:Clue Shit
"No Mercy, No Fear (2002)",50 Cent,"[50 Cent],Now play my Tony Yayo shit,Yeah, 50 Cent,G-Unit,Remix,Tony Yayo,We gonna do it again,[Hook: repeat 2X],Back seat of the Caddy truck or Tahoe,Back seat of the Benz truck or Expo,Back seat of X5 or Range Rov',So when I pick you up, you know how this shit go - hoe,[Tony Yayo],Hey yo, my truck talk for me,If I was bummy and ugly,Your bitch'll still have love for me,As long as I push a truck, rims chunky,Never open my lips, your bitch wanna fuck me,Beep the air horn, hop in turn the heat on,Pick you up off the streets get your feet warm,She giving sex cause the Lex truck takes unleaded,Big thick thighs, eyes browner than Sahara deserts,Deuce-Deuce, bitches, yeah they caught your eye,And them loud system full of bass and highs,You see that X5 BM,Packed with Puerto Ricans,Bad mommies on the low, just creepin,Niggas be frontin like they bubbling coke,But they really struggling with a high car note, ha ... (YEAH),[50 Cent],Might see me in the Jeep,Rollin' 'round 4 deep,And you know we on the creep,Nigga, I'm holdin' it,[Hook],[Tony Yayo],Back seat of my truck lets swing an episode ,Fuck a hotel we have sex on the road,I pull the seats back,Put the sheets in the luggage rack,Pull out my balls,And play an Aaron Hall track ,I tell a chick ""Bend over, mami"",Hit 'em with the Henny Dick,Now my windows foggy,Its time to party, I got TV's, CD's and DVD's,Now bitch, get on your knees,You could be a model chick or a silly hood rat,Don't cum on my leather, don't stain my floor mats,Where's your baby mama?,She in the truck and I'm blessin her ,Undressing her,Make hop out for air re-freshener,I ain't stressing her,'Cause my rims keep checkin her,She's 21, my rim size older than her,TWENTY TWO'S,[50 Cent],Niggas say they want beef,But when they see me in the street,They don't slow down to speak ,'Cause they know I'm holdin ..,[Hook]
,
,
",50 Cent:Back Seat/Tony Yayo
"No Mercy, No Fear (2002)",50 Cent,"Yo, niggas be askin me ""yo 50 who you got beef wit?"",I'm a tell yall niggas who I got beef wit,I got beef wit any nigga I can't make no money wit,If I can't make no money wit you, fuck you nigga,G-Unit nigga, thats whatsup cause I said thats whatsup,(Tony Yayo),I get money, money I got,so its a 100 grams or better when I'm going to cop,I never hold the toaster cause I use my little soldier,And my down bitch as a holster, like I'm supposed ta,heavy pistol sales for living,my gun rip through lungs and tear through tissue,while I'm out for the ends, you out for a rep,thats the same thing that have yo mama in a black dress,see me in a black lex, hard-top,My mink drop-top, fresh out the carlot,I got the gift of raw pugilist speeches(?),So I'm gon sell like the box office features,Niggas in the hood can't see G-UNIT!,but deep in they heart they wanna be G-UNIT!,cause we got them three b's: benzes, burners and bitches,and plus we on the road to the riches,(Chorus: repeat 2X),You can say what you want about me,As long as you don't get in the way of my money,Cause all that talking shit to me played out,Nigga keep bumping your gums you get laid out,(Lloyd Banks),Lately I been going through a phase,Hope they aint tap the phones,Cause we got pumps the size of saxophones,Therefore I'm on the move with the squad,I'm stingy as ever, known to trick fast food on a broad,Picture me putting jewels on a broad,I'd rather put shoes on the car,A pool in the yard,You don't really wanna fool with the god,Nigga my front line long enough to fill two boulevards,In this game, you only make it far if you loyal,And if you grew up with your mother and your father you spoiled,Why swing, you gotta be strapped to get rid of me,Ill leave you in water like the statute of liberty,Tryin to be cool,Blowin green that strong enough to make a white boy open fire on a school,Keep rappin for your hood, I'm rappin for benzes,And long assault rifles with straps on the lenses,(Chorus),(50 Cent),Yall niggas gotta learn from me (Yeah!!),What I learned from Gotta Rock and Spank G (Un-Huh),Yall niggas gotta learn from me (Yeah!!),What I learned from watching Brucie B,Look, I shot the sheriff,And nigga if you get too close yo punk ass getting shot,Here's the plan, I'm a keep stackin my ends,Till I'm on airplane seats in the Maebach benz,I'm all about the chips,I done took them trips,22's on the 6,26 on the bricks,And them outta town niggas, I'm chargin yall more,I tapdance on the shit I aint servin it raw,You sell smoke, look nigga I got what you need,But it aint goin cheap I got mouths to feed,Niggas always sayin damn 50 you bugged,Cause I got hoes giving niggas the date rape drug,Gimme his watch and his chain,We not the same, he a lame,He want pussy I'm bout my money man,Crap table in Vegas had his bitch on my dick,Threw a 7 so many times they thought the dice was fixed,Yo its 50, when your mindframe change and start to rearrange,I'll see you another day motherfucker it's 50,Shots 'til your heart drop and freeze up, ease up motherfucker,(Chorus)
,
,
",50 Cent:Say What You Want
,50 Cent,"[Intro - 50 Cent (Scarlett)],G Unit!,A, B (You can't fuck with me),C, D (We from the Harlem streets),E, F (Don't talk me to death),G, H (It's elementary),[Verse 1 - Scarlett],Picture me rolling Range Rover,Same color your Air Force Ones,White on white, ya like?,Red I flight the night,From L.A. to N.Y.,I'm Harlem bound,You see how bitches tense up, when Scarlett 'round,Niggas get the heart to holla while we up in the club,But get intimidated when they see me sitting on dubs,I hear 'em whispering "" dat ain't a man, shit that's her."",She roll with them G Unit niggas, that's what's up,Disrespect me, I'll have niggas blast ya up,Take my advice, don't let ya peoples grass ya up,I got a fetish for the chips,20's for the six,Hollows for the clips,Try me, if you think I'm playing bitch,And the police we'll have another crime scene taker,Jim Star crush your head, give your ass a shape-up,Uptown niggas known for the money they make,Everybody ain't shook, you see doing the shake,[Hook - 50 Cent],The boss spending ends,Saying, ""Gimme that Benz, 20 inch rims, and four TV's"",The snitch in the precinct saying,""He sell X, he sell techs, and he sell D"",The balla by the bar saying,,""Everybody drink, the best champagne, it's all on me"",Snitch in the back of the police car,Pointing out the window saying, ""He robbed me"",It's elementary,[Verse 2 - Lloyd Banks (50 Cent)],1,2,3,4,(Lloyd Banks' in the house),Now get the fuck on the floor,I slid through the front door,With the 9 and the velour,A cal in my pocket,You wil', I'mma pop it,I'm down for a profit,I'm ghetto as hell,You can't you tell?,My road dog, under the jail,Getting frustrating mail,So I'm drinking and smoking,Thinking and hoping,This cell gon' open,You can dance next to me, but don't throw an elbow,I'll throw one back and leave blood on your Shell Toes,Hell no,I ain't paying for pleasure,Your pussy don't bring rainbows and pots of treasure,It's every girl's dream, to floss with the team,Long on the suine,DVD's on the screen,Blowing on cream,Waiting for you to scheme,You ain't gotta know how to read, to spray a magazine,[Hook - 50 Cent],The boss spending ends,Saying, ""Gimme that Benz, 20 inch rims, and four TV's"",The snitch in the precinct saying,""He sell X, he sell techs, and he sell D"",The balla by the bar saying,,""Everybody drink, the best champagne, it's all on me"",Snitch in the back of the police car,Pointing out the window saying, ""He robbed me"",It's elementary,[Verse 3 - Tony Yayo],I don't wanna grow up, I'mma hustler kid,Go'head and stunt, see I don't pop two your wig,I'm artistic, intelligent, so much ability,When I use them big words, your bitch be feeling me,So ya'll niggas hate me, 'cause your wives be our groupies,Ya'll irritate me, like loud people in the movies,Fall back, matter fact back down,'Cause I just passed security without no pat down,You can catch me in the bathroom blowing a sticky,Or catch me on the dancefloor feeling some tits,Sex sells, so I'mma P-I-M-P,So my pockets never be empty,It ain't no problem, we scoop them models,We got condoms, coups, and lavish condos,50 got me getting ass like I never did,So when I step in the club, hoes love the kid,[Hook - 50 Cent],The boss spending ends,Saying, ""Gimme that Benz, 20 inch rims, and four TV's"",The snitch in the precinct saying,""He sell X, he sell techs, and he sell D"",The balla by the bar saying,,""Everybody drink, the best champagne, it's all on me"",Snitch in the back of the police car,Pointing out the window saying, ""He robbed me"",It's elementary,[Outro - 50 Cent],The cat in the house go,Meow, meow, meow, meow, meow, meow, meow, meow, meow,The bird in the cage go,Tweet, tweet, tweet, tweet, tweet, tweet,It's elementary
,
,
",50 Cent:Elementary
