album,artist,lyrics,title
,Arrested Development,"Since the last time, since the last time,It's been two years since we rock stages together,We covered bases together and whether we all agreed or not,20/20 vision is hindsight and now we got that so we done got back,Some of our soldiers have fallen, so many years of toiling,Touring, tears falling, naw pouring jaded from the industries,Jabs a lil' slower like Muhammad Ali but still we able to last,So we go in the studio, it felt new but yet in a good way,It felt old routines, we did came back so lucid, we was boosted,We juiced it and came up with some tracks that's stupid,And people responded to 'em, heads on the blocks,With locks and baggie jeans, the whole scene was fond to 'em,And how we got the labels kissing our hind parts,We desired art and never sold out for the high chart positions,I have been a thousand places,Seen a million faces since the last time,(Since the last time),I have been a thousand places,Seen a million faces since the last time,(Since the last time),Many rap groups attempt to latch to the popular cultures statutes,And thus they detach their roots from the soil that kept them loose,And made what they delivered so true,There's a desert waste land of past artists that's so cruel,Feeling thrown out like woody in toy story two,And yo we felt that but let me tell you Satan, he dealt that,I think it's time to give him his deck back, c'mon now,I have been a thousand places,Seen a million faces since the last time,(Since the last time),I have been a thousand places,Seen a million faces since the last time,(Since the last time),Since the last time
,
,
",Arrested Development:Since The Last Time
,,,
,,,
,,,
,Arrested Development,"Wag Your Tail,Yeah can I have a big bimbo box meal hold the bimbo sauce,two super sized freaky fries and a make me shiver shake,(I know who this is…how you doing?),I'm doing good sweetheart how are you?,(I'm O.K. anyway drive around to the 2nd window please),Baby remember how you were as a child Everything was up and nothing down,Every day was hopes and dreams no fears Whatever happened to those years?,Let's Rent a Private Jet and Escape,Fly To Paris Walk on Champs-Elysées,Let's Live Your Dreams,Wag Your Tail for Me,I Cannot Read Your Mind,When You're happy Baby Show Me a Sign,Just Let Me See,You Wag Your Tail for Me,Baby don't depend on what you see,Everything's perception not reality,Life has thrown some curves but we'll throw them back,Straighten out what's wrong and get back on track,I called your boss on the telephone,And said my babies flying off to Rome,Let Wendy take the register,And let Cindy sweep the floors and ,Let Joe and dem close the store ,my baby needs a dream and I'm taking her,wherever seems to make her happy!,Baby baby you can live your dreams,Let's not settle for anything,You deserve the best of things,Honey child let's go ride in the car,And we'll fly as far as our minds can conceive,Let's rent a private jet and escape,Fly To Paris walk on Champs-Elysées,Let's live your dreams,Wag your tail for me,I cannot read your mind,When you're happy baby show me a sign,Just let me see,you wag your tail for me,If you're happy show me a sign,Wag your tail for me,Reality is meant to defy,wag your tail for me,baby darlin you are so alive,so am I so let's fly the sky
,
,
",Arrested Development:Wag Your Tail
,Arrested Development,"Yeah yeah woo woo,It's ya charming one ranked at number one,The one you know to go to When you need some lovin' to come,(rrah ),And even though I'm just A hop & a skip and a jump,Away baby sometimes We role play the funk (uh),yo secret thing like a one night fling,that just happened to be married to you and,gave you a ring so no… guilt just pleasure,so much dat it's known to tilt the measure,yo touch has been known to ease my pressure,oh my God!,it's so incredible the way he shaped your bod,ingenious mixing soft wit hard,little sweet little heat spicy hot,gotta a lot a seeds wanna put in yo sod,I can't see your face If ya feel me just knod,Girl yous da picket fence house and the yard,da picket fence house and the yard,hu huhhh ,Girl just take off yo socks Let me lick on yo feet,I'll rub yo body & watch you roll yo eyes to the ceiling,Won't you lay on down Let my face be yo linen,C'mon and sho me yo ways This is our honeymoon day,We've been waiting for this day,Let's just free our bodies like the last day of living,girl we can be real naughty there's no need for forgiving,Won't ya dance for me Let my face be your mirror,C'mon and sho me yo ways This is our honeymoon day,We've been waiting for this day,Check it out,I told yo Mama don't wait up Don't check up on us,Don't call we handled it all I'm ready to bust,& I'm really hoping yo daughter can handle my lust,you done had yo chance now that land is handed to us,pop's knows how it goes shewt any man does,fine daughter like his can't afford to miss love,& I'm a give it to her sho nuff without a flub,give it her like a fat man giving himself grub,You think we waited for nothing my bloods pumping,needs go to where it's needed the most,relieve something shewt certain parts of me resemble a mule,stiff and stubborn it's like I'm Rosa Parks on the stool,(rrrgh),We going all out hittin' the balls out,Coming deep from the soul Like a Lou Rawls shout,People next door screamin who let the dogs out,Man it's our honeymoon we here to knock the walls out,Girl just take off yo socks Let me lick on yo feet,I'll rub yo body & watch you roll yo eyes to the ceiling,Won't you lay on down Let my face be yo linen,C'mon and sho me yo ways This is our honeymoon day,We've been waiting for this day,Let's just free our bodies like the last day of living,girl we can be real naughty there's no need for forgiving,Won't ya dance for me Let my face be your mirror,C'mon and sho me yo ways This is our honeymoon day,We've been waiting for this day,When I say true you say love,True (love) true (love),You got a wedding ring (put it up put it up),You wore ya bling bling (throw it up throw it up),Oh yeah it's on baby I've waited for this so long,Oh yeah it's on baby when I hang up the phone I'm gone!,We gonna bail collect that mail let's go to the hotel and…,Skip the reception girl lets head to the limo,Tinted window hard to find like Nemo,Real Cancun real honeymoon like woo,You can find us on the beach you know,I'm in heaven daily cuz I'm lovin this the physical bliss,Come here baby give me a kiss,Girl just take off yo socks Let me lick on yo feet,I'll rub yo body & watch you roll yo eyes to the ceiling,Won't you lay on down Let my face be yo linen,C'mon and sho me yo ways This is our honeymoon day,We've been waiting for this day,Let's just free our bodies like the last day of living,girl we can be real naughty there's no need for forgiving,Won't ya dance for me Let my face be your mirror,C'mon and sho me yo ways This is our honeymoon day,We've been waiting for this day
,
,
",Arrested Development:Honeymoon Day
"3 Years, 5 Months & 2 Days In The Life Of... (1992)",Arrested Development,"Ladies and gentlemen,There are seven acknowledged wonders of the world,You are about to witness the eighth,Space ain't man's final frontier. ,Man's final frontier is the soul,,Guided by someone more powerful than any human being,Someone felt but never seen,You will be surprised of what resides in your insides,With a rhythm as complex as life itself,And a soul that's in boom like the speakers in your ride,You never thought it would happen,It's , y'all,This is the country,Deep in the country,This is the deep south, man
,
,
",Arrested Development:Man's Final Frontier
,,,
,Arrested Development,"Taking a bath within the sun rays,Letting the aura of life soak me,living in the country chickens, cows, all around me,I'me bored I'll take a drive into the city limits,yo life is just a secret recipe & I'm all up in it.,Being the grand papa that I am one can forget it,today I figure I deserve to swerve,from my normal nerdy status that engulfs my time & that is,just what I need so here it goes I suppose that it's on,shake out my dreads with Aloe,Vera it's rare a brother like me will agree,with Taree, Kwesi, and go party with Baba,But Yo I gotta be hip & dip within the Fountain of youth!,the fountain of youth,Once I learned to dip and got drenched I got drenched,without the fear of drowning my ears can hear the sound and...,my eyes are wide open O P E N,and consciously aware of my surroundings.,Wally I'm getting energy -golly gee,as if I'm solar powered,it seems like every now & then,I skim on the edge of nuttiness,letting the wind push and shove in my dreads as if it's an argument,But really they're just snuggling for affection,hair needs loving too,,speaking of love the western civilization is on another tip,to tell you the truth they need to dip into the fountain of youth!,the fontain of youth,Bopping my head is more that bopping it's a spiritual thing,rhythms and lines space and time,relative? yes I pump my sound loud so my people can hear it,I hope the music soothes our spirits,cuz it soothes me,my foundation is strong but I allow some things to move me,and that is energy from the fountain of youth.
,
,
",Arrested Development:Fountain Of Youth
,,,
