album,artist,lyrics,title
,A Tribe Called Quest,"""Oh my God!"" - Busta Rhymes (16X),(Phife Dawg),There's a million MC's that claim they want some,But see, I create sounds that make your ears go numb,Peace to Sayers Ave., yeah you know how we go,My best friend Steven at the Home Depot,Lowerton is in the house, I can't forget Southside,Walk past MC's like that girl did the Pharcyde,I'm labeled as the cat's meow, the MC with the know-how,Act like you know, not now, but right now,Beast of the East, on MC's I have a feast,I'd eat that ass like quiche, crack a smile like Shanice,Straight out Jamaica scene, Jamaica, Queens,But you could find me out in Georgia, or anywhere in between,Now if my partners don't look good, Malik won't look good,If Malik don't look good, the Quest won't look good,If the Quest don't look good, then Queens won't look good,But since the sounds are universal, New York won't look good,Picture Phife losin a battle, come on, get off it,Put down the microphone son, surrender forfeit,Did I hear somethin bout a crew?  What they wanna do?,You better call Mr. Babyface, so he can bring out _The Cool in You_,or it'll be a sad love song being sung by Toni Braxton,And I'll dissect you like a fraction,Oh, you wannabe top cat MC's, I'll pop you like a zit,You wanna be the champ, you more like Chief Some-shit,Big up myself everytime when it comes to this,MC's be runnin scared as if they're watchin the Exorcist,I kick more game than a crackhead from Hempstead,My styles are milk, man, you'd think that I was breast fed,You know the steelo when the diggy Dawg is on the scene,I dedicate this to all the MC's outta Queens ,that goes for Onyx, LL, Run-D.M.C.,Akinyele, Nasty Nas and the Extra P,You need a chart, straight up and down man, there ain't no other,Nuff respect to all my peeps that made the album cover,Yo, Tip don't worry Dunn you know I get the party jumpin ,Get on the mic and break em off a lil lil sumthin,Yo, Tip don't worry Dunn you know I get the party jumpin,Get on the mic and break em off a lil lil sumthin  (Ooohh...),""Oh my God!"" - Busta Rhymes (16X) ,(Q-Tip) (over Busta Rhymes),La, la, la, la..,Doop, doo, do, do..,La, la, la, la..,Shooby-doop, do, do..,La, la, la, la..,Shooby-doo, do, do..,You know I'm on the other, for the top 40,Haha, you gotta do it like this..,We got the funk doody don shit, clearly it's the bomb shit,So recognize me, kids memorize me,Everyday, I be scroungin, really, I be loungin,I play the down low, very very incognito,Aries is my sign, I know that I can rhyme,Sometimes I rhyme in riddles, plus I make the hunnies wiggle,Intellect is the major, some heads like to wager,The skills on the hill, overlookin dollar bills,Man, ya crazy, thinkin you can phase me,The Ab doesn't study near nonsense money,Life seems to meet me, MC's seem too cheesy,With they doody ass renditions of defeatin competition,I rock to the roll man, yes, I'm a soul man,Bet'cha bottom dolla, Vinia will make ya holla,As ya stand at attention, did I forget to mention,MC's will give me twenty, if I sense that they act funny,Lyrics are abundant, right there, I sound redundant,Just mentionin the fact, that the area is fat,I dwell in the unda, so hunny, it's no wonder,That I get plenty of tail, well I even get white,I'ma bet hittin head crack, there money, take that,Breakin niggaz off, cut their bank, then I'm off,While my Nik'es match my lil hat, beat joint is mad fat,Got the cutter of the box if a kid thinks he's ox,For tier means creator, the poetry relator,It's hemp, like Betsy Ross, let me tell you who's the boss,La, la, la.. (""Oh my God!"" - Busta Rhymes),La, la, la.. (""Oh my God!"" - Busta Rhymes),La, la, la.. (""Oh my God!"" - Busta Rhymes) smooth it y'all,La, la, la.. (""Oh my God!"" - Busta Rhymes),La, la, la.. (""Oh my God!"" - Busta Rhymes),La, la, la.. (""Oh my God!"" - Busta Rhymes),La, la, la.. (""Oh my God!"" - Busta Rhymes),La, la, la.. (""Oh my God!"" - Busta Rhymes),Queens got a Zoo,Brooklyn got a Zoo,Bronx got a Zoo,Long Island got a Zoo,Long Island.. got the zone,Jersey got a Zoo,Philly got a Zoo,Milwaukee got a Zoo,L.A. got a Zoo,Oaktown got the zone,La, la, la.. (4X),See, I like to get down Jack
,
,
",A Tribe Called Quest:God Lives Through
,A Tribe Called Quest,"(Q-Tip),Lyrics to go (lyrics to go)	uhh,Lyrics to go (lyrics to go)	ahh yeah, c'mon,Lyrics to go (lyrics to go),Lyrics to go (lyrics to go)	yeah yeah,Lyrics to go (lyrics to go),Goin on and on to the rhythmic variation,Wakin in the morning I still represent the nation,When I speak of nation please don't make the deviation,Rebels of the party who create the jump sensation,Mind is a pit of different information,Microphone is on so of course communication,Bogle at the party then you got the bogle-ation,Decaptatin foes yo as if my name was Jason (c'mon),Makin all the fellas at the party lose composure,Hook up the beat with the mic and it's over (original, uh!),A Tribe Called Quest we on the run for whatever,Trials and tribulations that we have to endeavor,Brothers know my steelo it's a letter to the better,If you see a shorty that you like, then you sweat her,Silly with the microphone, in other words I'm loco,Six foot zero with my height, complexion cocoa,Representin on the mic it seems to be my daily,I can do a split and turn around like Alvin Ailey,But when it comes to days like this I got lyrics to go,(I got lyrics to go)		It's like that y'all, c'mon y'all,Lyrics to go			It's like that y'all, c'mon y'all,(Lyrics to go)			It's like that,(Phife Dawg),I know it's been two years but see the Tribe was never fallin,Would have tried for singin but that stuff was not my callin,The mic is in effect so you know I'm never stallin,Walkin through the door and all them suckers started haulin,Talk a lot of trash but no one can seem to beat it,Pull out your microphone and watch the Phifer make you eat it,The MC's they get jealy when the girly's on my belly,Kick a slow dance like my brother R. Kelly (bust a rhyme),Today's a hip-hop draft will I be top-seeded? (uhh),Worked too frickin hard while all the rest were gettin weeded,Steady kickin styles so I can reach that other level (uh),Don't worry about gettin gassed I push the pedal to the metal,Always wanted this cause it surely beats a scramble (right),I'm Jordan with the mic, huh, wanna gamble? (mmm),This I dedicate to all the honiest that be bogle-in,Cause at the end of the night y'know Malik will have his Trojans,But when it comes to nights like this I got lyrics to go,				Check it out y'all,(Lyrics to go)			It's like that y'all,Lyrics to go			Check it out y'all,(Lyrics to go)			It's like that y'all,Lyrics to go			Check it out y'all,(Lyrics to go)			It's like that y'all,Lyrics to go			Check it out y'all,(Lyrics to go)			It's like that y'all,				It's like that y'all,				Check it out y'all,				It's like that y'all,				Check it out y'all,				It's like that y'all,				Check it out here we go!,(Q-Tip),Please proceed with caution cause the lyricist is fatal,I can kick your little monkey ass like Kato (yes dread, uhh),Formulate your rhymes like a child forms Play-Doh (right),Calm and serene like the study was tayo,Poetry machine with correct mechanisms,Immune to disease I defeat organisms,that are waitin in my path, I overstep the critters,Give your ass the willies and your moms'll get the jitters (uh),Winners turn to losers, losers are forgotten,Tangle in my fore with, hopes that I stop rockin,Never will that happen only if it is permitted (uhh),Wait... I think somebody shitted (c'mon),I guess that will be me cause I'm the only one MCin,I go for what I know doin a show for human beings,Always try to lead yo never will I follow,Blowin up the spot like Fred did to Rollo,And when it comes to days like this, I got lyrics to go,				Check it out y'all,(Lyrics to go)			It's like that y'all,I got lyrics to go		Everybody,(I got lyrics to go)		Ah c'mon now,I got lyrics to go		Ah check it out y'all,(I got lyrics to go)		It's like that now,I got lyrics to go		Everybody,(I got lyrics to go)		Ah c'mon now,I got lyrics to go		Check it out y'all,(I got lyrics to go)		It's like that now,I got lyrics to go		C'mon y'all,(I got lyrics to go)		Everybody,I got lyrics to go		It's like that y'all,(I got lyrics to go)		Check it out now,I got lyrics to go		Ah c'mon y'all,(I got lyrics to go)		Everybody,I got lyrics to go		It's like that y'all,(I got lyrics to go)		Check it out now,I got lyrics to go		It's like that y'all,(I got lyrics to go)		Every-bo-ty,I got lyrics to go		It's like that y'all,(I got lyrics to go)		Ah check it out now,				It's like that y'all,				Check it now,				It's like that y'all,				Check it now,				It goes... uhh
,
,
",A Tribe Called Quest:Lyrics To Go
,A Tribe Called Quest,"""I'm bout to wreck ya body and say turn the party out"" -- BizMarkie,(repeat 4X),Phife:,Them can't touch me no, them can't touch me,Them can't hold me no, them can't hold me (2X),(Q-Tip: Damn, Phife you got fat!),Yeah, I know it looks pathetic,Ali Shaheed Muhammad got me doing calisthenics,Needless to say, boy I'm bad to the bone,Making love to my mic like Jarobi on the phone,But um, no time for jokes (what!), there's bills to be paid (what!),Hoes to be laid (what!), punks to be sprayed (what!),Chumps to attack, so my man watch your back,Cuz '93 means skills are a must, so never lack (uh!),Sit back and learn, come now watch the birdie,Your styles are incomplete, same as Vinny Testaverde,Battlin, whenever -- hot Damn!,Give me the microphone bwoy, one time, bam!,Q-Tip:,Keep it on the corner, cuz here comes the heat,Lyrically it stays, the jazz will pace the beat,As we proceed to elevate you, we in fo-fo,Run and tell your dad the Abstract's the bag,As we proceed to move your high parts, we know who has ass,Poets got the gimmicks, but they lack the sassafras,To make the average hardrock and cock the glock,And roam the city streets on the jury, they hot ,I be ingredients, like sugar and candy,If your life is broke, girl I'll be the handy-dandy,That commends you, my fee is a shower,For you, I'll scrub your back and I'll soap the butt-crack,Make you shiny, spiffy in a jiff,Fuckin with the Ab, you got the greatest of gifts,Yo, my mic is sounding bug. Bob Power, you there?(Yeah),Adjust the bass and treble make my shit sound clear(echo),Chorus(x8):,(Q-Tip: After fourth time),Make you shiny, spiffy in a jiff,Fuckin with the Ab, you got the greatest of gifts,A-yo, my mic is sounding bug. Bob Power, you there?,Adjust the bass and treble...OK, could you come in Tip?,Q-Tip:,Whoop, back yourself man. Come watch me drop it,For showing me I could do it, for showing me I can rock it,Me not deal wit no changaram, bangaram business,I got soul on a hymn, like Jehovah's got the witness,Musically, the three, poetically, be me,We in jammin on the airwaves, kids just rave,Obey the MCs, cuz the MCs say,We flippin more niggaz like we Super Dave,But noticin my stature, y'all niggaz know we gotcha,Movin to the rapture, listen how we catch ya,Movin with the grace, here we go, let's begin,Makin people jump out their goddamn skin,Lyrically, we bite like we Rin Tin Tin,Peace to Grand Pu and his many, many skins,Don't mark with the arrow, cuz we know we get the wins,It's the Ab, Shaheed, and the Dawg for the blend,Chorus(until end):,Q-Tip:,I wanna say peace to my man Rob P, my man Jerod, and ,Skeff Anslem on the help  out and we out like shout,Nine-tre, oh, oh, oh, oh, oh...,I don't wanna say nine-tre,cause my man Extra P said don't say the years,So, it's for eternity, know what I'm sayin?,Rock rock on, everybody in Queens, rock rock on,Everybody in Brooklyn, rock rock on,Money Earnin Mt. Vernon, rock rock on,Everybody in Jersey, rock rock on,Everybody in Philly rock rock on,Everybody in Houston, rock rock on,Everybody LA, rock rock on,Everybody in The Sand, rock rock on,Everybody in Egypt, rock rock on,Everybody Nigeria, rock rock on ,Everybody in London, rock rock on,Everybody in Sweden, rock rock on ,Everybody in beware, rock rock on,To the niggaz on the famous, rock rock on,Everybody no name, rock rock on,To the kids at Nu-Clear, rock rock on,The Cave rock rock on. McDonald's, rock rock on
,
,
",A Tribe Called Quest:The Chase Pt. II
,A Tribe Called Quest,"(Q-tip),Listen up everybody the bottom line,I'm a black intellect, but unrefined,with precision like a bullet, target bound,just livin like a hooker, the harlett sounds,now when I say the harlett, you know I mean the hott,V-A-V-A-Vader, the brothers in the spot,Jalick, Jalick ya wind up ya hit,Captain of the poets, I'm the #7 pick,licks, licks, licks boy on your backside,licks, licks, licks boy on your backside,listen to the fader, Shaheed lets it glide,Tip the earthly body heavens on my side,even in Santo Domingo can I gotta Gringo,we got mikes when do we go,know a little nigga who can ryhme when you ask me,short, dark, and plus his voice is raspy,(Phife Dawg),1 for the treble 2 for the bass,you know the style Tip it's time to flip this,I like my beats hard like two day old shit,steady eatin booty M.C's like cheese Grits,My man Al B. Sure, he's in effect mode,Used to have a crush on Dawn from En Vogue,It's not like honey dip would wanna get with me,But just in case I own more condoms then T.L.C.,Now the formula is this Me, Tip, and Ali,For those who can't count it goes 1-2-3,The answer (scratch ""Damn right I'm"" censored ""Batty Boy"") Hiccup is who i be,Brothers find it's hard to do but never me,Some brothers try to dis my malik You see'm ditchin me,now cure all the B.B. M.C.'s my shit is hittin,trainin gladiator, anti-hesitater,Shaheed push the fader from here to Granada,Mr. energetic, who me sound pathetic,when's the last time you heard a funky diabetic?,(I don't know man(3x)),(I don't know(2x)),(Chorus):,Oh My God yes, Oh my god (8x),(Q-Tip),Complimentary it be the theif of Poetry,I got a humdinger comin hook line and sinker,The TIMBO hits with the prints underground,TIMBO's on the toes, i like the way it's goin down,Down like the lady of the evenin        ,When it goes in Toots just beleive the sin,Cuz Queens is the county, Jamaica is the place,Take off your boots cuz you can't run the race,(Chorus):,Oh My God yes, Oh my god (14x)
,
,
",A Tribe Called Quest:Oh My God
,A Tribe Called Quest,"(Q-Tip),Q-Tip is my title.,I don't think that is vital for me to be your idol,,but dig this recital.,If you can't envision a brother who ain't dissin,Slingin' this and that, 'cause this and that was missin,Instead, it's been injected, the Tribe has been perfected,Oh yes, it's been selected, the art makes it protected,Afrocentric livin', Africans be givin,A lot to the cause 'cause the cause has been risen,Some brothers, they be flammin', thinkin' we ain't slammin,Comin' off like the days where we used to wear the tans and,A blue-colllar talker, a hemisphere stalker,A glass of O.J and a ten mile walk-a,If you're in a Jeep and you dig what you're hearin,Can I get a beep and a side order of cheerin?,I am what I am, that's a tribal man,We all know the colours, we all must stand,As we start our travels, things they will unravel,""Que sera sera"", for this unit is like gravel,Won't be gone for long, listen to the song,If you can't pull it, all ya gotta do is,Chorus:,Push it along, push it along.,Push it along, yeah, push it along. (repeat 4x),(Phife Dawg),Put one up for the Phifer, it's time to decipher,The ills of the world make the situation lighter,The clock is always tickin', the systems should be kickin,Like ? ham and eggs, I eat chicken, chicken, chicken,Should I release the lever, the lever of the clever,Embelish on the funk as we start to endeavour?,The ?wraughts? of the rap filling up the gap,With the smash of a hand and a little toe tap,(Q-Tip),The boom, the bip, the boom bip,Indicates to the brothers that we be on the flip tip,Phonies start to crumble, funky rhythm rumbles,Through the dance-hall, but my anthem is humble,It's the nitty-gritty, my time is itty-bitty,So I ?kick the slash for the gipper? and the witty,This ain't trial and error, more like tribe and error,Constantly rude as some sort of tribal terror,The street can't depart from the bloody heart,Repair the wear and tear, don't start 'fore it starts,Won't be gone for long, listen to the song,If you can't pull it, all ya gotta do is,Repeat chorus,(Q-Tip),Marchin' off the project, we hope that you will subject,It's good to be an object and never, ever reject,The tribe who meanders with drunken propoganda,Keep it in boom and never will we slander,? should be handed, don't let me demand it,Money gives a nudge to the poet star bandit,Control it, then recluse it, follow, you won't lose it,Mysterious is the tribe for we choose it,Although she's flippin' crazy, give my love to Gracy,God, could you help 'cause this Quest is crazy spacey?,The pigs are wearin' blue, and in a year or two,We'll be goin' up the creek in a great big canoe,What we gonna do, save me and my brothers?,Hop inside the bed and pull over the covers,Never will we do that and we ain't tryin' to rule that,We just want a slab of the ham, don't you know, black?,This society of fake reality,Are nothin' but a peg of informality,While I sing my song, sing it all day long,,If you can't pull it, all ya gotta do is,Repeat chorus
,
,
",A Tribe Called Quest:Push It Along
,A Tribe Called Quest,"Relax yourself girl, please set-tle down (4X),Verse One: Q-Tip, Phife Dawg,Honey, check it out, you got me mesmerized,With your black hair and fat-ass thighs,Street poetry is my everyday,But yo, I gotta stop when you trot my way,If I was workin at the club you would not pay,Aiyyo, my man Phife Diggy, he got somthin to say,I like em brown, yellow, Puero Rican or Hatian,Name is Phife Dawg from the Zulu Nation,Told you in the jam that We Can Get Down,Now let's Knock the Boots like the group H-Town,You got BBD all on your bedroom wall,But I'm Above the Rim and this is how I ball,A pretty little somethin on the New York street,This is how I represent over this here beat,Talkin bout you,Yo, I took you out,But sex was on my mind for the whole damn route,My mind was in a frenzy and a horny state,But I couldn't drop dimes cause *you couldn't relate*,Chorus,Verse Two: Q-Tip, Phife Dawg,Stretch out your legs, let me make you bawl,Drive you insane, drive you up the wall,Starin at your dome-piece, very strong,Stronger Than Pride, stronger than Teflon,Take you on the ave and you buy me links,Now I wanna pound the putang until it stinks,You can be my mama and I'll be your boy,Original rude boy, never am I coy,You can be a shorty in my ill convoy,Not to come across as a thug or a hood,But hon, you got the goods, like Madeline Woods,By the way, my name's Malik,The Five-Foot Freak,Let's say we get together by the end of the week,She simply said, ""No,"" labelled me a hoe,I said, ""How you figure?""  ""My friends told me so."",I hate when silly groupies wanna run they yap,Word to God, hon, I don't get down like that,I'll have you weak in the knees that you could hardly speak,Or we could do like Uncle L and swing an ep in my jeep,Keep it in the down, yo, we keep it discrete,See, I'm not the type to kid to have my biz in the streets,If my mom don't approve, then I'll just elope,Let me sink the little man from inside the boat,Let me hit it from the back, girl I won't catch a hernia,Bust off on your couch, now you got Seamen's Furniture,Shaheed, Phife and the Extra P,Stacy, ? DJ and my man L.G.,They know the Abstract is really soul on ice,The character is  of men, never ever of mice,Shorty let me tell you about my only vice,It has to do with lots of lovin and *it ain't nuthin nice*,Chorus
,
,
",A Tribe Called Quest:Electric Relaxation
,A Tribe Called Quest,"Q-Tip:,The night is my mind,The sun'll still shine,But the night is on my mind,So parlay while I drop this rhyme,See, Jake be gettin illy when the sun get dark,They be comin out the heads, but shit don't let me start,Their activities are plenty in nighttime(nighttime),For the ghetto child, it seems to be the right time,See, kids be gettin stuck with jewels and fly gimmicks,Shorty see the action and then start to mimic,Runnin to the corner, the dice game is blazin,Lookin at the loot, it seems so amazin,Puts it short down, to be exact would bound,He shakes the stones in his hand, then he lets it down(uh!),Scam money don't make none,He threw a trip on the ace, now he's out son,Hits the local bodega to woof down a hero,Son is on a 'Midnight Run' like De Niro,Spots the shorty rock standin on his block,The thieves be handlin in the pumps,so he asked it it's not,Conversation that he kicked to the shorty was a sly one,Increased intensity, his dance sure was a fly one,Took her to the crib there she ran her gibs,About mind upliftment and bein positive,He yawned and he sighed til 1:05,Then he finally realized that hunny wasn't live,At least he didn't plan on buildin for the evenin',Threw the Fila on the dome and said 'Come on yo, we leavin',Came out on the scene as he told her to beep him,Saw his man Sam with the blunt in his hand,(Aww Shhh...!!!)You know the transaction,Brothas gettin lost in the weed satisfaction,Comin down the block man loud as (fuck),You would swear Redman was inside the trunk ,As the night seemed darker, cops is on a hunt,They interrupt ya cipher, and crush ya blunt,See you left your work at home, so they pat you down for nuthin,Why in the hell does 10-4 keep frontin?,You push to the park, even though it's still dark,The kid is nice on the hoop, he said 'I'll spot ya troop',The night is on my mind ,The sun'll still shine ,But now the night is on my mind, the night is on the mind,The night is on your mind ,A yo, the sun'll still shine,But now the night is on the mind,As for me...,I'm a nocturnal animal, God concentrates,On a young black man, who makes the niggaz speak a shake,The nighttime is busy, it's word to Aunt Kizzy,It's the time we get down, yo son, you know the sound,The flavas on the top with the rugged beat to back it,The night makes the aura and the J can't hack it,The way the moon dangles in the midnight sky,And the stars dance around, a yo, I think it's fly,Intensity, most rappers don't see it,Spirit wise, musically, you gotta be it,Serenity and sirens of the sounds and emotions,In the concrete jungle and the sun don't bungle,I think it's hard to find the words on how I feel,I paid about a deuce twenty for the Ampex steel,But let me slow down, I think I ran my gibs enough,Peace out to the Nation, stay rugged and rough,The night is on my mind, the sun'll still shine,The night is on my mind, the night is on my mind,The night is on my mind, yeah, the sun'll still shine,But now, uh huh, the night is on my mind,The night is on your mind, you know the sun'll still shine,But now the night is on the mind, yeah, the night is on my mind,The night is on the mind, a yo, the sun'll still shine,But now the night is on the mind, yeah, the night is on the mind,The night is on the mind, a yo, the sun'll still shine
,
,
",A Tribe Called Quest:Midnight
,A Tribe Called Quest,"Verse One: Phife Dawg,Aiyyo swing swing swing, to chop chop chop,Yo that's the sound when MC's get mopped,Don't come around town without the hip in your hop,Cause when the shit hits the fan, that ass'll get dropped,MC's wanna attack me but them punks can't cope,I'll have you left without a job, like Isaac from The Love Boat,So money watch your mouth, or I might have to bust ya,Battlin MC's, from JFK to Russia,Back down to London, Sweden and Brazil,Do a U.S. tour for three months and then a chill,Styles be fat like Jackie Gleason, the rest be Art Carney,People love the Dawg like the kids love Barney,""I love you, you love me"",The shorty Phife Dawg is your favorite MC,So move back yaself dread, you know the element,The Tribe is good for your health like a can of Nutriment,MC's don't have no winds, MC's don't have no winds,I flips you crazier than a busload of Jerry's Kids,Your crew don't want it, man your crew don't want it,But if you feel you can swing it, then money please bring it,(sup) Large Professor in the house (sup),(sup) You know how we do (sup),(sup) I stay on your crew (sup),(whassup) like Mario Lemieux (whassup),(Whassup?) Peace to Ike Love,(Sup? Hah hah) and the rest of the crew (Whassup?),(Whassup?) I meet you guys in front the cleaners,Bring the blunts and the brew so,Verse Two: Q-Tip,Whassup kids?  The Ab is speaking from the moon,Thanks for your support, aiyyo I'll be home soon,But the only thing I ask when I return from my task,Is a whole bunch of beats and a Blass full of ass,My fist stands firm because I'm, black and solid,I open up your pores like a plate full of collards,C'mon take it easy wouldya, easy easy,I'm up in the gulley, that's when I am her Buddy,She told me pull her hair, I did, it drove her nutty,Filled up the hole like spackle or I mean putty,When we over joints like this we never cruddy,Extra P hooked the beat, and kids it feels luh-huh-ovely,Check it out, cause my conception is immaculate,A bachelor, lookin for a bachlelorette,Back to you MC's, this is what your gonna get,A first degree burn from my man Ken's cigarette,I hope you like Malboro, Paul you know we thorough like Denver,The beat feels like a never-ender,But all things good must, so I won't sweat it,Drop the C's for the youthful crew, I hope you get it,As I stand, grip this mic inside my hand,Boy I smack you up, like I was your old grand,so respect yourself Son, and come and gimme love,Once again the Ab is who you think of,So chill with the beef money, we got a Jetti,Verse Three: Extra P (Large Professor),It's Extra P and yo Tip I'm bout to set it,on the country once again here to win,I'm Uptown chillin, takin in this grand master Vic blend,from the projects, the PJ's, fuck them two DJ's,Self mission, I had her in the ill position,Saying ""Large youse the soul brother that I'd like to,eff with for the rest of my life"" yeah yeah now check the method,As I, proceed with what you need like Akinyele,A whip looks complete when the tires say Firelli,Funk monkey, one rapper fell off, now he's a junkie,There's 8 Million Stories in the city it's a pity,Don't fuck with the skins if she's trying to act shitty,Shout to the Guru, Primo and Zulu Zulu,Nation, was on a vacation, in the ghetto,Yo Ras slow your roll I'm bout to bag this here's metal,Rapper Nas on topic, seems we gonna rock it,Queens represent, buy the album when I drop it (drop it)
,
,
",A Tribe Called Quest:Keep It Rollin'
,A Tribe Called Quest,"Intro: Kamaal (Q-Tip),Phony rappers who do not write,Phony rappers who do not excite,Phony rappers, check it out, aight,Verse One: Kamaal (Q-Tip),Yo, I was riding the train,And this Puerto Rican kid said simple and plain,Let's battle - it kinda took me by surprised,Cuz the brother was moving wit his eyes on the prize,I said screw it, I ain't got nuttin to lose but um,But I got to do this shit real quick so um,Hurry up kid, bust your joints and then I'll bust mine,And I be out cuz I got to see this hottie, he said ok,Now check it, check it out, blah, blah, blah, blah, blah, that's what he said,Then I came back and just fucked up his head,Cuz yo, he thought an MC who was seen on TV,Couldn't hold the shit down in New York City,Aiyyo, I showed his ass, then I went off on my task,To bless her ass Uptown, real MC's will hold it down,Yea, yea, sonny, to the beat like that,You wanna bring it to me, where you at,Verse Two: Phife Dawg,Yes, dread, I had a similiar situation,When this kid tried to tell me I didn't deserve my occupation,He said I wasn't shit that I was soon to fall,I looked him up and down, grab my crotch and said balls,Of course he tried to bring it on the battling tip,Ay, you know me, you know I had to come out my shit,Trying to lounge at the mall, meet Skef and Mr Walton,Finally I banged his ass wit the verbal assault,He said a rhyme about his .45 and his nickelbags of weed,That's when I preceeded to give him what he needed,Talking 'bout I need a Phillie right before I get loose,Poor excuse, money please, i get loose off of orange juice,Preferly Minute Maid cuz that's exactly what it takes,To write a rhyme, huh, to school your nickels and your dimes,Because an MC like me be on TV,Don't mean I can't hold my shit down in NYC,Phony rappers who do not write,Phony rappers who do not excite,Phony rappers, you know they type,Phony rappers, check it,Verse Three: Phife, Consequence,It seems there's a sanitation yard full of trash talkers,Sounding good but money can you feed the dog hawker,Talking 'bout your mic days and your breakdancing,Not enhancing, you sound tired,Oh, shit, I didn't know you like to play yourself in front'cha friends,Sitting there, lying to no end,MC's for me make things happening,Talk about a world but in a form of rapping,Who will be the captain of this ship,If it goes down, don't you know you have to go wit it,Just because you rhyme for a couple of weeks,Doesn't mean that you've reach the MC's peak,Let me stop sounding all bitter,Ghetto child, never be a quitter,But don't be a phony in the litter,Take it as a letter from the better,Take it from a man who used to rhyme in busted ass jetta's,C: Yo, Phife, you need a condom,P: Word to God, mess around,I catch AIDS from MC's being on my nuts too hard,C:  Cuz on my blvd you better bring your bodyguard,P:  And what's your blvd,C:  LB, I represent naturally,P:  So don't step on the rolly if you know that you're phony,Or else I bend that ass like elbow macaroni,Cuz I gotta keep it real (gotta keep it real),A Tribe Called Quest, you see we never half step,C:  (So on your mark) get ready, MC's be jetti,Me and Phifey be on ya like Veronica and Betty,Archie, Jughead, snuffing Mc's,From Brainslane down  to Hempstead,P:  Yes 'Quence, see over,His rhyme style is older that a Chrysler Cordoba,I'm wilder then the cats from Arizona,Villanova, un, un, Kentucky,Whos' the next MC stepping up to try and bust me,Bring him here and boy, will I ever let him have it,C:  And when it comes to the microphone, don't even try to grab it,What?
,
,
",A Tribe Called Quest:Phony Rappers
,A Tribe Called Quest,"chorus:,We can get down,We can, we can get down(both lines 4X),Ah, it's like that man, it's like that (yes!),It's like that man, it's like that (yes!) (2X),It's like that man, it's like that ,(Rakim from ""My Melody"":""Why waste time on the microphone""),Check it,Phife:,I'm not your average MC with the Joe Schmoe flow,If you don't know me by now, you'll never know,Steppin on my critics, beatin on my foes,The plan is to stay focused, only then I can go,Straight from the heart, I represent hip hop,I be three albums deep, but I don't wanna go pop,Too many candy rappers seem to be at the top,Too much candy is no good, so now I'm closin the shop,Crushin competition like your tires on grapes,My rhymes styles be blendin like a Ron G tape,My man where ya goin? You can't escape,When the Tribe is in the house, that means nobody is safe,How can a reverend preach, when a rev can't define,The music of our youth from 1979,We rap about what we see, meaning reality,From people bustin caps and like Mandela bein free,Not every MC be with the negativity,We have a slew of rappers pushin positivity,Hip hop will never die yo, it's all about the rap,So Marion Barry smokin crack, let's preach about that,The trash you talk won't matter, that old bogus chatter,The more that you condemn us, it only makes us phatter,When I talk, I know I'm talkin for you poppers all around,You know you love the sound, we gets down,chorus:,Q-Tip:,I'm the cherry on the top of yo ice cream,I'm the wish you thought inside your dream,Listen to the way we pulsate the jam,I'm the nigga here with the mic in hand,Styles that we present are just a few,To do away with you and your hum drum crew,This is '93 and the shit is real,Black people unite and put down your steel,Ladies make a forum on your sexual drive,Devoted to your lover and make it thrive,The riff was of F, I'm a hip hop body,Release the energy like the force of a shotty,Standin on the wall with my Polo on,Talkin to the girl with the Liz Claiborne,Keep the poetry in my black knapsack,Got my Timbo horse and my Doublemint pack,Hit the city streets to enhance my soul,I can kick a rhyme over ill drum rolls,With a kick, snare, kicks and high hat,Skilled in the trade of that old boom bap,I can do a trick with the opposite breed,I used to down 40s and smoke grain weed,Now, I'm doin shows with half loot down,Now it's time for me to take ya uptown,It's like that man, it's like that (yes!) (7X),It's like this, Shaheed!,Shaheed:(scratching)(until end),Rakim: ""Why waste time on the microphone""
,
,
",A Tribe Called Quest:We Can Get Down
