album,artist,lyrics,title
Check Your Head (1992),Beastie Boys," ,
,
,
",Beastie Boys:Groove Holmes
Check Your Head (1992),Beastie Boys,"Pow!
,
,
",Beastie Boys:Pow
Check Your Head (1992),Beastie Boys,"I don't see things quite the same as I used to,As I live my life I've got just me to be true to,And when I find that I don't know about just what to do,I turn and look within to see what I should do,Now I'm not sure what it takes to be hip,A lot of people making music that to me ain't shit,So I ask creation for rhymes for this jam,Give my lick a solo when I take the mic stand,Yeah, as the earth spins into a brand new day,I see the light on my horizon's not fading away,Gonna shine from within like a bright white sun,No need to hide and no place to run,Got the vibrations of the music bringing light to your mind,So you can move and groove and feel the beat of time,Sense the power in the air as it starts to move,You get a real good feeling that you just can't lose,Free your mind it's time for good times,And let yourself move it's a time to shine,Spread your wings in the sky, feeling good inside,You're breaking through with no need to hide,I got the music coming come on take control of my soul,I can't hold back I've got to let go,Stand together people come together now,It's about time we got to get together now,Stand together people come together now,I said it's about time we got to get together now c'mon,Stand together people come together now,I said it's about time we got to get together y'all
,
,
",Beastie Boys:Stand Together
Check Your Head (1992),Beastie Boys,"I wish for peace between the races,Someday,We shall,All be,One,This one is called ""rectify"",There's something coming to the surface,There's fire all around,But this is all illusion,I've seen better days than this one,I've seen better nights than this one,Tension is rebuilding,Something's got to give,Something's got to give,Someday,We shall,All be,One,
,
,
",Beastie Boys:Something's Got To Give
Check Your Head (1992),Beastie Boys,"Well, Back to the back to the beat y'all,,Down with the sound so sweet y'all,Just how fresh can you get y'all,Those that are blessed say yes y'all,I'm a come inside and do my thing,I'm gonna take off my drawers and let myself swing,Tantalize my tummy with a boo boo snack,But now I got to get back,Yeah, oh,This one's for you and you and you,Gonna break it down to the nitty grit,Gonna tell you motherfuckers why you ain't shit,'Cause suckers like you just make me strong,When you're popping that bullshit all day long,I'm gonna bust my shoes I'm gonna bust my socks,I'm gonna spread my word from standing on this box,This drive through world it just ain't right,Gonna run to Joe and Tony's and get my hair cut nice,Yeah,Get real nice y'all,Well come on y'all ,and let's work it out,I'm trying to get up So don't you get me down,Life I love you now give me a pound,Up from the frying pan into the fire,Look within and try to admire ,Yeah... what's going on Y'all
,
,
",Beastie Boys:Live At P.J.'s
Check Your Head (1992),Beastie Boys,"Who is the man coming down your block,It's me you see with the funk in my walk,'Cause I'm doin' just what I like to,Today is my day, yeah and I'm a get nice too,You gotta keep movin' and you can't say nothing,I'm a keep bouncin' and bumpin' and stuffin',One thing you ought to know...,I am The Maestro,(Speech) ,I feel like , The crown prince of dance,I'm Mike D and I'm known for romance,I'm the crazy baldhead with the part on the side,And I'm riding down the block like I'm on a water slide,'Cause it's the type of day I feel like pressing my luck,'Cause I got nothing to lose 'Cause I don't give a fuck,See I'm a player I play Don't play to win I play to show,Yeaahhh.... I am The Maestro!,(Routine, then speech),Who is the man.
,
,
",Beastie Boys:The Maestro
Check Your Head (1992),Beastie Boys,"Our evening bgan in Peter Sachelle's comfortable study in his New York Town house,Where the candlelight was just right,The hi-fi was in the background,And the wine was delicious.,Whats the secret Peter?,Naturally, I'll say its the wine.,Hmmmm, it does go well with the chicken.,Delicicious again Peter.
,
,
",Beastie Boys:The Blue Nun
Check Your Head (1992),Beastie Boys,"The Beastie Boys,They are they're comin' home,They're comin' home,Oh, they're comin' home,To all their fans,They are they're comin' home,They're comin' home they're comin' home,Oh they're comin' home
,
,
",Beastie Boys:The Biz Vs. The Nuge
Check Your Head (1992),Beastie Boys,"Well just plug me in just like I was Eddie Harris,You're eatin' crazy cheeze like you would think I'm from Paris,You know I get fly, you think I get high,You know that I'm gone and I'm 'a tell you all why,So tell me-who are you dissin'? Maybe I'm missin' ,The reason that you're Smilin' or wildin' so listen,In my head I just wanna take 'em down,Imagination set loose and I'm gonna shake 'em down,Let it flow like a mudslide,When I get on I like to ride and glide,I got depth of perception in my text y'all,I get props at my mention cause I vex y'all,So whatcha whatcha whatcha want,I get so funny with with the money that ya flaunt,I said where'd you get your information from huh?,You think that you can front when revelation comes?,Well they call me Mike D the ever lovin' man,I'm like Spoonie G well I'm the metropolitician,You scream and you holla 'bout my Chevy Impala,But the sweat is gettin' wet around the ring around your collar,Like a dream I'm flowing without no stoppin',Sweeter than a cherry pie with Ready Whip toppin',Goin' from Mic to Mic kickin' it wall to wall,Well I'll be callin' out you people like a casting call,Well it's whack when you're jacked in the back of a ride,With your know with your flow when you're out gettin' by,Believe me what you see is what you get,And you see me I'm comin' off as you can bet,Well I think I'm losin' my mind this time,This time I'm losin' my mind that's right I said,I think I'm losin' my mind this time this time,I'm losin' my mind,But little do you know about somethin' that I talk about,I'm tired of drivin' it's due time that I walk about,But in the mean time I'm wise to the demise,I've got eyes in the back of my head so I realize,Well I'm doctor Spock I'm here to rock y'all,I want you off the wall if you're playin' the wall,I said whatcha whatcha whatcha want ,I said whatcha whatcha whatcha want ,You suckers write me checks and then they bounce,So I reach into my pocket for the fresh amount,See I'm the long leaner Victor the Cleaner,I'm the illest mutha fucka from here to Gardena,I'm as cool as a cucumber in a bowl a hot sauce,You got the rhyme and reason but got no cause,Well if you're hot to trot you think you're slicker than grease,I got news for you crews you'll be suckin' like a leech,So whatcha whatcha whatcha want ,So whatcha whatcha whatcha want ,So whatcha whatcha whatcha want ,So whatcha whatcha whatcha want ,
,
,
",Beastie Boys:So What'cha Want
Check Your Head (1992),Beastie Boys,"Lighten up, Gotta' Lighten Up Gotta' Lighten Up Right Now,Gotta' Lighten Up Gotta' Lighten Up Gotta' Lighten Up Right Now,Gotta' Lighten Up Gotta' Lighten Up Gotta' Lighten Up Right Now,Gotta' Lighten Up Gotta' Lighten Up Gotta' Lighten Up,Shine Like The Sun,Lighten Up Gotta' Lighten Up Gotta' Lighten Up Right Now,Gotta' Lighten Up Gotta' Lighten Up Gotta' Lighten Up Right Now,Gotta' Lighten Up Gotta' Lighten Up Gotta' Lighten Up Right Now,Gotta' Lighten Up Gotta' Lighten Up Gotta' Lighten Up,Shine Like The Sun
,
,
",Beastie Boys:Lighten Up
Check Your Head (1992),Beastie Boys,"Good times gone and you missed them ,What's gone wrong in your system?,Things they bounce like a Spalding ,What'd you think? Did you miss your calling?,It's so free, this kind of feeling,It's like life, it's so appealing ,When you've got so much to say,It's called gratitude and that's right,Good times gone but you feed it,Hate's grown strong, you feel you need it,Just one thing, do you know,What you think that the world owes you ,What's gonna set you free?,Look inside and you'll see,When you've got so much to say,It's called gratitude and that's right
,
,
",Beastie Boys:Gratitude
Check Your Head (1992),Beastie Boys,"If You Can Feel What I'm Feeling Then It's A Musical Masterpiece,But If You Can Hear What I'm Dealing With Then That's Cool At Least,What's Running Through My Mind Comes Through In My Walk ,True Feelings Are Shown From The Way That I Talk,And This Is Me, Y'All - I M.C., Y'All ,My Name Is M.C.A. And I Still Do What I Please ,And Now I'd Like To Introduce ,I'll Pass The Mic To D. For A Fist Full Of Truth,The Name Is D., Y'All And I Don't Play ,And I Can Rock A Block Party 'Til Your Hair Turns Grey ,""So, What You Sayin'?"" I Explode On Site,And Like Jimmy Walker I'm ""Dynomite"" ,And Now I'd Like To Pass The Mic ,To Adrock C'mon And Do Anything You Like,I'm The A.D.R.O.C.K. ,In The Place With The Bass I'm Going All The Way ,I Can't Stop Y'All Tock Tick Y'All ,And If You Think That You're Slick You'll Catch A Brick Y'All ,'Cause I'm A Turn It In And I'm A Turn It Out ,But Now I Got To Pass The Mic To Yauch,Well On And On And On And On ,I Can't Stop Y'All 'Til The Early Morn',So Rock Rock Y'All Tick Tock Y'All ,To The Beat Y'All C'mon And Rock Y'All,I Give Thanks For Inspiration ,It Guides My Mind Along The Way,A Lot Of People Get Jealous, They're Talking About Me,But That's Just 'Cause they haven't got a thing to say,Well, Everybody's Rapping Like It's A Commercial ,Actin' Like Life Is A Big Commercial ,So This Is What I've Got To Say To You All ,Be True To Yourself And You Will Never Fall ,And Now I'd Like To Pass The Mic To The A ,So What's Your Name, Yauch? My Name Is M.C.A. ,I've Been Coming To Where I Am From The get go,Find That I Can Groove With The Beat When I Let Go ,So Put Your Worries On Hold ,Get Up And Groove With The Rhythm In Your Soul ,And Now I'd Like To Pass The Mic ,To My Brother Adrock C'mon And Shine Like A Light,Yes Yes Y'All And Yes Yes Y'All ,I'm Always On Time Never The Less Y'All ,And That's Right Y'All, I Shed Light Y'All ,I've Got No Time In My Life To Get Uptight Y'All ,So What You Gonna Say That I Don't Know Already? ,I'm Like Clyde And I'm Rockin' Steady ,But Time Flies When You're Having Fun ,So Mike D - That's Me - C'mon And Get Some,M.I.K.E. To The D. ,You Come And See Me And You Pay A Fee ,Do What I Do Professionally ,To Tell The Truth I Am Exactly What I Want To Be,Now Ad-Rock And M.C.A. ,Let's Rock This Joint In The Old School Way,Well I'm On till The Crack Of Dawn ,Mowing Down M.C.'s Like I'm Mowing A Lawn ,I Go Off Like Nothing Can Phase Me,You Think We'll Ever Meet Stevie? One Of These Days, D.,But I Can Stand My Ground And I Am Down ,To Wax An M.C. Who Acts Like A Clown ,But For Now, I'd Like To Ask You  How ,You Like The Feel Of The Bass In Your Face In The Crowd
,
,
",Beastie Boys:Pass The Mic
