album,artist,lyrics,title
Genesis,Busta Rhymes,"Here we come yo,,here we go,,here we come yo,,here we go,,here we come yo,,here we go,,here we come yo,,here we go,Busta Rhymes nigga,,here we go,,flipmode nigga,,here we go,,neptunes nigga,,here we go,,once again my niggas,,here we gooahhhh,(come on) guess who's back in town,bitches get on the dance floor,and pull your shit on downnahh,from miles around,the way we fuck you niggas up,and flip a brand new sounddahhhh,the most hot shit all around,so hot it make a bitch wanna give me a powwaahh,huh! fall on the ground (come on),pull up a backwood and stay steamin the browwahhh,the way we come in your town,see we controllin your fort now come on give me your crownaahh,talk that shit to me girlahh, what you say? ah! strip for me,I got the camcorder shorty make a flick for meeahhh,and how wide yo ass can split for meeahhh,see how we be makin you black,and fuck the party up and keep the dj bringin it back,i'm sayin uh uh uh,all over the track man, uh pardon me uh,as I come back nigga,uh uh uh all over the track man,uh pardon me uh,as I come back nigga,uh uh uh all over the track man,uh pardon me uh,as I come back,uh uh uh all over the track man,uh pardon me uh,as I come back nigga,what we gonna do in 2002,even though we havin fun in 2001aah,stay strapped grippin my gun,whippin the truck pack wit bitches and stackin my oneaahh,and while we wildin and fun and all my bitches show me yo ass,and rep where your frommaahhhh,come on ahh!,cuttin it down in such a way it make police come shuttin it downahhh,I hope to see how we takin it there,while we at it mothafucka throw ya hands in the airahhh,valet parkin the car while we up in the club,buyin every drink at the barrahhh,we givin you this shit come on,show you niggas how we always flip the script come on ahhh,back off, get out my face,and every time we come through nigga give me my space,i'm sayin uh uh uh,all over the track man,uh pardon me uh,as I come back,uh uh uh all over the track man,uh pardon me uh,as I come back nigga,uh uh uh all over the track man,uh pardon me uh,as I come back ,uh uh uh all over the track man,uh pardon me uh,as I come backahhh,fo my doggs who be keepin it raw,while bitches be gaskin a nigga please gimme some moreahhh,the way you be shakin yo shit to da floorahhh,damn! ahhhh,i'm a give to you mommy fo sho,and if you couldn't take it then what is you fuckin me forahhh,ya'll niggas know how to act,when we get robbed niggas know we come push da shit back,im sayin uh uh uh,all over the track man,uh pardon me uh,as I come back,uh uh uh all over the track man,uh pardon me uh,as I come back nigga,uh uh uh all over the track man,uh pardon me uh,as I come back,uh uh uh all over the track man,uh pardon me uh,as I come baaaackahh
,
,
",Busta Rhymes:As I Come Back
Genesis,Busta Rhymes,"(Busta Rhymes),Let's get it goin,Yeah... yeah,I'm about to Picasso a new picture for you mufuckas,I'm baaack... yeah,I just want every one of you mothafuckas that here to do one thing with me,C'mon,(Chorus),Everybody rise, everybody rise, everybody riiiiiiiiise,C'mon, New York, Jersey, Philly, Bemore, D.C., Virginia, come on!,Everybody rise, everybody rise, everybody riiiiiiiiise,N.C., ATL, Chicago, Cleveland, Miami, LA, Houston,(Verse 1),We bite the nigga straight outta jail, give me the money nigga,I'll smack you stupid, ain't nuttin funny nigga,I'll lay a nigga out and use they ass to shoot like a marble black floor,Bloody something like a hacksaw,And then we stash a couple gats in the bag because we at war,Pistol whip some of these niggas, leavin em wit cracked jaws,Battlin like we in costalon, niggas see you supposed to know,We extremely serious niggas,You see it's so marvelous how we just strap more, pack more,No chichi niggas allowed, just throw em out the back door,This lone menace got it wicked for the protenants,You niggas soft like limp dick and lead progenes,Blessin the younger thug wit shit to look forward to,The god is back, so niggas is quick and to fast forward you,Yo, this shit be straight energy,You've been fuckin wit Flip Mode, nigga, while I'm refreshin your memory,C'mon!,(Chorus),Everybody rise, everybody rise, everybody riiiiiiiiise,N.O., Seattle, Detroit, St Louis, Dalas, South Carolina, niggas c'mon!,Everybody rise, everybody rise, everybody riiiiiiiiise,Connecticut, Pennsylvania, Boston, Buffalo, Delaware, Okland, Little Rock, c'mon!,(Verse 2),You see it's hectic, respect it,Blow up your deck until my cassette is ejected,How I will beat you just like your father, don't even bother,However nigga, whatever nigga, who wanna follow?,It gets coarse like the calice of a struggling black foot under privilege,I'm quick to stick you for your whole bank book,Bitches follow my bounce and follow my flow,Follow me now, follow me later, follow my glow,Ayyo, follow instructions and follow the pro,And to follow my magic, bitches wanna follow my doe,Keepin ya bouncing, got all my people singin the hook,Got bitches buggin like how niggas be wild in the brook,Look, we street niggas, while you live by the book,Funny nigga, ain't no need to shoot yourself in the foot,Fuck wit bitches that's gettin doe and they know how to cook,In every struggle, I always did whatever it took!,So all my niggas,(Chorus),Everybody rise, everybody rise, everybody riiiiiiiiise,Maryland, Michigan, Kansas, Kentucky, Alabama, Indiana, Utah, c'mon!,Everybody rise, everybody rise, everybody riiiiiiiiise,Phoenix, Memphis, Nashville, Mississippi, Rhode Island, Colorado, Wyoming, fuck it,Everybody rise, everybody rise, everybody riiiiiiiiise,Idaho, Illinois, Minnesota, Missouri, Oklahoma, Overgod, South Dakota, come on!,Everybody rise, everybody rise, everybody riiiiiiiiise,Almafon boroughs, Brooklyn, Queens, Yorksman, Hatinstaton alley niggas, come on!,Ha, yeah, everybody rise, come on,Everybody rise again, rise wit me mufuckas,As I welcome you all to the genesis,A whole new foundation, A whole new idea,A whole new experience,A whole... entire... new... movement,Busta Rhymes, Flip Mode Squad, I salute y'all,Yeah, yeah, come on, everybody riiiiiiiiiiiiiiise,Yeah, yeah, enough of the intro shit, let's get straight to it
,
,
",Busta Rhymes:Everybody Rise Again
Anarchy (2000),Busta Rhymes,"(feat. DMX & Jay-Z),(DMX),Uhh, that's some shit..,..that that that niggaz ain't even seen before,That's that shit! (Motherfuckers ain't never seen ,nothing like this before, for real man),It's goin down baby, uhh..,UHH!  Busta Rhymes,WHAT?!  Uhh, DMX nigga,Uhh, uhh, uhh, uhh, uhh,I see ghosts clearly; even though, most don't hear me,They still wanna get near me - fear me, so I'm leery,Kinda eerie what I'm feelin - from the floor, to the ceilin,Straight through the roof, want the truth?,I kinda miss robbin and stealin,cause it kept a nigga hungry, only eatin when I starved,I was ugly, so I robbed, no one loved me, shit was hard,Went to God once in a while when it got a little too hectic,He was the only one I knew that I respected (WHY?),Didn't know why, didn't know what I was livin was a lie,If I ain't shit then, why should I try,See, plenty niggaz die, over dumb shit, up in the hood,Real good heart, but up to no good,Thought I did what I could, but I guess it, wasn't enough,The Devil told me it would happen but I kept callin his bluff,When it rains it pours now, my pains are yours,as yours are what's mine, define, revolvin doors (nigga!),Chorus: Busta Rhymes,(Why?) All my niggaz tell me (why) tell me (we die),Cause we crazy with it, quick to blaze you with it,From in my soul to every word that I curse,with all the agony expressed in this verse;,let me ask my niggaz (why?),My niggaz tell me (why) tell me (we die),Because we Gods nigga (and) we go the yard nigga,Because I walk the ground under my feet,and keep it live and stay in tune with the street,Now let me ask my niggaz (why?),(Jay-Z),They say the good die young, in the hood where I'm from,I only got one question to that - why the fuck am I here?,I look to the air, I ask God, ""Love me please,"",but in reality, only people that hug me is thieves,Same niggaz that send shots through my rugby sleeves,They wanna, slug me and leave, I'm thinkin it must be me,Please shed light, the hood's dark,I did my dirt but got a good heart,Shouldn't that count for somethin?,I was told I'd amount to nothin, most of my childhood,Liked by folks it was stuntin my growth,Seperated me from the shit I was wantin the most,Felt myself comin close to pumpin them O's,Lump in my throat, chest poked out, face was poker,Tryin to, erase my ghostes, chase the smokers,Got demons on both shoulders, ,tryin to chauffeur my life through the streets,In other words nigga my will was weak,Please feel what I speak, ,this ain't your average ordinary jargon,weak rap niggaz be talkin,This shit is deep, from the mind of Busta, 'X and me,To all my fallen soldiers, rest in peace, til we meet niggaz,Chorus w/ minor variations,(Busta Rhymes),I must be cuckoo, like I respect the new-you, never,See you too could get it through your FUBU sweater,like a nigga when he walk in the dark, trespassin,on a nigga land, shots echo loud in the park,I live and die for all the shit I believe,And rep for everything I stand for ,with every single breath I breathe,Like the intake from cigarette smoke, it's like you inhale,the demon in the gutter stressed struggled and broke,If the shit was all over tomorrow, I'd leave a treasure,for my kids with a legacy for my CHILDREN to follow,You know it's funny how the good die first,Get the peppin in your steppin faggot nigga,cause you could die worse,Hold on, you know I cut off my arm, in the name of reppin,REAL NIGGAZ in the midst of droppin this bomb,Allah blessin me to rep for the better, and carry on,somethin great and keep a nigga name livin forever!,Chorus w/ minor variations
,
,
",Busta Rhymes:Why We Die
Anarchy (2000),Busta Rhymes,"(feat. Lenny Kravitz),Hoo, hah, hoo, hah,Yeah, yeah, yeah, yeah,Rock star shit niggas,From the street, to the stadium,From the street, to the stadium,From the street, to the stadium niggas,Now c'mon!,(Verse 1),Bouncing, every time I be hittin y'all niggas with shit,That be makin y'all niggas really wanna black up in the fucking spot,We keepin hot for my niggas fresh up off the block,Now all my people bust a shot BLOW, BLOW, BLOW!,Bus a Bus is back all in your face and I'm back to replace,And lace y'all niggas with shit that'll totally erase,These other corny niggas up outta your head,As far as I'm concerned none of them niggas can fuck with the dreds,WHAT, WHAT, WHAT!,Yeah, yeah, I be keepin it movin, and be keepin it groovin,Rep for my niggas by showin and provin,That we the illest when it comes to this here,Now go get the drinks, go get the blunts, and get the fire,What you say? YEAH, YEAH, YEAH!,What the fuck is bounce up in your truck when you start to conduct,Yourself in a way that be makin you wanna fuck,Wild out in the spot, and get to actin like savages,Tell the one who manages the spot, I got the damages,HO, HO!,CHORUS 2X:,I know y'all niggas want it (I know y'all bitches want it),WHAT,I know y'all really need it,HO,The shit to keep you bouncin,WHAT,To keep the party heated,Make Noise, Make Noise, Make Noise, Make Noise, c'mon!,(Verse 2),Busta Rhymes givin it to y'all niggas so check me out,While I pick up my crew and pick up Rah Digga,I'm talkin 'bout how we be puttin it down wit my Flipmode familia,That's a fact we comin through, so step back,MOVE, MOVE, MOVE, MOVE, MOVE!,Get the fuck up off of me and please release me from my shackle,Watch me and my crew and how we tacklin corner the market,Y'all niggas know exactly how we about to spark it,Makin all of you the target, BLAU, BLAU, BLAU!!,See how we be keepin it comin regardless whatever the reason,It never matters whatever the season,Now peep how we wildin', and breezin on through,When you know that we will keep it together whatever, get the cheddar,YEAH, YEAH, YEAH!!,Yeah now, lemme continue to talk to my people and continue,To blow the roof off the building and right before we get to,Wreckin the spot everybody climb up on something and tear the lights,Up off of the ceiling, BO, BO, BO, BO!!,CHORUS 2X,Hoo, yeah, yeah, yeah, yeah, yeah,Ha, Busta Rhymes, Lenny Kravitz, Make Noise now, c'mon!,From the streets, to the stadium, Busta Rhymes, Lenny Kravitz,Here we go now, Make Noise now, everybody now, c'mon!,Ha!,(Verse 3),How's about to keep it kinda raw and just give it to motherfuckers,And how we smash it and cash it we rip it from motherfuckers,You know we got it, you niggas know we rockin,And get all up in your pocket, YO, YO, YO!!,Yeah, yeah me and brother named Lenny Kravitz,We tearin it down and blowin the spot in the Jacob Javitz,However you wanna do it grab the gas and the matches and start the fire,Take it up a little higher! YEAH, YEAH, YEAH!!,CHORUS 2X
,
,
",Busta Rhymes:Make Noise
The Coming (1996),Busta Rhymes,"[Lord Have Mercy],It was a dark night, pitch black, May 20, 19...,Approximately 11:30 p.m., a black child was born.,Upon his arrival and rapid growth,,being exposed to the many casualties of the streets,,he has now realized what must be done....,He must bring the ruckus to all you mothafuckas..,He must bring the ruckus to All you mothafuckas..,He must bring the ruckus to ALL you mothafuckas!,[Rampage the Last Boy Scout],And now for the moment all you motha fucka's been waitin' for...,All my flipmode niggas rise and awake for ,the most powerful event to occur..THE COMING!!,Once again you now rockin' wit the best,Flipmode is the squad for the year of 1996.,UH! Rampage the Last Boy Scout is who I be,here to take you on another ride of the ,Flipmode explosion. Street to street, land to land,coverin' all burial grounds in your area.,I'm here to bring on my physical,,the 8th wonder of the world,,straight from the dungeon shot,,The infamous, the infamous, Busta Rhymes!,Boy Scout's who I be, Flipmode is still the squad...,[Busta Rhymes],Yo, hey yo, yo, this joint right here, is dedicated to all the ,mu'fucka's who fell off...and the mu'fucka's whose about ta fall off!,Yo, keep falling, keep fallin', hey!,Keep falling, yo, keep fallin', keep fallin.,This is specifically for the mothafuckas who came out here,,claimin' to represent hip-hop but really didn't do shit ,to preserve the value of the fuckin' artform,,the way of life. Hip-hop is a way to live man; ,it ain't no institutionalized religion or somethin',it's a way to live, it's a culture, dog, you know what I mean?,You know, so if you ain't really got nuthin beneficial,to offer this hip-hop shit, preserve the value of the artform,,the music, the way of living, don't even fuck wit it!,We don't need deadweight mothafuckas,This is where we at as it stands right now ,in the current day of 1996, mothafuckas.,There's only four years left. This is dedicated to,all the niggas who keep falling, keep fallin', so keep fallin'! ,AAAAAAHHHHHH!!! Ha, so keep fallin'..........thanks a lot.
,
,
",Busta Rhymes:The Coming (Intro)
Anarchy (2000),Busta Rhymes,"Intro:,yeah this next joint right here...,is dedicated to all my niggas that I love,all the niggas that held it down with me through the whole shit,from the beginning of the fort, to the now current day of the fort,from the beginning and the birth of this whole shit,to the now success of this whole shit,and all my peoples that be holdin it down for their peoples,ridin with them through thick and thin, love y'all niggas,peep it,CHORUS 2X:,1, 2,Everytime I sit and take a look at how we grew so much my niggas,1, 2,All the things I do, you know I will hold my flags for you my niggas,(verse 1),now, this how the shit all started,was like doctors of ? I was being conceived kinda retarded,like, and while my moms was conceiving this beautiful baby,doctors was the this woman's stress out of this Jamaican lady,Pops beef and straight carrying on,nobody realizing how the god was now being born,ayo, yo, 1, 2,while they was wildin and shit,they couldn't even find my pulse, sonogram on the frisk,so, they tried a natural birth, but had to stop production,baby stuck all up in the womb, another malfunction,1, 2,and now the doctors discover,they had to cut this lady's gut, and c-section me out of my mother,Pop duke could only sit and ask why,looked up in the sky and begged for mercy from the most high,c'mon, now, 1, 2,see now the day would feel blessed,watching the birth of a precious baby life manifest,see how that bugged me out,CHORUS,(over chorus),that shit, that type shit be buggin me out cuz...,y'know niggas, nigga look back,to them days when you know shit is kinda ill like y'knawmean?,nigga, niggas like fall out, y'knawmean?,motherfuckers is, niggas live long enough to look back and shit and,laugh and shit, y'knawmean?,(verse 2),young and learnin shit that started is thick,started inquiring alot, started using my dick,like I knew it all but I wasn't really knowin and shit,buggin when my pubic hairs started growin and shit,now hold up, a young nigga now a couple years pass,searchin desperate to experience my first piece of ass,now, gettin into mischief and caught my first arrest,started smoking weed and started totin on them cigarettes,eyes bloodshot like I was starin at a highbeam,nigga only twelve so why he lookin like he nineteen?,1, 2,the fast life baby, young with an old soul,from the past life baby,a young nigga wanted things and wanted money quick,ambitious on the Amtrak, wit a quarter brick,my nigga, 1, 2,it got hot in the streets,my nigga campaign the cops who started walkin the beat, my nigga,trouble causin too much problems just me and my brother,made mommy a grandma and shacked up with my babymother,now it a seed, I was always ready to clap shit,strugglin, so then I start fuckin 'round with this rap shit,moved to Long Island and got up with a few niggas,believin we could show the world we was the Leaders Of the New niggas,a crew of niggas that was hot like an infirmary,blazin til they started actin like bitches internally,so now, Flipmode is how we own it fo' sho,tried to fuck with niggas but I couldn't do it no more,fo rilla, 1, 2,and then I got with some niggas,always wit it to multiply the gross and double the figgas,and then I, hit with bombs and hold a stack in my palms,whippin Bentleys, floss icy shit and take care of moms,give the local little old man a job as my chaeuffeur,hold it down for all my niggas til the movement is over,it's kinda beautiful,CHORUS repeats to end,(over chorus),yeah, y'knawmean?,how we have acquired so much,where we can look back and, and actually laugh and lavish,in the, in the, in the moment,as we prime in life,look at how we, we struggled all this way and went through the bullshit,motherfuckin, little obstacles,situations they try to set up for niggas to fuckin fall off,and lose they hard earned shit, y'knowmean?,I holds it down for my niggas though,give my last to my niggas,all the niggas that was wit me through the whole shit,love y'all niggas, word,my Flipmode niggas, man
,
,
",Busta Rhymes:How Much We Grew
,Busta Rhymes,"Uh ah uh uuuuuuuuuuuuuuuuuuuhhhhhhhahaha ,Check it out,Flipmode squad '98,Raw deluxe,Check it out y'all,I be the street shit, the nigga your mama freak with,Put y'all niggas on it y'all know how to keep a secret,When I get money you know I like to keep it,How I get money niggas you try to peep it,Flipmode be niggas you wanna form a team with,Them get money niggas the ones to plot the scheme with,Them niggas that be used to getting money frequent,The ones that would always measure my triple beam with,Until they start [...],
,
,
",Busta Rhymes:Turn It Up (Remix)/Fire It Up
Anarchy (2000),Busta Rhymes,"(feat. Raekwon & Ghostface),(Raekwon),Straight up nigga, I'm a money nigga man,You know what time it is wit me, yo,That's right,Take the track, cut the heads off, split it down the middle man,Take the bones out man for real,Yeah all apple pie yeah,Straight up, Flipmode BK king,(Ghostface Killah),It was the best heist since ice,Precise rituals,Skated outta Jacob's wit the Fruit Loop jewels,Holdin a navy blue uzi,Krush Groovin waves off the atlas,Coolin, that's how we make movies,Basketball gun brawlers, bounce,Black down 'bill-a-head banks, Malibu colorful shanks,That's the way we live, Staten Island kid,Old dog in it, the thug vaccine wit no pork in it,Vivid imagination paper chasin,Dufflebag swollen, we holdin,Drink chocolate milk before we roll in,It's like that ya'll, we gangstas,Stickin all you Bay Ridge Benzes,I'm out to get erect, terrific shit be the diamond district,Tiffany's, pretty Valentine brick is on the second floor balcony,Gems is magnificent, diamonds is cryin,""Busta Rhymes take me, nevermind help!"",(Raekwon),Aiyyo caught em at the ice pavilion,Dressy, salad bar style Nestle,Four white niggas, covered in vest pieces,Think like a mob flick,Guessin like Patsy in the mask, piece bust,Got aggravated, slapped the glass piece,One nigga beamin, faggot ass,Lay on the floor ya fuck!,Tied his broken arm to his Hush Puppies,Wrapped around trauma, everything realer than fuck,Tajuana left my nigga niece live comma,Three young Italians, suited down personal style,I'm in valour white designin on the 'dallions,Felt like some crackers was in back of me,Spit on the clerk, pass the Harry Winston set,Ghost backin me,Bust a shot, motored,Four male in paper work Lord,We get together once more before we blow this,Murdered nobody,Left em all baseball'd down, brotha,Three wicked ass 6's, Gucci colors,(Busta Rhymes),MONEY! Drop dead on the floor,Nigga, pass the keys to the door,Pass me all the cash in the drawer,Or I promise you'll be payin the price,Feelin like a nigga died twice,Execute the world's greatest diamond heist,Ya'll niggas know we out to get this MONEY!,C'mon MONEY! 7x,Raekwon, Ghostface, Rocky Marce C'MON!,Let's get this money nigga,(Rocky Marciano),Yeah we ?near the mind? out west,Somewhere in Africa,The Feds is after us, vest on my back,Whippin the Acuras, feel like a mac bustin,A rug in Preston on percussion,I'll bust in your gate, nigga it's nothin,A hail storm, ice rainin, mind containin,Info, nigga what you in for? Complainin,Sick bars deep in this language,Did I tell you how my day's spent?,Speakin through the face of Ronald Regan,Iceberg History, calligraphy,Colidescope colors, hollow-head shells and flarin gunmen,Hate to see me comin like gray skies on day of judgment,Makes you wonder where the love went,Hit a nigga, feed him to some buzzards,Put up numbers, plus I'm one to push his mug in,We duck in the safe, check what I'm huggin,Rocks the size of some shit, out in the congo,My arms full, let's get the fuck out, Busta I got you,(Busta Rhymes),Aiyyo we do great study on fossils and stones like archeologists,Gem-ologists, collect the most priceless ices anonymous,Canary stones yellow like a pumpkin,Dunkin Donut precious size stones make me wanna cut the safe open,Rae pass the blowtorch, Ghost brought the dynamite stick,Marciano brought a chisel wit an ice pick,Princess cuts, invisible settings,Plannin the world's greatest diamond heist playin a tune by Otis Redding,Icicle cones hang from the ceiling just like stalagmites,Time to throw on a skully and tying a rag tight,Throwin light went off and in the basket,Grabbed the necklace from off the satin pillow while the glass casket,Ice lay across the crushed burgandy velvet,Up in the diamond slide-tray,Gun in your face, slide it right away,Roundtable with Habib, Mirishnokof, and the rest of them Jewish niggas,We got them niggas drunk and talkin foolish see,You know the way we straight manipulated the shit,We swindle them niggas for all their precious things before we skated and shit,Yeah, ya'll niggas know we skated early ,Disguised ourselves as the cidic Jews and even left my sideburns curly,Bounce to Mexico and spend some pesos,And bury the diamonds on an island your never heard,Like Turks in Keikos,Everytime we hit, we in and out quick,Don't be surprised if we behind supplyin niggas all the platinum and shit,MONEY! 17x,Yeah, the world's greatest jewel heist,Thoroughly and successfully executed,By none other than Ghostface Killah, Raekwon the Chef,Rock Marciano and Busta Rhymes,A job well done fellas, very good piece of work
,
,
",Busta Rhymes:The Heist
,"Busta Rhymes,Pete Rock","(Busta Rhymes),Yeah.. back by popular demand, it's about to get Godly,Yeah.. hold it now! AOWWW!,C'mon, c'mon (c'mon).. yeah,Huh.. c'mon, c'mon (c'mon).. yeah,Huh!,Bear witness on the way we stay cuttin 'em down,In two-thousand-two, shuttin 'em down,Have you sippin on it 'til you start suckin it down,I hope you know that we ain't FUCKIN around,Niggaz you betta BELIEVE when you see me the shit be double trouble,I overLOAD and take this SHIT to another level,I shut it down, sho' nuff, pack ya bags,Let me work, make it hurt, cause I'm next wreck,Lay flat nigga hit the deck, or face big DISrespect,In addition the SHIT we wreck,Firework flow, spit and make a BIG effect,Bang it in the truck until ya whole SHIT eject, c'mon,Stop nigga, close ya shop,SCUD missile launched fire burn quick, every SHIT we drop,From the GROUND with another sound yes we put it down,and always BOOM and pound, so we shut 'em down,(Chorus: Busta Rhymes + (Pete Rock),I shut 'em down (shut 'em down, shut shut shut 'em down),I shut 'em down (sh-sh, sh-sh, shut shut 'em down),I shut 'em down (shut 'em down, shut shut shut 'em down),I shut 'em down (shut 'em, sh-shut, shut shut 'em down),I shut 'em down (shut 'em down, shut-sh-shut 'em down),I shut 'em down (sh-sh, sh-sh, shut shut 'em down),I shut 'em down (shut 'em down, shut shut shut 'em down),I shut 'em down (shut 'em down, shut shut 'em down),(Busta Rhymes),Hah!,One two three four five six seven eight nine,Comin THROUGH, betta tuck in ya shine,Once ya lookin for the HEAT, if ya seek it will find,I had these devils watchin me sayin these sneakers is mine!,Now hold up - we drop the bomb first then get under ya mom's skirt,to get her frenzied like a motherfuckin rock concert,While you're busy and tryin to FIGURE what the God's worth,I'll malfunction your plans 'til the motherfuckin sound work,Now I'ma CUSS when I BUST ya ass,And leave 'em stiff when I hit 'em like a MUSTARD gas,Steam fire when I puff, then I flick the ash,You wack and I had enough, put your shit in the trash,Now you know we got the shit in the smash,Wild until you slip and you crash, y'know we keep the SHIT in the stash,From the GROUND when we come around, yes we put it down,and always BOOM AND POUND, when we shut 'em down,(Chorus - w/ minor variations),(Intro to ""Genesis""),As we rockin you all to the future,Ahhh, we come to give you that,Operatin like we be official,Yeah, we come to multiply,And we're plannin the scheme for the long win,Yeah, our shit be always right,Every move you'll see how it's related..
,
,
",Busta Rhymes:Shut 'Em Down 2002
Anarchy (2000),Busta Rhymes,"(feat. M.O.P.),(Busta Rhymes),Tri-lateral commission,Berkowitz, Fizzy Wo', Bust-Down,(AiYAHHHHHHHHH!),Chorus: Busta Rhymes + M.O.P.,Everytime I take a look, the only thing I see is,MY LIVE NIGGAZ IN THE SPOT,Tell me what y'all want,GIVE ME EVERYTHING YOU GOT,Y'all niggaz ready to do it,LET'S BLOW THE MOTHERFUCKIN SPOT,All my niggaz,ATTENTION.. (LOUD AND CLEAR),WHERE MY NIGGAZ READY FOR WAR? (WE RIGHT HERE!),GET EM (WHEN WE SPOT EM) HIT EM (KID WE GOT EM),WHERE MY NIGGAZ READY FOR WAR? (WE RIGHT HERE!),(Billy Danze),I got reason to believe, some of you niggaz feel,the man isn't live and direct (GET AT EM BILL!),LONG, breathe easy pop, this is Hip-Hop,in the HARM WAY, we do it the war way, all day,I never procrastinate (you shouldn't),I'm from where the war games fascinate (you couldn't),You wouldn't believe what they've been tellin me,The perfect match is jail and me,cause I was born with a felony (uh uh uh),Fuck that!  How this shit look,when a nigga stretched out, with his chest out,and a mess out in Brooklyn, HI-YAHHHHHH,(Busta Rhymes),Y'all motherfuckers is back?!,Y'all motherfuckers don't know how to act,Y'all motherfuckers attack!!,(Billy Danze),And those motherfuckers are wack, I travelled a rocky road,Swift to the Flipmode, quick grip for the unload,Father forgive me for my sins,but I'ma raise hell to the bitter end - I'm a soldier!,Chorus,(Lil' Fame),Fuck the bullshit!  I kick a bone out yo' ass,Hardrock nigga?!  I kick a stone out yo' ass!,Warning, to all those, caps get peeled,quicker than e-mail to your ass sayin, ""Kill kill kill!"",Curb chasin, straight lacin, with a Mac-10 blazin,Split yo' ass up like a Temptation,You cats is animated cartoons (WHO YOU?),The return of Goodfellas Part Two,BITCH throw your fuckin guns up, put your fuckin hands down,HOT FLAMES UP, (buck you with), (BUSTA BUST DOWN),We sneak the guns right in, y'all keep tryin,and I'ma check all pussies like a G-Y-N,Open up your can of ""Whoop Ass""; I'll open up,a fresh can of ""I'll Fuck Yo' Ass Up Quick Fast"",Flipmode, M.O.P. Fizzy Wo-mack, Wo-mack,Y'all know who the fuck I am!,Chorus,(Busta Rhymes),Aiyyo yo-yuh-yo, and now I hear no one,(you) would let less than a motherfucker fear no one,None of y'all niggaz don't really wanna fuck with the dread,The street brawler stomp your face into the back of yo' head,C'mon now, I'm quick to roast fry boil and even toast a guy,Multiply the ghosts like the world's greatest coke supply,Shit changed, you sellin WEED over the damn computer,Introduce the millenium STOMP nigga for the future,I be that prime honorary nigga,that'll voluntarily blast the last, Tom & Jerry ass nigga,And write raps to the sound of these gats,Perhaps my raps will paralyze a bitch-ass and make him collapse,Yo, see they be quick to bust they fashion of a calico,My niggaz Berkowitz and that other motherfucker Fizzy Wo',Mashin through the city yo, and the foot it don't lie,Ready to blow this bitch up at the drop of a dime,Chorus,(ad libs for about 8 seconds before fade)
,
,
",Busta Rhymes:Ready For War
