album,artist,lyrics,title
,Chingy,"Uh uh bounce, yeah,Uh uh bounce, yeah,I'm a take her down through there,I'm a take her down through there,I'm a take her down through there,I'm a take her down through there,Bounce that ass,,Bounce that ass,,Bounce that ass,,Bounce it,,[4x],She's a 5 star chick,But I'm not Yo Gotti,,I ain't chingalingin',I will take yo hottie,,I call her coca-cola,Just because of her body,I call her coca-cola,Just because of her body,[...] ass like ""whoa kemosabe"",[...] ass like ""whoa kemosabe"",She's a bobblehead,So I call the hoe Bobby,At the party I pulled up,In that Maserati,Nigga I'm the man,,Came to throw a grand,Quit jockin me hater,And do yo own dance,5'6"" mommy right there my type tho,Trying to see if she can suck it out like lipo,Girl, your chance this it so call me Michael,Norman Bates, the p*ssy killin, I'm so psycho,Take her down through there, yeah,Take her down through there, yeah,I'm a take her down through there, yeah,Take her down through there, yeah,Bounce that ass,,Bounce that ass,,Bounce that ass,,Bounce it,,[4x],She's a bad bitch,But I'm not Lil Baby,Wanna get it poppin,We can take it the tellie,Check my country grammar bitch,But no I'm not Nellie,Check my country grammar bitch,But no I'm not Nellie,Yeah I keep that cheese baby,You can call me Yellie,Not Jeezy,But it ain't shit that you can tell me,Money that you sensing,So I know that you can smell me,Think that I'm the shit,,Hundred on my wrist,Ain't a cat in this club,That can do it like this,5'6"" mommy right there my type tho,Trying to see if she can suck it out like lipo,Girl, your chance this it so call me Michael,Norman Bates, the pussy killin, I'm so psycho,Take her down through there, yeah,Take her down through there, yeah,I'm a take her down through there, yeah,Take her down through there, yeah,Bounce that ass,,Bounce that ass,,Bounce that ass,,Bounce it,,[4x],I will make her bed rock,But I'm not Young Money,When it comes to chicks,I got it wrapped like a mummy,Fresh thugs all day and night never bummy,Fresh thugs all day and night never bummy,Need your pipes fixed mama?,I can do the plumbing,Need your pipes fixed mama?,I can do the plumbing,Cats cuff they hoes,When they hear that I'm coming,Talk shit then I'll pull and they start runnin',Yayuh I'm that dude,Always makin moves,At your girl. doubt me buster?,I ain't got shit to prove,5'6"" mommy right there my type tho,Trying to see if she can suck it out like lipo,Girl, your chance this it so call me Michael,Norman Bates, the pussy killin, I'm so psycho,Take her down through there, yeah,Take her down through there, yeah,I'm a take her down through there, yeah,Take her down through there, yeah,Bounce that ass,,Bounce that ass,,Bounce that ass,,Bounce it,,[4x],I'm a take her down through there,I'm a take her down through there,I'm a take her down through there,I'm a take her down through there,Bounce,Bounce,Bounce
,
,
",Chingy:Down Thru Durr
,Chingy,"Yeahhh, Valentino (she make me say oOoOoOoohhhh),Now y'all know im the creator soo i like this right hahaha,Blue collar dreams,They call this the chingy cool j right now hahahaha,CHORUS:,I get nervous when i see ya cause girl you know i want you ,Thinkin bout you baby give you anythin you want,Will you be my girl, be my girl, be my girl, be my girl,Lets take trips around the world shopping sprees too,,Don't worry bout nobody its just me and you,Be my girl, be my girl, be my girl, be my girl,VERSE 1,When i see ya i want ya girl ,Girl i feel like i know ya,,Just wanna let you know i got this lil thing for ya,Before i saw ya i heard ya and then i met ya,If i have to travel the world girl im gon catch ya ,I be feelin ya style i be feelin ya smile, ,If gettin you was a crime i wanna stay on trial,These bustas dont deserve ya, playa he got the nerve to,Ill be ya butler and your waiter be happy to serve ya,And i promise to never do you wrong girl come on, ,My right hand to god this the truth on this song,I got a soft spot for ya can ya digg it mama,Just text me when you get in town we can kick it mama ,Im one call away and thas everyday and if im in your town just tell me where to stay,Bridge:,She make me say,OOoOoOoohhhh,OOoOoOoohhhh,CHORUS,VERSE 2,Baby its been a while since the last time i saw ya,And i lost my phone since the last time i called ya,And ima be real wit ya i aint tryin to stalk ya,Theres a book bout ya called angel and im the author,Want you to be my friend, lover, homie, and my partner,We can see each other every night and day like a cardinal,You feelin wat im feelin baby tell me cause you oughta,Back then i was trippin now days im kinda smarter,The life you livin im just askin can i be a part of?,And for some reason i see you havin my lil daughter,I got a soft spot for ya can ya digg it mama,Just text me when you get in town we can kick it mama ,Im one call away and thas everyday ,And when im in your town just tell me where to stay,BRIDGE,CHORUS,VERSE 3:Bobby Valentino,My lil chick shes so bad, funnest thing that i ever had,Ride or die she my bottom girl, she was wit me when i was on bottom yeee,She got her own money, independent,If love was a game she'd be the winner,Ride or die she my bottom girl, she was wit me when i was on bottom yeee,OOoOoOoohhhh,I dig that,OOoOoOoohhhh,OOoOoOoohhhh,Be my girl, be my girl, be my girl,OOoOoOoohhhh,OOoOoOoohhhh,OOoOoOoohhhh,Be my girl (yeahh), be my girl, be my girl YEAHH
,
,
",Chingy:Be My Girl
,Chingy,"(Intro: Snoop Dogg),Bomb ass UHHH,Ma ooh you got that bomb, know you got it,Ma ooh, you got some bomb ass UHHH,Ma I know you got that bomb bomb UHH,(Chorus: Snoop) + (Girl),(Whachu doin?) Nothing chillin at the Holidae Inn,(Who you wit?) Me and my peeps won't you bring four of your friends,(What we gon' do?) Feel on each other and sip on some ,* one thing leading to another let the party begin,(Chorus: Chingy) + (Girl),(Whachu doin?) Nothing chillin at the Holidae Inn,(Who you wit?) Me and my peeps won't you bring four of your friends,(What we gon' do?) Feel on each other and sip on some ,* One thing leading to another let the party begin,(Verse 1: Chingy),Peeps call me up {*phone ring*} said it's a ho-tel party,Just bring the liquor there's already eight shawties,I'm on my way (way) let me stop by the store,Get a 12 pack of Corona, plus an ounce of 'dro, ya know?,Now I'm on Highway 270 to Natural Bridge Road,I'm already blowed, hit third I'm a be be blowed some mo',Pulled up, stop parked, rims still spinning,Valet look like he in the game and must be winning,To room 490 I'm headed, on my way up,There's three girls on the elevator like wassup,I told em follow me they knew I had it cracking B,One said ain't you that boy that be on BET?,Ya that's me, Ching-a-ling equipped wit much ding-a-ling,Knock on the door I'm on the scene of things,Busted in, Henny bottle to the face!,Ugh then, feel like my head a toxic waste,There's some pretty girls in herre, I heard em whispering,Talking bout that's that dude that sing 'Right Thurr' he glistening,I ain't come to talk (talk) I ain't come to sit (sit),What I came for was to find out who I'm gon hit, aww shit,(Chorus: Snoop + Chingy),(Verse 2: Chingy),Ma showed up like what's the hold up?,Man know what get them wraps and roll up,I took a chick in the bathroom seeing what's poppin,You know what's on my mind, shirts off and panties dropping,Niggaz knocking on the door drunk, and silly,The girl said can I be in yo video I'm like yeah!, oh really?,Now she naked strip teasing, me I'm just cheesing,She gave me a reason to be a damn heathen,Handled that, told ol' G, bring tha camera,Then I thought about, no footage while I ram her,Walked out the bathroom smiling, cats still whiling,Sharing the next room wit some girls lookin like they from an island,(Chorus: Snoop + Chingy),(Verse 3: Ludacris),Stop, drop, KABOOM!, baby rub on ya *,Some call me Ludacris, some call me Mr. Wiggles,Far from little, make ya mammary glands giggle,Got 'em under control, the bowl of tender biddles,Doc-tor giggles, I can't stop until it tickles,Just play a little D and I'll make ya mouth dribble,Bits and Kibbles, got 'em all after the pickle,I swing it like a bat, but these balls are not whiffle,Hit 'em in triples, wit no strikes, stripes, or whistles,I ain't felt this good, since my wood lived off a thistle,Sippin' some ripple, I got quarters, dimes, and nickels,For shizzle dizzle, I'm on a track with the Big Snoop Dizzle,Let the Henny trickle, down the beat, wit a ghetto tempo,I done blazed the instrumental, laid it plain and simple,Getting brain in the rental, I done did it again,My eyes chinky, I'm wit Chingy, at the Holidae In,(Chorus: Snoop + Chingy),(Outro: Snoop Dogg),Yeah, let the party begin, *,Ching-a-ling Ling, all the way in St. Louis,My nigga Chingy, Disturbing Tha Peace,Luda, Luda, going hard on you hoes,Yeah bitch, bring four of ya friends,Meet me at the Holidae In,Bring a gang of that Hen, some DSOP,Oh wee, and light that sticky icky,And we gone do the damn thing,Now what I'm talking bout,We gon' disturb the peace right now,Yeah we ain't doing nothing but chillin,We chillin' and nuttin',Know what I'm talking bout, so push the button,You know what's happenin', fa shizzle, uh huh,Yeah bitch, trying to run from this pimpin',You can't out run the pimpin' bitch, I done told you
,
,
",Chingy:Holidae In (Clean)
,Chingy," ,
,
,
",Chingy:Jackpot Intro
,Chingy,"(Swizz Beats) ,Turn it up so they can hear this. It's Full Surface, y'all. Cassidy ,c'mon! I said...It's Full Surface, y'all. Cassidy, c'mon! ,(VERSE 1) ,These niggaz wanna act like Cass, wanna stack like Cass ,Wanna copy my gear, wear they hat like Cass ,Then they try to spit it on a track like Cass ,But niggaz hear the track and say, (""That's not Cass!"") ,Cats don't be clappin' wit the gat like cass ,One she'll make back crack like crabs ,Ya flow played out, you been wack like plaid ,I peel bills and they come back like scabs ,The hoes know won't nobody mack like Cass ,Lay the pipe and hit it from the back like Cass ,The chain hang, diamonds in that like glass ,This crap life switched to the rap life fast ,(CHORUS 2x) ,From the block to the studio back to the block ,Yeah I rap over packs on the block ,I'm husslin' (All night long!) ,I'm husslin' (To the break of dawn!) ,Come on! ,(VERSE 2) ,These niggaz wanna shop like Cass, play the block like Cass ,Wanna copy my flow so they hot like Cass ,Niggaz try and get it on lock like Cass ,But niggaz hear ya shit and say, (""That's not Cass!"") ,You don't take bullets out the box like Cass ,Load guns that hold a hundred shots like Cass ,Roll like Cass, stroll like Cass ,Got the blimp that be pimpin' all the hoes like Cass ,Niggaz don't be sittin' in the Rov like Cass ,Wit the Rolls gold, got they wrist froze like Cass ,Who can play the strip and get it sold like Cass ,This rap life done switched to my old life fast ,(CHORUS 2x) ,From the block to the studio back to the block ,Yeah I rap over packs on the block ,I'm husslin' (All night long!) ,I'm husslin' (To the break of dawn!) ,Come on! ,(VERSE 3) ,These niggaz want a brick like Cass to get rich like Cass ,Put a bunch of punch lines in they shit like Cass ,It's a million niggaz tryna spit like Cass ,But niggaz hear they shit and say, (""That's not Cass!"") ,I get mad when try and bees like this ,And dudes that produce try and bees like Swizz ,They hit the keys on the MP's like Swizz ,But when the beat play I say, ""He's not Swizz!"" ,Y'all niggaz just can't shine like us ,We put in time, niggaz ain't grind like us ,Name two niggaz you could find like us ,Wit the hard beats and the hard rhymes like us ,(CHORUS 2x) ,From the block to the studio back to the block ,Yeah I rap over packs on the block ,I'm husslin' (All night long!) ,I'm husslin' (To the break of dawn!) ,Come on!
,
,
",Chingy:Husslin'
,Chingy,"Bomb Ooh UHHH ,Ma ooh you got that bomb, know you got it ,Ma ooh, you got some bomb Ooh UHHH ,Ma I know you got that bomb bomb SHHH ,(Whachu doin?) Nothing chillin at the Holidae In ,(Who you wit?) Me and my peeps won't you bring four of your friends ,(What we gon' do?) Feel on each other and sip on some SHHH ,One thing leading to another let the party begin ,(Whachu doin?) Nothing chillin at the Holidae In ,(Who you wit?) Me and my peeps won't you bring four of your friends ,(What we gon' do?) Feel on each other and sip on some SHHH ,One thing leading to another let the party begin ,Peeps call me up {*phone ring*} said it's a ho-tel party ,Just bring the liquor there's already eight shawties ,I'm on my way (way) let me stop by the store ,Get a 12 pack of Corona, plus an {coughs} of 'dro, ya know? ,Now I'm on Highway 270 to Natural Bridge Road,I'm already UHHH, hit third I'm a be Ooh some mo' ,Pulled up, stop parked, rims still spinning ,Valet look like he in the game and must be winning ,To room 490 I'm headed, on my way up ,There's three girls on the elevator like wassup ,I told em follow me they knew I had it cracking B ,One said ain't you that boy that be on BET? ,Ya that's me, Ching-a-ling equipped wit much ding-a-ling ,Knock on the door I'm on the scene of things Busted in, ,Henny bottle to the face! OOOH it then, feel like my head a toxic waste ,There's some pretty girls in herre, ,I heard em whispering ,Talking bout that's that dude that sing ,'Right Thurr' he glistening ,I ain't come to talk (talk) ,I ain't come to sit (sit) ,What I came for was to find out who I'm gon hit, AWWW ,(Whachu doin?) Nothing chillin at the Holidae In ,(Who you wit?) Me and my peeps won't you bring four of your friends ,(What we gon' do?) Feel on each other and sip on some SHHH ,One thing leading to another let the party begin ,(Whachu doin?) Nothing chillin at the Holidae In ,(Who you wit?) Me and my peeps won't you bring four of your friends ,(What we gon' do?) Feel on each other and sip on some SHHH ,One thing leading to another let the party begin ,Ma showed up like what's the hold up? ,Man know what get them wraps and roll up ,I took a chick in the bathroom seeing what's poppin ,You know what's on my mind, SHHH off and AWW dropping ,OOOH knocking on the door drunk, ,and silly The girl said can I be in yo video ,I'm like yeah!, oh really? ,Now she UHHH strip teasing, me ,I'm just cheesing She gave me a reason to be a {dings} heathen ,Handled that, told ol' ,G, bring tha camera ,Then I thought about, no footage while I ram her ,Walked out the bathroom smiling, ,Cats still whiling ,Sharing the next room wit some girls lookin like they from an island ,(Whachu doin?) Nothing chillin at the Holidae In ,(Who you wit?) Me and my peeps won't you bring four of your friends ,(What we gon' do?) Feel on each other and sip on some SHHH ,One thing leading to another let the party begin ,(Whachu doin?) Nothing chillin at the Holidae In ,(Who you wit?) Me and my peeps won't you bring four of your friends ,(What we gon' do?) Feel on each other and sip on some SHHH ,One thing leading to another let the party begin ,Stop, drop, KABOOM!, baby rub on ya UHHH ,Some call me Ludacris, some call me Mr. Wiggles ,Far from little, make ya mammary glands giggle ,Got 'em under control, the bowl of tender biddles ,Doc-tor giggles, I can't stop until it tickles ,Just play a little D and I'll make ya mouth dribble ,Bits and Kibbles, got 'em all after the pickle ,I swing it like a bat, but these balls are not whiffle ,Hit 'em in triples, wit no strikes, stripes, or whistles ,I ain't felt this good, since my wood lived off a thistle ,Sippin' some ripple, I got quarters, dimes, and nickels ,For shizzle dizzle, I'm on a track with the ,Big Snoop Dizzle ,Let the Henny trickle, down the beat, wit a ghetto tempo ,I done blazed the instrumental, laid it plain and simple ,Getting brain in the rental, I done did it again ,My eyes chinky, I'm wit Chingy, at the Holidae In ,Whachu doin?) Nothing chillin at the Holidae In ,(Who you wit?) Me and my peeps won't you bring four of your friends ,(What we gon' do?) Feel on each other and sip on some SHHH ,One thing leading to another let the party begin ,(Whachu doin?) Nothing chillin at the Holidae In ,(Who you wit?) Me and my peeps won't you bring four of your friends ,(What we gon' do?) Feel on each other and sip on some SHHH ,One thing leading to another let the party begin
,
,
",Chingy:Holidae In(Super Clean)
,Chingy,"(feat. Lil Fate, Tity Boi, Chingy),[I-20],Yeah Yeah,[Tity Boi],Yeah, Yeah Hey, hey, hey, hey,[Chingy],Yeah Yeah,[Lil Fate],Yeah Yeah,[All],Yeah Yeah,[Chingy],They fightin in tha club,[Chorus: I-20 (Chingy) repeat 2x],They thugged out (thugged out),So clear tha club out (club out),Niggas get drugged out (drugged out),(i say they fightin in tha club),[I-20],Yeah dealem bitch recognize im back up on my grind hoe,Niggas talkin this and that and wonder what i sound hoe,Oh now you hatin DTP cause we got tha game sold,Botton line you gotta problem then tell it to my 9 hoe,Fuck ya boy he somebody, swing it till that nigga dead,Chingy make a chicken head,Tell that chick to give me head ,You can die tonight hoe ,Get a pill roll on,Feezy where them hoes at,Tity all the dro gone,D my sista stunnem man i hope that i'll support her,You can tell my niece call her i will die for her father,I-20 is a street nigga better recognize we aint gotta go our sides,We can doit it in tha filth,[Chorus: I-20 (Chingy) repeat 2x],They thugged out (thugged out),So clear tha club out (club out),Niggas get drugged out (drugged out),(i say they fightin in tha club),[Lil Fate],Now you can catch me in tha DnDnC them boys throwin up they thumbs,North north won this bitch nigga where you from,Southside eastside westside there reclyin ,Boys throwin signs 'bout to start a fuckin riot,Bangin,niggas real gangstas in tha M-Town,But im from the ""A"" so this is the type of shit i been round,Nigga yeah fuck yall niggas ya niggas wankstas,They got his ass beat with bottles chairs and tables,[Chorus: I-20 (Chingy) repeat 2x],They thugged out (thugged out),So clear tha club out (club out),Niggas get drugged out (drugged out),(i say they fightin in tha club),[Tity Boi],It's a chair over there and a bottle to tha left,Aint nobody playing fair ever man for themselve,When the push come to shove, shove come to push,You against us now us against you,All the buses came in 22's when the spre whole crew,And you probably gon run when the girls screamin ""i thought i seen a gun"",They yellin that they fightin in tha club,Got people doing stunts got people rolling blunts,Got people in the ring got people that have sense,You need to stay low till you get out this building,Bursting everything even ya enemy ,Niggas swinging pool sticks niggas throwing pool balls,Got niggas throwing bottles and got them throwing them all,I get locked up, I'mma get out tomorrow,They fightin in the club,Its all our fault had to go to waste cause all us folks,We used everthing for all us quote they took everything from all us,Folks my blue shirt and they all got tore ,Break pay for it we all got dough buckem bust buckem bust,They fightin in tha club,[Chorus: I-20 (Chingy) repeat 2x],They thugged out (thugged out),So clear tha club out (club out),Niggas get drugged out (drugged out),(i say they fightin in tha club),[Chingy],They fightin you fightin then get out tha spot,Hey black creep out to the ride and get ya shit and pop,In fact I'm posted by the bar like tha hood star that i am,Dont make me up my peace and turn ya brains into some jam,Ya heard that nigga got scared ya scared bust his head with ,A beer ya heard why you runnin over here to scared,Fuck them blaze up that urb barlin parkin its like them tennis,So did i mention that DTP'll tear tha club up,Bitch nigga whats up dont get fucked up we'll blow yo truck up,Atlanta to St.Louis they bangin gangs or not yeah ,I bang a AK and it got a Gang of shot dont get shot .... im from tha block,[Chorus: I-20 (Chingy) repeat 2x],They thugged out (thugged out),So clear tha club out (club out),Niggas get drugged out (drugged out),(i say they fightin in tha club)
,
,
",Chingy:Fightin' In The Club
,Chingy,"i got a shoulda to cry on when ya hurt,right afta you done did yo mutha f**kin dirt,the time ain't not fit the crime,but suicide's not the key,reachin out to my brothas an othas jus like me,somebody lend me a shoulda to cryyyy on,lay ya head on me ,i'll be right there where you neeeeed,sometimes i feel stressed out but (they ain?) drinkin quarts,keep mah chest out,many ways of the world keep me swirled on what's the best route,maybe i died young and cookin provide none ,plenty hustle for fake not to own an ride, dumb,the world is all game do small thangs get small change,lace up ya shoes make moves an let ya balls hang,too many sit back an say how did he git that,the first to have they hand out but last to have they shit crack,without a warnin, you could die tonight an be widout a mournin,the sun don't shine all the time nigga widout a stormin,smokin to maintain tryin to come up off knot,a damn thang, its a damn shame its fun to get done in this damn game,so i cry on to get my high on ,and the prize but i got my eye on do for self what i rely on shows,i got a shoulda to cry on when ya hurt,right afta you done did yo mutha f**kin dirt,the time ain't not fit the crime,but suicide's not the key,reachin out to my brothas an othas jus like me,stop the pain, please lord, try ta stop the pain,police out to get us,no way they could stop the game,got capone, talk to em on prom night,said he need some herb, tell em stay calm right,i feelin side effects his olda brotha engaged ,the cell jail tells sorry for not sendin no mail ale,van gogh wus up wit ja boy fos up,hit 9 times ima rhyme fo miss blatant crimes,yall know what yall be doin,play the role of a g,word out ta git ya,a century no history,the penitentiary not meant for me so i can't go,not meant for you you chose to go but times move slow,don't ever see me it's gettin older, behold the,sorrow tomorrow i got a shoulda,man so what you think they in thurr an we out hurr is gravy,you crazy,the population reslavery,did i forget to rhyme i didn't try to,my partner (cuffs me?) down to die too an ride through,let ya time pass then i will go home,i might be open but i hope i ain't goin capone,i got a shoulda to cry on when ya hurt,right afta you done did yo mutha f**kin dirt,the time ain't not fit the crime,but suicide's not the key,reachin out to my brothas an othas jus like me,somebody lend me a shoulda to cryyyy on,lay ya head on me ,i'll be right there where you neeeeed,somebody lend me a shoulda to cryyyy on,lay ya head on me ,i'll be right there where you neeeeed,i'm right here in yo face wid a lendin hand,prison brings the bitch out the toughest man,but you try not to show it, claimin you claustrophobic,convicted can't kick it an when the lights cut off you know it,and gang bangas gettin played out some niggas can't let go,an sit up in they cell laid out,yo life's a constant lesson and everything you wanna do you gotta ask permission,hated to where you livin ima drink it (all for dark?) down to the suds,i got green leaves for (thick stuff?) when i roll up buds,an get f**ked up,for (brad code jack?) an others all of em black brothers,hold ya head mothaf**kas,my dream is to rap and show you that i care,this song might bring you to tears but life ain't fair,just be on God's side, an pray to our law,to forgive you for your wrong doins before you die,oh why, tell me why, gotta be like this,judges holdin grudges f**k that shit,be kins instead of seekin for revenge,police ain't no beast til yo ass die in,cryin through hell less mah cell get locked,we in jail so this muthaf**ka gon get rocked,for rock is there a heaven for a convicted felon,ain't no muthaf**kin tellin i wish i could ask my ('cause an friend jeff?),somebody lend me a shoulda to cryyyy on,lay ya head on me ,i'll be right there where you neeeeed,somebody lend me a shoulda to cryyyy on,lay ya head on me ,i'll be right there where you neeeeed,somebody lend me a shoulda to cryyyy on,lay ya head on me ,i'll be right there where you neeeeed,somebody lend me a shoulda to cryyyy on,lay ya head on me ,i'll be right there where you neeeeed,somebody lend me a shoulda to cryyyy on,lay ya head on me ,i'll be right there where you neeeeed,somebody lend me a shoulda to cryyyy on,lay ya head on me ,i'll be right there where you neeeeed,somebody lend me a shoulda
,
,
",Chingy:A Shoulder
,Chingy,"INTRO: ,Hahahaha.,Ghost riders,I remember when this said it's gon B nothin ,Noww , look .. we got fast cars ., fast ho's, fast money ,All dem shots and we still here. nigga you run this city ,Yo. look here,MAIN: ,My uncle snoop dogg told me go hard on a ho ,Dey wont listen ,When i speakin slap stars on a ho ,Hit the dealer ,take the baddest fuckin car in the flow ,Club nice ten G's on the bar here we go.,Caddelac pimpin homie you should see what i drive callin my monster vehicle its like its alive. ,Women swimmin to my nuts you should see when they dive ,Husbands be lookin for me since i be with theire wives ,Honebee's on on my dick like i beat on the hyve,Busta take that kinda mouthin and a skiet in her eye,She can see where im comin from ,but seein suprised other brallz told about me now she seein the size,Even afther my concert she still seeing me live.,G.I.B. money gain ,you aint see in these guys think you seein my tribe static when we arrive.,You in the missesipy flow with your brains on the side.,REFREIN:,Bad chiks,hot cars,bank rose,fuck the laws,Get it boys,got the ball,chicks taint? ya top star,Thugss bust (buckbuckbuck)ya block star,stripes yeah, we got cars ,front row.,To livin large , what we are baby Blockstars,Chek it out ,ey,Now them mad rims pokin out like fake breasts, muscle on the barrle fucking nigge's not dem same sex,Its superstars that don't like me so who gon hate, next cowards bout to fell out, yea we comin with eight cheques,Im tryin to have it to where my sons writin paid cheques , so if i diamond curlin i say it'l be straight set,Froutelume whip, yeah its a great vet youze a average loser and im a great vet .,Feel like i died came back and died again, lessons in life tought me i got no motherfockin friends,Some haters jack me knowin imma get revange, when i play i play to win ,gankin me now thats a sin.,Id overtan ,faded off and see .... cock my hat,cock my strap and put that pine in the wind,Corners we been , ex famous murder ville fuck the jury once youre life im bout ta,MURDER KILL KILL,REFREIN:,Bad chiks,hot cars,bank rose,fuck the laws,Get it boys,got the ball,chicks taint? ya top star,Thugss bust (buckbuckbuck)ya block star,stripes yeah, we got cars ,front row.,To livin large , what we are baby Blockstars,I keep dem riders with me like i own the fight club i must be trowin a party catch me in a fuckin night club,P cat's stairin at me jealous with a slight mug, dirty you wrongg but arnt you fuckin with the right thug,Call me cats but with a pistol ,yeah ghost rider not from the west or east im a midwest coastrider,Nutty northsider fool with a attitude nickname handyman i stay with a couple pools,REFREIN:,Bad chiks,hot cars,bank rose,fuck the laws,Get it boys,got the ball,chicks taint? ya top star,Thugss bust (buckbuckbuck)ya block star,stripes yeah, we got cars ,front row.,To livin large , what we are baby Blockstars,What we are,Blockstarz
,
,
",Chingy:Blockstar
,Chingy,"Without great grandmother theres no me,Without grandmama theres no me,Without ma momma theres no me,Dem ladies made our family tree,Because i love dem all da same,And think of em all da same,Need sumthin juss ask i got it covered aint no thang,Ma autn jenni works hard and i appreciate that,So threw this song ima give my appreciation back,Remember a long time ago i would be down in da basement rappin,Shed stomp on da floor n say quit all dat damn snappin,She aint no 20 years from den datz wats makin all dis happen,She aint no at ma shows 50,000 ppl clappin,Plus i wish i culda seen her face wen i bought dat pad,Dat waz juss a cool thank you gift from ur growner lad,You a (lovely lady) and thats y im praisin yahh existence,Her n howard always tought me 2 make wise decisions,Ya we gon make it through i dedicate this to u ,Culd have had any mother but 4 goodness sakes its u,(chorus),See momma u ma (lovely lady),Yall all my (lovely gurls)3x,Momma u my (lovely lady),Yall all my (lovely gurls)3x,Grandmomma u ma (lovely lady),Yall all my (lovely gurls)3x,Lil sista u ma (lovely lady),Yall all my (lovely gurls)3x,Plus my 2 grammys like ma mammies,I no sumtimes dey dont understand me,But 1 day just like dem billboards ima bring home a grammy,C ma momma momma big momma we kept er in sum drama ,Couple bad ass grandsons walkin round wit llamas,She wuld fuss at us tell us right tho we aint know no betta,So leave 4 it to u ma appreciation letta ,Ruth baby i aint forget yahh ,Wen im gone im still wit yahh,I love comin by ur house n seein all ma posta pictures,Dey make me feel so special wen da world all on my back,U da loveliest lady write it down cause thats a fact,No sumtimes u want me 2 go 2 church i say i mite,Even if i dont u tell me keep god in my life,And i still got dem prayin hands on dat quarter i gave yahh,A men 2 god but sumtimes i feel like u ma savior,We gon make it thru,Dedicate dis 2 u,Culd have ne grandmomma 4 goodness sakes it u ,(chorus),Now dez 2 women in my life i gotta treat right,We handle business durin da day n we party at night,C ma 2 sistas i love yahh but neva put nuthin above yahh,U suffa i suffa u goin threw it den we gon struggle,Candace she da youngest dezineeya da oldest,Heather need sumbody 2 talk 2 i got er shulda,But if i got it u got it juss like i always told yahh,U aint neva gotta have a man 2 do 4 yahh im ur soldia,(chorus)
,
,
",Chingy:Lovely Ladies
