album,artist,lyrics,title
Cypress Hill (1991),Cypress Hill,"'...Boulevard, (garbled) in the building next to the location. ,Suspects are seen climbing out of both windows. Male hispanic, ,and a possible male,black. They have their vehic' er van parked outside...',This pig harassed the whole neighborhood,Well this pig worked at the station,This pig he killed my Homeboy,So the fuckin' pig went on a vacation,This pig he is the chief,Got a brother pig Captain O'Malley,He's got a son that's a pig too,He's collectin' pay-offs from a dark alley,This pig is known as a Narco,If he's a pig or not, we know that he could be,This pig he's a fuckin' fag,So all his homepigs they call him a pussy,Well this pig he's really cool,So in this class we know he rides all alone,Well this pig's standin' eatin' donuts,While some motherfuckers out robbin' your home,This pig he's a big punk,And I know that he can't stand the sight of me,'Cause pigs don't like it when ya act smart,And when ya tell 'em that you're a group from society,This pig works for the mafia,Makin' some money off crack,But this little pig got caught,So when he gets to the Pen it's all about the pay-back,'Cause once he gets to the Pen,They won't provide the little pig with a bullet-proof vest,To protect him from some mad nigga,Who he shot in the chest and placed under arrest,An' it's all about breakin' off sausage,Do ya feel sorry for the poor little swine?,Niggas wanna do him in the ass,Just ta pay his ass back, so they're standin' in line,That fuckin' pig,Look what he got himself into,Now they're gonna make some pigs feet outta this little punk,Anybody like pork-chops?,How 'bout a ham sandwich?,How 'bout a ham sandwich?
,
,
",Cypress Hill:Pigs
IV (1998),Cypress Hill,"1st verse,Sen Dog,Ain't takin nobody back wit me,It's on to the end anybody,Who wanna get me,Ain't lookin back putting all on the line,Don't give a fuck bring the ruck one time,and I think we should all get,down and busy display the footwork,leave you psinning till you're dizzy,Niggas say who is he,but I know for a fact,the same fool that's watching,is the one who will stab yo' back,So make plot patrol nonstop,know exactly who comes on the block,Take no prisoners put that into effect,get the name from your set,Tat it on your neck gotta let,these motherfuckers know who got next,South side Cypress venue out here,Out here catchin' wreck,and show your respect,when you step up to me son,Don't immitate cause my style,Ain't in season,go back to the lab,up grade chump get a new,chump on before you get,Dumped on.,(hook),Melt down, takin you home the unknown,count down, hittin the grown the seed grown,downtown, creepin through alleys the dark night gets lit up,when lightning strikes get up.,2nd verse,Take a ride when lightening strikes city light are gleamin,no sun shine no California dreamin,The demon is roamin on the loose who got juice,suffer abuse when electric currents are induced.,Soul shocker lockin on rock on the brain waves,what you clockin on I'm droppin a bomb you get maimed,the games you play look up and say you wanna change,and rearrange its strange you never go that way.,Don't look back forget that you need that,just sit back look at the show you see that.,Display the raw power black out even the score,open the door and break out,leave it alone the unknown fury the blind rage,step aside get fried and make the front page.,Center stage you ask the task to leave quick,or suffer the pain leavin no hope to be fixed,your heart beat pumpin your blood high pressure,look at you stuck in the mud bring in the stretcher,strapped down ready to roll to God knows,tears coming down of buckets of rain slow.,(hook),Melt down, takin you home the unknown,count down, hittin the grown the seed grown,downtown, creepin through alleys the dark night gets lit up,when lightning strikes get up.
,
,
",Cypress Hill:Lightning Strikes
Los Grandes Exitos En Espanol (1999),Cypress Hill,"Chorus: repeat 4X,Yo quiero fumar... mota,[B-Real],Mucha gente me decia, que yo no podia,Fumar marijuana por la policia,Me vale madre el humo que hay por todo el aire,Si tu quieres que me toque pues caele,Soy el grifo mas escandaloso,De Los Angeles Cypress peligroso,Enciende el leño o la pipa,Pasalo por mi clica la que rifa,Mota rica, chipa chipa,Quemando yesca, estoy arriba,Es algo que yo hago diario,Al despertar y tambien todo el dia en mi barrio,Cuando me encuentres en cualquier lugar,Saca papeles porque quiero fumar mota...,Chorus: repeat 3X,Yo quiero fumar... mota...
,
,
",Cypress Hill:Yo Quiero Fumar (I Wanna Get High)
IV (1998),Cypress Hill,"Now this some baaad weeed... ,(B'Real:) ,The very first time I hit the weed I was young ,Coughin up a lung, high strung, back in '81 ,Goin to school, hittin the buddah behind the bleachers ,Comin to class high, sellin the lye to the teachers ,Nickel bag, nickel bag, dime to a nickel ,Sellin joints to the honeys suck it like an icicle ,Others wanted the 40 but I wanted the weed ,While everybody was runnin out, I was plantin my seeds ,Homegrown, backyard boogie, I'm still stoned ,Got my weed plants taller than your telephone's corner ,I can remember when I could only get sess in those days ,Now I'm rockin that chocolate thai, skunk and the haze ,Roll a fat one, pass it to the left don't front ,But I hate it when they don't take the seeds out the blunt ,A bunch of blunt-rollers are like rookies on the field ,Spillin the weed plant fuckin dookies with no skill ,I should write a book, how to roll it then pass it ,Light it, grow it, sell it and then divide it ,Mr. Greenthumb, Dr. Weed, I proceed to give the herb man what they need ,True indeed, blow your fuckin smoke up in the sky ,And get high with your bong or your philly or dutchess give me a light ,(Chorus:) ,Grab the weed up, pack it in, put it in the pipe ,Light it up, smoke a bowl, we puffin the lye right ,Put your finger on the hole and hold it in brother ,Take a puff, that's enough, and pass it to another ,Get the weed sack, smoke it up, til it's all gone ,No roaches up in the ashtray, smoke up all the bomb ,I usta spend money but now I'm growin the crops ,But I hate it when the pigs throw a raid on the spot ,It was once said I smoke so much weed, by a brother ,That I look like the nigga on the zig-zag cover ,Maybe I usta look like that way back when ,When my nigga Sen Dog was around sippin on the Hen ,Let the fly rhymes smother you with the scent of the skunk ,We got the High Times cover shows you how to roll a blunt ,Quarter pound, quarter pound, pound to a quarter ,Makin trips to Mexico runnin down to the border ,Long hairs, bald heads, dreads and punk rocks ,Kids of all colors be puffin it down the block ,I got the weed on lock with all the hydro methods ,Call me Puffy cause I makin and takin a hit record ,Blow your fuckin smoke up in the sky and get high ,With the bong, philly or dutchess, give me the light
,
,
",Cypress Hill:High Times
IV (1998),Cypress Hill,"Hello, I'm Dr. Greenthumb,Have you ever had the problem of running out of weed,and just can't find some anywhere?,Well try my Dr. Greenthumb grow tips,I'll show you how to grow inside and out,From seed to clone, and the best homegrown,And if you're afraid of those pesky pork choppers in the sky,No worries, we'll fix them too,with one of our Dr. Greenthumb 'Sizzlean' screens,to block the nosy pig's vision,Don't believe me?,Just ask one of my many satisfied clients here Jed Sanders,how well it works,Hyuh, hyuh, hello mah name is Jaid,And ahm a farmer and I've been growin,mary-jah-wana fer about twenty years and uhh,uhh, with Dr. Greenthumb's 'Sizzlean' screen,I don't hafta point my shotgun,at them pesky porkers no more,Thanks Dr. Green, you're tha shit,Yes, Dr. Greenthumb's got it all, I guarantee it,Try my book and you'll have the chronic in no time,*lighter flicks* Dial 1-800-713-GROW,*inhaling noise* That's 1-800 *cough cough* *inhale*,*lighter flicks* 713 *cough cough*,G *inhale* R *inhale* O-W,""Hello Dr. Greenthumb, paging Dr. Greenthumb!"",(B-Real),Hello my name is Dr. Greenthumb,I'd like to tell you just where I'm from,In the hills where the trees grow wild with weed fields,The fucking pigs with shields holding the blue steels,Greenhouse effect with the weed connect,(Doctor) DEA can't keep Greenthumb in check (Doctor!),HPS, God Bless the whole crop,Please God, don't let me see no cops,Trunkload, ready to hit the highway,Don't let the eye in the sky fly my way,or we gonna have big trouble, that's no shit,Can't be growin without no permit,but fuck that, I study the 215 trip,That way when they come they can suck my dick,Weed can't grow without attention,Hello my name is Dr. Greenthumb,Chorus:,(B-Real) Hello my name is Dr. Greenthumb,(SenDog) Hello my name is Dr. Greenthumb!,(B-Real) I'd like to tell you just where I'm from,(SenDog) Hello my name is Dr. Greenthumb,(B-Real) Hello my name is Dr. Greenthumb,(SenDog) Hello my name is Dr. Greenthumb!,(B-Real) I'd like to tell you just where I'm from,(SenDog) Aiyyo Dr. Greenthumb, come on back one time!,(B-Real),People can't live without the herb man,If not they'd be drinkin and drivin and swervin,but thanks to Dr. Greenthumb weed grow,in the backyard or inside with hydro,To the cush plant brushin a tangerine dream,Tasty, blowin a fuckin smokescreen,Cycles of weed are constantly grown,Somebody give me the razor to cut groves,I'd like to stop, but it feels so good,Horny plants stinkin up my whole neighborhood,Sticky angel, I neva wanna leave green alone,but never ever ever got a warrant for my home,What that funny sound knockin at the door (Open up it's the DEA!),Sorry Greenthumb can't talk no more,Please don't follow me into the sun,Hello my name is Dr. Greenthumb,Chorus 1/2,(B-Real),Out from the lab, no need for rehab,If I can't drive then call me a cab (taxi!),In my closet the weed is dried out,Like Eiht said, ain't no place to hide out,I don't wanna buy no weed from no cop,Get locked up and they close up my shop,That's why I buy no weed from no one,That's why they call me Dr. Greenthumb,The scientifical, mystical one,Growin my crops with the rays of the sun,Come one come all and see how it's done,If you see the pigs there's no need to run,Cause some of these pigs are down with Greenthumb,But you never know what be the outcome,You see the photo in the album,The weed is growin like my erection,Look I never told you where I was from,Some call me Real, but I'm Dr. Greenthumb,Chorus,Dr. Greenthumb,Doctor, your Bulova plant needs special tending to,Doctor, we need more oxygen we need more CO2,Doctor, Dr. Greenthumb you're needed,Doctor, dahyahahahhh... Doctor
,
,
",Cypress Hill:Dr. Greenthumb
IV (1998),Cypress Hill,"In the eye of the beholder,,the soldier begins the war.,Fore score and seven bullets,you hit the floor.,Hit the outdoor,,the darkness frightens you even more,,I'm here to enlighten you with the hard-core.,Bring it raw,,like the red dead meat up in your plate,,and I'll fill you up with the energy,the Hill creates.,I get sticky,like the green bag of the bom diggy,,now I'm fuckin with your head,and you're realizing its tricky.,Got you paranoid fellin the void,,you can't take it,,or avoid being destroyed freakazoid.,Toyed with your mind all styles deployed,you find danger,,in the stranger eye's the killin comes second nature.,Your battlefield of the mind is falling,now who you callin out for help,,and all your fuckin yellin is to your self.,Crawlin and beggin for mercy means nothing,when your bluffin I'm pushin the button,and straight dumpin on fools frontin.,(HOOK),Warpigs you dig,,SIG kickin up Mr. Big,take a sip of wine,engage in a battle of the mind.,You're feelin the force,right from the source,,ain't no remorse,,your head is getting fucked,and I'm skippin the intercourse.,Behold the white horse,your taking a loss neighbor,,got the nina ross,,don't lean across my fuckin paper.,Chase a green back gladiator,terminator, seed germinator,the greater the risk you fuckin hater.,Hit you the psychobeta,clickin the fader slow, with the high low,servin a blow who got the glow.,Dead men tell no tales,you fail to see the reason,,I'm easin to squeeze the grigger,go figure its killin season.
,
,
",Cypress Hill:Dead Men Tell No Tales
IV (1998),Cypress Hill,"(Barron Ricks) ,My flows most beneficent, most merciful, outrageous ,for wages, vibrate niggaz heads like pagers ,Too hard to handle son, we animals, biohazardous ,Ghetto evangelist, lyric distortions, abortions ,of fortune shit, shittin on your ASR-10 Sequence ,Fuckin up the disc ,These be the words blow niggaz acoustic nerves ,when I swerve I'm bustin adjectives and verbs at curves ,Hear the thunder then I melt the frozen tundra, sank Titanics ,Crack solid granite, initiate global panic ,Harlem got me branded, rhythms jingle like bricks ,These niggaz face it or face off, give up or break North ,My lines petrify your mind's third eye, when I'm high ,I pull the trey in your insides, I strike blindside ,Rip inside, my syllables simmer for every criminal ,in prison whose an individual lose that struggle ,My stories burst niggaz bubbles, make new niggaz mumble ,Ready to shed blood up in the jungles ,Aiyyo we livin it, magnficent ,Cypress, worldwide! ,(B-Real) ,I take the micraphone cord, use it as a rope ,to hang all the weak rappers for leavin the bullshit they wrote ,Counterfeit fools all in the pot, let em boil ,When we go platinum they go, aluminum foil ,The worldwide clicks and the parties with no parties ,Cause niggaz'll get you quickly like the skin off a blunt ,when they get burned and smoked, put out and used up ,Niggaz don't know how to act when they lit the fuse up ,Abuse them up, usin the nut, I'm usin buck ,Fearin of the shit, that's covered the script, deliver cuts ,Cypress Hill, Soul Asassins, all up in the club ,Showin love to everyone of you real niggaz ,Cause the hip-hop's pumpin through the blood in my veins ,like a junkie, fuckin with 'ron and cocaine ,Slay you both down, better hold down or get clowned ,by the world renowned, Cypress compound! ,(Chace Infinite) ,Heavy artillery rap niggaz attack from both sides ,of the map, leave you flat on your back, my thoughts dwell ,in the dark black abyss, Chace Infinite kicks ,rhymes over rhythm and spit hot flame from his lips ,I represent, the cream of the earth, bless his birth ,My order in the elements in the universe ,My mental enter your physical frame, penetrate ,like pushin your face straight through a window pane ,with twenty bars, I'm sinister God, administer pain ,to your paragraph it ain't hard, see I studied the life-science ,for years in this, doin songs with my indigineous ,peers n shit, hit you with the omnipotent gland ,The benficient stare, write a rhyme to shine light ,in your ear, don't make a move that'll end your career ,Stand clear, I stand firm on solid ground ,Pump Blood Sweat and Tears, verbal architect, engineer ,Shiftin your ear, to Cypress Hill, you wack niggaz ,caps is peeled, the scientific Soul Asassin ,We dominate tracks and thrash in the front lines ,Soldier ready for action, rapid fire rappin
,
,
",Cypress Hill:Feature Presentation
,Cypress Hill,"(feat. Barron Ricks),Attendant: ""That takes a fourteen shot clip,You expecting an army?"",Serpico:   ""No....just the division"",[Barron Ricks],""Yeah, once again, (that's right),We about to attack this,(Harlem Inc, Murder Inc) Yeah,(Nicky Bond),Jimmy Cagney type shit, Nicky Santoro,All my little short niggaz,Joe Pesci and all that shit like this yo"",Fillin out the cards to your eulogy,Murder that ass, send my regards to your family, fuck it,That's what niggaz get for fuckin with this maniac depressive nigga,with aggresion, Smith and Wesson, in his possession,Harlem got me like that, too many grimy, slimy niggaz on the take,For short cake, we won't hesistate,I miss inhabitants who politic in residence for presidents,Across 110th, to 55th,My covenant is protected, I'm doministic,Survival principles my ethics, eastern philosophy's my method,Good samaritans need paremedics, so what's your premise,I hope you fuckin with Glocks and fo' fifths,Wrath's Napolean, so teach your origin, slash wrists,Shatter chins, and bust clips,Check it, ""here is somethin you can't understand"",Steel Magnolia,[B-Real],I got the steel magnum, braggin, leavin my toe tagged,As I get raggamuffin, no bluffin, the body bagged,Breaks all your bad habits, bad blood fanatics,Clean up the magic, chrome startin up static,Greed means that you die quick, click the vision,Greed lies anmbition, five slugs for the mission,Seven cause you go to the heaven or hell and dwell,to meet your maker, but you met the shotgun shell,Buckshots sting like bees, I smoke trees,on the hilltops, clubshops and chilling overseas,Take in the breeze, Mr. Freeze squeeze the trigger,Killa G's got you week in the knees, to take it ea-sy!,[Barron Ricks],Steel Magnolia,Magnificent guns bust when 'Uzi Weighs a Ton',And yo' Glock spits, consecutive rounds shot from clips,spells murder, sound synonymous to burner,Leave niggaz ass up, gaspin for air, front seats of truck,So who the fuck want me to press on they luck, bastard they son,When gats start to hum and whole crowds begin to run,Annihilation, destroyin all expectations,Have relatives embrace your Harlem hopital, we all patient,5 foot 6, concealed steel, pop more grip,With fixed sights that drifted to right, triggers light,So relinquish son, I'm to the finish, and you acknowledge,Couldn't pop a clutch or light a skyrocket, nigga stop it!,Steel Magnolia,[B-Real],Steel Magnolia, bury ya, six niggaz carry ya,To your final rest area,What you worried though, you ain't above that with a slug,And your chest beats, blowin out your back, take it easy,To your eulogy, open heart surgery,Emergency, 911, come in a hurry,From the Hills to the Polo realms, stackin the bills,I put you under my lo-lo, hit my switch, then kill,A bitch nigga steppin on my toes, fuck foes and hoes,Get stuck in the ass like Pete Rose,I suppose you wanna get wild and throw blows, you chose,to get you nose your broke, in a thick cloud of smoke,You're like a fat joint, I'm takin a toke, I'm like coke,But you ain't smilin, feelin erratic, a fuckin addict,To the dope shit, you better hope the shit stop,Smooth, holdin the Glock, rockin the hot shit,[Barron Ricks],Steel Magnolia,Steel Magnolia,Steel Magnolia,Steel Magnolia
,
,
",Cypress Hill:Steel Magnolia
IV (1998),Cypress Hill,"Intro: B-Real and Sen Dog,B-R: Pa' la salud! (to your health!),SD: Pa' la salud! (to your health!),B-R: Primero yo... (me first...),(gulp),B-R: *grrrrrah!*,B-R and SD: *mexican yells*,SD: Cometelo! (eat it!),Verse One: B Smooth,Word up, Tequila style... eat the worm Motherfucker,(overlapping intro's end),Tequila spice, hot nice,Milling rice, sipping on Jose Cuervo,Down in Tiajuana, Mexico,Thinking of the big score the night before,Met the connect, who was impressively dressed,In high fabrics,With troops like Babe Ruth, up on the mezzanine,Brandishing sub-machine guns, aye-yo,It's all about the money, son,Now that's the only reason,We came south of the border, to complete this work order,We gotta get it, no looking back, going all out for it,Ready to attack, die in a minute flat for it,As God is my witness, we got ditches,For all you motherfuckin fake bitches,It all boils down to the business,Nothing personal, when niggaz acting like they helping you,I fuckin blast you like Frank Castle, motherfucker!,Chorus,Tequila Sunrise, bloodshot eyes,Realize we're all born to die,So get the money nigga!,(repeat 2x),Verse Two: B-Real,I never knew money like this, in the palm of my hand,'Til I met the man with mad hook-up, and big plan,Every where you look'a, he got everybody shook up,Running for cover, the big bad WOOF, motherfucker,He was like a father figure, show me the bigger picture,Fuck slangin' on the corner, don't let the pigs get you,Not like these fools who don't comprehend,You end up doing a twenty-five bid in the pen,You got that? Getting your cup, I took a swig,The bitter taste of the 'mezcal', free worm shit,Droppin' a lesson, he slapped my face, he said listen,Pay attention brotha, you're my ace, but don't ever question,Just do what I say, and you'll be rich,And keep this in your mind: rats lay in a ditch with no spine,Don't ever forget that golden rule in the game,Cheers, they all know your name, it's like fame,Why, women and money don't mix, like drinking an' driving,Watch those conniving women and keep your eye out,Always be aware of what's around you,They wanna down you, and fuckin clown you,Keep your shit in order the money won't stop,Pretty soon you'll be on top,Chorus,Verse Three: B-Real,Tequila Sunrise, with the bloodshot eyes,My, my, my, how time flies and goes by surprise,My mentor passed on and passed a warn to me, emergency,For my enemies who wanna murder me,Eat the worm, motherfucker, while you burn, motherfucker,Better kill me, don't let me return, motherfucker,Trust no man, cause I'll be back, you understand?,With a plan, and my ace in hand, I want it all,I recall the words from Jesus, you are the Juice,Better go get it, don't let it get to your head, embed it,Let these words stick, you better be ready to die,Now take a fucking sip, caution it, but I never lie,Chorus,(music outro)
,
,
",Cypress Hill:Tequila Sunrise
Los Grandes Exitos En Espanol (1999),Cypress Hill,"(B-Real),Para ése que se hace, pero nunca gana,Tira ese jamón en la pala,Y gana como rana, rana, estoy en la pista,Me siento como el hijo que conquista,No me hagas romperte fuerte,La silla me tiene como General Electric,Y las luces brillando, estoy pensando,No es lo mismo cuando estoy tomando,Ohh! mi mente despacio (despacio),Por eso yo no trago del 4.0,Brother dame la hierba,Porque un negro como yo ta perdiendo la cabeza...,Chorus x4:,Medio loco en el coco...,(Ido de la mente!),(Sen Dog),Hago lo mío por abajo, ahora en el tubo,Para el voto, ponerse hasta más gordo,Gordinflón en la dieta no te metas,Te robo a ti como ladrón en la revuelta,Lo mío tiene fuerza, te tiro en la tierra,Con tu cara en el piso y tu cuerpo todo tuerca,Duros, tienes algunos, pero, no a mí, yo soy número uno,Pateo el estilo, de espiral del río,Pero cara de payaso, nunca me río,Con mi seria cara, te lo digo todo,Un negro como yo se está volviendo loco...,Chorus,(B-Real),Como Louis tengo fuerza, toca trompeta,Le pego a la pipa y aplasto tu cabeza,Rápido, dame a mí mi lotería,Policía, quiere coger lo que crecía,Los puercos quieren soplar mi casa,Pero estoy por abajo con mi grasa,Pah se ponen bravos porque no estoy ahí,Estoy en mi Cadillac, hace tiempo que me fui,Soy el pirata, piloto del bote,Cuando estoy alto como un papalote,Corre de la luz de la chota,Cree en lo que no ves, cree en la lota,Mira, pero no te vuelvas loco,Un negro como yo, ya perdió su coco...,Chorus
,
,
",Cypress Hill:Loco En El Coco (Insane In The Brain)
