album,artist,lyrics,title
,D12,"Proof),You wish that you could bear me black,D12 standing back,No planning that,Def methods, we got a hand in that,Whoever run this shit,You get a jammed knee cap,Make the healthy get sick,And your fam handicapped,You a fan of rap,My clan attack,Your school, home, your bitch house,Pull my nine milli,You gon' die with your fist out,Him an his,It's over with,Venom is this,cobra spit,Agressive dialect with agressive,Sober bitch,My bionic fires demonish atlonics,Demonic is tainted chronic,Impossible to hold down like vomit,Mics I palm it,You stay to bomb it,Like tourists that's Islamic,I enter your atmosphere like a comet,The new god of rap,Call me nigga Thor,Snap your back,When I slap your ass in a figure four,From miles around they can feel it's lethal,I make hardcore groups like Wu Tang,Look like the Village People (fags),No sequel,The general let the senistal,Abort your mind state and kill your inner child,(Bizarre),It's been a while,Since you bitch niggas heard of me,Cuz the last six months,I been doing R&B,But now I'm on some sick shit,Niggas better duck quick,You don't know who you're fucking with,I'll leave you niggas breathless,Seeing me and Bugz rolling in the blue hummer,You a bitch, scared to shoot like Lindsay Hunter,Don't need to be a father,Cuz I'm just to illmatic,I'll probably poison my kids,Like flowers in the alley,Fuck your anorexic neglects it,Fuck a Lexus,I'm doing drivebys on XXX BMX's,(Bugz),I know a girl who said she's prio,And her sign is a Leo,Bugzy fucked her in a Regal,And then she took me to my P.O.,Fuck rollin' ceelo,I'm down to a c-note,Lost a g' rollin' dice at that punk ass casino,But fuck it (shit) cuz when times get bad,See me and drag with the mags,On unsuspecting fags (bitch),I gotta shoot,Bitch you got the boot,And hurry up with it,I'm trying to catch this prostitute (I got ten),(Kuniva),I'm the nigga that spotted ya,Spit something hot at ya,Rip your Nautica,Saw you backstage and shot at ya,And kill subliminally,You can go on,And spin your group name 25 times in one song,I'll still write about you,Hip hop is better off without you,Blowing niggas outta they bathrobes,And funky house shoes,For the hell of it,I fuck Missy Elliott,Don't give a fuck if her belly gets,In my way, I'm still nailing it,Got this verbal tech nine,Spitting at you for telling shit,Get this dead body off the mic,I'm fuckin smelling it,(Kon Artis),Fuck it,Let's have a scrub out,Fuck around with us and see what happen,We all got them guns blappin,Got y'all niggas back tracking,Ya, we dump bodies in seashores,Busting DJs over they backs with keyboards,Turn up my levels,Your crew is fruitier than pebbles,Changin you razor back MCs to running trebles,Bust up,Kon Artis, quick to smack your slut up,Keep a pack of rubbers,Just in case I gotta nutt up,Brigade style hold 'em out down,That's how it's meant to be,You kick the same shit,Your whole tape sound like a symphony,Don't say shit to me,It's DP carry your daughter,Talking bitches outta they panties,Dollars and last quarters,Like that horsemen,I'll leave your whack crowns hutless,Watch Defarius come to my show,And leave dreadless,Whoever said this slash rapper and producer,Wouldn't make your head twist,Guard your grill and your necklace,(Chorus),I got 6 reasons why we keep shit coming,Dirty Dozen left niggas running for cover,Hiding behind your lovers,Skirting off peeling rubber,As we shout,""DON'T FUCK WITH DIRTY DOZEN"",6 reasons why keep shit coming,Dirty Dozen left niggas running for cover,Hiding behind your lovers,Skirting off peeling rubber,As we shout,""DON'T FUCK WITH DIRTY DOZEN"",I got 6 reasons why we keep shit coming,Dirty Dozen left niggas running for cover,Hiding behind your lovers,Skirting off peeling rubber,As we shout,""DON'T FUCK WITH DIRTY DOZEN"",Yeah yeah bitch (what what),We'll bring it to your crew,We'll bring it to your crew,Any of y'all,Die bitch,Don't fuck with Dirty Dozen,Dirty Dozen,Bugz,Proof,Bizarre,Don't fuck with Dirty Dozen,Da Brigade bitch,DJ Head,Don't fuck with Dirty Dozen,The saga starts right now,If you ain't down with us from this day on,Then fuck you
,
,
",D12:6 Reasons
,D12,"[Intro - Bizarre],Yeah!!! ,Detroit mothafucka!!! ,DJ Green Lantern!!!,D12!!!,We ain't goin' nowhere!!!,We still smokin' crack nigga!!! ,Haha!!!,Let ‘em know!!!,AH-HA!!!,[Chorus - Eminem],Bitch keep talkin' ,Keep on poppin' off with them jaws because, we ain't stoppin' ,We ain't got to prove shit to ya'll so all ya'll can lick the balls and keep walkin' ,Keep on poppin' that shit you poppin' ,Cuz we ain't stoppin' cuz you ain't stoppin' us ,We aint got to prove shit to ya'll so all ya'll can lick the balls and keep walkin' ,(Yo!) COME ON!!!,[Verse 1 - Kuniva],Yo the derelict is back ,I'm blazin' niggas while they up in the Sheraton last ,I even sold my therapist crack ,You niggas is bitch straight up I'm bearin' the facts ,I love pussy wit all my heart but I married the gats ,And nigga I'm top pedigree so don't play wit me ,Ill blow your tattoos all over your baby seat ,Kids and all be hit ,Peers and all masuberg will take your back, liver ribs and all ,Kuniva the street talker, heat sparker the beef starter ,Packin' guns when I'm sleep walkin' ,(Bitch keep talkin'!!!) ,Throwin' fire bombs down your chimney ,While you eatin' at Wendy's ,I'm in your bushes cockin' the semi ,Nice wit the hands ,Never bow down to another man ,I was poppin' guns while you was still poppin' some rubber bands ,Smother your clan ,Sever your hands and your legs ,Mail your brother your heart and send your mother ya head!!! ,[Verse 2 - Swifty],I'm the only one your bitch let touch her ,Type of brother that will fuck your mother ,With a fishnet rubber ,A belligerent and rowdy mothafucka ,That'll dump your body and still fly away to Maui on the teller,When it comes to beefin' ,It ain't no explainin' ,I'll change your language wit a stainless ,I'm contained wit a anguish to leave your famous ,I'm a deranged pit ya'll lift an AK to pinch ya face wit ,Niggas don't say shit fuck your hype man if its a bystander standin' by I'm firin' at ya, cuz I can ,You get squashed like pop cans ,I be shootin' 7-Up in your mouth man ,I'm about to sell your mama bud, and lace it ,So when she fire it up she coughin' blood ,I love to see ‘em wasted ,I'm made to behave in this case ,You try to be brave in this rage and your legs will be replaced!!! ,[Chorus - Eminem],Bitch keep talkin' ,Keep on poppin' off with them jaws because, we ain't stoppin' ,We ain't got to prove shit to ya'll so all ya'll can lick the balls and keep walkin' ,Keep on poppin' that shit you poppin' ,Cuz we ain't stoppin' cuz you ain't stoppin' us ,We aint got to prove shit to ya'll so all ya'll can lick the balls and keep walkin' ,(BITCH!) COME ON!!!,[Verse 3 - Bizarre],I ain't here to talk about Benzino or Ja Rule ,I'm here to talk about lil' Ray Ray and whatever do ,Psyche, I ain't gonna mention it ,He probably sue ,Next week this shit'll be out on DJ Clue (Exclusive!!!) ,The first time I had sex… a dirty mattress ,No condom… my grandmother… bent over backwards ,Bizarre been fuckin raw all summer ,Lets make a trade, my wife for your brother ,Psyche, I'm not bisexual ,I'm an intellectual, transsexual, one testicle (one ball) ,And I ain't sayin' shit cause it rhyme ,I got colon cancer, I'm dyin'!!! ,[Verse 4 - Proof],YEY-YEY,Rest in peace Jam Master Jay ,Tupac ,And Notorious BIG ,I'm probably the best ,Guy in the flesh ,Blow ya heart out ya chest ,And ya chest out ya vest ,Leave ya body a mess streets bloody as hell ,Study my trail I cut and me fail ,A druggy on bail nutty as well ,Which such like buddy revel ,Dead or in jail ,Still headin' for hell ,The ghetto rebels the wrong guy ,Now get ya lungs heart you full of wholes like Spongebob ,We can set this from your front door to your CEO office ,Got the key to your coffin,To pee on you often,Great me wit offers we taken over,Or get China white mixed wit bakin' soda,Ya hear me!?!,[Outro - Eminem],Fuckin' crack heads ,And this is just mix tape shit you fuckin morons ,This ain't brains over Braun ,This is bullies over fuckin pussies ,Ha-ha come on bitch!!!,[Chorus - Eminem],Bitch keep talkin' ,Keep on poppin' off with them jaws because, we ain't stoppin' ,We ain't got to prove shit to ya'll so all ya'll can lick the balls and keep walkin' ,Keep on poppin' that shit you poppin' ,Cuz we ain't stoppin' cuz you ain't stoppin' us ,We aint got to prove shit to ya'll so all ya'll can lick the balls and keep walkin'!!!
,
,
",D12:Keep Talkin'
D12 World (2004),D12,"[Intro],Dawg, I shouldn't have LEFT,They wouldn't have TRIED that shit if I was witchu,Maybe we would've, picked another time or, maybe chose another way,Or maybe my prayers would've convinced Him to, choose another soul,Shiiit, it's just me and man Tony now,Man, you look so peaceful right now,How can I argue with that?,They say that the good die young,[Hook: Kon Artis],They say that the good die young (die young),That's why I think that you should have fun (when you're young),Cause time won't wait for no one (uh-huh),When God calls, you gotta go home (go home),They say the good die young (die young),That's why I know that we gon' have fun (huh?),In this life Cuz, you only get one,When God call for me don't cry, I just went home,[Kon Artis],I'm sure that everybody heard their momma say it be days like this,When you see, one of your friends die in the mist,In the struggle, into the circumstances,A risk that they take, just to prove a point to a friend,Even then, accidents are prone to happen,To any man or woman that's dumb enough to pretend it,Huh, God will hold 'em accountable for sins,That they commit and they try to repent the sins to repent,But I guess that's the way things go,I was blessed to see twenty-four,To wake up to that ""Hi, My Name Is"" video,Motivated me to write what I wrote,And I knew my little brother sold dope,And mom and daddy wanted to move our row,I did it, I still got a lot to prove and show,I just wish we ain't have to lose Bugz through the struggle,Cause you know,[Hook],[Bizarre],I know you used to Bizarre on some silly shit,But niggas in my clique, is dying quick (for real),In Detriot, niggas don't party,They pull a fo'-fo' out, snatch off Ducartis,That's why I keep the pistol under the truck,I'm 27 years old, too old to be getting jumped,And fuck rap, I miss Karnail Pitts,B-U-G-Z, tatted on my wrist,Me and you in the jeep, listen to scream-o beats,It's a shame me and Fuzz don't even speak,I got married, my wife name is Dee,Peace to 31, and 5150 bitch,[Kuniva],I think back on that tragic day my phone rung,And Bizarre's voice telling me Bugz was going home,It was like a knife piercing my chest and I couldn't breathe,I didn't wanna accept it, didn't wanna believe it,I swear, at his wake dog I cried so hard,Literally, Denaun had to carry me to the car,While I stand in this booth now, it's tearing me apart,But I had to let it out cause it was tearing at my heart,Cause he died over something so petty and so small,A human life is so very precious, I hope y'all,Understand how I'm feeling cause I love you Bugz,I wanna rhyme with you, laugh with you, hug you Bugz,But I can't, and you were so close to see your dreams,A coward came along and took you away from the team,So don't mistake this track as just another song,This goes out to everyone who lost a loved one,Cause you know,[Hook],[Proof],They say it's never too late to have an early childhood,If I could turn back the hands of time, God should,Forgive what I did as a kid that run blocks,Now my dreams is just scream ""Cops"" and gunshots,The fun stops when your homies up in the box,My duty Bo, rest assure, snuffed by the cops,I used to court shit a lot, if there's a guy I'd probably say something,If you love him so much why ain't you gave nothing?,But he took my homie's slippers only in eleventh grade,Now I hope to see his face at the Heaven gates,It ain't never late in the game, Satan remains,With a grudge to see slugs break through my frame,My heart aches with the pain, the light limits breath,We got to have fun now, there's only minutes left,And in death cause stress young'uns is sucked in,To get tats for my fallen homies, I ain't got enough skin,Miss y'all!,[Hook],[Swift],When I was younger I knew four brothers that wasn't wise,That crashed and the driver died, my partner on the passenger side was paralyzed,And I'm surprised by the look of that ride, that the other two survived,Nine months later, another one dies,Somebody shot him in his side when he was starting up his ride,Three years go by, I made a hell of a run,And that's when Funky got done, Joey playing with guns,And Tookie over funds, Cardie was my man,And Reggie, I wish that I was with you in that van,And Bugz, if it wasn't for you,You know I wouldn't be standing in this booth,And that's the truth, I miss y'all,[Hook 2X]
,
,
",D12:Good Die Young
,D12,"(Kuniva: The Aphilliates style muthafucker,Pay attention),(Explosion Sound),[Intro: DJ Young Mase],And just like that mixtape shit is now,Official DJ Young Mace a.k.a Mr Detroit City,You know what time this is return of the,Dozen Kuniva, Big Proof, Marshall Mathers,Bizarre, Kon Artist, Swif McVay,[Hook] We we we we we we we we back,(Bizarre D12 Muthafucka is D12 muthafucka),Repeat 2x,[Verse 1: Swifty],I defined up my ounces in vietnam in houses,Just the past time, ""go ask about me in the county I'm mentally destructed, and,Untouched I'm not lying I'll snipe you faster than a nigga that's been caught wired I start processes minalical alenal, freeze mixed wit vykinen and make a hell of addidoe speak unrelevent leave enough medicine that can stop me from swelling your mouths, worse than telekents I can sock whores that's wit enough force to crack the back of their, skeletons fuck having remarshalled, be better off being suicidal and four fitten look it how's your horseman but not they final organs, snitches are foe and when they see me ""folks are quick to point their fingers,At me faster than ET, my felonies be changing wit the weather I'll be the nigger blacker than this klan (Gun Clicks) Black panthers put together. (Gunshot),[Hook] We we we we we we we we back,(Bizarre D12 Muthafucka is D12 muthafucka),Repeat 2x,(Ha ha ha),[Verse 2: Bizarre],Back in the studio back on the block back in ""Saint Andrews"" got them hammers cocked nigga I don't get shot I do the shooting (Explosion),Gang memember I do all the recruiting, ball to y'all fall out there in Reno blowing ten thousand motor's in the casino, they say my group was running on some IRS shit that's what happens, when five niggas sell brick when it comes to beefing we don't need Marshall this ain't arben Nausicaa call me Tamara Marshall come on ya block and get loose shoot niggas for a triple fat goose this one's for ""Proof"" this is for my dog's this is for my people's this is for them niggas wit carties and the regals (Sound background) and it might be you if you ever, ever disrespect my crew,(The Aphilliates nigga),[Hook] We we we we we we we we back,(Bizarre D12 Muthafucka is D12 muthafucka),Repeat 2x,[Verse 3: Kuniva],Ya boy's are back in the building yeah we back on the map back to doin them drugs, packing the mac and the AK if you wanna get 'em up let's make hap wit a scrap niggas be running their trap until the hammer go clap. (Explosion),Ya boy's are back in the building yeah we back on the map back to doin' them drugs packing the man and the AK if you wanna get 'em up let's make it hap wit a scrap niggas be running their trap until the hammer go clap bloody you up like a co-text leave ya face big like rolace my guns carry, 21 like three feet no checks the lay back pumpin james brown the big payback I don't play that like pat so don't say jack, shit is real in this killing field where's ya game face fuck you your whole family and your name's sake, sat back and absurve these little clown's like they runnin' this town like we don't get down my crib I got plag's that's hanging all around the only plag you got is hanging in your mouth's, you're not like us a million fans oversee's we can leave or we can come back wit a hundred g's we back,[Hook] We we we we we we we we back,(Bizarre D12 Muthafucka is D12 muthafucka),Repeat 2x,[Outro - DJ Young Mase],The dozen they been all over the country, oversee's nigga's done layed over nigga but now we back the street's is ours, lay back we never left nigga's you know what time this is return of the dozen mixtape, ""posted by the general the fuck y'all wanna do now all y'all hatin' ass nigga's get ya thongs ready we back D12. (Explosion)
,
,
",D12:We Back
D12 World (2004),D12,"[Bugz],Fuck that!,Who run shit once these drums hit?,You dove headfirst into some old dumb shit,Here's a can of asswhip, for you to come get,Your click made they trip, I make them hoes suck mint,Ask them girl, they know the scoop, don't fuck with Bugz bitch,I chop off her titty, have you sucking one tit,Them pink belly niggas, is who you run wit,Making half-ass songs, shitty snares and one kick,I hate your damn sound, don't like it one bit!,You could make a double album, won't have one hit!,Your entire outfit is on some bullshit,And there's not a damn one that I can't outwit,I ad-mit, that my style is unfit,For momma's baby boy, because I'm on some dumb shit,Like I commit, larceny, give harm quick,You pull the alarm switch I stab you in your armpit,Now who the nitwit wanna come get wit,This egotistic hip-hop fundamentalistic,Don't risk it, you get your shit split,Now keep your distance, and keep existence,I'm persistent when it comes to bend shit,Smoke the blunt with my judge right before my sentence,I'm relentless, to deny is senseless,Your bitch pay my bill, that's where the hell your rent went!,Fuck that!
,
,
",D12:Bugz '97
D12 World (2004),D12,"[Intro - B-Real],Yeah Homie,I thought we told you,We been fuckin' loco,Cypress Hill, D12 Bitch!,[Chorus - B-Real],I'm a little bit off the chain, you can call me insane, but the fact remains ,that I'm a pyscho,Better get it through your brain, when you say my name, never say it in vain,cause I'm a pyscho,[Verse 1 - Swift],I'm a motherfucking omen, I bow down to no man,Split a nigga open, killing folks compulsive,A soldier with a motive, scrotum big as boulders,I hold 'em then unload on you, put it on a poster,So everyone can notice who was focused on us,Poking they nose in our business, hoping that I don't come smoke 'em,No one knows my notions or emotions, I'm a vulture,You niggas close to croaking any moment and I know when,I could fuck the culture up, probably rap,A maniac with anxiety attacks, I don't wanna chat,Speak when you spoken to and I don't have to read a fucking,Magazine or quotable to notice what you hoes will do,[Verse 2 - Kuniva],We all soldiers, we move as a unit, we all roll up,And show up at your residence, light your front door up,Get scared, life ain't fair,And I'm prepared to blast you just as fast as Dre can say ""Hell yeah!"",So watch what you say cause it can happen either today or the next minute,I can draw the heater and spray and I'm dead serious,You could be dead period, end of story,I'm on your porch with a gun and your son, sipping a forty,Nobody can hold me, I does it all by my lonely,I stomp your head when you awake, you be looking like Gumby,Aftermath and Shady, bitch, you can read it and weep,You see my poster in the 'hood for ""the G of the Week"",[Chorus - B-Real],I'm a little bit off the chain, you can call me insane, but the fact remains ,that I'm a pyscho,Better get it through your brain, when you say my name, never say it in vain,cause I'm a pyscho,[Verse 3 - Bizzare],They found Saddam, but they ain't gon' find me,I'll be under a tree in Buttfuck, Tennessee,And I don't know too much about my daddy,Except he spit in my face and fucked me in my fanny,I ain't a racist, I just hate whites,Fags and dykes, blacks and transvestites,Thirteen years old and joined a fucking gang,Hair under my ass cheeks feeling the fucking pain,Am I insane? Who really knows?,Cause any second my temper can fucking blow,I get colder than December,Black the fuck out, tomorrow won't even remember,See Bizarre can show you what violence is all about,And this Dr. Dre beat done brought it the fuck out,Run in your house and put a gun in your mouth,And blow your brains the fuck out!,[Verse 4 - Eminem],I probably got a screw loose or two, or maybe three or four of 'em,Some fell out and hit the floor,All I know is ever since my fucking head hit the snowbank,I been a little neanderthalish, no thanks to my man D'Angelo Bailey,But I just take it slow daily, my biggest dilemma's,Trying to figure whether to use the flat head or the Phillips,Or just go to the Home Depot and pick the new power drill up,Gives me two hours and six days and I'm still up,I feel like I'm about to snap any minute,There's a new Tower Records about to stop and get a fill-up,Pick the new Cypress Hill up,And go find who did that shit to Xzibit,And go fill up a whole liquor bottle with piss,And shatter his fucking lips with it,[Chorus - B-Real],I'm a little bit off the chain, you can call me insane, but the fact remains ,that I'm a pyscho,Better get it through your brain, when you say my name, never say it in vain,cause I'm a pyscho,[Kuniva],Karnail Pitts a.k.a. Bugz,Rest in peace, homie
,
,
",D12:American Psycho II
D12 World (2004),D12,"[Intro (background WHAT! WHAT! WHAT!)],Yeah nigga! It's D12 up in this motherfucker!,You know how we get nigga we wild in the club,Motherfuckers, everybody get crunk in Detroit too nigga!,So wile the fuck out!,[Hook],Pour your 40 out. (Guzzle It) (8x) ,Bitch!!!,[Verse 1: Bizzare],We fucked up,,Let us in the club.,One of y'all niggas gon' catch a slug, (Yeah),I'm so drunk I could hurl for a month.,Any nigga pop shit, go to the trunk.,D12 start shit, nigga come get us,,7 Mile Runyan, wild niggas wit us,,Cause all my niggas is talkin' that shit.,Ain't got no problem, with smackin no bitch.,I'll have my wife, cut your throat.,Blunts, gans, that's all we smoke,Wild the fuck out, stab you with a knife,,It's D12 nigga, we ready to fuckin' fight.,[Hook],[Verse 2: Eminem],Who tryin' to be the first one to catch this blade in the throat!,You know the po-po don't let me hold them toasters no mo',I just cut three people, you gon' be number four,If you don't back the fuck up, and get the fuck up off the flo'.,My crew is takin over as soon as we hit the do',You hit the door n we comin' in and you goin' home.,Security that can't even stop us because they know,,Runyan Avenue soldiers hold it down wherever we go.,Chuggin' on our 40's and holdin' up .44's.,We come with toasters like we just opened saving's and loans.,And we don't need your brew tonight homie we brought our own.,So grab whatever you sippin' on and let's get it on!!!!,[Hook],[Verse 3: Kuniva],We deep as a motherfuck, we 'bout to get it crunk,You just another punk in the club about to get jumped,I settle my vendettas with AK's, Berettas,We don't supposed to be in here with our weapons but still they let us.,Switchblade, brass knuckles, nickel plated belt buckle.,Broken beer bottles, when we walk in you can smell trouble.,Elbows flying, niggas crying, niggas bleeding, you retreating.,Run into your car and skatin off, We G'ing,We make example out of you haters runnin' your mouth.,You the reason why your peoples is pourin' they 40z out.,Dirty Dozen whiling, beat niggas bloodied.,And you gon' have to pour out a keg for all your homies.,[Hook],[Verse 4: Proof],I was raised by drunks, so I became a drunk.,80 Proof for this rocker, that's the name I want.,I'm in the club to beef, you gotta murder me then,Only talk to a bitch with burgundy hair.,Or the aisle in the back, bump a seven deuce.,See that top on that 40, you know it's comin' loose.,See me on the Av. daily, we runnin' this shit.,If your chick get loud, I g-money that bitch.,Packin mags and clips, I'll smash your clique.,Because of Proof they put the G in the alphabet.,Smoking weed, drinking henny, remy, in that jimmy,Don't worry if we run out the corner store got plenty.,[Hook]
,
,
",D12:40 Oz.
D12 World (2004),D12,"[Kuniva as Rondell Beene],Yo, testing,This thing back on again,Alright, perfect, God damn good,Yo, this is Rondell Beene,I'm back on the motherfuckin' scene,and I'm upset as a motherfucker,I mean first I didn't get paid for the D12 shit,You heard me rippin' on there, they just edited my verse out,Then I was on Obie's shit, I was in Obie's video,and that Obie go ahead and I didn't get paid for that shit,And now they got this bald head weed smokin motherfucker,and his name is...,[Young Zee],Young Zee, keep movin' for the macs. Be cubin',Hmm? I'll make you sing like big Ruben,Man, in the hood, I'm the American Idol,First I fight you, and then run up on your stairs with a rifle,Bang. Tech claims make you wipe out like X-Games>,Next sprain's in your motherfuckin' leg bang?,Tryin' to shoot me like they tryin' to shoot 50,Either you gon' die or need a new kidney,Till I drop, I'm a sell to your friends,Till I get some of that tin, in the federal pin,I spit better than them,niggaz wanna fight me, better go get in the gym,or the metal'll spin. Since smokes' in 'Nam,doin' drugs than Eminem moms,Ten times, Dirty Dozen. All x times,Bash your ride, crash when you drive,flip your dumbass out the passenger side,Uhh {*car crash*}
,
,
",D12:Commercial Break (skit)
,,,
,,,
