album,artist,lyrics,title
,DJ Jazzy Jeff & The Fresh Prince,"Out loungin,Getting ya cool on,So I'm saying you be checkin these mommies out,Use to walk up say a little somethin take everythin a brother got just to speak,You know she aint even gonna holla at you you know what I mean,If a brother say sumthin baby id look back,You know ain't know thing,Friday night on the strip I seen you walking,With your girlfriends and talking,I was across the street,Loungin and lost in the beat,Peeped you insatiable urged to holla,Out of my car insatiable urge to folla,On my mark heart steady ready to go,One shot at her first impressions steady my flow,What I'm a say sumthin charmin sumthin smooth and disarming,See what we got in common hopin your mind is open to approachin,With my dogs coaching me through closer to you,Closer I get my focus on you,Excuse me miss that sundress is divine,Yo that aint just a line,But she didn't respond (word),Thought she didn't hear me so I said it again,But then she whispered shared a little laugh with her friend,I can understand if you aint feelin a cat,But blatant hatin on a brotha ,What the deal with that girl,If I holla at you (then holla back),If I say sumthin to you (then holla back),If im comin at you (then holla back),What the deal with it what the deal with it (la da da la da da),X 2,Seen you strutin with the badest bod I seen in a while,Ya elegant ma your whole face just glean when you smile,Straight adoring your aura line (feel you and I),Thinking of a line (that will reel you in ma),Say sumthin cute to the group (where we going yall),Then the cold hand of silence slapped my ego and all,I spoke nice baby but your response was ill,You aint all that..yes you are but still,Aight true life aint like im huntin,I say hi you say nuthin,Why you frontin,On my word I aint deserved to get done like that,I aint do no (nuu nuu or pss psss) or nuthin like that,Came straight like a gentleman raised by my mum,What you think everybody should get played cause you fine,???,naa I just wanted to rap,if a brotha holla holla back,If I holla at you (then holla back),If I say sumthin to you (then holla back),If im comin at you (then holla back),What the deal with it what the deal with it (la da da la da da),X 2,I just wanna get to know you,By you a soda,I don't know walk talk whatever,You can shine by me,Just a rock session,No parental discretion,Swing in your direction,Cause you my king mommy,I ain't no dog,Yo what's with the fence,Look in my eyes,What you see a frog or a prince,Mrs freeze,Nice as it get,Yeah icin the set,You don't want no scrub,I don't want no scrubette girl,You don't know me I don't know you,You don't know the future,Ain't got no crystal ball to look through,You cant tell what its gonna be,At least not yet,What I gotta get dissed cause of how the last guy stepped,I could be your cell mate (a true dat a true dat),I could be your best friend (true dat true dat),I could be your life dream (true dat true dat),You gonna miss risking that? Better holla at me,If I holla at you (then holla back),If I say sumthin to you (then holla back),If im comin at you (then holla back),What the deal with it what the deal with it (la da da la da da),X 5,Holla back,Holla back,Holla back
,
,
",DJ Jazzy Jeff & The Fresh Prince:Holla Back
,DJ Jazzy Jeff & The Fresh Prince,"[Brand New Funk],Get down, brand new funk, hit it,Get down, brand new funk, hit it,It's new, it's out of the ordinary,It's rather extrordinary, so yo bust this commentary,A literary, genius, and a superior beat creator,Have come together, and we made a,Musical composition which we think is a remedy,To cure all the dance floors that's empty,You wanna dance? We got what you want,Jazzy Jeff and Fresh Prince bustin out with the brand new funk,[Brand New Funk vs Summertime],Summer, summer, summertime (get down, brand new funk, hit it),Time to sit back and unwind (get down, brand new funk, hit it),Summer, summer, summertime (get down, brand new funk, hit it),Time to sit back and unwind (get down, brand new funk,hit it),[Summertime],Here it is the groove slightly transform,Just a bit of a break from the norm,Just a little somethin to break the monotony,Of all that hardcore dance that has gotten to be,A little bit out of control, the monotony,A little bit out of control, the monotony,A little bit out of control, the monotony,A little bit out of control, the monotony,[Girl's Ain't Nothin' But Trouble],Listen homeboys don't mean to bust your bubble,But girls of the world ain't nothing but trouble,So next time a girl gives you the play,Just remember my rhymes and get the hell away,[You Saw My Blinker],You saw my blinker...,[Boom! Shake the Room],Boom! shake-shake-shake the room,Boom! shake-shake-shake the room,Boom! shake-shake-shake the room,Tic-tic-tic-tic Boom!,(Yeah),Boom! shake-shake-shake the room,Boom! shake-shake-shake the room,Boom! shake-shake-shake the room,Tic-tic-tic-tic Boom!,(Yeah),Yo Jeff, yo Jeff,Yo Jeff, yo Jeff,[Brand New Funk],Now get funky with the beat,Yo baby you know what's up,Girl you can call me up,Yo baby you know what's up,[Ring My Bell],You could come and ring my bell,Ring my bell, my bell,Ring my (ring it), ring my (ring it) beeeeeeeeeeeell,Ring my bell, my bell,Ring my ring my ring,[I Wanna Rock],Now I'm the Prince an' ask Jezzy Jeff,We shown for years that we are def,But here's some more for y'all just come an' get it,Rip the wheels Jay (did it),:,I wanna rock right now (say what now?),I wanna rock right now (break it up form Jeff),I wanna rock right now (say what now?),I wanna rock right now (slow it down a little),I wanna rock right now (say what now?),I wanna rock right now (say what now?),I wanna rock right now (say what now?),[A Nightmare On My Street],That began the nightmare, but on my street,[Parents Just Don't Understand],You know parents are the same no matter time nor place,They don't understand that us kids are gonna make some mistakes,So to you, all the kids all across the land,There's no need to argue parents just don't understand
,
,
",DJ Jazzy Jeff & The Fresh Prince:Megamix
,DJ Jazzy Jeff & The Fresh Prince,"Intro, the maestro, nice flow,Hot like nitro.. cool as ice though,That type of dichotomy, y'all know it's gotta be ,Who else could it be BUT me?,Rub your eyes, behold the Big Williest,dream supreme beam straight from Philly it's the,eclectic female attractor,Rapper slash actor, right back at ya,And to the next millenium many come but few are chosen,See me servin like the U.S. Open,Another type of hustler listed at Blockbuster,.. go and ask a movie usher,Who is he? He or she - SFP,Movies, CD's, and TV's, but uh-uh ,cause today I take a break from that,as I roll where a tank of gas'll take me at,I used to rock these red Iroq Z's,Now I rock the MB's with the twelves and V's,Today, sun high.. up in the sky,From N.Y. la la to M.I., just cruisin,Where, baby, I don't care (just cruisin),As long as you take me there (just cruisin),Somewhere to clear my mind (just cruisin),Just cruisin,Zero to sixty, flossin - 90 degrees,Sony cartridges, ten CD's each,Reach to the beach, Southside leanin,It ain't often I'm off and I'm feenin for the -,- top down, drop down got me hot now,Heated up can't stop now,What up cutie wop? Sure sure is cookin yo,I know I'm spoken for, can't hurt lookin though,Pop CD's, B-I-G's, then Tupac's,While cruisin the blocks, hittin the hot spots,Got my celly on O-F-F,Golden Arches got my belly goin oh yes yes ,So let's just - ease on down ease on down the road,No pager roll my hip as I'm rollin my whip,Cause today I'm on the solo creep ,Man, why you think I be workin so hard all week?,I'm just cruisin,Where, baby, I don't care (just cruisin),As long as you take me there (just cruisin),Somewhere to clear my mind (just cruisin),Just cruisin (I'm just cruisin),Where, baby, I don't care (just cruisin),As long as you take me there (just cruisin),Somewhere to clear my mind (just cruisin),Just cruisin,Sun settin in the S-K-Y,Must say I've had the best day I'm..,tryin to find a exit, a place to chill,Not too hectic, so I can spend some time with Will,Let the, sunshine to the moonlight clear my mind ,Soul search, see what I find,If I'm bein the best lover and friend ,Am I being the best daddy I can? ,I pray I am, and I feel good today,Reminisce as I'm cruisin around the way,Roll tight past the park where I used to play ,Can't think of a better way to spend my day,Uh, still findin my way, still growin,Petrol blowin, moon soon showin,Gots to get goin, losin the light ,And ""The Freaks Come Out at Night,"" right,Just cruisin,Where, baby, I don't care (just cruisin),As long as you take me there (just cruisin),Somewhere to clear my mind (just cruisin),Just cruisin (I'm just cruisin),Where, baby, I don't care (just cruisin),As long as you take me there (just cruisin),Somewhere to clear my mind (just cruisin),Just cruisin
,
,
",DJ Jazzy Jeff & The Fresh Prince:Just Cruisin'
,DJ Jazzy Jeff & The Fresh Prince,"Max and relax and listen to wherever you're at the story of how we came up with this hit tune,We worked for month's days hours and seconds,But we simply couldn't seem to finish the record,We needed more tracks so we hooked up symp t,But everything we tried kept coming up empty,We played the track back over and over,So Jeff said forget it man lets call Grover,I explained the trouble to my man GW,Said I'd be glad to help be there in a double to,Switch the mix and fix up the pitch,He looked at is horn and his hands started itchin,His lips got locked his horn got hot,There it is a serous biz jazz and hip hop,A lesson could be learned from this musical fusion,That if you can blend then in life your losing,Black white red yellow not for sections,Not for colours all one spectrum,This is for your ear to hear and teach and smooth,Grover Washington completed the puzzle to our groove,Jazzy's groove
,
,
",DJ Jazzy Jeff & The Fresh Prince:Grovers Groove
,DJ Jazzy Jeff & The Fresh Prince,"Here we go ,George george george of the jungle watch out for that tree,Or if you're an emcee watch out for me and my man Jazzy,Ahh just hitting it,Beat back an,Ain't no slackin,I'm unbeatable,Undefeatable,I kick the flow way way up tempo,And now you must know that I got gusto,Don't be jugglin or else we knucklin when I get in my car my seat belt im bucklin,It ain't that I'm afraid but I'm trying to get paid,From a high school to bare ain't no money to be made,Mary had a little lamb and her fleece was white as snow,But I'm Hannibal Lector I silence the lamb while I watch the crowd go (here we go),Yo,Get hyped get hyped to the groove it goes on,When all night,Get hyped get hyped to the groove it goes on,We doing it right,Keep it going,Get hyped get hyped to the groove it goes on,When all night,Get hyped get hyped to the groove it goes on,We doing it right,1986 we first came out,Girls ain't nothing but trouble to get our name out,It was a fun record but a bit silly,They said we wouldn't make it cause we come from Philly,1988 we won a grammy all the critics could say was ooh damn he,Keeps going and going it ain't funny going and going just like an energiser bunny,Faster faster who's the master,They could only watch while we shot right past the,Grammy awards 1992,Open the envelope who's it go to,DJ Jazzy Jeff and the Fresh Prince,Well thank you thank you,Call the bank ooh I'm getting checks and,Plenty of sex and,Flexin like a texan,They desire to dust the fire ,We keep hitting em higher,Raps the thing that I am best and,Muscle bound rhymes that's why I'm flexin,Um de dum de dum dum di,When I walk by girls cry cause I'm fly,Dang digi dang de dang dand digi dang,I'm the king of this thing,Get hyped get hyped to the groove it goes on,When all night,Get hyped get hyped to the groove it goes on,We doing it right,Get hyped get hyped to the groove it goes on,When all night,Get hyped get hyped to the groove it goes on,We doing it right,Ooh ahh you wanna piece of pie (what),The pie to sweat (so),You wanna piece of meat (what),The meat to tough (so),You wanna ride a bus (what),The bust too full,Aight cool,Enough of the ol skool back to the new,I wont let the mic go till y'all get psycho,Louder louder let yourself go,(oh oh oh oh yeah),Mirror mirror on the wall now who is the top choice of them all,Well I know that its me I just thought id ask ,Cause if you said it wasn't me then you can kiss my behind,Ride em cowboy,Mic like a bronco but I wont let go,Heads are boppin knees are flying,Arms are swingin ears are ringin,That's what a real house party should be like 2 turntables a mic and a blue light,One fan blowing windows open,Crowd feels high cause the rhymes are dope an,But I don't stop though,They riding my jock so hard ,I'm thinking my nads getting scarred,You walk through the door,Get right to the floor,Cause that's what you came here for,Come on check it,Get hyped get hyped to the groove it goes on,When all night,Get hyped get hyped to the groove it goes on,How we doing it right we doing it right,Get hyped get hyped to the groove it goes on,When all night,Get hyped get hyped to the groove it goes on,We doing it right,Come on,Get hyped get hyped to the groove it goes on,When all night,Get hyped get hyped to the groove it goes on,We doing it right,Get hyped get hyped to the groove it goes on,All night,Get hyped get hyped to the groove it goes on,We doing it right,Yeah Yeah Yeah,That joint was live yo
,
,
",DJ Jazzy Jeff & The Fresh Prince:Get Hyped
,DJ Jazzy Jeff & The Fresh Prince,"Right here, right.,(Yep),When I was a young boy growing in Philly, I,Was sort of easy going, I,Was really a silly I,I used to mess around,I was kind of the class clown,I hate to see you frown,I hate to see people down,âCause I like it when fun flows like a faucet (uh),But sometimes, some guys mistake it for softness,But I ain't no silly sappy singin softy,When push comes to shove, ya better back up off me,âCause I am 6'2 and I ain't no little guy,200 pounds and homie I can make the heads fly,My father told me never hit nobody first,But if they hit you son (Yeah), take them to a hearse,So throughout my life those are the rules that I've lived by,A sucker put his hands on me homie I'll give a guy,A jab, jab, jab, uppercut, jab,Get âem a steaks slab,And put âem in a cab (Uh),Now I ain't the type of brother to go out and pick a fight,But man, man I really, really, hate to hear stuff like,Michael Jackson said, ""this sorta thing silly manâ¦"",A lover not a fighter, better stay out a Philly man.,Put up your dukes, so you better start boogen,A sick upper punch when you lunchin' and ain't lookin',An mx uppercut, aim for the mouth,Not from the north, or the east, or the west, it's comin',From da south,And I'm throwing it hard,From da south,Right up under your guard,From da south,An uppercut with all I got,(Watch them drop!),Put up you dukes; it's time to get loose troop,101, with me and you, and me and you're whole crew,You heard about the uppercut is that's what's wrong fellas,You're all chickens and for doers getting jealous,Fail one bang âem,Rumble and all buggin',All different names but all the same buggin',Maybe you can take me out, yeah maybe not,âCause fly into the uppercut (Here they come) and hear you're body shout,Boom shakala laka Boom shaka laka Boom! ,Look out,It's coming at you like a Kodak zoom,No, my name ain't Roberta, don't be giving me flak,And if you step off track, Jack, ,You're taking a turn, nap,A muscle bound sucker, mean jack to Will,When I walk on by better be glad I chill ,But if y'all forfeit and I feel friction,The landlord is givin' ya teeth dental piction,X's over eyes and birds around ya heads, flyin',Limp all back,Look like I hit you with a bat,Eyes so black (diggy, diggy),Look like ya must a got em painted,Damn!,That uppercut's a mother ain't it,Step in the ring,With the king,And you take a chance,âCause 20 seconds later y'all be out in a ambulance,Lookin pathetic,As you wrestle paramedic,What's up?,Felt like a truck,But it was only an uppercut,Jus last week some fool got careless (Yeah),So I got triflin',Went right for the bare fist,After the punch the young man didn't want a fight,I missed his face,But I busted the stoplight,So put up you're dukes, so you better start bookin',A sick upperpunch ,When you munchin',And ain't lookin',An mx uppercut aim for your mouth,Not from the north, or the east, or the west, it's comin',From da south,And I'm throwin' it hard,From da south,Right up under you're guard,From da south,And uppercut with all I got,(Watch them drop!),Yeah,Word,(There you go),Come, come come onâ¦.
,
,
",DJ Jazzy Jeff & The Fresh Prince:From Da South
,DJ Jazzy Jeff & The Fresh Prince,"It's ten a.m. and I just woke up,Walked to the window and opened the shades up,Sun so bright that I can hardly see,but I'm a black man so I pass on a tan,dip to the bathroom take me a shower,but first called up my girl told her be ready in an hour,I was still a bit tired man I'm laggin',grabbed the tooth brush to kil the dragon,ooh have mercy great day in the morning,turn on the water and I'm stretchin' and yawnin',tryin' to get a blend to the hot winter cold,man I'm young but why I feel so old,get it just right then step to the mirror,rubbin' my eyes to make my vision get clearer,everything looks a-o.k,and today is gonna be a lovely day,Chorus: ,(a lovely day) lovely day lovely day lovely day lovely daze (lovely daze) X 2 ,So I jet out the crib and hop in the benzo ,today is my girls day can't none of my friends go,just me and her top down on the highway,if you're gonna do it then why not do it the fly way,first a car wash next the barber shop,then off to my girls crib that's my next stop,a dozen roses a card and candy,I'm a true mackadocious Mr. Romanty,she hoped in and she asked where we're goin',yo we like a twig in the nile we just flowin' ,maybe to the beach or maybe hook up a picnic,but yo it doesn't matter cause today we just kickin' it,I threw in my homemade slow tape,and off to the beach for some beautiful landscape man,this is a bonafide lovers delight,got the ocean on the left the mountains on the right,I said yeah cause that's the way I was feelin',free as a bird got the clouds for a ceiling,I wish that I could press the gas and fly away,today has been a lovely day,chorus,it's dark outside now and it's gettin' kinda late,the date was great but here comes the moment that I hate,it's too bad a lovely day has gotta end up like this,a wave goodbye with a hug and good night kiss,mmmm I said good night my lovely I said mmmm good night my lovely,she said what you gonna leave me all alone,oh I forgot to tell you there ain't nobody home,now y'all know me I'm a real cool guy but inside things was kinda like the fourth of July,I walked inside I said hello there miss,then she gave me a kiss oh you want some of this,unh passion building mentally bonding,slowly I caress her and she's respondin' ,just close your eyes and keep thinkin' of me ,here I come girl,mmm lovely,chorus
,
,
",DJ Jazzy Jeff & The Fresh Prince:Lovely Daze
,DJ Jazzy Jeff & The Fresh Prince,"I'm feeling sad (yeah),I'm feeling sad (yeah),I'm feeling sad (yeah),I'm feeling sad (yeah),I'm feeling sad (yeah),Sitting in a hotel room,A thousand miles away from nowhere,Sloped over a chair as I stare,Out the window I sigh as I'm thinking,I take a sip of the juice I been drinking,I'm trapped inside of me ,Lost in the memory,Of how things used to be,I think somebody better call a doctor quick,Oh never mind I'm just a little homesick,Thinking of my mum and my dad,And when I was young good damn I was a bad boy,I remember playing catch a girl, kiss a girl,Like a sucker getting slapped every time I pucker,But I kept on chasin,Kept on running kept coming like Jason,Much nostalgia keeps bouncing through,-chorus-,There's no place like home (yeah),I'm feeling sad ,I'm feeling sad I'm feeling sad,There's no place like home ,I'm feeling sad,I'm feeling sad,There's no place like home ,Yo there ain't no place like home,And I'm itching for the hood when I cross the states I roam,On tour getting the crowds going wild and,Stacking the honeys in a pile and putting em on file,XL a paragon on the scene,Fancy hotels and getting chauffeured in a limousine,Travel the world and yet my heart is achin,I be Yearning and burning for my mums eggs and bacon,Yo, there ain't no place like home, place like home,Ain't no place like home,Uh, I feel like Dorothy so I tries it,Kicks my heels but my Jordans wouldn't 'ize it,So back to reality,Back to Philly, get back to my family,It's fun to see strange places,But sometimes I wanna see familiar faces,Like charlie mack, bam, nut and wood,Names kinda funny but as friends go real good,Ain't no place like home for true,And that's why,There's no place like home (yeah),I'm feeling sad ,I'm feeling sad I'm feeling sad,There's no place like home ,I'm feeling sad,I'm feeling sad,There's no place like home ,I'm feeling sad,There's no place like home ,I'm feeling sad ,I'm feeling sad I'm feeling sad,There's no place like home ,I'm feeling sad,I'm feeling sad,There's no place like home,Sitting in an airport my mouth watering,It's thanks giving day I'm just putting my order in,I call my mum on the phone kind a demanding,Don't stop cooking mum at seven I'm landing,She just laughed and said I don't intend to,My grandma picked up and then she ran the menu,There was turkey and stuffed corn and macaroni and cheese,And sweet potato pies ooh grandma please,On the plane now my mind drifting,Thinking of the way it used to be on Christmas,My mum used to put us to bed about nine,Saying it's, ""o f t baby, ol' folks time"",That'd be down stairs laughing and jamming,But then (boo) raise ya seats back for landing,I walked in the house I felt the love,And my grandma saw me and screamed,Now here come all the hugging,I got such a feeling of emotion and love,Because can't nobody can hug you the way your grandma does,Give me a shovel and put some feed on my plate,My father said grace right before we all ate,And after he was finished I put a p.s. on,I said yo, ""there ain't no place like home,And I thank God to be here with all of you"",Cause I was feeling,Feeling sad,I'm feeling sad,There's no place like home,I'm feeling sad ,I'm feeling sad I'm feeling sad,There's no place like home ,I'm feeling sad,I'm feeling sad,There's no place like home,On behalf of DJ Jazzy Jeff and The Fresh Prince,We'd like to take this opportunity to wish y'all a (There's no place like home),Happy Thanksgiving and a Merry Christmas and a Happy New Year ,And all that sumthin sumthin (There's no place like home),But we'd also like to encourage you,To take this opportunity to pause (There's no place like home),Just take a minute and stop and look around at your family,And thank God for them (There's no place like home),Because they not always be here with you,Peace,There's no place like home ,I'm feeling sad,I'm feeling sad,There's no place like home
,
,
",DJ Jazzy Jeff & The Fresh Prince:Ain't No Place Like Home
,DJ Jazzy Jeff & The Fresh Prince,"Aight say hi my name is daryl,Hi my name is daryl,And dj jazzy jeff (and dj jazzy jeff),And the fresh prince (and the fresh prince),Wanted you to say (wanted you to say),Merry christmas (merry christmas),And happy new year (happy new year),Yo this is dj jazzy jeff and the fresh prince ,And we got our whole family and friends in here right (everybody),And we're having a little fun and ho ho ho and merry Christmas and all that kind a stuff right,Now what we wanna do we want you to do we want every one to know that this is the season to max And relax and just take a little bit of time to send your grandmother that Christmas present or whatever But spend some time with your family (yep),Its time to get back to the family cause our family is in here partying,Y'all ready to party (ho),Say yeah (yeah),(Hit it),It's Christmas so I'm telling you all what is this,It's more than economics the point is being missed here,The yule tied spirit isn't down at the mall,It's in ya heart in ya house and with ya family y'all,You cant buy happiness and sax 5th ave,It's with your brother and your sister and your mom and your dad,So lets get it back together cause I don't know what a better time to be,The time is now y'all to get back to the family,Let's get back to the family,(Ya don't quit),Now DJ Jazzy Jeff and yours truly the prince would like to ,Take a couple of minutes to try to convince you that ,The spirit of the season isn't found in a gift,It isn't found in a store it's in the people that you spend it with,So lets forget about the dollar amount because ,More now than ever it's the thought that counts,The point that I'm trying to make is plain as day for me to call it,Giving is from your heart y'all not your wallet,Think back think back to the past,Think back to 4th grade making Christmas cards in class,Struction paper glitter and glue ,The card looked a mess but to ya mom it was the best gift,That you could give her you know what I'm talking about,You put your heart into it and so your heart came out,Christmas cookies cakes and pies remember the way they made you feel inside (hit it),Now that's what we need to get back to,Black white red and yellow please stay with me,Because now is the time to get involved with my rhyme again,And to get involved wit ourselves and get back to the family,Hey grandma lets dance let's dance,(I don't wanna dance),come on grandma lets dance,(I don't wanna dance),I know your knee hurt grandma but lets dance,(alright),Grandma slow down (hit it),(Little Billy knocked over the tree),(Little Billy knocked over the tree),(Hit it),What you get you got a sock,I got a G I Joe with a kung fu grip,Merry Christmas man,Merry Christmas and a happy new year man,From ours to yours merry Christmas and a happy new year
,
,
",DJ Jazzy Jeff & The Fresh Prince:Family Christmas
,DJ Jazzy Jeff & The Fresh Prince,"Aright you ready,You rollin right,We rollin aright,Yo in the place to be,About this time,DJ Jazzy Jeff and yours truly the fresh prince in the house,We bout to get busy ol skool style,Yo jazzy on the wheels me on the m-i-c,Lets seewe got a couple of new additions,Sumthin new age,We got little john on the d-r-u-m-s get busy,Aight,On the keys my man james what you doing back there,Oh yeah,So we about to do it a little sumthin like this,Aight jeff back to the ol skool lets do it,Now I'm the prince and that's jazzy jeff,We shown for years that we are def,So heres some more for ya'll to just come get it,Rip the wheels j, hit it,Yeah we going back to the ol skool,We got dj jazzy jeff on the wheelz,We got to show em we got to show em the way it used to get done man,We got to show them the way it used to get done jazzy,Yo rip it up for a bit give em a little scratch make it funky fresh,Cause you know you the dopest that ever did it man,The worlds supreme dj dj jazzy jeff,That's how I like it,That's how I like it,See a lot of djs came out trying to do what jeff started see,But jeff is the man the lord supreme on the wheelz of steel,Yo jazzy get busy for em,Get busy for em man,Yeah haha,That's my man going down,Haha,(I wanna rock right now),Say what jeff,(I wanna rock right now),What you wanna do,(I wanna rock right now),What you wanna do jeff,(I wanna rock right now),What you wanna do jeff,(I wanna rock right now),cant hear you(I wanna rock right now),one more time j(I wanna rock right now),say it one more time j(I wanna rock right now),get busy for em(I wanna rock right now),say what jeff(I wanna rock right now),one turntable jeff(I wanna rock right now),one turntable(I wanna rock right now),what you wanna do jeff(I wanna rock right now),what you wanna do jeff(I wanna rock right now),say what now(I wanna rock right now),break it up for em jeff(I wanna rock right now),say what now(I wanna rock right now),say what now(I wanna rock right now),say what now(I wanna rock right now),slow it down a little(I wanna rock right now),say what now(I wanna rock right now),say what now(I wanna rock right now),say what now(I wanna rock right now),where the drummer at(I wanna rock right now),say what now(I wanna rock right now),say what now(I wanna rock right now),and you faced with the beat(I wanna rock right now),you're a little pushy jeff(I wanna rock right now),you wanna rock, jeff lets do it a little sumthin like this,from the heart of west philly,came my man jazz,with mucho pazazz and a razamatazz,he slice the wax cut forward cut back,right and exact,you know the man ain't at all wack,The magnificent movie astounding,The crowd going loco,Kick drum pounding,People surrounding us checking the concept,Cutting up a storm that's why the crowd is all wet,Other dj's standing around jeff,Trying not to give up props to the worlds best,Shaking his hands trying to say that he cant flow,Cause jeff is a horse though that they all turn to,A mellow kinda fellow but in the past he,Been known to get an attitude and get right nasty,Snatch the wax,It's a fact not a figment,Get real and rip wheelz its downright ignant,And when he step on toss the confetti,He burn more wheelz that mario andretti,Jeff is there anything less you wanna say to the crowd(I wanna rock right now),We'll get down now(I wanna rock right now),Say what what(I wanna rock right now),Yo jeff lets go back to the ol set for a second,Come on Yo jeff (rock the beat),Come on Yo jeff (rock the beat),Yo jeff,Yo hes moving the crowd like a cloud u gotta get aloud,Cause jeff wants to (rock right now),Peep the boy get swift he got the gift to lift we just turntables and (rock) with,After a battle and I watch jeff win em,He stomp the comp got cuts like venom,Doper than coke the boys just def,d-j j-azzy jeff,on stage getting ill beside me,hands quicker than the eyes can see g,after he catch ya the smoke still lingers,he let loose like zeus with fire from his fingers,u wanna (rock),then I'm a let you (rock right now),yo jeff gets down cause,he's superior,others inferior,I rap a whole record to try to make it clear to you,You don't get it still,I aint getting ill,Jeff rip the wheels,Show em the real deal,(rock),what,(rock,ha,(rock,ha,(rock,1,2,1,2,3,4,hit it,in the place to be,doin it ol skool style,dj jazzy jeff and the fresh prince about to break out,yo fella lets go to the island,go to the island,himminahumani,himinahumini,my dj go by the name of jazzy,little chest big tummy,watch the man rip the wheels and a,hes almost things are real and a,hes the man u heard what I said,he got a little glasses and a big forehead,haha,jazzy jeff and fresh prince for 1993,and we out yeah
,
,
",DJ Jazzy Jeff & The Fresh Prince:I Wanna Rock
