album,artist,lyrics,title
The Chronic (1992),Dr. Dre,"This is dedicated to the niggas that was down from day one,Welcome to Death Row,Like we always do about this time,[laughs] ,Yeah,9 deuce,Death Row Records,Creepin' while your sleepin',Niggaz wit attitudes?,Naw loc.,Niggas on a muthafuckin' mission,What up niggas and niggettes?,That crazy ass nigga's back,In the muthafuckin' hizzouse,The notorious Compton G,D.R.E. ,On the solo tip,Fuck them other fools,What up Ren? Yeah,Droppin' Chronic flakes on yo ass bitch,West Coast flavor,Niggas that talk shit,Get delt wit real quick,So if you wanna take a trip to the row,Let a nigga like Snoop Doggy Dogg know,Protected by niggas wit big dicks, A.K.'s & 187 skills,So if it's a must you test us,We can handle it in the streets nigga,Fuck makin' records, yeah,G's up hoes down,If that bitch can't swim,She bound to drizzown,Peace to my nigga Drizze,Another platinum hit nigga,Peace to the D.O.C.,Still makin' it funky enough,& Death Row records is in full muthafuckin' affizzect,Oh Yeah,P.S. fuck Mr. Roarke and Tattoo,A.K.A. Jerry & Eazy,Sincirly yours,Deeez muthafuckin' Nuuuts,I don't love Eazy,I don't love Jerry,I don't love Ruthless records,Frankly I don't love nothin' they got to do with,But you know what I whant you to do for me,Jerry & Eazy,Check this shit out right here,I want y'all to put these bizzalls,In your jizzaws,& walk um like a strizzaw,Tell me what you sizzaw. yeah,Y'all know what?,Fuck all y'all, fuck y'all,Really though,It's Death Row nigga,You better ask somebody,You really better ask somebody,(Get out, get out. I don't love you no more),Yeah nigga,You'ze a penguin lookin'...
,
,
",Dr. Dre:The Chronic (Intro)
,Dr. Dre,"(Dr. Dre),Yeah, yo lets bring it ,(Chorus x2)(Eminem),what you gonna do when shit hits the fan,are you gonna stand and fight like a man,show us you as hard as you say you are,or you gonna run and go get your body guard,(Dr. Dre),niggas is so gangsta, niggas is thugs,niggas'll spend their whole life pedlin drugs,slangin dope and hopes of one day ,bein able to own they own label,and give the game up,some niggas came up,and some just didnt,its just the way it is,if it aint minute just ?,some niggas'll get money,and pay niggas to back em,so they can act up,feel comfortable an rap tough,and thats ass backwards,them niggas'll keep comin back,and thats when extortion happens,struggle to get free,i know how this shit be,you give anything that look legitimately  ,but you gonna find if you do get in this industry  ,that its best to do bussiness with me then against me  ,niggas get behind mics and aint even emcees  ,niggas get on mtv just to diss me  ,this shit dont even piss me off  ,i'm laughing all the way to the bank  ,watching you saddle life in my bentley  ,you niggas aint even got a car  ,youre so far under my radar  ,i dont even know who the fuck you are  ,i tell you to suck my dick while im pissing  ,i dont even listen to ya shit  ,to know who the fuck im dissing  ,and media just feeds into these feuds  ,trying to add fuel to the fire  ,this little nigga Ja Rule  ,talking about hes gonna slap me  ,nigga please you gotta jump  ,and swing up to hit me in the knees  ,i laugh at these magazines when they interview em  ,all they doing is making fake threats to us through em  ,ya pussy ya not Pac i knew em ,Pac was a real nigga, you just a fuking insult to him ,its too bad, we had a fall out before he passed  ,because if he could he see this shit now ,he'd be whoopin your ass  ,youre talkin to a pioneer who engineered this shit  ,for nineteen years who ya got in ya ear Ssssss (Suge)  ,i aint even gotta say it, the fans know  ,quit trying to be tough nigga,  ,you look like a asshole  ,(Chorus x2),(Obie Trice),They say why dont we increase the peace  ,the only piece to crease  ,is that which deletes ya peeps  ,cuz niggas run mouths but they dont want streets  ,till that 4-5 decease ya speech  ,ya its a shame how the beef'll creep  ,coulda reached ya peak  ,now ya left with a horrible leap  ,i'm trying to be as bleep  ,with my speech as possible  ,just incase a nigga try to throw me an obstacle  ,nigga im not boxing you  ,i'm hospitable  ,i put you in a hospital thats how i get at you  ,let the doc op on you he dont rid you  ,you back on them streets  ,i send another hit at you  ,this is not a hypocritical issue  ,i will critical condition ya tissue  ,give a fuck if you bring all ten of them with you  ,i throw an extra ten of them missiles  ,turn gangstas into gentleman fickle  ,and ever since Eminem dissed you ,i swear i see the woman and bitch in you ,all this bickering back and forth over who signs who ,curtis pull ya skirt up nigga ya got murdered  ,now take it like a man and shake it off DAMN  ,and quit tellin all these magazines ya plans  ,how you gonna slap up my man, ya fictious  ,nigga we'll send stan to come murder ya bitches  ,(Chorus x2),(Obie Trice),Hahaha..Yeah, go hide behind,all the gangstas you want nigga ,matter of fact go get every ,gangster from every hood ,in the United States of America ,to back you nigga, ,aint nobody riding with you ,you cant see that ,you fell off nigga ,HAHAHA, DAMN ! ,Shady / Aftermath motherfucka ,2003 to infinite YEAH !
,
,
",Dr. Dre:Body Guard
,Dr. Dre,"Vip chillin?, chillin?, chillin?,Club poppin? chillin?, chillin?, chillin?,Press the death chillin?, chillin?, chillin?.,Who .. out,All outside i?m chillin?, chillin?, chillin?,Music crazy chillin?, chillin?, chillin?,Mamy crazy chillin?, chillin?, chillin?,Damn who ? out.,Yes i am ready to take you higher,Then you ever got the medicine in the fire,We?re travelling like .. when be holding the mighters,Bottles on dick, models on dick,,F*ck the ?i?ma take you to the dick,I?ma mother f*cker alcoholic ?,You take ? shit i?m a bull of ..,See me in a hot .., probably think i got wings,? the party watching ..nothing but bad b*tches around my ..,Nothing for black cause inside my jeans,Expose everything ..she ready to .. need that, need that,,So basically the base is whatever you call the shit nigga ?,Chorus:,Vip chillin?, chillin?, chillin?,Club poppin? chillin?, chillin?, chillin?,Press the death chillin?, chillin?, chillin?.,Who .. out,All outside i?m chillin?, chillin?, chillin?,Music crazy chillin?, chillin?, chillin?,Mamy crazy chillin?, chillin?, chillin?,Damn who ? out.,Big chillin? in this mother f*cker,That?s how i?m feelin? in this mother f*cker,?cause ?everybody ?on this kother f*cker,What you?re looking for ?,I?m looking for a bad b*tch,,Somebody who can have a ? magic, move some, work some,,She murder it, the cups?re coming,I murder it a fly coming, and my direction why you?re stressing,? i peel off,Lay the function..we consumption of something ..she know we?re f*cking.,My game just rewine ?,[chorus:]
,
,
",Dr. Dre:Chillin'
,Dr. Dre,"Feelin' blue,When I'm trying to forget the feelin that I miss you,Feelin' Green,When the jelousy swells and it won't go away,,In dreams,Feelin' yellow,And confused inside,A little hazy but mellow,When I feel your eyes on me,Feelin fine,Sublime,When that smile of yours creeps into my mind,Oh oh,Nobody told me it feels so good,Nobody said you'd be so beautiful,Nobody warned me about your smile,You're the light, you're the light, when I close my eyes,I'm colourblind,You make me colourblind,Feelin red,When you spend nights out with your friends and not me instead,Feelin black,When I think about all of the things that I feel, I lack,Feelin jaded,When it's not gone right,All the colours have faded,Then I feel your eyes on me,Feelin fine,Sublime,When that smile of your creeps into my mind,Ohh,Nobody told me it feels so good,Nobody said you'd be so beautiful,Nobody warned me about your smile,You're the light, you're the light, when I close my eyes,I'm colourblind,You make me colourblind,Blinded by the light you shine,The colours fade completely,Blinded by you everytime,I feel your smile defeat me,I'm colourblind, I just cant deny, this feelin',Nobody told me it feels so good,Nobody said you'd be so beautiful,Nobody warned me about your smile,You're the light, you're the light, when I close my eyes,I'm colourblind,Nobody told me it feels so good,Nobody said you'd be so beautiful,Nobody warned me about your smile,You're the light, you're the light, when I close my eyes,I'm colourblind,You're the light, when I close my eyes,You make me colourblind,You're the light, you're the light, when I close my eyes,You make me colourblind
,
,
",Dr. Dre:Darius Colourblind
,Dr. Dre,"(Dr. Dre),Hey yo, remember that shit Eazy did a while back,Motherfuckers said it wasn't gonna work (word),That crazy shit, yeah the stupid shit,Hey yo Eazy! (Yo!),Hey man why don't you come off the piano for a minute,and bust this crazy shit,(Eazy-E),Woke up quick at about noon,Just thought that I had to be in Compton soon,I gotta get drunk before the day begin,Before my mother starts bitchin bout my friends,About to go and damn near went blind,Young niggaz at the pad throwin up gang signs,Ran in the house and grabbed my clip,With the Mac-10 on the side of my hip,Bailed outside and pointed my weapon,Just as I thought, the fools kept steppin,Jumped in the fo' hit the juice on my ride,I got front back and side to side,Then I let the Alpine play,Bumpin new shit by NWA,It was ""Gangsta Gangsta"" at the top of the list,Then I played my own shit, it went somethin like this:,Cruisin down the street in my six-fo',Jockin the bitches, slappin the hoes,Went to the park to get the scoop,Knuckleheads out there cold shootin some hoops,A car pulls up, who can it be?,A fresh El Camino rolled, Kilo G,He rolls down his window and he started to say,It's all about makin that GTA,*chorus*,Cuz the boyz n tha hood are always hard,You come talkin that trash we'll pull your card,Knowin nothin in life but to be legit,Don't quote me boy, cuz I ain't sayin shit,(Eazy-E),Down on B's in the place to give me the pace,He said my man JB is on freebase,The boy JB was a friend of mine,Til I caught him in my car tryin to steal my Alpine,Chased him up the street to call a truce,The silly motherfucker pull out a deuce-deuce,Little did he know I had a loaded 12 gauge,One sucker dead, LA Times first page,*chorus*,(Eazy-E),Bored as hell and I wanna get ill,So I went to a spot where my homeboys chill,The fellows out there, makin that dollar,I pulled up in my 6-4 Impala,They greet me with a 40 and I start drinkin,And from the 8-ball my breath start stinkin,Love to get my girl, to rock that body,Before I left I hit the Bacardi,Went to her house to get her out of the pad,Dumb hoe says something stupid that made me mad,She said somethin that I couldn't believe,So I grabbed the stupid bitch by her nappy ass weave,She started talkin shit, wouldn't you know?,Reached back like a pimp and slapped the hoe,Her father jumped out and he started to shout,So I threw a right-cross and knocked his whole ass out,*chorus*,(Eazy-E),I'm rollin hard now I'm under control,Then wrapped the six-fo' round the telephone poll,I looked at my car and I said, ""Oh brother,I throw it in the gutter and go buy another"",Walkin home and I see the G ride,Now Ket is drivin Kilo on the side,As they busted a U, they got pulled over,An undercover cop in a dark green Nova,Ket got beaten for resistin arrest,He socked the pig in the head for rippin his Guess,Now G is cut for doin the crime,For defence on the boy, he'll do some time,*chorus*,(Eazy-E),I went to get them out but there was no bail,The fellaz start to riot in the county jail,Two days later in municiple court,Kilo G on trial straight cold cut a fork,Distruption of a court, said the judge,On a six year sentence my man didn't budge,Bailer came over to turn him in,Kilo G looked up and gave a grin,He yelled out ""FIRE!"", then came Suzi,The bitch came in with a sub-machine Uzi,Police shot the bitch but didn't hurt her,Both up state for attempted murder,*chorus*
,
,
",Dr. Dre:Boyz N Tha Hood
,Dr. Dre,"Spoken: Eminem as Bin Laden],Oh Dr Dre. Or should I say Dr Gay.,You are very bad man, you diss the wrong motherfucker. You think Osama won't diss you black biaaatch.,[verse 1:],Things just ain't the same for Osama,,Since the World Trade Bombings,,And the Pentagon got the world calling,Me to kill all of congress, like...[blurred],The Strangest things can happen to an Afghan,When people get wrapped up in Islam and Allah,,Then some shiteaters fly planes and wreak havoc,,Then go drop the blame on Bin Laden.,Now I got a faggot-ass rapper attacking me,With this gangsta rap, like I'm not gonna battle,,Dr Dre? The man wasn't done shit since NWA,And gave Eazy-E AIDS.,Don't make shoot night on your fat ass,,You homofuck, you ain't the only one goin' platinum.,Osama Bin Laden, keeping it gangsta,,Fuck Dr Dre, I'm the Aftermath.,[Chorus:],Everywhere that I go ain't the same as before,,People I used to know just don't know me no more,And everywhere that I go, I got people I know,,Who've got people they know, so I suggest you lay low.,[verse 2:],Oh Dr Dre look at you, you fool,I use your own rap against you, and I'm better.,Lick my balls, til they are dry,,Sorry... come again.,Things just ain't the same for Bin Laden,,This planet hates me more than Michael Jackson,,Hating on the Taliban for keeping me captive,,Threatening to find my little cave and blast it,,Now I've got to worry about this wannabe gansta,,Who pays other rappers to write his wack shit,,Everyone knows that your beats are helped man,,And you'll never blow by yourself man.,Sorry, you'd blow... blow cocks,,Use the hole as a straw and blow sperm out your nostrils.,I don't give a hurried fuck, call Slim Shady,,Snoop Dogg, D.O.C, Wren and Jay-Z,,To write a verse, fuck I'll do it for ya,,You still lick dick, this is Booshu Babara.,Do you know who, do you know what, do you know who?,Let's keep this between me and you.,[Chorus],Osama...,Osama...,Oooosama...,O-o-o-osama...,Biatch.
,
,
",Dr. Dre:Detox
,Dr. Dre,"[Snoop Dogg:],Check it out, Dogg; ,This game is a muthafuckin' trip man,Word on the streets,Everybody always tryin' to run up on me,Hollerin' about word on the streets is this nigga said this...,Man I don't give a fuck about what that nigga said man!,That's what's wrong with you niggas, you niggas is just like bitches,Hoe ass niggas, talk too muthafuckin' much.,[Dr. Dre:],Speak.,[Snoop Dogg:],Study your own, get your own -- you know what I'm sayin'?,Be independent nigga ,[Dr. Dre:] Yeah.,[Snoop Dogg:] Bitch Niggas (Bitch Niggas)...,Bitch Niggas (Bitch Niggas)...,Bitch ass Niggas...,[Dr. Dre:] Bitch Niggas...,[Snoop Dogg:] Bitch Niggas...,[Snoop Dogg:] Yeah I'm talkin' about you...,[Snoop Dogg:] You too.,[Dr. Dre:] Bitch.,[Snoop Dogg:],Hmm... Dogg... I meet mo' Bitch Niggas than hoes ,Look here & I really don't know, but that's just how it go (damn),Dogg, so many niggas like to keep up shit,& just like a Bitch (Bitch) Niggas be talkin' shit (nigga),Smilin' in my face & then they blast me in the back (ka-ka-ka-ka-ka),Niggas stay strapped from way back 'cause payback...,'ll make niggas wanna pop that shit,If you ain't ready for the game (uh-uh) nigga stop that shit,We rock that shit, my nigga Dre, drop that shit.,[Dr. Dre:],Right.,[Snoop Dogg:],No mo' talkin' I'm walkin' & I'm poppin' the clip,Glock on the hip, set trippin' dippin an' shit,If you act like a Bitch (Nigga), then you get smacked like a bitch. (bitch),[Snoop Dogg:] Bitch Niggas. Bitch Niggas.,[Dr. Dre:] Bitch Niggas.,[Dr. Dre:],These niggas don't know what the fuck is goin' on,Yo Dogg, check it, kick back,Let me holla at these niggas for a minute...,[Dr. Dre:],Straight off the streets of chaos & no pitty,The aggravated, makin' these punk muh'fuckers hate it,Compton is the city I'm from,Can't never leave the crib without a murder wea-pon,Huh, I can't live my life on broke no mo',& most of these fools ain't shit, but cut throats.,They smile in a nigga face & for what?,They got the game fucked-up & want my thing fucked-up,I done learned alot, seen a whole lot,The top notch nigga, I'm fiendin' for that spot,Now peep game on what 6 Deuce told me.,[6 2:],These niggas after yo' paper, Dr. D.R.E.,[Dr. Dre:],What?,[6 2:],& these punk ass hoes is lookin' for dough,You gotta watch your homeboy's 'cause a nigga never know,Oh, they'll be around, but when yo' paper get low,Just like Master P said ""There They Go, There They Go"",Bitch Niggas... uh-huh...,*stop scheamin' & lookin' hard*,*stop scheamin' and...an, and...an-an, and...and lookin' hard*,[Dr. Dre:],Bitch Nigga, a Bitch Nigga,Bitch Nigga, hella Bitch Nigga,Youse a Bitch Nigga, muthafuckin' Bitch Nigga,A Bitch Nigga... a Bitch Nigga.,[Hittman:],I know yo' type, so much bitch in you, if it was slightly darker ,Lights was little dimmer my dick be stuck up in yo' windpipe!,Hmm, you'd rather blow me than fight, I'm from the old school,Like Romey Rome homey yo, you owe me the right,To slap you, like the bitch that you are,That wanted to cap you every since you was mad doggin' me with that bitch in yo' car,Fool ""Who do you think you are?  Mr. Big Stuff"",Man, you shit on Hit, get yo' shit bust; plus,Pistol-whipped, cover it up, use yo' bitch's blush,Mr. Powder Puff yo' bark ain't loud enough, huh,I know chihuahuas that's mo' rah-rah, ha ha,I have to laugh Dre, I bet he take bubble baths,You don't want no trouble with the Aftermath staff, trust me,Doggy Dogg, Diggy Doctor plus me,No youse a buster slash hussy, soft as a Hush Puppy,Must we break you down to estrogen most hated specimen's,A Bitch Nigga!,*attention all personal*,*stop scheamin' & lookin' hard*,*stop...stop...stop scheamin' & lookin' hard*,*...op-stop...ah-op-op-stop-sch-sch-scheamin' & lookin' hard*,*stop scheamin'... an-an... an-an... an-and lookin' hard*,*stop scheamin' & lookin' hard*,*stop skee-scheamin' & lookin' hard*,*stop scheamin' &... &... &...,*Stop scheamin' & lookin' hard*
,
,
",Dr. Dre:Bitch Niggas
,Dr. Dre,"Supa ugly,Put ya cups up,,get ya smoke in,,baby we partyin,,aint nobody loccin,,who you provokin?,,what you want now?,,take a look around,,there's pimp shit goin down,,there's alota bitches,,a whole lotta freaks,,top notch hoes,,they flockin every week,,what you wanna do?,,get ya next thrill,,take a x pill,,how the sex feel?,,damn you lookin good,,all 10 of y'all,,wanna roll?,,pump dick in y'all,,keep ya face down,,keep ya ass up,,you know what you doin,,keep that shit movin,,keep them titties jumpin,,keep the henny comin,,every bitch in here need to be touchin somethin,,I know they like it hot,,thats why i keep it hot,,so why the fuck could they not want a piece of doc?,Chorus,I don't give a fuck cuz I'm just drinkin, smokin, straight west coastin,,bitches puttin ass in motion, pussy poppin, sex, promotin,,is that a cup? raise it up,,is that a blunt? blaze it up,,is that your bitch? on these nuts,,dre I dont give a fuck,,all I really know is ya hoe wants to be with me,,and she aint playing and what I'm sayin,,she creeps with me and sleeps between the sheets,,verse II,Soon as the door close,,I make em curl toes,,they all wanna get chose,,we never love y'all,,my niggas all macs,,we sip alotta yac (cognac),,fuck and never call back,,pack women in the club till it's pitch black,,thugs on the block wondering where their bitch at,,where you think nigga?,,she with the aftermath,,call the house she aint home she with aftermath,,no talking,,fuck how ya day goes,,you want dick?,,well bitch say so,,dont be shy now,,probably the best at it,,they say a party aint a party till the west had it,,gravitate to the doc like it's automatic,,take your clothes off,,make me wanna grab it,,turn around with it,,make me wanna stab it,,time to get it crackin,,show me them bad habits,chorus,(add on),when she's all alone she sneaks out to be with me,,and what I'm sayin is she aint playin,,she creeps with me and sleeps between the sheets
,
,
",Dr. Dre:Bad Intentions
,Dr. Dre,"Artist: dr. dre featuring snoop doggy dogg*i can feel it*,Chorus: dr. dre (snoop doggy dogg),Yeah, and you don't stop (it's still 1-8-7 on a motherfuckin cop),Yeah, and you don't stop (cause it's 1-8-7 on a motherfuckin cop),Verse one: dr. dre,Niggers that I used to know and sell dope wit',Listen to how a motherfucker flow shit,,And let me know what's up and they can blast on,,Thinkin' about the homeys that passed on.,Death row come to show you all the game at,,And show you how my label got the name that,So many wanna see me, and time is money,,But never in the p-e-n, yo.,Welcome back to viet nam, california.,Ain't a damn thing changed, so let me warn you.,Every motherfuckin minute you on the west side,,The best side, 20 niggers that just died.,Walkin' down the streets of l.a.,Stay strapped cause niggas bust caps every day, yo,The 1-8-7 don't stop, on undercover cops,,So on this spot gettin' popped, shot,,Droppin' like this and like that,,Rat-tat-tat-tat with their caps peelin' back.,So creep when you in the c-p-t.,You catch heat from fuckin' with' the d-r-e.,I got my eyes on the shit unfolding.,And there ain't gonna be no trippin',Cause they know the type of shit that I be holding.,If there's another word said,,I'll let my forty-fo' go buck to the head, nigga.,Chorus: dr. dre (snoop doggy dogg),Yeah, and you don't stop (cause it's 1-8-7 on a motherfuckin cop),Yeah, and you don't stop (cause it's 1-8-7 on a motherfuckin cop),Verse two: snoop doggy dogg,3 and to the 2 and 2 and to the 1,,Head away, sent away, get away snoop's got a gun,,And he's lookin' for the cops who set him up in '86,Now it's time to put they ass in the mix.,Back on the streets with my khakis and my scars,,Nuts full of cavi and I'm headed for the bar.,Scared as a motherfucker, cause I'm fresh out,,But I got to make my green, and plus they all fiend,Follow me, they keep yellin' murder, but it won't stop,,Until the last nigga that you know drop.,Another nigga out, but I doubt that you really give a fuck what it's about.,Now, 99 pigs on a block with me,,Not a motherfuckin' cop wanna knock with me,,A c-o-n-v-i-c-t, the motherfuckin' d-o-g, comin' from the l-b-c.,Look at what the doc brought in,,A chrome 38, a fo'ty-fo' mag, and mack 10,So what you wanna do?  (what you wanna do? ),I got the gauge, a uzi and the mothafuckin 22,So if you wanna blast, nigga we can buck 'em,If we stick 'em then we stuck 'em so fuck 'em!,Chorus: dr. dre (snoop doggy dogg),Yeah, and you don't stop (cause it's 1-8-7 on a motherfuckin cop),Yeah, and you don't stop (cause it's 1-8-7 on a motherfuckin cop),Verse three: snoop doggy dogg,Splat to a motherfucker face, he fall.,Strong motherfucker cause he starts to crawl.,I guess I gots to load the glock again.,Hit 'im with the hollow points and watch him spin.,Fuck it, I had to do this quick.,Grabbed the glock 17, the clip went click.,Tried to detect, but did not detect perfect,So I creep on that ass, pops him and drops him.,That ought to stop from beatin' up blacks,,Dead in his tracks, from a full six pack.,Relax, cause I'm about to take my respect.,I aimed the twelve gauge straight for his neck.,Boo-yaa! boo-yaa! then I fade into the wind.,1-8-7 and it's on again.,Well it's on, and it's on, and it's on, and it's on,,Fo'-fo' desert eagle to your motherfuckin' dome,And it's on, and it's on, and it's on, and it's on,,Fo'-fo' desert eagle to your motherfuckin' dome.,Fuck 'em, buck 'em, if they really wanna trip,,Niggas keep your hands on your motherfuckin' shit.,Chorus: dr. dre (snoop doggy dogg),Yeah, and you don't stop (cause it's 1-8-7 on a motherfuckin cop),Yeah, and you don't stop (cause it's 1-8-7 on a motherfuckin cop)
,
,
",Dr. Dre:187um
,Dr. Dre,"[911 dispatch] 911, forty reporting,[woman] hello 911, help me, help me,[911 dispatch] what is your emergency,[911 dispatch] can you please run by your address for me,[woman] 151 Shenedoah, Shenendoah,[911 dispatch] ma'am where inside the house are you,[woman] (oh my god),[911 dispatch] ma'am where inside the house are you,[woman] in my room, their in my room,[911 dispatch] ma'am calm down, deputies are on the way,Is the door locked,[woman] (shriek),[911 dispatch] ma'am?,[2x] N N, dup dup, dup double u, a a, a a,[Ice Cube],(N N, dup dup, dup double u, a a, a a) What the fuck's up Dre,[Dr Dre],You tell me, you talk to Ren,[MC Ren],Im right here nigga,(N N, dup dup, dup double u, a a, a a) Release the hound,[Snoop Dogg],Bow wow wow,Wha wha wha what what what, what,[Ice Cube],I'm a Nigga Wit an Attitude thanks to y'all,And I don't give a fuck I keep it gangsta y'all,I'ma ride for my side in the C.P.T.,God bless the memory of Eazy-E,If it wadn't for me where the fuck you'd be?,Rappin like the Treacherous Three, fuckin cowards,I'd have seen Dre rockin parties for hours,And I'd have seen Ren fuckin bitches from Howard,And I'd have seen Snoop give away Eddie Bauer's,So fuck Jerry Heller and the white superpowers,[MC Ren],This the shit niggaz kill for,They hear the villain niggaz spittin' with them nigga flows,Fuck you hoes, fuck you bitch ass niggaz too,Got something for you broke,These niggaz wearin' skirts like the pope,Who them niggaz that you love to get (us),Who them niggaz that you fuckin' wit' (us),Love the girl that weed and shit (what),The saga continues, with the worlds most dangerous group,Four deep in the coup,(Im a spill it),[Chorus],I'ma smoke where I wanna smoke (fuck that),I'ma choke who I wanna choke (fuck that),I'ma ride where I wanna ride (fuck that),Cause I'ma nigga 4 life, so I'ma nigga til I diz-ie,(N N, dup dup, dup double u, a a, a a) ,I'ma smoke where I wanna smoke (fuck that),I'ma choke who I wanna choke (fuck that),(N N, dup dup, dup double u, a a, a a),I'ma ride where I wanna ride (fuck that),Cause I'ma nigga 4 life, so I'ma motherfuckin nigga til I diz-ie,[Dr Dre],A pencil, a pen, or a glock,Im the original, subliminal, subterranium,Titianium, criminal minded, swift,D-R-E with that fuck a bitch shit (fuck a biatch),A couple o' notes and get you hog-tied in rope,Dope like tons of coke, cutthroat,You don't want the pistols to whistle,Candy paint impala,I make hoes pop collars,[Snoop Dogg],God damn hoes, here we go again,Fuckin with Ren, playin' to win,(he got the) coke in hand, (I got the) juice and gin,Same shit you was fuckin wit way back then,We keep it crackin' from the actin to the jackin,G'ed up C'ed up motherfucker blaze the weed up,We all on deck fool so put your heat up,I stay on deck so me don't get wet,[Ice Cube],Look my nigga, we can scatter like buckshots,Let's get together, make a record, why the fuck not?,[MC Ren]	Why the fuck not?,[Dr Dre]	Why the fuck not?,[Snoop Dogg]	Why the fuck not?,[Ice Cube]	Cause I'm tight as the night,I had to wipe activator off the mic, in 1985,[Snoop Dogg],(N N, dup dup, dup double u, a a, a a),Real niggaz, biatch, you know, ha hah,[Ice Cube],We cause tragedy, erratically,Systematically, in your house without a key,How fucked up that'd be,Gat'll be near your anatomy, my form of flattery,[Dr Dre],Assault and battery, cus we coming with that street mentality,Straight west coast rider academy,Concrete nigga, that's my reality,[Snoop Dogg]	We tend to bus' on niggaz that get mad at me,[Dr Dre]	Was it a bitch in the mix,[Snoop Dogg]	Well it had to be,[Dr Dre],Lying tricks told them dicks I had a key,Hoes make the world harder than it have to be,(Yea thats right),[Chorus],I'ma smoke where I wanna smoke (fuck that),I'ma choke who I wanna choke (fuck that),I'ma ride where I wanna ride (fuck that),Cause I'ma nigga 4 life, so I'ma nigga til I diz-ie,I'ma smoke where I wanna smoke (fuck that),I'ma choke who I wanna choke (fuck that),I'ma ride where I wanna ride (fuck that),Cause I'ma nigga 4 life, so I'ma motherfuckin nigga til I diz-ie,[6x] N N, dup dup, dup double u, a a, a a
,
,
",Dr. Dre:Chin Check
