album,artist,lyrics,title
,Eazy-E,"[Baby Cryin', Scary music, laughin' voice .. ],Good evening, and welcome to Eazy's playhouse, ,you stupid muthafuckaaaaaa!,[a low bass metal voice .. ],Now that you got the album, ,what the fuck are you gonna do with it,,BITCH BITCH Bitch bitch ...,Eazily I aproach, the microphone because I ain't no joke,Tell your momma to get off of my tip,I have no time to give her my dick,I'm gonna hold it,And walk around the stage and,If you fuck up I'm goin' to get my gauge and,Unload the barrel and laugh,Cuz I'm puttin' lead in your mothafuckin' ass,Psychopathic, but the ho's are attracted,Because when I'm on hard my dick's at least a yard,In the days of old I was a nut,Now I need at least 3 ho's when I fuck,Cuz I do a check, nut 1 nut 2,Then I save a nut for when there's nothin' else to do,get used to the crew, bitch,Cuz I would never quit,As soon as you think that's it I'm still talkin' shit,-=- CuT -=-,I told you that nigga was crazy,E boy, that's my boy, godamnit,-=- CuT -=-,I got a fable that you need to listen to,It's a funky little rhyme about a bitch or a two,One Sharon and the other one Shaun,I want to nut but which one do I want?,Shaun said Eazy let me fuck you blind,And Sharon said E I want to blow your mind,I said fuck it, I know what should be done,Just pull your panties down and I'll fuck the biggest one,And then I get the other pussy put it in the freezer,So I can always have a on-hold skeezer,Get out the ticket, I do it like that,So I told the ho's to take a big step back,Took the zipper down, eyes wide and said,Here's what I'm gonna put inside,Grab it like a rabbit, grab it let's work it,But I won't love you,,When I'm done I'd still be talkin' shit ...,-=- CuT -=-,That boy'z good,Yeah that boy's good,That mothafucka'z talkin' all kinds of shit,I used to get pussy like eazy eric every day,You're mothafuckin' lyin',How you know I'm mothafuckin' lyin'?,You're lyin', your dick can't get hard ..,Oh, suck my dick mothafucka,Nigga you lied,Who you're talkin' to..?,...,-=- CuT -=-,Dre : Wait a minute, wait a minute, cut that shit,,HEY YO YELLA BOY! wantcha REWIND IT!,-=- CuT -=-,Niggaz don't see I'm a 100% legit,And you know it ain't about all that bullshit,It's about fuckin' this bitch and that bitch,But not the bitch with the 7 day itch, like that ho',Just throwin' me the pussy,She says she wants to do it like a doggy,She's bad, nobody is badder,But she got more crabs than a seafood platter,Bitch on the gank move, to skeaze me,Just to say ""I got fucked by Eazy"",So I slapped the ho' like a pimp,I might be a women-beater but I'm not a pussy-eater,So when the shit hits the fan it's outta my mouth,You don't like what I'm talkin' about,All of ya'll can just suck my dick,You can quote me now cuz I'm still talkin' shit ..,-=- CuT -=-,The boy's good, I told you the boy's good,The nigga has talent,You don't know a damn thing,Yeah, I like that part, bring that shit back one more time, Maestro,I can do the bugaloo,That old shit did'nt play out in 1967 ...,Hey fuck you, fuck you ..
,
,
",Eazy-E:Still Talkin'
,Eazy-E,"(Alright Go),This comes from the E Chapter 8 verse 10 and it reads,Its time to put some niggaz in check,When you shoot a gun,hot shells eject,Catch'em they get used as evidence,Only when they get brushed for finger prints,You ask Why am I like this?,Cuz you wanna hear about shit like this,So I tell it,how I know it,Just hope the fuck I dont show it,Niggaz out frontn ,lottering and looting.,Lets recreate a drive by shooting,More brothers in a car blocks away,Waiting to spray, shotgun,Mack10 and an AK,They roll thru to a line of nigga's,It was 9 just like tha fuck they figured,Go around tha corner come back real slow,Lights off,cars in neutral,rolln at a snails pace and creepn,Hoping to catch all of them sleepn,a so called gang,drugs and sex (NWA),Start busting a cap and all tha others jet,3 of'em fall to their doom,Pronounced dead at the scence,with gun shot wounds,3 dead cuz Compton is scanless.,I'd like to tell ya brother, Ashes to Ashes,Dust to Dust (Amen),Daaaaaaaaa,daaaaaaa,daaaaaaa,(You will now witness tha sound of ??)(We will now pass around tha hat),(thats good enough)No it aint,you fucked up, you fucked up (its cool) no,It aint
,
,
",Eazy-E:Eazy-Chapter 8 Verse 10
,Eazy-E,"I got beat for the street ta pump in ya jeep,Or in ya caravan wid da homies kinda deep,Somking on a Thai stick feeling kinda hight wit,Ya passenger seat occupied by a fly bitch,Rolling in ya lo-lo cut list all ya MCs,Slap in the hip-hop ta hell wit the [unverified],Modern day gangsta from the underground,Yay, niggas roll around wid tha boomin' ass sound,Got the 6-4 kinda low as we bouncing,On the grapevine rolling deep to Magic Mountain,Hoes on ya jock every time ya hit a corner,Because ya rolling twisted on the gold Daytonas,Frontin' on the regular, talking on ya cellular,Acting like ya don't hear the little bitches,Yelling ya name at the bus stop ya don't stop,Ya mash on the gas roll right by they ass,Slap Dresta in the dash, yeah,Guaranteed to hear something sweet uh,Gangsta beat 4 tha street,Guaranteed to hear something sweet yeah,Gangsta beat 4 tha streetz,I got beat for the street drop a rag top four,Got my strap under the seat just in case,I have ta check a hoe [unverified] on the scene,Rolling through the C-P-T turn up the hump soundz,We grooving to the mellow beat,Mad dogging like bitches,Hitting me up like I'ma banger,'Cause niggas can't stand ta see us,Sitting on some danas,When we came up all of tha fools,Running drag thinking ya gone an',Put tha twist I ain't tweaking,Drop ya putting the lock on it yeah!,Guaranteed to hear something sweet uh,Gangsta beat 4 tha street,Guaranteed to hear something sweet yeah,Gangsta beat 4 tha streetz,Beat for tha street,I love ta hear it pumpin' in my lo-lo,Hitting my switches and running tha bitches,And now I'm bustin' mo hoes,Roll up to tha spot,Me hop out and hit tha chirp-chirp,Bail in put on some proper shorts and a proper shirt,Just clowning cause hoes are in the house,Riding my dick because I got fame,And my name is B.G. KnoccOut,Asking ta be in my next video,Get tha 7 digits slap that ass and step to ya hoe,Now I'm off like a G flee to the C-P-T,See my niggas on the block getting tipsy,I pulled up and start tearing up the street,And guess what's in my muthaphukkin' deck,Gangsta beat 4 tha street,Guaranteed to hear something sweet uh,Gangsta beat 4 tha street,Guaranteed to hear something sweet yeah,Gangsta beat 4 tha streetz,I got beat for the street to tha beach I'll be rolling,Neva see me strolling 40s I'll be holding,Girls in the daisies drive Eazy crazy,Rolled up my windows as I turned on my AC,Rolling down Crenshaw see tha hoes jocking,Sunday nights popping see tha foes hopping,My stereo's bump and that A-T-L funk,You can call it what ya want,Either way the shit bumps,(Damn right),Being a gangsta is so neat yeah,Gangsta beat 4 tha street,Being a gangsta is so neat yeah,Gangsta beat 4 tha street,Being a gangsta is so neat yeah,Gangsta beat 4 tha street,Being a gangsta is so neat yeah,Gangsta beat 4 tha street
,
,
",Eazy-E:Gangsta Beat 4tha Street
,Eazy-E,"(horns)...,(chorus),Timbo- When you hit me on my phone betta know what cha want, when you call me, you already know, on the low, im sayin Hey! i got that(dro). I got that(drank). I got that(?). I got. I gotta pocket fulla stones and im playin the corner, you want it, you already know, you sicko. Im sayin Hey!.about that. Hey!.about that. Hey!.about that. Hey! about. whoo!,(verse 1),Lil Eazy E- Lemme tell you bout a nigga name E (name E). Im hittin corners in compton and movin work gettin profit, they tryna stop it but im so low key (low key). They say with dollars come power, im stackin mine by the hour, man fuck that coward! Ima, get while the gettin's good, Got boyz in da hood, and bundles of Kush, Muthafucka George Bush! See he aint helpin us, the streets they respectin us, Government aint tryna help, so we just invest in us. Do whatever for a buck, in the hustle i trust, moved from the back of the bus to a Maybach in a tux. Livin that good life(life). Still Lovin that hood life(life). This for my homies who locked down and doin life.,They not on the grind for em(for em). WhaServed that time for em(for em). Cant see ya did it for me, so i feel like i owe em. Now Tim Ridin with me, everybody tryna get me, till the day i die im livin filthy(filty).,(chorus),Timbo- When you hit me on my phone betta know what cha want, when you call me, you already know, on the low, im sayin Hey! i got that(dro). I got that(drank). I got that(?). I got. I gotta pocket fulla stones and im playin the corner, you want it, you already know, you sicko. Im sayin Hey!.about that. Hey!.about that. Hey!.about that. Hey! about. whoo!,(uh huh, uh huh, uh huh),(verse 2, Timbaland),Timbo- lemme tell ya bout this nigga name Tim(name Tim). Im well known in them corners V.A. to California, the game sowed up and you wanna blame him(blame him), and throw yo side up homie nd ill throw minez up homie, till i retire, Only GOD knows when(knows when :]) im Mr. Mo'endz, if you aint talkin paper i tell ya Go'on then. I gotta team of goons they kidnapping grown men, duct taping wife and kids, thinkin niggas gone then. An when i ride by, ima let them slugs fly, bustin my forty five, say hi to the bad guy. Yea, my swagg is stupid, my status celebrity, so i dont really gotta shoot cha you already dead to me.,(chorus),Timbo- When you hit me on my phone betta know what cha want, when you call me, you already know, on the low, im sayin Hey! i got that(dro). I got that(drank). I got that(?). I got. I gotta pocket fulla stones and im playin the corner, you want it, you already know, you sicko. Im sayin Hey!.about that. Hey!.about that. Hey!.about that. Hey! about. whoo!,(verse 3),Lil Eazy E- and i aint stoppin for nothin, cant get enough of it. This dope game such a rush and a nigga lovin it. Fast money,Fast cars im on some other- (Timbaland)
,
,
",Eazy-E:I Got That
,Eazy-E,"(feat. Tupac, The Game and 50 Cent),[Eazy-E:],Oh yeah! let's take a tripjust sit back and light a spliff and don't slip on the funky dope tracks jump back and strapped with afat booda sack 78 go clean gangsta lean I got green but I serve dubs like it ain't no thingi hang with OG players don't set trip boy you might hit the ', way muthafuckers know I'm comin so they go running to their graves watch swoop down with my nigga from the pound""EAZY""we don't give a fuck about you coward niggas nowkeep pumpin don't worry about nuthin u must of the thought we was frontin so we load and keep shootin(gun shots),[Eazy-e:],Pop on fools with a quickness and they got no cure for this sickness I get paid for the way that I get this like a Gster an OGster a real player named eazy and I live my life straight crazy don't need no punk fools paying me and broke groupies and hoochies don't phase me I take two steps back and release myself to put platinum and gold on the record shelves I don't brag but I put it up like it straight up is before you do a record handle your business and don't get caught slippin on the under or u might run ""wuts up on them inns G""I call it's get paid it's paid G's show your way so I get mine fool,[The Game:],I got a gold daytona's on the chevy '64 white walls so clean like I'm riding on volves in one switch man that ass so low cali got niggas in new york ridin' on hundred spokes touch me, tease me, kiss me, please me, I'll give it to you just how you like it girl your now rockin with the best four pound gun on my hip gold chain on my chest(ahhh!),[50 Cent:],Fifty uh, bentli uh, em came and got a nigga fresh out the slump automatic gun fuckin one on one we'll rap your punk ass stunt your done homie it's game time,[The Game:],Your ready here it come call Lloyd Banks and get this motherfucker crunk it took two months but fifty got it done sign with G-Unit and had niggas like huh don't try to front I'll leave your ass slumped thinkin I'm a punk your fugga head rumped fifty got a gun,[50 Cent:],Ready here it come I got a sit this chedda we bomb up better and draw em' up setter ball em' redder it sounds better than average tracks I'm a savage I damage any nigga tryin to front on my click G-UNIT!
,
,
",Eazy-E:How We Do Remix
,Eazy-E,"19 muthafuckin' '93,& I'm back in this bitch,,Eazy muthafuckin' E, the hip hop thugster...,Shouts go out to these fake ass notorius...,[laughing:],Muthafuckin' wannabe's...,I like to say what's up to my bitch Dre. [laugh],What's up honey...?,Hold on 'cause E makes some mo' money, baby.,& to that skinny ass, punk muthafuckin' main G ass Dre,,Snoop doggy doggy dogg, what's up nigga? Dogg catcher's about to get ya...,Muthafuckin' mutt...,...& if y'all niggas don't know what's up,,Y'all better ask somebody, y'all better ask somebody,,Y'all better ask somebody. [laughing]
,
,
",Eazy-E:Exxtra Special Thanks
,Eazy-E,"[Laughs],""Aiyo, Man You Remember That Shit Eazy Did A While Back,Muthafuckaz Said Wasnt Gonna Work (That Crazy Shit),Stupid Shit Man, Aiyo Eazy,Why Dont You Come Out From The Piano,And Bust This Crazy Shit"",Woke Up Quick, At About Noon,Jus' Thought That I Had To Be In Compton Soon,I Gotta Get Drunk Before The Day Begins,Before My Mother Starts Bitchin About Ma Friends,About To Go And Damn Near Went Blind,Young Niggaz At The Path Throwin Up Gang Signs,Ran In The House, And Grabbed Ma Clip,Wit The Mack 10 On The Side Of Ma Hip,Bailed Outside And Pointed Ma Weapon,Just As I Thought The Fools Kept Steppin,Jumped In The Fo' Hit The Juice On Ma Ride,I Got Front Back, And Side To Side,Then I Let The Alpine Play (Play),Pumpin New Shit By Nwa,It Was Gangsta Gangsta At The Top Of The List,Then I Played My Own Shit And It Went Somethin' Like This,Cruisin Down The Street In My Six-Fo,
,
,
",Eazy-E:Boyz-N-The-Hood
,Eazy-E,"Well I'm Eazy-E, I got women galore,You may have a lot of women but I got much more,Wit my super duper group coming out to shoot,Eazy-E, homegirls, cold knocking the boots,'Cause I'm a hip-hop thugster, I used to be a mugster,If you heard Compton, you think I own a drugstore,Getting stupid because I got it like that,And if a sucker talks thrash, I give him a smack,8 ball sipping, the women are flipping,Slow down, I hit a dipping, continue my tripping,Hitting my switches, collect from my bitches,The money that I make so I can add to my riches,Fill my stash box and start rubbing my gat,Feeling good as hell because my pockets are fat,A hardcore villian cold roaming the streets,And wit a homie like Dre just supplying the beats,[Chorus],Because I'm a gansta having fun,Always got the nuckleheads on the run,Hit me like that, I make you ask what was it,Boy you should have known by now, Eazy duz it,I was knocking out,What's your name boy,Funky, fresh Eazy-E,Kick, kick that ,Where you from fool, Compton, yea,Rolling through the hood, cold tearing it up,Stick my head out the window and I say what's up,To the homies on the corner cold bumping the box,But you know that's an alibi for slanging the rocks,A dice game started so I pulled out a buck,Then I put my car in park so I could try my luck,Hard to roll wit my girl jocking 24-7,Rolled one time, ate 'em up, hit 11,Got another point, I made a ten a fo',Was cleaning up fast and was itching for mo',Laughing in their faces cause the boy was too quick,Then one fool got jealous, said you're making me sick,He acted really stupid, I knew he wouldn't last,So I said to myself, homeboy, you better think fast,He went damn, then I went money gone,As you can see, I cold broke his (ha ha),[Chorus],(Wait a minute, wait a minute, who does it),I said Eazy duz it,But how does he do it,Eazy duz it do it eazy,That's what I'm doing,STOP,Man whatcha gonna do now,Now I'm a break it down just to tell a little story,Straight out the box from the gangsta category,About a sucker, a sucker named Tucker,He's addicted, he's a smoker but in Compton called a clucker,He used to have a house car and golden rings,But the cooky cooky crack took all those things,He must of been starving 'cause he broke in my house,Caught the fool on the block and cold knock the boy out,Now I wanted for assault that I had to commit,Yea I went to jail but that wasn't it,Got to the station about a quarter of nine,Call my girl to get me out 'cause I was down for mine,The girl was a trip cold hung up the phone,Now my only phone call was in the ganking zone,All the things I did for her like keeping her on top,I swear when I get out, It's gonna have to stop,Well by now you should know it was just my luck,The baliff of the station was a neighborhood cluck,I looked him straight in the eye and said what's up,And said let's make a deal, you know I'll do you up,Now back on the streets and I'm feeling good,I got the stupid girl in the neighborhood,Pulled her by the hair and it was all because,I had to show the girl what time it was,[Chorus],From around the way, born in '73,Harcore B-boy named Eazy-E,It's '88 now, '73's obselete,Boy wit a serious attitude and 100% street,Yea (ha ha ha)
,
,
",Eazy-E:Eazy Duz It (Radio Edit)
,Eazy-E,"[dr. dre],Hey yo, remember that shit eazy did a while back,Motherfuckers said it wasn't gonna work (word),That crazy shit, yeah the stupid shit,Hey yo eazy! (yo!),Hey man why don't you come off the piano for a minute,And bust this crazy shit,[eazy-e],Woke up quick at about noon,Just thought that I had to be in compton soon,I gotta get drunk before the day begin,Before my mother starts bitchin bout my friends,About to go and damn near went blind,Young niggaz at the pad throwin up gang signs,Ran in the house and grabbed my clip,With the mac-10 on the side of my hip,Bailed outside and pointed my weapon,Just as I thought, the fools kept steppin,Jumped in the fo' hit the juice on my ride,I got front back and side to side,Then I let the alpine play,Bumpin new shit by nwa,It was gangsta gangsta at the top of the list,Then I played my own shit, it went somethin like this:,Cruisin down the street in my six-fo',Jockin the bitches, slappin the hoes,Went to the park to get the scoop,Knuckleheads out there cold shootin some hoops,A car pulls up, who can it be?,A fresh el camino rolled, kilo g,He rolls down his window and he started to say,It's all about makin that gta,*chorus*,Cuz the boyz n tha hood are always hard,You come talkin that trash we'll pull your card,Knowin nothin in life but to be legit,Don't quote me boy, cuz I ain't sayin shit,[eazy-e],Down on b's in the place to give me the pace,He said my man jb is on freebase,The boy jb was a friend of mine,Til I caught him in my car tryin to steal my alpine,Chased him up the street to call a truce,The silly motherfucker pull out a deuce-deuce,Little did he know I had a loaded 12 gauge,One sucker dead, la times first page,*chorus*,[eazy-e],Bored as hell and I wanna get ill,So I went to a spot where my homeboys chill,The fellows out there, makin that dollar,I pulled up in my 6-4 impala,They greet me with a 40 and I start drinkin,And from the 8-ball my breath start stinkin,Love to get my girl, to rock that body,Before I left I hit the bacardi,Went to her house to get her out of the pad,Dumb hoe says something stupid that made me mad,She said somethin that I couldn't believe,So I grabbed the stupid bitch by her nappy ass weave,She started talkin shit, wouldn't you know?,Reached back like a pimp and slapped the hoe,Her father jumped out and he started to shout,So I threw a right-cross and knocked his whole ass out,*chorus*,[eazy-e],I'm rollin hard now I'm under control,Then wrapped the six-fo' round the telephone poll,I looked at my car and I said, oh brother,I throw it in the gutter and go buy another,Walkin home and I see the g ride,Now ket is drivin kilo on the side,As they busted a u, they got pulled over,An undercover cop in a dark green nova,Ket got beaten for resistin arrest,He socked the pig in the head for rippin his guess,Now g is cut for doin the crime,For defence on the boy, he'll do some time,*chorus*,[eazy-e],I went to get them out but there was no bail,The fellaz start to riot in the county jail,Two days later in municiple court,Kilo g on trial straight cold cut a fork,Distruption of a court, said the judge,On a six year sentence my man didn't budge,Bailer came over to turn him in,Kilo g looked up and gave a grin,He yelled out fire!, then came suzi,The bitch came in with a sub-machine uzi,Police shot the bitch but didn't hurt her,Both up state for attempted murder,*chorus*
,
,
",Eazy-E:Cruisin In My 6-4
Eternal E (1995),Eazy-E,"Well I'm Eazy-E, I got bitches galore,You may have a lot of bitches but I got much more,Wit my super duper group coming out to shoot,Eazy-E, muthafukas cold knocking the boots,'Cause I'm a hip-hop thugster, I used to be a mugster,If you heard Compton, you think I own a drugstore,Getting stupid because I know how,And if a sucker talks shit, I give him a (POW),8 ball sipping, the bitches are flipping,Slow down, I hit a dipping, continue my tripping,Hitting my switches, collect from my bitches,The money that I make so I can add to my riches,Fill my stash box and start rubbing my gat,Feeling good as hell because my pockets are fat,A hardcore villian cold roaming the streets,And wit a homie like Dre just supplying the beats,[Chorus],Because I'm a gansta having fun,Never leave the pad without packing a gun,Hitting hard as fuk, I make you ask what was it,Boy you should have known by now, Eazy duz it,I was knocking muthafukas out,What's your name boy,Funky, fresh Eazy-E,Kick, kick that shit,Where you from fool, Compton, yea,Rolling through the hood, cold tearing shit up,Stick my head out the window and I say what's up,To the niggaz on the corner cold bumping the box,But you know that's an alibi for slanging the rocks,A dice game started so I said what the fuk,So I put my shit in park and had to try my luck,Hard to roll wit my bitch jocking 24-7,Rolled them muthafukas, ate 'em up, hit 11,Got another point, I made a ten a fo',Was taking niggaz money and was itching for mo',Laughing in their faces and said you're all making me rich,Then one punk got jealous, cold slap my bitch,He pulled out his gat, I knew he wouldn't last,So I said to myself, homeboy, you better think fast,He shot [gunshots], I shot [gunshots],As you can see, I cold broke his ass (ha ha),[Chorus],(Wait a minute, wait a minute, who does it),Muthafuking Eazy duz it,But how does he do it,Eazy duz it do it eazy,That's what I'm doing,STOP,Man whatcha gonna do now,Now I'm a break it down just to tell a little story,Straight out the box from the gangsta category,About a sucker, a sucker muthafuka,He's addicted, he's a smoker but in Compton called a clucker,He used to have a house car and golden rings,But the cooky cooky crack took all those things,He must of been starving 'cause he broke in my house,Caught the nigga on the street and straight took his ass out,Now I wanted for a murder that I had to commit,Yea I went to jail but that wasn't shit,Got to the station about a quarter of nine,Call my bitch to get me out 'cause I was down for mine,The bitch was a trip cold hung up the phone,Now my only phone call was in the ganking zone,All the things I did for her like keeping her rich,I swear when I get out, I'm gonna kill the bitch,Well by now you should know it was just my luck,The baliff of the station was a neighborhood cluck,I looked him straight in the eye and said what's up,And said let's make a deal, you know I'll do you up,Now back on the streets and my records are clean,I creeped on my bitch wit my uzi machine,Went to the house and kicked down the do',Unloaded like hell, cold smoked the ho,[Chorus],From around the way, born in '73,Harcore B-boy named Eazy-E,It's '88 now, '73's obselete,A nigga wit a serious ass attitude and 100% street,And if you all wanna hear some more,In one way or the other, I'm a bad brother,Word to the muthafuka
,
,
",Eazy-E:Eazy Duz It N. W. A.
