album,artist,lyrics,title
,Jay-Z,"[Jay-Z],Nah motherfucker,Ge-ge-geah-geah,Geah-geah-ge-ge-geah-geah,Geah-geah-ge-ge-geah-geah,Yeah, yeah, yeah,[Beanie Sigel],We be the R,O,C .. y'all get your dope from us,We runs the R,O,C.. yeah, keep up niggaz, c'mon,Aiyyo you niggaz talk a lot of nuthin, like you always God or sumthin,Like you always shot at sumthin, niggaz never shot at nuthin,Like you shotty sumthin, like you body sumthin,nigga your body duckin is nuthin you're bluffin,You niggaz talk shit like you draw quick,but when the 4's grip, I floor quick; you, your man, your bullshit,Your man bullshit?  Might get him four quick ,All up in his fore shit; c'mon, stop the bullshit,It's B Sig dog, straight in da league y'all,Straight out da school yard Hoover, I schooled y'all,Now school's out, lights out tools out,You fools out c'mon y'all pick a new route ,while I pick the new flow, kick it to your new ho' ,to get next to your new dough,Your new crack spot you know Mac steal crack to crack pot,niggaz know I spit on every track hot,[Chorus: repeat 2X],It's the R, O, C, stop,From Tower to ma'n'pop we move out the stop,R,O,C, stop,We shower your mom block and move out with glocks,[Memphis Bleek],Uhh, yeah, uh-huh, yo this for my G's,Yo yo,Aiyyo, this for my G's, hoes, gangstas, foes,niggaz who get dough rep for get lo,I got cake (cake) weight (weight) shanks (shanks),eights (eights) bank (bank) bitch act straight,I'm hot son,[Beans] Stop son they livin a lie duke,You plot son I pop one still in the sky duke ,M to the A to the R-C-Y duke,niggaz die here can't nothin revive you ,I'm still here niggaz see what I drive through,Sittin on dubs with screens inside too,I'm simply street, I'm Memphis Bleek,Catch me with them green jars in the tinted jeep,On, B-L-A-D's I get C-L-A-P's,Catch me not givin a fuck I'm on these LA Trees,One for Sigel Sigel, two for the Jigga and ,Three for Amil-lion and four for Memph Man,[Chorus],[Beanie Sigel],Aiyyo you shouldn't have been talkin that like you was walkin that ,And Mac with this mac .. ,and let off fifty shots where you be walkin at,Where your apartment at,You fuck around and have me creepin in the dark where you be often at ,or where you be.. creepin at,Where your birds be.. shh,Oops mean (chirpin at) damn I'm hurtin that,Workin that spittin that shit like that's on purpose ,That's, some freestyle shit, I don't know,Hey playboy take that back a bit ,Yo you shouldn't have been talkin that like you was walkin that ,and Mac with this mac ..,and let off fifty shots where you be walkin at,Where your apartment at,You fuck around have me creepin in the dark where you be often at ,or where you be.. creepin at, sleepin at,Where your birds be, cheepin at,Oops mean chirpin that, damn I be workin that ,Hurtin that, aiyyo playboy (?) that,[Chorus],[Outro],R,O,C, stop,R,O,C.. mom block and move out with glocks,Uhh uhh, geah, uh-huh-uh-uh,Uh-huh-uh-uh, y'all can't fuck with us,Un-stop-pa-ble-Roc, y'all can't fuck with us,Un-stop-pa-ble-Roc, y'all can't fuck with us,Un-stop-pa-ble-Roc, y'all can't fuck with us {*fades out*}
,
,
",Jay-Z:The R.O.C.
The Dynasty: Roc La Familia (2000),Jay-Z,"[Jay-Z],I thought this was America people!,Uhh, yeah, guilty until proven innocent huh?,That's how we workin huh?  Okay,Before me there was many; after me there will be none,I am the one,Uh-huh, okay, I see how we playin,Yeah, I get it down - anxiously the public can't wait,Niggaz had to have it way before it's release date,Jigga get irate, press get it fucked up,Took me one point eight but I had to get it straight,Get the CD, twelve inch vinyl, get the tape,Jigga give out food for thought dog, get a plate,I get it down, get it krunk when I get in the state of mind,that what's mine is mine, nobody get to take,I don't bend, break, fold, scratch, go down,My mental rolodex see these words?  I just don't know,I know stress, drama, niggaz upsettin my mama,Arrested, put in the lineup, tryin to put dents in my armor,But I'm a survivor, plus I'm liver than most,Out on bail, fifty thou', still ridin with toast,I ain't tryin to collide with folk,,but I don't want folk takin Jigga for joke,I guess you niggaz just woke - good morning!,[Chorus - R. Kelly],You can't touch me, no you can't touch me,Jigga, Kelly, not guilty,Try to charge me but I'm not guilty,I got, all, my mamis,I've got all of my mamis,Tell me, what you, want from me,Tell me.. what y'all want from me?,I'm not guilty,[Jay-Z],I see how you comin at me now, I'm cool,I'm not the snitch I don't go to the cops to get rich,.. I go to the block and pitch,I go with the glock and click, I go with the pop I'm sick,I go with you hard; I ain't gon' stop for shit,Look in my eyes dog, right in my pupils,If I'm your rival, why would I have to do you?,Press try to throw dirt on my name, disturbin my game,Seemed happy when they heard he was arraigned, glad he's indichted,Got big money, big lawyers to fight it,Just like Cochran, cocksuckers you never see me boxed in,Y'all all knnow it, Jigga's a fighter,Plus I'm clausterphobic, back on the streets before you know it,And my word niggaz, I heard you niggaz,I'm address each and every one of you cocksuckers,Fuck the white press, the block love us, hip-hop forever,B.I.G. is here, the soul of Tupac hovers - above us,[Chorus - R. Kelly],You can't touch me, no you can't touch me,Jigga, Kelly, not guilty,Try to charge me but I'm not guilty,I got, all, my mamis,I've got all of my mamis,Tell me, what you, want from me,Tell me.. (I am the one),What you want from me?  Not guilty,[Jay-Z],Uhh, okay, you on my radar, I got you too bitch,Got lame bitches tryin to fuck with my case,Same lame bitch I bust in her face,Honey just mad I got her fuckin replaced,Plus a birthday pass without me even touchin my safe,But I ain't gon' lie, the head was sick,But what we need to do, is put that mouth on a betta bitch,You heart the rhetorhic, Jigga hit me over the head,with a champagne bottle at the bar, can he buy me a car?,Naw, how do y'all equate your pain,Would it all go away if I bought you a Range?,I got one or two of those, nothin gon' change,For nothin else, you gotta live with yourself,Try and lie on Hov' cause I ride on the road,in what, most would describe as a Rolls,NO, that's that Continental T,The only car that fit intercontinental me, not guilty,[Chorus - R. Kelly],You can't touch me, no you can't touch me,Jigga, Kelly, not guilty,And you wanna charge me, when I'm not guilty,I got, all, my mamis,(I am the one) I've got all of my mamis,Tell me, what you, want from me,Tell me.. what you want from me?,Not guilty,[Jay-Z],I, am, the, one,[R]	Y'all, cats, can't touch me,Holla!,[R. Kelly],So you can't touch me nigga, you can't touch me,Jigga, Kelly, not guilty,Said Jigga, Kelly, not guilty,I got, all, my mamis,And I got, all my, mamis,Tell me, what you, want from me,I don't, know why, y'all can't see that,Y'all, cats, can't touch me,Y'all, dudes, can't touch me,Jigga, Kelly, not guilty,Jigga, Kelly, not guilty,I got, all, my mamis,I got, all my, mamis,Tell me, what you, want from me,So tell me, what you, want from me,Y'all, cats, can't touch me,Y'all, niggaz, can't touch me,Jigga, Kelly, not guilty,Jigga, Kelly, not guilty,I got, all, my mamis,And I got, all my, mamis,Tell me, what you, want from me,So tell me, what you, want from me,Y'all, cats, can't touch me,Jigga, Kelly, not guilty,I got, all, my mamis,Tell me, what you, want from me,Y'all, cats, can't touch me
,
,
",Jay-Z:Guilty Until Proven Innocent
The Dynasty: Roc La Familia (2000),Jay-Z,"[Jay-Z],Sup ma?  You want to roll with us, y'knowhatI'msayin?,It's good, it's love, it's all love,We got cases of Belvedere, we gon' play truth or dare,We gon' really get to know one another,All you gotta do is put your hair down, get your mind right,Knahmean?  I'm here for you, yo,Relax yourself, let your conscience be free,You now rollin with them thugs from the R-O-C,Ain't no place on the planet that you'd rather be,but in the blue flame, bitch you're new to the game,Cross over to the Roc, make yourself hot,The topic of discussion in every nail shop,It's a secret society, all we ask is trust,and within a week, watch your arm freeze up,Brassiere get right, A to a D cup,Weave get tight, pedicure your feet up,Ears get iced, gear get spiced,From hoodrat to superstar, there's your life,Fuck with Hova, he can take you out of your hell,Say bye to Reebok, say hi to Chanel,Say hi to Gucci, Prada as well,Take a look in the mirror, be proud of yourself,[Chorus w/ singer],[J] Get your mind right mami, get your mind right,You gotta play your part when you're rollin with the R-O-C,[J] Get your mind right mami, get your mind right,You gotta know what it takes to be down with a nigga like me,[J] Get your mind right mami, get your mind right,I need a gangsta girl, who can ride in my passenger seat,[J] Get your mind right mami, get your mind right,And I need gangsta girls, for my gangsta family,[Memphis Bleek],Yo, I'm young Memphis, used to play the apprentice,Now I'm like the teacher, c'mere, let me teach ya,how to play them benches, hold this work in your dentures,How to play it cool when police come to pinch us,Relax mami, let the Belvy flow,Inhale the 'dro, exhale it slow,I could teach you how to roll, teach you bout fly kicks,Teach you how to keep your nose up out of my shit,When the beeper goes off, please don't reach,like you put a ring or spend cheese on Bleek,Get your mind right baby, goin through mine crazy,When I'm in the shower, *69 me crazy,Track my last call, contact my broad,with a bitch ?? had physical contact in the mall,You got issues {*inhales*} problems you need to iron out,I will, holla, for now you on time out,[Chorus w/ singer and Snoop],You gotta play your part when you're rollin with the R-O-C,[S] C'mon little mama, c'mon,You gotta know what it takes to be down with a nigga like me,[J] Get your mind right mami, get your mind right,[S] C'mon little mama, c'mon,I need a gangsta girl, who can ride in my passenger seat,[J] Get your mind right mami, get your mind right,[S] C'mon baby girl, c'mon,And I need gangsta girls, for my gangsta family,[J] Get your mind right mami, get your mind right,[S] C'mon little mama, c'mon,[Snoop Dogg],P-I-M-P-ology,I played you and you paid me,Believe me when I tell you girl I know you a freak,for fuckin with me, that ain't all you can be,Just put your mind to it you can go real far,I know times gettin hard on the boulevard,They say, pimpin is dead; man, pimpin ain't dead,These hoes just scared and they blind tryin and dyin to be lead,But who's to lead 'em?  Talk shit to 'em and beat 'em,Get they mind right and feed 'em,Now I don't need 'em (uh uh) but I can do that there,Put on a three-piece suit and Shirley Temple my hair,so I can, feel like a player when I walk in the place,Got yo' bitch all on my line and now she up in my face,Is this yo' bitch is that yo' bitch cause if she's not she mine,She fallin fo' a nigga and I ain't even dropped a line,[Chorus w/ Snoop],Get out my limelight bitch and get your mind right,C'mon little mama, c'mon,Get your mind right bitch, get your mind right,C'mon baby girl, c'mon, c'mon,You gotta play your part when you're rollin with the R-O-C,[J] Get your mind right mami, get your mind right,You gotta know what it takes to be down with a nigga like me,[J] Get your mind right ma, get your mind right,I need a gangsta girl, who can ride in my passenger seat,[J] Got ta get your mind right baby, get your mind right,And I need gangsta girls for my gangsta family,[Jay-Z],Get your mind right mami, get your mind right,Get your mind right ma, get your mind right huh?,Got ta get your mind right baby, get your mind right
,
,
",Jay-Z:Get Your Mind Right Mami
Reasonable Doubt (1996),"Jay-Z,Mary J. Blige","I'm makin sure it turns gold, when the weather folds,,Just put away the leathers and put ice on the gold,,Chilly with enough bail money to free a big willy,,Hi-stakes, I got more at stake than philly,,Shopping sprees, coppin 3, deuce fever I.S'n,,Fully loaded, aahh yes,,Bouncin in the lex luger, tires smoke like budah,,50 g's to the crap shooter, niggas cant fade me,,Chrome stocks beamin, through my peripheral,,I see you schemin, stop dreamin, I'll leave ya body steamin,,Niggas is fiendin, whats the meanin?,,I'm leanin on any nigga intervenin with the sound of my money machine'n,,My cup's runneth, over with hundreds,,I'm one of the best niggas that done it, ,6 digits and runnin, y'all niggas dont want it,,I got the godfather flow, the don juan demarco,,Swear to god dont get if fucked up,Takin out this time,,To give you a piece of my mind,,Cuz you cant knock the hustle,,Who do you think you are?,,Wel baby one day youll be a star,Last seen outta state, where I dropped my slang,,I'm deep in the south, kickin up top game,,Bouncin on the highways, switchin 4 lanes,,Screaming though the sunroof money aint a thing,,Your worst fear confirmed, me and my fam roll tight like the firm,,Gettin down for life, thats right, you better learn,,Why play when fire burns?,,We get together like a choir, to acquire what we desire,,We do dirt like worms, produce g's like sperm, ,Till legs spread like germs,,I get extensive hoes, with expensive clothes, ,And I sip fine wines, and spit vintage flows,,What y'all dont know?,Cuz ya cant knock the hustle,Runnin till the late day, I'm the one whos crazy,,Cuz thats the way youre makin me be, (the way you make me feel),,Cuz you cant knock the hustle,I'm just tryin to get mine, I dont have the time,,To knock the hustle for real,Y'all niggas lunchin, punchin the clock, ,My function, is to make much and lay back munchin,,Sippin remy on the rocks, my crew, somethin to watch,,Nothin to stop, un-stoppable,,Scheme on the ice, I gotta hide ya crew,,I gotta, let you niggas know the time like movado,,My motto, stack rocks like colorado,,While I order champagne, kristals by the bottle,,Its a damn shame, what ya not though, me,,Slick like a gato (cat), fuckin jay-z,,My pops knew exactly what he did when he made me,,He tried to get a nut and he got a nut and what!,,Straight bananas, can a nigga, see me,,Got the U.S Open, advantage jigga,,Serve like Sampras, play fake rappers like a canvas,,Le tigre, son youre too eager,,You aint havin it?, good, me either,,Lets, get together and make this whole world believers huh,,At my arraignment, screamin, ,All us blacks got is sports and entertainment,,Until we even, leavin, as long as I'm breathin,,Cant knock the way a nigga eatin, fuck you even, (fuck you),Takin out this time,,To give you a piece of my mind,,Who do you think you are?,,Well baby one day youll be a star,Runnin till the late day, I'm the one whos crazy,,Cuz thats the way youre makin me be, (the way you make me feel),,I'm just tryin to get mine, I dont have the time,,To knock the hustle for real
,
,
",Jay-Z:Can't Knock The Hustle
The Dynasty: Roc La Familia (2000),Jay-Z,"Uh huh,Is y'all ready?,Is y'all ready??,HOOK x2:,Holla!,If you real and you know you a G,Holla!,Deep in these streets when you pumpin that D,Holla!,Be in your hood screamin fuck police,Holla!,You keep a gun and you bust for beef,[Verse 1],Niggas say I'm focused now, they know that's my style,But dogg, I'm on the block with that coke and a smile,I still got the crack heads I.D.,And they know, I collect for the first and fifteenth,I still take cabs to that capsule spot,For them 31 illusions and them purple tops,And the game aint change, niggas is taught different,I'm raised off one rule, never get caught slippin,That's why I eat, sleep, shit with my gat,Bag up, take a piss, fuck a bitch with my gat,And I done sold it all from crack to marijuana,You can't deny it, I'm in hoods like Tom Warner,Beat cop, take away, I keep my shit,They don't know I deliver off the beeps I get,And you snitch ass niggas wanna peep my shit,But I'ma show you how deep into these streets I get,HOOK,[Verse 2],See what this game made, and *of age I came*,And you up and coming rappers know you young to this game,*I went from Marcy to Hollywood, I'm back again*,I don't need no applaud, to clap again,Let alone, no award, from rap to win,Talk drama, get yourself wrapped up in,Severe head trauma, get beat with the nine lime-a,Cut your hand off if you fuckin with my product,That slayed shit, I'm on the grave shift,We all know fucked up money don't pay rent,You short with my ones, you short one thumb,You can't, come up short where the fuck I'm from,We got, dues to pay, new tools to spray,Who's to say, Bleek won't make news today,You know the ooze'll spray if you refuse to pay,And I move the yae nigga day by day,HOOK
,
,
",Jay-Z:Holla
The Dynasty: Roc La Familia (2000),Jay-Z,"[Jay-Z],Mmm, you don't understand now be..cause you're cryin, and you hurt,You'll understand soon enough.. soon enough,[Singer overlaps Jay-Z],Let him hold you, let him touch you,Soon you'll un-der-stand,[Jay-Z],You're my best friend's sister, grown woman and all,But you see how I am around girls; I ruin 'em all,Plus your mom call me son, around you since I was small,Shit I watched you mature - nah, this ain't right,But still when your boyfriend ditched you, life's a bitch you cried,Over my right shoulder I told you to wipe your eyes,Take your time when you likin a guy,Cause if he sense that your feelings too intense, it's pimp or die,I bought you earrings on your birthday,Drove you to college your first day,It must be sad, though it hurts to say,We could never be a item, don't even like him,You deserve better - this is ugly; Gina, please don't love me,There's better guys out there other than me,{You need a lawyer or a doctor or somebody like that you know},Like a lawyer or a doctor with a Ph.D,Think of how upset your mother and brother would be,if they found that you was huggin me,My conscience is fuckin with me,[Singer],Let him hold you, let him touch you,Soon you'll un-der-stand,[Jay-Z],Man, I look in the eyes of a..,this.. a kid that stole life and me together..,We're tryin, really tryin to make it work,I'm young, and I ain't ready, and I told you,[Singer overlaps Jay-Z],Let him hold you, let him touch you,Soon you'll un-der-stand,[Jay-Z],It ain't like, I ain't tell you from day one, I ain't shit,When it comes to relationships, I don't have the patience,Now it's too late, we got a little life together,and in my mind I really want you to be my wife forever,But in the physical it's like I'ma be trife forever,A different girl every night forever; told you to leave,but you're stubborn and you love him and,,no matter what despite all the fuckin and the cheatin,,you still won't leave him, now you're grievin,And I feel bad, believe me,But I'm young and I ain't ready, and this ain't easy,Wasn't fair to tell you to wait, so I told you to skate,You chose not to, now look at the shit we gotta go through,Doin a fight, throw in a fuss, you the mother of my baby,I don't want you to hate me, this is about us,Rather me; I ain't ready to be what you want me to be,Because I love you, I want you to leave, please,[Singer],Let him hold you, let him touch you,Soon you'll un-der-stand,[Jay-Z],Mm... listen ma,I mean, I seen you workin two or three jobs,Daddy left... I I thought I was makin things better,I made it worse,[Singer overlaps Jay-Z],Let him hold you, let him touch you,Soon you'll un-der-stand,[Jay-Z],Dear ma, I'm in the cell, lonely as hell,Writin this scribe, thinkin bout how you must feel inside,You tried to teach me better, but I refused to grow,God damn I ain't the young man that you used to know,You said the street claim lives, but I wanted things like,bling bling ice I was wrong in hindsight,Shit we grew apart, try to blame it on your new spouse,I know it hurt like hell the day you kicked me out,But your house is your house, I ain't respect the rules,I brought crack past your door, beefed with rival crews,And who wants to be the mother of a son who sold drugs,Co-workers saw me on the corner slingin Larry Love,Meanwhile, you workin hard like, two or three jobs,Tryin to feed me and my siblings, makin an honest livin,Who am I kiddin I, call myself easin the load,I made the load heavy, I need money for commissary,Try to understand, please,[Singer - repeat all 6X until fade],Let him hold you, let him touch you,Soon you'll un-der-stand
,
,
",Jay-Z:Soon You'll Understand
The Dynasty: Roc La Familia (2000),Jay-Z,"[Jay-Z],Is he a Blood, is he Crip?,Is he that, is he this?,Did he do it?  Y'know, ehh,Look..,If I shoot you, I'm brainless,Different toilet, same shit, and I'm sick of explainin this,I'm waitin on arraignment, my nigga is the plantiff,Yeah, I know what you thinkin - fucked up ain't it?,I shoulda known better, and I planned to,but dog they be takin me out of my zone like a nigga with a handle,I sat back and watched it, put the gats back in the closet,I tried to tie my hands like an Iraqi hostage,Let niggaz take shots at me, no response,I just - flip and, pop my collar like the Fonz,You give a nigga a foot he'll take you one step beyond,He'll try to play you twice, the third time is the charm,You wanna conversate with the writer of the Qu'ran,or Old Testament, don't test him then,I know what y'all thinkin dick, pause,Your future's my past, I've been here before,I know when you're schemin, I feel when you plottin,I got, mental vision, intuition,I know where you goin I read your mind's navigational system,Everybody whisperin - pst pst pst ss perspirin,[Chorus],When the, streets is talkin, niggaz is gossipin,Bitches all in your shit, what's the cause of it?,I need to know.. geah geah,Yeah yeah yeah, yeah..,[Jay-Z],You see me with a bodyguard that means police is watchin,And I only use his waist to keep my glock in,But when shit goes down you know who's doin the poppin,And if you don't know, guess who's doin the droppin,S dot again, y'all got him in a bad mood,Bad move; that's bad news,How many times have I got to prove?,How many loved ones have you got to lose,before you realize that it's probably true?,Whatever Jigga say, Jigga probably do,Shit I paid my dues, I made the news,I came in the door for dolo, blazed the crews,And the streets say Jigga can't go back home,You know when I heard that?  When I was back home,I'm comfortable dog, Brooklyn to Rome,On any Martin Luther, don't part with your future,Don't ever question if I got the heart to shoot ya,The answer is simply too dark for the user,And as a snot-nose they said that he got flows,But will he be able to drop those before the cops close in?,'Fore the shots froze him, and he's dead and gone,from what the block has spoken, my God,Everybody stressin, who's his baby's moms?,Who he got pregnant, let me tell you, ahh...,[Chorus],When the, streets is talkin, niggaz is gossipin,Bitches all in your shit, what's the cause of it?,I need to know.. chicka-uh-ah, ah-chk-ah-uh-ah,Chicka-ch-ah, chk-ah-ah-ah,When the, streets is talkin, niggaz is gossipin,Bitches all in your shit, what's the cause of it?,I need to know.. gi-gi-gi, geah yeah uh, yeah yeah uh,Yeah, yo, yo,[Jay-Z],I seen my first murder in the hall, if you must know,I lost my pops when I was eleven mmm twelve years old,He's probably somewhere where the liquor is takin it's toll,but I ain't mad at you dad, holla at your lad,I grew up pushin snowflake to niggaz that was pro-base,The stress'll take a young nigga, give him a old face,All I did was smoke joke, think and drink,Copped 'caine and complained, front row watch game,I seen niggaz before me, with a chance to write they own script,slip up and change the story,I seen young niggaz go out in a blaze of glory,before reachin puberty, scared a nigga truthfully,I took trips with so much shit in the whip,that if the cops pulled us over the dog'd get sick, SNIFF,Smell me nigga?  The real me nigga, minus the rumors,Holla if you feel me nigga,[Beanie Sigel],The streets is not only watchin but they talkin now?,Shit they got me circlin the block before I'm parkin now,Don't get it twisted, I ain't bitchin, I'm just cautious now,So, under the park the extra cartridge now,Hit his click Sig' up you fell at it you're dense,I get word to the street like Bell Atlantic express,I feel the vibes and I hear the rumors,But fuck it, I'm still alive and I'm still ?? ?? Allah,Niggaz wanna press me, put my back to the wall,But pressure bust pipes I know, I spat it to y'all,To know me is to love me, you see me, can't be me, hate this,Fuck you I got guns like Neo in +Matrix+,Cross the Family, think Mac's sweet like payroll,or soft like Play-Doh get knocked off like Fredo,Corleone, they find you with a hole in your dome,I roll with niggaz that'll follow you and go to your home,Thought you ball, but nigga you fall to my defense,Catch you while you reachin, clip you then I cross you then I'm leavin,Apply full court pressure,like four-four ?? get you out of here, pull pressure,to the trigger, bullets fly in three's,You forever rest under bullshit, dirt lies and leaves,I do bullshit, dirt, tell lies then leave,Look in my eyes, realize it's Beans,Niggaz wanna despise the team; till I play head coach,and straight up, divide they team,Trade they man for some pies and a couple of things,Til the bullet.. ah, motherfuckers!! Yeah..
,
,
",Jay-Z:Streets Is Talking
,Jay-Z,"[Jay-Z],Yeh, it's that knock right here,You fuck around not have the right speakers in your system,your shit be soundin like this {*funny sounds*},Big thangs, thick chains, ain't shit changed,Get brain in the four-dot-six Range,Shit mayn, switch lanes,Every town I hit you switch lames, bitch flip big 'caine,I givin 'em whiplash when I'm whippin the whip fast,Which one?  Pick one nigga, I got a six stashed,Continental T's, no tense like I got a thick stab,Big cigar, old money, when I drop it it's so funny,Six-four switches, slam doors on 6's,Big trucks when I wanna fuck and it's time to get ass,I turn automobiles to hotels on wheels,I got money for a room it's just the fact that I'm trill,Bitches love when I cruise up the boulevard,They have contests to guess which car I'ma pull out the yard,They know I, come for dolo and pull off with a broad,Spin away, spend a day tryin to pull menage,Just Mac (??) God, the sunlight hit the ice it's flawless,Run lights like I'm the king of New York, I'm lawless,Bitches, they wanna hang like plaques in the office,Cause I push black Porsches, Benz's and Jaguars-es,When the rag's off it, gat on my lap, I'm that cautious,Never trust grimy-ass New Yorkers,'Specially when you're sittin on 20's they get nauseous,Standin in the Azure with white air forces,[Chorus: sung],You can catch me in the parkin lot,Hollerin at bitches, parkin lot pimpin',Everyday we be off the chains,Workin with grain, sittin on them thangs,Tryin to find out where dem dollars at (dollars at),So when I holla at you, holla back (holla back),Everyday we be off the chains,Ain't nuttin different, parkin lot pimpin',[Beanie Sigel],Holla at me mami!  Sigel..,You can catch Mac in the parkin lot, pimpin crazy,S-5, Navy 'Cedes, sittin on 80,That's four dubs, not S-4 dub,Stash box, push +Hot Wheel+ like +Matchbox+,Bitches wanna push my world, they flash box,160, push my wheel, mash cops,Cause 160 took my wheel to cash drop,Run 60, you Big Will, match cop,Lookin through the rearview and Mac was wylin,New driver, screwdriver, the cracked steering column,Pushin somethin stolen, blastin, picture me rollin,Baghdad, couldn't picture me ??,Now the truth different, Mac come through Coupe roof missin,I'm the truth til my fuckin roof missin,Mac stay stuck in the Coupe to school pigeons,Feathers gettin plucked in the truck from loose chickens, listen,[Chorus],[Memphis Bleek],Yo, aiyyo I dip dip dive, what can I say?,I can't fit 'em all inside the Escalade,So I called up, murder to further my parkin lot pimpin,Told 'em get the Impala so I can start dippin,Lay back, seat recline, they notice the hand,Car movin slow, driven by the invisible man,Everything on the dash, digital and,I got a fast stashbox don't make me spit at you man,In the parkin lot, where I spark a lot,I come to show my new feet, slide off with a few freaks,Bleek, turn up the beats..,.. turn up the heat then we burn up the streets, bitch!,[Chorus 2X]
,
,
",Jay-Z:Parking Lot Pimpin'
The Dynasty: Roc La Familia (2000),Jay-Z,"[Jay-Z],Uhh, uhh, uhh, let's go,Uhh, bounce, uhh, bounce,Uhh, bounce, uhh..,Im fuckin gay and suck my cock bitches,You're now rollin with them thugs from the R-O-C,Sigel Sigel in the house,Get your wig pushe,[Jay-Z],Uhh, uhh, Memph Bleek in the house,[Memphis Bleek],Still here, never left,Still bust, more or less, still puff - beeatch!,[Jay-Z],Uh, uhh, uh-huh-uh-UHH, uhh,Young Hova in the house.. Jigga!  Yeah,Crist' sipper, six dipper, wrist glitter nigga!,.. hold up love,Everytime you see Jigga Man I'm rollin on dubs,Don't forget about them blades shit choppin it up,It's the motherfuckin Roc bitch, who hotter than us?,Jay-Hov, bout to change my name to Jay Peso,But in the meantime, call me William H. though,On the platinum Yamaha, got the engine gunnin,Throwin it up like liquor on an empty stomach,{*cycle whizzes by*} Y'all don't hear nuttin?,Who that, Mac?,[Beanie Sigel],Nah dawg, that's M. Bleek comin,[Memphis Bleek],Who the FLUCK, want, what?,Catch Bleek in South Beach out of the reach of the police,Gat on my lap (yeah) bitch on my back (holla),Yak in my pocket, smokin the sticky chocolate (OO-WEE!),Holla if you want drama with,[Jay-Z],The Dynasty; Amil, Bleek, Jigga and..,[Beanie Sigel],Sigel - Desert Eagle dawg, who else but me?,Roc airs, Roc-Wears, bandannas and white tees,Me without a gun dawg, unlikely,You know I keep the heat right under the wifebeat',Three-X-T, I'm Lincoln now, you can't see the pound,Got a little gut so gat sit tucked (fuck),I run wild, gun high, L.A. style,Bang the roscoe to the sunrise, plus I stay dumb high,Whether block shit or rock shit,Club shit or drug shit, I pop shit I got shit,Give Sig' any track I'ma spit the talk to it,Down South gon' bounce Crips gon' walk to it,Get a ounce, get a woods, everybody spark to it,Every dawg, every Blood in the hood, bark to it,Get the ounce, get the woods, everybody spark to it,We can smoke in here, put the choke in the air,[singer],Don't change the game for these hoes,who plays the game like we supposed,[Jay-Z],Sigel Sigel in the house,[Beanie Sigel],Uh-huh, sick bastard,Get your wig pushed back by the wig push-backer,[singer],Don't change the game for these hoes,who plays the game like we supposed,[Jay-Z],Memph Bleek in the house,[Memphis Bleek],Still here, never left,Still bust, more or less, still puff - beeatch!,[singer],Don't change the game for these hoes,who plays the game like we supposed,[Jay-Z],Young Hova in the house.. Jigga!,Crist' sipper, six dipper, wrist glitter nigga!,I wear more bling to The Source and Soul Train's,More chains than rings, niggaz won't do a thing,I bangs the four-four in plain, daylight I'm deranged,Spray right at your brain; by the way this is Hov',One shot Dillinger, one shot killin ya,It's only one Roc La Familia,Sigel lock Philly up, Brooklyn is me,Matter of fact, the East coast fuck took it from me,Fourth album still Jay still spittin that real shit,Volume 3 still sold more records than Will Smith,Can't call this a comeback, I run rap, the fuck is y'all sayin?,Five million I done that, and I come back, to do it again (uh-huh),Ex-sinner, Grammy award winner,Ballin repeatedly, highlights on Sportscenter,Please repeat after me - there's only one rule,I WILL NOT, LOSE!
,
,
",Jay-Z:Change The Game
The Dynasty: Roc La Familia (2000),Jay-Z,"[Beanie Sigel],1-900-Hustler, Sigel, holla at your boy,What's the problem shorty?,[Shorty],Yeah whattup man,I'm the only nigga from Brooklyn out here man,I'm tryin to lock the spot down, holla at me,[Beanie Sigel],Alright; hold on - Hova, line one,[Jay-Z],Here's a couple of suggestions of how you could finesse it,You find a dude in town, you send him a short message,Say, ""Hey, I'm new in town, I don't know my way around,but I got some soft white that's sure to come back brown,I get that butter all night,cause most niggaz don't know a brick from a bike,They keep buyin hard white,And if you free tomorrow night we can meet and discuss price,FYI, I never been robbed in my life"",Or -- you find a chick, shit, you hole up in her crib and,let her introduce you 'round town like her man,Shake hands, make friends like it's all innocent,then -- before they look up you sellin the town cook-up,Or -- gorilla pimp, come up on that killer shit,Take a nigga brick, smack him, then you sell it back to them,Still there Brooklyn?,[Shorty],Yeah yeah that's gangsta, I think I'ma roll with that one,[Jay-Z],Make out a check for eight hundred dollars,Jigga Man, holla {*click*, *dial tone*},[Beans] 1-900-Hustler, Sigel, holla at your boy,[Chris] Whassup Sig?  This Chris out the Young Guns dog,[Beans] Whattup?,[Chris] I'm ready to smash these niggaz in the rap game
,
,
",Jay-Z:1-900-Hustler
