album,artist,lyrics,title
My Beautiful Dark Twisted Fantasy (2010),Kanye West,"[Chorus: KiD CuDi],Ain't no question if I want it, I need it,I can feel it slowly drifting away from me,I'm on the edge, so why you playing? I'm saying,I will never ever let you live this down, down, down,Not for nothing I've forseen it, I dream it,I can feel it slowly dripping away from me,No more chances if you blow this, you bogus,I will never ever let you live this down, down, down,[Verse 1],Penitentiary chances, the devil dances,And eventually answers to the call of Autumn,All of them fallin' for the love of ballin',Got caught with 30 rocks, the cop look like Alec Baldwin,Inter century anthems based off inner city tantrums,Based off the way we was branded,Face it, Jerome get more time than Brandon,And at the airport they check all through my bag and tell me that it's random,But we stay winning, this week has been a bad massage,I need a happy ending and a new beginning,And a new fitted and some job opportunities thats lucrative,This the real world, homie, school finished,They done stole your dreams, you dunno who did it,I treat the cash the way the government treats AIDS,I won't be satisfied til all my niggas get it, get it?,[KiD CuDi],Ain't no question if I want it, I need it,I can feel it slowly drifting away from me,I'm on the edge, so why you playing? I'm saying,I will never ever let you live this down, down, down,[Verse 2],Is hip hop, just a euphemism for a new religion,The soul music for the slaves that the youth is missing,But this is more than just my road to redemption,Malcolm West had the whole nation standing at attention,As long as I'm in Polo's smilin' they think they got me,But they would try to crack me if they ever see a black me,I thought I chose a field where they couldn't sack me,If a nigga ain't running shootin a jump shot running a track meet,But this pimp is, at the top of Mount Olympus,Ready for the World's game, this is my Olympics,We make 'em say ho cause the game is so pimpish,Choke a South Park writer with a fishstick,I insisted to get up off a this dick,And these drugs, niggas can't resist it,Remind me of when they tried to have Ali enlisted,If I ever wasn't the greatest, nigga, I must have missed it!,[Kid Cudi],Ain't no question if I want it, I need it,I can feel it slowly drifting away from me,I'm on the edge, so why you playing? I'm saying,I will never ever let you live this down, down, down,[Verse 3],I need more drinks and less lights,And that American Apparel girl in just tights,She told the director she tryna get in a school,He said ""take them glasses off and get in the pool"",It's been a while since I watched the tube,Cause like a Crip said: ""I got way too many blues for any more bad news"",I was looking at my resume feeling real fresh today,They rewrite history I don't believe in yesterday,And what's a black Beatle anyway, a fucking roach,I guess that's why they got me sitting in fucking coach,But God said I need a different approach,Cause people is looking at me like I'm sniffing coke,It's not funny anymore, try different jokes,Tell 'em hug and kiss my ass, x and o,Kiss the ring while they at it, do my thing while I got it,Play strings for the dramatic,And end all of that wack shit,Act like I aint had a belt in two classes,I aint got it I'm going after whoever who has it,I'm coming after whoever who has it,You blowing up, that's good, fantastic,That y'all, its like that ya'll,I don't really give a fuck about it at all,Cause the same people that tried to blackball me,Forgot about 2 things, my black balls,[Chorus: KiD CuDi],Ain't no question if I want it, I need it,I can feel it slowly drifting away from me,I'm on the edge, so why you playing? I'm saying,I will never ever let you live this down, down, down,Not for nothing I've forseen it, I dream it,I can feel it slowly dripping away from me,No more chances if you blow this, you bogus,I will never ever let you live this down, down, down, ,[Verse 4: Raekwon],I know cops, hems is lifting lenses,Kid, Armani suits, fresh fruits, Bally boots and Benzes,Counting up, smoking, one cuff,Live as a red Jag, a Louis bag, grabbing a blunt, fuck it,Steam about a hundred and one L's,Kites off the jails, buying sweats, running up in Stetson,Nigga hat game was special,It matched every black pair of Nikes,Throwing dice for decimals,The older head, bolder head, would train a soldier head,Make sure he right in the field, not a soldier dead,Got made code red,Break up the black skunk,The black dutch, back of the old shed,If you can't live, you dying,You give or buy in,Keep it real or keep it moving, keep grinding,Keep shining, to every young man, this is a plan,Learn from others like your brothers Rae and Kanye,[Kid Cudi],Not for nothing I've forseen it, I dream it,I can feel it slowly drifting away from me,No more chances if you blow this, you bogus,I will never ever let you live this down, down, down
,
,
",Kanye West:Gorgeous
The College Dropout (2004),Kanye West,"Kanye, can I talk to you for a minute? ,Me and the other faculty members was wonderin' could you do a lil som... ,Somethin' beautiful ,Somethin' that the kids is gon love when they hear it ,Thas gon make them start jumpin' up and down and sharin candy an' stuff ,Think you could probably do somethin' for the kids for graduation to sing?
,
,
",Kanye West:Intro
My Beautiful Dark Twisted Fantasy (2010),Kanye West,"One hand in the air if you don't really care,Two hands in the air if you don't really care,It's like that sometimes I mean ridiculous,It's like that sometimes this shit ridiculous,One hand in the air if you don't really care,Middle finger in the air if you don't really care,It's like that sometimes, man ridiculous,Life can be sometimes ridiculous,I'm so appalled, Spalding ball,,Balding, Donald Trump taking dollars from y'all,Baby you're fired, your girlfriend hired,And if you don't mind I'm'a keep you on call,We above the law, we don't give a fuck 'bout y'all,I got dogs that chew a fuckin' hole through the wall,But since they all lovers, I need more rubbers,And if I don't use rubbers, need more covers,Housekeeping, I mean got damn one time,Let it be a bad bitch sweeping,That know we get O's like Cheerios,That know because they seen us in the videos,That know, the day that you play me,Will be the same day MTV played videos,That was a little joke -- voila!,Praises due to the most high -- Allah,Praises due to the most fly -- Prada,Baby I'm magic -- ta da!,Address me as your highness,High as United, thirty thousand feet up and you are not invited,Niggas be writin' bullshit like they gotta work,Niggas is going through real shit, man they outta work,That's why another got damn dance track, gotta hurt,That's why I rather spit something that gotta perk,Champagne wishes, thirty white bitches,I mean this shit is, fucking ridiculous,Fucking ridiculous, I mean this shit is,Fucking ridiculous,Five star dishes, different exotic fishes,Man this shit is, fucking ridiculous,Fucking ridiculous,How should I begin this, I'm just so offended,How am I even mentioned by all these fucking beginners?,I'm so appalled I might buy the mall,Just to show niggas how much more I have in store,I'm fresher than you all, so I don't have to pause,All of y'all can suck my balls through my drawers,Dark knight feeling, die and be a hero,Or live long enough to see yourself become a villain,I went from the favorite to the most hated,Or would you rather be underpaid or overrated?,Moral victories is for minor league coaches,And 'Ye already told you ""We Major"" you cockroaches,Show me where the boats is, Ferrari Testarossa's,The Hammer went broke so you know I'm more focused,I lost thirty mill so I spent another thirty,'Cuz unlike Hammer thirty million can't hurt me,Fucking insane, the fuck am I sayin'?,Not only am I fly, I'm fucking not playing,All these little bitches too big for their britches,Burning their little bridges, fucking ridiculous,Champagne wishes, thirty white bitches,I mean this shit is fucking ridiculous,Fucking ridiculous,I mean this shit is fucking ridiculous,Five star dishes, different exotic fishes,Man this shit is, fucking ridiculous,Fucking ridiculous,Success is what you make it, take it how it come,A half a mill in twenties like a billion where I'm from,An arrogant drug dealer the legend I've become,CNN said I'd be dead by twenty-one,Blackjack I just pulled in aces,You looking at the king in his face,Everything I dream muthafuckers I'm watching it take shape,While to you I'm just a young rich nigga that lacks faith,Range Rove leather roof, love war fuck a truce,Still move a bird like I'm in bed with mother goose,Them hoes coming in a bakers dozen,Claiming they was with me when they know they really wasn't,I keep the city's best, never said she was the brightest,So if you had her too, it don't affect me in the slightest,I never met a bitch that didn't need a little guidance,So I dismiss her past until she disappoints your highness,I speak the gospel, hostile,Tony doing time for what he did to nostrils,Paranoid mind I'm still under the watchful,Eye of the law, aspire for more,Them kilo's came we gave you Bobby Brown jaw,Flaws ain't flaws when it's you that makes the call,Flow similar to the legend of the falls,Spillin' I own you all, yeah,One hand in the air if you don't really care,Two hands in the air if you don't really care,It's like that sometimes I mean ridiculous,It's like that sometimes this shit ridiculous,One hand in the air if you don't really care,Middle finger in the air if you don't really care,It's like that sometimes, man ridiculous,Life can be sometimes ridiculous,I am so outrageous,,I wear my pride on my sleeve like a bracelet,If God had an iPod, I'd be on his playlist,My phrases amazes the faces in places,The favorite, huh, my cup over runneth with hundreds,Dummy, dammit, not like for me to waste it,The new commandment, thou shall not hate kid,My movement is like the civil rights I'm Ralph David,Abernathy, so call my lady Rosa Parks,I am nothing like them niggas baby those are marks,I met this girl on Valentine's Day fucked her in May,She found out about April so she chose to March,Damn another broken heart,I keep bitches by the twos nigga, Noah's Ark,I got a seven on me, I call my bro Lamar,Plus a Trojan in my pocket, Matt Leinart,G-A-T in the Pathfinder,'Cause you haters got PHDs,Y'all just some major haters and some math minors,Tiger Woods don't make me grab iron,Ay yo champagne wishes and thirty white bitches,You know this shit is fucking ridiculous,Fucking ridiculous,You know this shit is fucking ridiculous,Cars for the missus and furs for the mistress,You know that shit is fucking ridiculous,Fucking ridiculous,You know this shit is fucking ridiculous,Fucking ridiculous,Fucking ridiculous,Fucking ridiculous,One hand in the air if you don't really care,Two hands in the air if you don't really care,It's like that sometimes I mean ridiculous,It's like that sometimes this shit ridiculous,One hand in the air if you don't really care,Middle finger in the air if you don't really care,It's like that sometimes, man ridiculous,Life can be sometimes ridiculous
,
,
",Kanye West:So Appalled
My Beautiful Dark Twisted Fantasy (2010),"Kanye West,Jay-Z,Rick Ross,Bon Iver,Nicki Minaj","I shoot the lights out,,Hide till it's bright out,,Whoa, just another lonely night,,Are you willing to sacrifice your life?,Bitch, I'm a monster, no good blood sucker,,Fat muthafucker, now look who's in trouble,,As you run through my jungles all you hear is rumbles,,Kanye West sample, here's one for example,Gossip gossip, nigga just stop it,,Everybody know (I'm a muthafucking monster),,I'ma need to see your fucking hands at the concert,,I'ma need to see your fucking hands at the concert,Profit profit, nigga I got it,,Everybody know I'm a muthafucking monster,,I'ma need to see your fucking hands at the concert,,I'ma need to see your fucking hand,Oh, the best living or dead hands down, huh?,Less talk more head right now, huh?,And my eyes more red than the devil is,,And I'm bout to take it to another level bitch,Matter who you go and get, ain't nobody cold as this,,Do the rap and the track, triple double no assist,,And my only focus is staying on some bogus shit,,Argue with my older bitch acting like I owe her shit,I heard that people sing raps to give the track pain,Bought the chain that always give me back pain,,Fuckin up my money so, yeh, I had to act sane,,Chi nigga but these hoes love my accent,Chick came up to me and said, ""This the number to dial,,If you wanna make your number one your number two now,,This that goose an' malibu I call it Malibooyah."",God damn, Yeezy, how he hit em with the new style!,Throw that muthafucker ""well, what chu gone do now,,Whatever ever I wanna do, gosh it's cool now,"",Know I'm gonna do, ah, it's the new now,,Think you motherfuckers really really need to cool out,Cause you will never get on top of this,,So mommy best advice is just to get on top of this,,Have you ever had sex with a pharaoh?,Put the pussy in a sarcophagus,Now she claiming that I bruise her esophagus,,Head of the class and she just want a swallowship,,I'm living the future so the present is my past,,My presence is a present, kiss my ass,Gossip gossip, nigga just stop it,,Everybody know (I'm a muthafucking monster),,I'ma need to see your fucking hands at the concert,,I'ma need to see your fucking hands at the concert,Profit profit, nigga I get it,,Everybody know I'm a muthafucking monster,,I'ma need to see your fucking hands at the concert,,I'ma need to see your fucking hand,Sasquatch, Godzilla, King Kong, Loch Ness, Goblin, Ghoul,,A zombie with no conscience,,Question: What do these things all have in common?,Everybody knows I'm a muthafucking monster!,Conquer, stomp ya, stop your silly nonsense,,Nonsense! None of you niggas know where the swamp is,,None of you niggas have seen the carnage that I've seen,,I still hear fiends scream in my dreams,Murder murder in black convertibles, I,Kill the block I murder the avenues, I,Rape and pillage a village, women and children,,Everybody wanna know what my achilles heel is?,Love, I don't get enough of it,,All I get is these vampires and blood suckers,,All I see is these niggas I've made millionnaires,,Milling about, spilling there feelings in the air,All I see is these fake fucks with no fangs,,Tryna draw blood from my ice cold veins,,I smell a massacre,,Seems to be the only way to back you bastards up,Gossip gossip, nigga just stop it,,Everybody know (I'm a muthafucking monster),,I'ma need to see your fucking hands at the concert,,I'ma need to see your fucking hands at the concert,,Profit profit, nigga I got it,,Everybody know I'm a muthafucking monster,,I'ma need to see your fucking hands at the concert,,I'ma need to see your fucking hand,Pull up in a monster, automobile, gangsta,With a bad bitch that came from Sri Lanka,,Yeah I'm in that Tonka color of Willy Wonka,You could be the King but watch the Queen conquer,First things first I'll eat your brains,,Then I'mma start rocking gold teeth and fangs,,Cause that's what a muthafucking monster do,,Hairdresser from Milan, that's the monster 'do,Monster Giuseppe heel that's the monster shoe,,Young Money is the roster and a monster crew,,And I'm all up all up all up in the bank with the funny face,,And if I'm fake, I ain't notice cause my money ain't!,Let me get this straight, wait, I'm the rookie?,But my features and my shows ten times your pay?,50k for a verse, no album out?,Yeah my money's so tall that my Barbie's gotta climb it,Hotter than a middle eastern climate,,Find it, Tony Matterhorn dutty wine it,,Wine it, Nicki on them titties, when I sign it?,That's how these niggas so one-track minded,But really, really I don't give a F-U-C-K,,Forget Barbie, fuck Nicki,  'cause she's fake,,She's on a diet but my pockets eating cheesecake,,And I'll say bride of Chucky is child's play,,Just killed another career, it's a mild day,,Besides 'Ye, they can't stand besides me,,I think me, you and Am should ménage Friday,Pink wig, thick ass, give 'em whiplash,,I think big, get cash, make ‘em blink fast,,Now look at what you just saw,,This is what you live for,,Aaaahhh, I'm a muthafucking monster!,I-I crossed the line-line,,And I'll-I'll let God decide-cide,,I-I wouldn't last these shows,,So I-I am headed home,I-I crossed the line-line,,And I'll-I'll let God decide-cide,,I-I wouldn't last these shows,,So I-I am headed home,I-I crossed the line-line,,And I'll-I'll let God decide-cide,,I-I wouldn't last these shows,,So I-I am headed home
,
,
",Kanye West:Monster
My Beautiful Dark Twisted Fantasy (2010),"Kanye West,John Legend,Alicia Keys,Fergie,Kid Cudi,Rihanna,Elton John","All of the lights (all of the lights),(Lights, lights),All of the lights (all of the lights),[Rihanna],Turn up the lights in here baby,Extra bright, I want y'all to see this,Turn up the lights in here, baby,You know what I need,Want you to see everything,Want you to see all of the lights,(all of the lights),Fast cars, shooting stars,(all of the lights, all of the lights),Until it's Vegas everywhere we are,(all of the lights, all of the lights),If you want it you can get it for the rest of your life,If you want it you can get it for the rest of your life,[Kanye West],Something wrong, I hold my head,MJ gone, our nigga dead!,I slapped my girl, she called the feds,I did that time and spent that bread,I'm heading home, I'm almost there,I'm on my way, heading up the stairs,To my surprise, a nigga replacing me,I had to take 'em to that ghetto university,[Chorus],All of the lights,Cop lights, flash lights, spot lights,Strobe lights, street lights,(all of the lights, all of the lights),Fast life, drug life,Thug life, rock life,Every night,(all of the lights),[Rihanna],Turn up the lights in here, baby,Extra bright, I want y'all to see this,Turn up the lights in here, baby,You know what I need, want you to see everything,Want you to see all of the lights,[Kanye West],Restraining order, can't see my daughter,Her mother, brother, grandmother hate me in that order,Public visitation, we met at Borders,Told her she take me back, I'll be more supportive,I made mistakes, I bump my head,Courts suck me dry, I spent that bread,She need a daddy, Baby please,Can't let her grow up in that ghetto university,[Chorus],All of the lights,Cop lights, flash lights, spot lights,Strobe lights, street lights,(all of the lights, all of the lights),Fast life, drug life,Thug life, rock life,Every night,(all of the lights),[Rihanna],Turn up the lights in here, baby,Extra bright, I want y'all to see this,Turn up the lights in here, baby,You know what I need, want you to see everything,Want you to see all of the lights,[Kid Cudi],Getting mine, baby,Gotta let these niggas know, yeah,Get it right, ay,You should go and get your own,Getting mine, baby,Gotta let these niggas know, yeah,Get it right, ay,You should go and get your own,[Fergie],Unemployment line, credit card declined,Did I not mention I was about to lose my mind?,(my mind, my mind, my mind),And also was about to do that line,Okay, okay, you know we going all the way this time,(this time, this time, this time),We going all the way this time,(time, time, time, time),We going all the way this time,[Rihanna],We going all the way this time,We going all the way this time,Turn up the lights in here, baby,Extra bright, I want y'all to see this,Turn up the lights in here, baby,You know what I need, want you to see everything,Want you to see all of the lights,[Alicia Keys],Whoaa-oh-whoa,Whoaa-oh-whoa-oh,[Elton John],I tried to tell you but all I could say is ohhhh,[Alicia Keys],Whoaa-oh-whoa,Whoaa-oh-whoa-oh,[Elton John],I tried to tell you but all I could say is ohhhh,[Alicia Keys],Whoaa-oh-whoa,Whoaa-oh-whoa-oh,[Elton John],I tried to tell you but all I could say is ohhhh
,
,
",Kanye West:All Of The Lights
My Beautiful Dark Twisted Fantasy (2010),"Kanye West,Dwele","I'm livin' in the 21st century,Doin' something mean to it,Do it better than anybody you ever seen do it,Screams from the haters, got a nice ring to it,I guess every superhero need his theme music,No one man should have all that power,The clock's tickin', I just count the hours,Stop trippin', I'm trippin' off the power,(21st century schizoid man),The system broken, the schools closed, the prisons open,We ain't got nothin' to lose, muthafucka, we rollin',Huh? Muthafucka, we rollin',With some light-skinned girls and some ,In this white man world, we the ones chosen,So goodnight, cruel world, I see you in the mornin',Huh? I see you in the mornin',This is way too much, I need a moment,No one man should have all that power,The clock's tickin', I just count the hours,Stop trippin', I'm trippin' off the power,'Til then, fuck that, the world's ours,And then they (Go),And then they,And then they (Go),And then they,(21st century schizoid man),Fuck SNL and the whole cast,Tell 'em Yeezy said they can kiss my whole ass,More specifically, they can kiss my asshole,I'm an asshole? You niggas got jokes,You short-minded niggas' thoughts is Napoleon,My furs is Mongolian, my ice, brought the goalies in,Now I embody every characteristic of the egotistic,He know, he so, fuckin' gifted,I just needed time alone, with my own thoughts,Got treasures in my mind, but couldn't open up my own vault,My childlike creativity, purity and honesty,Is honestly being crowded by these grown thoughts,Reality is catchin' up with me,Takin' my inner child, I'm fighting for it, custody,With these responsibilities that they entrusted me,As I look down at my diamond encrusted piece,Thinkin', no one man should have all that power,The clock's tickin', I just count the hours,Stop trippin', I'm trippin' off the power,'Til then, fuck that, the world's ours,And then they (Go),And then they,And then they (Go),And then they,And then they (Go),And then they,(21st century schizoid man),Holy, powers, Austin, Powers,Lost in translation with a whole fuckin' nation,They say I was the abomination of Obama's nation,Well, that's a pretty bad way to start the conversation,At the end of day, goddammit, I'm killin' this shit,I know damn well y'all feelin' this shit,I don't need yo' pussy, bitch, I'm on my own dick,I ain't gotta power trip, who you goin' home with?,How 'Ye doin'? I'm survivin',I was drinkin' earlier, now I'm drivin',Where the bad bitches, huh? Where ya hidin'?,I got the power, make yo' life so excitin' (So excitin'),Now this'll be a beautiful death,Jumpin' out the window,Lettin' everything go,Lettin' everything go,Now this'll be a beautiful death,Jumpin' out the window,Lettin' everything go,Lettin' everything go,Now this'll be a beautiful death,Jumpin' out the window,Lettin' everything go,Lettin' everything go,You got the power to let power come,(21st century schizoid man)
,
,
",Kanye West:Power
My Beautiful Dark Twisted Fantasy (2010),Kanye West,"[Nicki Minaj in a British accent:],You might think you've peeped the scene ,You haven't ,The real one's far too mean ,The watered down one, the one you know ,Was made up centuries ago ,It made it sound all whack and corny ,Yes, it's awful, blasted boring ,Twisted fiction, sick addiction ,Well gather 'round children ,Zip it, listen! ,Can we get much higher ,So high oh, oh, ohh, oh, oh, oh-oh ,Ohh can we get much higher ,So high oh, oh, ohh, oh, oh, oh-oh ,Ohh Can we get much higher ,So high oh, oh, ohh, oh, oh, oh-oh ,Ohh can we get much higher ,So high oh, oh, ohh, oh, oh, oh-oh ,[Kanye West],Yeah, yeah, yeah, yeah,I fantasized about this back in Chicago,Mercy, mercy me, that Murcielago,That's me, the first year that I blow,How you say broke in Spanish? Me no hablo,Me drown sorrow in that Diablo,Me found bravery in my bravado,DJ's need to listen to the model's,You ain't got no f-ckin' Yeezy in your Serrato?,(You ain't got no Yeezy, n-gga?),Stupid, but what the f-ck do I know?,I'm just a Chi-town n-gga with a Nas flow,And my bitch in that new Phoebe Philo,So much head, I woke up to Sleepy Hollow,Can we get much higher? (higher, higher),Oh, oh, oh, oh, oh, oh, oh, oh, oh,Look like a fat booty Celine Dion,Sex is on fire, I'm the King of Leon-a Lewis,Beyond the truest,Hey, teacher, teacher,Tell me how do you respond to students?,And refresh the page and restart the memory?,Respark the soul and rebuild the energy?,Re-stop the ignorance, re-kill the enemies,Sorry for the night demons still visit me,The plan was to drink until the pain over,But what's worse, the pain or the hangover?,Fresh air, rolling down the window,Too many Urkels on your team, that's why your wins low,Don't make me pull the toys out, huh,Don't make me pull the toys,And fire up the engines,And then they make noooise,Can we get much higher? (higher, higher),Oh, oh, oh, oh, oh, oh, oh, oh, oh,At the mall there was a seance,Just kids, no parents,Then the sky filled with herons,(I saw the devil) In a Chrysler LeBaron,And the hell, it wouldn't spare us,(And the fires did declare us),(But after that, took pills, kissed an heiress),(And woke up back in Paris),Can we get much higher? (higher, higher),Oh, oh, oh, oh, oh, oh, oh, oh, oh,Can we get much higher? (higher, higher),Oh, oh, oh, oh, oh, oh, oh, oh, oh
,
,
",Kanye West:Dark Fantasy
808s & Heartbreak (2008),Kanye West,"On lonely nights I start to fade (on lonely nights I start to fade),Her love's a thousand miles away (her loves a thousand miles away),Memories made in the coldest winter,Goodbye my friend,Will I ever love again?,Memories made in the coldest winter,It's 4 A.M and I can't sleep (It's 4 A.M and I can't sleep),Her love is all that I can see (Her love is all that I can see),Memories made in the coldest winter,Goodbye my friend,Will I ever love again?,Memories made in the coldest winter,Winter,Winter,Oh!,Goodbye my friend,Will I ever love again?,Goodbye my friend,Will I ever love again?,Goodbye my friend,Will I ever love again?,If spring can take the snow away (If spring can take the snow away),Can it melt away all our mistakes? (Can it melt away all our mistakes?),Memories made in the coldest winter,Goodbye my friend,I won't ever love again,Never Again
,
,
",Kanye West:Coldest Winter
808s & Heartbreak (2008),"Kanye West,Lil Wayne","[Kanye West],I'm cold (Yeah), I'm cold (Yeah), I'm cold (Yeah),[Lil Wayne],I got the right to put up a fight,but not quite cause you cut off my light,But my sight is better tonight and I might,see you in my nightmare, oh how did you get there,cause we were once a fairytale,But this is fare well,[Kanye West],I got my life and its my only one,I got the night, I'm running from the sun,So goodnight, I made it out the door X 4,After tonight, there will be no return,After tonight, I'm taking off on the road,I'm taking off on the road,And that you know,Tell every one that you know,That I don't love you no more,And that's one thing that you know,That you know...,Okay I'm back up on my grind,You do you and I'm just gone do mine,You do you, cause I'm just gone be fine,Okay I got you out my mind,The night is young, the drinks is cold,The stars is out, I'm ready to go,You always thought I was always wrong,Well know you know...,Tell everybody everybody that you know!!,Tell everybody that you know,That I don't love you no more,And that's one thing that you know,That you know,[Lil Wayne],I got the right to put up a fight,but not quite cause you cut off my light,But my sight is better tonight and I might,see you in my nightmare, oh but how did you get there,cause we were once a fairytale,But this is fare well,Baby girl I'm finished,I thought we were committed,I thought we were cemented,How I thought we meant it,Now we just forgetting,Now we just resenting,The clouds in my vision,Look how high I be getting,And it`s all because of you,Girl we through,You think your shit don`t stink but you are Mrs. P-U,And I don`t see you with me no more,Now tell everybody that you know,That you know!,[Kanye West],That you know,Tell everybody that you know,That I don`t love you no more,And that`s one thing that you know,That you know,That you know,Tell everyone that you know,That I don`t love you no more,And that`s one thing that you know,That you know...
,
,
",Kanye West:See You In My Nightmares
808s & Heartbreak (2008),Kanye West,"Didn't you know I was waiting on you?,Waiting on a dream that'll never come true,Didn't you know I was waiting on you?,My face turned to stone when I heard the news,When you decide to break the rules?,'Cause I just heard some real bad news,People talk like it's old news,I played it off and act like I already knew,Let me ask you, how long have you known dude?,You played it off and act like he's brand new,When you decide to break the rules?,'Cause I just heard some real bad news,Real bad news, real bad news,Real bad news,Oh you just gon' keep another, no, you wrong,Oh you just gon' keep it like you never knew,Oh you just gon' keep another love for you,Oh you just gon' keep him like you never knew,While I'm waiting on a dream that'll never come true,Oh you just gon' keep it like you never knew,My face turned to stone when I heard the news,What's on the news?,Channel crew
,
,
",Kanye West:Bad News
