album,artist,lyrics,title
,,,
Kurtis Blow (1980),Kurtis Blow,"I see that its not clear,,For you good buddy so clean out your ears,,So listen very closely while I pop my game,,'Cause my names in the Hall of Fame,The K-U-R, the T-I-S,,The first is the best I must confess,The B-L-O and the W,Makes you wanna catch the boogaloo flu,Now, If your name is Annie,Get up off your fannie,If your name is Clyde,,Get off your backside,If you name is Pete,,You don't need a seat,'Cause i'm Kurtis Blow and i'm on the go,I'm rocking to the beat in stere-ery-ooh!,Now just throw your hands in the air,And wave 'em like you just don't care.,And if your ready like Freddie to rock real steady ,,Somebody say, ""Oh yeah!"",Young ladies, all the ladies in the house say, ""Owww"",And you don't stop, come on, come on, come on, let me see you rock.,Ah get down and stop messing around,When Kurtis Blow is in your town,I'm Kurtis Blow on the microphone,A place called Harlem was my home,I was rocking one day, it started to shake,It sound to me a-like a earthquake,I packed my bags, I said goodbye,I kissed my woman, and I started to fly,I came to Earth by a meteorite,To rock you all on the mic,So just kick off your shoes, let your fingers pop,Kurtis Blow's just about ready to rock,Now people in the back, if you're not too whack, say:,""Don't stop the body rock!"",People in the front, if you want to bump, say:,""Don't stop the body rock!"",People in the middle, if you want to wiggle, say:,""Don't stop the body rock!"",And people on the side, if you want to slide, say:,""Don't stop the body rock!"",Now a preacher or a teacher or a e-lec-tri-cian,A fighter, or a writer, or a po-li-ti-cian,The man with the key to your ignition,Kurtis Blow is competition,Young ladies, shock the house,Yes, the young ladies, shock the house,A-just throw your hands in the air,And wave them like you just don't care,If you're really, really ready to rock this house this morning,Somebody say, ""Oh yeah!"",Somebody scream,Young ladies, Mercedes, all the ladies in the house say ""ow"",""Ow"",Ho, ho, ho, ho, ho-ho-ho!
,
,
","Kurtis Blow:Rappin' Blow, Pt. 2"
,,,
,,,
,,,
,,,
Kingdom Blow (1986),Kurtis Blow,"Chill out! Transformers, born to meet the skies.,Transformers, more than meet the eyes.,T-Bone! Go, go, Kurtis Blow y'all. Gimme the bomb! I'm chillin'.,Go through it! Dance!,Now the next little item that I wanna discuss is the body-suckin' rappers,That must be smokin' dust,When you make the kinda records that diss females – frontin' on a story,When it's just a tall tale.,To diss a female is a lowdown shame, but you suckers make the records,'Cause you wanna get fame.,All you radio cats: don't play that crap. Can't you see they're messin' up,In all the name of the rap.,Now all these years rappers worked so hard to give rapping a name and all,You rappers a job,,But now you peasy-head B-boys get me upset when you diss around and cut and,Then you just defect.,Don't forget LaToya and the real Roxanne. Can't you think of something,Else, you know what I'm sayin'?,But all you MC's just keep on illin'. That's okay, 'cause I'm chillin'.,Transformers – Dance! -- born to meet the skies. I'm chillin'.,Gimme the bomb!,Now wherever you go I just want you to know that I'm running the show at,Twenty below.,So let me tell you what it takes 'cause the others fake, it must've been,Imitate but those are the breaks.,I'm a Leo the Lion, the lion with desire, when I'm rappin' on the mic I set,The world on fire.,Devastatin', motivatin', complicatin', perpatratin' rappers who want to be,On top.,Stop! Can't you see me in trouble bo? It's rockin' the spot, yeah!,And don't you ever forget it trooper! Workin' all day, it's time for,Superman just to give you a break,Along with a go-go band, yes yes y'all. Can't you understand? What's the,Name of this jam?,I'm chillin'.,Get funky.,To the bridge!,Get ready for it y'all. Get ready baby.,Awright y'all. Awright. Here we go y'all.,Here I go, here I go y'all. Say what?,I said dance! I'm chillin'.
,
,
",Kurtis Blow:I'm Chillin'
,,,
,,,
,,,
