album,artist,lyrics,title
The Miseducation of Lauryn Hill (1998),Lauryn Hill,"Intro
,
,
",Lauryn Hill:Intro
,Lauryn Hill,"The sweetest thing I've ever known,Was like a kiss on the collar bone,The soft caress of happiness,The way you walk, your style of dress,I wish I didn't get so weak,Ooo baby, just to hear you speak,Makes me argue just to see,How much you're in love with me,See, like a queen, a queen upon her throne,It was the sweet, sweet, sweetest thing I've known,It was the sweet,sweet, sweetest thing I've known,I get mad when you walk away,So I tell you leave when I mean stay,Warm as the sun dipped in black,Fingertips on small of my back,More valuable than all I own,Like your precious, precious, precious, precious baby dark skin tone,It was the sweet, the sweetest thing I've known,Was the,I..... I try to explain,(I can't explain it, I can't explain it),I..... but baby it's in vain,Sneaking on my mother's phone,The touch that makes me think I'm grown,Sweet prince of the ghetto,Your kisses taste like Armaretto,Intoxicating (intoxicating), oohh, so intoxicating (intoxicating),How sad, how sad that all things come to an end,But then again,I, I'm not alone,It was the sweet, sweetest thing I've known,It was the sweet, sweetest thing I've known,I..... sometimes watch you in your sleep,I..... excuse me if I get too deep,It was the sweet, sweetest thing I've known
,
,
",Lauryn Hill:The Sweetest Thing
,Lauryn Hill,"RED and YELLOW and PINK and GREEN!,PURPLE and ORANGE and BLUE!,I can sing a rainbow!,Sing a rainbow!,Sing a rainbow too!,Listen with your eyes!,Listen with your eyes and sing everything you see!,You can sing a rainbow, sing a rainbow, sing along with me!,RED and YELLOW and PINK and GREEN!,PURPLE and ORANGE and BLUE!,I can sing rainbow!,Sing a rainbow!,Sing a rainbow too!,(repeat song 3x)
,
,
",Lauryn Hill:The Rainbow Song
,Lauryn Hill,"If they only owned love, shown love, grown love, like this before,If they only knew love, true love, to love, like this before,If they only gave love, saved love, brave love, like this before,If they only called love, love love, called love, like this before,If they'd only showed love, they owed love, owed love, like this before,If they only showed love, they owed love, owed love, like this before,If they only knew love, true love, to love, like this before,If they only gave love, saved love, brave love, like this before,If they only showed love, they owed love, they owed love, like this before,La la la la la, la la la la, la la la la la, La la la la la...,Like this before,If they ever showed love, they owed love, they owed love, they owed love,If they ever showed love, they owed love, they owed love, like this before,Oh, oh, oh, oh, yeah,La la la la la, la la la la, la la la la la, la la la la...,If they only claimed love, claimed love, claimed love,They maintened love,Instead they drained love, stained love,They didn't control love, my soul loves a whole love, like this before,Received the same love,If they didn't regret love, forget love, say they never met love,If they will love, don't kill love, just be still love (x4)
,
,
",Lauryn Hill:The Passion
,Lauryn Hill,"[Bob Marley] (Lauryn),(Uh) Turn your lights down low,And pull your window curtain,Oh let jah moon come shining in,Into our life again,Saying ooh, it's been a long, long time,(Long, long time),I got this message for you girl,But it seems I was never on time,Still I wanna get through to you girl,On time, on time (word),I want to give you some love ,I want to give you some good, good loving,(Uh, uh, right, uh),Oh I, oh I, oh I,Yeah I want to give you some good, good loving (uh) ,[Lauryn],Turn your lights down low,(Word, word, uh, uh),Never ever try to resist, oh no,(Na, na, na),Oh let your love come shining in,(Na, na, na),Into our lives again,(Na, na, na),Saying ooh, I love you,(I love you, I love you),And I want you to know right now,(Know right now),Ooh I love you,(Uh-uh, yeah, uh),And I want you to know right now (uh),That I, that I ,I wanna give you some love (uh, yeah),I wanna give you some good, good loving,Oh I, oh I, oh I,I wanna give you some good, good loving (yeah uh-uh),[Lauryn],Loving you is a like a song I replay,Every three minutes and thirty seconds of every day (uh, uh),And every chorus was written for us to recite (right),Every beautiful melody of devotion every night ,It's potion like this ocean that might carry me,In a wave of emotion to ask you to marry me,And every word, every second, and every third,Expresses the happiness more clearly than ever heard (uh),And when I play 'em, every chord is a poem,Telling the Lord how grateful I am cause I know him (what? word),The harmonies possess, a sensation similar to your caress (uh),If you asking then I'm telling you, it's yes,Stand in love, take my hand in love, Jah bless (right),[Lauryn & Bob],I want to give you some good, good loving,Turn your lights down low,And pull your window curtain,And let jah love some tumblin in,Into our lives again,(Bob),Sayin ohh, its been a long, long time,[Lauryn] ,I got this messege for you boy,(Bob),But it seems i was never on time      ,[Lauryn] ,Still i want to get through to you boy,On time, on time,I want to give you some love,I want to give you some good, good loving,Oh I, oh I, oh I,I wanna give you some good, good loving,[Lauryn] (Bob),Good, good, good loving,(I wanna give you some good loving)
,
,
",Lauryn Hill:Turn Your Lights Down Low
,Lauryn Hill,"uh uh uh uh refugee camp, conspireacy theory, what what, yo,You're just too good to be true,can't take my eyes off of you,you'd be like heaven to touch,I wanna hold you so much,at long last love has arrived,and I thank God I'm alive,you're just too good to be true,can't take my eyes off of you,Pardon  the way that I stare,there's nothing else to compare,the sight of you leaves me weak,there are no words left to speak,but if you feel like I feel,please let me know that it's real,you're just too good to be true,can't take my eyes off of you,chorus:,I need you baby and if it's quite alright,I need you baby to warm the lonely nights,I love you baby, trust in me when I say:ok(its okaay),Oh pretty baby, don't let me down, I pray,oh pretty baby, now that I've found you, stay,and let me love you,  o baby, let me love you, o baby,You're just too good to be true,can't take my eyes off of you,you'd be like heaven to touch,I wanna hold you so much,at long last love has arrived,and I thank God I'm alive,you're just too good to be true,can't take my eyes off of you,chorus:,I need you baby and if it's quite alright,I need you baby to warm the lonely nights,I love you baby, trust in me when I say its ok,Oh pretty baby, don't let me down, I pray,oh pretty baby, now that I've found you, stay,and let me love you, o baby, let me love you, o babyy ,I need you baby and if it's quite alright,I love you baby, you warm the lonely nights,I need you baby, trust in me when I say its ok,Oh, oh  pretty baby, don't let me down, I pray,oh pretty baby, now that I've found you, stay,and let me love you... (fades away)
,
,
",Lauryn Hill:Too Good To Be True
,Lauryn Hill,"Let me be patient ,Let me be kind,Make me unselfish,without being blind,though i may suffer i'll envy him not,and endure what comes,cause he's all that i got and tell him,Chorus:,tell him i need him,tell him i love him and it'll be alright,tell him i need him,tell him i love him,it'll be alright,now i may have faith to make mountains fall,But if i lack love then i have nothing at all,i can give away everything i possess,but am without  love then i have no happiness,i know i'm imperfect and not without sin,but now that i'm older all childish things end.,Chorus,i'll never be jealous and i won't be too proud,cause love is not boastful,oooh and love is not loud,tell him need him,tell him i love him,everything is gonna be alright,Now i may have wisdom and knowledge on earth,but if i speak wrong then oooh  what is it worth,see what we now know is nothing compared,to the love i was shown when our lives were spared,and tell him,tell him i need him,tell him i love him,Chorus
,
,
",Lauryn Hill:Sweetest Thing
,Lauryn Hill,"These social drugs,Messing with my mind,These social drugs ,Telling me im fine,These social drugs,Messing with my head,These social drugs,They want me dead,Afraid to address,All the reality before me,Too proud to confess,That im addicted to a lie,So I seek temporary feelings,To replace reality,Though the truth is telling me I should die, no,BUT IVE BEEN TAUGHT TO LOVE IT,But they just don't confront it ,I hate when I found out ,That I can't do what I wanted,This emotional tantrum,Has become somewhat of an anthem playing FOR TIME TO TAKE A LITTLE TRIP,To hide this condemnation,I find a compilation,Of a manmande stimualtion,to deny my situation,Now because reality,is distorting what I see,Reporting FACTS THAT LEAD,A sense of false security,So in my imagination,Oh I must find a recreation,DESPERATELY SEARCHING WAYS,To open my sensations,theres no equilibrium,inebriated till im numb,intoxicated till im dumb,to avoid confrontation,these social drugs,messing with my mind,these social drugs,telling me im blind,these social drugs,messing with my head,these social drugs,telling me im dead,now this chemical analogy,is our emotional reality,these political,traditional,and ethical stimulants,when the SOCIAL MEDICAID,wont let us be too upset,to the way things really are,in DARKENED CAMOFLAUGE we pray,and those religious structures,tell us GOD want us to suffer,to suppot a situation ,we all know is obligation,and if you shun an obligation,they'll just gun your repuation,like mob intimidation,to enforce participation,see they need to keep us fiends,to their lies and broken dreams,and if you find another means ,toe-tip into the stream,and if you wanted to get clean,theres this pool of social streams,holding up their social GOLD,deifying noble things,now were all stuck in tradition,unable to state out position,to afraid to contradict,the expectations of the system,oh and the harsh reality,is they've made Grace for you and me,because,theyre just enslaving you and me!!!,these social drugs,messing with my mind,these social drugs,telling me im fine,these social drugs,messing with my head,these social drugs,telling me im dead
,
,
",Lauryn Hill:Social Drugs
,Lauryn Hill,"Nothing can be done against the truth,No matter how we remain in denial (yeah),Wasting time,Replacing time,With each empty excuse,But that'll only work a little while,Coping with despair,Knowin' you're not there,Ashamed to just admit,I've been a fool,So I blame it on the son,Run away from everyone,Hoping to escape this ridicule,Trapped in misery,Wrapped so miserably,In this deception that I'm wearin' it like a skin,Dying to maintain,Oh I keep trying to explain,A heart that never loved me to begin,Oh I'm such a mess,I have no choice but to confess,That I've been desperately trying to belong,Lying to myself ,And everybody else,Refusing to admit my right was wrong,And then he came,Selah,Oh and it means ,Praise and Meditation,And then he came,Selah ,Oh and it means,Did ya think about that?,And then he came ,Selah,Oh and it means,Praise and Meditation,And then he came ,Selah,Oh and it means,That it is seen,How beautiful is fruit still in denial of its roots?,My guilty heart behaves so foolishly,This treason from within,That reasons with my sin,Won't be happy til' it sees the death of me,Selfishly addicted,To a life that I depicted,Conflicted cuz it's not reality,Oh what's left of me,I beg you desperately,Cause me to agree to what I know is best for me,Please save me from myself ,I need you to save me from myself,Please save me from myself so I can heal,The choices that I make,Oh have been nothing but mistakes,What a wasted use of space,Should I die before I wake?,In all of my religion,I've fortified this prison,Obligated to obey ,The demands of bad decision,Please save me from myself ,I need you to save me from myself,Please save me from myself so I can heal,And then he came,Selah,Oh and it means ,Praise and Meditation,And then he came,Selah ,Oh and it means,Did ya think about that?,And he came ,Selah,Oh and it means,Meditation,And then he came ,Selah,Oh and it means,That it is seen,And then he came,And then he came ,Then he came,Then he came ,And then he,And then he came
,
,
",Lauryn Hill:Selah
,Lauryn Hill,"Featuring Ziggy Marley,Lauryn:,Oh Pirates yes they rob I,Stole I from the merchant ships,Minutes after they took I,From the bottomless pit,But my hand was made strong,By the hand of the Allmighty,We forward in this generation,Triumphantly,Won't you help to sing,these songs of freedom,'Cause all I ever have,Redemption Songs (x3),Ziggy & Lauryn:,Emancipate yourself from mental slavery,None but ourselves can free our minds,Have no fear for atomic energy,'Cause none of them can stop the time,How long shall they kill our prophets,While we stand aside and look,Yes, some say it's just a part of it,But we've got to fulfill the book,Won't you help us sing,Another song of freedom,'Cause all I ever have,Redemption Song (x3),L. Boogie,Lauryn:,Yo, If they can stop this fruit,They would pop this route,Chop this fruit,Treat us like a prostitute,Knock this youth,See me in my cocky suit,God's recruit,From fallin even God's salute,Tribal truth,Ja people can't be mute,Share my youth to Babylon can't regroup,Sing, to Babylon can't regroup,Sing, to Babylon can't regroup,Lauryn & Ziggy:,Emancipate yourself from mental slavery,None but ourselves can free our minds,Have no fear for atomic energy,'Cause none of them can stop the time,How long shall they kill our prophets,While we stand aside and look,Some say it's just a part of it,We've got to fulfill the book,Won't you help to sing,Another song of freedom, yeah,'Cause all I ever have,Redemption song (x 5)
,
,
",Lauryn Hill:Redemption Song
