album,artist,lyrics,title
,Lil Wayne,"[Lil Wayne talking],Yea yea yea its the Carter motherfucker I came back around,its the Carter motherfucker I came back around,its the Carter motherfucker,let me show you my building man, its the Carter,I'ma show y'all the ins the outs the ups the down, kno what I'm talkin bout,this is me fourth solo album baby, I came back around,by myself this time, back off the wall,guns up in the air in the middle of the streets like blak blak blak, welcome,[Verse 1],This is the Carter y'all welcome, hard as Malcolm,Dawg is a vulcan Lord help him but y'all felt him,That make you a part of me and pardony,If a part of me is what you wanna be what you oughtta be,Dont worry Carter me I just actin accordingly,I give orders to the commander in chief, just the commander in me,Handlin streets in the mandarin V,I hear you haters slanderin me I just hand him the P,Any drama I pace it like Indiana, I take your grandma pacemaker and jus handle the piece,Not two fingers I simultaneously bout two bangers,You do not want anger USDA prime beef, ya dead meat,I'm so ahead of these trendy rappers speed up,I'm already hot when another one startin to heat up,Got Mannie hot wit me cuz I always beat his beat up,Yall cats wit y'all feet up startin to look like feet up, I'm G'd up,On the V'd up, in the truck I gotta put my seat up,In the trunk I got my bass and I ain't speakin bout no speakers,Whats leakin up out of yo speaker is the speech of Weezy F. Baby,No more no less Baby, so forth and so on,Front door livin room young nigga switchin we,What you need, get you crack get you weed,Make yo way to the back look ahead and see,White bitch in the bathroom givin head for speed,But don't you turn your head at me, the president been doin it,Daddy tried to ruin it,But I built this building from the ruts,I own all the corners and the cuts in this motherfucker,And the feds know just whats up in this motherfucker,Made niggaz so they cant bust in this motherfucker,So with that lets keep it movin, on to the kitchen where my witches keep it brewin,Uh huh look at how my bitches do it,Bucky buck naked look at all my bitches booties,They handle all my pharmaceutics,I got it from promethazane to metamucil,I'm crucial don't mean to spook you,But this is New Orleans so my queens do voodoo, ya know,So the things just move through,I feel ya pain I got things to soothe you,That fills the cane so wayne the nuetral,Dont hate the game hate the institution,That fills the cane so wayne the nuetral,Dot hate the game hate the institution, fucka,[Lil Wayne talking],I came back around, it's the Carter,show you the rest of the house later, we gon go upstairs, ya kno,Ya kno what this is right,Tha Carter..tha Carter...tha Carter
,
,
",Lil Wayne:Walk In
Mr. Carter (2009),Lil Wayne,"(Mannie Fresh talking),Yea, yea, yea,Grown ups in between, children and babies,Right about now its yo boy, ya heard, back again,DJ Mannie,Fre Fresh Err Fresh,Fre Fresh Err Fresh,Fre Fresh Err Fresh,Fre Fresh Err Fresh,Go DJ, that's my DJ,Go DJ, that's my DJ,Go DJ, that's my DJ,Go DJ, yea,Wit Weezy We, step up to the mic dude do watcha do, ya heard,(Lil Wayne talking),Ladies and gentlemen, what you have here is brought to you,Courtesy of the young man young Carter and the great man Mannie Fresh,So what I want yall out there to do for me is say this,(Hook),Say go DJ, cuz that's my DJ,Say go DJ, cuz that's my DJ,Say go DJ, cuz that's my DJ,Say go DJ, cuz that's my cuz that's my,(Lil Wayne),Murder one on one, the hottest nigga under the sun,I come from under the tummy, bustin a tommy,Or come from under your garments, yo chest and your arm hit,Pow, one to the head now you know he dead,Now you know I play it, like a pro in the game,Naw better yet a veteran a hall of fame,I got that medicine, I'm better than all the names,Ay its Cash Money Records mane a lawless gang,Put some water on the track, Fresh for all his flame,Wear a helmet when you bang it mane and guard yo brain,Cuz the flow is spasmatic what they call insane,That aint even a muthafuckin aim I get dough boy,And you already know that pimpin,18 how I'm livin young'n show that Bentley,Stunna my Pa so you know that's in me,Gotti my mentor so don't go there wit me,(Hook),(Repeat X2),(Lil Wayne),And I move like the Coupe thru traffic,Rush hour GT Bent' roof is absent,Ya bitch present wit the music blastin,And she keep askin, ""how it shoot if it's plastic?"",I tell her you'll see if ya boy run up, she sat back and cut the Carter back,up, oh fa sho,Ay Big Mike they betta step theys authority up,Before they step to a sergeant's son, I got army guns,You niggas never harmin young, fly wizzy my opponents done, I'm done talking (shut up),And I aint just begun, I been runnin my city like Diddy ya chump,I fly by ya in a foreign whip, on the throttle wit a model bony bitch,Pair a phony tits, her hair is long and shit, to her thong and shit,Well here we go so hold on to this, uh lets go,(Lil Wayne talking),Hold on let me hit the blunt,So go, so go,This is the, this is the, this is the,This is the, this is the, this is the,This is the Carter,(Hook X1),(Lil Wayne),Birdman put them niggas in a trash can,Leave em outside of your door I'm your trash man,I'm steady lightin ****UP THE**** hash and ridin in my jag,You will need a gas mask man,You snakes, stop hidin in the grass,Sooner or later I'll cut it now the blades in yo ass,You homo niggas getting AIDS in the ass,While the homie here tryna get paid in advance,I'm stayin on my grizzy I'ma bonafide hustler,Play me or play wit me then I'm gonna find your mother,Niggas wanna eat cuz they aint ate nothin,But niggas wanna leave when you say you out of mustard,So I'ma walk into the restaurant alone, leavin out,Leavin behind just residue and bones,In your residence with Rugers to your dome,Like where the fuck you holdin the coke, holdin your throat, choke,So go, so go,This, this, this, this, this, this, this, this, this,(y'all say it wit me) this, this, this, this,This is the Carter,(Hook X1),Go DJ, DJ, DJ
,
,
",Lil Wayne:Go DJ
,Lil Wayne,"(Baby Talking),Yea shorty, you know what I'm talkin bout',I peepin'these niggaz out here they slippin like they ain't bout ,money no more man, so what fuck,You know what we gon' do ha?,We gon' do what we been doin nigga,We gon' load up, get alot mo' and alot mo' and say fuck em',Nigga,Keep buyin' shit,Keep fuckin hoes,Loadin up on mo' bitches,Then you know what I'm sayin, we gon' get greedy too nigga,I ain't never gettin' full, I'm full blooded with this grind,(Lil Wayne) ,I GOT IT,I GOT IT,(Lil Wayne) ,Murder Capitol, only key to survive is kill.,If the elements don't murder you,,Tha rydahs will... Fa real.,And niggaz know I go hard to the fullest;,Get involved, ,And I got em' playin' dodgeball wit bullets.,(YEA)I got the sawed off, fully ,in the Sean John hoodie,Get fucked--ya play pussy.,(HA)We hit em' up while dey ain't lookin',And tha body shots hurt But tha head shots took em',DAMN!,And if tha red dot spot em',Then tha hollow-head got em',Knock his tops to his bottom Jack.,(Yea) Ya see we grind from the bottom,Just to make it to da bottom,At the very bottom o' da map,Louisiana--,Piranhas Every where U at.,U gotta wear a extra condom,And a extra gat.,Ya bitch could get it fa actin' like a man ,And niggaz in Pak-istan, Impactin' on ya man,I backed his hand...ya man on command,In fronta niggaz he cool,wit dem boyz on fan.,I'm on hot.,I adjust in different climates,Stuck in a animal--Keep runnin wit my prime mates,U ain't did it til U done it like in fives states,Weezy-hustle, No blubber, I put on weight.,And in a drought,I go on a diet and strecth more,Lose all dat weight, leave a nigga wit stretch marks,You'nt even come up to a nigga chest,Pause Up, ,PAW ,What tha fuck they play dat in da club fa?,Real Shit,I'm duckin' bombs from a drug war,No religion, but da cops swear dat I'ma drug law,Father forgive em' fa dey know not who dey pushin' Lord,Father forgive me if I have to send em' to you Lord,I'm just tryna dodge tha shots dey send to da god,They ridin' up high way to Heaven boulevard.,DAMN!,Dem niggaz pussy and jive--not even in tha eye exam,They ain't lookin fa I.,Fa A and a K ,I'll make ya face crook to tha side,Now when U smilin' everbody gotta look from tha side.,Cuz when U wilin' U ain't lookin',U jus lookin' High,And when we hungry, U look like pie,Sweet potato-ass nigga,U lemon Meringue--Apple custard,Cherry jelly--Don't make me get tha biscuit busta (YEA),What up chizzle?,U my distant brotha ,Real shit nigga,Same father--different motha (shit),I skip tha frontin' and stick to keepin it ""trill"",U not know me fa nothin' otha ,I'm somethin' otha ,than people U feel,I'm deeper fa real,I'm deeper than skills,My speeches can kill,Rest In Peace!,(Baby talking),Yeah, you underdig, shorty its all about one thing nigga,,If you bout money nigga come fuck with us, ,if you ain't bout money get the fuck from round us nigga,And whatever you bout we bout it, however you wanna get it we can give it to ya nigga,Order bitch, ya underdig,Put ya prints in nigga,Put ya feet down and ya nuts on the concrete and lets roll,(Weezy-talking),Let me get it back,HEY...HEY,(Lil Wayne),U sleep in a field fa tryin a dude,I'll bust ya head to da meat.,Turn ya mind 2 food.,Food fa thought,THINK!,I ain't lyin' 2 U,I'll lie his body in grease ,Set fire to em',I'll tie his body in sheets,Put tha tires to em',Make em' feel tha Escalade,Put his feet in tha blades,DAMN!,I'm tha heat in tha blaze,And niggaz keep they ways,When I'm in tha streets wit Blake.,Watch...,My nigga hungry--he'll eat tha plate,And if I ask tha homeboy,he'll eat ya face(YEA),And tho' he got me,U can ask,I'm like a pool table,I keep tha 8!,My side pocket--side wayz,When I pop it ,leave a nigga side wayz ,fa five days ,Bird man talk,(Baby talking),Yeah nigga, I tell em', I tell em' again shorty,If it ain't about money get all the fuck from round us,(Weezy -talking),Fuck dat... I'm comin' bak gurl!,(Lil Wayne),Check my swag,I travel light--sound dog,U play hard and I gravel like ground dog,I'm under ground call me ground hog,Lay down laws call me ground law,But don't confuse me wit da law,Naw--but just confuse me wit my paw,Because I am the Birdman J-R,I ain't trippin' nigga,I play tha corner like Rip-Kin nigga,Wit tha 40 Cal Rip-kin nigga,Rip a nigga,Flip ya vehicle ,Split ya windshield,Whack ya baby mama,But I let tha kid live,And people say that I am a kid still,Cuz tha lil' nigga still ride on big wheels.,U feelin' animal then come on and get killed,This kid peel bandanas like bananas,Say I'm slight bananas ,I blow a weekend in Havana,In my Gabana wit my bottom bitch from Savannah,Man a train couldn't stop ya man,I'm man up and U not a man,Stand UP,say I got my land,I'm tha man of my land,Call it Lil' Weezy--ana,That's tha new plan.,(Baby talkin),Yeah nigga, you bout some money get at me nigga,Thats the only way,Dumb shit we bout that get at me,Nigga roll solo, dolo nigga
,
,
",Lil Wayne:BM J.R.
,Lil Wayne,"yall know me it is shorty moutha fuck**g g riding with a half a brick stapt to your neice cause you know i punch you in your nose and split your back yall ni**as are wack and i toate fat sacks and slim dimes you just wine this is my flow so get up off my nuts like luda said yall mack with no nust and i murded it so put it in the trash
,
,
",Lil Wayne:On Tha Block Number 1
,Lil Wayne,"(Lil Wayne),Who that, Weezy Bitch,Like Sigel, you fuckin with the young don, people,Plus I'm tryna make a son, he gon' be the sequel,Muh'fuckas better be peaceful, fo' sheezle,I get sums in lumps, like measles,My dough sick, on occations I catch seizures,I treat beef like burgers, just cheese you,And for that cheedar, hungry niggaz'll eat you,We breeze through in the twelve with the judo eyes,Bitches yell I wanna do those guys,Ain't that cold, you know shit fucked up when you got banked at fo',I'm 19 and I got banked at O,That's the Bentley ma, that ain't that Rolls,But the price on that muthafucka ain't that low,Guaranteed that I'll bang that fo',If your fuckin with the dude,Big shout from Cash Money Records, Fuck You,(Chorus x8),Fuck you, fuck you nigga, muthafuck you ,(Mannie Fresh),Chains, nines, guns that's us,The slogan is ""we will bust"",The rules our this our size,Cross it young nigga and you will die,Pumps, ride guns, even 25's,Cash Money got this, don't even try it,Stay where you from, don't bring no static,If not, then semi-automatic,This is the payback, pussy bitch stay back,Fuck you, yo' mama, yo' daddy and where you lay at,What's beef, beef is when you fuck with us,Guaranteed to lay yo' ass up under the bus,There's no one quicker, than a hot boy nigga,That'll get you with the knife, or pow with the trigger,There's no one keaner, with the chrome Sarafina,Murder ain't nuttin' but a misdemeanor,(Chorus x4),(Baby),Fo' sho' nigga,I'm gon' ride 'round my city and stunt my shit,If a nigga don't like it they can suck my dick,I got a Bentley, Jag, Rolls, Ferrari,Lambo' with no top I'm gon' ride tomorrow,Fuck a cutless, regals, and rams V-12,Gotta have somethin fast just to get out them jams,Got a big ass crib with a flow lil fuck,Got a roof all glass and that bitch split up,Got a house built look like a Mercedes booth,Ferrari sofa set with the Lambo' wrench room,Leskitted up kitchen set and Rolls Royce wall,Jaguar floors and fuck all yall,BMW lights, projectors to watch fights,Caddilac Benz, white fox for threads,Chin cheddar for Chi tower, ain't that crazy,I don't give a fuck homie, that's how I play it,Refridge designed like a Lexus with legs,In the fridge, it's quarters to replace the eggs,From me, Fresh, and Weezy fuck what they say,I'm Cash Money stunna nigga and that's how I play it,(Chorus x8)
,
,
",Lil Wayne:Fuck You
,,,
,Lil Wayne,"(Chorus - Blaque and (Mannie Fresh)),Push Impalas and Caprice's (Believe that daddy),Starch flat no creases (Believe that daddy),Got that work, you a D boy (Believe that daddy),You a H-O-T Boy (Believe that daddy),Do ya Bentley got them hoes (Believe that daddy),That's, that weed smell in yo clothes (Believe that daddy),Bet a hunderd, shoot a hundred (Believe that daddy),It's my block, I run it (Believe that daddy),Got them 20's on ya ride (Believe that daddy),Got the gator inside (Believe that daddy),Fine bitch, bow-leg (Believe that daddy),And she go both ways (Believe that daddy),Slugged up in the front (Believe that daddy),Got a trunk full of bump (Believe that daddy),Got cribs, cars, bikes, dykes (Believe that daddy),'Cause that's what hoes like (Believe that daddy),Now I do it for the ladies, do it for the ladies,I do cause I wanna push a cat-eye Mercedes,I do it for my dudes, do it for my dudes,All the niggas on the block that got that work to move,(Verse 1 - Lil Wayne),It's Weezy baby, young and from the Dirty South,Get up your dope, I'm putting birdies out,Like thirty in my mouth, so I can say,Fuck you bitch you still ain't got a dirty mouth,The hood still ain't got over the drout,So you should sleep on your roof, just to watch over ya house,Nigga we tymin', the cost of my watch over ya house,I'm a boss man, I watch over the South,Jazze Pha, let's hop in the Lammy (Lamborghini),Stop by Sammy, chill in the hood, you good, you family,My boys like to pull them blammies, and big pimp,Mami suck dick 'til she pull your hammy, homey,You know we only, keepin it gangsta,Deep in the Range, 17 in the chamber,All I need is my banger, nigga it's Weezy,This shit is over somebody cue me,(Chorus),(Verse 2 - Lil Wayne),You don't wanna play wit me, I touch you man,Lose ya man in a tussle, but y'all don't see me,Y'all can't hear me, this a def jam, call me Russell, man,I played on Martin, call me hustle, man,And now y'all know I'm the yee-yo muscle, man,But on the under, I got that wonder, to stop that thunder,That rumble in the side of ya stomach, piled on water,How do you want it, come through in a Coupe powder blue or,High with water, how do you want it man,Ay, I towed a lot of tullies dun, I den broke a lot of hoopties dun,I den drove a lot of QP's from, here and there on the road,For the nigga gotta move his son, and I show you how to do this son,That's, that boy Weezy We, CMB, BITACH, and ya stunned,(Chorus)
,
,
",Lil Wayne:Believe That
,Lil Wayne,"Biotch, Biotch,(Chorus - Baby (Cristale)),(Get that dough),Look wipe a bitch down, let's dribble on a hoe, C'mon,(Get that dough),Let's pop a few bottles, smoke a lil dro,(Get that dough),Look wipe a bitch down, let's dribble on a hoe, Wooo,(Get that dough),Let's pop a few bottles, smoke a lil dro,(Lil Wayne),I pull up slow, chrome flashin,lil daddy in a long Cabbi,Big hat pimp strong daddy,Got my hoes on my arm daddy,Ain't that amazing, specially when I'm blazin that dro,earthly green, purple weed, purple V,,with purple seats, murck the streets,And I see ya in that Gucci skirt ya sweet,But later on I wanna hurt ya so holla back hoe,I know ya will, get ya ass over here,And take off my polar bear,I'm the coldest player of most my age,Quote my age, 19 but my money's much old,And shorty got crazy paper,Cash Money's my army, my navy paper,Understand, Weezy is made of paper,I got ""Baby"" paper,(Chorus),(Cristale),Floss our bitch, or get tossed out,Stunna time criss-crossed out,Birdman the bad bitches bossed out,So fly nigga we dont walk out,Time to get Nina Rossed out,I'ma let the heat speak, see I'm talked out,What's the muthafuckin talk bout,Get you niggaz chalked out,Chi-town and Birdman show you what that fuckin hawk bout,(Baby),You can shine like stunna (Papi it's all gravy),I bought the Rover for me and bought the Benz for my ladies,See I, wipe ya down, I shine ya up,And put the rims on the whip then diamonded up,It's the m-uh-m-uh-man, that I hustle for grams,Me, Ta', and Cris' with a blunt in my hand,See I come through shinin, known big tymin,Red Caddi truck, nigga I'm grindin,(Chorus),(Tateeze),I come Harley D, black bike all chrome,Your queen is home, daddy tell 'em where they went from,(Baby),See I'ma slide on through, then I stash the loot,Who washed the coupe, ma look I know what to do,(Tateeze),Got the suit you to wear some pumps on,matchin the car, matchin my bra, shit nigga pimpin is hard,(Baby),I jock that, so wipe a nigga down,Let's dribble on a hoe, bitch time to go,(Tateeze),The Caddi do me pop, the coupe is hot,the groupies flock, and case me out my Gucci socks,Yeah, we get that dough, Tatee' watch me drop these,You got me, can I get the car keys,(Baby),See I wipe a bitch down, then dribble on a hoe,And I touch her from her head, from her waist, to her toes,Pop up in the Lexus with the mink on the floor,Rocked out Nexus 2K bird hoe, Wooo!,(Chorus)
,
,
",Lil Wayne:Get That Dough
,Lil Wayne,"(Verse 1),You know they saying since the bar back on the 'dro, he lackin the flow,And if that ever happen whoa I ain't rapping no more,I'm good with a pina, daq and an o,Gagging and choke like ho put the dick back in your throat,Still packing fo sho,Yeezy Weezy off of the heezy,Cruise with the top off of the 'Ghini,Dem lil boys got cheese I got cheddar linguini,That's why I keep the federals scheming,That's why I keep the platinum blinging,Every diamond's like a nice size,I help people with problems look at the bright side,With nice ties on a rise so they sitting me high,And the rims born in '79,Weezy carry the nine glock,Slipping they gon have to get six niggaz name Paul to carry a pine box,Marry me ma, not,But here's what you can do to me,Give me good brains tutor me,W-E-E-Z-Y Wee,(Hook x4),They call me Weezy Weezy fo sheezy,Banana clip on the heater,Banana whip on them sneakers,Banana dick going deeper,(Verse 2),Got a good game honestly so respect the young'n,Got your girl undercover like a detective woman,I'm a mess blow a vest to onion and I'll test your stomach,And the pistols right next to cousin,I'm a player having sex with dozens,Sex with cousins hoes dissed with husbands,My pants is down her dress is up,Her head down and her neck is tough,She suck till I say, ""That's enough!"",We fuck till her ass fractured up,And when I nut no shower bitch pack your stuff,Am I a mack or what,Yep, Weezy macaroni with a bony model bitch,Oh you modeling ma,She got her own whip so you following ma,She said she like that squad shit,So oh you swallowing ma,She said she like that hot dick,Well miss I got three bricks and two pills pop,One blunt mami let's roll,And understand, I know what my name is, right,Bitch say it,W-E-E-Z-Y Wee,(Hook x4),(Verse 3),I'm so gangsta,If she don't go down no thank you,I got so many bitches so anxious ,Got so many pictures of Ben Franklin,High top tennis on the car cover up the whole ankel,Fuck it up with me niggaz come from all angles,Representing S-Q like the Star Spangled,White tee-fish at Kango,Low top Nikes plus my ho pop Nikes,How exciting we riding in the third lane,Said she like Juvy but prefer Wayne,Chicken give me head,Call her birdbrain on err-thang,It's Young Weezy cuz I be golly,My neck more colorful then Nelly, Murphy and Ali,I'm so cold deep,Low seats in the old drop blow reef,Like no cops could fuck with this,Swiftly no tops on the whippy,Cash Money hot Bizzy Lil Wizzy get with me,Now I'ma, I'ma ask you again,You know my name right bitch,Bitch say it,(Hook x2),(Outro),W-E-E-Z-Y Wee,Bitch holla!
,
,
",Lil Wayne:Fo Sheezy
,Lil Wayne,"Baby""Ghetto Biotch!,(chorus)'what does lif mean to me? ,cars clothes an a lot of jewerly. ,what does life mean to me? ,a fine ghetto bitch wit a big ass booty.,What does life mean to me?,drinken, pimpen an a whole lot of weed.,what does life mean to me? ,every things right what we said, please believe me,(Baby) ""Talken""
,
,
",Lil Wayne:What Does Life Mean To Me
