album,artist,lyrics,title
Incognegro (1999),Ludacris,"Yeh, ohh!,Check me out, look,It goes love, hate, pleasure and pain,Fo' albums in the can and I'm STILL in the game (what up?),And last album, they don't like me to tell this,Debuted at #1 and sold more records than Elvis (shut up!),That's what they tellin me, switch up your melody,Through with misdemeanors, they tryin to give rappers felonies,So they can lock us up one at a time,But true writers stay FREE in e'ry one of our lines,And if you not feelin I'm the cream of the crop,I'll KNOCK rappers off your list 'til I get to the top!,Still you lookin at a man that's financially stable,Only nigga gettin checks cut from four different labels,That Pillsbury dough, women poke my guts,Still I walk around the streets like I'm broke as FUCK,So if you see me in your town and I appear to be moody,It's cause I'm thinkin 'bout plans that's bigger than Serena booty,Me and Shaka still starvin and lookin for meals,And HEADS UP! Ludacris is almost out of his deal,I'm over ten million sold, every album is CRACK,And for now I'm bout to carry Def Jam on my BACK,Mad rappers I hear you talkin way down at the bottom,Though I make big money, still handle small problems,The ramblin at the mouth, I don't PLAY THAT SHIT,I'm the best and I ain't really got SAY THAT SHIT!
,
,
",Ludacris:Intro
Chicken-N-Beer (2003),Ludacris,"I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),Hard times (hard), hard times (hard),You never know how much you miss a person, until they gone,Like to hear it? Hear it go, I'm rehearsing, gotta sing my song,I know I've done some wrong, but I can't get right,Cause life is like a big fight,I'm stickin-and-movin, tryin to get my shit right,My family's been houndin me, friends they done turned against me,Kinda like they hearts was on a full tank, but now they empty,And they say I've changed, but like twins I'm just the same,It's because of my job, mo' money mo' prob in this dirty game,This industry FUCKED UP,That's right I said it, and it's fake as ever,Keep real niggaz around me, stay ""Space Age 4 Eva"",Po-ppa never went and jumped the broom, never got that one degree,But if you looked down from heaven, you'd still be proud of me,Your son was DUI, but my momma made it by,I didn't shed no tears when you left me,but the rest of the family cried,Trials and tribulations, ruined my concentration,Losin my patience, hard times for goodness sake'n,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),Hard times (hard), hard times (hard),As this Valium slowly starts to kick in,Them subconcious, subliminal thoughts, start tickin,This whole world around me, diseased, and crumblin,Babies doin dope cause daddy did it right in front of them,Everybody wanna blame music for they bad kids,Sittin up in the court talkin 'bout Eminem made me do what I did,My own hard times rolled in like the fog,Try to think of others, but I can't get past my own thoughts,My momma, in 1967, pickin cotton,While other blacks was gettin liberated, boycottin,My old man was a player, ain't no hidin that,He started tootin then he graduated to smokin crack,I never saw him, never needed to see that muh'fucker,He left me and my mother stuck down here in this fuckin gutter,I tattoed it on my arm so I can't forget it,It's in my mind and my heart so I'm forever with it,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),Hard times (hard), hard times (hard),A drum machine, the old fo'-track, and a pack of new tapes,In the middle of, 1988, in a corner cafe,We made beats, and hung with old heads, and stayed out late at night,Do talent shows, fo'-way split the dough, that was our way of life,My momma stayed, home full time so she could raise me,Knowin without a, household father, things could get crazy,Sometimes I listened, sometimes I thought I knew it all,But nevertheless, momma was with me through it all,I graduated out of nothin, not out of school, it was like,12, 13, 14 years I'm thinkin cool,I might as well, be focusin on me tryin to get paid,Usin these rhymes I've been writin since in the 7th grade,Our team played, and had physical sex with minimum wage,It was just like a piece of pussy,It fucked me long as I stayed,But still I prayed, Lord I'm tryin now please help me out the water,It can't get no harder,Help me to get back up and get my shit tomorrow,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),Hard times (hard), hard times (hard),I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),I'm tryin to make it through these hard times,I'm tryin to make it through these hard times (hard, times),Hard times (hard), hard times (hard)
,
,
",Ludacris:Hard Times
Chicken-N-Beer (2003),"Ludacris,Sandy Coffee","[Ludacris + (Sandy Coffee)],Ohhhh! Ohhhh! Ohhhh! Say it (make love to me),Ohhhh! Ohhhh! Ohhhh! What? (fuck, meee!),Ohhhh! Ohhhh! Ohhhh! Say it (make love to me),Ohhhh! Ohhhh! Ohhhh! What? (fuck, meee!),I'm bout to throw some game, they both one and the same,Cupid's the one to blame - say it (make love to me),I'm bout to shed some light, cause each and every night,You gotta do it right - what? (fuck, meee!),I'm bout to throw some game, they both one and the same,Cupid's the one to blame - say it (make love to me),I'm bout to shed some light, cause each and every night,You gotta do it right - what? (fuck, meee!),They want it nice and slow, kiss 'em from head to toe,Relax and let it go - say it (make love to me),They want it now and fast, grabbin and smackin ass,You gotta make it last - what? (fuck, meee!),Together holdin hands, you out there spendin grands,And makin family plans - say it (make love to me),Don't have to straighten facts, don't want no strings attached,Just scratches on your BACK - what? (fuck, meee!),Ex's ain't actin right, and you so glad to fight,Dinner's by candlelight - say it (make love to me),She got a nigga whipped, down to ya fingertips,Tryin that freaky shit - what? (fuck, meee!),Turn on some Babyface, just for your lady's sake,You call her babycakes - say it (make love to me),Know how to mack a broad, she's on your sack and balls,You call her Jabberjaws - what? (fuck, meee!),Ohhhh! Ohhhh! Ohhhh! Say it (make love to me),Ohhhh! Ohhhh! Ohhhh! What? (fuck, meee!),Ohhhh! Ohhhh! Ohhhh! Say it (make love to me),Ohhhh! Ohhhh! Ohhhh! What? (fuck, meee!),I'm bout to throw some game, they both one and the same,Cupid's the one to blame - say it (make love to me),I'm bout to shed some light, cause each and every night,You gotta do it right - what? (fuck, meee!),I'm bout to throw some game, they both one and the same,Cupid's the one to blame - say it (make love to me),I'm bout to shed some light, cause each and every night,You gotta do it right - what? (fuck, meee!),You bout to buy a ring, she needs the finer things,Gucci designer frames - say it (make love to me),Purchase a nasty flick, wrap up and tie her quick,Know how to drive a stick - what? (fuck, meee!),You both unite as one, you the moon and she's your sun,Your heart's a beating drum - say it (make love to me),You better not of came, she want to feel the pain,Then hear her scream your name - what? (fuck, meee!),Follow this DICK-tionary, you're both some visionaries,Then do it missionary - say it (make love to me),I hear 'em call da wild, and do it all the while,Doggy and FROGGY style - what? (fuck, meee!),You in between the sheets, lickin and eatin sweets,And what you find you keep - say it (make love to me),You do it standin up, orgasms hand 'em up,Y'all just don't GIVE A FUCK - what? (fuck, meee!),I'm bout to throw some game, they both one and the same,Cupid's the one to blame - say it (make love to me),I'm bout to shed some light, cause each and every night,You gotta do it right - what? (fuck, meee!),I'm bout to throw some game, they both one and the same,Cupid's the one to blame - say it (make love to me),I'm bout to shed some light, cause each and every night,You gotta do it right - what? (fuck, meee!),You wanna tell the world, cause she's your favorite girl,Your diamond and your pearl - say it (make love to me),Nobody has to know, just keep it on the low,And meet 'em right at fo' - what? (fuck, meee!),Nothin but fights and fussin, plus there's a lot of cussin,Just grab ahold of SOMETHIN - say it (make love to me),Y'all do that BAD stuff, she like it rammed up,Ropes and HANDCUFFS - what? (fuck, meee!),I'm bout to throw some game, they both one and the same,Cupid's the one to blame - say it (make love to me),I'm bout to shed some light, cause each and every night,You gotta do it right - what? (fuck, meee!),I'm bout to throw some game, they both one and the same,Cupid's the one to blame - say it (make love to me),I'm bout to shed some light, cause each and every night,You gotta do it right - what? (fuck, meee!)
,
,
",Ludacris:Splash Waterfalls
Chicken-N-Beer (2003),Ludacris,"The incredible untouchable nigga,Spittin' venom out his body with the dopest flows,And wonder why the lines around the corner,'Cause the little mothafucka has the dopest shows,The one time for my indipendant women,And all the single mothers that be gettin' that cake,Two times for my dawgs,my trigga's,and my nigga's,,In the kitchen that be feelin' that weight,East coast, West coast, Mid West, dirty South,Then we took it all around the world...,I got fans in retirement homes,The teenagers, to little bity boys and girls,Droppin' lyrical bombs up in your hood,Nonstop and I'm a hit em' 'til the block explodes,Hip hop, R & B, pop talk, what ya want?,I even got alittle rock and roll,The most creative original got em takin subliminal(bang bang),'Cause they can't get what I gots,They want it so bad,Four million dollar pad, and enough to retire off two albums,Go on, wave your white flags I'm hot!,And everytime i rhyme im puttin rappas in da ground with nines ,they got em hooked lyke dope,they gotta make up dey mind because they runnin outta tyme ,and im about to make them choke,betta turn ya stereo LOUDER,listen and let me PREACH,lets get arrested for disturbin the  *echo*PEACE COME ON*echo*,(Talking),Man dis disturbin the peace shit gettin on my nerves,boy i tell ya the truth kno wut im sayin,while he doin shows...im in deese screets,kno wut im sayin,while he on TV...im in deese screets,and then my broad and my kid walk around singin it,boy if dey sing anotha verse boy i swear y'kno wut im sayin,im on anotha level though,i got a car wash...i got a shop on O national,I got my own record lable...you heard up,the poxy family cartel y'know im sayin,we real,who this nigga think he is?,(Luda),Im a household name wit game spittin outta my mouth at all tymes,i spit it out an about and spit it out of da south,till the recognize the danger signs,so feel the tingle in yo spine by the way i talk,and deres pimpin in my blood u can tell by the way i walk,ooooo lord more styles then a barber shop,call the cops,People in da way when a ball the block,little do they know that im callin shots,and im not ta b fucked wit,if ya see me commin round the corner then duck quick,perpatraitors can suck dick,i tried ta tell them,but dey don' wanna listen,i tried ta shine em,but dey don' wanna glisten,while the hot head keeps on tickin,and the kick drum peep im pumpin im dumpin,on da coast is fools,cuz rules was made to b broken ,but you cant make broken rules,hear wut im sayin or heard wut i said,hear wut they playin ,cuz through this music ima still be hurr if im dead,call yo producers cuz im hurtin deese beats,i said once i'll say it twice BITCH DISTURBIN THE PEACE *PEACE COME ON*Echoed*
,
,
",Ludacris:Southern Fried Intro
Chicken-N-Beer (2003),"Ludacris,Shawnna","Stand up! Stand up!,Stand up! Stand up!,When I move you move (just like that?),When I move you move (just like that?),When I move you move (just like that?),Hell yeah! Hey DJ bring that back!,(When I move you move) just like that?,(When I move you move) just like that?,(When I move you move) just like that?,(Hell yeah, Hey DJ bring that back!),How you ain't gon' FUCK! Bitch out me?,I'm the goddamn reason you in VIP,CEO you don't have to see ID,I'm young, wild, and strapped like Chi-Ali,BLAOW! We ain't got nothin' to worry about,Whoop ass, let security carry 'em out,Watch out for the medallion my diamonds are reckless,Feels like a MIDGET is hanging from my necklace,I pulled up wit a million trucks,Looking, smelling, feeling like a million bucks-ahh!,Pass the bottles, the heat is on,We in the huddle all smoking that Cheech & Chong,What's wrong?! The club and the moon is full,And I'm lookin for a thick young lady to pull,One sure shot way to get em outta them pants,Take note to the brand new dance, like dis,When I move you move (just like that?),When I move you move (just like that?),When I move you move (just like that?),Hell yeah! Hey DJ bring that back!,(When I move you move) just like that?,(When I move you move) just like that?,(When I move you move) just like that?,(Hell yeah, Hey DJ bring that back!),Go on wit ya big ass! Lemme see something,Tell ya little friend he can quit mean mugging,I'm lit and I don't care what no one thinks,But where the fuck is the waitress at wit my drinks?!,My people outside and they can't get in,We gon' rush the back door and break 'em in,The owner already pissed cause we sorta late,But our time and our clothes gotta coordinate,Most girls lookin' right, some lookin' a mess,That's why they spilling drinks all over ya dress,But Louie Vuitton bras all over your breasts,Got me wanting to put hickies all over ya chest-ahh,C'mon! we gon party tonight,Y'all use mouth to mouth bring the party to life,Don't be scurred, show another part of your life,The more drinks in your system the harder da fight!,When I move you move (just like that?),When I move you move (just like that?),When I move you move (just like that?),Hell yeah! Hey DJ bring that back!,(When I move you move) just like that?,(When I move you move) just like that?,(When I move you move) just like that?,(Hell yeah, Hey DJ bring that back!),Stand up! Stand up!,Stand up! Stand up!,Damn right the Fire Marshall wanna shut us down,Get us out so someone can gun us down,We was two songs away from getting some cutta,Now we one song away from tearing da club up,Move over! Luda got something to say,Do it now cause 'tomorrow' ain't promised 'today',Work wit me! let's become one with the beat,And don't worry bout me steppin all over ya feets,When I move you move (just like that?),When I move you move (just like that?),When I move you move (just like that?),Hell yeah! Hey DJ bring that back!,(When I move you move) just like that?,(When I move you move) just like that?,(When I move you move) just like that?,(Hell yeah, Hey DJ bring that back!),Stand up! Stand up!,Stand up! Stand up!,Stand up! (just like that?),Stand up! (just like that?),Stand up! Stand up!
,
,
",Ludacris:Stand Up
Chicken-N-Beer (2003),Ludacris,"[Sponser],[Interviewer],What's the deal people?! ,It's the Natural Disaster: T-Storm comin' at you with another hip-hop spotlight. ,Since the success of being a radio air personality from back in the day ,and later goin' on to release his independent album, ,Ludacris has inspired other radio jocks to persue careers in Hip-Hop. ,Meet Rob Quarters, a 62-year-old air personality from WZZZ in Bus County Georgia. ,I was granted the opportunity to holla at Mr. Quarters about his upcoming album ,And here's what he had to say. ,[Rob Quarters],People keep askin' ""Why Rob Quarter, why Rob Quarter, 62-year-old muthafuckin' g?"" ,Wanna make an album, that's all. ,You know, I been, I've been thinking about doin' this shit since, you know, back when I was forty, so I figured ""Hey fuck it. I'm a go ahead and just do the damn thing, just go ahead and do the damn thing."" ,So, here's the first single off my new album ""Get Hard, Or Die Tryin'"" ,Ya'll feel that? Feel that nigga. ,It's called ""Viagra Has Been Good To Me"" ,Now feel that fuckin' nigga! ,Hey, ya'll holla back at a muthafucker and you know what I'm always sayin nigga: ,If you can't earn no muthafuckin' cents, you better beg for the quarter.
,
,
",Ludacris:Rob Quarters
Word Of Mouf (2001),Ludacris,"Ludacris],Yeah, Welcome to Atlanta, jack and hammer and vogues',Back to the mackin' and jackin' the clothes, adolescent packin a fo',A knock on the do', who is it?,I wouldn't happen to know, the one with the flow,Who did it?, it was me I suppose,J-D in the Rollz and Luda's in the Cutt Supreme,Skatin down old Nat, Gat tooked and lean,I split ya spleen, as matter' fact I split ya team,No blood on the sneak's, gotta keep it so my kicks is clean,I get the cream, cops see me flick my beams,Im allergic to 'doc perscribed anti-histemines,Oink Oink, Pig Pig, do away with the pork,Only silverware i need's a steak knife and a fork,Did you forget your fuckin manners, Im loose with banners,Ludacris, Johnny Rockets when i shoot the cannon,The Wooley mammoth saber-tooth, bitch bite your tounge,I wont stop until Im rich as them white-boy come,I pull up in the black Lotus, you're plaque's are bogus,So I stripped them off the wall,Waiting for my cue to corner pocket eight balls,You rackin' 'em up, Im big paper like pancakes, stackin' 'em up,In fact Im slappin' 'em up, Caddillac is a truck,I cant lose with 22""s, Bitch thats whats up,Runnin in the back the fuck, runnin better than aquaduct,chil-li-li-li-li-n.. what,[Chorus],(JD),Yo, Yo.. Yo..Yo, Yo,,Welcome to Atlanta where the playas play,And we ride on them things like every day,Big beats, hit streets, see gangsta's roamin',And parties dont stop til' eight in the mornin',(Ludacris),Welcome to Atlanta where the playas play,And we ride on them things like every day,Big beats, hit streets, see gangsta's roamin',And parties dont stop til' eight in the mornin',[JD],Now the party dont start 'til I walk in,And I usually dont leave until the thing ends,But in the mean-time, in between time,You work yo thing, I'll work mine,I been puttin' it down here since 83',Since the late show MD rivalry,More froze than bad ice, with a place to be,If you was ridin, you was ballin to homie Shadi,Im the MBP, Most Ballingest Player,Make my own rules, bitch call me the mayor,Monday night, Gentlemen's Club,Tuesday night, Im up in the velvet room, gettin fucked up,Wednesday, Im at strokers on lean,Thursday, jump clean, and I fall up in cream,Friday, shark or kyack with Frank Skeem,,right on the floor is where you can,find me,Saturday, is off the heezy fo' sheezy,,you can find me up in one-tweezy,Sunday, is when i get my sleep in,Cause on Monday we be at it again, Holla!,[Chorus 2x]
,
,
",Ludacris:Welcome To Atlanta
Word Of Mouf (2001),Ludacris,"It ain't no one to trust but me,And I got to make sure that I take care of my family,And it ain't no choices 'cause it's cold outside (,),And to my niggas on the block,On the grind and hustlin' tryin' to sell some rocks,You hear the voices say it's cold outside (,),I'm hidin' out and smokin' herb,'Cause my boss is gettin' on my motherfuckin' nerves,But I got to take it 'cause it's cold outside (,),See rappin' is my only way,My mama told me just to save it for another day,But I got to make it cause it's cold outside (,),Man, I can hear that wind blowin',You say it don't get cold in CP well niggas it's been snowin',Even though some might disagree when business is still slowin',Even if we subject to change,Come up out them diamonds and rings,Even all them dollars and change,Nigga we home-grown,And to those that couldn't take the pressure nigga they long gone,Skeet 25 lighters on dressers or you'll get zoned on,They be puttin' them bodies in bags,They be cuttin' them bodies on slabs,Then go to somebody and brag,Got to keep a straight face,Better keep inside with your know got to find a safe place,Better stay in silence or go or end up a waste case,Pigs figure it's more stuff to do,Pigs figure there's more folks than you,Pigs never come close to a clue,I put my life on it,Want to disrespect give me your neck and I'll put a knife on it,Some say it's slippery when wet but my Roll got ice on it,It's all about supply and demand,It's all about me buyin' some land,You folks just don't understand, that uh,It ain't no one to trust but me,And I got to make sure that I take care of my family,And it ain't no choices 'cause it's cold outside (,),And to my niggas on the block,On the grind and hustlin' tryin' to sell some rocks,You hear the voices say it's cold outside (,),I'm hidin' out and smokin' herb,'Cause my boss is gettin' on my motherfuckin' nerves,But I got to take it 'cause it's cold outside (,),See rappin' is my only way,My mama told me just to save it for another day,But I got to make it cause it's cold outside (,),Man, I see the clouds comin',Y'all see a man on the moon walkin' I see a crowd runnin',And the APD steadily talkin' 'cause we done found somethin',And it's not as good as it seems,Oh I wish I could get some cream,And get up out of the hood with some dreams,I'm peepin' hard crimes,See the system's fucked up and they givin' out some hard times,Heard that one of these ??? up and my people snortin' hard lines,Locked up and they didn't do a thang,Locked up because of the pressure and pain,Locked up because they wouldn't do the same,And I see the case close,I can't ask no questions, and it's over 'cause they say so,I ain't learned no lessons, but these snitches better lay low,Or we gonna be choppin' some heads,And we gonna be rockin' some beds,And we gonna be droppin' some ends,We walk a long road,Tryin' to find the essence of self but I picked the wrong clothes,Do-rag with a gat under my belt 'cause life's throwin' strong blows,But I keep a little hope and some dreams,And I try to stay focused and clean,But I got a little dope and some green, 'cause uh,It ain't no one to trust but me,And I got to make sure that I take care of my family,And it ain't no choices 'cause it's cold outside (,),And to my niggas on the block,On the grind and hustlin' tryin' to sell some rocks,You hear the voices say it's cold outside (,),I'm hidin' out and smokin' herb,'Cause my boss is gettin' on my motherfuckin' nerves,But I got to take it 'cause it's cold outside (,),See rappin' is my only way,My mama told me just to save it for another day,But I got to make it cause it's cold outside (,),I can see them change faces,Man, y'all look at me like y'all grew up in the same places,Scams and dirty work came up on a day to day basis,Now they got to re-up and re-bag,And they got to re-up and re-slab,Then they got to be up and be bad,This game'll never end,Excuse my French, but Goddammit I got some clever friends,They might get set back by some wench but that bitch'll never win,It's all about the way of the world,It's all about the way of them girls,It's all about them diamonds and pearls,We waitin' too long,But the DEC in Southwest Atlanta is too strong,We might bring that soap out and wash up and throw them suits on,Comin' in the court with some pride,'Cause we ain't got nothin' to hide,Just didn't know what laws to abide,I play the cards dealt,And I bought a full house and I watched a woman's heart melt,See my mama's cooled out and she's cryin' 'cause it's heart-felt,It's all about supply and demand,It's all about me buyin' some land,You folks just don't understand, that uh,It ain't no one to trust but me,And I got to make sure that I take care of my family,And it ain't no choices 'cause it's cold outside (,),And to my niggas on the block,On the grind and hustlin' tryin' to sell some rocks,You hear the voices say it's cold outside (,),I'm hidin' out and smokin' herb,'Cause my boss is gettin' on my motherfuckin' nerves,But I got to take it 'cause it's cold outside (,),See rappin' is my only way,My mama told me just to save it for another day,But I got to make it cause it's cold outside (,)
,
,
",Ludacris:Cold Outside
Word Of Mouf (2001),Ludacris,"Sista, Motha, so glad to see ya,Glad to see your payroll came through,Oh yea,So glad to see everyone came out this morning,We readin' from the book of Hush,Today, verse 69,Come on somebody, Come on somebody,Good to see all of you came out this morning,Even though some of you just leavin' 112,Smellin' like booty and Hennessey,Come on Courvoisier double shots,(Ha Ha) It don't matta',Chorus (2x),Keep it on the Hush,Don't say nothin',Ain't gonna be no talkin',While I'm doin' my thang,I'm lovin' the way your legs go so far back,Your one of them flexible girls,I figured your daddy always said you was one of the best in this world,But never the less in this world, I'm just professional girl,I teach em' a lesson, have em' stressin', and confessin' to girls,How good it was, and how good it could be, if they just tried it,Taken' my double dosage, skip the daily dick diet,To ride it, they so excited, and can't hide it,I'm tryin to do my thang but you gotta be quiet,Chorus (2x),Now even when I just come in our house, and cover your mouth,Because your momma's at home,You grippin' the sheets and makin' an effort not to holler and moan,You got to keep it on the hush, cause we in no rush,And you tellin' me it's the little thangs that mean so much,And it's an illusion thinkin' that you can match what I can do best,So if your man call, tell him to put some hair on his chest,But he don't even have to know, we keepin' it on the low,You walkin' it like a dog and stay workin' it like a pro, so,Chorus (2x),Im'a taste your neck and begin to nibble aroun your ear lobes,Down to your bellybutton, then I'm unsnappin' your bra,Thinkin' your titties are tryin to tell me somethin',Hard nippes, colder than icicles,Workin' it with my tounge, you can just tell me if it tickles,Freaky deaky, kinda sneaky, Ludacris and the gang,Disturbing the peace, we runnin' the streets, and steady slangin' dem thangs,But you gotta keep the noise down, in order to keep the boy down,It's joy all around and you know how it sounds, if you just,Chorus (6x),Your thang (4x),My thang (2x),Your thang (6x),Keep it on the hush (yeah,yeah,yeah....)  ,Look at sista Johnston in the front row with thongs on,,Your legs open tryin' to tempt me,Keep it on the hush,I'll be over there by 7 o'clock,Keep it on the hush,shhh.....hush
,
,
",Ludacris:Keep It On The Hush
Word Of Mouf (2001),Ludacris,"[Funkmaster Flex],Yeah Dirty South baby - Ludacris,Shout to Shaka Zulu, my man Shawn Taylor,.. it's goin down,[DTP],Yeah, Funk Flex, Volume Fo',Disturbin The Peace, Def Jam South,'Cris (yeah) you ready?,[Ludacris],Oh it's my turn? Aiight..,I got permission to put ya mamma in a headlock (what?),She tried to jook me in a figure-fo' leg lock (ohh),She said she like the way I stick and make the bed rock,or how I lick and leave her twisted like a dreadlock, and it's on,So stop the sweatin like a wristband,And get some balance like a bike without the kickstand,I think I changed the definition of a hit man,Cuz I could really give a fuck about that bitch man, c'mon!,We puttin holes in your residence,And lose anybody for the right president,We thugged out street niggaz with intelligence,So all that bullshit you yappin is irrelevant,Oh yeah, I represent the Dirty Southside,I'm a dentist makin women open they mouth wide,You be in jail still runnin it on the outside,Thank not then won't ya open up ya mouth riiiight, but who cares?,[Chorus: repeat 2X],I got my corner on lockdown,About to hold this whole block down,Ludacris tell um how the South sound,UUH BUDDAH-LAA AH, UH UH UH BUDDAH-LAA,UHH BUDDAH-LAA AH uh oh uh oh uh oh,[Verse 2],Comin to Shady Park is like a peep show,It's some respectable ladies and there some freak hoes,I know killers that go to church up in they street clothes,You'll end up missin more than Shaq when shootin free throws,They packin and bout to open up the dope spot,My neighborhood is stoppin cars like a roadblock,They movin' weight like Atlanta was movin boat rock,And catchin ums like seeun Muslims eatin pork chops - never happen,And meanwhile I been thinkin man,Niggaz been slangin tapes like they slangin 'caine,Cuz in the hood its gettin ugly like orangutang,So if you tryin to stop the hustle get the dangalang,Okay, we tryin to make our own White House,Paint it black and start yellin our fuckin pipes out,You try to tackle some players and you'll get psyched out,They can't fuck with us niggaz you think they dyked out, so don't play,[Chorus],[Verse 3],Disturbin The Peace, we do that funky shit,Hey, what can I say? We got a monkey clique,See Dre'll throw on them shades, and make that funky shit,And keep y'all women away if they got funky clit,Understand, we got that dough and it get rolled up,You pay the price and still we got the block sold up,Aint nothin nice a full house don't make you fold up,You full of heist and try to jet and I'm like - ,hold up, god damn - I need to say it on a megaphone,And tell your sister get the fuck up off the telephone,These fools is tickin me off like fifty metronome,I'm takin all of ya money just call me Pebbletone!,Alright? I got the pistol and the safe key,You betta tell your bitch to follow you to safety,How dare you wanna be heroes and chase me,It's Ludacris wont leave no evidence to trace me, you know why?,[Chorus],Funky shit oh,Do that funky shit oh,Do that funky shit oh,Do that funky shit oh,Do that funky shit uh,Do that funky shit uh,Do that funky shit
,
,
",Ludacris:Block Lockdown
