album,artist,lyrics,title
,Mase,"You ready Mase?,Party people,In the place to be,It's about that time,For us to,Yeah, uh-huh,First Verse:,Yo, what you know about goin out?,Head wet, red Lex,TV's all up in the headrest,Try and live it up,Ride into,Bigger truck,Peace all,Glittered up,Sticker kid,Nigga what? Jig with the cut,Sip Cris, spit it up,Hoes ride, get your nut,Till I can't get it up,I'm a big man, give this man room,I'ma hit everything, from Cancun to man's tomb,Why you standin' on the wall?,Hangin' on your balls,Lighting up drugs,Always fightin' in the club,I'm the reason they made the dress code,They figure I wouldn't wild when I'm in my French clothes,Dress as I suppose, from my neck to my toes,Neck full of gold, but gets in my Rolls,Reck shows, collect those, extra O's,Buy an E, get a key, to the Lex,To hold, East, West, every state,Come on, bury the hate,Millions the only thing,We in the area to make,Better friend or ex-friend,In a Lex or a Benz,Let's begin,Bring this BS to an end,Come on,Chorus:,Bad, bad, bad, bad boy,You make me feel so good,You know you make me feel so good,You know you make me feel so good,Bad, bad, bad, bad boy,I wouldn't change you if i could,I wouldn't change you if i could,I wouldn't change you if i could,Verse Two:,You can't understand, we be,Ride kinky, sippin' DP,To the TV, look greedy,Little kids see me, way out in DC,With a Z3, chrome VB's,They wanna be me,Nigga's talkin' shit,They ought to quit,I'm fortunate,They don't see a fourth what I get,And those be the same ones walkin' while I whip,Just started seing cars,Cause they alternate,So while you daydream,Mama's city gleam,And I deal with hoes,That pose,In Maybeline,One time you had it all,I ain't mad at ya'll,Now give me the catalog,I'll show you how daddy ball,Six cars in power,The five big stars,Phillip, C, O, Chaz smokin' on cigars,Nigga,It's like ya'll,Be talkin' funny,I don't understand language,In people with short money,Come on,Chorus,Verse Three:,Do Mase got the ladies? Yeah, yeah,Do Puff drive Mercedes? Yeah, yeah,Take hits from the 80's? Yeah, yeah,But do it sound so crazy? Yeah, yeah,Well me personally,It's nuthin' personal,I do what work for me,You do what work for you,And I dress with what I was blessed with,Never been arrested,For nuthin domestic,And I chill,They way you met me,With a jet ski,Attached to a SE,Smoke my Nestle,No mad rap,Ask Cat,Where my check be?,Problem with ya'll,I say it directly,Went from hard to sweeps,Started to eat,From no hoes at shows,To manaj in suites,Now I be the cat,That be hard to meet,Gettin' head from girls,That used to hardly speak,Come on,Chorus 5X
,
,
",Mase:Feels So Good
Harlem World (1997),Mase,"[Spoken Intro (Puff Daddy)],Hmm, yeah,The year is 1997,The place: New York, New York, big city of dreams,Harlem U.S.A., hundred and tenth street, 1-25th, 8th Avenue,7th Avenue, Lenox, Polo Grounds, Hundred 45th street, Hundred,12th street, Hun' 35th street,This is the birthplace, of that nigga, they call Mase,This is where he resides at,This is his world,Harlem World,And this is his story,A story of... life, death, sex, drugs, happiness,Jealousy, envy, reality,This is his world... Harlem World...,Harlem World...,Harlem World...
,
,
",Mase:Puff's Intro
,Mase,"[mase],Yo, I look scared? huh? ,Teamsters, I look scared in here? huh? ,When I go through the hood do I tuck my chain in? huh? ? ,Do I be in the hood with bodyguards? I thought not,Now look what y'all made me do,I was just good wit' my shiny suit,I wasn't botherin' nobody,I was just throwin' my rollie in the sky,Now look what you made me do,Look what you made me do,Lood what you made me do,I ain't even here to play wit' you,What, what, wanna blow, what,Yo, mase hop out the blue lex wit' about two tecs,Spit fourteen got about two left,If one vest is thin then rock two vest,Triple platinum and only in the u.s,I'm the harlem-world-slash-all-out-dot-com,My con, if you could buy cris' then why buy don,All you cats at rah-rah-betty-dot-com,Wanna see a hundred grand then look at my arm,You think I wanna take this too far in a rugar,Put a hollow bullet through y'all,Have cats at ya wake come out of new york,And ya body in the salt lake out in utah,So you are feel good, leave the country,And then all you are, spain, baggage claim and they yellin' bonsoir,You think I'm comfy, think mase won't go home free,Think I'm satisfied make 20 grand monthly,Wanna lump me, walk through clubs they bump me,Wanna tell all they bone chickens how they jump me,They can't wait to see the paramedics come to pump me,While they ot, I'm o.c., I'm out the country,1 -	[mysonne],Uh, uh, uh,If you love me, I love you,The same way you trust me, I trust you,The same way you hug me nigga, I'll hug you,The first time it's f**k me nigga, it's f**k you,Nigga, if you love me, I love you,The same way you trust me, I trust you,The same way you hug me nigga, I'll hug you,The first time it's f**k me nigga, it's f**k you,F**k you,[mase],Yo, being at the wrong place at the wrong time,Get some cowards killed and some get long time,I roll wit cats who would roll for me,Bust a gun for cats who will bust for me,Did some wrong, I did some right,I lived the life, sometime I think what will my kids look like,Rarely talk even wit a chick I like,I'm here 'till thursday, don't make me switch my flight,Don't get your moms caught in the middle of the night,Don't look good for your son but the kid could fight,And yo, you can't prolong but for so long,When it's God playin', no man could hold on,Nigga, I be real when the act be over,See you at the light and snatch your black rover,Cook my coke and crack without the shoulder,And don't mind bustin' a gat without a motive,Repeat 1 while:,Double up, double up,What, what, my teamsters,What, what, my teamsters,What, what, all out,Uh, it don't stop,Yeah, ya don't stop, what,Uh, uh, uh,Yo, yo,You know alot of people talkin' 'bout doin' the kid,Never leave witnesses that knew what I did,You wanna harm me cat, bring five of your best,Put two in your ribs and five in your chest and five in the vest,Cat cosign and get the five that's left,Want suicide nigga, I provide your death,No nigga's in the street that die for less,So why confess? we won't leave alive,Unless you keep your feet up frontin' in the jeep,'cause nigga's who I'm wit spit nothin at your feet,Red dot head shot, fluorescent green beam,For them niggas who test my team,And when your joint jam, my joint'll bust,I kidnap friends 'cause the money is a must,And to be real wit' you I feel for you,'cause two to the head is how I deal wit you,I ain't playin',Repeat 1 while:,I don't even know you, nigga,I don't even know you, nigga (what),I don't even know you, nigga,I don't even know you, nigga (what),I don't even know you, nigga,I don't even know you, nigga (what),I don't even know you, nigga,I don't even know you, nigga,I don't even know you, nigga,I don't even know you, nigga,Big shyne,Myse,Wanna blow,H world,The movement,The teamsters,Uh, all out,That's what family means,Ain't nobody else count,Nobody else count,Nobody else count,Nobody else count,Straight fam',You ain't family, nigga? ,I don't even know you, nigga,What, what, what,Take it how you wanna take it,Take it how you wanna take it
,
,
","Mase:Fuck Me, No Fuck You"
,Mase,"[Cam] Father,[Minister] Yes my son,[Cam] Forgive me for I have sinned,Its been 21 years since my last confession,[Minister] 21? That seems like a very long time for,you to miss confession my son,[Cam] Yeah, but I'm only 19,[Minister] 19?,[Cam] Yeah,[Minister] Thats interesting,[Cam] Yeah, its like I just have these dreeeamz, and you know,[Verse 1],Yo, yo, yo, yo, yo, yo, yo, yo,Yo father, where you wanna start,How I love ladies,Or how I'm slug crazy,Or how I'm a thug maybe,From a drug baby,I need more than just a slight high,I mean father I'm blind out my right eye,Don't mourn and cry,Cause we were born to die,So fuck mom and father cries,I was one never to bother guys,But when my girl got sadamized,I was dramatized,Shoved the dick down her throat and,Told her it was a taste test and,Take a deep throat so she wouldn't have to waste breath,I mean they fucked her and stuck her,I said man fuck a AIDS test,Cause I'm gon' go raw anyway,I'm one that like to chase death,But that guy, got to get him hit,Wild hairs and tattoos and spanish,Wait, wait, wait, who that description fit,Don't give me chrome for Jenny Jones,My man with the crime sheet,But he kept talkin bout my girl was a dime piece,And she had a nice figure,Drove a nice Vigor,And for mr to bag her,That I had to be a nice nigga,Wait, wait, don't appall me yo,I can't jump to conclusions thats all we know,But his wife did use to call me yo,Now I roll for the hell,I'm sorry father,Let me go head and tell,How I really wanna be old in a cell,See my two year old nephew,I swear I was holding him well,Til he cried, and he cried, and he cried,I had to scold him and yell,Ya know one thing led to another,I said oh what the hell,Then I threw him against the wall,His parents I told them he fell,Thats why I'm going to hell,This shit ain't going that well,Too many things I did that aren't loose,Smoke and leaks like giving a car a boost,My grandfather got me mad,And I peed inside hid orange juice,And asked him if its tangy,When I'm angry,Then one day,When I thought it wasn't a sin left,I ran into my aunt,With the fat ass and the thin chest,I don't really wanna talk about it,Or get in depth,But father I'm gon' leave you,With this last word called incest,[Cam] You know what I'm sayin'?,[Minister] My son, my son, remember the words of the Lord. ,Isaiah chapter 59, verse 1, behold, the Lords hands is not shortened,,that it cannot hear, but your enipirings have separated,between you and your God, and your sins hath speakath,boastfully, that he will not heal.,[Verse 2],Yo, yo, yo, yo, yo, yo,See father I lost my scruples,Went straight banoodles,When I raped that putu,And tried to turn the putu,Into, veh, Oodles of Noodles,Now I'm chased by the voodoos,See what that dust does,I love that Vanessa heffa,But I jerk off 'til I bust blood,Oh yeah I got my balls pierced,And my psychiatrist I ain't seen him all year,He........,[Cam singing],Hey little baby don't you cry,Mama gon' make sure you get high,Put that vodka in your milk,Make sure that your bottle filled,Oh that was just a little song my mother ,Sang when she was stressed yo,I don't know why she got mad when I cry ,If the bitch deaf yo,Who the F know,But death row,I'm coming by the inches,And them niggaz outside on the benches,Don't think that we in the trenches,Cause we got a 600,And we ride like the Princess,But my cousin Blood yo he died like the Princess,20 years old and dead,BMX days he played the front,I rolled the pegs,My girl wanna know why I'm cold in bed,Tellin' me to hold my head,Askin' why I scold my kids,Cause I don't want them litlle muthafuckas,To touch the drugs I sold and did,But fuck it I'll take my own life,And cut a vein Black,Why don't you do like the cartoons,And tie me up to the train tracks,Or fuck the glory,Why don't you drop me from the 6th story,That'll be a sick story,Wait, wait, wait, speaking of sick stories,Oh father don't start me tweakin,I don't wanna talk about that Sunday evening,That cold November weekend,When I had to grab that Deacon,And put him into my dungeons of heathens,And then in tongues I was speakin,[Cam speaking in tongues],Then I woke up to loud preaching,Oh thats just the Pastor,Flippin through the Bible,Reading the scriptures on the rapture,I guess it was my soul he was trying to capture,He missed me by a hairbone fracture,But he wanted to lay me down in a green pasture,But yet aiya,Still feel like I'm in a bed of fire,Like Jebaniah,Y'knaw I'm sayin cause,It's like Daniel trapped in a lion's pit,Father I feel like I'm dying quick,Thats why I ain't shit,[Cam] So, could you just please fuckin' help me please?,[Minister] My son, my son,[Cam] Please,[Minister] I understand that you're stressed my son, but,don't forget the words of the Lord my son, which reads....
,
,
",Mase:Fuck You
,Mase,"[Ma$e talking],I know why we dont get along,Its lonely at the top nigga,You hear that echo?, lets go nigga,Niggas playin with me man, push my back against the wall man,Whoo Kidd lets get it!!, G-Unit!!!,Haha yea you know me, nobody wanna know about you nigga,Thats why they always asking bout me nigga,They wanna know me nigga,Thats why they ask you about me they wanna know me nigga,Yea Yea Yea,[Verse],How could you not remember me, i put you in the industry,Gave you niggas a flow, and now you actin finnacky,Now anything that can brought 2 chains, 3 bracelets on ,Is probabl just mimmickin me,Im what the game never seen, Jewlerys hard jello green,Lacoste a four rock a New Era with a lean,It dont take too much to drop a dutch on a caroussine,Youz a rookie ima veteran, i can carry anyting,Niggas like broads, always makin the comments,I pave the way, niggas should be payin me homage,I carry ?? like im Isaah Thomas,I love beef, some niggas use to say im islamic,You be happy i turned reverend, or 7 to 11,In front fo 7-11 with a brand new Mac 11,I catcha with the ratchet and i prolly wouldnt pray,Better yet i probably wouldnt play,I prolly be in the kitchen witcha Mrs., wrap a body with Yay,Buy my cars in Miami while i shop in L.A.,With the same prosecutor that put Gotti away,So niggas is you copyin Ma$e or copyin Jake,Make up ya mind, i'll take you niggas 8 at a time,See how many you can take from this 9,I get so much cake that i crime, see you niggas sayin from mine,Tryna get this nigga Ma$e to resign,I needa say, the couple color prolly 9 millimiter gray,Front on me that be the day, Stunt on me you eat a K,Come to the point as a largest, my extra car parkhouse, penthouse,Overlook your resivoir, better i pray for em,And lay for em, polish the AK for em,And make his block hot as Ma$e for em,Yea..yo Whoo Kidd im in the catch 22,tryna not to catch 22,if i go to church niggas say im takin the money,if i come in the game niggas say im takin money,no matter where im at its like im takin the money,so just leave it at that nigga im takin the money!,yall done woke da beast up, i was sleep,i aint even gonna lie to ya niggas i was sleep,i was snorin, i was in a coma,but now i smell the aroma nigga moneys in the air,lets do it, who wanna do it with the kid haha,yall niggas dont want me yall better stop playin,anythin you put on my head i can match it nigga,and then spot you 20 nigga, MURDA
,
,
",Mase:Gat Man
,Mase,"[mase],Huddy combs bring it home, we don't stop,Jimmy jones all alone, we don't stop,Loon crime fam', we don't stop,Meeno, nrb, we don't stop,To my man blinky blink, we don't stop,My sis baby stase, she don't stop,Killer cam', cardan, they the fam',One two, we don't stop,I know you thinkin', how many nigga's he got? ,Or what, how many nigga's is hot? ,[cardan],Yo, yeah you a fake wanna be rich nigga, bitch sticker,You know, that get on the stand and snitch stinker,So when cardie read the press, I dream of success,I want cream to invest plus a beam' and a lex',So I sold bags of dutch, the cash and plus,My dad's a lush, so all we really had was us, what? ,[meeno],Wit me? it started like this, sip a six, get some chips,And about a half a brick,Now the whole team's in the mix facin' a three-to-six,'cause they got the da believin' this shit,So we handcuffed in back of the bus for some dust,Life in harlem world shouldn't be so tough,It's hot at home, mamma's got a block on the phone,Couldn't call my man pete so I called huddy comb,[huddy] yo, meeno,[meeno] yo, hud,[huddy] on the low, here's the verdict,A nigga tried to front on me, pard', I wanna murder,I want the nigga jaw broken, chest peeled wide open,Tell blink get on the next thing smokin',[meeno],Shit, I recognize that whip,Didn't he do a drive-by on the strip? ,Got caught, couldn't do five so he snitched? ,What type of guy's this? look in his eyes,He's a bitch,Mase, remember when we had his ride in the mix? ,His girl start to cry, he took the side of his chick,Like we some nigga's that lie on our hits,Who you forget when you was suckin' and f**kin',Now the war's on, we buckin' and duckin (black),Mase pulled his truck in (black),Blood rushin', spark the hydro, jumped inside the tie ho,Mase drive slow, and they go five-oh,Look out the window be sure we wasn't followed,No observers, whew! I just got away wit' murder,[cardan],Yo, you ain't got to front for me, my gun pop too,Nigga pop me?  nigga pop you,Yo, don't shorty right there look familiar? ,Matter of fact, while back used to deal wit' her,You wouldn't believe all the things that honey did,Yo, that's the same one throw the money out the crib,I liked it lot better when she came from venezuela,But she spent too much cheddar so yo, I had to hit her,[blinky],But yo, I know her friend charise,She mad bad from baghdad,Carry lotta money in glad bag,She doin' runs for willie gum,Used to think that bitch was slick,But found out she was really dumb,She really from philly's hunt of be more,'bout to blow her spot like c-4,Never see me poor,So why this bitch f**kin' wit' me for,Knowin' that my life is up and down like see-saw,[stase],For days you argue and go through the phase,You blaze, you throw shade, now she hate yo' ways,No feelings, that's while the hoes you stealin',Creepin', sneakin' in your pocket while you sleepin',Freakin' off on the major degan,Wit' your new rican every single week and it's sentimental,Understand what you been through,You f**k a friend, she don't hold it against you,[mase],Yeah, nigga, what nigga, touch nigga, f**k nigga,What chu want nigga?  what chu want, what chu got? ,Uh, what chu need?  what chu got?  uh, what chu shoot? ,What chu got?  what? ,Harlem world we don't stop,Mother f**ker, put your deal on it,Mother f**ker, put a mil' on it,Put yo' f**kin' ice grill on it,Put a mother f**kin' mil' on it,Niggas can't f**k wit' my clique,Who wanna put the money up? ,I hear alot a niggas talkin',But who wanna put they deal on it? ,I hear alot a niggas talkin',But who wanna put a mil on it? ,Y'all niggas ain't sayin' shit,Yo' blink, back the benz up,Get from 'round me, nigga
,
,
",Mase:Family Crisis
,Mase,"Yea, you know how i never remember a gangsta havin security,A nigga like usher need security, a nigga like justin need security,A nigga like lenny kravitz need security,Gangstas dont need security,My nigga MJ when this drop, you gonna need security,[Verse],I had the Desert since Biggy left it,Too many fake niggas from my hood that i dont rep it,And you can tell ima wildcard, by the way that im standin,Niggas bobbin and im landin, aim sharp and they shittin,You know a nigga hurt his hand, punchin cars like its cannon,Throw a nigga hail mary from 1/8 like Manning,So, Dont let em amp ya, i got it up in here,Im not from Tamba but we get the Buckin in here,3 niggas with blades, sorta like Musketeers,Like peter i kno jesus but eager to cut me in here,When i bounce thru the club, everybody still scream Murda,Dont need security,Im same route, chained out, everybody still scream Murda,Dont need security,Im two Double R's, no entourage, Murda,Dont need security,Thats me, thats me,I know i dont need no security
,
,
",Mase:Don't Need Security
,Mase,"[Mase],Yo, just think if you could rewind time ,And start your life all over again,What would you give and what would you keep?,You heard me, what would you keep?,[Loon],Yo, yo, if I could go back, I wouldn'ta sold no crack,Wouldn'ta never put my hands around no gat,But you know Loon, bein' all hard-headed,And don't listen, even if God said it,I didn't have to stick with folks that sniff no coke,I didn't have to fix the block when shit was broke,Same cats I helped was twistin' smoke,Now imagine if I went to school, went to class,'Stead of bein' a young cat sent to blast,Sent to slash criminal's necks in half ,For playin' dumb when I come to collect my cash,And 'cause of that cats will respect my past, I ain't playin',[Shyne],If I start from scratch I'd sign with Def Jam,Nah, f**k am I saying? Puff's the best man,Plus I'mma Bad Boy, I'm more like a bad man,Put mo' nigga's in pits than Brad, man,Can't dodge bullets? Too bad, man,Shit, I'd a copped the five instead of the six,That way wouldn't of crashed and killed my cousin,Keep quiet instead of having the industry buzzin',Do a devil's advocate style, don't let 'em see you comin',Use the revolver when bustin' and sluggin',That way no evidence ,But f**k it, got money to be tried, worse come to worse ,Who God bless, no man curse, hatin' niggas, lay in the dirt,[Mase & Meeno],Yo, if you could start your life from scratch (What? What?),Rewind time and still go back (It's time to eat),What would you change in the way that you live today,And what would you leave right where it's at?,If you could start your life from scratch (What? What?),Rewind time and still go back (About to kill it),What would you change in the way that you live today,And what would you leave right where it's at?,Come on, come on,[Meeno],Yo, if I could start life from scratch, I wouldn't change shit,Same gun, same clip, same dumb bitch,All Out, Harlem World, same old clique,Same old studio, same old shit,Shit don't change just because a cop took six to the brain,Meeno got a lawyer, man I'm hip to the game,You could find a gun, but if my prints ain't on that thing,What is you sayin'?,And on the same block that I get my glocks from,You see the same cop that get popped with the shot gun,([Mysonne:] Mysonne),And at the same bodega I got my tops from,([Mysonne:] Mysonne),I give the same old money to the same cop's bum,[Mysonne],If I could start from scratch, I'd bring daddy back,And put five in the first cat that show mami crack,I sit back and listen to them drunks on the block,Tryin' to school me with jewels, tellin' me who to watch,I killed five people, I'd let survive,And the five I took away, I'd a left alive,If I could do all it again I'd bring Virg' back,Or I switch places with him, I hope you heard that,I would have prefered that, I ain't have to starve,Pitch crack, have to rob and catch a charge,And I'd do it all again if I had to,Pitch no-win to win, and I'd be glad to,And I'd hit every target I took aim at,But I'd still be a problem, you can't change that,I'm a problem,[Mase],Yo, if you could start your life from scratch (Uh),Rewind time and still go back (All Out),What would you change in the way that you live today,And what would you leave right where it's at? (And Double Up),If you could start your life from scratch (Bad Boy, Bad Boy),Rewind time and still go back,(Yo, I really don't know what's goin' on),What would you change in the way that you live today,(I'm tellin' ya, I really don't know what's goin' on),And what would you leave right where it's at?,Come on, come on,[Mase],Yo, 'cause half the cats that flip, we all was cool,And half the chicks I hit, they teased me in school,I got a baby by a lady I don't even love alot,Wish I wore three rubbers 'case the first rubber popped,But you can't cry now, milk already spilt,I had eleven friends and ten already killed,Went down south and I ain't feel the guilt,And I ain't ready to war but that ain't the way built,And for all the nights and all the fights ,That I had for all this money over all these dice,All my cars and homes and all my ice,If I could do it all again, I'd do it all for Christ,Whoever thought the limelight or the super-stardom,Whoever thought there'd be a problem comin' through Harlem,Can't even chill, cats wanna make me a villian,Cats that I grew up with I gotta contemplate killin',Nobody love me, I'm my own mister, and on my own, mister,Mama did what she could but now I'm grown, mister,Though she told me once, wish she'd told me then,Though I'm the youngest, I'mma grow to be the oldest man,And cats thinkin' they gon' win 'cause they veterans ,Ain't about age at this stage, man with the most cheddar win,How you live right? Every day get in bigger sin,How you say no at the door screamin' ""Let me in""?,From the outside it's lookin' gooder than it ever been,But tell the truth, when I was broke it was better then,All Out, 33rd street,[Mase],Yo, if you could start your life from scratch,Rewind time and still go back,What would you change in the way that you live today,And what would you leave right where it's at?,If you could start your life from scratch,Rewind time and still go back,What would you change in the way that you live today,And what would you leave right where it's at?,Come on, come on
,
,
",Mase:From Scratch - Harlem World
,Mase,"[mase],Yo, throw the beat on,Yeah, yeah, yeah,Trackmaster,Harlem world, the movement,The commisioner,Cuda love up above,This shit is not a game,Ya hear me? ,[meeno],Suprise, I'm 'bout to blow right before your eyes,Recognize the steelo of this nigga meeno,First of all, there will be no type of discussion,For this money, the industry I'm bum-rushing,And trusting who?  never that, only crew,And who's my crew?  a chosen few that's how I do,So I could walk harlem days, let it creep harlem nights,Bum bitches givin' blows, parties and gunfights,Only right, I be the spark that will ignite,Explosions, mic erosion, niggas is foldin',And we are holdin' down the track,Proceed with caution, stop your flossin' or see a coffin,Guess what, what?  it's really not too often,That I let loose like this, but f**k it,Here's a portion with no endorsement,Doin' what I gotta, to make it hotta,A nigga frontin' hard, so now I gotta blow his spot up,Show 'em i'mma be the one that's gonna blow 'em,Out the box, with the ox, nice to know 'em,Then screw him, like white castle I ran right through him,Right through him, like I never knew him,[cardan],Harlem world'll be the crew of the year,Scream it out, we don't give a f**k who isn't here,Harlem world'll be the crew of the year,And murder niggas, all we do is a year,Harlem world'll be the crew of the year,Scream it out, we don't give a f**k who isn't here,Harlem world'll be the crew of the year,And murder niggas, all we do is a year,Scream it out,[loon],Yo, I was sworn, never again to sell drugs,But every now and then, yo, I tend to bust slugs,It's bug, how niggas get rolled up in rugs,Fold up, and dumped in a hole of a dug six feet,You creep, niggas know who the thug,And that's why loon never showed you no love,You feminine, and don't know the shit you swimmin' in,F**king with this thing was gentlemen that boost my adrenaline,Cool the momentum and flow, I'm in it for dough,And don't need to gimmick to blow,When I get it you know nigga, 'cause I visit yo' hoe,I hit it befo', I be there hit it some mo',Y'all niggas on coke. me? I think your shit is a joke,But y'all find out when the heavy hitters awoke,And opposed to me? y'all niggas hoes to me,How the f**k you gettin' money doin' shows for free? ,[cardan & mase],Harlem world'll be the crew of the year,Scream it out, we don't give a f**k who isn't here,(harlem world),Harlem world'll be the crew of the year,(the movement),And murder niggas, all we do is a year,(all out),Harlem world'll be the crew of the year,Scream it out, we don't give a f**k who isn't here,(yeah kid, harlem on the rise),Harlem world'll be the crew of the year,(c'mon, c'mon, c'mon),And murder niggas, all we do is a year,(c'mon, c'mon),Scream it out,[mase],Yo, now why talk willy livin' in the tenements? ,Why shoot dominicans then go to the hill again? ,Then again, why repent when i'mma sin again? ,Why eat at blimpies if I could eat in the bennigans? ,Dumb niggas with timbaland, til they body tremblin',Messin' with mase money and they'll be rememberin',I hate the color green 'less it comes in benjamins,Is that the same color my brother got sent up in? ,You laugh all day but cry the sinner's sin,Stranded on the island, I don't mean the gilligan,You thug gentlemen, deep down feminine,'cause in the pen, change your name to cinnamon,You speakin' on money and you ain't put a penny in,You gon' float on the same shit they put the penguin in,And my adrenaline won't let me be no minute man,'cause I put my dick in any bitch I could fit it in,C'mon,Repeat 1 until fade
,
,
",Mase:Crew Of The Year
,Mase,"*featuring Puff Daddy [Puff] Yeah, yeah yeah Uh huh I'm gonna do it again And again and again and again And again and again and again Won't stop, it can't stop Won't stop, can't stop [Mase] Double Up, Bad Boy Double Up, H-world, it's not a game You know, no matter where you go There's no duo that you know Get loot though, and still love the chulo's We talk more spinnin' girls our coolo Than any other members and you're part of my new dough [Puff] Get where mad cats live and pray I don't like where I'm at? Call a Lear, get away [Mase] Y'all lay away, I pay and get today (Uh huh) Things you save for, I probably give away (Yeah) [Puff] And with Puff? Who woulda think Plain Jesus piece, diamond Cuban Link Salvation Army when I'm through with the mink I buy the whole bar, my crew don't even drink (Don't even drink) [Mase] We do sets behind the 'neck That's my Denale right behind the Lex Like girls that find their sex get all kinda respect When I'm 40, I'mma get all kinda checks [1 - Puff] You want us do it again? (Yeah) 'cause we can do it again (Uh huh) You want us do it again? All you gotta say is do it again (Do it again) You want us do it again? (Yeah) 'cause we can do it again (Uh huh) You want us do it again? All you gotta say is do it again (Do it again) [Puff] Spend big, you spend a little So I take what's big and you take what's little I bring a full stage straight up the middle Girl too tight? Break the middle Now, why be the illest if your money ain't the realist? Mad cats hate on me, mad girls feel it Cut a chick off, let Mase mess wit' her Pre-nup these girls so I'm never stuck wit' her Wanna coup our group nine eight car Doin' 20 in a Bentley even wit' out a radar You minor, I'm major, I don't play par I'm a shining pay star with diamonds from Quasar Peep all your script, I don't wanna pay y'all Let me tear wit' my kids, it's what your days are How the f you duck infrared laser So my sympathy goes out to the lady that made y'all, yeah [Repeat 1] [Mase] Yo, marchin' around the world and met no man That had ice like Frosty the Snowman And though my name Mase, what does it mean? Dolla sign, no matter what I do, make C.R.E.A.M. Out of famine steak greens, Miller A-teams And grew up pretty 'cause my pop got great genes I hold it down now that B.I.G. gone I hit butt naked and then keep my kicks on I don't get my Cris on, I throw a brick on some young bad chick That lolly probably flipped on You better get goin', you wanna live long Can't nobody protect me like my tres cinco siete If you front, you'll just read about it next day I'm that cat you know you got killer respect Stay out my way if you're feelin' my threat You'll know it's real when you face feel a Gillette And I come through the club with your deal on my neck, come on All Out All Out, Bad Boy What All Out, All Out Let's go [Repeat 1 until fade]
,
,
",Mase:Do It Again - Puff Daddy
