album,artist,lyrics,title
"Miss E... So Addictive (2001),Dark Angel: The Ultimate Soundtrack (????)",Missy Elliott,"[Missy],Ooooooh, I don't want I don't need I can't stand no minute man,I don't want no minute man,Ooooooh, here's your chance be a man take my hand understand,I don't want no minute man,Ohh, ohh, uhh, OOOH,Ohh, ohh...,Ohh, ohh, uhh, OOOH,Ohh, ohh...,[Missy],Boy I'ma make you love me, make you want me,And I'ma give you some attention, tonight,Now follow my intuitions, what you're wishin,See I'ma keep you up all night, for a long time,Just start countin the ways,[Chorus],Break me off, show me what you got,Cause I don't want, no one minute man,Break me off, show me what you got,Cause I don't want, no one minute man,Break me off, show me what you got,Cause I don't want, no one minute man,Break me off, show me what you got,Cause I don't want, no...,[Missy],Tonight I'ma give it to you, throw it to you,I want you to come prepared, ohhh yeah (oh yes) (show Me),Boy it's been a long time, a crazy long time,And I don't want no minute man, and that's real,Give it to me some more,[Chorus],[Ludacris],Yeah, uhh, uhh,It's time to set yo' clock back bout as long as you can,I stop daylight and Ludacris the maintenance man,Get your oil changed, I check fluids and transmission,You one minute FOOLS, you wonder why y'all missin,On the back of milk cartons and there's no reward,No regards, close but it's no cigar,A hard head make a soft ass, but a hard dick make the sex last,I jump in pools and make a big splash,Water overflowin, so get your head right,It's all in yo' mind punk so keep your head tight,Enough with tips and advice and thangs,I'm big dog, havin women seein stripes and thangs,They go to sleep, start snorin, countin sheep and shit,They so wet, that they body start to leak and shit,Just cause I'm an ALL-nighter, shoot ALL fire,Ludacris, balance and rotate ALL tires,[Missy],Ooooooh, I don't want I don't need I can't stand no minute man,I don't want no minute man,Ooooooh, here's your chance be a man take my hand understand,I don't want no minute man,Break me off, show me what you got,Cause I don't want, no one minute man,Break me off, show me what you got,Cause I don't want, no one minute man,Break me off, show me what you got,Cause I don't want, no one minute man,Break-break me off, break break me off,Break break me off, show me what you got,Break me off, show me what you got...,Break me off, show me what you got...,Break me off, show me what you got...,Break me off, break break me off
,
,
",Missy Elliott:One Minute Man
Miss E... So Addictive (2001),Missy Elliott,"I know some of y'all sick of songs y'all be hearin on the radio-,ohhhh (ohhh!),So me and Timbaland gon' give that shit you never heard before,(shit you never heard before-ohhh),It's like drinkin liquor or weed or X whatever does you the best,My beats, are so (sooooo) addic-hictive,C'mon get crunk with me,See if you're ridin down the street and you're bout to roll that shit up,You don't need drugs or weed,Oh nah you ain't smokin that stank shit up in my car,Get your feet off my dashboard,C'mon get krunk with me,Oh yeah you wanna get krunk though?,Well pop this CD in right here and take a hit of me,My album is so, addictive,My album is so addictive,Man bump this ballad shit
,
,
",Missy Elliott:...So Addictive
Da Real World (1999),Missy Elliott,"We made love, now you gone,Now you don't wanna claim me no more,Told your boys, you never knew,You never kissed or held me in your arms,How dare you even leave,Me looking like I'm lying on you,When you said it's all about me,I believe it cuz you made believe,1 - If you did it, then you did it,Boy, you don't have to lie,Once you hit, then you hit it,I'm no chick on the side,Just forget it, gon' omit it,Don't you, don't you dare try,You done hit it, you done hit it,More than, more than two times,Repeat 1,You changed your phone, won't call me back,Now I can't even get in touch with you,See how you do, I never knew,That you would deny this love I'm servin' you,That ain't cool, I'm hatin' you,Because you was the first to make the move,Now you say you never knew,You make your boys think that I'm some crazy fool,Repeat 1,Repeat 1,You know we did it, yep we did it boy,Why must you lie?,I drove your whip, you picked me up,You told me, meet you outside,We had some blunts like what the..,Gettin' high in your ride,Getting mushy, want some pussy,Get your biggest supply,Yeah, we did it, you was with it,That was all on your mind,Then you hit it, can't admit it,Then you wastin' my time,I won't forget it, need to quit it,Put it all behind,Why you did it, why you did it,If you gon' have to lie,Bone me, phony,Sex me then you disown me,Homies told me,This is how all dogs will be,Repeat 1,Repeat 1,Repeat 1,Repeat 1,Yeah, yeah,More than two times,Uh, chicky chicky, uh
,
,
",Missy Elliott:We Did It
,Missy Elliott,"(feat. Busta Rhymes),Ay yo yo yoyo yoyoyoyo,Ay yo yo yoyo yoyoyoyo,Ay yo yo yo yo,Ay yo Missy,I just came out here a hour & twenty five minutes,on one of them Gilligan island shits of New York & Virginia,Word up!to visit your ass,and you playin' shit like this up in my ears.,What the fuck you think you doin' thinkin' I ain't gonna get on this,mutha fucka before I bounce.,Yo check this out,let me hit you with this real shit real quick Missy.,One shot baby just let me do my shit for a minute on your shit.,Check it out.,Ah hahahah!,I continue to disreguard all of ya'lls opinian,Ahah!Blast! your whole ass into oblivian,eheaha,makin' New York with,virgin-akins.,Eheh,this shit be baggin',eheh.,If you disagree,Uhah!,before I smoke this,& get a little drunk and a,little pissy,when I finish my music Ima make all ya'll mutha fuckas miss,me!,See who is he,that girl right there who is she?,It's Busta Ruhmes and Missy,niggaz when ya come around Missy don't act,like a fuckin' sissy.,No chicken headz allowed here,no time for the kissy kissy,and when they,askin' who is he?,I be Busta Ryhmes the pheneminal of get busy,strictly major,effected,ya'll niggaz know the drilly,we gettin' money togetha,trackin',stacks and then countin' em,Ya'll niggaz stay tuned for the rest of my homegirl Missy's album,Word up!Flip Mode is the mutha fuckin' squad!,Busta Ryhmes commin' in right here with this quick lil' drop on ya.,Ah yo ya'll niggaz stay focussed!Keep ya eyes and ears on this,fulfillin' shit,Missy be numba one!,Blossumin',like beautiful flowers on ya'll mutha fuckas!,Stay Tuned.
,
,
",Missy Elliott:Busta's Intro
Da Real World (1999),Missy Elliott,"To the M-I prrrrrrrr, cat like a semi,Nigga stole my car, why'nt you get my,Give yo' ass a black eye,Oh, say bye-bye,I'mma give your body to the sky,Run through your clique,Nigga, you pissed on trip,I'mma have to bust you in your lips,And the whips better have a whole lotta chips,Cuz I ain't for no nigga givin' tips,She's a bitch,When you say my name,Talk mo' junk but won't look my way,She's a bitch,See I got more cheese,So back on up while I roll up my sleeves,1 -
,
,
",Missy Elliott:She's A Bitch
Da Real World (1999),Missy Elliott,"[Baby],Uh, what's happenin? What,Uptown, New Orleans in this bitch with VA, you understand?,With this hot girl, Missy,Fuckin with these Uptown Guerillas, you dig?,If it don't make dollars, it don't make sense,Do yo' thing girl,[Missy],Y'all don't wanna gimme my props?,I'mma have to lick two shots on my glock,Pop-pop the enemy 'till he drop,Make his whole body go hibbie-to-the-hop,Well I won't stop 'till I get up to the top,Gotta blow any other state off the block,And I got a whole lotta chedda in my pock's,You better gimmie giimme five mics, gimme props,Say you sick of my clique and my shit,'Cause I got a whole lotta hits and no tricks,Just a bass line, few snares, few kicks,Make the whole industry wanna go and bit,I say you sit, we sit, I sit,While I go shit on a mix like this,Say you spit, I spit, we spit,But you can't fuck with a nigga like this,Check me out,1 - Hatin' on us but ya can't resist,If you come hard, better come legit,We gon' talk shit 'cause we confident,If you think not, then you bound to sit,Hatin' on us but ya can't resist,If you come hard, better come legit,We gon' talk shit 'cause we confident,We gon' show you so you best believe it,[Missy],Y'all don't wanna put me on front,On the front page, all the shit I don' done?,Now you wanna fuck around and grade my shit?,Let's talk about the million niggas who bit,It's only one Timothy from the V.,And the whole industry goin' beep-beep,Now I gotta go change up my beats,So another nigga won't duplicate me,Yeah I got styles, got shows, videos,And my shows, it grows, it grows,And I sing, I flow, I blows,And I know y'all niggas know,When I come swift with the one-two kick,If ya got a blunt, got a light, got it lit,Yeah, don't stop, won't stop, won't quit,And I made 1.6 admit, check me out,Repeat 1,[B.G.],I'm that nigga that tote them AK's,B.G. is what they call me,I be in them project hallways,Beef with me, you gon' be sorry,Me and my niggas'll shut yo' block down,We got K's so, put them glocks down,You scared to come outside,Them Hot Boys got you on lock-down,This nigga here from CMB,Roll with a clique about 20 deep,Cause I made a mill', it don't mean,I ain't gonna keep it real with my peeps,All I have is thugs in my clique,All my nigga's, they come off the street,Now all of a sudden hoe's on my dick,Cause I'm on BET and MTV,[Juvenile],It ain't no secret, this nigga be project,Getting paid, that's what's my object,Ain't none of you nigga's gon' stop this,Cause I'm 'bout makin' a profit,I'm all about getting it locked, dog,Don't wanna be on the block, yo,Cause bitches be makin' them tye calls,While I be makin' drop offs,Mannie Fresh, he hooked me up too,To the playa hater's I say, fuck you,You needs to worry 'bout you,Instead of what to not do,Juvenile don' hooked up with Missy,Bitches gon' hate me, bitches gon' dis me,Alota you nigga's gon' miss me,I'mma be here, you gon' be history,Repeat 1,Repeat 1,[Missy],If you come hard, better come legit,(Say what? Oh, ah huh),If you come hard, better come legit,(Oh, uh),We gon' show you, so you best believe,[Timbaland],What, uh,What, what,What, what,What, what,What, what,Um hmm, Hot boys,It's all gravy,Missy,Timbaland,We out,Gimme that,Gimme that,Oh, gimme that,Gimme that,Gimme that, gimme that,Gimme that,gimme that, gimme that,Oh, yeah
,
,
",Missy Elliott:U Can't Resist
Da Real World (1999),Missy Elliott,"(lil kim),yo this the queen b,and i came to say a little sumthing,on my girl missy shit,now see i got sumthing to say,thats right i got a problem,i got a problem wit all yall muthafuckers out there,that got a problem wit us calling ourselves a bitch,yeah thats right i said it muthafucker bitch wat,ya see bitch is a strong word,and only strong bitches can use that muthafucken terminology,bitch,i mean if u cant wear the name,then dont try to use it,shucks,(missy),throw ur hands up if u like to get high,make a phat beet so we can party all night,if u got beef u gotta take it outside,throw ur wrists up and lemme see ur ice shine,(repeat 1 more time)
,
,
",Missy Elliott:Throw Your Hands Up (Interlude)
Da Real World (1999),Missy Elliott,"(missy),see i have to make a record that,give thanks to my lord savior jesus christ,alot of people are quick to criticize,for the kinda music i sing but,see that dont change the belief that i have in god u know wat im saying,cause when my friends forsake me whos there to listen to me when im complaing,nobody but him,please dont judge me cause im not perfect,(im not perfect),and please dont judge me if im not in church on sunday,im moving (im moving on)(and im pressing) im pressing on,to the other way (to the other way to higher grounds),im moving on im pressing on to the other way to higher grounds
,
,
",Missy Elliott:Religious Blessings (Outro)
Da Real World (1999),"Missy Elliott,Beyoncé","I was in love,That's what it was when I met you,In love,And no one could ever talk about you,But it sucks, so many lies and alibis,In love,Crazy feelings,Make me stay in love with you,Crazy feelings,Make me stay in love with you,So in love,I just didn't see the wrong you did,In love,But now that I know I can admit,It was love that made me a fool, a silly fool,In love, oh crazy,Crazy feelings,Make me stay in love with you,Crazy feelings,Make me stay in love with you,You was always in my face, all the time,Even with 20/20 vision, I couldn't see you lie,You was always in my face, all the time,Even with 20/20 vision, I couldn't see you lie,Crazy feelings,Make me stay in love with you,Crazy feelings,Make me stay in love with you
,
,
",Missy Elliott:Crazy Feelings
Miss E... So Addictive (2001),Missy Elliott,"[Missy],Gimme that funk, mmm..,Funk, mmm.. yo gimme that,Funk.. sho' nuff that,Funk..,[Redman],Yo, yo,Beware of the dogs, off the chain,Fuck your whips at the club we piss in the parkin lanes,Blow it up ten frames so you see it wide,If your broad ain't fuckin she don't need to ride (beat it),She can crawl in the trunk with her knees inside,by the spare, she hungry I'll feed her fries,Cause I'ma, dog nigga, shot-call nigga,My shotgun talk with a lecture hall scripture,Applaud {*ahh*} bitch, shake that ass,I getcha, drunk and high and duct tape that ass fast,Then leave you on your daddy front lawn (ding dong),with your hair all fucked up, with one pump on,Get stomped on, I take the money and run,I'm a dog, shit I fuck right in front of your son,If you ain't got Missy and Meth,want me to spit the hot shit for you?  Nigga, write your check,[Missy],When you come home from work, I'm gon' make you do more work,Pour some wine in the cup, sip sippin on sizz-urp,Ohhh.. ohhh.. now we gon' make love to and in ya,SLIDE, wanna take a ride,When you with me oh so right, tell them boys not tonight,Say you chillin witcho bitch and this is one y'don't wanna miss,Uhh uhh.. cause this love right here is on fire (fire),SLIDE, wanna take a ride,[Chorus: repeat 2X],I love it boy when you play this song,Dead wrong, you know this record be turnin me on,You keep me growlin like a dog in heat,Hey wodie put it down make me sleep for weeks,[Missy],You on the block layin low, from the cops layin low,When you done let me know cause my love make you be like WHOA,Ohhh.. ohhh.. cause I got yo' mind in the trenches,SLIDE, let's take a ride,Baby come give me some HEY WODIE ain't no other one,can shine on my life and make me wanna stay the night,Mmmm mmmm.. cause you put butterflies on my stomach,SLIDE, baby won't you slide,[Chorus],[Method Man],Yo yo I wanna gangsta BOOGIE with my GANGSTA BITCH,Love it when the pussy talk back thanks to dick,All my dogs (woof) playin the wall, get at these broads,You ain't got no-ass-at'all, we ain't fuckin wit y'all,I'm not your smooth lovin, see me at Casbah thuggin,Hands where your Stove Top be stuffin,Never catch Tical hand-cuffin, I'm in your party puffin,Smellin like that Wu-Tang production,Cousin tried to tell me pussy come a dime a dozen,And when it come around I'll beat it down like percussion,Missy come and get me, I'm bout to call Doc,We can all meet up at Peanut's, I heard it was the spot,Somebody roll the weed up, push the car lighter, kick your feet up,Saturday Night, who got the Fever?,Brought the flavor, of indonesia,Puff puff give type procedures,and this joint bumpin out your speakers,[Chorus],[Missy],I'm gonna take you high to the top,and let your body not reject me babe,I'm gonna make you really love me,I'm gonna make you scream don't stop,But you must first respect his lady,You must respect this lady
,
,
",Missy Elliott:Dog In Heat
