album,artist,lyrics,title
,Mobb Deep,"Our goal is to break the power of the mob in America and nothing short of it. We mean to end their profits, imprison their members, and cripple their organization
,
,
",Mobb Deep:Intro
Infamy (2001),Mobb Deep,"sometimes I feel Sometimes I feel I,gotta (get away...),Verse1:,From theese streets like a fiend for,crack, but pullin me back, this real,got a nigga goin (ooh) cuz no mat-,ter the drama the gossip my heart,is the hood my dawg nigga's I rock,wit (get away) 'Fore you get clapped,with the tounge with two loose have,everybody on the corner goin (ooh),holdin they mouth shocked ass fu-,ck how Havoc just aired that boy,out (get away) and now there's,blood on my Tims snitches callin,1-800 crime stoppers when they,see me they like (ooh) Cuz they,want that 'thousand dollars and ,not only that police will die to catch,a fuckin' collar. (get away) and ,I'm outta here aint no tellin when,I'll be back get rid of this gat dawg,you know(ooh) I flew hell outta dodge,nigga 'bout 'dis paper aint no time to be,sittin behind bars. I gotta (get away),Hook:,I gotta get away but fuck that,never let a nigga take me out,my zone if he tried and blown,they go ooh wit no remorse kid,it's the cold hearted Queens nigga,Grimey retarded. You know I gotta,get away(repeat 2x),Verse2:,Yeah yeah you niggas best,(get away) cuz I'm not playin,I'm bangin hammers on niggas,put hands on that niggas life (ooh),Just beat the shit out you I brawl ,like an animal your whole team'll,scramble and (get away) When,we come through pushin them trucks,bitches be pushin and shovin to look,at us they go (ooh) Yeah take a good,look bitch this might be the last time,you see gangstas like this then (get away),Cuz somebody bout to die and it's goin,to be a stampede when them shots fly,Bdah!Bdah! (ooh) Rip that nigga you,know R.I.P your soul just lift up and,(get away) Uh huh yeah you outta,here nigga I'll see you on the otha ,side bye nigga. (ooh) families cry,rivers curtersy of my niggas we ,terrorize rappers but I gotta ,(get away),Hook:(repeat 2x),Verse 3:,No doubt it's either me or you,beleive it dawg I know a nigga,like you ain't got shit to loose (ooh),But you walkin that thin line I'm,clappin you first time for a motha,fuckin tyrin (get away) And put it,past me that ass would be bleedin,somewhere like a human philiact,exactly (ooh) Shut the fuck up,'fore it's too late go wit your gut,you ain't a gangsta and yes you,could get touched (get away) Saw,it before the Henny was talkin wasn't,him but you know the ""9"" stopped that,(ooh) I swear theese niggas like biches ,why's that? cuz theese niggas always,layin on their back I gotta (get away),Hook: 2x till fade
,
,
",Mobb Deep:Get Away
,Mobb Deep,"(Havoc),Yo, It's like this man, It's real simple,If my nigga was my nigga like I thought he was,Would he have snitched, hung me out the dry to fuck,Guess you don't know a nigga 'till you catch a case with 'em,It aint all gravy just because you make cake with 'em,It's real, niggaz scared to death of state prison,To the end when a nigga get caught start snitchin' ,Imagine the eyes of a nigga that you knew,For about 20 joints with the nerve to point,Hurt worser than that physical pain,You fed this nigga rolled with the sorry fuck now he switchin' to lame ,Niggaz in the box could relate to my pain,All I got is my word and I'ma get you thats my word,Through family friends or even fuckin' your bird,Fuck it anything long as your death occur,Whatever happened to death before dishonor,It's time for your end and i'ts my honor,Chorus,(Kill that nigga),Never wish death, only if I have to, if it's my last option left,(Kill that nigga),Should of kept your mouth tight he's losin' his life,Be locked up or sending out kites,(Prodigy),Ay yo this nigga runnin' 'round runnin' his mouth speakin' on the wrong ,Shit,What the fuck is this Dave Letterman shit on the late night ,Creep on the talk show as rap asses get shot in they throat, speak on ,That,Girlie mouth nigga you worse than a bitch,I done shot niggaz for you put my life at risk,How you gonna go behind me and knife my back,Must be insane and I got a cure for that,My hammer will knock sense in the nigga real quick ,Nail a nigga tongue with the four fifth,Nigga you in violation of that code of silence,Niggaz like you get real niggaz indicted,We can't have that, kidnap that bitch torture and tourment that snitch,We gotta make examples out these hummigbird fucks,Matter fact pull 'em out the trunk, I'm bout to,Chorus (repeat 2x),Never wish death,Kill that nigga (3x),I'm sendin' out kites,Kill that nigga (4x)
,
,
",Mobb Deep:Kill That Nigga
,Mobb Deep,"(feat. Lil' Mo),(Lil' Mo & (Prodigy) Talking:),Pray for me, pray for me, pray for me, pray for me (yeah) ,Pray for me just pray for me,(It's over nigga),(Lil' Mo (Prodigy):),Living life with all this thuggness, destrction this violence,My projects I'm a rep to the fullness,You know it (yeah, you know, understand this),I'm always gon' be infamous (It's over, it's over),Untill the day he layin' me down to rest (You dead, You dead),When I'm in this world,Just pray for me ( you can't stop it),(Prodigy),The Invicible infamous mobb deep nigga fuck you,If you touch one of my dunns I'll buck you,You ain't got nuts enough to come through,And get back at my niggas for them gun wounds,You a punk bitch ass nigga you soft duke,I'm a young rich ass nigga who love to,Show you how a nigga get his lights blew,Teach you the mystery GOD and murk you,Burry you mother fuckers in the ce-ment,Miss a post of that nigga in the pre-cent,Should of known my niggas don't play with stunts,Should of shot back but you got your dome cut,While party with the pretty little cu-tties,You'll be fertilizing the dirt for new trees,Fucking with the mobbsters out in Q.B,Nigga you get hung for that shit that your mouth speak,Bitch ass nigga,(Chorus: Lil' Mo & (Havoc), {together}),Just Pray for me ,(when I'm out in the world),Just pray for me ,(And if you down for whatever),{You'll wait for me},(I got these cowards out) {tryin to lay for me},(And they making me),So just pray for me,(And I can see it in thier eyes) {their affraid of me},(Homeboy I ain't the one) {You mistaken me},(While you ratting and snaking me),(They making me, so just pray for me),(Havoc),We them niggas that pull them things out,Niggas talk too much need to shut mouth,A lose lip will sink a niggas ship for real,Then act all suprise when they get killed,Got two fellonies, but take a chance still,My life comes first fuck a record deal,Move that crowd, direct with steel,For a medicine when niggas act ill,The H-A-V the O the C,Be easy the way that you approach me,Didn't see it coming but he got his plug pulled,That chicks shiesty don't go by what looks good,We in the ear, trust she heard that,Why you loving him all my niggas tap that,Fake gangstas I can see right through them,Cross that line and get your life ruined,(Lil' Mo),Living life with all this thuggness, destrction this violence,My projects I'm a rep to the fullness,You know it,I'm always gon' be infamous,Untill the day he layin' me down to rest,When I'm in this world,Just pray for me,(Chorus: Lil' Mo & (Havoc), {together}),Just Pray for me ,(when I'm out in the world),Just pray for me ,(And if you down for whatever),{You'll wait for me},(I got these cowards out) {tryin to lay for me},(And they making me),So just pray for me,(And I can see it in thier eyes) {their affraid of me},(Homeboy I ain't the one) {You mistaken me},(While you ratting and snaking me),(They making me, so just pray for me),(Lil' Mo sings),When I'm out in the world,Just pray for me ,And if you down for whatever,You'll wait for me,I got these cowards out tryin to lay for me,And they making me,So just pray for me,And I can see it in thier eyes their affraid of me,Homeboy I ain't the one you mistaken me,While you ratting and think your snaking me,They making me, so just pray for me
,
,
",Mobb Deep:Pray For Me
,Mobb Deep,"(Verse One: Havoc),Is it real like niggaz claimin', ""stay to this"",Let me answer that question while I'm aiming this,Hear them one good time, is he faking kid?,Not bleeding like that, he gonna need a shit bad,Lay the fuck up, suck it through from a tube,a million dollars won't even put my feet in his shoes (check it out),Niggaz lose they life, hear as nature,and niggaz die when...tryin', I'm gangsta, niggaz,Straight pussy, I can smell that shit,There's only one way that I can duse that shit,Slugs comin' through, better move that shit,He was gangsta but he died tryin' ta prove that shit,Them QB niggaz, too grimey for y'all,We stick together, fuck what you heard in the song,The 41st Side, and that love go long,Niggaz screamin' out, ""dunn"",and we put y'all on...,Chorus: Havoc (2x),So fuck y'all niggaz,Buck y'all niggaz,Ain't no way you can touch my niggaz,Try my nigga,Die my nigga,All y'all niggaz...my gats spittin',(Verse Two: Infamous Mobb),Aiyo,You feel my niggaz when we come through, thuggin' it,You lovin' it, the way we at ball like the government,I'm 1/3 President, the AB, the medicine, we OD heavenly,You fuckin' with veterans who's better than us,,The In-fa-mous,,We crush crab niggaz to dust and sweep-o-mop,When the heat raise up,,ain't no ifs, ands, or buts,The most scandalous, make your blood rush,through your body like it ain't never did before,We the mall, and we guarantee the realist of all,My spirit is torn,My guns is long,My team is strong,We king kong niggaz when the heat is on,And no matter if I'm wrong or right,,believe me, I'm right,If anything else, nigga prepare to fight,like, nuckle up, get your face bowl up,or, buckle up and get shot the fuck down,'cause we got 4 pounds that don't make no sounds,Real creepy, so be careful when you see me, breathe easy,Believe me, it's far from what you see on tv,,It's real life drama, you wouldn't want to be me...,Chorus: Havoc (2x),So fuck y'all niggaz,Buck y'all niggaz,Ain't no way you can touch my niggaz,Try my nigga,Die my nigga,All y'all niggaz...my gats spittin',(Verse Three: Prodigy),Aiyo,,There aint no niggaz on the face of the map, fuckin' with this,Infamous, y'all, that dominant mall,Just park your attention on my dogs, it's us,We the ones with that dope shit,,that cold crush,We burn 'em up, turn it up, it's on,We gonna do it 'til it death us, fuck yo' thoughts,Niggaz be plottin' to dead us, they move in veine,Get they head bust open, it's not a thing,So rap fo' these niggaz,My team is tough,It's not a game, motherfucka,We cleanin' up,Gettin' that money, motherfucka,You king or what,We use your head, dunn, it's right there,Get you some,You lack strength, motherfucka,Better get you some,For's me, I'm more than a family, dunn,and we handles our business,and continue to bang,and chump niggaz,Grow and get bigger, flow and get richer,Chorus: Havoc (2x),So fuck y'all niggaz,Buck y'all niggaz,Ain't no way you can touch my niggaz,Try my nigga,Die my nigga,All y'all niggaz...my gats spittin'
,
,
",Mobb Deep:My Gats Spitting
,Mobb Deep,"(feat. Vita, Big Noyd),(Havoc:),It be a buck-fifty,Your chance of runnin',Is infinte,Slugs that leave niggas drugged,Like a chick slip the Mickey,I'm so on the low,It'd take a Navy SEAL,To get me,When I surface,If not chips to Benz,Is the purpose,On your team,I'll pull the curtain,A beautiful hurtin',Till my eyes see the blood,That mean the creep start workin',Niggas never learnin' that,They eyes keep lurkin',Have ya janitor,Pumpin' your (X5) merkin,Skid marks the street,Your heart skips a beat,Beef? Nigga overcook that meat,Get no sleep, only rest is,In between the blink,My life story was,Written in blood, permenant ink,Killer instinct, R.I.P. 'em,Gotta think like that 'cause,Forever I be needin' 'em,Plan flawless, mistakes,Never repeatin' 'em,Some love, some hate me,B****es in the head beatin' 'em,(So),Niggas wanna ride,By the crib all slow,(Oh),We clap motherf***er,Want a real rap show?,Fiends are rushin',When the mack blow,Dead in my castle,And in the blink watch,How quick life pass you,(CHORUS:),(Vita:),What's wrong,With motherf***ers,When will the ever learn,Keep playin' with that fire,And that as* is gettin' burned,F***in' with semi-autos,One foot is in the grave,We givin' all of y'all,Somethin' to be afraid of,(Repeat),(Big Noyd:),Lemme tell you,How it's goin' down,It's on now,Niggas used to love me,Now they wanna hate me now,I'm that same nigga,With the tech,Holdin' the spot down,Except I'm pushin' a Lex,Lettin' the top down,But wait, you don't think,I live a pop life now,That's hate, you could,Get popped right now,Me don't play, I keep,A gun around my way,'Cause I'm a f***in' drama king,Like my nigga Kayslay,Sex, drugs, money,And murder all day,It's rules, guidlines,And codes, we obey,Don't even trip, IMD,It's that I claim,Infamous Mobb Deep nigga,Ready to bang,Nigga don't think sh*t stink,Then sh*t hit the fans,So I don't slip, I'ma sh*t,With my gun in my hand,It's a thug thing y'all niggas,Wouldn't understand and,Y'all keep guns,We keep our sh*t bangin',(Repeat chorus),(Prodigy:),You a b****-as* nigga,I had you kill't,All they had was your,Picture at the funeral,No casket,You b*stards be missin',My jewels, my whip,My rims we b****in',My guns be the heat,That'll make you blister,My mens, my Timbs'll,Stomp you niggas,No sh*t, no clip,Don't f*** with us,It's no problem, I bring it,To the best of them,From the old to the new,And the rest of them,No love, just slugs,For ya body dunn,Just pain, just sufferin',And worst then that,You let me,Get my hands on you,So I'm takin' advantage,And that sh*t that you pulled,Ain't do me no damage,You don't know me,But we 'bout,To change that sh*t,Wrap that nigga up,Like a package,F*** all them nigga,Buck all them faggots,(Repeat chorus twice),(Vita:),Yeah, QB,(Yeah),Mobb Deep, dola,It's goin' down,We're takin' over,Vita, gettin' this dough,We don't call it,Murder for nothin',(Murda, murda, murda),I'll send you on,Prodigy, Big Noyd, Havoc,Yeah, y'all see us,It ain't a game, yeah,Oh, come on, yeah,You see us
,
,
",Mobb Deep:The Learning (Burn)
Infamy (2001),Mobb Deep,"shorty, come here,listen listen listen,112 .. ooo .. love you .. need you .. yea .. thats right,hey luv, i wanna hold you and talk to you,put my arm around your shoulder and walk with you,Be the one that'll serve, my word to you,i know that ni**a don't be doin what he suppose to do,i got much more to give than homie do,And you so fine, i just wanna roll wit you,you're a queen bitch, you need a king close to you,you need a ni**a like me to just flow with you,and i gotta try cuz anything is possible,and you just might see things the way i do,i just wanna get next to you, be friends with you,,burn hundreds, wake up in the bed with you,i love when you walk, how that body moves,pardon my mouth, Im just being honest boo,i will pay for air time just to vibe with you,kisses and hugs until the next time u swing thru,(chorus),(so many things),so many things that i wanna do,wanna kiss,wanna touch,wanna taste, never teasing you ( oO baby),cause i only wanna be with you ( girl you kno ),anything that you need ( i got it ),million dollar shopping spree ( i got it ),anything that you want (i got it) ( you kno .. ask me ),ma i want you in the worst way,and i aint thirsty or nothing,but when i see something boo,i go hard for the one hit, myself,ima take you out to eat,and kill any misconceptions that you gotta mobb deep,throw that bug in your ear,and its about time cause a ni**a like me,been wanting you for years,bump heads, here and there,but never got the chance best of those who wait,once i get up in the pants,aint no one minute man,you suppose to be with him, better change those plans,anything you gots to do,lie to screw,must be out of his monkey ass mind,how the hell he gettin tired of you,let me light that fire that your body desire,get you back to being sexy, single, free like my,cuz i treats 'em right,you know how i rock it,where ever you're at, girl,im on the next flight,(chorus),sit back i got this baby girl you straight,fo' sho, rest assure you in the arms of strength,baby i'd die for my love ones make no mistake,im not that man, i keep my gun on bait,and its a cold world, your man don't understand your pain,and i know your getting tired of the same ol' same,he expect to keep you locked with five karat ring,lets cop that old real while 112 sing,Anything you want and anything u need ,Just pick up the phone and call on me ,Anything u want and anything you need,Just call on me ,And I'll come running,(chorus 2x),(112, Mobb Deep Let's Go... dah lalala )
,
,
",Mobb Deep:Hey Luv (Anything)
,Mobb Deep,"(Havoc),Girl I know you love a thug be wildin',Smack flames out a nigga and I got you smilin',The way I cut a nigga every which way but loose,A blood stained Gucci suit will be the proof,Laid back cat but I love to chill,Love a freak in a thong with a ? full of ?,Said you went to catholic school and that's cool,Let me see you throw the suit on,With no interruptions, ma turn the cell off,Start for the touchin' ,And I'm sick with the candle,A fatty, ain't nothin' that a nigga can't handle,I been through it,It's a first time for everything, settin you free,And I feel you your man ain't lettin' you breathe,You a dime from your face to your navel,Your man better wake the fuck up and let you out of that stable,Used to think like that until I thought,? shoe on the other foot and I got ?,Stay home, cook and clean like she the boss,Hell no nigga, not while I'm up in New York,She gonna do what she want, flirt when she want, fuck who she want,Then nigga It's a wrap,You like 'No she won't', but yes she will,Chick might as well have Big comin' out of jail,(Chorus) X4,I got them keys to those handcuffs (handcuffs),Wanna be free throw your hands up (wanna be free),(Havoc),My niggas in NY know the game,Bitch front, she gettin' out on the shoulder lane,It's 3 in the mornin', why you think you came,Should've stayed where you was, I don't play those games,Ring on the finger, fatty off the meter,There's only one thing that this shit could lead to,The reaction, your mind'll crack,And put my mans on if it's poppin' ,Bitch you laughin'?,Everything that I spit is real,And everything on your inside you scared to tell,The word creep, ""no"" ring a bell,Girl I know the situation all too well,I'ma keep it gangsta, rep the 'bout,Lady caught on, so I had to bounce,With bleach in the crib, all my clothes got doused,That's when a nigga knew I had to get out,Know what you're goin' through, been there before,Relationships now, it's like they got these laws,Girl all you wanna do is just be free,And that's why a nigga like me got these keys,(Chorus)X4
,
,
",Mobb Deep:Handcuffs
,Mobb Deep,"clap,mm-hm,(Havoc),yo,some niggas need the henny to endure the drama,all I need is informtion on your crib and armour,when it comes to creepin niggas know that I'm the father,need guns get your own gas and never charter,like a fucked up barber I push your wig farther,pull strings have you gettin clapped and things,my gat is freaky to lick more than any shorty's tongue ring,any nigga threatenin my life's a done deal,watch a bitch get her filll then she snitch and squeal,blow a nigga have em leakin to the court of appeal,serchin for Hav is like a search through fog,how you like to make a last pit stop at the morgue,niggas wanna spread their wings then I'm clippin em off,niggas wanna spread rumours I shoot their mouth off (uh-huh uh-huh),and clap a bastard in the first degree (uh-huh uh-huh),(Havoc),bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,and clap a bastard in the first degree (uh-huh uh-huh),bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,and clap a nigga in the first degree (uh-huh uh-huh),(Prodigy),yo yo,you bout to be another  dead rapper but who know,maybe its us, maybe its them other crews,we'll see, til then,,all I know is how to get the guns in,and give it to a nigga good when he startin,Fuck that, fuck y'all, fuck all of this shit,Y'all better protect that boy, I'll murder that kid,you got jokes but ain't nobody over here laughin,all you get is standin ovation with mack 10's,45ths and more shit we applaud it,Niggas runnin wit cops, scared to go to war with,some real rap niggas, we'll catch you at the source awards,from gettin at this nigga, pardon my force,you better get from around that nigga or you catchin it too,your power is no match for my strength of wolves,nigga we came into this game on this drama shit,more money more murder thats how we live it,more diamonds more guns is the beginnin,more of this gangsta shit can wear you out,niggas see my gold max and you went all out (uh-huh uh-huh),I clap a bastard in the first degree (uh-huh uh-huh),(Havoc),bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,and clap a bastard in the first degree (uh-huh uh-huh),(Havoc),Degree in drama knowledge, you nigga just pay the homage,You niggas should be abolished for that rappin ass garbage,to me, you just a target, easy to hit,with that loud bark stevie wonder couldn't even miss,Then it's 1, 2, 3, baby boy you gettin hit,and ripped, like a whole bitch, by the vultures,rusty ass germs niggas already know this,kill who you run with, in charge off who you die with,Prada'd up, Gucci'd up, died on some fly shit,regulate a wig split a little nigga big nigga,any nigga kill you your man to the pen shit,so fuck niggas they ain't on my level cos I been did it,talk about cliques most infamous run with it,Catch your body's syndrome, most niggas sick with it,and clap a nigga in the first degree,(Prodigy),aiyyo fall back, step back, we built to last,get back, move back, this is that smash,this is that murder you niggas get bucked,your image gets shattered your bitches get fucked,we Mobb Deep anytime we stomp niggas out,or I might catch you all on myself and spaz out,how heavy it plays out, you niggas is assed out,take yourself to the first safe house and lock it down,so we wildin, for two thousand and two poundin,any nigga out runnin  with their mouth bound em,guns clap security be callin for back up,??? bullets drop leavin them bagged up,why we mash in a jag truck, with the 22's,they spin like how the 44 spun on you (uh-huh uh-huh),and clap you niggas in the first degree (uh-huh uh-huh),(Havoc),bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,and clap a bastard in the first degree (uh-huh uh-huh),bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,bust that, gimme that, nigga get clapped,and clap a nigga in the first degree (uh-huh uh-huh)
,
,
",Mobb Deep:Clap
,Mobb Deep,"(Havoc),Yeah,Another banger,You can feel me if you don't, you don't,I'll feed you to the dogs like a bitch I boned,My only concern is for the cash I gross,A nigga more deadly up against the ropes,Problem dead on tacking tours to throats,Eyes, ears open you can try to get close,Approach me then,Get on the floor soldier like you owe me ten,Spread it, never say it,Actions speak louder than words,Get bodied because you doubted the word,Never fucked your bird, stop askin her,It's not that serious, keep backin up,She'll get curious, and delirious,Send that bitch home on her period,To stop Havoc got to kill me bro,You cats listening but don't hear me though,(Chorus: Havoc),Yo, what's the deal, deal,Play that shit I can feel, feel,Right now it's about to get real, real,Never leave home without that steel, steel,(2X),(Prodigy),Yeah, just bounce,Bounce, Bounce,Let's go, let's do it, let's get it correct,Let's ball, let's burn, let's all get bent,Let's party and celebrate success,Let's not ruin my fun, my gun will spit,Nigga find you a woman you can definitely rip,Ladies find you a man, go ahead get you some dick,What you thought? you a big girl, I'm a big boy,So let's not play these games, let's get to the point,Bitch get off me, I switch plans on you,There's plenty more bunnies for me,These niggaz got problems? I'll straighten that promptly,I'll be all over them niggaz so fast, they're so pussy,Go ahead push me to tear you up,Try me, blind me, force my guns,You ain't built for war, you built to bounce,So we gonna ride on you niggaz until the sun burn out,Chorus (2X),Bounce, bounce, bounce, bounce,Chorus (2X)
,
,
",Mobb Deep:Bounce
