album,artist,lyrics,title
Illmatic (1994),Nas,"[Nas Sample - Live at the Barbeque],Street's disciple, my raps are trifle ,I shoot slugs from my brain just like a rifle ,Stampede the stage, I leave the microphone split ,Play Mr. Tuffy while I'm on some Pretty Tone shit ,Verbal assassin, my architect pleases ,When I was twelve, I went to ...,[Wild Style Sample],[Hector],And you're sitting at home doing this shit? I should be earning a ,medal for this. Stop fucking around and be a man, there ain't nothing out ,here for you... ,[ZORO],Oh yes there is...this! ,[Jungle] ,Yo Nas ,Yo what the fuck is this bullshit on the radio Son? ,[Nas] ,Chill chill, that's the shit God, chill ,[AZ] ,Aiyyo yo, pull down the shade, man. Let's count this money, nigguh ,Aiyyo Nas, put the Jacksons and the Grants over there ,You know what I'm sayin? Cause we spendin the Jacksons ,[Nas] ,Right, yeah. ,[AZ] ,You know how we get down baby ,[Nas] ,True, true"" ,[Jungle] ,Nas, yo Nas, man shit is mad real right now in the Projects ,for a nigga yo, word to mother. All them crab ass rappers ,be comin up to me man word to mother man I think we need ,to let them niggaz know it's real man ,[Nas] ,True indeed, knahmsayin, but when it's real you doin this ,even without a record contract, knahmsayin? ,[AZ] ,No question ,[Nas] ,Been doin this since back then ,[Jungle] ,No doubt ,[AZ] ,I'm saying regardless how it go down we gon keep it real ,We trying to see many mansions and...and Coupes kid! ,[Nas] ,No doubt, we gon keep it real ,True, true... ,[the Firm] ,Aiyyo where's Grand Wizard and Mayo at man? ,Takin niggas a long time, man..."" ,][Nas] ,Who got the Phillies? Take this Hennessey ,[AZ] ,Aiyyo Dunn! C'mon, c'mon, man stop waving that man ,Stop pointing that at me Dunn, take the clip out ,[Nas] ,Nigga alright but take this Hennessey man ,[AZ] ,I'm saying take the clip man ,C'mon, take it out... ,[Nas] ,Light them Phillies up man ,Niggaz stop fucking burning Phillies man ,Light some Phillies up then! ,[the Firm] ,Pass that Amber Boch, pass that Amber Boch, nigga! Act like you know. ,[AZ] ,Yo, we drinking this straight up with no chaser ,I ain't fucking with you nigga ,[Nas] ,I'm saying though man... ,[AZ] ,What is it, what is it baby? ,[the Firm] ,What is it Son, what is it? ,[AZ] ,You know what time it is ,[Nas] ,I'm saying man, ya know what I'm saying? ,Niggaz don't listen man, representing ,It's Illmatic.
,
,
",Nas:The Genesis
"Stillmatic (2001),Like Mike (2002)",Nas,"Yeah,Yeah, yeah, yeah, yeah,Nas, uh,Yo, yo, life, they wonder. ,Can they take me under? Nah, never that!,Yo, yo, I come from the housing tenement buildings,Unlimited killings, menaces marked for death,Better known as the projects where junkies and rock heads dwell,Though I owe to it my success,Well, survival of the fittest every day as a child,I would think I'm a part of USA and be proud,Confronted with racism, started to feel foreign,Like the darker you are the realer your problems,I reached for the stars, but I just kept slipping,On this life mission, never know what's next,Ain't your king from Fiji, welcome Julius Caesar,Had a piece of the globe, every continent,There was Asia, Africa, Europe, France, Japan,Pakistan, America, Afghanistan,Yo there was Protestants, Jews, Blacks, Arabics,Call a truce, world peace, stop acting like savages,No war, we should take time and think,The bombs and tanks makes mankind extinct,Cut since the beginning of time, it's been man with arms fighting,Lost lives in the towers and Pentagons,Why then must it on, we must stop the killing,Tell me why we die, we all God's children,All this hate can't last forever,It's time that we stand together,Everybody wants to rule the world,Come on (World, world, world),Peace (World, world, world),Peace (World, world, world),Peace (World, world, world),All those brothers on the block posted up like they own it,That's Daytona from New York to California,Got blocks locked down,Like, dog, you safe whenever you with me,See, this is my town,So the youngstas, pros and ghettos goes to prison,At a early age, already know it's against them,So in order for him to survive one day,He must open up his eyes to the set backs,'Cause everybody wants a shot in this land of opportunity,Look at what this country's got,There shouldn't be nobody homeless,How can the President fix all the problems when he ain't fixed home yet,The earth wasn't made for one man to rule alone,To all colors and creeds is to whom it belongs,I want land, mansions, banks and gold,The diamonds in Africa, oil in my control,The world's natural resources own its residuals,But then comes foes, I have to guard it with missiles,And I become the most wanted,But is it worth hearing a million people problems and followed by secret service,I guess attempts at my life are loaded barrels,So move over Colin Powell, just throw in a towel, yo,All this hate can't last forever,It's time that we stand together,Everybody wants to rule the world,Come on (World, world, world),Peace (World, world, world),Peace (World, world, world),Peace (World, world, world),Y'all know that's my style and hit you at the right time,No other compares to what Nas write down,Tell you my dreams, show you my pain is yours,You could get what you love, be a chain to cause,You alive right now,There's so many that dead or locked up inside the beast,I'ma holler it now,It's whatever man think'll manifest to be real,The plan is to wake up 'cause time reveals,All this hate can't forever last,All my ghetto heroes in heaven, it's like you right here and never passed,You just transcend, I know I'm gonna see you again,Hoping I'll reach the world leaders and win,Ain't nothing without struggle, listen up, it's critical,We used to fear arms, now the weapons are chemical,In hip hop the weapons are lyrical,To be the best, you challenge the best, and the blessing is spiritual,Top of the world for the kid none less,Popping any Rappers head off his shoulders, no contest,I know the most high hear me, so far you can't hear me,You scared of a mirror,My theory is that knowledge is power,To every projects and every street corner,We gotta get out of this now,All this hating lasts forever,It's time that we stand together,Everybody wants to rule the world
,
,
",Nas:Rule
Stillmatic (2001),Nas,"[speaking softly, gradually getting louder],One time.. yeah.. yeah..,Yo, all I need is one mic, one beat, one stage,One nigga front, my face on the front page,Only if I had one gun, one girl and one crib,One God to show me how to do things his son did,Pure, like a cup of virgin blood; mixed with,151, one sip'll make a nigga flip,Writin names on my hollow tips, plottin shit,Mad violence who I'm gon' body, this hood politics,Ackowledge it, leave bodies chopped in garbages,Seeds watch us, grow up and try to follow us,Police watch us {*siren*} roll up and try knockin us,One knee I ducked, could it be m[...],
,
,
",Nas:One Mic
,Nas,"Listen up gangstas and honeys with ya hair done,Pull up a chair hon' and put it in the air son,Dog, whatever they call you, god, just listen,I spit a story backwards, it starts at the ending,The bullet goes back in the gun,The bullet hole's closin this chest of a nigga,Now he back to square one,Screamin, ""Shoot don't please"",I put my fifth back on my hip,It's like a VCR rewindin a hit,He put his hands back on his bitch,My caravan doors open up,I jumped back in the van and closed it shut,Goin reverse, slowly prepared,My nigga Jungle utters out somethin crazy like, ""Go he there"",Sittin in back of this chair, we hittin the roach,The smoke goes back in the blunt, the blunt gets bigger in growth,Jungle unrolls it, put his weed back in the jar,The blunt turns back into a cigar,We listen to Stevie, it sounded like heavy metal fans,Spinnin records backwards of AC/DC,I give my niggas dap, jump out the van back first,Back upstairs, took off the black shirt,I'm in the crib with the phone to my ear,Listen up so y'all can figure out the poem real clear,The voice on the phone was like, ""Outside right we"",So with my mouth wide, holdin my heat,Bullets I had plenty to squeeze, plenty for ya,'Cause Jungle said, ""Block your on enemies the"",Hung up the phone, then the phone rang ,I'm laid in the bed thinkin 'bout this pretty young thing,Who left, she came back, her clothes just fell to the rug,She fell to my bed and gave me a hug,I told her, ""No hell"",She talkin 'bout, ""Me kiss"",Bobbed her head then spit the nut back in my dick,Started suckin with no hands, a whole lotta spit,Then got up and put her bra back on her tits,Got fully dressed and told me, ""Stressed really I'm"",Picked up her Gucci bag and left her nigga behind,Walkin through the door, she rang the bell twice,I vomited Vodka back in my glass with juice and ice,The clock went back from three, to two, to one,And that's about the time the story begun,That's when I first heard the voicemail on the cell,It said, ""Son we found that nigga we gotta kill"",[Message Beep],Ay yo son, ay yo son, you hear me, you hear me?,Listen man, this dude right on the block, right now, man,I found him, right now, I see him right now!,Let's kill him),[Message Beep],""Yo, this Nas, leave it. Peace""
,
,
",Nas:Rewind
Stillmatic (2001),Nas,"Woke up this morning [yea],Ya Got Yourself a Gun [yea yea yea],Got Yourself a Gun,Yo Im living in this time behind enemy lines so,[Chorus],I got mine, I hope ya (got yourself a gun),You from the hood I hope ya (got yourself a gun),You want beef hope ya (got yourself a gun),And when I see you Im a take what I want so,,You try to front hope ya (got yourself a gun),You ain't real hope ya (got yourself a gun),My first album had no famous guest appearances ,The outcome, Im crowned the best lyricist,Many years on this professional level,What would you question whose better,The World is still mine,Tattoos real with Gods son across the belly,The boss of rap he saw me in Belly with thoughts like that,They take it back to Africa, I did it with Biggie,Me and Tupac were soldiers of the same struggle,You lanced a huddle you came shooked,Y'all feel the rap of a killer ,Cause this is my football field,Throwing passes from a barrel,Shoulder pads apparel ,But the QB don't stand for no quarterback,Every word is like a sawed off blast,Cause y'all all soft and Im the black hurst ,That came to hall y'all ass in,This for the hood by the corner store,Many try, many die,Come at Nas if you wanna war get it bloody,[Chorus],Uh,I got mine, I hope ya (got yourself a gun),You from the hood I hope ya (got yourself a gun),You want beef hope ya (got yourself a gun),And when I see you Im a take what I want so,,You try to front hope ya (got yourself a gun),You ain't real hope ya (got yourself a gun),Yo Im the ""N"" the ""A"" to the ""S"" ""I"" ""R"",And if I wasn't I must've been escabar,You know the kid got his chipped tooth fixed,Hair parted with the barbers preciseness ,Brave hearted for life is return of the golden child,Son of a blues player so who are you playa,Ya waited the truth saviour,Puffin that tropical, cups of that vodka too,Poppy choose to' up wake up in a hospital,Throw up? never, 'member I do this through righteous steps,You Judas thought I was gone so In light of my death,Y'all been all happy, go lucky bunch of,Sambos call me godson with my pants low,I don't die slow put them rags up like Petey Pablo,This is NASDAQ dough in my Nascar with this Nas flow,Who could beat that not a soul reppin,Hit the record store never let me go,Get my whole collection, Yo,[Chorus],I got mine, I hope ya (got yourself a gun),You from the hood I hope ya (got yourself a gun),You want beef hope ya (got yourself a gun),And when I see you Im a take what I want so,,You try to front hope ya (got yourself a gun),You ain't real hope ya (got yourself a gun),It's the return of the prince, the boss,This is real hardcore,Kid Rock and Limp Bizkits soft,Sip Chris get chips wrist gliss I floss,Stick shift look stick up in that box that Porsche,With the top cut off rich kids go and cop the source,They all know about the blocks Im on,And everybody wanna know where the kid go,Where he rest at, where he shop at, and dress at,know he got dough, where does he live,Is he still in the bridge, does he really know how ill that he is?,Got all of y'all watchin my moves, my watch, and my jewels,Hop in my coup, dodge interviews like that,Its not only my jewels, ice anything plenty chains,Look at my tennis shoes I iced that,Who am I, the back twister, lingerie ripper,Automatic leg spreader quicker brain getter,Keepin it gangsta wit'ya,Uh,[Chorus],I got mine, I hope ya (got yourself a gun),You from the hood I hope ya (got yourself a gun),You want beef hope ya (got yourself a gun),And when I see you Im a take what I want so,,You try to front hope ya (got yourself a gun),You ain't real hope ya (got yourself a gun),[Chorus],I got mine, I hope ya (got yourself a gun),You from the hood I hope ya (got yourself a gun),You want beef hope ya (got yourself a gun),And when I see you Im a take what I want so,,You try to front hope ya (got yourself a gun),You ain't real hope ya (got yourself a gun)
,
,
",Nas:Got Yourself A Gun
,Nas,"[gunshots],[Nas talking],(""Fuck Jay-Z""),What's up niggas, ay yo, I know you ain't talkin 'bout me dog,You, what?,(""Fuck Jay-Z""),You been on my dick nigga, you love my style, nigga,(""Fuck Jay-Z""),[Chorus:],(I) Fuck with your soul like ether,(Will) Teach you the king you know you,(Not) ""God's son"" across the belly,(Lose) I prove you lost already,Brace yourself for the main event,Y'all impatiently waitin,It's like an AIDS test, what's the results?,Not positive, who's the best? Pac, Nas and Big,Ain't no best, East, West, North, South, flossed out, greedy,I embrace y'all with napalm,Blows up, no guts, left chest, face gone,How could Nas be garbage?,Semi-autos at your cartilege,Burner at the side of your dome, come outta my throne,I got this, locked since '9-1,I am the truest, name a rapper that I ain't influenced,Gave y'all chapters but now I keep my eyes on the Judas,With Hawaiin Sophie fame, kept my name in his music,Check it,[Chorus],[talking],Ay yo, pass me the weed, pour my ashes out on these niggas man (no doubt),Ay, y'all faggots, y'all kneel and kiss the fuckin ring,[Chorus],I've been fucked over, left for dead, dissed and fogotten,Luck ran out, they hoped that I'd be gone, stiff and rotten,Y'all just piss on me, shit on me, spit on my grave (uh),Talk about me, laugh behind my back but in my face,Y'all some ""well wishers,"" friendly actin, envy hidin snakes,With your hands out for my money, man, how much can I take?,When these streets keep callin, heard it when I was sleep,That this Gay-Z and Cockafella Records wanted beef,Started cockin up my weapon, slowly loadin up this ammo,To explode it on a camel, and his soldiers, I can handle,This for dolo and it's manuscript, just sound stupid,When KRS already made an album called Blueprint,First, Biggie's ya man, then you got the nerve to say that you better than Big,Dick suckin lips, whyn't you let the late, great veteran live,[talking],(I...will...not...lose),""God's son"" across the belly, I prove you lost already,The king is back, where my crown at?,(Ill...will) Ill Will rest in peace, let's do it niggas,[Chorus],Y'all niggas deal with emotions like bitches,What's sad is I love you 'cause you're my brother,You traded your soul for riches,My child, I've watched you grow up to be famous,And now I smile like a proud dad, watchin his only son that made it,You seem to be only concerned with dissin women,Were you abused as a child, scared to smile, they called you ugly?,Well life is hard, hug me, don't reject me,Or make records to disrespect me, blatent or indirectly,In '88 you was gettin chased through your buildin,Callin my crib and I ain't even give you my numbers,All I did was gave you a style for you to run with,Smilin in my face, glad to break bread with the god,Wearin Jaz chains, no tecs, no cash, no cars,No jail bars Jigga, no pies, no case,Just Hawaiian shirts, hangin with little Chase,You a fan, a phony, a fake, a pussy, a Stan,I still whip your ass, you thirty-six in a karate class,You Tae-bo hoe, tryna' work it out, you tryna' get brolic?,Ask me if I'm tryna' kick knowledge,Nah, I'm tryna' kick the shit you need to learn though,That ether, that shit that make your soul burn slow,Is he Dame Diddy, Dame Daddy or Dame Dummy?,Oh, I get it, you Biggie and he's Puffy,Rockafeller died of AIDS, that was the end of his chapter,And that's the guy y'all chose to name your company after?,Put it together, I rock hoes, y'all rock fellas,And now y'all try to take my spot, fellas?,Philly's hot rock fellas, put you in a dry spot, fellas,In a pine box with nine shots from my glock, fellas,Foxy got you hot 'cause you kept your face in her puss,What you think, you gettin girls now 'cause of your looks?,Ne-gro please,You no mustache havin, with whiskers like a rat,Compared to Beans you wack,And your man stabbed Un and made you take the blame,You ass, went from Jaz to hangin with Caine, to Herb, to Big,And, Eminem murdered you on your own shit,You a dick-ridin faggot, you love the attention,Queens niggas run you niggas, ask Russell Simmons,Ha, R-O-C get gunned up and clapped quick,J.J. Evans get gunned up and clapped quick,Your whole damn record label gunned up and clapped quick,Sean Carter to Jay-Z, damn you on Jaz dick,So little shorty's gettin gunned up and clapped quick,How much of Biggie's rhymes is gon' come out your fat lips?,Wanted to be on every last one of my classics,You pop shit, apologize, nigga, just ask Kiss
,
,
",Nas:Ether
,Nas,"Uh uh, yo,They plan was to knock me out the top of the game,But I overstand they truth is all lame,I hold cannons that shoot balls of flames,Right in they fat mouth then I carve my name,Nas - too real, Nas - true king,It's however you feel, g'head, you swing,Your arms too short to box with god,I don't kill soloists only kill squads,Fame went to they head, so now it's ""Fuck Nas"",Yesterday you begged for a deal, today you tough guys,I seen it comin,Soon as I popped my first bottle I spotted my enemies tryna' do what I do,Came in with my style, so I fathered you,I kept changin on the world since ""...Barbeque"",Now you wanna hang with niggas I hung with,Fuck bitches I hit, it's funny I once said...,If I, ever make a record,I take a check and put something away for a rainy day to make my exit,But look at me now, ten years deep,Since in the project, crack in my socks weep ,I never asked to be top of rap's elite,Just a ghetto child tryna' learn the traps of the streets,But look at me now,(Chorus),""You're the man"" ""You're the man"",""You're the man"" ""You're the man"",""You're the man"" ""You're the man"",""You're the man"" ""You're the man"",""You're the man"" ""You're the man"",now wait a sec', give me time to explain, women and fast cars,And diamond rings can poison a rap star,It's suicidal, how I smoke in so much la',I saw a dead bird flyin through a broken sky,Wish I could flap wings and fly away,To where black kings and Ghana stay ,So I could get on my flesh right away,But that'll be the day when it's peace,When my gat don't need to spray,When these streets are safe to play,Sex with death, indulge in these women,Vision my own skeleton swimmin in eternal fire,Broads play with pentagrams in they vagina,Like the Exorcist, then they gave birth to my seeds,I beg for God's help, why they love hurtin me?,I'm your disciple, a thug certainly,I'm the N the A to the S-I-R,If I wasn't I must've been Escobar,Forty-five in my waist, starin at my reflection,In the mirror, sittin still in the chair like my conception,When everything around me got cloudy, the chair became a king's throne,My destiny found me,It's clear why the struggle was so painful,Metamorphosis, this is what I changed to,And God, I'm so thankful,(Chorus to fade)
,
,
",Nas:You're Da Man
Nastradamus (1999),Nas,"[Nas],Uh, it's real, it's real, it's real,Uh, uh, owe me back, uh shorty,Shorty, what up, huh?,Come on,1 - [Ginuwine],Shorty, say what's your price,Just to back it up,You can hold my ice,Now let's say you owe me something,[Nas],Yeah, owe me back like you owe your tax,Owe me back like forty acres to Blacks,Pay me back when you shake it like that girl,2 - [Ginuwine],Shorty, say what's your price ,Just to back it up,You can hold my ice,Now let's say you owe, owe, owe,[Nas],Yeah owe me back like you owe your rent,Owe me back like its money I spent,Pay me back when you shake it again,The don, all the time, with all the shine,You small time, I ball with mine,Links, minks, Bentley, it's all with mine,My jams bump out to the borderline,UK hot with it, blew spots with it,Every continent love when I spit it,Corners to blocks, even the cops feel it,Brothas on lockdown on their cock feel it,It's real in the field the Last Mohegan,Who survived in the streets and did something decent,Now I got plans to buy the whole hood,Legit' now, I ain't gotta lie to no judge,I make hits now, money I flip now,Hood fella every honey wanna kiss now,I lit up my neck, pinkie, and wrist now,So girls everywhere, this is how we get down,Repeat 1,3 - [Ginuwine],Shorty, say what's your price ,Just to back it up,You can hold my ice,Now let's say you owe, owe, owe,[Nas],Yeah owe me back like you owe your rent,Owe me back like its money I lent,Pay me back when you shake it again,[Nas],Play to win, girls in the club moving,I get 'em real hot, my songs seduce 'em,I flow, I'm so mysterious,Nas, and Nasty's the alias,Everything platinum I glow,Cadillac trucks pulling up to the do',On top out the car, lounge at the bar,We spent a thou', we wild, look at how rowdy we are,Feel like a million dollars, feel me holler,To the max with the Benz and chrome wheeled Impalas,Thugs and renta's, to the playas and ballers,Sexy mamas, fly ladies lookin' proper,Look good enough to be taken shoppin',Earrings, bracelets, now you rocking,Your body's so nice that I give you this option,Let you wear my big chain if we get it popping,Repeat 1,Repeat 2,[Ginuwine] ,I put the shackles on your feet (You owe me),I think you owe me some (You owe me),The shackles on your feet (You owe Nas),I think you owe me some (You owe Ginuwine),(You owe Timbaland, you owe me),[Nas],Lock you down baby, you know what you owe me,Mack like Goldie, it's the same story,Let you hold something, you spending it right,Know where you gon' be by the end of the night,Make it bounce, shake it, move it around,Wiggle it a little bit, throw it to the south,Fantasizing me inside and you riding,Throw it like a stallion, you wearin' my medallion,[Ginuwine],Shorty, say what's your price,Just to back it up,You can hold my ice,Now let's say you owe me something,(You owe me something, oh yeah),I said shorty, say what's your price,(You owe Nas),Just to back it up,(You ow Ginuwine),You can hold my ice,(You owe Timbaland),Now let's say you owe,You owe us something, baby,Oh, oh, oh
,
,
",Nas:You Owe Me
,Nas,"[Intro] (Nas),Yeah... ay yo Jungle... ay yo Wiz...,Come on man... Let's do this,It's a Braveheart party y'all,C'mon,[Chorus] (Mary),Throw your hands up cuz we wanna dance,Don't be afraid just take a chance,Cuz this beat will rock your body,Get up on the floor and party,Now y'all tell me what y'all wanna do,Thinkin' while I have a drink or two,Throw your hands up everybody,Get up on the floor and party,[Verse 1] (Nas),I move at night, respect my gangsta,Ready for whatever you bring, the mood is right,The club is righteous, tight with family,Squeezin on big old bubbles with no panties,Ladies who's sexually free,And once in a while live on the wild side, kinky & nasty,Middle fingers up and say ""Fuck the world"",Throw your hands up, they can't fuck with you girl,And my fellas, two time felons, two nine tote and lethal,Quick to leave you wide open, if you gettin' tore down,Blowin' a blunt cloud, and the DJ's makin' you feel thugged out,Put yo hands up,Repeat Chorus,[Verse 2] (Jungle),I pull in a V12 drop all red,Look at ma with that cat paw tat on'er leg,Come here girl can I kiss you, let me lick you,Show you what your body made for, you're official,You could be my baby mama lookin like that,What you drink, champagne or Cognac,What you like dancin diamonds, Dolce Gabbana,Fendi, Louis Vuitton, Gucci and Prada,A nigga like Jungle to always come thru,Shine in yo hood whenever the fuck you want to,Cause I'ma B.R.A.V., E.H.E.A.R.T. from QB,Put'em up...,Repeat Chorus,Party all night (Party all night),Let's drink, no fights (Let's drink, no fights),Party all night (Whachu wan' do?),Let's drink, no fights (Drink up...c'mon, yeah, yeah...),[Verse 3] (Wiz),I'm blaze, haze for days,Blackout thinkin' of ways to get paid,Mac out corner I got it's all laid,Shorty, with a nice round ass in my face,Now do she want me to touch her?,Or do she want me to see?,Fuck is she comin wit me,A true BHG Wiz, not complex,Chin checks if it get hectic,Nigga Braveheart respected,Get bent at the bar, talk shit, walk it,And if I can't talk it, the false big cop a case,I'm here to blaze, roll up a dutch and take it to the face,Throw yo hands up,Repeat Chorus 2X
,
,
",Nas:Braveheart Party
Stillmatic (2001),"Nas,AZ","[Nas] Geah,[AZV] Peace king,[Nas] Peace king,[AZV] Listen, they wrote a book on your life,[Nas] Right,[AZV] You think anybody'll read it?,[Nas] No fuckin doubt!,[AZV] Let's make history homey,[Nas] Aight then,[AZV] You know we brought the hoes clothes and money rolls to the table,[Nas - laughing] No, fuckin, doubt,[AZV] It's time to manifest this,[Nas] Shit we the flyest nigga,[AZV] Bring it to a whole, y'know?,[Nas] Gangsta nigga,Niggaz better watch ya back, it's so cold,Pinky rings shinin', so act like y'don't know,Bitches in heat for niggaz that got dough,We the flyest gangsters,What you don't got is my natural glow,Countin' out stacks and mackin out hoes,Pushin' big dicks and packin' our chrome,We the flyest gangsters,[AZ],Follow, I'm like a Lamborghini green Diablo,Coupe VT, it's like DVD when I flow,Feel me, I'm loved like the great late Malik Sealy,The one the player haters hate dearly, but can't near me,Homicide can't scare me,I o-bide by the laws of these streets sincerely, a real nigga,The type that can build with ya,Verbalize, bring life to a still picture, it's God-given,Been blessed with Allah's vision, strength and beauty,Truly my only duty is to dodge prison,Play wit me, I'm modest 'til them strays hit me,Regardless the circumstances, I'ma stay filthy,Dough forever, the live stay low forever,And fuck niggaz, cause it's hard to keep them close together,One dependent, no wife, one co-defendant,No forms of weakness, I flow with vengeance,Niggaz better watch ya back, it's so cold,Pinky rings shinin', so act like y'don't know,Bitches in heat for niggaz that got dough,We the flyest gangsters,What you don't got is my natural glow,Countin' out stacks and mackin out hoes,Pushin' big dicks and packin' our chrome,We the flyest gangsters,[Nas],I do what I can do when I can do it,Feel how I feel when I feel what I'm feelin',Live how I live, it's only cause I been through it,Learn to try it like to eat it and shit, it's nuttin to it,Burn it light it weed it and off the liquor, while drivin' outside,I'll never catch a vehicular homicide,My music is a description of my vibe of course,My life, my sites, my thoughts, what I like on my fork,Cause you are what you eat, you eat what you can,You pray to bless the food but first you wash your hands,To wash away them bad spirits, don't bring it in your home,Once you let them in they stayin, evil be gone, say it,I'm proud of Mase for givin' himself to the lord,Wonder, does Faith think about Big anymore?,Of course my nigga Horse got married, see shit is changin',We ain't these little niggaz no more, runnin' dangerous,I like to bone, I'm a peaceful brother,Eat up so much the girls call me seafood lover,Be havin' they legs shakin', stab 'em, break 'em,I'm Hercules, Hercules when havin' relations, the flyest,Niggaz better watch ya back, it's so cold,Pinky rings shinin', so act like y'don't know,Bitches in heat for niggaz that got dough,We the flyest gangsters,What you don't got is my natural glow,Countin' out stacks and mackin out hoes,Pushin' big dicks and packin' our chrome,We the flyest gangsters,[Nas] We put this on the, soul of our born,[AZV] As we hold the Qu'ran,[Nas] Kamikaze style,[AZV] Older cats coachin' us on,[Nas] Yo, it's kill or be killed,[AZV] Understand, real'll be real,[Nas] A forty-shot spectrum MAKE YOUR WHOLE EMBASSY KNEEL,[AZV] Identity sealed, protected by,[Nas] our energy shield,[AZV] And fuck a drop, cause that's that shit that got Kennedy killed,[Nas] Close the book,[AZV] Was taught never expose a crook,[Nas] Between the knight and the bishop,[AZV] One'll knock your rook; I'm a rare breed, never had a fear that lead,[Nas] I ain't light niggaz recite,[AZV] Too impaired to breathe,[Nas] WE BOTH HARD HIT JUST LIKE CAMACHO AND VARGAS, WHO'S THE TARGET?,[Nas] Now watch how we close the market, motherfuckers,Niggaz better watch ya back, it's so cold,Pinky rings shinin', so act like y'don't know,Bitches in heat for niggaz that got dough,We the flyest gangsters,What you don't got is my natural glow,Countin' out stacks and mackin out hoes,Pushin' big dicks and packin' our chrome,We the flyest gangsters,Niggaz better watch ya back, it's so cold,Pinky rings shinin', so act like y'don't know,Bitches in heat for niggaz that got dough,We the flyest gangsters,What you don't got is my natural glow,Countin' out stacks and mackin out hoes,Pushin' big dicks and packin' our chrome,We the flyest gangsters
,
,
",Nas:The Flyest
