album,artist,lyrics,title
Muse Sick-n-Hour Mess Age (1994),Public Enemy,"Talkin dat drive by shit,Everybody talkin dat gangsta shit,Talkin dat drive by thang,Everybody talking dat gangsta swang,Slaves to the rhythm of the master,Buck boom buck another,Neighborhood disaster,(Drummer hit me one),A gun is a gun is,A mother fuckin gun,But an organized side,Keep a sellout nigga on the run,What you gonna do to get paid,Step on the rest of the hood,Till the drug raid,See you runnin like roaches,Black gangstas need track coaches,The white law set you up raw,When you have his trust in killin us,Talkin dat gattalk,Walkin dat catwalk,Where you tryin to go wit dat,Don't even go dere wit dat rap,Guns drugs an money,All you know how,So whatcha gonna do now?,I'm bout ready to bounce,Trouble on the corner of Blunt Ave.,An 40 ounce,Mad uncivilized lifestyles,30 years bids for kids, now that's wild,I'm raisin my child,I'm steppin to da curb,Wit a sign do not disturb,Too much don't give a fuck,Or a damn thing,But choose what the other man bring,I sing a song cause I see wrong,I'm not down with the fe fi fo,Where I come from,See, the brothers ain't dumb,Sense goes over nonsense,When it makes no sense,I'm throwin up da fence,Talkin dat drive by shit,Everybody talkin dat gangsta shit,Talkin dat drive by thang,Everybody talkin dat gangsta swang,Talkin dat gattalk,Walkin dat catwalk,Were you tryin to go wit dat,Dont even go there wit dat rap,Guns, drugs and money,All you know how,So whatcha gone do now?,The only good nigga is a dead nigga,Dat's what they used to say,Can't understand why a man,Gotta use a trigga,On his own, suppose to act grown,Cracka in da back,Watch a brother pull a trigga on another brother,Couldn't shoot and shot a mother,Four kids alone home,Ungrown and now they on they own,Now check yourself cool,What good is da hood if ya actin a fool,Talkin dat gattalk, walkin dat catwalk
,
,
",Public Enemy:So Whatcha Gonna Do Now?
,Public Enemy,"(Flavor Flav vocals in these brackets),{crowd chant vocals in these brackets),Intro: Chuck D, Flavor Flav,Aight {aight}, aight, aight {aight}, aight {aight},I'm aight if you aight {I'm aight},I be better - get some of that bass,{word, give it up} aight, yeah,(Rinkin      twinkin      body      shakin,Nuff        attackin     brain's a rackin,Clock       tockin       Chuck     shockin,Flavor      Flav  ain't  never     shavin),(one, two, three four),Verse One: Chuck D,It's another record, check it, mad methods,To put my brothers and sisters on a deathbed,You know he cheated, took what he wanted but now you blunted,Suckin up to the devil steppin down a level,It's who they fear is you,Who protects us from us and you from you,Yes and it counts (fuck the fourty ounce),I sued them bastards, yeah they got bounce,I did em like a demo {threw em out the window},I took a 98 cause I never liked a limo,But pump pump pump pu-pump pump it up,A mad rhyme, for mad times, that's what's up,Some ain't gonna change, I got em in a range,I gotta rearrange, so I'm buildin back your brain,Wreckin records with funky stuff,Am I loud enough? {yeah} You got ta give it up,Chorus: Flavor Flav,Give it up, give it up, give it up yo    \ repeat,Give it up, give it up, gotta give it up / 4 times,repeat #2 -- (occasional) Chuck D vocal,yeah,you gots ta give it up now,Verse Two: Chuck D,Come again with the same old bounce,I'm calling a foul and once again it counts,Mad tense mad tense brothers know,The blunts in the back got the black behind and that's wack,(And once again it's on!),Hey Jimmy cracked corn cracker singin ""I don't care"", it's on,I'm comin with a rhyme (what?) I'm lettin go a rhyme (yeah!),I gotta get a rhyme through the rough and crazy times,Call me a Hannibal lecture, yes I checked her,They don't hear me though, so here I go,I'm sick and tired so Sly'll take ya higher,When I'm takin his sound to bring you down,Rappers rippin a lyrical kickin finger-lickin,But to the rhythm I'm givin but never cotton pickin,Like James Brown I'm sayin it loud,Am I loud enough?  Huh, you got ta give it up,(Some ain't gonna change, some ain't gonna change,Some ain't gonna never ever change,Some ain't gonna change, some ain't gonna change,Some ain't gonna NEVER EVER change!),Chorus (1/2X),Interlude: Chuck D, Flavor Flav,And when I'm coming, some young dumb and fulla cum,Some second guessing my lessons about saving young,Some don't know like Run said so here we go,Where it is inside, whoop there it is,{aaaaaaah} There it is,(There it is, damn right,My man X is a bad mother {shut your mouth),I'm talking about Terminator, he's the man),There it is, can you hit me off with another one,Chorus,I never did represent doing dumb shit,Some gangsta lying - I'd rather diss Presidents,Dead or alive, bring em and I'll swing em,I vocalize, I just rap, I don't sing em,Flick em, and I fling em, you can go with em,Hall of Fame for the game for the points I Dave Bing em,Go Grandmama, close but no cigar,I got mine, for I'm using my rhyme,The flow go wherever I want, and that's clever,Give a piece of my time, to prevent some crime,And who behind puttin the guns to the young ones,The ones that make em is the ones that take em,Rugged for no reason, down in duck season,I don't want my mama, on the street wearing armor,So check yaself before ya wreck yaself,Respect yaself, hah, you got ta give it up,Chorus (4X) (fades out)
,
,
",Public Enemy:Give It Up
,Public Enemy,"Yo another day,Another 49 cents,Mr., Mr., why you always tryin to take all our money,Because I am the government,And you have to pay,Stop tryin to take our money,Yo, you gotta bust this,We want justice,From public enemy number one,To cant trust this,Like F Jim or Hyatt,Because we're sick and fuckin tired,Of being mistreated by the undefeated,Power to the seat that cant be beat,Probably gone is the head that make Clinton defeat,Do all the talkin,Plus crooked walkin,Blind to the fact,That the enemy is stalking,Ways for days,Search United States quite,Were not a full power,Cause the racial riot,In my neighborhood,We attempt to kill each other,Politics said fuck power to the brother,Be strong be righteous,Dont be no sinister,I got the word from bro. minister (minister),Farrakhan speaks,And so does Muhammad,The days of Ramagon is,Protect you can harm it,My statement is the fact,To the highest degrees,Flavor works this style, yo cant touch me,What kind of power we got,Soul power              (8X),Bring it on (I know you got soul),Goin on it get it,Gotta get it on,Goin on it get it,Gonna get it on         (4X),Yo, some seek stardom,And forgot all about Harlem,Yo, fugess,Rock the house!,Now I dont know,But tell me what you gonna do,When the ending of time comes near,What ever you do,It's gotta be funky,I am not tryin,To put your life in full of fear,By the favor skies,We are flying,Truth we be buying,To buy out all the lying,How you livin,Were you livin,Were you livin,It aint got to be like that,By doing the givin,It was your own choice,Scratched up your Rolls Royce,Every dum friend you had,Was glad to rejoice,And turned into a nut,Trying to make the pockets fatter,One shoot in the head,Everybody scatter,The worlds gonna,Catch on fire,A funeral buyer,Is a hard heads people desire,Every night you tryer,You turn into a cryer,Who was just in bed,Thinkin higher, higher,Friends will always move,Till you get the bob wire,Ever common law gets a flat tire,What kind a power we got,Soul power              (4X),What kind a power you got,Soul power              (2X),What kind a power we got,Soul power,Take me on,Goin on it get it,Gotta get it on,Goin on it get it,Gonna get in on         (4X),You check this out,My partner Chuck D,Got all the ozs of knowledge, wisdom and understanding,A, yo Chuck,Let 'em know why you the,Prophet of rap,Kick that shit Chuck,Some people, people,Dont like the way Flavor walk,Come on we want all the people to check it,Out and listen to it good listen to the man,That's my partner partner,Some people, people,Don't like the way the Flavor Flav talk,But ladies and gentlemen,I like for you to know,This my main man throwing down,What kind a power we got,Soul power,What kind a power you want now,Soul power,What kind a power need now,Soul power,What kind a power you got now,Soul power,Know you gots to have it,Soul power,I check the soul,And you want some,Soul power,What kind a power we got now,Soul power,Now I know you got soul ya'll,Soul power,What kind a power we got ya'll,Soul power,Yeah!!!!!,I know the Flava got soul,I know you gotta have soul,What kinda power you got ya'll,What kinda power we need ya'll,Of course I know you got Flava,And the Flava got soul,What kind a power we got,Soul power,No cursing,Only versing,And if it aint better,Then we make it worsen,All that!!!!,Rock the house ya'll,Come on!
,
,
",Public Enemy:What Kind Of Power We Got?
"Yo! Bum Rush the Show (1987),Greatest Misses (1992)",Public Enemy,"Ooh Chuck, they outta get us man,Yo, we gotta dust these boys off,In this corner with the 98,Subject of suckers object of hate,Who's the one some think is great,I'm that one, son of a gun,Drivin' by, wavin' my fist,Makin' 'em mad when I'm goin' like this,Top gun, never on the run,They know not to come cause they all get some,Goin' quicker in the speedin' lane,Jealous can't do it and it's causin' them pain,Out the window, middle finger for all,Jealous at my ride, stereo and blackwalls,Suckers got the nerve and gall,To talk 'bout my car when they're walkin' tall,Pullin' away, every day,Leavin' you in the dust,So you know I get paid, on the mile ego trip,And 5-o tailin' on my tip,Watch me burn rubber, fall in my flame,This episode always is the same,Seein' no comp comin' like I'm blind,All left back, tailin' my behind,I go faster cops try to shoot me,They'll get theirs when they try to get me,I'll let go, my turbo,Run, I'm in the river cause they're movin' too slow,Laughin' hard at their attempt,So what if the judge charged me contempt,I'd rub my boomerang, feelin' proud,And I wouldn't even hear them cause my radio's loud,Cruisin' down the boulevard,treated like a superstar,You know the time so don't look hard,Get with it, the ultimate homeboy car,All you suckers in the other ride,When I'm comin' get to the side,My 98 is tough to chase,If you're on my tail, better watch my face,Smoke is comin' when I burn,Rubber when my wheels turn,Tinted windows, super bad,Lookin' like the car the Green Hornet had,It's the reason I'm ahead of the pack,It's the reason I left them back,It's the reason all the people say,My 98-O blows 'em all away,Understand, I don't drive drunk,My 98's fly, I don't drive no junk,No cop gotta a right to call me a punk,Take his ticket, go to hell and stick it,Pull me on a kick but, line up, times up,This government needs a tune up,I don't even know what happenin', what's up,Gun in my chest, I'm under arrest,Sidewalk suckered wanted to spill me,So I got my crew and posse,Step outside, got in my ride,Drove them around, looked around town,Caught I'm out there cold, ran I'm over and down,They didn't get me, that's the truth,Cause my 98-O is bullet proof
,
,
",Public Enemy:You're Gonna Get Yours
,,,
Greatest Misses (1992),Public Enemy,"(Flav) Yo Chuck where you at G??,I think he went upstairs y'know,(DJ) A very furious mixture of noise,What Public Enemy producer Hank Shocklee calls,music's worst nightmare,""Hey, he's a good kid"",(Chuck D) Air Hoodlum (repeat 2X),(Tony D) Check check, check the elevation (repeat 4X),""A player, that can leap, with the best of them"",Verse One:,Risin up in the 'Velt, Strong Island, New York,The hood in case you did not know my base,There was a ballplayer who had all the skills,wit the pill to pay the piper, plus all the bills,Mick his first name, Mack the awesome game,Practiced in the heat, in the rain or in pain,Mick so quick, at six foot six,Down to be picked by anyone but the Celtics,Oh what a handle could score from the floor,with people bangin on him, or even hangin on him,But what he did best, above all the rest was...,""A player that can leap, with the best of them"",""As a high school standout..."",""The skywalker himself!"",""I felt, he could do, to make this an effective basketball team"",Verse Two:,Grades nine and ten, Mickey Mack was all that,but in class his ass sat way in the back,How I know, cause I know, I used to flow wit the bro,He didn't mind I used to read him his own headline,Cause he could not read em his school wouldn't need em,if the lines wouldn'ta went like this,Mickey Mack jumped over the candlestick,His stack was his stats but his D was still wack,Grades eleven and twelve he found the wrong clientele and all,During class, he would dribble in the hall,But never got in trouble in school, but the trouble was,it was cool if your brain was just another bubble,As long as he could score fiddy-two,get thirty-three rebounds, fuckin around,Temas lost to him he went right through em,Division, county, state, that's three count em,championships for a small town bro,That's bound to go pro,""He gets free, turn on the jumper, good!"",""Streak of lightning when he breaks loose..."",""We all felt in our hearts we could win this ballgame"",""They just required me to have the game that I did,I'm just... that's all I that's all I that's all I can say"",""That's all I can say"",""He hauled down fifteeen rebounds, and kept the ball away from everybody"",""Then he had a triple double!"",""A-a-a sensational player..."",Verse Three:,SAT's didn't matter cause he was all that,You know the pat on the back,He was always in the news you gotta know what it means,it means revenue, and I'm tellin you,I saw cars and G's come to our school please,approach Hell with the principal, where's the coach,Went to college four years wit a scholarship...,...and won the championship,But when it came to his life he didn't care...,...cause he took it to the air,""Cross and a hook, he scores, he's fouled!"",""From the far corner, breaks West and here's the jumper, good!!"",""There's the jumper, it's not gonna go, rebound batted back..."",(Chuck D) Air,Verse Four:,The fall began when Mickey Mack fell,Hell ripped his kneee drafted last by personnel,Oh how he loved the game, it was fantastic,until he was cut, and couldn't stick,Times got tighter and tighter,he had an attitude was rude, so he turned into a fighter,School wouldn't give him the job that he needed,Assistant to the assistant coach, they didn't need it,Then he resorted to a stick up kid,Ski-mask and gat, but this game he wasn't good at,And the drugs on the side,police ambushed his ride *gunfire* another homicide,He was over, ghost y'know,Hometown hero, but now a zero,To those hypocrites who ripped him blind,for his skills without the will to develop his mind,Forever in the news the community views him,only as Air Hoodlum,""I don't understand it, the kid coulda been another Jordan!""
,
,
",Public Enemy:Air Hoodlum
Muse Sick-n-Hour Mess Age (1994),Public Enemy,"Whole lotta love goin on,In da middle of what? ,Say what? ,What's goin on? ,I leave em home alone,Dey turned into danger zones,Studio shootouts, leavin no doubt,In da eyes of the wise,About the other guys,Fantasi n gettin nat rep,Makin you move,While they disturb the groove,Now the partys over ooops!,Outta time,Yo my brother can you spare a crime,Some wanna take me out,I even call em my own,(can't we all just get along? ),Rap iz a contact sport,Can I get support,When I hum to da maximum,What I talk is straight,From da sidewalk strong,The velt new york,112 beatz a minute,An I'm flowin in it,Have no mercy,On da ones that curse me,And when I'm in da paint,The feuding might be over,But the fussin aint,Some hate the way I say em,Cause I block em like,Zo to da am,Beginning of an end of an error,Incredible shrinking race,Fiend without a face,Still got love for em,But some ain't got love,For the rest of us,So my boys get iller than,Illinois (terminator),Return to da noise,I'd rather fall off,Than fall victim of crime,And a low percentage rhyme,If I go down they goin wit me,So come and get me...c'mon
,
,
",Public Enemy:Whole Lotta Love Goin On In The Middle Of Hell
,Public Enemy,"It's overtime,So the lyric,They fear it,When they hear it,The flow,100 miles and runnin,Get near it,And go,Check it out,Go,To the race,Give the drummer a taste,The bass iz commin commin,Suckas runnin from it,Damn, why you call him,The man,Here I am scramm,Never ran,Never fight the black,From Iraq,Or Iran,Who bombed Japan,Blood on his hands,Part of a plan,He don't really believe,In uhh! God damn,If it comes down to shuttin,Them down,I'm in the hood surrounded,Tell em I'm grounded,I'm on that psycho analytical,Tip if politics iz stickin to,The mix,Like tricks,I'm one more time givin time,Where the rhyme go,Elite to the street,To the brothas doin death row,So where ya at,If the beat ain't fat,Say what,C'mon,And get some,Rattle rattle,Kiss and I hum,Come can you,Get it on the one,C'mon pick it up,pick it at,pack it at,pack it up,To the black,Who be talkin,Where they at,Where they at,Wicked wild,Feelin irie,Not sorry,Get it see it written down in a diary,Same say fuck all dat,Political shit,But wanna get paid when,Their brains in the second grade,Nowhere to run/here they come come,Nowhere to run/here they come come,I'm a fan first,I reverse another trick verse,To the point,Where I can rock dis funky joint,In the brain game, I'm keepin my head clear,In 33 years so what,I never had a beer,I don't know what I'm missin,I'm not dissin,But I know I ain't ass kissin,Time to draw the line,This time the rhyme,Got da good guy goin gettin da nine,Cause I know the hoody,Got it good wit the hitman,Can I get a hitman,Know I'm duckin nat quicksand,The funky automatic,Handlin static,Sellin out I ain't good at it,& when I got bumbed,I'm gonna open up,Hitt em up stone to da bone,But it ain't gotta be like that,And thats that,Can u tell me yall...what,All in wit the law,They fall in,The great white hole where they,Be sellin their soul,Never get enough,They be talkin dat roughneck shit,Be comin they quit,Fuck dat blood iz ticker,Than water shit,That shit iz counterfeit,Devil go where da shoe fit,Black mans law iz raw like Africa,You violate,Were comin after ya,They're here
,
,
",Public Enemy:What Side You On?
Muse Sick-n-Hour Mess Age (1994),Public Enemy,"Full fledgin never sat on my legend,No shuffle or shoulder shruggin,Uncle Tommin nickel and dime rhymin,This renegade rippin,Rugged tracks I love it,Sorta black owned,Like da denver nuggets,Pow pow,The original,Harder hitter,Is back in black,On deck wit a turtleneck,Uh ha you can drink,All you want,But hard don't make,Da liquid matter you intake,The logical,Sorta psychological,Brother like butter spread to one,Another,Thicker da blunt and got sicker,Once upon a rhyme all bigger,Meant was for bigga cotton picker,Leave alone,The men from the mice,Who twice packs da gatt,Turn into dirty ratts,I'm comin wit the antidote, I hope they cope,To da rhythm I wrote,Pawns in da game,Goin down da drain,Final call to my race in pain
,
,
",Public Enemy:Stop In The Name...
Muse Sick-n-Hour Mess Age (1994),Public Enemy,"Huffed and he puffed,Huffed and he puffed,Blew tha house down,Now how dat sound,Never no never,Give up gotta gotta live up,To my name,Triple double in da rap game,Cause I ain't goin niggatronic,Smart enough to know I ain't bionic,Wit my main man Harry,Not Connick,Rather rap my black ass off,Getcha hooked on phonics,Good enough to know no endo,Thru it out tha window,Along wit tha Super Nintendo,I'm a strict daddy,Got dat right,God damn right,But have a good time/Dyn-o-mite,It's just that I don't talk,That same ol crap (shit),Cause Papa got a brand new,Bag fulla rap (hitz),The world don't work no more no more,The world won't work no more,Ain't gonna work no more no more,My main knick knack paddy wack,C'mon and give a damn,Confrontational man,Is what I am,Is what I am,I'm tearin down da house that Jack built,Cause he killt whoever he wanted and hunted,And tax the backs of the environment macks,Who plan in da silence of the skams,A world dat won't work,No more/no more,Mother earth gets treated like a whore,And he doeth great wonders,So that he maketh fire come,Down from heaven on the earth,In sight of men,Toms to the left of me,Bombin to the right,World good night,He got destruction,In his appetite,On a platter a planet,To him it doesn't matter,3-2 at the plate,Up go the greedy batter,Environmental alarm,To all not some,Good God,'Cause we don't get two of em,I was told that oil and water don't mix,But the new world order,Got a disorder,And so I diss,Cuss my disgust,If I must,One earth is da birth outta all of us,And so I diss,After the math,Disaster wit a European autograph,Gonna be bedlam,If he spread em,Da trigga is cocked,Nowhere to flock,Gonna be bedlam,If he spread em,Pass da word,F what you heard,Gonna be bedlam,If he spread em,Glock is cocked,Now drop da props,Gonna be bedlam,If we spread em,The day the whole world couldn't do it,Repent,Oh no!,Check the preacher what he spent,One way ticket to God to fix scars,Woman and man runnin the land, sea and air poor,Do we all go the way of the dinosaur? or,To hell and back attack,The new clear fog got us sniffin like,Atomic dogs,Pocket fulla pimp daddy moves,Put a code on a can,Whatta hell of a man, shootin,Trigga pollution, planet prostitution,Uprootin da third,We go to the way of the bird,Can't do whatcha want to da place,Don't waste my place,Where you from?,We only got one
,
,
",Public Enemy:Bedlam 13:13
