album,artist,lyrics,title
,Queen Latifah,"It's a fact I'll attest to, mess around and I'll arrest you,I ain't playing, you know what I'm saying?,This ain't the best you've ever hear coming from a female MC,But you know what I mean? (Hail to the Queen!),This MC stands for ""Microphone Commando"",When I command that you take a hand,And throw it up in the air, yeah, just like that now,Chill, and watch me rap cause I'm flowing (Flowing),Just like water I slaughter (Slaughter),A battle, put me in it, I win it,The mission is music and rhythm,Rhythm backed by words, all in my system,System by techniques, techniques I got my heart in,Heart into the music, music I take part in,One try, one God, and one destiny,Just dance for me
,
,
",Queen Latifah:Dance For Me
The Dana Owens Album (2004),Queen Latifah,"Music play,Something dreamy for dancing,While we're here romancing,It's love's holiday,And Love will be our guide,Close your eyes,When you open them dear,I'll be right hear by your side,So...,Close your eyes,Rest your head on my shoulder and sleep,Close your eyes,And I will close mine,Close your eyes,Let's pretend that we're both counting sheep,Close your eyes,This is divine,Music play,Something dreamy for dancing,While were here romancing,It's love's holiday,And Love will be our guide,Close your eyes,When you open them dear,I'll be near by your side,So won't you close your eyes...
,
,
",Queen Latifah:Close Your Eyes
The Dana Owens Album (2004),Queen Latifah,"(Shoo-bop, shoo-bop, my baby),(Shoo-bop, shoo-bop),Hello, stranger,(ooh) It seems so good to see you back again,How long has it been?,(ooh, seems like a mighty long time),(shoo-bop, shoo-bop, my baby, ooh),It seems like a mighty long time,Oh-uh-oh, I my, my, my, m,I'm so glad,You stopped by to say ""hello"" to me,Remember that's the way it used to be,Ooh, it seems like a mighty long time,(shoo-bop, shoo-bop, my baby, ooh),It seems like a mighty long time
,
,
",Queen Latifah:Hello Stranger
The Dana Owens Album (2004),Queen Latifah,"All the leaves are brown and the sky is grey,I went for a walk on a winter day.,I'd feel so safe and warm if I was in L.A. ,California dreaming on such a winters day. ,I stopped into a church(yes i did),I passed along the way. ,I got down on my knees(down on my knees) ,And I pretended to pray. ,You know the preachers he likes it cold, ,So he knows I'm gonna stay(he knows I'm gonna stay). ,California dreaming on such a winters day.(ohh oh yeah),All the leaves are brown and the sky is so grey. I went for a walk on a cold winter's day(yeah). I'd feel so safe and warm if I was in L.A.(in L.A.). But I'm California dreaming on such a winter's day. ,California dreaming(on such a winter's day),California dreaming(on such a winter's day) ,California, California Dreamin',California Dreamin'(a place that's for me, mmmmmhhhhh),I know it's just a dream ,Dream on ,California Dreamin'
,
,
",Queen Latifah:California Dreamin'
The Dana Owens Album (2004),Queen Latifah,"My baby, she may not look,Like one of those bunnies out of the Playboy book,Well, I'm sorry bout that, Mr. Williams,But she's got something,,Johnny, much greater than gold,Well, now what's that?,I'm crazy 'bout that girl,,She's got so much soul,She's got the kind of loving, kissin' and a-huggin',Sure is mellow, glad that I'm her fellow,And I know that she knocks me off my feet,Have mercy on me!,'Cause she knocks me off my feet,Can you dig it?,There is no girl in the whole world,That can love me like you do - ow!,Tell 'em bout it, Watson,My baby now, when she walks by,All the fellows go, and I know why,Have mercy, just look at her walk,It's simply because that girl, she walks so fine,And if she ever leave me, I will lose my mind,Because she's got the kind of lovin',,Kissin' and a-huggin',Sure is mellow, glad that I'm her fellow,And I know that she knocks me off my feet,Have mercy on me!,'Cause she knocks me off my feet,I'd better tell 'em one more thing,There is no girl in the whole world,That can love me like you do,Ow, tell 'em bout it, Mr. Williams,Now everybody in my neighborhood,An' that's what's grooving me,Will testify that my girl, she looks so good,Well, let me tell you something else right here,She looks so fine, she give eyesight to the blind,Help 'em to make 'em see,And if she ever leave me, I will lose my mind,Because she's got the kind of lovin',,Kissin' and a-huggin',Sure is mellow, glad that I'm her fellow,And I know that she knocks me off my feet,Have mercy on me!,'Cause she knocks me off my feet,Can you dig it?,There is no girl in the whole world,That can love me like you do,Mercy, mercy, mercy!
,
,
","Queen Latifah:Mercy, Mercy, Mercy"
The Dana Owens Album (2004),Queen Latifah,"Close your eyes,And rest your tired body next to mine,Nobody knows more than you,These hard times that we're living through,But Baby we'll go on and on,Hey) Lord knows, we've got each other,So kiss me, kiss me hard and long,Hard times, we can get over (Yeah),Now the sun, (yeah) it must rise,And she's coming with a bag of tricks, ,With treats and dirty lies,Nobody smiles, nobody cries,And no one seems to care if they live or die,But Baby we'll go on and on,Lord knows, Lord knows we have got each other (Yeah),So come on and kiss me, kiss me hard and long,(Ooh) Hard times, we can get over,Ballots and boxes, bullets and guns,And the outlaw, the outlaw always runs and runs,(Yeah he does),But Baby, just you come, come to me,Come to me, come to me, come to me, Baby,(When) Whenever you need me,So kiss me hard,Lay some kisses on me baby 'cause I need you and you know,That these hard times, we can get over
,
,
",Queen Latifah:Hard Times
The Dana Owens Album (2004),Queen Latifah,"If I gave you my love,,I tell you what I'd do,I'd expect a whole lotta love outta you,You gotta be good to me,I'm gonna be good to you,There's a whole lotta things you and I,Could do,Hey hey,Hey hey hey,Simply beautiful simply beautiful simply,Beautiful,Simply beautiful simply beautiful simply,Beauti..,Simply beautiful,Simply beautiful,Simply beautiful,Simply beautiful,What about the way you love me,And the way you squeeze me,Hey,Hey simply beautiful hey,And you get right down it,And the love is getting you through it,Simply beautiful
,
,
",Queen Latifah:Simply Beautiful
The Dana Owens Album (2004),Queen Latifah,"(Guy) There I go, there I go, there I go ,There I go... ,Pretty baby, you are the soul who snaps my control ,Such a funny thing but every time you're near me ,I never can behave ,You give me a smile and then I'm wrapped up in your magic ,There's music all around me, crazy music ,Music that keeps calling me so very close to you ,Turns me your slave ,Come and do with me any little thing you want to ,Anything baby, just let me get next to you ,Am I insane or do I really see heaven in your eyes? ,Bright as stars that shine up above you in the clear blue skies ,How I worry about you ,Just can't live my life without you ,Baby come here, don't have no fear ,Oh, is there a wonder why ,I'm really feeling in the mood for love? ,So tell me why stop to think ,About this weather, my dear? ,This little dream might fade away ,There I go talking out of my head again, oh baby ,Won't you come and put our two hearts together? ,That would make me strong and brave ,Oh when we are one, I'm not afraid, I'm not afraid ,If there's a cloud up above us ,Go on and let it rain ,I'm sure our love together will endure a hurricane ,Oh my baby ,Won't you please let me love you ,And give a relief from this awful misery? ,(Girl/ Backup Singer) What is all this talk about loving me, my sweet? ,I am not afraid, not anymore, not like before ,Can't you understand me? ,Now baby, please pull yourself together, do it soon ,My soul's on fire, come on and take me ,I'll be what you make me, my darling, my sweet ,(Guy) Oh baby, you make me feel so good ,Let me take you by the hand ,Come let us visit out there ,In that new promised land ,Maybe there we can find ,A good place to use a loving state of mind ,I'm so tired of being without ,And never knowing what love's about... ,James Moody, you can come on in man ,And you can blow now if you want to ,(Guy & Girl/ Guy & Backup Singer/ Both) We're through.
,
,
",Queen Latifah:Moody's Mood For Love
The Dana Owens Album (2004),Queen Latifah,"Come on now, I'm the one you love,I'm the one you can't breathe without remember,Why you wanna make me cry like this?,Why is you wanna make me cry?,Why me?,Your love is like a chunk of gold,Hard to gain, hard to hold,Like a rose that's soft to touch,Love has gone and it hurts so much,Well then why...,Must the same love that made me laugh, make me cry?,Well now you think of love as sitting on a mountain,Think about it being a great big rock,Won't you think before you started to roll it down,Because once you start it, you can't make it stop,I've given all I have to give,And if you don't want me, baby,I don't want to live,Well then why...,Oh, why,Must the same love that made me laugh, gon make me cry?,Why you wanna make me cry? [5x],Why you wanna make me lay in my pillow,I'm just cryin' like a weeping willow,Tell me why, oh, why, oh, why,Why you wanna go home and make your lady cry,You use to be so soft and sweet to me,And now you act so wrong and mean to me,Now you get so wrong and mean to me,Why, oh, why, oh, why,Oh, why you wanna mess my pillow,You got me cryin' like a weeping willow,Wanna make me cry,Oh, why, oh, why,Why why why why,Why, oh, why, oh, why ,Why, oh, why, oh, why,Why, oh, why, oh, why,Why, oh, why, oh, why,Ooh, why
,
,
",Queen Latifah:The Same Love That Made Me Laugh
The Dana Owens Album (2004),Queen Latifah,"I put a spell on you, yeah,Because you're mine ,Oh baby, baby, baby, baby, baby,You better stop the things you do, hey,I ain't lying no I ain't lying ,You know I can't stand it,You running around, you know better baby,I can't stand 'cause you put me down,I put a spell on you,'cause you're mine,Come on now Herbie. Come on dig in baby,Come on now dig in, dig in babe,You can't leave me baby for I love you, I love you, I love you,Oh I love you anyhow,And I don't care if you don't want me,I'm your's right now hear me,I put a spell on you ay ye hey,I put a spell on you,Oh do you hear me now I put a spell on you hey,Because you're... you're mine yeah,Mine ,Spoken ,You're mine baby,Because you're mine
,
,
",Queen Latifah:I Put A Spell On You
