album,artist,lyrics,title
,,,
,,,
,Rakim,"[interviewer, possibly Harry Allen],What are you giving them back?,[Rakim],Umm, I think what I'm givin them back man is umm...,what they been waitin for yaknahmean?  Umm...,SKILLS
,
,
",Rakim:Intro
,,,
,Rakim,"Uh?..I got it good (Neyo),I put product in the street that sell quicker than weed, I spit it raw like I?m flippin a key ,I got what y?all need (Satisfaction Guaranteed),I got what y?all need (Satisfaction Guaranteed),I got pure for the fiends give u more than a breeze, thru ya blood stream quicker than D, ,I got what y?all need (Satisfaction Guaranteed),I got what y?all need (Satisfaction Guaranteed),Uh, its what they been waitin for??,I put the whole world in a dope fiend and still leaning, a many years away from the game they still fiendin,My hustle and flow, sound like C-notes, smoke like a pound hit the town like key-notes ,I bag it up and get it crackin in clubs, go on tours like I?m trafficking drugs,(I got what y?all need),Who want musical narcotics, they all got it, bomb product will sure profit when y?all cop it,Any hood or any city I?m pumpin in, any slum I?m in, my custom is come again,Spit flow by the boatload like a Columbian, my shipments go out then bring the money in,Like supplies the product than do the pra bricks, go out my way, so biters can?t dupe what I spit,Like Freddy told Priest in that superfly flick, playa u always got some superfly shhhhhh,Chorus,Uh, It ain't a city I ain?t moving weed in, the world wonder my product got em hallucinating ,Droppin heaviest rhymes known, to every minds flown, keep it poppin until its clockin in every time zone,Uh, time is money, my grind is hungry, it?s for my dudes and my dime honeys ,(I got what y?all need),Things run up in it mass where I been, nothing get em high as a bag of Rakim,I?m red like Canadian, cuss wit a Opium touch a fat piece of hash, seen soap with some dust,I got it so good, I got the whole hood smoking it, coke cookers kill for the flow to cook coke in it,The new form of crack, turn fans to fanatics hip hop hands to attacks fiends hit off that ,DJ?s cut it, let the streets step on that, still a hundred percent pure King Heron?s back,Chorus,I got a bout a million Mami?s that call me they ex love cuz I kept em ex thug and F?d up like sex drugs,They never come down futuristic high; I leave em, spaced out so they can kiss the sky,Its like Budda, Mami?s say, man is he blessed Pac to push a man in a vest,They won?t relapse no indeed he?s back, my rap flow natural aphrodisiac ,I?m a key to a user, piano to a dealer, liquor to a alcoholic to smokers a piff of chocolate ,The gospel, for the ghetto so spit the gossip, is he Moses to drugs, either way it?s a profit,Call me your drug lord, spit commandments you hooked, it?s the King pin every day I get a book,Playing my surveillance tapes, I'm hot on the streets, even cops on the beat they call copping the heat,Chorus 2X,(Neyo)
,
,
",Rakim:Satisfaction Guaranteed
,Rakim,"(Rakim),Ay, yo this right here man, its like the documentary of a gangsta man, the rise and fall,Hook,(IQ),How them boys gon' play me? They must be crazy, baby, oh you better pay me,(Rakim),I aint playin wit yall,(IQ),How them actors gon' act up, like I aint got back up, back up 'for you get smacked up,(Rakim),Where my paper man?,(IQ),Why they wanna play games with me? But they don't know that im crazy,(Rakim),Don't make me kill someone.,(IQ),I don't know what they thinking, they must've been drinkin.,(Rakim),But what?,(IQ),I'm that king pin,(Rakim),He said slow papers, you're out oh.,It's like spittin', heresy is all about flow,Like he can't eat his cake and he starve when the count low,He call the lab the bakery, he all about dough,Stuffin' bread, his pockets is hungry,You talkin' nonsense, unless the topic is money,He call a hundred dollars a hunny, mommy's he call 'em dimes,So his mind's on his money, but mommy's is on his mind,Like a o.g. focused on the come-up,,Think he f-in around? He approachin' with the gun-up (bam),Roll a blunt up and forget it happened,Stash the dollars, bag the product and get it crackin',He get pies, he flippin' 'em tricks, he trickin' 'em,He call 'em heifers, he hugh heffin' 'em, he pimpin' 'em (where my money),Fonzie, getting them ones for the connect,So have them ones correct when he come and collect (here he come),Hook (IQ),(Rakim),That sound like blood money,And I ain't just talking double dubs and club money,I'm talking drug money, move out the hood money,Double up money, you could catch a slug money,This kid'll murder you, more than the business,If you livin' for revenue its principal never personal,Get rid of you if you blockin' the bigger picture,He on the block thinkin' a gwop is gettin' richer (get them ones),He flipped some urban blue, played with them keys,For them c-notes, so he can handle the whole piano,Hammers unloadin' ammo, if his army ain't in harmony,He kill his own fam-o, like tony soprano,He's tryin' to take it from minor to major and grind for the caper,His mind is made up, he'll die for the paper,Crime is second nature when you love cash,Do 'em dirty, he turned the ave into a blood bath (here he come),Hook (IQ),(Rakim),The heater bustin' mean the reaper comin',Drug money keep him buggin' out the trees he puffin',Streets is buzzin' bout the repercussion,But he so much in love with his bread, the beef is nothin' (ain't nothin' man),He got medals for war, just like a veteran,But now he bringin' cheddar in, more than he ever been,,Banked up, he stepped his hustle - pimp, smoke, coke, crack,Heroin game up, American gangsta (uh huh),Sleep with the fish while he ran the loot and,You like ballin? He like stealin' and shootin',Comrades, customers, competition connect (don't matter),Some hustlers is wishin' and plottin' the day of his death (bring it on man),What's his focus? Keys is.,Even with karma catchin' up, it's hard to set him up, he always holdin' heaters (whoa),But yo, they know his weakness, so they gave that bread to him,Somebody put a gun to his head, guess what he said to 'em?,Hook (IQ)
,
,
",Rakim:Documentary Of A Gangsta
,Rakim,"Holy are you,Holy are you,There is no God but you (ah huh),There is no God but you,(I need to talk to yall for a minute),Praised be the Lord,(And be serious for a minute),Holy are you (here it is),Holy are you,There is no God but you,There is no God but you (Rakim Allah),There is no God (G-O-D, the God MC),Praised be the Lord (Yeah),For those who find it hard to believe, and it is,Why they call me the God MC, the lyricist,Trace this style to the roots from Genesis,The world wonder, of still standing like pyramids,Design so vivid, every brick it got a story to tell,My rhyme flow different like a hieroglyphic,Mind prolific, infinite, like mathematic,The first language, now add that, and add graphics (Go 'head),Then go let the blocks know it's the gospel,Lifes new manual, so watch close,The new Michaelangelo or Pablo Picasso,Prepared to show you the cosmos and rhyme flows,Even my lyrical metaphysical,What this will do is help you get to your spiritual pinnacle,You find your mind too far-fetched for it to fathom,I bring the darkness to the light, split the atom,It's like watching the big bang theory emerge,I take titles, bond them to reveal new words,They want a clear view,From the farthest and the darkest corners in the universe,To a corner near you,A pharaoh in ghetto apparel, stay blinged up,Fort Knox display, a modern day King Tut,Wrapped tight, rap like I've been preserved in time,Spit the holy water, then touch it and turn it to wine,It's the God,Holy are you,Holy are you,There is no God but you (I, I am the Alpha and Omega),There is no God but you (you are not what you heard),Praised be the Lord (you don't even know what you once were),We were children of the most high, so we fell,From paradise to holy hell,Probably descendants of the Holy Grail,Another part of history they won't reveal,Times'll only tell,You waiting for Judgment? It came,In the form of a thug in the game,To create a strong position, there's blood in my vein,The chemical is identical, we one and the same,With seven letters in all three of my government names,Walk on water? Nah, neither did Jesus,Its a parable to make followers and readers believers,From Egypt to Budapest, Rakim is the truest left,Understand the Scriptures like the minister Louis F,I told you who God is, you ignored me like most the prophets,Jesus, Solomon, Abraham, Moses and Muhammad,I showed the scholars, we'll fulfill the broken promise,I spit this truth to predict the future like Nostradamus,Like Revelations, I'm hoping my quotes reveal,The seven spirits of God when I open the seal,Interpret the holy Quran, these flows will guide you,Translate the Torah, and decode the Bible,Warn the elders in the mosques, masons, and the law,The seven churches, the synagogues, it's the Renaissance,Skin is bronze, like the Messiah,Rakim Allah's 'bout to reveal a bigger secret than time and the God,Holy are you,Holy are you,There is no God but you (I want to challenge you),There is no God but you (and soon I will challenge the talents of the Lord),Praised be the Lord (I, I am the Alpha and Omega),Rakim Allah ,Peace
,
,
",Rakim:Holy Are U
,Rakim,"[Intro - Rakim - talking] In the words of the late, great Martin Luther King ""How long? Not long"" ... Won't be long, uh huh Uh, uh Sing along [Chorus - Rakim] (Tracey Horton) - w/ ad libs (It won't be long, 'til the trouble and the struggle is gone The hustle make the struggle get gone) It's hard to make a move, we strugglin Everybody hate to lose but they love to win (It won't be long, 'til the world sings the words to our song That way we forever live on) Back on my grind, I'm hustlin It's just a matter of time and I'll come up again [Verse 1 - Rakim] They told me hustle never prolong But I got caught up in the struggle like a slow song (uh huh) 'Cause my love and respect for this is so strong I question the state of hip-hop (uh), major labels, etc. and so on (uh) The show'll go on, still fiend to get my blow on But if it's like this, then I might quit But hold on (uh), this can only go wrong but for so long (uh huh) Get right quick or I might flip Try to keep a tight lip, not to complain Ramblin, mind scramblin 'cause patience ain't blockin the pain (uh uh) Mic sick, lyrics is still locked in the brain (uh huh) Like Mike Vick sittin in jail watchin the game (uh) I wait 'til the day I can play my position (yeah) Or should I say the die I obey my addiction (uh huh) Then complete my legacy (uh) Without compromisin my artistic integrity (come on) [Chorus] - w/ ad libs [Verse 2 - Rakim] So when they ask where I go from here (go 'head) The road and the goal is clear (uh) but it's so severe (uh) Sometimes I feel like lettin go, I swear I had setbacks my whole career (straight y'all) Messin with my grind's like messin with my mind But yo, I'm still breathin, so I guess it's just a sign (uh huh) But it's meaning to the message in the lines (word up) Some things happen for a reason like a blessing in disguise But success was in my eyes, the shine was blindin me The fame, a little bit of change, it took some time to see The lesson for the wise, profit more Time to be a record and the prize was poppin off Finally I made a couple of moves, got my own label (got to get it) Me and a couple of dudes, we at the dope table (let's get that money) Took a oath to stay true, now it's an empire Put out the new Rakim album and it's fire [Chorus] - w/ ad libs [Verse 3 - Rakim] Feel like I'm back where I belong when I'm in the booth (uh) Produce and perform at my pinnacle (uh huh) Speak the truth in my songs and my interviews (the truth) For the youth and my dons and my women too (uh huh) Guap insisted, watch your business with a drama dunn (get that money) Hustlers is where we get persona from Gotta get it, not just wish a dollar come We optimistic since Obama won But these days of recession We ain't safe yet (uh huh), pray, a paycheck away from the Great Depression (uh) Major stressin but we wait for blessings Long as the Federal Reserve still paper pressing I wrote the plot for gettin this cabbage in the hood Where the average cat can triple his status in the hood Don't stop, 'til we livin lavish in the hood I'm like Barack with The Stimulus Package in the hood [Chorus] - w/ ad libs [Outro - Tracey Horton] - w/ Rakim ad libs until fade It won't be long, 'til the trouble and the struggle is gone The hustle make the struggle get gone It won't be long, 'til the world sings the words to our song That way we forever live on
,
,
",Rakim:Won't Be Long
,Rakim,"Look what yall made me do ,Chorus:,This is your koran or bible ,To be a true emcee icon or idol,The contents you put in your songs are vital ,Like training for the ufc you want a title ,Slam thoughts on a canvas flip em and pin em metaphors and similes and synonyms in em ,Spit heat around the town the more you get it heard till you spit at 2000 miles before it hit a curve,Then flood your rhymes and your rap pages word play punch lines and catch phrases ,Heat sports with players and ballers new game street talk straight off the corners new slang ,I got heat for crowds for those that pursuit it ,Spitters i show you flow till your vocals are through it ,I m showing you freestyle just focus into it ,If you a gee ill show you how to cope when you do it,Chorus:,Forever sick like catching aids is ,In a class of greatness for magic phrases ,My predicates last for pages every letter fit trend setter like fashion statements ,My quotes get a shrine in the hood forever ,I wrote some of the illest rhymes ever put together ,Soon as i make em rappers take em analyze em for days and para phrase em ,Im back hip hoppers,I back my scripts and documents ,Raps hit the block its a wrap its the apocalypse ,The hood give my rap flow names like nine eleven and crack cocaine ,I hit the building it gets hotter in em ,Its like birds most rappers dont know how to flip em ,I got hip em get hop and show em how to spit em i bust a rhyme then i school em for for free i scholarship em ,Chorur:song  the competition know the deal your not ready now ,Because your dealing with the R know how its going down this is it  your so sick with your skills your flow goes right in you can kill rap ,Its hard since you can flip it isnt it bars its infinite so ra deliver it far different ,Hard lyric and part instruments start spitting the articulate yall rhythms get ,Till every syllable you drop is pivotal ,Its not original its not as memorable ,Ill lyrical till hes so popular they sick of you ,Pandemic a threat level five its critical ,Kill em off with a word like euthanasia ,Till it spread to the youth in asia ,In the booth im major my music monumental im a mogul ,You gonna make sense im gonna show you ,You got to put the life in them lines make the deaf hear sight to the make your flow tighter brighter design ,So if the mic is your grind then biting s a crime especially if a ghost writers writing your rhymes. ,Chorus : it don matter if i aint on the page ,You gonna tell me what you want ,I give it to you the way you want it show you how to flow and how to rip any phrase you you want you just keep your eye on me i show you how to emcee ,If its wack ordinary displays you want tell what you want i give it to you the way you want show you how to flow and how to rip any stage you on i can show you how to emcee like i got a degree
,
,
",Rakim:How To Emcee
,,,
