album,artist,lyrics,title
,Run-D.M.C.,"(Run),Can I get this?,Now DJ Run I run amuck and run to hit this,""Hit it Run!""  My name is Joe I need hoe,Can I get a witness (HOE!),And when I come you're lookin dumb,You say who did this (DID THIS) did this (DID THIS),Face you're lookin dumb on, hum could you HUM ON,Beats are droppin now and what and why and when and how,Drop it come on, come on, I got some on, my TIP,Get me up and goin for the vickie vickie VICK,Beefin through your teeth and what you see is what you GET,Suckers what you lack is what you lickie lickie LICK,Now off into esophagus that be coughin out a rhyme,Now some are dumb make fun of dem but Run and dem be kind,So come on, come on, got you swingin on my BO,Suckers seek my facial but you see I lay you LOW,I flow (FLOW) you know (KNOW) a pro (PRO) and so (SO),Let me get a hoe on the down-low ""God damn!!""
,
,
","Run-D.M.C.:Can I Get It, Yo"
Run-DMC (1984),Run-D.M.C.,"Hard times spreading just like the flu,Watch out homeboy, don't let it catch you,P-p-prices go up, don't let your pocket go down,When you got short money you're stuck on the ground,Turn around, get ready, keep your eye on the prize,And be on point for the future shock,Hard times,Hard times,Hard times are coming to your town,So stay alert, don't let them get you down,They tell you times are tough, you hear that times are hard,But when you work for that ace you know you pulled the right card,Hard times got our pockets all in chains,I'll tell you what, homeboy, it don't have my brain,All day I have to work at my peak,Because I need that dollar every day of the week,Hard times,Hard times can take you on a natural trip,So keep your balance, and don't you slip,Hard times is nothing new on me,I'm gonna use my strong mentality,Like the cream of the crop, like the crop of the cream,B-b-beating hard times, that is my theme,Hard times in life, hard times in death,I'm gonna keep on fighting to my very last breath,Hard times,Hard times,Hard times,Hard times,Hard times,Hard times,Hard times...
,
,
",Run-D.M.C.:Hard Times
,Run-D.M.C.," ,
,
,
",Run-D.M.C.:Come On Everybody
,Run-D.M.C.,"Reporters cry, producers die,,They wanna be down with the Kiiiiing!,(Chorus),The King, the King,,The King, the King, King,,The King, the King,,The King, the King, King,,The King, the King, King,,The King, the King,,Producers die, they wanna be down,,Wanna be down with the Kiiiiing!,(Run),Down with the King for years, about ten of 'em ,Recruitin' suckers, Mac and Mike, and makin' men of 'em ,Tears and fears for my peers, they rippin' ,You think that it is, it is, if not it isn't ,Race for the border my daughter, 'cause beats you're bangin' out ,Jeeps rockin' beats in the streets when there's time for hangin' out ,Gather, or rather form a circle around a loud ,'cause brothers or others could never ever rock a crowd ,Is it because he's runnin' off with the mouth ,or was he really clearly tryin' to play a nigga out ,Nope, shut him down, the King with a crown ,'cause all you wanna be is dicky down ,(Chorus) ,(C.L. Smooth) ,Two years ago, a friend of mine ,Asked me to say some MC rhymes ,So I said this rhyme I'm about to say ,The rhyme was 'Mecca' and it went this way ,Wrecka lecka mecca mic check on the windmill skill,Mac distracts, wearing Godfather hats ,It's okay to parlay to fortee better ,Tell 'em my nigga made a sweater tougher than leather ,Swing another Rodney King thing in our right ,but just like the white one I get no respect ,Money stay awake, 'cause them other niggas are fake ,from Hollis to the Becon, now your dumb ass is leakin' ,C.L. and Run DMC so rush it ,Big time way before Hammer got to touch it ,Remember the faces, in all types of places ,Look Ma, no shoelaces ,And I'm.... ,(Chorus) ,(DMC),You wanna be,,You wanna be,,You wanna be,,Check it!,I'm takin' the tours, I'm wreckin' the land ,I keep it hardcore because it's dope man ,These are the roughest toughest words I ever wrote down ,Not meant for a hoe like a slow jam, check it ,Sucka emcees could never swing with D ,Because of all the things that I bring with me ,Only G-O-D could be a King to me ,And if the G-O-D be in me, then a King I be ,The microphone is granted when it's handed to me ,I was planted on this planet and I plan to emcee ,The emcee fiends only seem to agree ,That I rock all the world and the society ,I rages on the stages with a tune of verse ,I get praises from these pages to the universe ,My voice is raw, my lyrics is law ,I keep it hardcore like you never saw ,You be wanna be!,(Chorus),You wanna be...,You wanna be...,You know you wanna be...,You wanna be...,You wanna be...,You wanna be... ,You know you wanna be...,You wanna be...,You wanna be C.L. Smooth,,Pete Rock,,One time.,(Pete Rock) ,I'm the man you see, in the place to be ,I went to John Jay University ,And since kindergarten I acquired the knowledge ,and after twelve grade I went straight to college ,Down with the Kings on the mic, a full swinger ,The P to the R, not an R&B singer ,The R to the U-N-D-MC'n ,The fly human beings, tonight I hold the key and ,Flowin' with the funk track, here to soul brother black ,pick up the bass, better yet leave a space ,So let me put my big black twinkie on in to the early mornin' ,Had skins yawnin' ,Mecca? (Yo!) ,You want the mecca? (Yo!) ,I'll make a funky beat so we can blow, check it out ,Pete Rock's the beat knock, put you in a headlock ,and now all the outty out flock is down with the king,(Chorus)
,
,
",Run-D.M.C.:Down With The King
,Run-D.M.C.,"livin in the.. livin in the.. livin in the.. livin in the ci-tayyyy!
,
,
",Run-D.M.C.:Livin' In The City
Back From Hell (1990),Run-D.M.C.,"(D.M.C.),And I say.. the brother's about to get naughty!,Rockin you on down.. to the last.. STOP!,(Run),See them on the corner, scheamin a scam,Makin plans beat the man that'll put him in ?amb's?,Cut for the loot to group, hit a troop or bank,No thanks to the brothers in blue,Freeze stay at ease, nigga get to your knees,Seen cash in the back, about a hundred G's,Step to the next, got a scam with checks,Cold stole a bankroll from plenty of ?? then,up to The Ave., a cab to the lab,to make a stop to drop off the money in the bag,and then send a friend that's been down,to do a job to rob a brother in town,Livin and givin a damn, two different things,The brother dig diamond rings,It's not about makin the money, but the money is taken,Shake em down, flip em out, then break em,He'll break a leg, to get the money,A diggy diggy don't forget he'll break a law, seen,Ain't a damn thing funny bout a nigga named Sonny,but the brother's about to get naughty
,
,
",Run-D.M.C.:Naughty
Back From Hell (1990),Run-D.M.C.,"[Jay],One two, one two, and I say,I go by the name of Jam Master Jay,And the Hollis Crew, we here to stay believe that,[D.M.C.],Hey, as we let the music play,Pay attention and listen as I mention,a recital of mic to speeches,From the book of the 40 Ounces,of the most powerful words ever spoken,[Run],Topsy-turvy, they try to serve me,Disturb me, curve me, boy they never heard me,Slammin, jammin, I be bammin,Makin takin breakin and rammin,Run got a beef with those that cold think that,Sun and the moon and soon you will drink that,wine for the rhyme that I'm, not a stink brat,Run havin fun my son, just where the ink's at,Up on the top I pop and drop, you feel,So low you go for Joe you know, what the deal,I might just strike tonight, and make you say,(Run ran the place with bass and bust boo-tay),Go check the clock I rock your jock so hard,Make you feel the deal is I'm top card,Come in my face and bass and I might just,And it's not n-n-not, n-n-not JUST ANOTHER GROOVE
,
,
",Run-D.M.C.:Not Just Another Groove
,Run-D.M.C.,"(D.M.C.),Groove to the sounds of Jam Master Jay,The high-potent, super-charged,spiritual lyrical miracle, of a man,Damn, you can't understand,the fulfillment, of the prophecy,The epitome, the legacy, of every MC,Understand, to be the man,you got to beat the man,Got somethin to say, let the music play,Groove to the sound of Jam Master Jay,It's the real, real deal,Don't you feel stupid?  Reel to reel, and we looped it,Takes it around, we threw the sound,Threw down, now scoop this!,Here we go, like back in the days,The true heroes, MC's, DJ's,The Hollis Crew, we rocked the spot,Fe-male grou-pies, they jock a lot,Ugly hoes jockin, don't give em no rap,Sack ?? or not, cause my posse's strapped,Don't deny us, the flyest guys in town,Punks, try us, you get beat down,The 40 Ounce Crew and Afros is in charge,We N.F.L. - that's Niggaz Fuckin large,and we drive big cars,Our entourage, is rollin hard,We don't play uh-uh no way,Groove to the sound of Jam Master Jay,Ah let's go now..,Ya don't stop..,You keep on and..,rock the house!,(Run),So slam for the jam, fast, if ya can,Damn I never ran, cause man I am,gonna keep the beat complete (complete),compete defeat (defeat), and serve suckers a seat!,And now you're lazy crazy, a daisy don't faze me,Here's my nine now raise me,Another vic to stick and lick so quick,You got your ass kicked now get off my dick,Pull up to the bumper baby,And kiss my motherfuckin ass!,(both),As we come, together, forever, whenever,The clever get better (better) so get yourself together,(Run),And listen to the rhymes I'm about to say,(D.M.C.),And groove to the sound of Jam Master Jay,Ah let's go now..,Ya don't stop..,You keep on and..,rock the house!,Now I kick a lyric live, rip rockin rhymes,A line on time, a fine design,All the girls, look my way,All on mines and they always say,,""D.M.C. - you look so cute,in your Carhart suits, and Adidas boots"",I'm not souped, I just troop,Loop the loop, for my crew,I hold the fort, fly rhymes I sport,I fought then brought you the knowledge you sought,So listen good, and listen well,cause I +Raise Hell+ with the stories I tell,which I say and play, day by day,when I groove to the sounds of Jam Master Jay,So let's go now..,Ya don't stop..,You keep on and..,rock the house!,And aiyyo!  I just wanna shout out to my home-BRO, from Tokyo!,And check this out, if you're a critic, you can get the DIDDICK,just because I pop a lot of SHITTIT,All the way, to L.A.,And to my homeboys, Ladi Dadi,I just wanna know, why you rock it so hard,And to the Hollis Crew, the 40 Ounce Crew,and the Afros too, just wanna let you know,,this is what we love, TO DO!,(Yeahhhh babyee) AUGGGH!
,
,
",Run-D.M.C.:Groove To The Sound
Back From Hell (1990),Run-D.M.C.," ,
,
,
",Run-D.M.C.:Word Is Born
Back From Hell (1990),Run-D.M.C.,"(Run),As I proceed indeed to take the lead with speed,All the suckers'll back off and fall,But this is the hype I like and the type of mic,You wanna fight?  Just gimme a call,I'm going to breeze..,(D.M.C.),.. past the other MC's,And D's rhymes'll flow like water,The wind, the rain, the hurricane, it's all the same,With rhymes in order,(Run),And yo my name is Run, and yeah I'm all that,Slap back the KING of the daddy mack's,But that ain't the news I choose to tell,I gotta use the cruise that bruises well,For the grime you slime, you try to diss mine,I put your head to bed, cause it's bedtime,I knock out your teeth beneath your gums,Now you're mumblin - you bum!,(Turn out the lights Run!)  Picture punks playin me close,when I'm hard as hell, and that's all labelled SUCKERS,Waitin for the King of Swing to bring,""Beats to the Rhyme,"" and yeah I'm runnin things,Now that's the name of the phrase, ,so don't be amazed at the ways my rhyme displays,You gotta make the best of what you got to get to the top,in hip-hop, you gotta diggy diggy don't STOP!
,
,
",Run-D.M.C.:Don't Stop
