album,artist,lyrics,title
,Snoop Dogg,"Celebrate, grab a drink and put a blunt in the sky,Worldwide, nigga it's 1999,Shit out of control, sign of the times,I ain't had this much fun since '79,I was only eight then, hadn't been to the penn,Just a young nigga on the front of a swing,Playin football up in Powly High,Too young to ride but it's still Eastside,Homocides didn't happen much, niggas wasn't rappin much,It's 99 nigga, shit, I know you strappin up,Hell motherfuckin yeah, nigga wanna see the end,So next year we can do it all again,Same dogg channel, same dogg time,Only the strong will survive in 99,So much drama and dillusion, my conclusion is confusing,Drippin on my memories, twisted off my music,Tryin to make my people do things, oh yeah we do's it, we do's it,Here's my number baby girl don't you lose it,It's smoky in this motherfucker while we cruising,And Eastside niggas is the shadiest (shadiest),But them Westside niggas is the craziest (craziest),Summertime on the grind, baby let me shine, let me shine,Roll with this shit, I'm cold with this shit in my prime,Nigga done time and I never dropped a motherfucking dime,Be smart, fresh start is all you need,First thing first, cuz, stop smoking cess weed,You are what you smoke, nigga stop hating,That's why you broke and that's why we celebrating,But life's so hard on a G, that's what they all say,But somehow someway, better days ahead, Freddy's dead,And Betty said Eddie's a fed,Sweaty in bed with a nine to his head,And he fuckin with this hoodrat that he met up in dance,Betty gettin mad cause Eddie wanna share,But look at how you livin for a minute then compare,I love confetti, I always stay ready,Keep some killers by my side and some riders by the telli,I'm ready to do now, who now, you now,Eddie wasn't ready when they drew that, booyow,Two down, with just one gun,My nigga, and who said killin wasn't no fun,I sit alone in the zone with a face of stone,Live the life of Al Capone or Don Coroleone,Tragically casulties and fatalities,And all kinds of funny ass niggas coming after me,My grand pappy once sat me on his lap and he said,Sonny get your money 'fore you end up dead,I never really understood what he said,Until my motherfucking dogg took a slug in his head,Cold way nigga gotta learn his lesson,Slow down and go down, shit you know now,Be smart, fresh start is all you need,First things first cuz, stop smokin cess weed,You are what you smoke, my nigga stop hating,That's why you broke and that's why we celebrating,But life's so hard on a G, that's what they all say,But somehow someway, you got to make a better way,(Somehow someway),You got to make a better way,(You got to make a better way),You got to make a better way,(You got to make a better way),You got to make a better way,(You got to make a better way),You got to make a better way,(Yeah, better days ahead),Better days ahead,(Better days ahead),Better days ahead,That's real.,I feel your pain nigga.,I used to be just like you nigga.,Before I got off in this rap shit.,Shit, nigga did anything to get a dollar.,You know, but one thing I never did do.,I ain't never beg a nigga for nothing or ask a nigga for nothing.,I went out and got my own ya feel me?,So from me to you, man to man.,Better days ahead my nigga.,Shit, keep the faith and get your hustle on.,Cause I'm a get mine regardless.,Nigga wether I'm rapping or on the streets.,I gotta have it.
,
,
",Snoop Dogg:Betta Days
,Snoop Dogg,"(feat. Mia X, Fiend, C-Murder, Silkk The Shocker, Mystikal & Goldie Loc),[Snoop Dogg],Yo nephew, give me some of that No Limit shit,Yeah..,We got my nigga Fiend in the house,C-Murder in this motherfucker,Mystikal all up in this bitch,Goldie Loc, hm-hmm,My nephew Silkk the Shocker,Oh yeah, we got somethin for the ladies too,Mia X, run this bitch,[Mia X],Lyrical arsonist, lady alligator,Down South, hustler, former weight smuggler,I'm Mother, of the Tank, gave birth to an army,Guerilla millionaires, so don't even ask, if you wanna,get to clappin, soldier action specialty of style,We made the whole world respect the underground while,some of y'all niggaz talk shit and get mad,Cause we did it with a foot up your ass, and it's still there,I cares not about your click or the block,I'm still that same bitch to run up in your spot and knock you off,Broad, with the cause (yeah) bitch on a mission,Keep them niggaz by they nuts while you hoes be dick kissin,Missin the game, damn bitch it's written in plain ebonics,So shake that come-up off you brain and do the knowledge,Mia X, kickin off the ghetto symphony,Next soldier up, tell em who the FUCK you be,[Fiend],WHUT?  It's Fiend y'all,Put me in the ring with real MC's, and watch em run for cover,and hidin in trees, to escape the mic that I breathe on,Bleed on, exceed on!,Weak rappers with titles after twelve,Hit a bell that's what I'll feed on!,Microphone Don, walkin flesh, talkin bomb,Bringin harm, to the calm, and, them be alarmed,It's the African, oh, you wanna battle again?,I'll turn, you and your mans, to my yesterday plans,Oh damn, totin two pistols like Yosemite Sam,Old man be grand, loud as the Southern band,Pickups and caravans, the soldier, that could, that can,I would be the man, but God beat me to them plans,[Snoop Dogg],Next up, on the M-I-C,C-Murder, get busy for the symphony,[C-Murder],I be's that nigga on the tank, always trippin never slippin,Have you reminiscin and missin, that fool in your picture,Call me Bossalinie BITCH without the Mo's at shows,And FUCK dose who oppose (why?) we runnin them hoes,three-hundred and sixty-five motherfuckin days a year,I have your fool staggerin just like a bottle of beer,You niggaz runnin from the cops, well I ain't runnin no mo',I flip the bird when I swerve, man, FUCK them hoes,I'm crazy my nagga, but uh, I thought y'all knew that, shit,Oh you ain't see the news?  Shit I'm the nigga with the TRU tat,Ask my nigga Keno, shit, I just don't give a fuck,And if you run up wrong, I'ma fuck you up, you bitch you,[Snoop Dogg],Next up, on the M-I-C,Silkk the Shocker get busy on the symphony,[Silkk the Shocker],Now would I COME THIS FAR FUCKER?  If I didn't sound like a hit,Y'all didn't know what the fuck y'all thinkin bout,You sound like a bitch (beotch!),Shit it sound like a wish, you know when you got a motherfuckin hit,,bitch??  When it sound like this!,Or you fake niggaz get enough heart, and try to bust a,rhyme at this click,Fuck around and miss, then fuck around and get,found in a ditch,Gotta labels give me dough, when they find I can, gross this much,Freestyle shit, you can tell em I ain't, wrote this stuff,Silkk the Shocker, KLC perv and mash like, Snoop and Dre nigga,Y'all can relate to ??? ??? get a contract like, MJ nigga,It ain't where you from; it's where the -- FUCK YOU AT,N-O-L-I-M-I-T, Top Dogg, and I'm FUCKIN with that,[Snoop Dogg],Next up, on the M-I-C,Mystikal get busy on the symphony,[Mystikal],WHOO SHIT MOTHERFUCKER GOD DAMN!!,I keep it HYYYYYYPE, BITCH I'M THE MAN!,When the FUCK you ever heard somebody say that they don't say my song,or that I don't roll on every fuckin verse I'm RAPPIN ON,(That nigga Mystikal tighter than a muh'fucker) HAHHHHH?,I came up off of _Peter Piper_ bells and the LL's _Bad_,??Nee?? nigga to be pissed off with me,cause their old lady they call me their baby,MC's pilin up and crowdin up, but I'm their FAVORITE,The type to fly buyin a Z-28 IROC,And chop you in your motherfuckin face (HIII-YAH),Your album ain't tite, WHAT IN THE FUCK IS YOU PUSHIN?,You played out just like old woman pussy,[Snoop Dogg],Next up, on the M-I-C,Goldie Loc, get busy on the symphony,[Goldie Loc],Now watch me put these haters to the test, accumulatin with my stress,Fold em fuck em fifty, get the shit up off my chest,Releasin anger, all natural gangsta energy,Goldie Loc the name, Dogg House game,Motherfuckers better start backin up (whattup whattup),We in the Tank punk busters, motherfuckers don't wanna see us loc'd up,Little Goldie Loc, Goldie Locks the same thang,Smashin for the hood, cause I wanted to gangbang,[Snoop Dogg],Last up, I believe that's me,Snoop Dogg, light up the mic for the symphony,This jam is dedicated to all non-optimistics,That thought I wasn't comin, out with some exquisite, rhymes,But that's OK, cause now I'm back,To kill all the rumors, and straighten the facts,Like umm, doin bad, gettin ganked for my bank,Now you all on my dick when you see I'm TRU Tank Dogg,You say, ""Mmmm mmm mmm!  Ain't that somethin,Dogg I bought yo' album, my nigga, that shit is bumpin,I apologize, I'm sorry for the drama,Can I get your autograph for my baby momma?"",Shit I'm settin it off, lettin it off, bustin,Hustlin, rushin, dustin motherfuckers,Droppin the heat, lock up the street, we 'posed to,I put this pistol in your mouth, now what you gon' do?,Top of the line, first class,I pop a cap in yo' ass, then pop some more in the glass,Too legit to quit, I'm spittin gangsta shit,Man fuck all that yappin, we bout that gun clappin,No Limit, yeah, that's what's happenin,Fuck all that yappin, we bout that gun clappin,Yeah,In the real world, talk is cheap,Actions speak louder than words,No Limit Records, here to protect and serve
,
,
",Snoop Dogg:Ghetto Symphony
,Snoop Dogg,"(feat. Silkk The Shocker),Chorus: Snoop Dogg *singing* (2X),It's a gangsta gangsta ride,On the nutty danger side,As we ride, dip and slippin,Take your mind, on a high,[Silkk the Shocker],Yo yo, from that DPG nigga to the CP3,Back to the house, East to the West,Now take it BACK to the South,You know.. how I switch my flow,If I'm lapsin you glad niggaz'll get mad then, hit the flo',Gotta bag me some dank so I, hit the sto',In the winter it's the Hummer for the summer it's the, six-fo',Got niggaz mad at me (why?)  Cause they can't get no six,Bitches upset with me (why?)  Cause they can't get no dick,I'ma be on top of the game whether I'm, broke or rich,I don't stop once I'm on top I just drop mo' hits,I'm in the club with the thug, I just pop mo' Crist',Tell Snoop to get the Coupe his new shit I just, gots to go get,Cause when I cock my shit, usually I pop my shit,Tell all you teary eyed females gettin over-offended,cause I don't jock no chick,I'm the Boss, and I don't follow no person, I follow Jesus,Y'all blame a bunch of kids, so I gotta roll my Adidas,Chorus,[Snoop Dogg],Boom bam as I step in the jam, god damn,Don't need no introduction, cause you know who I am,The S-N-double-O-P, the only, fo' sho',Now motherfuckers let me hear you say hoe,I spit ya, spat at ya, whoot wham, get at ya,Rider, I threw a slider, right at ya,Mash ya, gat ya, drip-drop the hatchet,Keep the party crackin, while I'm steady rappin,This game we run, y'all know what's happenin,We back in effect, we got the heat on deck,I'm slidin down South with a blunt in my mouth,I catch a plane out East and try to make some peace,I'm hangin with my niggaz in the projects,The homie's throwin a party, I gotta get back West,Oh yeah -- that's right, we are the best,No Limit DPG Southwest connects, ya feel me?,Chorus,[Snoop Dogg],Keep it gangsta,Keep it gangsta, keep it gangsta dogg,Keep it, keep it gangsta dogg,Yeah, we keep it gangsta dogg,Fo' sho', we keep it gangsta dogg, what?,Yeah, I wanna say whattup to all them gangstas ,out there on the Eastisde,(on the Southside, on the Northside) Yeah,(on the Westside),Y'all niggaz need to point the guns in the right directions,Ya know, ya heard?,Chorus 3X,* Snoop and Silkk talk to outro *
,
,
",Snoop Dogg:Gangsta Ride
,Snoop Dogg,"[Snoop Dogg],*inhales*,Aiyyo, aiyyo, aiyyo Quik check this out dog,You know mothafuckers be doin way way too mothafuckin much,You know? That's real,Just like baby right here, she doin too much,Now if that nigga next to you got a rented car,And he actin like it's his but you know it's not,Say he doin too much, yeah nigga you doin too much,And if that stuck-up bitch got the bar posted-up,She actin like that hair's hers but you know what's up,Say she doin too much, yeah baby you doin too much,I gave my kinfolk the keys to my Suburb,I told em ""Hit the side and slide and get the herb"",But guess who's callin, Pipedream Patty,Made that nigga park my whoride beside the alley,Forget about that nigga though (fuck that nigga),Fuck that nigga yo ,But I can't forget about him cuz he taught me everything I know,Oh no Joe, walkin down the wrong lane,Tootin on that cocaine, fuckin wit that wrong thang,Niggas like that (what), get things like they want it (damn),Then fake the funk, doggonnit,Now loc, look at this predicament,You smoked out and can't be trusted, I can't kick it wit ,Niggas like you, used to be in my crew,Goddamn, they don't make niggas like they used to,I remember Marley Marl and the Juice Crew,That's probably why I keep a tight grip on my deuce-deuce,Now if you're doin for your family and you can't stand it,Cuz you know these mothafuckers tryin take advantage,Say they doin too much, yeah nigga you doin too much,And if your kinfolk broke and he smoke dope,And he need to catch a mothafuckin different stroke,Say he doin too much, yeah Joey you doin too much,We parlay, parlay everyday DPG style,We might throw a pool party every once in a while,Now in fact we gon' do one this weekend,Let's see how many hoes me and my nigga Rose can weed in,I believe in, sharin the cock,Also, I believe in comparin the cock,Look, don't knock a nigga like me (why?),Cuz she love the way I just beat up the pussy,Not just knee deep, she was totally deep,When she went down on me,She blew a nigga socks off, got a nigga rocks off,Ooh wee, baby you's a freak,Put my homey up on game like a gangsta,But my homey fell in love and he banked her,Ain't that a trip? Now we in a twist,Back in the county wit the red ribbon on his wrist,Now when a nigga hit his girl and she don't hit back,And he get his third strike wit no get back,Say he doin too much, yeah homey you doin too much,And when the homey in the pen, doin a sin,And his girlfriend fuckin wit his best friend,Say she doin too much, hell yeah she doin too much,I'm livin up in the hills, wine sippin wit mills,I'm havin major type of paper, I ain't trippin off bills (still),Show me some respect and accept my coolness,And don't mistake my kindness to mean I'm foolish,Use this as a warning, cuz I'm startin,To figure it's some niggas think I'm soft as Charmin,Pardon me, cuz I ain't mad when you get bent,But I hate when fools mistake me for U.S. ?spray?,Friends and family, gettin after me like repo,Eat, smoke, choke then want me to throw em a c-note,You doin too much when you clutchin on my touch-tone,Callin strays over nigga leadin months gone,Conversate for fo' hours, wastin mo' power,And only get to hit a cold shower,You fakin like you're makin more moves than Simpson,But frontin, pushin buttons, doin nuttin but sin,And when a nigga on yo' phone, runnin up yo' bill,Tryin to tell some hoodrat bitch how he feel,You know he doin too much, yeah nigga you doin too much,And when your baby momma cryin bout she need some milk,And you heard some other nigga did been at her tilt,You know she doin too much, yeah baby you doin too much,That's real
,
,
",Snoop Dogg:Doin' Too Much
,Snoop Dogg,"(feat. Raphael Saadiq),[Raphael Saadiq],Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' be your man,Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' change your plan,[Snoop Dogg],You got yo' thang, and I got mine,You see, I can give it to you like all the time,If you, gimme them digits let me holla at you baby,Stop playin games, let's do this damn thang,Cause you the whole thang, with the candles and the ice,and then the champagne, whoot wham bing bing bang bang!,Now, what's love got to do with this?,Cause if you cool with this I'm through with this,Baby is we doin this?,[Raphael Saadiq],Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' be your man,Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' change your plan,I know when you'll change your mind;,that's when your rent is due (when your rent is due),and you're many months behind,How's that to treat your friend,with that attitude.. you can leave it all behind,Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' be your man,Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' change your plan,[Snoop Dogg],You say that you don't, you say that you won't,I think that you will, cause girl I'm way too real,And every girl need a G, and we see G,I saw you lookin at me, when I was with Warren G,You peepin not speakin and that's freakin me out,It's somethin bout yo bidness baby and it's flippin me out,I really can't understand why it's so easy, for you to tease me,'Fore it's over, you'll be Miss Snoop Deezy,[Raphael Saadiq],Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' be your man,Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' change your plan,Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' be your man,Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' change your plan,Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' be your man,Somethin about yo' business, I really don't understand,But if you keep on teasin me girl, I'm gon' change your plan
,
,
",Snoop Dogg:Somethin' Bout Yo Bidness
,Snoop Dogg,"(feat. Xzibit),[Xzibit],Yeah.. time to bring yo' ass to the table y'all,It's X to the Z Xzibit, yeah (Where you at?),Snoop double-D, uh, O.G. (West coast, Los Angeles),What, bringin it live, with Dr. Dre, what?,{*Xzibit makes the ""Ghetto Bird"" sound*},Throwin up a BIG-ASS W, coverin up the world right?,YEAHHH!  Hah, listen look,You ain't tryin to hot box with me, I swing hard liquor,Goin down by the second round, all hail the underground,How dat sound?  Xzibit backin down from a conflict,Fuck the nonsense, terrorist, hidden bomb shit,Glass and metal in every direction,Innocent bystanders taught a very hard lesson,I'm the reason there's no time to reach for that weapon,and reason why niggaz with problems keep on steppin,Xzibit ready to scrap, like Mike Tyson with his license back,Nine to five, minimum wage, what type of life is that,for me?  It's blasphemy, you fuckin around,with the Sundance Kid and Butch Cassidy,You had the audacity to wanna tangle with the X,Strangle your neck, slap you like the opposite sex,Drunk drivin tryin to stack my loot,While other rappers gettin ""Treated Like a Prostitute"",So check the SoundScan,Chorus One: Snoop Dogg,All I wanna be was a G, ha,My whole life, nigga please, ha,Breakin off these motherfuckin keys, ha,Let's get these motherfuckin G's, ha,Nigga you don't wanna fuck with this..,[Snoop Dogg],Hmm.. aww nah, big Snoop Dogg,Back up in the heezee bay-bay,You jockin my style, ""You so cra-zy"",Dre say, ain't +No Limit+ to this,As long as we drop gangsta shit,Look here bitch, you fine and I dig your style,Come fuck with a nigga, do it +Doggystyle+,I'll be gentle, sentimental,Shit, we fucked in the rental,Lincoln, Continental,Hmm, coast to coast, L.A. to Chicago,	(Yeah nigga you know what's happenin man),I get this pussy everywhere that I go ,	(These bitches know what time it is),Ask the bitches in your hood cause they know,	(Hell yeah, hoes know about a nigga like me MAN),I get the pussy everywhere that I go,	(I pimp these hoes, nigga, ha ha),Ask the bitches in your hood cause they know,Chorus Two: Xzibit,Bitch please, get down on your god damn knees,For this money chronic clothes and weed (look),You fuckin with some real O.G's,Bitch please,Bitch please, get down on your motherfuckin knees,We came to get the motherfuckin G's,Yeah, you fuckin' with some real O.G's,You dick-tease!,[Snoop Dogg],Bitch, please!  Now what you need to do is,Hem my coat, and roll me some dough (f'real),Different strokes (uh-huh) for different folks,Oh, you like settin niggaz up and gettin them loc's,A cute lil' bitch with a whole lotta heart,Shit gets thick when the light gets dark,She say she gots a lick for me (well hook it up),Worth about, two hundred G's and thirty keys,Now check this out Dre, now if I don't move,Then a nigga like me, shit I don't lose,But you know me, Dogg I'm movin,Ain't nuttin to it, but to get to groovin,You been, waitin on a nigga like me (whas' happenin),to take that chance and rob yo' man and beat up the pussy,A victim of the circumstance (yeah right),That's the devil, they always wanna dance,See we go out with a bang (bang BANG!),I'm tryin to work this cold thang, and take this whole thang,I get the money everywhere that I go (I go),I bust a bitch and take her money fo' sho (fo' sho),I get the money everywhere that I go (I go),I bust a bitch and take her money fo' sho (fo' sho),Outro: Nate Dogg (repeat 4X to fade),Aiyyo.. aiyyo aiyyo; you don't wanna step to me,Still claimin D.P.G. - til the day I D-I-E
,
,
",Snoop Dogg:Bitch Please
Doggystyle (1993),Snoop Dogg,"[Snoop and some girl are in a bathtub],Uhh, that felt good,Does it baby?,Yeah, rub my back for me,Where do you want me to rub it baby?,Right here,OK,Ohh,Turn around,Aight, check it out though,Why don't you put me on some music?,What you wanna hear baby?,Put me on some of that old gangsta shit,Aight,*ding dong* *needle scratching*,Damn! the fuck is that, everytime i'm chillin someone ringing my,motherfuckin doorbell,You want me to get that for you?,Yeah, handle that shit for me,Aight, i'll be right back,What the fuck?,[diffrent voices say thigs to snoop],Hey Snoop!,Yo, what's up Snoop Dogg?!,Hey, hey, hey Snoop, what's goin on?,What's up G-Dogg?,Ohh nuttin, tryin to live between this guy,I met tonight to have some dirt no way man,Right right,That nigga fucked about right about now Dogg,I'm about ready to get up out this damn,I'm ready to get his shit up man,With motherfuckin law after me,Punk ass bitches, sucka ass niggaz,I can't take this shit no more dogg,What?! Man you wanna get out the game, come on man,You can, smoke a pound of bud everyday,You got a big screen TV, man, you wanna give all this up?,You got the dopest shit out on the streets,Nigga, is you crazy? That's the American Dream nigga,Well ain't it? ,Fool, you better come on in,Wait wait wait wait hold up Snoop,Hey nigga, I put five dollars on the weed,You better quit fuckin with me,[Dre] It's time to get busy in this motherfucker...,Like we always do about this time
,
,
",Snoop Dogg:Bathtub
,Snoop Dogg,"Verse 1:,Another day another dolla for the top dogg with the gold flea colla,Nigga make the whole dogg world wanna holla,The way they do my life and I'm steady tryin' to do more right ,so trife your life could disappear,and if you aint careful who you fuckin' wit nigga ,Now reappear come here come near so you can hear what I spit,So sick and tired of niggaz standin on that ""G"" shit ,and just because you on  starz wit some khakis,and think your rap style can out rap me and now jack me ,come here nigga slap yo self,thats probably why yo shit still sittin' on the motherfuckin shelf ,and mine sold out ever since it came out,blue carpet roll out, #1 no doubt, mo' clout, down south, mixin' it up,with dem niggaz that don't never hesitate to bust,what you niggaz tappin' on my front door for?,Hmm oh you lookin' for yo hoe? (you heard),We in the hotel room doin' the zoom,and let me let you know nigga my heat goes boom,and my heat goes boom, boom, boom, boom, boom, boom,and my heat goes boom, boom, boom, boom, boom, boom,Verse 2:,I'm back on the scene, chopping green,captain on the team, call me commissioner nigga,so just listen up look like you bored and our boy's bridges,he hangin' wit dem niggaz but dem niggaz straight bitches,left a nigga hangin' at the club when it was scrap time,then a week later gave him a shot on in a rap line,now they in a New York rap time,rapper turned snitch now you livin' on a main line,money's too tight to mention but let me mention,when dem niggaz in da kitchen find out he's snitchin',they gon' get him and when his homies find out he's snitchin,9 times out of 10 dat nigga gon be bitchin,(you know what) you know what transformin' is switchin',and oh yeah informin is snitchin,but I aint one to tell you aint heard from me ,I'm just an MC tryin to stay super free,and my heat goes boom, boom, boom, boom, boom, boom,and my heat goes boom, boom, boom, boom, boom, boom,and my heat goes boom, boom, boom, boom, boom, boom,and my heat goes boom, boom, boom, boom, boom, boom,Verse 3:,Look here fool I know this game in and out ,and quit tryin to tell me bout dem niggaz down south,don't try slide wit that west side love shit,that dove shit eat a dick bitch,I can can read you from the giddy,I read you I took you to my home and I fed you,and led you upstairs upstairs to a room with 37 niggaz ,that was strapped up hatin' waitin' on you nigga you the victim,we don't don't pick 'em we just stick 'em and when once we get 'em we got 'em,we try to rid the streets of creeps and freaks ,like you for all y'all snitches and bitches,we gonna do the world a big favor ,cuz niggaz like y'all be fuckin' up the gangsta flavor,and oh yeah it aint no west coast thang,cuz niggaz out of town got birds that sing,and my heat goes boom, boom, boom, boom, boom, boom,and my heat goes boom, boom, boom, boom, boom, boom,and my heat goes boom, boom, boom, boom, boom, boom,and my heat goes boom, boom, boom, boom, boom, boom,breakdown (echo),breakdown (echo),Top Dogg,No Limit,yeah,LBC
,
,
",Snoop Dogg:My Heat Goes Boom
,Snoop Dogg,"[Snoop Dogg],Yeah, this shit right here sound like a love song,(she was in love),A gangsta love song, you feel me?  Check it out,(she was in love, with a THUG, in love!),(she was in love, with a THUG, in love!),Yeah, gangsta, uh-huh!,Have you ever had a pretty, young saditty,Black female with chips, from the city?,Her momma got ends, and her daddy got ends,And she liked to give me ends when I'm out with my friends,Good girl - why do good girls like bad boys? (I don't know),When I was a kid, growin up, I never had toys,And I think that she can figure that shit out (why?),Cause everytime she came to pick a nigga up,Shit, she'd take a nigga out,Roll around town, ask the pound, they know, look,Baby was my thang, nah, she was my low-low,Bought my first Rol-o, and then we took a photo together,Man I hope this thang last forever,We been together six months, and we ain't argued yet,She lovin a nigga, steady buyin me shit,And don't say shit when I dip with my click,And understand, when I'm down and out,may need some help with some chips,Her mother approved of me, but her father he don't,He probably won't, shit Pops ain't no punk,Daddy's little girl be in a gangsta's world,Buyin me houseshoes and khaki blues, California curls,No matter what her father say, baby gon' see me,It's like a jungle sometimes, that makes me Wonder like Stevie,Believe me, when I say that baby was in love with a thug,In love with a thug,Chorus: repeat 2X,(she was in love, with a THUG, in love!),Daddy I'm in love with a gangsta,(she was in love, with a THUG, in love!),Momma I'm in love with a gangsta,[Snoop Dogg],Mm.. I'm caught up in the middle and I don't know what to do,I caught eight months in the joint, behind my crew,That I gotta do and I'ma miss you Boo,But I'ma write you every night and call you on the phone too,Whatchu gon' do?  ""You know I'm gon' stay true,But I'ma go ahead to college like my father want me to"",Well um, off to my cell withcha body on my mind,And I'ma call you back tomorrow round the same time,I'm on the mainline, 9500 for short,On another phoneline, holla'n at my other hoe,This bitch ain't sayin SHIT, cause the bitch ain't SHIT,Old fat golddiggin-ass county check receivin BEOTCH,I bail up in the Day Room and get in a scrap,Niggaz watchin Soul Train and I wouldn't turn it back (man fuck y'all),Never caught slippin, always on strap,And now I'm back in the hole with no motherfuckin getback,Sit back and contemplate, and think about baby,And hope she don't get caught up in the world that's so crazy,But while I'm up in Wayside, and she off in college,She gettin a little mo' than a schoolgirl knowledge,Cause gangsta-ass niggaz go to school nowadays,I tried to make you wait, but I can't change yo' ways,She fell in love with the local G,And now they both in the penetentiary, she didn't mention me,Chorus 2X
,
,
",Snoop Dogg:In Love With A Thug
,Snoop Dogg,"[Dolemite],Yes,This is for all you no-business,,born rat soup eatin,,Junk yard,,Pepper gut, Insecure,,Tired, wrinkled ass mutha f**kas,This is for ya'll,from the Dogg,,the Dogg of all Doggs,,the Top Dogg,Snoop Doggy Dogg,Listen
,
,
",Snoop Dogg:Dolomite Intro
