album,artist,lyrics,title
,,,
,Three 6 Mafia,"(feat. Big Gipp of the Goodie Mob),(Juicy J) (Big Gipp),Yeah, yeah, yeah,Three 6 Mafia (Here it is),Know what I'm sayin',Goodie Mob (Triple Six Mafia),ATL (Big Gipp),M-town connection (Man),What you know about that?,(You can't ask fo' no mo'),What you know?  What you know?,(I'ma hit ya back),What you know?,Chorus: DJ Paul & Big Gipp (together) (2x),What you know?  What you know?,'Bout the B's, bout that O,'Bout these streets, 'bout this 9,'Bout these niggaz doin' time,What you know?  What you know?,Bout the kickin' in the do',Layin' suckers on the flo',Gettin' low down with the dope,(Lord Infamous),In Memphis, I'm a felonist, don't fuck with ghetto presidents,Run up in your residence, gather all the evidence,Murder list is specialist, clickin' on this medicine,Unloadin' a Tec in this, hang you by your neck-a-lace,All in for the blessedness, Lord Infamous reck-a-less,Mobbin', I'm the messiest, best, there is no testin' this,Hellraiser, I'm hookin' 'em, four star chef, I'm cookin' 'em,Like that, now I'm bookin' 'em, slash they eyes out look at 'em,(Crunchy Black),What you know about killaz, what you know about dealers,What you know about niggaz that live fake, know I'm for real-a,What you know about bitches, what you know about clickin',One in the chamber so nigga now you know I'm out to get ya,What you know about reobbin', what you know about mobbin',Mobbin' all through the hood nigga doin' my job 'n,I ain't tryin' to be starvin', I'm just leg over barbin',Poppin' shots at your head, nigga doin' my job 'n,Chorus: DJ Paul & Big Gipp (together) (2x),(Juicy J),Juciy always be gamin', keep that roast to the flame 'n,Slangin' dope in the Grove, all the way to Black Haven,Call your boy on the cell, if you want somethin', hail,We got prostitutes and whitey-white just tryin' to make mail,Have you been to the North, Memphis where I be stayin',Where them golds, they be shinin', nothin' but smiles on they faces,Always stumblin', rumblin', keep the freaky hoes comin',If they wanna suck the dick, we put that nut in they stomach,(DJ Paul),Ain't no problem that's to big, nigga fucked up 'bout no task,Two of them coloreds with them masks, sawed-off pumps for mega-blast,Forty-thousand, one in the chamber, buck artila for gettin' his own man,Nigga I'm my own man, never catch me runnin' from no man,It's so strange, the look on you face that does not bring,Or brings it to doors lane, put blood on your close lane,Your eyes be like closin', hoes from head to toes 'n,Fuck 'round with the chosen, got you stiff like posin',Chorus: DJ Paul & Big Gipp (together, Big Gipp sings) (2x),(Big Gipp) (Juicy J),Don't give a fuck, I'm stayin' slizzard,Tough like chicken gizzards, strickly 'Cardi, wizard,Pill popper, afro, straight blowed,Corner coves, what I'm talkin', what you know,'Bout that girl, 'bout that boy, keep that nose itchin',Skin scrachin', junkies steady bitchin',I can't feel it, nigga please, stop that actin', cough it up,4 for the 5, is what I'm sellin', sawed-off 12 'n started bailin',Kickin' do's, snatchin' clothes, catchin' hoes, gettin' cases,Sittin' in the country thinkin' about my money on vacation,This for the ones that love the club pop, sip-sip,Gipp dip, In a ho, in the jail, rollin' crip,Keep it crackin', keep it throwed, who shot first, nobody knows,How it goes, what you know, 'bout these streets I'm down fo',(ATL...)
,
,
",Three 6 Mafia:Whatcha Know
,Three 6 Mafia,"DJ Paul:,Who run it (x15),Chorus: DJ Paul (4x),These bitches ain't runnin'(runnin'), shit but y'all mouth,Cause the first hater step, the first hater get tossed out,DJ Paul:,These niggaz got plenty ANNA, but they ain't got plenty guns,I'm bustin' out of luxury cars, still got these hoes on the run,I'm hearin' plenty MANY words, but ain't no actions to PROVE,We can do some straight war for war, we can do some stickin' and movin',We can meet in the middle of these streets or in the middle of this RING,I can pop your chest, PLASTIC glock, or pop your jaw diamond ring,Please don't hate me hate the bank,FOR STASHIN' G's that I take,Or hate my shiny wristband, and big ass rims I rotate,See people flip when I'm comin', got SUCKAS sick at the stomach,They wonder what I brought in, they wonderin' what I got comin',Niggaz I'm comin' like this, off in your mouth like a bitch,Taste me, when you think of me, I'm bread and water, I'll start it,Juicy J:,WWHAT'S THE BIDNESS,It's that player that you love to hate, always see come out the bank,Always have to mention my name, when you high AND on that drank,Catch up with this boy you can't, cause you know I'm holdin' rank,When you see the platinum Rolex with the ice it make you faint,Through the streets now have you heard, BOUT the Mafia droppin' verbs,Runnin' from the nazi cops, tossin' out the bags of herb,Ain't afraid to pop the steel, hollow tips to make you feel,If you wanna punk me out, pop these niggaz in they grill,Chorus: DJ Paul (2x),Crunchy Black:,I can't take any more, I'm bout to explode,I'm bout to overload, I'm bout to kill you boy,All I wanna know is where the G's at, where the KEYS at,Keep it easy, you don't want to get skeezed at,All on this muthafuckin' ROOM, nigga BOOM,LAY YOU ON your back so we can get up soon,Stab you in your heart with a HAR-FUCKING-POON,Nigga BOOM, nigga BOOM,Lord Infamous:,Scarecrow's on it, I'm still hungry, starvin' for a platinum supper,Wipe it easy, mc's look black founded, the quicker the sicker their eatin' ,rubber,Infamous grips, gats gun ‘em all down, even ghost towns,Splish-Splash, brains on the ground, with a cannon round,Ball bat, bashin' niggers back, beatin' bitches down,Battle like blaze BUST HIS BALLS, BODY never found,Catch a close encounter CAUSE the anarchism of these A-bombs,Chemical reaction cause the venom shot in to his arm,Chorus: DJ Paul (3x),Gangsta Boo:,Here we go, all you weak ass hoes,In my face like you my friend,Triple Six dropped in again, time to make ends,Dope game , my game, hoes lame, it's a shame,How that Gangsta Boo is GONNA click up on you bitches man,Fat cat, BUT I be, packin' how you love that,Fuck a platinum plaque, gimme money, where the dollars at,(BLAW) BE DEAD IN A SECOND for 10 G's,(Where you from?) Black haven is where I be on my P's,Koopsta Knicca:,Parents PLEASE, watch out for your children,This the one that'll lock 'em in the basement,Some of them talkin' so rugged, some corrupted ugly pussa-pussa,Cause the fuckin' all my niggaz, Koopsta tryin' to tell ya somethin',Peter-Peter, pussy eater, one of them fucked by Koopsta Knicca,Lord, I done some sins, cause she married, but I don't know that nigga,Figured he is a killa, so he figures he'll watch us fuckin',Put them muthafuckin' slugs upside that thug, cuz, we're out…
,
,
",Three 6 Mafia:Who Run It
,Three 6 Mafia,"(DJ Paul) (Crunchy Black),Finally, I got all real niggaz on on a muthafuckin' Posse song,Niggaz that's down to cut some muthafuckin' heads,(Mafia, ya, y-ya, y-ya, ya, ya) (*repeats through whole song*),From hear to ATL, to Nashville, back to the M-town nigga,And you know what that mean bitch,Makin' easy money, pimpin' hoes is serious bitch,Makin' easy money, pimpin' hoes is serious nigga,(Project Pat),Call a nigga, drug dealer, out here on the track nigga,Weed smoker, coke snorter, come and get a pack nigga,Cane slanger, bitch banger, dog I'll bring it to ya,If you got a problem with me, holla at my Luger,Dro puffer, cheese come up, when we on the track jack,Hit you in the head, with the gat, 'til your skull crack,Blood gushin', head rushin', act first, no discussion,Come with that bullshit, then the bullets start bustin',(Lord Infamous),First crime, we came with Mystic Stylez on grime,You slip, I Live By My Rep don't fuck with mine,Da End, the souls of men embedded inside the Posse,The Prophet, the Posse, we all collide,We brutal, the Chapter 2 to end the phase, our mind,In crime, reminds, CrazedNLazDayz,Heypno-tize, and blazed another gold plate,Sixty 6, sixty 1, The Smoke Clears, evaporate,(Juicy J),I got a 357, a tec with a black clip,A 180 pounds witha fist that will bust lips,Some killaz on my side, if I tell 'em they gon' get,A fiend wiolatin' the business, I ain't wit',And now in 2000 you talkin' the same shit,And now in 2000 I'll bust and I won't miss,They smoke is in the air the liquor is still a fill,The grill is still gold, and the curls they know kick doors,(MC Mack),First one of us is done, hollow tips come by the ton,Two AK's, and put some drama to leave this niggaz bodies numb,I don't talk this shit for fun, cock it back and let it go,And 6 shots, from the 3-6 shooters lettin' 'em know, WHOA!,Picture me, naked face, to kickin' in your door,4, niggaz deep, bandanas with black calicos,So, when we creep, drop cause I'ma hit you nine times,Take your nine lives, bump up and Hypnotize your mind, blow,(Cruchy Black),You can believe this, you can believe that,And believe I got a baseball bat, and I'm bustin' your head black,You believe I'm comin' strong, you believe I'm all grown,You believe, that nigga, I love to get it on,You half steppin',I got the weapon,Boom! Boom! I'm blastin' at your mind to get you believe that,I love to kill, I love the thrill,And I love to put a nigga body parts in the field, nigga,(La Chat),No no, come, come and get this bitch, ain't got no time fo no shit,Got all my boys, don't make no noise, ,just throw that trick in the ditch,It ain't no way La Chat gon' let it slide, with the shit that you done,I got my piece for what I do, to show you who the fuck number one,I shot that bitch without causes, ain't got no love in my heart,It ain't no way that I can't handle, keep that tone in my jaw,This ain't no crap, I speak the truth, gotta come too thick to get me,On one of you hoes, before you come, La Chat ain't gone easy,(Koopsta Knicca:),Man a bitch'll take that lil bit out her pussy for them papers,Get the fuck away from me ho because the crew can't stand them vapors,Take her, break her, to whip that funky bitch,Talkin' that shit about this ,man you'll get 10 slugs up in your arm pits,Yeah we can do i,t take your time and do it right,You can gimme the fuckin' chewin', I can fuck you all night,Wanna fight about your friends see how them bitches gon' start,See now that's that type of shit that get my muh'fuckin' dick hard,(T-Rock),Capital Mack-11's, and load 'em full of ammunition,Terrorist sect's, we pull and lock'em in the Expedition,No set a niggaz got guns equivalent to what we pack,Nuclear pistols and fire scorchin' automatic gats,How in the fuck can you handle the, butsa damager,Toss that bitch over the banaster, like trash canisters,Hollow points into your battle troops, when I have to shoot,Plus I'll be storin' the cap for you, and trick be absolute,(MC Mack),I woke up early Saturday morning, ,suddenly your phone was ringin' off the charger,Thinkin' to myself, man, is it a bitch or cop, or is it them robbers,Got MC Mack of in a scheme, I'm stainin' for my dividends,And pay a livin', neh nigga, ,gon' bother my cheese gon' reach the ceilling fan,You can catch my in that president thing, on gizold when you see me,You can joke me, ever rope me, best believe your bleed this evenin',Fuck the reason, and the treason, ,time to get dirty nigga better I'll pop it,You was gaspin' for your life, but all I heard was Killa Klan Kaze,(DJ Paul),Bitches think we playin', think this killa shit a joke,Don't fuck around with HCP and get you ass smoked, ho,Comin' with some fully auto's, fuck some semi's,Hit 'em with some hollow auto's, cause I desp-iz-ise,Blastin' like some rondo batays, for you miatays,Koop with double clicks and duck tape, and wicked wizays,And I, perferin' keepin' busin' in my freak time,Taught 'em in that buried unknown, they wanna reap why,Give you second thoughts about that businness, you then finished right,Take you to the vault, cash it in, all night flight,And I'm in a bad mood, cocaine make it that,Plus, I gotta ease on this nine-milly, willy, nigga I slang with that,Bitch, nigga, it's CP nigga,HCP, Hypnotize Camp Posse nigga,What, what, it's CP nigga,HCP, Hypnotize Camp Posse nigga
,
,
",Three 6 Mafia:M.E.M.P.H.I.S.
,Three 6 Mafia,"(feat. Insane Clown Posse & Twiztid),(Violent J's Intro),I choke... nope... thats wack hold up.  ,I stab you with an umbrella, ,then open it cause I'm sick like a diseased Ethiopian,Alright Hold Up!!!! Wait a second listen! ,I peel your cap back with a cannon ball,I buck 'em all fuck 'em all we standin' tall woooo.... ,Three 6 Mafia, Insane Clown Posse, and Twiztid!,(Juicy J),We used to... we used to.... ,We used to rob for them petty things, like a gold chain,no a motherfuckin pinky ring, now it's cocaine,If you see me on the dope train, I'm the dope man,Cigarettes in muh right hand, ready to make a stain,Old folks scared of eye-gain, at the window pane ,they be lookin' wit a migraine,while I catch a drain and you know it's a fuckin' shame,when you in this game tryin' to sell to a sprung lane,I control ya brain,(DJ Paul),Now do muh niggas bust glocks fuck wit us Big C ,It's the ¿buggaz? of the boat, bust a trick make 'em bleed,through his neck through his back nigga cover them hoes,ain't no mess goin' be workin' when you twirkin' with some pros,Automatic rep a carrier challange on the barrier, ,hang 'em in the closet kidnap the treasurer, ,bandanas on our face we wilin' out like some cowboys,hoe we need the g's and I'm talkin like NOW BOYS!,Chorus: Gangsta Boo (repeat 2X),We just anotha crazy click ,Doin whatever to get us wild when we pumped up ,You outta luck bitch I aint gon' lie, put ya guns up,Show 'em who really runnin the streets with the calicos ,(Monoxide Child),We the click that don't play...,quik to rip ya head off and hand it to Violent J and bury it away ,I'm on a spree killin for free without a conscience,bitches we on a mission to bomb shit!,Twiztid, ICP, with the Triple Six Click,Hoes that pop lip, can eat a dick, or get ya neck slit,I'm havin' these memory relapses of bodies up in the caskets,with no heads Monoxide foolin' wit tha dead!,(Jamie Madrox),We rollin deep on the lawn with the psychopathic leathers on,You say it's on so come bring it on,We gettin crunk at your funerals treat us like we criminals,We juggalo individuals!!!!!,We just anotha crazy click... ICP, Twiztid, Triple Six!,All up in this bitch and we runnin shit ,We doin drivebys on all y'all wit chainsaws,here I come redefined, rugged and raw!,Chorus,(Violent J),We just anotha crazy click to fuck around and bury ya ,Takin care of ya we the scrarier than malaria,I walk around your neighborhood like Frankenstein,chokin' anybody I find I'm takin mine,(Shaggy 2 Dope),Ya muthafuckas can't get near it, cause ya fear it,look in my glass eye, I'm sick like Lou Gherig,I don't know Judo but I go ""Kheeya!"",I'll fuck you up so bad a wheel chair couldn't see ya!,(Violent J),Listen... You hear that slut?,That was me! pullin' this stick out ya butt!,I'm a juggalo serial killa, steady screamin' ""Fuck y'all!"",I stab bitches wit a chain saw!,(Shaggy 2 Dope),We walk around Compton & Watts, beatin' scrubs up,and right in Tim Dog's face I throw the dubs up,we tearin' clubs up down South wit D,.. Three Six y'all.. Twiztid.. and I.C.P.
,
,
",Three 6 Mafia:Just Anotha Crazy Click
,Three 6 Mafia,"Chorus: Three 6 Mafia,There's some cowards in this thang, if you see em point em out (4X),There's some cowards in the South, If you see em point em out (4X),(Juicy J) ,Act like you know me, when I tell that I'm from the North,Act like you know me, when I ask ya let me hit the shorts,Act like you know me, if I holla and front ya boy a ki,Act like you know me, when I'm on the track in evergreen,Act like you know me, when you see the platinum on my wrist,Act like you know me, when you know that I done took yo bitch,Act like you know me, if you know that I been husslin',Act like you know me, rock for rock the record business man,Act like you know me, if I pull the strap and bring the pain,Act like you know me, if you see me on them twanky thangs,Act like you know me, when that fire shit is all we smoke,Act like you know me, if I tell ya nigga hit this dope,Act like you know me, when I'm winnin in this dice game,Act like you know me, if I tell yo' hoe dont touch the grain,Act like you know me, if I tell you niggas bring it on,Act like you know me, point'n in yo face a f**kin tone,Chorus,(DJ Paul) ,Act like you know me, cause I'm armed with guns and ready to bum,Act like you know me, cause I bring the war like Vietnam,Act like you know me, when you see me cruising were you lay,Act like you know me, cause with bitches I dont f**king play,Act like you know me, cause I'm super serious with this evil,Act like you know me, in my Regal - chrome desert eagle,Act like you know me, I hate say it but when I'm on some blow,Act like you know, I turn gorilla might rape a hoe,Act like you know me, I'm from straight f**king Black Hav.,Act like you know, that I bet that I blow that I aint afraid,Act like you know me, 'fore you say that on yo CD's,Act like you know, once before I caught you in the streets,Act like you know me, cause these bullets know no f**king name,Act like you know, I brought you in and take you out this game,Act like you heard of Triple Six is bout some bigger bussiness,Act like you heard if it's a murder, you can be the witness,(Lord Infamous),Act like you know me, when you got pounds of the green dough,Act like you know me, when you want to hit the ski slopes,Act like you know me, when you got gallons of alcohol,Act like you know me, when you braking down the bowling balls,Act like know me, when you got a load of freak hoes,Act like you know me, when you got the pearl to touch her toes,Act like you know me, when I tell you that my name is Lord,Act like you know me, when I tell you Lord will cut your cords,(Crunchy Black) ,Act like you know me, cause you know I like to wear black,Act like you know me, cause you know I like to tote a gat,Act like you know me, cause you know I pop up on ya set,Act like you know me, cause you know I came to get it wet,Act like you know me, cause you know you got to call the cops,Act like you know me, cause you know the f**king blocks hot,Act like you know me, cause you know I took yo f**king spot,Act like you know me, act like you know me nigga, NOT,(Gangsta Boo),Act like you know me, got you niggas saying I'm the shit,Act like you know me, when you see me with my f**kin clique,Act like you know me, when I creep and sneek up in yo house,Act like you know me, when you hear, I done cleaned the house,Act lke you know me, when I'm block'n cruis'n who she be,Act like you know me nigga, Gangsta Boo BHZ,Act like you know me, yo I'm real I'm trill, whatever nigga,Act like you know me, I be crazy lady, know that nigga,Chorus
,
,
",Three 6 Mafia:Act Like You Know Me
,Three 6 Mafia,"Chours: Lord Infamous,Break bre break bre breakout the dollar and take a bump,Pick out the seeds and spit the blunt,If you wanna get numb froze and slump,If you got what I want won't you give me some,(Juicy ""J""),How high can you get on that fruity fruit (fruity fruit),How high can you get sippin gin and juice(gin and juice),How high can you get sittin next to me(next to me),How high can you get on that extasy (extasy),How high can you get on the ball of snow(ball of snow),How high can you get wit a Optimo(optimo),How high can you get in a bathroom(bathroom),How high can you get in the class room(classroom),(DJ Paul),Now how high can you get when you fuck with that 6,Now how high can you get if you take a lil hit,Now how high can you get if you snort a lil bit ,Bout as high as you was before you started lil bitch,Now how high can you get if you snort the whole gram,I could answer that question you'll be as high as I am,Now how high can you get off a cup of my 'tail,A designated driver need it cause you goin to jail dont play,(Chorus) 2x,(Gangsta Boo),Uh, The old Gangsta Boo would run up in yo house (for real),Blackhaven style put the glock up to ya mouth (klack klack),I'm trippin like this is an ana song ,Crunchy Crazy Azz gotcha trippin on this weed bong,(Cruncy Blac),Uh , Uh, Uh, You could trust me ,sell you straight weed or some straight P,Lately I've Just been me nigga me nigga hate me ,I be smokin on the fuckin bud nigga lately,Now y'all gonna hate up on a thug,(Gangsta Boo),Yo yo yo Yeah for real you be high like that, ,snortin up the powder pack ,,pure white funky town take me where the chronic at ,Tiger Market cup filled with hennessy and sprite ,for all night hit me up 404 yeah right,(Crunchy Blac),uh uh uh Nigga lately on ya fuckin P milli me it be dank weed,Nigga cant you see cant you see ,i be stumbilin stumbilin in the fuckin street ,I be crumbilin crumblin down the fuckin weed nigga dank weed,(Chorus) till fade
,
,
",Three 6 Mafia:Take A Bump
,Three 6 Mafia,"(feat. Mr. Serv-On, Fiend, & La Chat),(Serv-on),Boy,I think this the second time you done passed up this sign ,you goin'the wrong way main.,(Fiend),Slow ya role, slow ya role,ya know what im saying?,Look,we about to go I 255,(yeah)straight up to Memphis.(ya show),See what im saying, Paul said he gone meet us by Wal-Greens,,we 'bout to go head on and break this bread, ya see what I'm saying?,What you gone do?,(Fiend),Bitch,you can  picture the pain,I rip you in vain,While the young soldiers whisper my name,I'm dealing the caine,sippin' on crown, smokin' that Jane,Open the brain,let that shit inject, you think that I'm playin',Don't make me get at your kin fo those that can't,Either you die slow,ride slow, cause Fiend about to show,How not only God knows, these niggas our hoes,my stock broke,So we ain't trippin' puttin' knives to throats,Buckin the clip at the 5and 0 ,allow smoke,Dosha go straight to my lungs I see WHOMP WHOMP WHOMP WHOMP,In ya streets Chopper intro  now peep this,Got wit you F-I-E-N-D and THREE-6,Talk it like I bring I feel you need this,deep shit,Sleep wit them fishes, eat wit them bitches,it's all on you,Like that lil nigga B.G. cd volume 2,I throw hallows threw ,what you use to swallow and chew, ,'bout what ya gone do?,(Lord Infamous),Infamous I'm leavin brain dust,I'll endanger you lamers like strangers,I'm in this bitch, pimp stick, clothes hanger,I'm out the frame, on a lame, like a Banger,I either put you in a cross,or I pull the Moss,I'm runnin threw so logs, tring to blow ya leg off,I put some shit up in the line that'll blow ya mind,It's like some Colt 45, does it every time,nigga get my rhymes,Chorus: Fiend,If I pull my pistol I'm a bust wit it,Never see me holdin it and go fuss wit it,You gone be a big pussy gettin fucked wit it,Foever tucked wit it, cause you done got touched wit it,(2x')s,(Serv-on),Act like you know me when I say Im head thug on your block,Hold ya breath when I spray paint my name on yo spot,Tell your self you ain't scared when I run in your shit,I ain't bout no games woady its your life or yo bitch,Apollogize when I pass by bootin my grill,3rd World I represent it Blood City fo real,Foreget yo know me when I pistol whip you and yo click,No limit riders, Tre 6, yall aint runnin like this,(DJ Paul),Now  whats the fuck the use of holdin a gun and playin wit you hoes,I'm bout to shut down yo heart thats how the story goes,These boys think cause we some CEO's, we must be some hoes,Its consequences and reprecusions fuckin wit pros,Thiese bitches hot cause its hypnotized and no limit,We off the wham but only real niggas all up in it,I tell you what Serv kill the head of yo click,And I bet all them hoes quit talkin shit,(Chorus 2x's),(Juicy J),I never ran up yo a trunk,Blastin on a fuckin punk,Toxicated, high, or drunk,Try and grab the closest pump,Never flodged on how I lived,Fight a nigga over a bitch,Playa Im just callin pimp,Always keep a cigarette lit,Never walked up in the club,Dissin niggas wit a mug,Always keep my owm sack,Never wanted to hit your bud,Independant on you hoes,Makin more than selling dope,If you wanna hate the click,Nigga I make your body froze,(Serv-on),Close yo eyes ?,Mouth full its a south thang thuging like that,You say you know Im in North Memphis pushin that drill,Tearin clubs up in South Memphis and Smokey City,Say your prayers when I lay that iron clean on yo chest,Dont play no games boy, Im kinda wild wit that tech,Pretend you death when I scream what city  you clame,Fuck around wit me I seperate your body from your name,(La Chat),Lay down bitch ,La Chat and I ain't playing  no games,bucking you hoes,my mado keep my distance from lames,My 45 be on my side and I be ready to ride,We catch you slipin you be missin have you barried alive,My niggas downdown we got that anna that you bitches dont won't,Step to me wrong Paul,Juicy,Pat,La Chat be strapped wit them pumps,Now how you figure when you fuck up that we gone let you live,We kill your ass then set a randsome fo your guts that we spill!!!!!,(Chorus)
,
,
",Three 6 Mafia:Touched Wit It
,Three 6 Mafia,"(DJ Paul),Hey man, put the needle on the record man,Let's bump some of this motherfucking Crunchy Black,This shit bump dog,(Crunchy Black in Who Run It),This motherfucking room (static),I can't take (static),Tossed Out, These Bitches (static),I'm bout to Overload,I'm bout to kill a boy,All I (record scratch) 3x,All I wanna know is where the cheese at,Where the ki's at,Keep it easy, you don't wanna get speedy,All on this motherfucking room, nigga boom,All on this motherfucking room, nigga boom,All on this motherfucking room, nigga boom,Lay, lay, lay on yo back,Lay, lay on yo back,All I wanna know is where the cheese at,Where the ki's at,All I wanna know is where the cheese at,Where the ki's at,All on this motherfucking room, nigga boom,All On this motherfucking room, nigga boom,All I wanna know is where the cheese at,Where the ki's at,All I wanna know is where the cheese at,Where the ki's at,All on this motherfucking room, nigga boom,All on this motherfucking room, nigga boom,(Crunchy Black),Yeah I rob, Yeah I steal,Yeah I put ya body in a field,I ain't fakin no deal, just tryin to get a meal,Hustlin out here, understand my skill,This money gotta be made, made to the grave,Till death do us part, somebody gotta pay,Pay what they way, pay what they make,Don't makes no difference, I gotta get paid,Nigga, hustlin, out here on the streets,Tip toe down nigga, I ain't tryin to be beat,Like a hoe out here, like hustlin the street,Tryin to get her somethin so her pimp can eat,Ain't nothin goin on but the money and the power,Got one in the chamber for you weak ass cowards,If you keep talkin shit, I'mma come and get ya,CB is my name, and I ain't playin wit ya bitches,(Crunchy Black in Who Run It),All I wanna know is where the cheese at,Where the ki's at,All I wanna know is where the cheese at,Where the ki's at,All on this motherfucking room, nigga boom,All on this motherfucking room, nigga boom,All I wanna know is where the cheese at,Where the ki's at,All I wanna know is where the cheese at,Where the ki's at,All on this motherfucking room, nigga boom,All on this motherfucking room, nigga boom
,
,
",Three 6 Mafia:Where Da Cheese At
,Three 6 Mafia,"Talking),Hey we gonna do a song called Tongue Ring,Let me see your Tongue Ring, is it rusty, hahaha,Chorus One: {D.J. Paul},Let me feel your tongue ring, let me feel,Let me feel let me feel let me feel your tongue ring,Let me feel let me feel let me feel your tongue ring,Let me feel your tongue ring,Let me feel your tongue ring, let me see,Let me feel let me feel let me feel your tongue ring,Let me feel let me feel let me feel your tongue ring,Let me feel your tongue ring,Let me feel your tongue ring,Let me feel your tongue ring,Let me feel your tongue ring,{Juicy 'J'},Me and my niggas train yo' bitch,stole the price and stang yo' bitch,all you did was take a shot,and ball the fist to close the fist,kiss it at the mall of memph,hold the hands and love the shit,hope you ain't no ecstasy,don't you know she used to trip,open the door to pop the crespt,to take your time to fucking sex,Neva will I wear that sweatah,knowing she'd be chewing peckahs,all my boys the more the better,not a week but when you met her,spits the swallow while she asks,thats as if you gon' eat me now,{D.J. Paul},Now nigga (nigga) what ?,What the fuck ?,Im all about them freaky hoes,that like to suck,them broads wit' them booty blowin',now thats the business,I let this kinda camera for show,be my witness,them boys wit the can't block it,get them round,wit' them boys that cap rocket,drink some crown with it,niggas wit some videos,or some college hoes,that playin' hard to get,but they the freakiest (freakiest),Chorus Two: {DJ Paul},Let me feel let me feel let me feel your tongue ring,Let me feel let me feel let me feel your tongue ring,Let me feel your tongue ring,Let me feel your tongue ring,Let me feel let me feel let me feel your tongue ring,Let me feel let me feel let me feel your tongue ring,Let me feel let me feel let me feel your tongue ring,Let me feel your tongue ring,Let me feel your tongue ring,Let me feel let me feel let me feel your tongue ring,{Gangsta Boo},I be fucking this nigga,straight corruping this nigga,pussy wet as a river,you need a boat for me nigga,I be hot as a fire,oh my God I'm on fire,I be tellin' these boys,I do my thang when I'm higher,come on baby just lay there,or to bed with me baby,I be triple the playin',the triple pleasure im sayin',I be comin' with cha',if your freaky like me,if your freaky, im sneaky,hey undercover watch me,strawberries and ice,not the ice on yo' wrist,got yo' niggas dick brick,see me rubbin' my clit,(rubbin' rubbin' my clit),suckin' (suckin') my tits,camcorder got me starring high,in my first click,I be major with mine, I don't fuck all the time,I don't need you, please believe me,Nigga only when I'm in the mood for a quick,a quick ride on the dick,throw a razor in my mouth,straight slicin' yo' shit,NIGGA !!!,Repeat Chorus 2,{Chrunchy Black},Dis' Bitch, dat ho (ho),let me see you pussy ho,soakin' fuckin' wet,nigga tryin' to play some fat,oldy, freaky, hood rat type of ho,nigga don't you know all hoes ,go easy,fuckin' cum easy,fuckin' go see me,nigga fuckin' ho bout' a train bro',all nigga, all boy, take off yo' fuckin' hat,let these ho put cap in yo lap (jack),{Lord Infamous},Bonified pleasure girl,lickin' every measure girl,tryin' to find a tresure girl,nigga it's whatever girl,bitch i'll take you round' the world,lick ya dick, or tongue a twirl,All to know ya' toes will curl,and then your dick will start to hurl,talk like I fuck her in da butt,nigga it ain't hard to cut,wait untill she sittin' up,just waitin' to lick a nigga nuts,quickly gettin' naked,skinny dick, she'll strecth it,pussy stayin' wet, and she loves when niggas rake it,{Koopsta Knicca},Some did it bitches,pretty bitches,freaky bitches,I've had those sticky bitches,Grand there thin, all on the flow wit' bitches,them goin' bitches,hoein bitches,blowin' bitches,mad at the stoned up bitches,flowin' bitches,some sort of rollin' bitches,scary bitches,plenty bitches,hairy bitches,even the smelly bitches,ready bitches,beat up the deadly bitches,say what ?,to tear up the ugly bitches bout' the news,Koopsta my bloodshed bullsucker,bitch you gon' feel the nooooise !
,
,
",Three 6 Mafia:Tongue Ring
