album,artist,lyrics,title
To The Extreme (1990),Vanilla Ice,"Yo, VIP, let's kick it,Ice Ice, baby,Ice Ice, baby,All right, stop, collaborate and listen,Ice is back with my brand new invention,Something grabs a hold of me tightly,Flow like a harpoon daily and nightly,Will it ever stop?,Yo, I don't know,Turn off the lights and I'll glow,To the extreme I rock a mic like a vandal,Light up a stage and wax a chump like a candle,Dance!,Bum rush the speaker that booms,I'm killin your brain like a poisonous mushroom,Deadly when I play a dope melody,Anything less than the best is a felony,Love it or leave it,You better gain way,You better hit bullseye, the kid don't play,If there was a problem, yo, I'll solve it,Check out the hook while my DJ revolves it,Ice Ice, baby    ,Vanilla  (4X),Now that the party is jumping,With the bass kicked in and the Vegas are pumpin',Quick to the point, to the point no faking,I'm cooking MCs like a pound of bacon,Burning them if they're not quick and nimble,I go crazy when I hear a cymbal,And a hi-hat with a souped up tempo,I'm on a roll and it's time to go solo,Rollin' in my 5.0 with my ragtop down so my hair can blow,The girlies on standby,Waving just to say, ""hi,"",Did you stop? No, I just drove by,Kept on pursuing to the next stop,I busted a left and I'm heading to the next block,That block was dead, yo,So, I continued to A1A Beachfront Avenue,Girls were hot, wearing less than bikinis,Rockman lovers driving Lamborghinis,Jealous, 'cause I'm out getting mine,Shay with a gauge and Vanilla with a nine,Ready for the chumps on the wall,The chumps are acting ill because they're so full of eight ball,Gunshots ranged out like a bell,I grabbed my nine--,All I heard were shells,Fallin' on the concrete real fast,Jumped in my car, slammed on the gas,Bumper to bumper, the avenue's packed,I'm tryin' to get away before the jackers jack,Police on the scene, you know what I mean?,They passed me up, confronted all the dope fiends,If there was a problem, yo, I'll solve it,Check out the hook while my DJ revolves it,Ice Ice, baby    ,Vanilla  (4X),Take heed, 'cause I'm a lyrical poet,Miami's on the scene, just in case you didn't know it,My town that created all the bass sound,Enough to shake and kick holes in the ground,'Cause my style's like a chemical spill,Feasible rhymes that you can vision and feel,Conducted and formed, this is a hell of a concept,We make it hype and you want to step with this,Shay plays on the fade, slice like a ninja,Cut like a razor blade,So fast, other DJs say, ""Damn"",If my rhyme was a drug, I'd sell it by the gram,Keep my composure when it's time to get loose,Magnetized by the mic while I kick my juice,If there was a problem, yo, I'll solve it,Check out the hook while D-Shay revolves it.,Ice Ice, baby    ,Vanilla (4X),Ice,Yo man--let's get out of here!,Word to your mother!,Ice Ice, baby    ,Too cold,Ice Ice, baby    ,Too cold too cold (3X)
,
,
",Vanilla Ice:Ice Ice Baby
,,,
,,,
,,,
,Vanilla Ice,"I'm a survivor, Ive been around the block,,I'm a survivor. Ive been around the block.,I'm survivor yeah...,Wel its not about the industry,,And its not about the things that i been through like NAS and Jay Z.,See I Seen alot of things on the road to destruction, addicted to this rap game standing up and busting,,This aint a come back, this aint a second coming,We took a real loss when John back stops strumming!,America's in trouble, the music is dying, they said some things about me now the rap game is lying!,I'm A survivor, Ive been around the block, I'm a survivor, I'm coming out of the block, I'm a survivor, and yet you know i wont stop! I'm a survivor, i cant escape the block! I'm a survivor! What you got? what you got? What you got? what you got? I'm a survivor, you dont want it, you dont want it, you dont want it!,From sold out stages to seconds from my life, to rolling with madonna, to wrecking on my bike, there are some things i regret, and some i dont, and some i dont!,I went from styles of the 90's to Dickies and short toes, no matter what I'm wearing, i'm still in a hell hole, escaped suicide from that gun on my dresser, i look into my daughter's eyes that relieves the pressure!,I'm A survivor, Ive been around the block, I'm a survivor, I'm coming out of the block, I'm a survivor, and yet you know i wont stop! I'm a survivor, i cant escape the block! I'm a survivor! What you got? what you got? What you got? what you got? I'm a survivor, you dont want it, you dont want it, you dont want it!,First the love you then they hate, sign you then they rape you, treat you like a sport, pump, fake you then they shake you!,I dont want your, cause i'm far from the norm, i cant take what you give i'd have made it through the storm! I want the whole world to know me straight through my songs, baby when i die, let the songs live on!,Cause i'm survining, now ya know i wont stop, i'm survivng, i'm coming out of the block!,I'm A survivor, Ive been around the block, I'm a survivor, I'm coming out of the block, I'm a survivor, and yet you know i wont stop! I'm a survivor, i cant escape the block! I'm a survivor! What you got? what you got? What you got? what you got? I'm a survivor, you dont want it, you dont want it, you dont want it!
,
,
",Vanilla Ice:Survivor
,,,
Bi-Polar (2001),Vanilla Ice,"Ice Quote From Cape Fear,I aint no white trash piece of shit,I better than you all ,I can out think you ,I can out learn you ,And I can out philosopherphy you
,
,
",Vanilla Ice:White Trash
Bi-Polar (2001),Vanilla Ice,"Phone Message Jeramy McGrath, Victor Sheldon,Yo Rob whats up?,It's MC and Slasher here,We heard about the new record,Cant wait to hear it,Alright call us...later
,
,
",Vanilla Ice:MC & Slasher
Bi-Polar (2001),Vanilla Ice,"Phone Message Zero,Yo whassup boy,I was tryin to see if you was by the TV,I wanted to tell ya some shit on Discovery Channel about neanderthal man,And the type of man that was before them,you know how they came after them ,But guess you got the mobile off,Later
,
,
",Vanilla Ice:Anthropology 101
Bi-Polar (2001),Vanilla Ice,"Phone Message from Ross Robinson,""Hey dude it's Ross,Just callin to say hey,Im much better now,I fractured my spine,It was f**ked up,I did a triple over a double,And landed on my head,So um...I did it on the 426,Yep...wasn't to fun,But before that dude I was f**kin totally in tune,And feelin kick ass on the track,It was liek the best I've ever felt,So maybe thats why I started gettin all cocky and shit,Uhh...Alright man, just workin away super hardcore on Slipknot,And I'm about 5 days left and take like a week off,Or somethin like that and start the next one,Hope your doin good dude,Talk to ya later""
,
,
",Vanilla Ice:Crash And Burn
Bi-Polar (2001),Vanilla Ice,"Phone Message Vampiro,Hey Ice ,Its Vampiro fom WCW,I'm just chillen with ICP here at the Wafflehouse,I'm just callin to say what's up,Haven't met ya yet, but I'm sure I will,I'll see ya later man, Peace
,
,
",Vanilla Ice:Vampiro
Bi-Polar (2001),Vanilla Ice,"Now here's a Zig Zag story while I'm writing this song,Sit back relax I'm igniting this bong,Picture this sandy beaches dimes wearin thongs,Serving mixed drinks to me all night long,With me feet back puffin on my weed sack,Shit you can't believe that people ask me ,Where you buy your trees at,Got the Bombay Ganje lime green,Sticky icky Ganja got me needing Visine,Like a magic carpet ride come fly with me,And this is for my homies that get high with me,Just crack the Phillie open cause we keep on smoking,Dimes rubbin on lotion ,Feet soaking in the ocean,On a tropical Island staying sunny,We outta Phillies take these skins somebody roll a Mummy,Now people say money makes the world go round,So come escape with me and let's puff on a pound.,Chorus:,So high fly through the sky,And ride my life high,Fly through the sky,No matter what you say,Feeling so alright so Ire today,Fire de go blaze,No responsibility man,No responsible,Me I go rolling a fat blunt,Smoking the fat blunt,This is my goal.,Take it easy Rastaman,I will now go blaze,From Kingston Jamaica,Bombay to India,Smoking in the air,What da da da day,Some of them are smoking ,Weed to take away frustration,I and I do it for me aggravation,Dreadlock to Babylon are selling everyday,Come me say,Bringing it back on the boat back to the USA,With the ganja me floating me floating away ,Why not come and puff with me and then we go fly away,Chorus repeat,Well it's the sticky icky bomb Holmes,Got the fat sacks puffier than Sean Combs,It's the Ice man back blowin dookie out the nostrils,In the studio creating shit that's colossal,Apostle of the green bud see me bleemed up,In my 430 Lexus off in Texas teamed up,With the Darkman and we're blazing,Some headbanging shit yo the Ice'll come equipped,To spit with the best cause I'm all about mine,I got dimes of smoke that'll make you float on cloud nine,Then I shine just like a beacon in the night,Pass me the Thai I get high on the mic,For real a zig zag story for my peeps,Bangin in the Jeeps while you slang it in the streets,Like Napalm I'm way gone and now it's time to bounce,It's the weed song come with me and smoke an ounce,Chorus repeat
,
,
",Vanilla Ice:Tha Weed Song
Bi-Polar (2001),Vanilla Ice,"Confrontation town front ,I can't front! No, I can't believe this funk ,Got a blacklash as long as some happy ass ,Clown, frown, Uh I get down ,In the trenches underneath the underground ,Under a blanket of hell you never heard rejected the sound ,Wrap your troubles in dreams baby in search of a theme ,I can't believe I'm triple teamed ,I voted! Hope my ass wasn't railroaded ,Ran for the border to avoid the slaughter ,Shit! I blamed that tape recorder cause you mad outta order ,Beyond categories, another East side story Uh ,That's three thousand miles ago ,Cause cats are shook by past crooks ,Doin' street hooks too many freestyles yo be off the books ,Be the judge make sure that needle don't budge don't prejudge ,Your frustration anger at the association ,What difference it makin got the whole world ,Hatin art of war vocals influence the locals ,It's a mad mad world we've been living everyday ,What you gone to say all man say I'm a f**k up ,Living don't throw it away ,It's a mad mad world we've been living everyday ,What you gone to say all man say I'm a f**k up ,Living don't throw it away ,Claving est operes a mixer ,Le New Jacks sont dans ,Les MC's sont pres auteur en toute Liberte ,It's a mad mad world we've been living everyday ,(Transalation) We are ready to get in the mix ,The new generation are in the place to be ,MC's are ready to express themselves freely ,Now I feel trapped in this everyday form of life ,Who's wrong or right who knows I still fight ,To survive life from the land of confusion ,Man's abusing which religion are you choosing ,Substance abusing losing touch with reality ,Have you forgot about your family values ,Can't you understand the plan ,World destruction push the button end of discussion ,Boom ,What'cha gonna do now ,It's like the sound of a Mosberg pump goin Boo Yow ,What a mad world ,We got cops on the take ,Females being raped ,Bodies floatin' in the lake ,Why Over hate ,Better check your faith cause it'll be gone before you wake
,
,
",Vanilla Ice:Elvis Killed Kennedy
,Vanilla Ice,"(performed by derek b),To the people in the front,And all the people in the back row,Nice to see y'all jammin left to,Right toe to toe,No more introductions you know,Who I am,If you don't I couldn't really,Give a damm!,So just slide to the glide of the,Rhyme in motion,Or rock to the rhythm of this magic potion,To have an opinion, not to follow a crowd,,Brothers and sisters say it loud,Not here to depress, only to stress,Yes, we can all get out of this mess,My license revoked, people think I choked,,Try to hange me with the rope, but nope,,See I'm too dope.,Chorus,Everybody,You've gotta look up,You've gotta,Everybody,Don't ever look down,Don't let them put you down,With a bang the bass kicks once again,,I'll repeat myself try to tell you again,No, not a politician or an,Obstitrician,Just a down young man who watches and,Listens,Weary of the system tryin to rip us off,So they let you use drugs so your mind goes soft,Confused, amused at what the papers say,Never get their facts straight anyway,'cos I've lived through the night of a 1000 knives,Watched journalistic murder with,My damn eyes,Seen 'em make, take, break many peoples lives,Fillin up the public with nothing but lies,Livin in a class segregated nation,Gutter press, comicbooks, mind information,Try to keep me quiet just sittin in the corner,But my name is derek b,Not little jack horner.,Chorus x 2,The plot thickens as the rhyme goes on,Can you hear ""woo yea"" anywhere,In this song,Let me take a breath, let me get some space,Hold tight let's kick in the bass,,Out of fourth gear rhyme in to cruise,,Lyrical language, bring you more news,If you have no ambition, no heart, or gold,No ambition no heart no soul,Gotta play to win no second place,Why do you think they call this the human race,Don't wanna be classified or be trendy,Don't like junkfood especially wendy's,No ad in no mag tells me what to wear,Or for that matter what to do with my hair,Not a hip house or hip hop just my kinda song,Delivered by the young black capricorn.,Chorus,Life is much bigger than colour and greed,So slow down and on't feed your greed,Everyman for himself that's not the way to go,Stick together then we'll all go,One world one colour one people as we dance,Get on the dancefloor,Now is your chance to express yourself by the way you move,The rhyme.... ambassador here's my groove,Chorus x 2,Written by d. boland,Produced by: nyc & costello,Programmed by: d. carter & nyc & costello,Mixed and engineered by hot black four,Recorded at: matrix studios, uk,Mixed by gail ""sky"" king at soundworks, new york,Engineered by hugy dwyer at soundworks, new york,Published by copyright control
,
,
",Vanilla Ice:You've Got To Look Up
