album,artist,lyrics,title
Enter The Wu-Tang (36 Chambers) (1993),Wu-Tang Clan,"[Intro:],Shaolin shadowboxing, and the Wu-Tang sword style,If what you say is true, the Shaolin and the Wu-Tang,could be dangerous,Do you think your Wu-Tang sword can defeat me?,En garde, I'll let you try my Wu-Tang style,[Chorus: RZA],Bring da motherfuckin ruckus,Bring da motherfuckin ruckus,Bring da mother, bring da motherfuckin ruckus,Bring da motherfuckin ruckus,[Verse One: Ghostface Killah],Ghostface, catch the blast of a hype verse,My glock bursts, leave in a hearse, I did worse,I come rough, tough like an elephant tusk,Ya head rush, fly like Egyptian musk,Aw shit, Wu-Tang Clan spark the wicks an',However, I master the trick just like Nixon,Causin terror, quick damage ya whole era,Hardrocks is locked the fuck up, or found shot,P.L.O. style, hazardous, cause I wreck this dangerous,I blow sparks like Waco, Texas,[Verse Two: Raekwon the Chef],I watch my back like I'm locked down, hardcore,Hittin sound, watch me act bugged, and tear it down,A literate type asshole, songs goin gold, no doubt,and you watch a corny nigga fold,Yeah, they fake and all that,Carryin gats but yo, my Clan,Rollin like forty Macs,Now ya act convinced, I guess it makes sense,Wu-Tang, yo sewwwwwwwww, represent,I wait for one to act up,Now I got him backed up,Gun to his neck now, react what?,And that's one in the chamber,Wu-Tang banger, 36 styles of danger,[Chorus: RZA],Bring da motherfuckin ruckus,Bring da motherfuckin ruckus,Bring da mother, bring da motherfuckin ruckus,Bring da motherfuckin ruckus,[Verse Three: Inspectah Deck],I rip it hardcore, like porno-flick bitches,I roll with groups of ghetto bastards with biscuits,Check it, my method on the microphone's bangin,Wu-Tang slang'll leave your headpiece hangin,Bust this, I'm kickin like Seagal, Out for Justice,The roughness, yes, the rudeness, ruckus,Redrum, I verbally assault with the tongue,Murder one, my style shot ya knot like a stun-gun,I'm hectic, I wreck it with the quickness,Set it on the microphone, and competition get blown,By this nasty ass nigga with my nigga, the RZA,Charged like a bull and got pull like a trigga,So bad, stabbin up the pad with the vocab, crab,I scream on ya ass like your dad, bring it on...,[Chorus: RZA],Bring da motherfuckin ruckus,Bring da motherfuckin ruckus,Bring da mother, bring da motherfuckin ruckus,Bring da motherfuckin ruckus,[Verse Four: The Genius/GZA],Yo, I'm more rugged than slaveman boots,New recruits, I'm fuckin' up MC troops,I break loops, and trample shit, while I stomp!,A mudhole in that ass, cause I'm straight out the swamp,Creepin up on site, now it's Fright Night,My Wu-Tang slang is mad fuckin' danger,And more deadly than the stroke of an axe,Choppin through ya back *swish*,Givin bystanders heart-attacks,Niggas try to flip, tell me who is him,I blow up his fuckin prism,Make it a vicious act of terrorism,You wanna bring it, so fuck it,Come on and bring the ruckus,And I provoke niggaz to kick buckets,I'm wettin CREAM, I ain't wettin fame,Who sellin gain, I'm givin out a deadly game,It's not the Russian it's the Wu-Tang crushin,Roulette, slip up and get fucked like Suzette,Bring da fuckin ruckus...,[Chorus: RZA],Bring da motherfuckin ruckus,Bring da motherfuckin ruckus,Bring da mother, bring da motherfuckin ruckus,Bring da motherfuckin ruckus,So bring it on...[X7],punk nigga!
,
,
",Wu-Tang Clan:Bring Da Ruckus
The W (2000),Wu-Tang Clan,"Yo, this is a Wu-Banger two thousand and one noise maker ,This is DJ Kay Slay, from around the way off the hook guerilla anthem ,And I'll smack the shit outta any of you DJ's that front on this shit.. think I'm playin? ,[Hook x2 (Method Man)],I heard you ladies got them Thang Thangs ,Do you really? ,I heard you niggas like to bang bang ,Do you really?  ,[StreetLife],I never been a fan of the fame ,I got love for the game ,Never lust for the dames ,I got dust in my veins ,Hit 'em off in the brain ,Kid talks but its lame ,Sniffed a little blow with the rap Eddie Kane ,And i f**ked a lot of bitches off the strength of the name ,Spent a lot of dough, its so hard to explain ,Snowboarding down a ski range, its a blue and grey frame ,Wu-Tang see me in the next Lex with the game ,Keep, pointing the finger, I'm that nigga to blame ,The main reson why you duck the chain ,Self proclaimed, got a lotta profit to gain ,And I'm leaving the rap game the same way I came  ,[Method Man] ,Now creep with me, as I roll through the Stat ,Let me hit that (draws), contact, learn how to act ,Little Meth got my back, little pinky fat-fat ,Before you bring that drama the end; I'll fade to black ,Positive, I hate kids who tell me lies ,Got 9 lives, 9 wives that dont listen ,Despise guys that wanna get high but never buy ,Bitchin' their biological clocks is tickin' ,Wu limited edition hot off the presses ,Method, runnin' 'em out, gun in my mouth ,I guess its, curtains for competition ,After midnight eatin' emcees chase through suburbia ,The kid your momma warned you about, tear down the house ,You tremblin', behind a crumblin' wall, surrenderin' ,Thats what you get, for rushin' in the direction I was bustin'  ,Polish your sword, your shit is rustin' ,[Hook x2] ,[Masta Killa] ,Step into the session 1,2, testin', testin', mic check wreckin' ,Automatic weapon off safety ,Don't play me ,Butt brings all them things with silencers ,My clans liver than your average 85'er ,Strive to stay alive ,Cos its real on the battlefield ,I play for keeps in the streets ,Shells hit the ground from the steel ,Bullets travel, sun set fire to your mind ,Words combine when I rhyme to feed the blind Prepare my queen for battle and walk down ,Game word bond, sword silenced ,I drink from the wine of violence, no tolerance Me in military fatigues bulletproof underneath ,Buy enough ammunition,go round and sweep the streets ,Of Brooklyn, Central, sugar-whipped the rental ,While I'm lickin out the window at y'all ,F**k y'all  ,[Hook x2]  Yo,  ,[Inspectah Deck] ,We strive to eat right ,We thrive on street life ,They blindin' these sight ,We tried to be nice ,They talk the small talk ,We walk the long walk ,We lost, they all thought ,We rock for hard rock ,They forced to fall short ,Rocked the hot blocks ,Shop and cop rocks ,Watch the top notch in action ,Begin to make your head spin ,We bang like veterans ,Wu-Tang my bredren ,Or face the double M, we came to trouble them ,They came for record spins, taste the medicine ,Enough to spin out the blue, bitches lovin' them ,Hustle them for their 20 mill then buckle them ,Stumblin' thug passions, it must've been ,Dozen men with force of a hundred-ten ,[Hook x4]
,
,
","Wu-Tang Clan:Do You Really? (Thang, Thang)"
,Wu-Tang Clan,"(RZA),1,2, 1,2, yo check this out, it's the jump off right now,I want everybody, to put your work down, put your guns down,And report to the pit, the gravel pit,Leave your problems at home, leave your children at home,We gon' take it back underground, I be Bobby Boulders,Wu-Tang Clan on yo' mind one time,It's the jump off, so just jump off my nigga...,HOOK: Paulissa Morgan,Check out my gravel pit,A mystery unraveling,Wu-Tang is the CD that I travel with,Don't go against the grain if you can't handle it,(Meth),Ha, holocaust from the land of the lost,Behold the pale horse, off course (off course),Follow me, Wu-Tang gotta be,The best thing since Starks in Clark's Wallabees (ZZZH),African killers bees black watch (black watch),On your radio, blowin out yo' watts (ZZZH),From Park Hill, to House on Haunted Hill,Every time you walk by your back get a chill (BLBLBH!),Let's peel, who want to talk rap skills,I spit like a semi-automatic to the grill (BOOM!),Elbow grease, and elbow room,Baby play me, baby fall down, go boom (BOOM!),Party people gather round, count down to apocalypse (3, 2, 1...),(U-God),I'm the kid with the golden arms,(Meth),And I'm the motherfuckin hott nikks (AAAAH!) pass the blunt,My nigga don't front,You had it for a minute but it seem like a month (COUGH),Now I'm chokin, smokin, hopin,I don't croakin, from overdosin...,Hey kid, (walk straight Masta, you're high...),Wu and Meth got you open (open), let's ride,Can't stand niggas that floss too much,Can't stand Bentleys they cost too much,Kid wanna get up then kid get touched,Kid wanna stick up then kid get stuck,I'm the one that called your bluff,When your boy tried to act tough...,Remember what Old Dirty said, I'll fuck yo' ass up!,Now listen,(Meth over hook),Back, back and forth and forth,Back, back and forth and forth,Back, back and forth and forth,As we go...,Back, back and forth and forth,Back, back and forth and forth,Back, back and forth and forth,As we go...,(Ghostface),E with the English, extinguish styles extremist,Bald head beamers run wild,It's the kid with the gold cup,Stepped out like what,What's poppin, and y'all niggas dobo,Blastin shae shae, chocolate shortae,Rich color mocks, rock those all day,1960 shit I'm Goldie,That's right motherfucker don't hold me,The world's greatest, Las Vegas, paid as rock,Skin painted on my face look ageless,Perfect combos, Ghost bang out condos,Jeff from Hamo, ex three bangos,Bancos, stank hoes in plain clothes,Change those, bang those, same old, same old,(Raekwon),Yeah y'all, straight up this the jump off right here,The gravel pit, word up represent, rock the boulders,All my rich gangsta style, killers, y'all know what time it is,Shorty do your thing, get up on that shit right now boo, do you,That's what I'm talkin 'bout,(U-God),Yo, step to my groove, move like this,When we shoot the gift of course it's ruthless,Grab the mic with no excuses,In a sec, grab the techs and loot this,Executin, shakin all sets, and I'm breakin all hecks,I'm takin all bets, move all best, who want the dram' next,You all stank, we got the bigger bank,Bigger shank to fill your tank,Still the same kill you for real, while you crank,Slide, do or die, fry to bake,Admire the greats, on fire wit a heart of hate,Bitter shark, every part I take, heavy darts that quake,It's okay, all fakes, get caught by the dropkicks,You know the thrill, yes it's Park Hill,Yo we hit 'em with the hot grits...,On the go, check the flow, sayin Wu don't rock shit...,Stop quick, hold the gossip, stop sweatin my pockets,I hear the hot shit
,
,
",Wu-Tang Clan:Gravel Pit
,Wu-Tang Clan,"(feat. Nas),(Intro Skit),Someday I'm gonna be walkin down the streets,,Mindin my own business.. and BAM!!,I'm gon' be shot by some pig who's gonna SWEAR,That it was a mistake.,I accept that as a part of my destiny!,{*Si es mi destino morir en la calle como un perro! Hahaha*},(Raekwon the Chef),Whattup kid?  That's right..,Yo.. aiyyo.. aiyyo..,(Chorus: Raekwon),Aiyyo let my niggas live,We show and prove get paper, catch me in the caper on shrooms yo,Let my niggas live,We real niggas that's God-body, challenge anything, make major moves,Let my niggas live,We giants, live off the land lions, post with iron, no pryin rules,Let my niggas live; aiyyo let my niggas live,Handle your bid and kill no kids,(Raekwon the Chef),Millionaire feat, whole family eat; yo, y'all niggas is weak,Got a bird beak, chirp chirp speak,Kids that's rich that'll, run in your bitch and by the third week,Yo mark my word, me and my herb speak,That's that fire move like Schwinns yo,Invisible pens that write light, leave blends,Hit with the JF Kennedy shot,Smash with the Acapulco rifle got got,Bolt off, but got clocked,Legendary here, custom made it, shit bladed, word up,Design your alphabet, reps get graded,We in get-high saloons, big bag of shrooms, arm's length,Home of Allah's ten big rooms,So what we up in here, modelin large with rigorous moves,Exotic Gods bust my hammer at frauds,Call him a live merchant, dressed in all red, that's right y'all,Gucci jumper X-5, gettin more head,(Chorus),(Nas),I scream at the mirror, curse, askin God, ""Why me?"",Run in the black church, gun in my hand, y'all try me,I'm God-son, son of man, son of Marcus Garvey,Rastafari irie, Ha-ile Selassie,Police'll try to break us, but the streets raised us,It takes more than metal bars, we destined for ours,I hear murder plans from dopefiends, with elephant hands,Snots in they nostril, the blocks is hostile,There's no pots to piss in, glocks is spittin,Rocks cookin underground bodies stiffin, cops look at bird shit,Drop on the window pane, the oxygen is cocaine,It drove lots of men to die with no name,I been on boats, nut down throats, pee on bitches who famous,Pretty dick, puttin stitches in they anus,I'm the animal that Hugh Heffner created,The only nigga Sadé dated, the most hated, Nas nigga,(Chorus),(Inspectah Deck),Roughneck reppin the set, bang 'em twice in the neck,C.O. flip and jerk the whole yard rec,Block vets, pop barettas glocks and tecs,You're no threat, gun talk, the language of the project,Checkin shorty with the +Black Tail+ stance, leapord pants,Yellin fuck her man, makin killings off her lap dance,Plus the young guns runnin the slums, funds is major,Drugged out, got you huntin for crumbs stuck to the razor,Semi-autos roar in the building hall,Symptoms of bloodsport, the slugs are still in wall,Call it a New York state of mind, gotta take mine,In the daytime, the Jakes'll hit ya forty-one times,So I live by the sword and obey hood laws,Make my team click like high heels on wood floors,(Chorus)
,
,
",Wu-Tang Clan:Let My Niggas Live
,Wu-Tang Clan,"(RZA),All you hoes, be cryin for these bitches,All you niggaz, be cryin for these hoes,{*scratched samples*},""Both hands clusty"" - Ghost, ""Pullin out gats"" - Raekwon,""Double barreled"" - Meth, ""Blew off the burner kinda dusty"" - Ghost,""We back, don't test"" - Raekwon, ""Bring it to em proper, potnah"" - Meth,""Comin from the thirty-six chamber"" - Meth,""Math, let the plate spin"" - GZA, ""Many brothers y'all be sparkin"",""Stray shots, all on the block that stays hot"" - Inspectah Deck,""If ya fuck with Wu, we gots ta fuck witchu"" - Method Man,(Ghostface Killah),Who the fuck knocked our buildings down?,Who the man behind the World Trade massacres, step up now,Where the four planes at huh is you insane bitch?,Fly that shit over my hood and get blown to bits!,No disrespect, that's where I rest my head,I understand you gotta rest yours true, nigga my people's dead,America, together we stand, divided we fall,Mr. Bush sit down, I'm in charge of the war!,(Inspectah Deck),Yes yes y'all, the I-N-S bless y'all,Stop hearts like cholesterol, let's brawl,Never fall, tear it down like a wreckin ball,Role call where my niggaz that's one for all,And all for one, we draw the guns on impulse,Cash in the envelope, spend it on kinfolk,Then smoke a ounce as we count mills,Providin you pure ecstasy without pills,(Chorus: Method Man),Y'all know the rules, we don't fuck with fools man,How the fuck did we get so cool man?,Never ever disrespect my crew,If ya fuck with Wu we gots ta fuck witchu,(Masta Killa),Y'all dogs better guard ya grills, it's all real,We live from (?), it's the God I-Reelz,Yo wonderful, spark the blillz,Let me build with the people for the mills,I'm rollin with the Rebel I-Ill from Killa Hill, peace to Brownsville,Brothers that'll kill for the will of the righteous,Twenty-five to lifers, true and livin snipers,You wait like ""Sixth Sense"" 'til hard to kill,(StreetLife),How you livin StreetLife?  I'm surrounded by criminals,Serial killers tote guns without the serial,High-tech, street intellect, all digital,Project original, sheisty individual,New York's bravest, always supply you with the latest,We hall of famers, and still hit you with the greatest,Took a year hiatus, now you wanna hate us,Thanks to all you haters for all the cream you made us,(Chorus),(Raekwon the Chef),Sendin letters to (?), my cousin in Wendy's on Viacom,At home, it's worth money, I adorns,Order drinks, all real niggaz order your minks yo,We got the fitteds on, lookin all fink,Daddy everybody get money from now on,Payday flash Visas livin like, Easter e'ryday,Don't fuck Benz, rather a 430,That shit that float through water, eyeball come up, drop birdies yo,(Method Man),We can eat right, or we can clap these toys,I'm with StreetLife, ain't never been a Backstreet Boy,Who y'all kiddin?  Tryin to act like my shoe fittin,Confused with ya head up yo' ass like who's shittin?,It's Hot Nixon, same team same position,Battin average three-five-seven and still hittin,Y'all still bitchin, still lame and still chicken,I'm still here, one leg missin and still kickin,Cause I'm haaaaaaaaaaaard!  Hard like a criminal,Love like a tennis shoe, throw slug to finish you,It's the Method Man, for short Mr. Meth,I can tell this motherfucker ain't Wu, look at his neck,""Comin from the thirty-six chamber"" - Meth,""Bring it to em proper, potnah"" - Meth - ""Wu, Tang, Wu, Tang"",(Method Man),It's Wu-Tang, rushin yo' gang, crushin the game,Pretty thugs, clutchin they chain, hand cuppin they thang,Who get strange, gassed up playin with flames,Let a nigga take off his shades, see what I'm sayin is..,(Chorus)
,
,
",Wu-Tang Clan:Rules
,Wu-Tang Clan,"(feat. Junior Reid),(Junior Reid),Him speaketh in tongues into the hearts of all flesh,Yeah stanyoi,Whoi,(Ghostface Killah),Oh God, I beg for forgiveness,So help me Lord, yes I beg for forgiveness,Deep in my heart, please, I'm crying for forgiveness,Allah U Akbar, I fall to my knees for forgiveness,Branded by the steel iron, bullets flying,Ladies being hit through wickedness, I'm losing my grip,I thought we lived by the books, The Bible, Koran,We pick cotton, my back is still hot and dark and,They threw burners in our babies' faces,Pale hands that looked scary touched our bodies in the strangest places,Sweat from the white man's head,Fell on our daughters as she cried, giving white man head, almighty,Alrighty, niggaz is screwing,God won't you tell me why these ho niggaz is screwing?,I'm sorry father, sacrifice me, leave me wife,Sacrifice me twice, so my kids can see paradise...,(Junior Reid),So we heed our god king sellasie I, jah rastafari,who is seated in zion and reigneth in all,In the hearts of all flesh,Whoa wow,Let my task oh jah with them that strive with me,Fight against them Whoa wow that fight against me,Whoa wow,Take hold thy shield and rock and stand up for my health,Oh jah, oh jah, only you can comfort me,La la la, la la la la la, la la la la,La la la whoi stand out,(RZA),Curse to the wicked snakes who try to snatch the truth away,Cursed be the ones who try to take our youth away,Peace to the black, the brown, the red, yellow, and white seed,We don't discriminate man over color/creed,They tried to snatch up our beats, son, and steal our culture,and German Catholics, whitewashing Roman sculptures,How dare you try to deny Allah's intelligence?,Kidnap the truth, and destroying the black evidence,(Junior Reid),Glory be to the father,Glory be to the son (Glory be to the holy one),Glory be to the holy one,The holder of creation whoi,As jah was in the beginning is now and forever shall be,Jah world,Jah world without end whoi,So we heed our god king sellassie I, jahova god, jah rastafari,Who is seated in zion and reigneth in the hearts of,In the hearts of all flesh whoi
,
,
",Wu-Tang Clan:Jah World
,Wu-Tang Clan,"(feat. Busta Rhymes),(Busta Rhymes),Yeah, yeah yeah now, what the fuck now?,Flipmode Wu-Tang shit, what the fuck now?,Yeah yeah yeah..,Historical and monumental shit,What the fuck now?  Yeah, yeah, yeah,Straight smack a nigga right in the face like this was handball,Or make a mural out his face up on a damn wall,Niggaz play hard and shit; if you know what's best for you,y'all niggaz better safeguard your shit,Even though we rep brass knuckle rap,Fuck with street geniuses and bowlegged chicks who walk with a gap,Street niggaz now the corporate boss,Still go to y'all resteraunt for steamed fish and Irish moss,And y-yo, the way we do it and you see how my shit bomb,Your whole show wack and I'ma cancel your sitcom,Fuck a nigga broad 'til she tired and real calm,You ain't knowin my name tattoed on your bitch arm,The way we blow SHIT is a shame,Casually bust my gun and celebrate bustin a cork on the champagne,Wrote you with a whole new approach that lead a whole team of niggaz,Y'all should know I only ball like a coach, NOW!,(Raekwon the Chef),Check out the light fixture, freak lines like white bitches,Let the mic lines - hang that slang is ridiculous,Emperor of warlords, big gun only fuck with sawed-offs,That's my specialty, more to bust,Shot out my bed parrot keep it gangster Lord,I analyze your work those that got merked were not established,Texture look classy, arm baby 2000 raspberry,S-5, blowin through Asbury,Soon to own steakhouses, glowin like makeover thousand,Them them niggaz, robbin from Pinkhouse's,Show and prove, knockin off cab drivers,God, sodomize money, ring two hundred thousand,See the color of the carved out Wu emblem,Baby, it's all designers, tailor-made Wu gooses,Limousine, automatic new uzi's in 'em yo,Relax, cousin just cruise through, jewels with him,(GZA),Move up the block, giant box blast my song,Non-stop strictly hip-hop, march on,Doo-rag hang long, metal tape is high-bias,Graphics, captured with the colorful, iris,I zoom in, while the listeners tune in,Some assumin they paid dues and joined the union,Lost nigga couldn't rumble in this wild jungle,Quick to crumble, type to be on the stand and fumble,Divine Master, threw on the track that made 'em bleed,He produce at unattainable rains of top speed,This powerful magnet, that left 'em stagnant,was unlikely in cameras in larger fragments,Un-filled rifle, scout sniper, shots precise,Starlight scope, with the night vision device,Splendid marksman, that'll shoot the one off the dice,Split a grain of rice, in one shot we kill 'em twice,{*GUNBLAST*}
,
,
",Wu-Tang Clan:The Monument
,Wu-Tang Clan,"(INS),Ladies and gentlemen, we'd like to welcome to you,All the way from the slums of Shaolin,Special uninvited guests,Came in through the back door,Ladies and gentlemen, it's them!,Dance with the mantis, note the slim chances,Chant this, anthem swing like Pete Sampras,Takin it straight to Big Man On Campus,Brandish your weapon or get dropped to the canvas,Scandalous, made the metro panic,Cause static, with or without the automatic,And while I'm at it, yo, you got cash, pass it,It's drastic, gotta send half to Dirty Bastard,(Raekwon),Ayo, ayo,Waves is spinnin, blades is spinnin,Slay em in the eighth inning,Stay truck, god stay playin linen,Kill rap, observe the uptowns, ho, feel that,Mink jeans on, seen where the real at,2000 zitos, movin wit a ill ego,For real, for real, ill lines, ill people,Yo, bring it back, 9 more civilians,Pollyin deals, monopoly and bills,Y'all niggas lyin,Caught 300, lab look royal wit a mean stomach,Go broke, all seen, done it,Words from the heavy set,If I don't eat, then we already met,Fly ass bro, liver than coke,(Meth),Now what Clan you know wit lines this ill?,Bust shots at Big Ben like we got time to kill,Niggas can't gel or I'm just too high to tell,Put on my gasoline boots and walk through hell,Wit 9 generals, 9 ninjas in your video,9 milli blow, semi auto wit no serial,Man metaphysical, I speak for criminals,Who don't pay they bills on time and fuck wit digital,Never seen, smoke a bag of evergreen,My sword got a jones, more heads for the severing,Johnny in the dungeon, takin all bets, throw ya ones in,Scared money don't make money, throw ya guns in,(Masta Killa),That's word to Jah Mo, San Juan, Puerto Rico,Blowin hydro on a beach wit Tamiko,My gun bullet hollow for you to swallow,Blowin the nozzle, hear it whistle,One in the head, this is code red, man for dead,X amount of lead spray from the barrel,Heat clear the street like Connor O'Carroll,Fully equipped, rifles, banana clip shit,To make my niggas from East New York flip,(Bobby Digital),Yo, you may catch me in a pair of Polo Skipperys, matching cap,Razor blades in my gums (BOBBY!),You may catch me in yellow Havana Joe's goose jumper,And my phaser off stun (BOBBY!),Y'all might just catch me in the park playin chess, studyin math,Signin 7 and a sun (BOBBY!),But you won't catch me without the ratchet, in the joint,Smoked out, dead broke or off point (BOBBY!),(Ghostface),Wallo's comfortable, chocolate frosting,Your socks hangin out, yours is talkin,Rock so steadily, son, I'm still crazy,Sport my old Force MD furs in the 80's,Nat Turners wit burners, Jackie Joyner-Kersee,Taught y'all niggas how to rap, reimburse me,Rothsdale's, ruby red sales, Bloomingdale's, blocks,Ox tails chopped up in Caribbean spots,I'm nice, maxed out, creepin wit the ax out,Murder these bikini bitches, switchin with they backs out,(U-God),Niggas wanna pop shit, I pop clips,Bitch, I'll put my dick on ya lips,Alabama split, hammer slay quick,That David Banner gamma ray shit,Shells in the mouth, jailhouse snitch,My powder voice, Snow White stiff,Verbal killas, gorilla grip,God body shit, puff Marley spliffs,(Cappadonna),You might see me in a 6, that's not my style,You might see me wit a bitch, that's not my child,I be in the benzo, keep a low profile,Dead serious, take flicks and don't smile,Tryna get money, y'all cats is wild,I pose for the clothes, make a song like wild,I'm a chip off the board game, got sword game,Live life to the fullest, still want more fame,Darts on layaway, beats on standby,Outfits pressed up, ready for airtime,(GZA),Run on the track like Jesse Owens,Broke the record flowin, without any knowin,That my wordplay run the 400 meter relay,It's on once I grab the baton from the DJ,A athlete wit his iron cleat in the ground,Wildest nigga who sprint off the gun sound,The best time yet still 7.0,Swift flow made the cameramen clothes blow
,
,
",Wu-Tang Clan:Protect Ya Neck (The Jump Off)
,Wu-Tang Clan,"(Ghostface Killah),Your technique is ill son, watch how I spill one,Peace to Biggie, 2Pac, Big L and Big Pun,Havoc on the streets of Staten, snitches,House niggas, children watches, they produce the same pattern and,Somebody raped our women, murdered our babies,Hit us with the cracks and guns, in the early 80's,For those that murder me, shall stand before God,To fall at the hands of faith and out comes the Lord,Bring it back, bring it back, bring it back, bring it back, bring it back,What the fuck is going on? I Can't Go To Sleep,Feds jumpin out they jeeps, I Can't Go To Sleep,Babies with flies on they cheeks, It's hard to Go To Sleep,Ish bowled, two sixes, twice, how could we Go To Sleep?,Aiyo we deep in the stands, we carry can guns,Whippy got, hit him with the big shit, bong-bong,Stop at the cheeba spot, then pass the leak spot,Don't pass ya niggas again, you took a cheap shot,Not know with fuckin wit me, you get your meat chop,You thought we feel on your face, you think the beef stop,Call on chariots, call on the ambulance,You better smile my nigga, you on Candid Cam,Gangster broad, these be the laws, walk with big balls,Nigga muthafuckin you that heighten, take what's with yours,I'm the nigga that made you man,When your rap wasn't doin well, I'm the nigga that gave you a hand,(Isaac Hayes),Don't kill your brother, learn to love each other,Don't get mad, cuz it ain't that bad,Just be who your are, you've come so far,It's in your head, just be a man,Get the jelly out ya spine, cobwebs hidin mine,(RZA),I Can't Go To Sleep, I can't shut my eyes,They shot the Father in his moms buildin seven times,And shot Malcolm in the chest, front of his little seeds,Jessie watched as they shot King on the balcony,They spat at Marcus, Garvey cuz he tried to spark us,With the knowledge of ourselves and our forefathers,Oh Jacqueline, you heard the rifle shots cracklin,Her husband head in her hand, you tried to put it back in,America's watchin, blood stains, inks blotches,Medgar took one to the skull for intergratin college,What's the science, somebody, this is trick knowledge,And try to keep us enslaved, and still scrape for dollars,Walkin thru Park Hill drunk as a fuck,Lookin around like -- these Devils so many to break this world down,They got me trapped up in the metal gate,Ya stressed out with hate and this gives me no time to relax,And use my mind to meditate, what should I do?,Grab a blunt or a brew, grab a two-two and run out there,Put this fuckin violence to you,I Can't Go To Sleep, I can't shut 'em son, I--,(Isaac Hayes) *starts on RZA's fourth to last line*,Don't let the game, make you lose ya head,You should be callin the shots instead,The power is in your head, stop all this cryin and be a man
,
,
",Wu-Tang Clan:I Can't Go To Sleep
,Wu-Tang Clan,"(Hook: Madame D),Woke up this morning, smoked some sticky green to get me started,Choclate thai, all in my eye, I'm never broken-hearted,Bang us in ya cars, bang us in ya Jeep, bang that shit retarded,(Intro: 12 O'Clock (RZA),(Bob Digi) Sun Zeini,(P. Sunn) 12 O'Clock,Two On Da Road on this (12 O'Clock),I love my brother to death,(That old hip-hop, catch this),(Hot Nix', you know? Big tits),(12 O'Clock),I love my brother to death, nigga pussy to the rest,Shared a pair [...],
,
,
",Wu-Tang Clan:Chrome Wheels
