50 Cent,unit,50,cent,yayo,nigga,fiesta,niggas,hoooooood,shit,shi,bub,gyal,lloyd,banks,pours,boomboom,haffi,fk,rubbed,utp,aftermath,homie,clickity,soliders,nypd,dre,na,bitch,sh,clank,fuck,southside,rains,grimey,thurr,shady,ja,mayn,shorty,mah,obie,downfall,ur,stunt,unbutton,underdogs,fkin,lil,millionaire,wen
Aesop Rock,aesop,catapult,weathermen,bazooka,aes,makeshift,tugboat,alchemy,lucy,merit,charcoals,circling,picket,diversion,adjacent,batteries,carnival,colony,pertinent,dolls,hermit,martyrs,labor,sturdy,rickety,via,fever,rabid,brick,appleseed,demeanor,prior,polaris,remnants,barnacles,festive,grimace,surrender,talkies,harvest,walkie,crows,waddle,fevers,tends,countys,pixels,cables,tin,thorns
A$AP Rocky,asap,aap,trill,swag,polite,shimmy,camera,maison,jiggy,raf,purple,finna,throwed,pistol,cellphone,margiela,lockjaw,harlems,weigh,fuck,nigga,swagging,clams,lords,action,propane,wickity,simons,nast,pizzaz,trendy,codeine,jeremy,swaggin,goyard,tussin,niggas,sipping,rihanna,repping,syrup,reefer,uptown,entre,madre,bitching,harlem,drip,purest,swishers
A Tribe Called Quest,phife,shaheed,applebum,bonita,segundo,i8217m,q,tribe,jarobi,cholesterol,quest,abstract,it8217s,don8217t,shah,lucien,phifer,rhythms,muhammad,linden,consequence,ham,malik,dawg,that8217s,ali,tip,wallet,brothas,questin,they8217re,ab,hon,drifting,yummy,motivate,can8217t,pubic,busta,zulu,oowop,marauders,diggi,biko,eggs,sunll,el,afrika,you8217re,wa
Beastie Boys,mca,agh,beastie,soba,adrock,lighten,crafty,balloon,negotiate,bennie,bim,adam,quack,funky,mcas,mario,ad,mike,snappers,boomin,egg,brass,georgie,awol,girlies,drifter,monkey,beefed,hoo,manhattan,tempo,baba,mojo,ale,doon,granny,barnyard,kurds,goto,joustin,whatcha,muh,brooklyn,disco,bonanza,yee,thrusts,remote,jammy,weepin
Big Daddy Kane,scoob,kane,i8217m,cee,scrap,asiatic,shane,yll,ain8217t,can8217t,demonstration,mister,whattaya,that8217s,i8217ll,jiggin,you8217re,mc8217s,tchk,kanes,it8217s,aah,nana,marl,cameo,lover,lg,operator,youe,gable,acceleration,pjs,captivate,competition,shyheim,equality,stuy,comp,whoopie,mmm,olde,dolemite,farrakhan,harmony,groove,tootie,poetically,genuine,endure,unite
Big L,flamboyant,corleone,mcgruff,harlem,gruff,l,onnn,lennox,ls,ayyo,flam,terra,whyle,federals,biggity,kam,mvp,pal,shyheim,aiyo,skinz,flav,hottie,shit,thickest,niggas,nuns,rampant,splitin,writ,clenched,endz,dented,entertainment,bam,ditc,skoop,snuffing,arty,flunkie,cokey,playmate,bbo,nfl,nigga,38s,punks,lynched,sl,hamper
Big Punisher,pun,punisher,lah,darlin,seis,glamour,boricua,stunned,punishers,joey,lye,terror,amazingly,squaders,cuban,squad,boriqua,puns,prospect,baguetted,perrico,largest,gatling,scratched,fk,trizz,aiyyo,blah,lyricallyyou,lefrak,punishment,bronx,requires,punish,chula,thug,joe,culo,prodigy,wherere,quotables,baffle,bubb,playahh,multiples,hydraulic,ojays,twinz,piped,niggas
Black Moon,buckshot,opin,bucktown,smif,wessun,5ft,steele,headz,beatminerz,buck,clik,bd,niggas,original,dee,gunn,bumrush,iz,ack,ft,ruck,fuck,bo,timberland,walt,shit,aiyo,dialect,nigga,knapsack,fap,clacked,bcc,nuzzle,waar,crooks,boot,shorty,cha,lon,finesse,brook,engulf,ruger,manifest,dred,beein,franklin,dissed,pon
Black Sheep,lawnge,sheep,dres,tiki,similak,mista,hon,lak,legion,showbiz,duration,ag,persevered,astoria,tocking,sphere,bootie,slamming,styling,positively,select,chaos,sugar,reg,wool,krill,nineties,bah,tori,huhhhhhh,yie,soliloquy,dapple,tractors,4321,wendal,meantime,jingle,finga,plop,bland,stanley,bubbling,negro,intervene,countries,bonita,gliding,expands,wickedly
