50 Cent,yayo,nigga,fiesta,niggas,hoooooood,shit,shi,bub,gyal,pours,boomboom,haffi,fk,rubbed,utp,aftermath,homie,clickity,soliders,nypd,na,bitch,sh,clank,fuck,southside,rains,grimey,thurr,shady,mayn,shorty,mah,obie,downfall,ur,stunt,unbutton,underdogs,fkin,lil,millionaire,wen,shawty,tha,mvp,preme,toasting,wit,sho
Aesop Rock,catapult,weathermen,bazooka,aes,makeshift,tugboat,alchemy,lucy,merit,charcoals,circling,picket,diversion,adjacent,batteries,carnival,colony,pertinent,dolls,hermit,martyrs,labor,sturdy,rickety,via,fever,rabid,brick,appleseed,demeanor,prior,polaris,remnants,barnacles,festive,grimace,surrender,talkies,harvest,walkie,crows,waddle,fevers,tends,countys,pixels,cables,tin,thorns,icicle
A$AP Rocky,trill,swag,polite,shimmy,camera,maison,jiggy,raf,purple,finna,throwed,pistol,cellphone,margiela,lockjaw,harlems,weigh,fuck,nigga,swagging,clams,lords,action,propane,wickity,simons,nast,pizzaz,trendy,codeine,jeremy,swaggin,goyard,tussin,niggas,sipping,rihanna,repping,syrup,reefer,uptown,entre,madre,bitching,harlem,drip,purest,swishers,trilla,toking
A Tribe Called Quest,applebum,bonita,segundo,i8217m,cholesterol,abstract,it8217s,don8217t,shah,lucien,phifer,rhythms,muhammad,linden,consequence,ham,dawg,that8217s,ali,tip,wallet,brothas,questin,they8217re,ab,hon,drifting,yummy,motivate,can8217t,pubic,zulu,oowop,marauders,diggi,biko,eggs,sunll,el,you8217re,wa,schemed,musically,queens,occasional,elevate,represent,diggy,nita,delectable
Beastie Boys,agh,soba,lighten,crafty,balloon,negotiate,bennie,bim,adam,quack,funky,mcas,mario,ad,mike,snappers,boomin,egg,brass,georgie,awol,girlies,drifter,monkey,beefed,hoo,manhattan,tempo,baba,mojo,ale,doon,granny,barnyard,kurds,goto,joustin,whatcha,muh,brooklyn,disco,bonanza,yee,thrusts,remote,jammy,weepin,hutton,insists,9000
Big Daddy Kane,i8217m,cee,asiatic,shane,yll,ain8217t,can8217t,demonstration,mister,whattaya,that8217s,i8217ll,jiggin,you8217re,mc8217s,tchk,kanes,it8217s,aah,nana,marl,cameo,lover,lg,operator,youe,gable,acceleration,pjs,captivate,competition,shyheim,equality,stuy,comp,whoopie,mmm,olde,dolemite,farrakhan,groove,tootie,poetically,genuine,endure,unite,pasteurize,uproar,sniffle,dictation
Big L,flamboyant,corleone,harlem,l,onnn,lennox,ls,ayyo,flam,terra,whyle,federals,biggity,kam,mvp,pal,shyheim,aiyo,skinz,hottie,shit,thickest,niggas,nuns,rampant,splitin,writ,clenched,endz,dented,entertainment,bam,ditc,skoop,snuffing,arty,flunkie,cokey,playmate,bbo,nfl,nigga,38s,punks,lynched,sl,hamper,cheesin,rudolph,coleone
Big Punisher,lah,darlin,seis,glamour,boricua,stunned,punishers,joey,lye,terror,amazingly,squaders,cuban,squad,boriqua,puns,prospect,baguetted,perrico,largest,gatling,scratched,fk,trizz,aiyyo,blah,lyricallyyou,lefrak,punishment,bronx,requires,punish,chula,joe,culo,prodigy,wherere,quotables,baffle,bubb,playahh,multiples,hydraulic,ojays,twinz,piped,niggas,stockin,batallion,soared
Black Moon,opin,bucktown,headz,buck,clik,bd,niggas,original,dee,gunn,bumrush,iz,ack,ft,ruck,fuck,bo,timberland,walt,shit,aiyo,dialect,nigga,knapsack,fap,clacked,bcc,nuzzle,waar,crooks,boot,shorty,cha,lon,finesse,brook,engulf,ruger,manifest,dred,beein,franklin,dissed,pon,yaa,danze,hardrocks,rudebwoy,script,bloodsport
Black Sheep,tiki,similak,mista,hon,lak,legion,showbiz,duration,ag,persevered,astoria,tocking,sphere,bootie,slamming,styling,positively,select,chaos,sugar,reg,wool,krill,nineties,bah,tori,huhhhhhh,yie,soliloquy,dapple,tractors,4321,wendal,meantime,jingle,finga,plop,stanley,bland,bubbling,negro,intervene,countries,bonita,gliding,expands,wickedly,container,docking,copywritten
