album,artist,lyrics,title
Rolling Papers (2011),"Wiz Khalifa,Too $hort","[Wiz Khalifa - Verse 1],It’s the champagne pourin’,Big joint rollin’,Bombay sippin’,No blunt smoking,Bad bitch gettin’,Thick and she got some friends with her,I take ‘em out pourin’ shots of liquor,Drinkin’ out the bottle, smiling in all my pictures,The marijuana loud so them hoes follow like twitter,Nigga, you know everything Taylored,Don’t rush to the bar fool, if you aint got no paper,That’s the rules, high as fuck, sloppy drunk when I’m passing through,Rollin’ doobies up, ya hoe who we pass ‘em to,Hit the club spend this money up, roll another one, drink, act a fool,Thats what I have to do,[Chorus],See after drinking champagne all night,Never worry `bout a damn thing, y’all might,Homie I’m on my level (yeh),I’m on my level (yeah),I’m on my level (yeh),I’m on my level (yeaah),So let me take one shot to the brain,And I order three more shots,I’m going in, ayy,I’m on my level (yeh),I’m on my level (yeah),I’m on my level (yeh),I’m on my level (yeaah),[Wiz Khalifa - Verse 2],Spent a couple dollars on my engine,motor roaring when I back out the garage,Gin got me drunk as fuck stumbling out the bar,Plus I’m struggling tryna find the keys to my car,Cause I be going hard, roll the camera,Life just like a movie, I’m the star,Wish you was in my position,You too broke to play the part,Of course I keep some bad women with me in the back,Sippin’ Rose with some hash twistin’,All about a dollar, my team in the cash gettin’,Straight out the burb, we drinking we smash niggas,So when I say I’m balling, that don’t mean that I’m playing mate,All my diamonds talkin’, you can see what they sayin’ mayne,[Chorus],[Too $hort],In the middle of the night, early in the mornin’,From the streets to the sheets with some freaks, I ain't yawnin’,I’m wide awake, we aint eatin’, we aint sleepin’,These bitches so high man, we aint even speakin’,We just freakin’,You rollin’ with short dog baby,She was high on that pill so I fucked yo lady,Come to my house I give ‘em everything they want,I might not dot it, but I give to ya women,Cocaine, mushrooms, ecstasy, GHB, marijuana,She can suck it if she wanna,I got tequila, Ciroc and two freaky friends,and this a Wednesday night, this ain't the weekend,[Chorus],[Bridge],Man I’m high as fuck,Man I swear I’m on my level,Man I’m sloppy drunk,Man I swear Im on my level,I finna pass out,man I swear Im on my level,A n-gga get smashed out,Man I swear I’m on my level,Man I’m high as fuck,Man I swear I’m on my level,Man I’m sloppy drunk,Man I swear Im on my level,I finna pass out,man I swear Im on my level,A n-gga get smashed out,Man I swear I’m on my level,[Chorus]
,
,
",Wiz Khalifa:On My Level
,Wiz Khalifa,"[Wiz Khalifa - Verse 1],And they say all I rap about is bitches and champagne,,You would too if every night you seen the same thing,Money wall to wall, young famous n-gga, spend it all,,When you die you can?t take it with ya,Bottle of Rose if I?m drinking with ya,Cause most n-ggas is broke their bank is injured,Then bitches gonna ride with who they think?s a winner,And I?ll be smiling in case they take a picture,Oh, I?m smoking weed drinking liquor make a hundred,On a show spend it all on my n-ggas,When I go shopping I tell them pick one,Cause they was with me when nobody seen a vision,Always about my business don?t play the cards,I talked to the n-ggas who dealed them, uhh,Royal flush, now look up them n-ggas and baby girl you see us, yeah,[Chorus],I?m gonna spend it all why wait for another day,I?ma take all this money I own and blow it all away,Cause I can?t take it when I?m gone, gone, gone, gone,No I can?t take it when I?m gone, gone, gone,I?m gonna spend it all why wait for another day,I?ma take all this money I own and blow it all away,Cause I can?t take it when I?m gone, gone, gone, gone,No I can?t take it when I?m gone, gone, gone, gone, gone,[Wiz Khalifa - Verse 2],Hella hoes in my car, they wanna feel that maximum speed,Never had an absence of weed,Tired of being at the bar, everything Louie V,,Plus the most exclusive treat in my jar,Making my bank, spending it all,And that expensive shit you paid for, she had it on,She taking it off, most of these n-ggas just talk and taking it off,Back in the day money was short, I?m making it taller,You know what I mean, some say it?s a problem,Blowings my greens, not saving my collards,No NBA, they say I?m a baller,Live for today, it?s not like my father,[Chorus],I?m gonna spend it all why wait for another day,I?ma take all this money I own and blow it all away,Cause I can?t take it when I?m gone, gone, gone, gone,No I can?t take it when I?m gone, gone, gone,I?m gonna spend it all why wait for another day,I?ma take all this money I own and blow it all away,Cause I can?t take it when I?m gone, gone, gone, gone,No I can?t take it when I?m gone, gone, gone, gone, gone.
,
,
",Wiz Khalifa:When I'm Gone
,Wiz Khalifa,"I be rollin,Riden,Flow so fly I be so so high,She say im that guy you wanna ride with,Like my car get inside it,U excited,I dont blame you ,Everywhere I go all them hoes act the same too,I dont wanna date you ,I just wanna take you home n do somethin grown folks can relate too,Bitch I'ma play you,I would hate to ,But if you stay cool we should be straight boo,Bitch I'ma straight fool,No I cant lie,Dont let a day go bye where I aint high,Pump ur brake lights lemme slow it down,Know who I is n how is bout to go down,U wanna roll now,We'll just ride out ,Right now I'll show you what I'm bout,Tryna front when you see me in the club bitch you no who I am ,Gettin weeded with a pocket full of dubs I bet you no who I am ,They be runnin up n showin all this love cause they know who I am ,Didnt notice it but now ur goin nuts cause you no who I am ,I be cakin',Makin all of this money ,Look honey I aint fakin,See that ur takin,Thats cool with me,Cause you n ur boyfriend aint got shit to do with me,Truthfully,Real talk,I pimp hard she tell them to get lost,Bottles of patron good green in my cigar,See you in ur girl watchin me n my niggas,Now that ur with us ,If not wiz dont fuck a rap star,I just get it how I live,This aint the first time that you heard about wiz,So ma why I feelin me just front n act like it is,U aint the type of juice better then one poundin,Just lettin me come round now she a buss down,Feelin my convo,Then mami lets ride out,Right now I'll show you what I'm bout,
,
,
",Wiz Khalifa:Who I Am
,Wiz Khalifa,"Wizz!,Uh, Yea, Uh,,Yea, It's Young Khalifa Man,This for Spacely,,Everyone Call me that,Taylor Gang or Die,And this project is brought to you by (its deal or no deal),Champagne, and paper planes too,Yeah, Rostrum Records in this bitch, (yeah),Taylor Gang, Happy Hustle (deal or no deal),Yeaah Bitch,Yeah Umm I'm... Screaming fuck them niggas who hated,I'm money affiliated,Speculated me landing, musta got me mistaken with lame niggas,Know you gon get high as fuck as long as the planes with ya,Let that major situation lone and became richer,People talking down, but see me I'm the same nigga,Leave ya bitch around, we gon drink the champagne with her,We don't touch the ground, See a cloud with my name in it,Only easy riders squeeze no cigars for me and my gang,Fool I'm a legend in dese streets, that's how I do my thang,And don't wear the fitted, I got the city on my chain,Arr man... Still they hated talk smack knowing if I was gone, there'll be no throne to throw ya rocks at,Cruising maximum altitudes, I'm tyrna top that,So in touch with the real, them suckas tyrna stop that,But I... Live or laugh die, Party get high and tell dem lames to the plane and let fly,Don't know what they hatin for, Just getting my paper,Well Maybe they'll love me more when I'm gone,I don't wanna leave but I need to,It's Such A Shame(shame)... They Gon Miss This Plane(Plane),They Gon Miss This Plane(Plane)... They Gon Miss This Plane(Plane),They Gon Miss This Plane(Plane) I tried to believe you, I don't wanna leave but I need to,Uh... Stuck alone in this way of grace,Say I'm living too fast, don't plan on changing my pace,Got one foot on the gas, It's neva in need for brakes,Smoke easy riders with hash, Fuck bitches from outta state,Valet bringing my cars, a waiter to bring me plates,Shrimp and Filet Mignon, We celebrate buyin drinks,With a couple of broads, my niggas and who got love for me,It's lonely at the top, I'm tired of having company,So while you busy tyrna fit in, I'm a stand out,And view my life thru this lens and see how it pans out,Substitute teacher ass niggas need a handout,Middle finger screaming fuck dem niggas who hated,I'm money affiliated,Pop another bottle that chronic smokin degraded,Speculating me landin, musta got me mistaken,I'm speaking as the captain of the plane,You'sa runner on the jet way,Don't know what they hatin for, Just getting my paper,Well Maybe they'll love me more when I'm gone,I don't wanna leave but I need to,It's Such A Shame(shame)... They Gon Miss This Plane(Plane),They Gon Miss This Plane(Plane)... They Gon Miss This Plane(Plane),They Gon Miss This Plane(Plane) I tried to believe you, I don't wanna leave but I need to
,
,
",Wiz Khalifa:This Plane
,Wiz Khalifa,"I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what need boy ya want it,That nigga price high, mine cheap so they love it,Do it big shake them off and these haters wish I wasn't,All about my chavo my guap keep keep it comin',Who you foolin' boy I does it your girl said she loves it,Pocket full of guap and that moola keep it comin',Heavy hustle, rostrum records on it big man its nothin',Cigarillo full o dat rain man I call her fresh puffin,Its its its smellin' super bad, call me MC puffin,Spit that thing in oven turn it up and make muffins,Money comin' up that moola and the green,Money comin' in I chop it up between my team,I'm a star in the air, doin' big things,Why you think your lady stare I'm stuntin' like a stunna do,Fresh when I want to, do my shit in front of you,Money everywhere look dumbie right in front of you,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,Yeah I'm fresh up of the plane I hit the town straight from tourin',I don't run up and down the court but u can say I'm ballin',The moneys not a problem so you know they goin' hate,When they see them yellow diamonds you should see them hoes face,Imma need a whole case hit the club and pop them bottles,In it with my thugs spendin' dubs like no tomorrow,I make a lot of chavo and meet a lot of bust downs,Saw me in the club once shawty got a crush now,Don't got the time got a line of sexy women,Wanna fuck the team cause they seen how we be spendin',Rock expensive linen ya that baggy shit is finished,When you gettin' money, everything is fitted,Listen this is nothin' close to most of you nigga's weirdo's,My swagga on one followed by a zero zero,I got up in her ear hole she hopped up in my seats,Told her ride with a g if you like what you see,Cause I,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what cha need, a blunt for ya trees,A lot o pipe for all that you got stuffed in them jeans,My ride got screens, I'm high got leans,But I don't sip purple I smoke a lot of green,300 dolla jeans, tight white tee,I look at you and tell you to get right like me,And check your main broad because she might like me,Waitin for the right timin and tonight might be,(an' ha),She say she want a nigga with that moola and that guap,They see me I don't have to say shit to em bro they flop,And as for all them hatin niggas, oh I got em hot,They recognize that I'm on number two and ain't gon stop (two),I rep my city (city), floodin my p (p),Them airy yellow diamonds lookin like my chain peed (wow),A pocket fulla dollas my nigga I gang green (yup),So if your bout your money boy I'm bout the same thing (yea),I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need the feddy and the cheese,The moola and the guap,Got moola and the guap,I got what you need.
,
,
",Wiz Khalifa:Moola & The Guap
,Wiz Khalifa,"Yeah, getting more scrill, deal or no deal, uh,Yeah, chubby bags, heavy hustle, 'course the gang, uh,On and on, and on, and on and,We just drink and smoke until the morning,Your home girl's texting you, ignoring them,Hit the weed, giggle a little then you get horny,I hit the weed, get on my mission and then I'm going in,Knowing damn well they got boyfriends,Till they get the front door, asked her which floor I'm on,I'm at the top, polo socks and pajamas on,She smoke chronic, know the lyrics to all my songs,It's like I died and went to heaven, me and all my dogs,That's why we sip champagne till the bottles gone,Roll weed on ya, take the bitches, I don't follow y'all,I can never make up this if I wanted to,It's real talk what I'm saying to you,I don't wanna wake up knowing just one thought of you,Got me fallin', I can't get up,So will you co-star with me? 'Cause my life is like a movie,Champagne parties in my hotel,Her friends don't even smoke but they digging the smell,Ex boyfriend ringing ya cell but every effort to save you's to no avail,Nutting but starter's on my team, nigga, coach fail,And all we do is get high and watch Adult Swim,Relatively fly like a meteor or spaceship,Party every night and early morning get wasted,All the way 100, you others niggas are make shift,Roll that rapper weed, you smoke and don't wanna taste it,Let's face it, she wanna fly where the planes is,Got her testing out all of my trees, mint-flavors,She [Incomprehensible] the paper,I can never make up this if I wanted to,It's real talk what I'm saying to you,I don't wanna wake up knowing just one thought of you,Got me fallin', I can't get up,So will you co-star with me? 'Cause my life is like a movie,I can never make up this if I wanted to,It's real talk what I'm saying to you,I don't wanna wake up knowing just one thought of you,Got me fallin', I can't get up,So will you co-star with me? 'Cause my life is like a movie,We stay smoking that la, la, la, easy rider, joint roller, my 9 to 5,You can prolly smell it in the car when we riding by,More like all the way up, we ain't kinda high,We more than fly, introduce you to the gang members,That's Taylor like blood, no gang members,No names enter and now you on champagne land,I'm on an island of hard liquor, it be fans, joint lit and guitar pickers,Going nowhere for awhile, I got good snickers,Now you wanna mingle, heard young single,Big face chips, baby, stack my Pringles,You call it tight, I say well fit,And we ain't taking no prisoners, now you jealous,In ya state please make sure the weed great,Fresh produce, purple and green crates,Groove, crisp bills in my jean pants,Telly room, prolly doing the Uncle Snoop dance, yeah,I can never make up this if I wanted to,It's real talk what I'm saying to you,I don't wanna wake up knowing just one thought of you,Got me fallin', I can't get up,So will you co-star with me? 'Cause my life is like a movie,I can never make up this if I wanted to,It's real talk what I'm saying to you,I don't wanna wake up knowing just one thought of you,Got me fallin', I can't get up,So will you co-star with me? 'Cause my life is like a movie
,
,
",Wiz Khalifa:Red Carpet (Like A Movie)
,Wiz Khalifa,"Hello, yeah I'm the studio right now,Oh, you trying to come through? ,(yeah, i wanna give you some studio loving),Alright well umm... I'm a finish up this last lil joint ,And i'm a umm...i'm a give you a call. i'm a text you or sum,Yeah, nah don't bother putting that on,'[Verse 1],Girl Let Me Take You To My Studio,Give You Everything You Want And Need,Lay You Flat Like A Piano,If You Let Me Stroke Your Keys,You Going Be Saying Things You Never Said,Matter Fact You Going Be Playing Melodies You Never Played,We Aint' In No Bed,,We In The Lab,And Im Reclining In My Seat,You Can Just Climb On Top Of Me And Ride Me Like This Beat,You Say You Need This (Loving),Well Imma Grab Your Wasteline,,And If You Like It Deep,,I Could Hit You With That Baseline,I Aint' Tryin To Waste Time,For Me And Your Sake,Plus Im Payin For This Session,I Need More Than One Take,I Make The Boards Shake Like How Im Suppose To,I'll Have You Sounding Good ,Lil Ma, I Got Them Pro Tunes,Now You In The Mood,I Got You Doing This And Tryin That,Beating Your Drum,While Im Playing With Your High Hat,You Like That,Soo You Dont Want To, I Just Make You Do It,Got You In Love, Cuz When We Fuck Its Like We Making Music, Go n' Lose It,(Chorus),I don't want to be unusual,But there's a lot of things that I can see me doing to you.,Here in my studio oh oh, oh oh, oh oh, ohhhh yeeaaa. ,You say you gotta work tomorrow, you can make it though, ,And even though there's probably other places we can go, ,We in my studio,, oh oh, oh oh, oh oh, ohhhh yeeaaa,And No It Aint Gon Stop,I Keep This Song On Replay,Putting All Them Scratches On My Back,I'm Like Go DJ,Be My Guitar,I'll Pluck Your G-String,Pull It To The Side,Imma Make Them Vocals Drop,I'm Gripping On Your Thighs,We Tangled Like Some Cables,From The Front look In Your Eyes,Then I Turn You Like Some tables,No You Fiending For This (Loving),That's What You Gon Get,And I Cant Sing,But I See You,And Know Im Gonn Hit,Yeaa,Lets Do The Verses Now,Worry About The Beat Later,Heard You Be Going Off That Head,You Don't Need Paper,Play You An E-Major, A-Minor,Girl Your Rhythm Straight,And I Say You Got Great Timing,Feel Your Heart Rate Climbing,Like When My Speakers Quake,More Than okay or Straight,You Got That 8-O-8,You Say You Cant,But I Do Something That Just Make You Do It,Me And You Dont Fuck,We Make Music,Yeaa,(Chorus),I don't want to be unusual,But there's a lot of things that I can see me doing to you.,Up in my studio oh oh, oh oh, oh oh, ohhhh yeeaaa. ,You say you gotta work tomorrow, you can make it though, ,And even thought there's probably other places we can go, ,We in my studio,, oh oh, oh oh, oh oh, ohhhh yeeaaa
,
,
",Wiz Khalifa:Studio Lovin
,Wiz Khalifa,"(puffin) Uh huh,Sledgerin,Uh,Look nigga i'm the rawest, the mo'fuckin' animal,Want war? One phone call is how i handle you (whew),On the grind, you pussy nigga's hate,Bitch i'm out in different states, politic, and gettin cake. ,Fill my lungs with the best weed, pockets with them doller signs.,Run with them niggas holdin glocks like its columbine (pop, pop ,pop),I'm a star, ain't a choice hoe i gotta shine,Far as Pittsburg, i'm the voice so i gotta rhyme.  ,Grind all the time ever since the 1st day,Now i'm gettin cake like every day became my birthday ,Something like a earthquake, the way this shit drop,I be at the tip top posted with a big knot,You didn't know hoe you sit at home and just watch,Less then haters, stone cold spectators,Same lame's turn out to be investigators,No where near comfortable need extra paper.,Got the city on smash, the streets on lock,100 real niggas with their heats on cock,Got my pockets on swol still need more gwap.,Plus the hood says they love to hear the young boy talk,Ay ay,The jeans spent about a buck 45 on them,If He trick the team, buck 45's on him.,When we hit the scene, the club hoes just pile on him,You scrubs show them groupies love, i just style on them.
,
,
",Wiz Khalifa:Young Boy Talk
,Wiz Khalifa,"[Intro:],Oh... Oh... Oh...,Oh... Oh... Oh...,Yeah... Yeah... It's Young Kha... (Khalifa!),Man... Man... Man... It's Young Khalifa Man!,Man... Man... Man... TAYLOR GANG OR DIE!,[Hook:],I see you staring, I'm at the bar,You tired of them lames you wanna be with a star,I gotta place that you wanna go,,Don't reach out for them other guys, with me you'll lose control,Control... control... control, you'll lose control,Control... control... you'll lose control,Lose control... you'll lose control... you'll lose control,Control... control... you'll lose control,[Verse:],She don't know me, but I know her,I met plenty of her type before,Love a nigga with a fancy car,Live your life like a movie star,Got a thing for expensive clothing,Fuck with it if it's frozen,You got it all,And worry 'bout a thing, no not at all,The music was on, had that sour smoke in the air,Her nigga was jockin, I told her 'come over here',To my section, he make sure the runway is clear,Then we take off, leave the extra baggage girl so we can float on,[Hook:],I see you staring, I'm at the bar,You tired of them lames you wanna be with a star,I gotta place that you wanna go,,Don't reach out for them other guys, with me you'll lose control,Control... control... control, you'll lose control,Control... control... you'll lose control,Lose control... you'll lose control... you'll lose control,Control... control... you'll lose control,[Verse:],I'm vibing, you vibing,I roll while you driving,You tired of them lames,,Saying your recline never change,Now you out flying with the planes,[singing: Wiz Khalifa],So what if they're watching us?,I hope that they're watching us,They could see what I see,Girl what you do to me,Now don't try to talk to us,But No there's no stopping us,It's hard to unlock you?,The ho's that you got, on... on... on me,[Hook:],I see you staring, I'm at the bar,You tired of them lames you wanna be with a star,I gotta place that you wanna go,,Don't reach out for them other guys, with me you'll lose control,Control... control... control, you'll lose control,Control... control... you'll lose control,Lose control... you'll lose control... you'll lose control,Control... control... you'll lose control,[fade til end]
,
,
",Wiz Khalifa:Lose Control
,Wiz Khalifa,"Tell 'em, go home 'cause I'ma go hard,I'ma go hard or I'ma go home,I haven't been there you know in so long,So goodbye,Tell 'em, go home 'cause I'ma go hard,I'ma go hard or I'ma go home,I haven't been there you know in so long,So goodbye,I worked for everything I own,Dare a nigga try and take it,Take 300 on the frames,Just from blocking out you haters,Swear they're in my way,They in my rear view mirror,If a nigga act stupid,I'ma let him get his issue,Everything designer,And my back seat's reclining,Got a thing for looking good,And blowing money like it's tissue,But niggaz see you eating,Get to starving for a plate,Well, you don't give it when they hate,That's why my niggas keep a biscuit,It's no gimmick,I talk it how I live it,So when a nigga cross the finish,Gotta push it to the limit,Got a mom and little sister,I plan on taking care of,Lost my uncle this year,Couple niggas in the system,So I roll,No telling where I'm landing,But I know something,That I'm going towards the money,I can see you niggas slacking,Everyday I'm on my job,Yung Khalifa going hard,Till the I'm last man standing,Tell 'em, go home 'cause I'ma go hard,Go hard or I'ma go home,I haven't been there you know in so long,So goodbye,Tell 'em, go home 'cause I'ma go hard,Go hard or I'ma go home,I haven't been there you know in so long,So goodbye,Got my eyes on this money,And some good weed burning,Buying from ya, you got it grand,Going hard is not an option,Now these niggas acting jealous,'Cause they feel like they ain't shining,And they little shit stop,When it's big shit popping,[Incomprehensible],Gotta keep it in my system,60 box of Cigarellos,'Cause I blow it by the onion,Pack up some dollar bills,Send some paper to my younging,'Cause he just like Steve Francis,He be playing with them rockets,Whipping on the wheel,Got my peddle to the medal,'Bout to hit another city,Ain't no point of getting settled,Straight onto the plane,Ain't been home in so long,You think it's my cologne,But it's money that you smelling,Eyes like my father,Can't stand my older brother,Got some niggas doing years,'Cause of funny niggas telling,Nigga, I'ma be grinding,Till the day that I expire,I've been running through the batch,Till I'm the last man standing,Tell 'em, go home 'cause I'ma go hard,Go hard or I'ma go home,I haven't been there you know in so long,So goodbye,Tell 'em, go home 'cause I'ma go hard,Go hard or I'ma go home,I haven't been there you know in so long,So goodbye
,
,
",Wiz Khalifa:Goodbye
